代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14046330.949999999254942
真實報酬,4046330.949999999254942

夏普值報酬,0.395933095000000
夏普值風險,0.110476574967293
夏普值,3.583864680066486

二次趨勢線,80.308157235742925 x^2 + -3967.699419500917429 x + 10000000.000000000000000
二次加權預期報酬,23069.380183199202293
風險,255715.118019155546790
二次加權趨勢值,0.090215159595965
一次趨勢線,11240.598222247692320 x + 10000000.000000000000000
一次預期報酬,11240.598222247692320
一次風險,627477.886564710759558
一次趨勢值,0.017913935236487
找到最佳解世代,2270
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
AAPL[0](7),GS[8](2),JPM[13](1),PG[21](19),
FS( 12 ),2635281.919999999925494,2433561.850000000093132,2488175.879999999888241,2503385.360000000335276,10060405.009999999776483
FS( 13 ),2631054.359999999869615,2471872.899999999906868,2480996.949999999720603,2546779.520000000018626,10130703.729999998584390
FS( 14 ),2634038.520000000018626,2547686.750000000000000,2554053.119999999646097,2559089.920000000391155,10294868.309999998658895
FS( 15 ),2633789.839999999850988,2526510.600000000093132,2553208.539999999571592,2564321.839999999850988,10277830.819999998435378
FS( 16 ),2653932.919999999925494,2492725.750000000000000,2543918.159999999683350,2546471.759999999776483,10237048.589999999850988
FS( 17 ),2639260.799999999813735,2490785.950000000186265,2531249.459999999497086,2548933.839999999850988,10210230.049999998882413
FS( 18 ),2627821.520000000018626,2473327.750000000000000,2511824.119999999646097,2551088.160000000149012,10164061.549999998882413
FS( 19 ),2615884.879999999888241,2486906.350000000093132,2508445.799999999813735,2542778.640000000130385,10154015.669999999925494
FS( 20 ),2677806.200000000186265,2506142.700000000186265,2492821.069999999832362,2548318.319999999832362,10225088.290000000968575
FS( 21 ),2724558.040000000037253,2529905.250000000000000,2521536.789999999571592,2544625.200000000186265,10320625.280000001192093
FS( 22 ),2710383.279999999795109,2537664.449999999720603,2500844.579999999608845,2533238.080000000074506,10282130.389999998733401
FS( 23 ),2735251.279999999795109,2583573.049999999813735,2528293.429999999701977,2570784.800000000279397,10417902.560000000521541
FS( 24 ),2763352.120000000111759,2550434.800000000279397,2500000.000000000000000,2560936.479999999981374,10374723.400000000372529
FS( 25 ),2730775.040000000037253,2511315.500000000000000,2464527.639999999664724,2559397.679999999701977,10266015.859999999403954
FS( 26 ),2759373.239999999757856,2508729.100000000093132,2483530.689999999944121,2579402.080000000074506,10331035.109999999403954
FS( 27 ),2699192.680000000167638,2431460.399999999906868,2420609.479999999515712,2561859.759999999776483,10113122.320000000298023
FS( 28 ),2702176.839999999850988,2429358.950000000186265,2438345.659999999683350,2560628.720000000204891,10130510.169999999925494
FS( 29 ),2711129.319999999832362,2460395.750000000000000,2457771.000000000000000,2546164.000000000000000,10175460.070000000298023
FS( 30 ),2746441.879999999888241,2494503.899999999906868,2503378.319999999832362,2549241.600000000093132,10293565.699999999254942
FS( 31 ),2786230.680000000167638,2584058.000000000000000,2609373.109999999869615,2537854.479999999981374,10517516.269999999552965
FS( 32 ),2787722.759999999776483,2601192.899999999906868,2643156.310000000055879,2524005.280000000260770,10556077.250000000000000
FS( 33 ),2731769.759999999776483,2562558.550000000279397,2612751.429999999701977,2532930.319999999832362,10440010.060000000521541
FS( 34 ),2672832.600000000093132,2570641.050000000279397,2629643.029999999795109,2549241.600000000093132,10422358.279999999329448
FS( 35 ),2658657.839999999850988,2629320.000000000000000,2673983.479999999515712,2563090.800000000279397,10525052.119999999180436
FS( 36 ),2664128.799999999813735,2699314.449999999720603,2712834.159999999683350,2509848.319999999832362,10586125.730000000447035
FS( 37 ),2635281.919999999925494,2672480.549999999813735,2685807.599999999627471,2486766.319999999832362,10480336.389999998733401
FS( 38 ),2628070.200000000186265,2695596.500000000000000,2701432.329999999608845,2491382.720000000204891,10516481.750000000000000
FS( 39 ),2613149.399999999906868,2668762.600000000093132,2685807.599999999627471,2505539.679999999701977,10473259.279999999329448
FS( 40 ),2594995.759999999776483,2680886.350000000093132,2699743.169999999925494,2448296.319999999832362,10423921.599999999627471
FS( 41 ),2432607.719999999739230,2698344.549999999813735,2707344.389999999664724,2458760.160000000149012,10297056.820000000298023
FS( 42 ),2358252.399999999906868,2655830.600000000093132,2685807.599999999627471,2454759.280000000260770,10154649.879999998956919
FS( 43 ),2331146.279999999795109,2652920.900000000372529,2668916.000000000000000,2465838.640000000130385,10118821.820000000298023
FS( 44 ),2328659.479999999981374,2686382.450000000186265,2693831.109999999869615,2491998.239999999757856,10200871.279999999329448
FS( 45 ),2366956.200000000186265,2637240.849999999627471,2641889.439999999944121,2495999.119999999646097,10142085.609999999403954
FS( 46 ),2342336.879999999888241,2587614.299999999813735,2641889.439999999944121,2511387.119999999646097,10083227.739999998360872
FS( 47 ),2318712.279999999795109,2578885.200000000186265,2586147.159999999683350,2502154.319999999832362,9985898.960000000894070
FS( 48 ),2305780.919999999925494,2567893.000000000000000,2601349.599999999627471,2527698.399999999906868,10002721.919999999925494
FS( 49 ),2307521.680000000167638,2546231.899999999906868,2584880.289999999571592,2527390.640000000130385,9966024.509999999776483
FS( 50 ),2323188.520000000018626,2609437.049999999813735,2619930.359999999869615,2538470.000000000000000,10091025.929999999701977
FS( 51 ),2300558.640000000130385,2577107.049999999813735,2610217.689999999944121,2528313.920000000391155,10016197.299999998882413
FS( 52 ),2246595.080000000074506,2555284.299999999813735,2608528.529999999795109,2536315.679999999701977,9946723.589999999850988
FS( 53 ),2251071.319999999832362,2511153.850000000093132,2584458.000000000000000,2500000.000000000000000,9846683.169999999925494
FS( 54 ),2334627.799999999813735,2511800.449999999720603,2603883.339999999385327,2512310.399999999906868,9962621.990000000223517
FS( 55 ),2324929.279999999795109,2500000.000000000000000,2603883.339999999385327,2481226.640000000130385,9910039.259999999776483
FS( 56 ),2351538.040000000037253,2585512.850000000093132,2704388.359999999869615,2457529.119999999646097,10098968.369999999180436
FS( 57 ),2342585.560000000055879,2500808.250000000000000,2676939.509999999776483,2467992.959999999962747,9988326.280000001192093
FS( 58 ),2367950.919999999925494,2497736.899999999906868,2682006.989999999757856,2462761.040000000037253,10010455.850000001490116
FS( 59 ),2398041.200000000186265,2512932.000000000000000,2679895.539999999571592,2468300.720000000204891,10059169.460000000894070
FS( 60 ),2434597.160000000149012,2547525.100000000093132,2725502.859999999869615,2491998.239999999757856,10199623.359999999403954
FS( 61 ),2477370.120000000111759,2606689.000000000000000,2766887.279999999329448,2507694.000000000000000,10358640.399999998509884
FS( 62 ),2497015.839999999850988,2573874.049999999813735,2746195.069999999832362,2499692.239999999757856,10316777.199999999254942
FS( 63 ),2495523.759999999776483,2578885.200000000186265,2763086.669999999925494,2506155.200000000186265,10343650.830000000074506
FS( 64 ),2483338.439999999944121,2578076.949999999720603,2756330.029999999329448,2494152.560000000055879,10311897.979999998584390
FS( 65 ),2448523.239999999757856,2585997.799999999813735,2774066.209999999497086,2517234.560000000055879,10325821.809999998658895
FS( 66 ),2430120.919999999925494,2574843.950000000186265,2779133.689999999944121,2522158.720000000204891,10306257.280000001192093
FS( 67 ),2435094.520000000018626,2516488.299999999813735,2729725.759999999776483,2538162.239999999757856,10219470.820000000298023
FS( 68 ),2452750.799999999813735,2538957.649999999906868,2756752.319999999832362,2547395.040000000037253,10295855.809999998658895
FS( 69 ),2462698.000000000000000,2508405.799999999813735,2747461.939999999944121,2533545.839999999850988,10252111.580000000074506
FS( 70 ),2460459.879999999888241,2499838.349999999627471,2755485.449999999720603,2543701.920000000391155,10259485.599999999627471
FS( 71 ),2478116.160000000149012,2476075.799999999813735,2734370.949999999720603,2559705.439999999944121,10248268.349999999627471
FS( 72 ),2457724.399999999906868,2423054.599999999627471,2695942.560000000055879,2560628.720000000204891,10137350.280000001192093
FS( 73 ),2420671.080000000074506,2402686.699999999720603,2671872.029999999795109,2541239.839999999850988,10036469.649999998509884
FS( 74 ),2423655.239999999757856,2363244.100000000093132,2621619.519999999552965,2565245.119999999646097,9973763.979999998584390
FS( 75 ),2415697.479999999981374,2362759.149999999906868,2616974.329999999608845,2552934.720000000204891,9948365.679999999701977
FS( 76 ),2425893.359999999869615,2370356.699999999720603,2627531.579999999608845,2567091.679999999701977,9990873.319999998435378
FS( 77 ),2370686.399999999906868,2354353.349999999627471,2630065.319999999832362,2558474.399999999906868,9913579.470000000670552
FS( 78 ),2364966.759999999776483,2388461.500000000000000,2633865.929999999701977,2555704.560000000055879,9942998.750000000000000
FS( 79 ),2385109.839999999850988,2398160.500000000000000,2658358.750000000000000,2567091.679999999701977,10008720.769999999552965
FS( 80 ),2376157.359999999869615,2394765.849999999627471,2648223.789999999571592,2572015.839999999850988,9991162.839999997988343
FS( 81 ),2389834.759999999776483,2467831.649999999906868,2704810.649999999441206,2591712.479999999981374,10154189.539999999105930
FS( 82 ),2322691.160000000149012,2293249.650000000372529,2516891.599999999627471,2531699.280000000260770,9664531.690000001341105
FS( 83 ),2288870.680000000167638,2255261.899999999906868,2432855.889999999664724,2500000.000000000000000,9476988.469999998807907
FS( 84 ),2327416.080000000074506,2302140.399999999906868,2513513.279999999795109,2537854.479999999981374,9680924.240000000223517
FS( 85 ),2347559.160000000149012,2352090.250000000000000,2584458.000000000000000,2582479.679999999701977,9866587.089999999850988
FS( 86 ),2377400.759999999776483,2401878.450000000186265,2624153.259999999776483,2605869.439999999944121,10009301.910000000149012
FS( 87 ),2384612.479999999981374,2396544.000000000000000,2586991.739999999757856,2609254.800000000279397,9977403.020000001415610
FS( 88 ),2362231.279999999795109,2335117.000000000000000,2514780.149999999441206,2629566.959999999962747,9841695.389999998733401
FS( 89 ),2375660.000000000000000,2353383.450000000186265,2541806.709999999497086,2616948.800000000279397,9887798.960000000894070
FS( 90 ),2385855.879999999888241,2376337.750000000000000,2541806.709999999497086,2610793.600000000093132,9914793.939999999478459
FS( 91 ),2404258.200000000186265,2430975.449999999720603,2611062.269999999552965,2639723.040000000037253,10086018.960000000894070
FS( 92 ),2411718.600000000093132,2460234.100000000093132,2629643.029999999795109,2639107.520000000018626,10140703.250000000000000
FS( 93 ),2422660.520000000018626,2536694.549999999813735,2668916.000000000000000,2639107.520000000018626,10267378.589999999850988
FS( 94 ),2408983.120000000111759,2552859.549999999813735,2667226.839999999385327,2643416.160000000149012,10272485.669999999925494
FS( 95 ),2456729.680000000167638,2627541.850000000093132,2707766.679999999701977,2642800.640000000130385,10434838.849999999627471
FS( 96 ),2456481.000000000000000,2612993.349999999627471,2710300.419999999925494,2647109.280000000260770,10426884.050000000745058
FS( 97 ),2482592.399999999906868,2640312.200000000186265,2701010.039999999571592,2644647.200000000186265,10468561.839999999850988
FS( 98 ),2483587.120000000111759,2609275.399999999906868,2696787.139999999664724,2652033.439999999944121,10441683.099999999627471
FS( 99 ),2485825.239999999757856,2615094.800000000279397,2699743.169999999925494,2625873.839999999850988,10426537.050000000745058
FS( 100 ),2472645.200000000186265,2587291.000000000000000,2689608.209999999497086,2624027.280000000260770,10373571.690000001341105
FS( 101 ),2453496.839999999850988,2593110.399999999906868,2704388.359999999869615,2638184.239999999757856,10389179.839999999850988
FS( 102 ),2420671.080000000074506,2594726.899999999906868,2697209.429999999701977,2640646.319999999832362,10353253.730000000447035
FS( 103 ),2404009.520000000018626,2605234.149999999906868,2708188.969999999739230,2624335.040000000037253,10341767.679999999701977
FS( 104 ),2560180.560000000055879,2602486.100000000093132,2716634.769999999552965,2599406.479999999981374,10478707.910000000149012
FS( 105 ),2594747.080000000074506,2595050.200000000186265,2706922.099999999627471,2610178.080000000074506,10506897.460000000894070
FS( 106 ),2591514.239999999757856,2567246.399999999906868,2701432.329999999608845,2634183.360000000335276,10494376.329999998211861
FS( 107 ),2637271.359999999869615,2557062.450000000186265,2694253.399999999441206,2659419.679999999701977,10548006.890000000596046
FS( 108 ),2598228.600000000093132,2522792.649999999906868,2687919.049999999813735,2670191.280000000260770,10479131.580000000074506
FS( 109 ),2630805.680000000167638,2559648.850000000093132,2730570.339999999385327,2645878.239999999757856,10566903.109999999403954
FS( 110 ),2632795.120000000111759,2554961.000000000000000,2726347.439999999944121,2648340.319999999832362,10562443.880000000819564
FS( 111 ),2672832.600000000093132,2620267.600000000093132,2799825.899999999441206,2640030.800000000279397,10732956.900000000372529
FS( 112 ),2694965.120000000111759,2632229.700000000186265,2791380.099999999627471,2639415.280000000260770,10757990.199999999254942
FS( 113 ),2705907.040000000037253,2642090.350000000093132,2781667.429999999701977,2646493.759999999776483,10776158.580000000074506
FS( 114 ),2685763.959999999962747,2621884.100000000093132,2756752.319999999832362,2656342.080000000074506,10720742.460000000894070
FS( 115 ),2684023.200000000186265,2648879.650000000372529,2764353.539999999571592,2669268.000000000000000,10766524.390000000596046
FS( 116 ),2690240.200000000186265,2639019.000000000000000,2758441.479999999515712,2678808.560000000055879,10766509.240000000223517
FS( 117 ),2722568.600000000093132,2676198.500000000000000,2775333.079999999608845,2678193.040000000037253,10852293.219999998807907
FS( 118 ),2720081.799999999813735,2677815.000000000000000,2774910.789999999571592,2664651.600000000093132,10837459.189999999478459
FS( 119 ),2716102.919999999925494,2678138.299999999813735,2782512.009999999776483,2676346.479999999981374,10853099.709999999031425
FS( 120 ),2712621.399999999906868,2684442.649999999906868,2785045.750000000000000,2691118.959999999962747,10873228.759999999776483
FS( 121 ),2719584.439999999944121,2687190.699999999720603,2781245.139999999664724,2687118.080000000074506,10875138.359999999403954
FS( 122 ),2698446.640000000130385,2687675.649999999906868,2778711.399999999441206,2672961.119999999646097,10837794.809999998658895
FS( 123 ),2706901.759999999776483,2684765.950000000186265,2777444.529999999329448,2689887.920000000391155,10859000.160000000149012
FS( 124 ),2686510.000000000000000,2672157.250000000000000,2785045.750000000000000,2687118.080000000074506,10830831.080000000074506
FS( 125 ),2675070.719999999739230,2681856.250000000000000,2790113.229999999515712,2705275.920000000391155,10852316.119999999180436
FS( 126 ),2659403.879999999888241,2682987.799999999813735,2796447.579999999608845,2695427.600000000093132,10834266.859999999403954
FS( 127 ),2656419.719999999739230,2697536.300000000279397,2827274.750000000000000,2717586.319999999832362,10898817.089999999850988
FS( 128 ),2636027.959999999962747,2737948.800000000279397,2850500.699999999720603,2694196.560000000055879,10918674.019999999552965
FS( 129 ),2638514.759999999776483,2739403.649999999906868,2850500.699999999720603,2687118.080000000074506,10915537.189999999478459
FS( 130 ),2654181.600000000093132,2724046.899999999906868,2838254.289999999571592,2717894.080000000074506,10934376.869999999180436
FS( 131 ),2679049.600000000093132,2734877.450000000186265,2850078.409999999683350,2714508.720000000204891,10978514.180000001564622
FS( 132 ),2678303.560000000055879,2737302.200000000186265,2847966.959999999497086,2728050.160000000149012,10991622.879999998956919
FS( 133 ),2694716.439999999944121,2742798.299999999813735,2836142.839999999385327,2706814.720000000204891,10980472.300000000745058
FS( 134 ),2624091.319999999832362,2774966.649999999906868,2839943.449999999720603,2701582.800000000279397,10940584.220000000670552
FS( 135 ),2564656.799999999813735,2725016.799999999813735,2814606.049999999813735,2654187.759999999776483,10758467.410000000149012
FS( 136 ),2622101.879999999888241,2765267.649999999906868,2831919.939999999944121,2716047.520000000018626,10935336.989999998360872
FS( 137 ),2684520.560000000055879,2699637.750000000000000,2809538.569999999832362,2679116.319999999832362,10872813.200000001117587
FS( 138 ),2779516.319999999832362,2686059.149999999906868,2804048.799999999813735,2677885.280000000260770,10947509.550000000745058
FS( 139 ),2874014.719999999739230,2717095.950000000186265,2814183.759999999776483,2710200.080000000074506,11115494.509999999776483
FS( 140 ),2857850.520000000018626,2683472.750000000000000,2779555.979999999515712,2709892.319999999832362,11030771.569999998435378
FS( 141 ),2824527.399999999906868,2686867.399999999906868,2795180.709999999497086,2719740.640000000130385,11026316.150000000372529
FS( 142 ),2824278.719999999739230,2691070.299999999813735,2806582.539999999571592,2726203.600000000093132,11048135.159999998286366
FS( 143 ),2823781.359999999869615,2700122.700000000186265,2822629.560000000055879,2702198.319999999832362,11048731.940000001341105
FS( 144 ),2850390.120000000111759,2716126.050000000279397,2845855.509999999776483,2738821.759999999776483,11151193.439999999478459
FS( 145 ),2802892.239999999757856,2669409.199999999720603,2839943.449999999720603,2700967.280000000260770,11013212.169999998062849
FS( 146 ),2807119.799999999813735,2610406.949999999720603,2777866.819999999832362,2703737.119999999646097,10899130.689999999478459
FS( 147 ),2812342.080000000074506,2633199.599999999627471,2802359.639999999664724,2719432.879999999888241,10967334.199999999254942
FS( 148 ),2833728.560000000055879,2642252.000000000000000,2817139.789999999571592,2753286.479999999981374,11046406.830000000074506
FS( 149 ),2789712.200000000186265,2569509.500000000000000,2772377.049999999813735,2715432.000000000000000,10847030.750000000000000
FS( 150 ),2811347.359999999869615,2607012.300000000279397,2812072.310000000055879,2762211.520000000018626,10992643.490000000223517
FS( 151 ),2798167.319999999832362,2603779.299999999813735,2808693.989999999757856,2728665.679999999701977,10939306.289999999105930
FS( 152 ),2810103.959999999962747,2623177.300000000279397,2812494.599999999627471,2719125.119999999646097,10964900.979999998584390
FS( 153 ),2811347.359999999869615,2689938.750000000000000,2858524.209999999497086,2734513.119999999646097,11094323.439999997615814
FS( 154 ),2832236.479999999981374,2702062.500000000000000,2866125.429999999701977,2745900.239999999757856,11146324.650000000372529
FS( 155 ),2836464.040000000037253,2745384.700000000186265,2876260.389999999664724,2769905.520000000018626,11228014.649999998509884
FS( 156 ),2885951.359999999869615,2764944.350000000093132,2898641.759999999776483,2740976.080000000074506,11290513.549999998882413
FS( 157 ),2892168.359999999869615,2732614.350000000093132,2884706.189999999944121,2724972.560000000055879,11234461.460000000894070
FS( 158 ),2918031.080000000074506,2736817.250000000000000,2877104.969999999739230,2725895.839999999850988,11257849.140000000596046
FS( 159 ),2909078.600000000093132,2706427.049999999813735,2860635.659999999683350,2715739.759999999776483,11191881.070000000298023
FS( 160 ),2925242.799999999813735,2756538.550000000279397,2851345.279999999329448,2721587.200000000186265,11254713.829999998211861
FS( 161 ),2923253.359999999869615,2731967.750000000000000,2836565.129999999888241,2703121.600000000093132,11194907.839999997988343
FS( 162 ),2921263.919999999925494,2790646.699999999720603,2858946.500000000000000,2691426.720000000204891,11262283.839999999850988
FS( 163 ),2912560.120000000111759,2821036.899999999906868,2886395.349999999627471,2632644.560000000055879,11252636.929999999701977
FS( 164 ),2911068.040000000037253,2821036.899999999906868,2882594.739999999757856,2613871.200000000186265,11228570.879999998956919
FS( 165 ),2899628.759999999776483,2823623.299999999813735,2892307.409999999683350,2595405.600000000093132,11210965.069999998435378
FS( 166 ),2925740.160000000149012,2830897.550000000279397,2908354.429999999701977,2588327.119999999646097,11253319.259999999776483
FS( 167 ),2940660.959999999962747,2837848.500000000000000,2905398.399999999441206,2676654.239999999757856,11360562.099999999627471
FS( 168 ),2874512.080000000074506,2862419.299999999813735,2919333.969999999739230,2689887.920000000391155,11346153.269999999552965
FS( 169 ),2846908.600000000093132,2873411.500000000000000,2923556.870000000111759,2664651.600000000093132,11308528.569999998435378
FS( 170 ),2828008.919999999925494,2863550.849999999627471,2918489.389999999664724,2672653.360000000335276,11282702.519999999552965
FS( 171 ),2823532.680000000167638,2881332.350000000093132,2924823.739999999757856,2671422.319999999832362,11301111.089999999850988
FS( 172 ),2772553.279999999795109,2878422.649999999906868,2912577.329999999608845,2672961.119999999646097,11236514.379999998956919
FS( 173 ),2775040.080000000074506,2854498.450000000186265,2900330.919999999925494,2669575.759999999776483,11199445.209999999031425
FS( 174 ),2731272.399999999906868,2848517.399999999906868,2887662.219999999739230,2665267.119999999646097,11132719.139999998733401
FS( 175 ),2706653.080000000074506,2843829.549999999813735,2861480.239999999757856,2618487.600000000093132,11030450.469999998807907
FS( 176 ),2745695.839999999850988,2933706.949999999720603,2951005.719999999739230,2664036.080000000074506,11294444.589999997988343
FS( 177 ),2761860.040000000037253,2940819.549999999813735,2957340.069999999832362,2691734.479999999981374,11351754.140000000596046
FS( 178 ),2757383.799999999813735,3113946.699999999720603,3093317.449999999720603,2644647.200000000186265,11609295.149999998509884
FS( 179 ),2680541.680000000167638,3247146.300000000279397,3236896.049999999813735,2553242.479999999981374,11717826.510000001639128
FS( 180 ),2696457.200000000186265,3296772.850000000093132,3238585.209999999497086,2572323.600000000093132,11804138.859999999403954
FS( 181 ),2628816.239999999757856,3381477.450000000186265,3357670.989999999757856,2554473.520000000018626,11922438.199999999254942
FS( 182 ),2663631.439999999944121,3413969.100000000093132,3351336.639999999664724,2573554.640000000130385,12002491.820000000298023
FS( 183 ),2735251.279999999795109,3334275.649999999906868,3268567.799999999813735,2560320.959999999962747,11898415.690000001341105
FS( 184 ),2734256.560000000055879,3388751.699999999720603,3294749.779999999329448,2556627.839999999850988,11974385.879999998956919
FS( 185 ),2736992.040000000037253,3400390.500000000000000,3281658.789999999571592,2523697.520000000018626,11942738.849999999627471
FS( 186 ),2778521.600000000093132,3412190.950000000186265,3296016.649999999441206,2543394.160000000149012,12030123.359999999403954
FS( 187 ),2780262.359999999869615,3412675.900000000372529,3316286.569999999832362,2547087.280000000260770,12056312.109999999403954
FS( 188 ),2766087.600000000093132,3432073.899999999906868,3330222.139999999664724,2544625.200000000186265,12073008.839999999850988
FS( 189 ),2780013.680000000167638,3417040.449999999720603,3328955.269999999552965,2568630.479999999981374,12094639.879999998956919
FS( 190 ),2774542.719999999739230,3400390.500000000000000,3307418.479999999515712,2556627.839999999850988,12038979.539999999105930
FS( 191 ),2771807.239999999757856,3423021.500000000000000,3332755.879999999888241,2551088.160000000149012,12078672.780000001192093
FS( 192 ),2748431.319999999832362,3544905.600000000093132,3385542.129999999888241,2537854.479999999981374,12216733.530000001192093
FS( 193 ),2722817.279999999795109,3663556.699999999720603,3453953.109999999869615,2519388.879999999888241,12359715.969999998807907
FS( 194 ),2733013.160000000149012,3610697.150000000372529,3445929.599999999627471,2536007.920000000391155,12325647.830000000074506
FS( 195 ),2713367.439999999944121,3694593.500000000000000,3516029.739999999757856,2554165.759999999776483,12478156.439999999478459
FS( 196 ),2734256.560000000055879,3740340.449999999720603,3534188.209999999497086,2551703.679999999701977,12560488.899999998509884
FS( 197 ),2761114.000000000000000,3807910.149999999906868,3550235.229999999515712,2590789.200000000186265,12710048.579999998211861
FS( 198 ),2788220.120000000111759,3903122.000000000000000,3594575.679999999701977,2569861.520000000018626,12855779.320000000298023
FS( 199 ),2833728.560000000055879,3909588.000000000000000,3610200.409999999683350,2596636.640000000130385,12950153.610000001266599
FS( 200 ),2817564.359999999869615,3833935.799999999813735,3578106.370000000111759,2620026.399999999906868,12849632.930000001564622
FS( 201 ),2864564.879999999888241,3856243.500000000000000,3579373.239999999757856,2621565.200000000186265,12921746.820000000298023
FS( 202 ),2864564.879999999888241,3878551.200000000186265,3578106.370000000111759,2596636.640000000130385,12917859.089999999850988
FS( 203 ),2880231.719999999739230,3928177.750000000000000,3631737.199999999720603,2606177.200000000186265,13046323.870000001043081
FS( 204 ),2883961.919999999925494,3861901.250000000000000,3586974.459999999497086,2606177.200000000186265,12939014.829999998211861
FS( 205 ),2900623.479999999981374,3864649.299999999813735,3607666.669999999925494,2607100.479999999981374,12980039.929999999701977
FS( 206 ),2908332.560000000055879,3929632.600000000093132,3654118.569999999832362,2602791.839999999850988,13094875.570000000298023
FS( 207 ),2911068.040000000037253,3902960.350000000093132,3663408.949999999720603,2593866.800000000279397,13071304.140000000596046
FS( 208 ),2891919.680000000167638,3881622.550000000279397,3669321.009999999776483,2599714.239999999757856,13042577.480000000447035
FS( 209 ),2897639.319999999832362,3895362.799999999813735,3676077.649999999441206,2614794.479999999981374,13083874.250000000000000
FS( 210 ),2916041.640000000130385,3904900.149999999906868,3679455.969999999739230,2603715.119999999646097,13104112.879999998956919
FS( 211 ),2903607.640000000130385,3890190.000000000000000,3652851.699999999720603,2587403.839999999850988,13034053.179999999701977
FS( 212 ),2902861.600000000093132,3850262.450000000186265,3627092.009999999776483,2596021.119999999646097,12976237.179999999701977
FS( 213 ),2880231.719999999739230,3870792.000000000000000,3643983.609999999869615,2587711.600000000093132,12982718.929999999701977
FS( 214 ),2888438.160000000149012,3905061.799999999813735,3683678.870000000111759,2591404.720000000204891,13068583.550000000745058
FS( 215 ),2885205.319999999832362,3930279.199999999720603,3670165.589999999385327,2600637.520000000018626,13086287.629999998956919
FS( 216 ),2899877.439999999944121,3901020.549999999813735,3636382.389999999664724,2617872.080000000074506,13055152.459999999031425
FS( 217 ),2932205.839999999850988,3958891.250000000000000,3636804.679999999701977,2616948.800000000279397,13144850.570000000298023
FS( 218 ),2959063.279999999795109,3926399.599999999627471,3639338.419999999925494,2597559.920000000391155,13122361.219999998807907
FS( 219 ),2962047.439999999944121,3921226.799999999813735,3649895.669999999925494,2569553.759999999776483,13102723.669999999925494
FS( 220 ),2977962.959999999962747,3972793.149999999906868,3677344.519999999552965,2577555.520000000018626,13205656.149999998509884
FS( 221 ),2965528.959999999962747,3941756.350000000093132,3641872.159999999683350,2580325.360000000335276,13129482.830000001937151
FS( 222 ),2960306.680000000167638,3949192.250000000000000,3661297.500000000000000,2585557.280000000260770,13156353.710000000894070
FS( 223 ),2984179.959999999962747,3810819.850000000093132,3528276.149999999441206,2622488.479999999981374,12945764.440000001341105
FS( 224 ),2983931.279999999795109,3787380.600000000093132,3544745.459999999497086,2613871.200000000186265,12929928.539999999105930
FS( 225 ),2978709.000000000000000,3740825.399999999906868,3517718.899999999441206,2606792.720000000204891,12844046.020000001415610
