代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14407513.290000000968575
真實報酬,4407513.290000000968575

夏普值報酬,0.432051329000000
夏普值風險,0.117348665818255
夏普值,3.681774530518684

二次趨勢線,37.900874633987002 x^2 + 8635.794966812458370 x + 10000000.000000000000000
二次加權預期報酬,21395.756093588090152
風險,209406.411250689736335
二次加權趨勢值,0.102173357376218
一次趨勢線,15813.244956409915176 x + 10000000.000000000000000
一次預期報酬,15813.244956409915176
一次風險,342026.170300502271857
一次趨勢值,0.046234020462576
找到最佳解世代,1905
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
BA[2](1),DD[7](7),MMM[16](2),UNH[23](6),
FS( 13 ),2541318.549999999813735,2389809.219999999739230,2508963.520000000018626,2322652.079999999608845,9762743.369999999180436
FS( 14 ),2561801.250000000000000,2390392.239999999757856,2493557.469999999739230,2332748.620000000111759,9778499.580000000074506
FS( 15 ),2583343.399999999906868,2392724.319999999832362,2491316.589999999850988,2349868.839999999850988,9817253.149999998509884
FS( 16 ),2604179.249999999534339,2439365.919999999925494,2528851.330000000074506,2366989.060000000055879,9939385.560000000521541
FS( 17 ),2622896.199999999720603,2456273.500000000000000,2523529.240000000223517,2349868.839999999850988,9952567.779999999329448
FS( 18 ),2630665.499999999534339,2466767.859999999869615,2529691.660000000149012,2308604.720000000204891,9935729.740000000223517
FS( 19 ),2616539.500000000000000,2480177.319999999832362,2547058.479999999981374,2315628.399999999906868,9959403.700000001117587
FS( 20 ),2617598.950000000186265,2490671.679999999701977,2539215.400000000372529,2386304.179999999701977,10033790.210000000894070
FS( 21 ),2623249.350000000093132,2506413.219999999739230,2547618.700000000186265,2387621.120000000111759,10064902.390000000596046
FS( 22 ),2614067.449999999720603,2432952.699999999720603,2529411.549999999813735,2365672.120000000111759,9942103.820000000298023
FS( 23 ),2615126.899999999906868,2432369.679999999701977,2524369.570000000298023,2350307.819999999832362,9922173.970000000670552
FS( 24 ),2608770.200000000186265,2448694.239999999757856,2542296.610000000335276,2363477.220000000204891,9963238.269999999552965
FS( 25 ),2612654.850000000093132,2460937.659999999683350,2547618.700000000186265,2355136.599999999627471,9976347.809999998658895
FS( 26 ),2635962.750000000000000,2515741.539999999571592,2563304.860000000335276,2364794.159999999683350,10079803.309999998658895
FS( 27 ),2667393.100000000093132,2541394.419999999925494,2573388.820000000298023,2378841.520000000018626,10161017.859999999403954
FS( 28 ),2677634.449999999720603,2578124.679999999701977,2624088.729999999981374,2403863.379999999888241,10283711.239999998360872
FS( 29 ),2665274.199999999720603,2586286.959999999497086,2608402.570000000298023,2425373.399999999906868,10285337.129999998956919
FS( 30 ),2624661.949999999720603,2576375.619999999646097,2591035.750000000000000,2387182.140000000130385,10179255.459999999031425
FS( 31 ),2614067.449999999720603,2608441.719999999739230,2584873.330000000074506,2372695.799999999813735,10180078.300000000745058
FS( 32 ),2636315.899999999906868,2641673.859999999869615,2605881.580000000074506,2386304.179999999701977,10270175.519999999552965
FS( 33 ),2667039.949999999720603,2722713.640000000130385,2628850.599999999627471,2412204.000000000000000,10430808.189999999478459
FS( 34 ),2666686.800000000279397,2692396.599999999627471,2605601.469999999739230,2392010.919999999925494,10356695.789999999105930
FS( 35 ),2691054.149999999906868,2697643.779999999795109,2636693.679999999701977,2434591.979999999981374,10459983.589999999850988
FS( 36 ),2689994.700000000186265,2656249.359999999869615,2607842.349999999627471,2415715.839999999850988,10369802.250000000000000
FS( 37 ),2682931.699999999720603,2671990.899999999441206,2610363.339999999850988,2407814.200000000186265,10373100.140000000596046
FS( 38 ),2684697.449999999720603,2691813.580000000074506,2607002.020000000018626,2380158.459999999962747,10363671.509999997913837
FS( 39 ),2677987.599999999627471,2666743.719999999739230,2594957.290000000037253,2389816.020000000018626,10329504.629999998956919
FS( 40 ),2637728.500000000000000,2625349.299999999813735,2570867.830000000074506,2364355.179999999701977,10198300.809999998658895
FS( 41 ),2661389.549999999813735,2684234.319999999832362,2600839.599999999627471,2381036.419999999925494,10327499.889999998733401
FS( 42 ),2721778.199999999720603,2744285.379999999888241,2654900.830000000074506,2394205.819999999832362,10515170.230000000447035
FS( 43 ),2735904.199999999720603,2752447.659999999683350,2651819.620000000111759,2282265.919999999925494,10422437.399999998509884
FS( 44 ),2743673.500000000000000,2792093.020000000018626,2671427.320000000298023,2286655.720000000204891,10493849.560000000521541
FS( 45 ),2688582.099999999627471,2789177.919999999925494,2674788.639999999664724,2286655.720000000204891,10439204.379999998956919
FS( 46 ),2617952.099999999627471,2748366.520000000018626,2675068.750000000000000,2256366.099999999627471,10297753.469999998807907
FS( 47 ),2710830.550000000279397,2781598.659999999683350,2700558.759999999776483,2298947.159999999683350,10491935.129999998956919
FS( 48 ),2722484.500000000000000,2809583.619999999646097,2714004.040000000037253,2331431.679999999701977,10577503.839999999850988
FS( 49 ),2654326.549999999813735,2811332.679999999701977,2696917.330000000074506,2318701.259999999776483,10481277.820000000298023
FS( 50 ),2703414.399999999906868,2846313.879999999888241,2719326.129999999888241,2342406.179999999701977,10611460.589999999850988
FS( 51 ),2717187.250000000000000,2830572.339999999385327,2725208.439999999944121,2353819.659999999683350,10626787.689999999478459
FS( 52 ),2625368.250000000000000,2794425.099999999627471,2733891.849999999627471,2355575.579999999608845,10509260.779999999329448
FS( 53 ),2657858.050000000279397,2807251.539999999571592,2747337.129999999888241,2388060.099999999627471,10600506.820000000298023
FS( 54 ),2650088.750000000000000,2806085.500000000000000,2765824.389999999664724,2395083.779999999795109,10617082.419999999925494
FS( 55 ),2619011.549999999813735,2818911.939999999944121,2782350.879999999888241,2459174.859999999869615,10679449.230000000447035
FS( 56 ),2623602.500000000000000,2829406.299999999813735,2786832.639999999664724,2454346.079999999608845,10694187.519999999552965
FS( 57 ),2659976.949999999720603,2858557.299999999813735,2791874.620000000111759,2467954.459999999962747,10778363.330000000074506
FS( 58 ),2649735.600000000093132,2871383.739999999757856,2817644.740000000223517,2460052.819999999832362,10798816.900000000372529
FS( 59 ),2613361.149999999906868,2857974.279999999795109,2819325.400000000372529,2449956.279999999795109,10740617.109999999403954
FS( 60 ),2601000.899999999906868,2883627.159999999683350,2851818.160000000149012,2470588.339999999850988,10807034.559999998658895
FS( 61 ),2634197.000000000000000,2873715.819999999832362,2823527.049999999813735,2461808.739999999757856,10793248.609999999403954
FS( 62 ),2608770.200000000186265,2673739.959999999497086,2816524.299999999813735,2423617.479999999981374,10522651.939999999478459
FS( 63 ),2644085.200000000186265,2705806.059999999590218,2844815.410000000149012,2448200.359999999869615,10642907.029999999329448
FS( 64 ),2656092.299999999813735,2667909.759999999776483,2822686.719999999739230,2447322.399999999906868,10594011.179999999701977
FS( 65 ),2680106.500000000000000,2682485.259999999776483,2842854.639999999664724,2535996.359999999869615,10741442.759999999776483
FS( 66 ),2694232.500000000000000,2701141.899999999441206,2876467.839999999850988,2518876.140000000130385,10790718.379999998956919
FS( 67 ),2734491.600000000093132,2673739.959999999497086,2863302.669999999925494,2504389.799999999813735,10775924.029999999329448
FS( 68 ),2703767.549999999813735,2691813.580000000074506,2875627.509999999776483,2534679.419999999925494,10805888.059999998658895
FS( 69 ),2679400.200000000186265,2696477.739999999757856,2874507.070000000298023,2507462.659999999683350,10757847.669999999925494
FS( 70 ),2683637.999999999534339,2719798.539999999571592,2898036.310000000055879,2502633.879999999888241,10804106.730000000447035
FS( 71 ),2640906.850000000093132,2740204.239999999757856,2881229.709999999962747,2512291.439999999944121,10774632.240000000223517
FS( 72 ),2646204.100000000093132,2697643.779999999795109,2878988.830000000074506,2504389.799999999813735,10727226.509999999776483
FS( 73 ),2649735.600000000093132,2670241.839999999385327,2891593.780000000260770,2516242.259999999776483,10727813.480000000447035
FS( 74 ),2636315.899999999906868,2673739.959999999497086,2918204.229999999981374,2487269.579999999608845,10715529.669999999925494
FS( 75 ),2640906.850000000093132,2627098.359999999869615,2889352.900000000372529,2423617.479999999981374,10580975.589999999850988
FS( 76 ),2684344.300000000279397,2560634.080000000074506,2877308.169999999925494,2424934.419999999925494,10547220.970000000670552
FS( 77 ),2707299.049999999813735,2605526.619999999646097,2900277.189999999944121,2391132.959999999962747,10604235.820000000298023
FS( 78 ),2649735.600000000093132,2543726.500000000000000,2850137.500000000000000,2339772.299999999813735,10383371.899999998509884
FS( 79 ),2671630.899999999906868,2564715.219999999739230,2865823.660000000149012,2328797.799999999813735,10430967.579999998211861
FS( 80 ),2732019.549999999813735,2641090.839999999385327,2901117.520000000018626,2364794.159999999683350,10639022.069999998435378
FS( 81 ),2715774.649999999906868,2633511.580000000074506,2913162.250000000000000,2346357.000000000000000,10608805.480000000447035
FS( 82 ),2729194.350000000093132,2641090.839999999385327,2906719.719999999739230,2349429.859999999869615,10626434.769999999552965
FS( 83 ),2722484.500000000000000,2650419.159999999683350,2892994.330000000074506,2340650.259999999776483,10606548.250000000000000
FS( 84 ),2777929.049999999813735,2673739.959999999497086,2925767.200000000186265,2348551.899999999906868,10725988.109999999403954
FS( 85 ),2792761.349999999627471,2715717.399999999441206,2931649.509999999776483,2353380.679999999701977,10793508.939999997615814
FS( 86 ),2862331.899999999906868,2698226.799999999813735,2928288.189999999944121,2361721.299999999813735,10850568.189999997615814
FS( 87 ),2868688.600000000093132,2720964.580000000074506,2961061.060000000055879,2362160.279999999795109,10912874.519999999552965
FS( 88 ),2929077.250000000000000,2739038.199999999720603,2963862.160000000149012,2379719.479999999981374,11011697.089999999850988
FS( 89 ),2972161.549999999813735,2760026.919999999925494,2944814.679999999701977,2406936.239999999757856,11083939.389999998733401
FS( 90 ),2992997.399999999906868,2757111.819999999832362,2943694.240000000223517,2391571.939999999944121,11085375.400000000372529
FS( 91 ),2988406.450000000186265,2795591.140000000130385,2969744.469999999739230,2402546.439999999944121,11156288.499999998137355
FS( 92 ),3052326.600000000093132,2807251.539999999571592,2980388.650000000372529,2402546.439999999944121,11242513.229999998584390
FS( 93 ),3008182.850000000093132,2762359.000000000000000,2952657.759999999776483,2414398.899999999906868,11137598.509999999776483
FS( 94 ),3019836.800000000279397,2755945.779999999795109,2946215.229999999981374,2421861.560000000055879,11143859.370000001043081
FS( 95 ),3014892.700000000186265,2776351.479999999515712,2959660.509999999776483,2409131.140000000130385,11160035.830000000074506
FS( 96 ),2978165.099999999627471,2696477.739999999757856,2939492.589999999850988,2417032.779999999795109,11031168.209999999031425
FS( 97 ),2995469.449999999720603,2721547.599999999627471,2980948.870000000111759,2390693.979999999981374,11088659.899999998509884
FS( 98 ),2996528.899999999906868,2680736.199999999720603,2945935.120000000111759,2408253.179999999701977,11031453.399999998509884
FS( 99 ),3059036.450000000186265,2656832.379999999888241,2971145.020000000018626,2442932.599999999627471,11129946.449999999254942
FS( 100 ),3044204.149999999906868,2638758.759999999776483,2949296.439999999944121,2485513.659999999683350,11117773.009999999776483
FS( 101 ),3031843.899999999906868,2643422.919999999925494,2977867.660000000149012,2511413.479999999981374,11164547.960000000894070
FS( 102 ),3010654.899999999906868,2604360.580000000074506,2959380.400000000372529,2588673.959999999962747,11163069.839999999850988
FS( 103 ),2969689.500000000000000,2569962.399999999441206,2983749.969999999739230,2710271.419999999925494,11233673.289999999105930
FS( 104 ),2979224.549999999813735,2574043.539999999571592,2960220.729999999981374,2707198.560000000055879,11220687.380000000819564
FS( 105 ),3000060.399999999906868,2609607.759999999776483,2964142.270000000018626,2723001.839999999850988,11296812.269999999552965
FS( 106 ),3043144.700000000186265,2565298.239999999757856,2963021.830000000074506,2726074.700000000186265,11297539.469999998807907
FS( 107 ),3063627.399999999906868,2547224.619999999646097,2962181.500000000000000,2716856.120000000111759,11289889.640000000596046
FS( 108 ),3079872.299999999813735,2610190.779999999795109,2967783.700000000186265,2729586.540000000037253,11387433.320000000298023
FS( 109 ),3101414.449999999720603,2642839.899999999441206,3016522.839999999850988,2739683.079999999608845,11500460.269999999552965
FS( 110 ),3126488.100000000093132,2645171.979999999515712,3032209.000000000000000,2764704.939999999944121,11568574.019999999552965
FS( 111 ),3139201.500000000000000,2635843.659999999683350,3016242.729999999981374,2766899.839999999850988,11558187.730000000447035
FS( 112 ),3064333.699999999720603,2505830.199999999720603,2962461.610000000335276,2703686.720000000204891,11236312.230000000447035
FS( 113 ),3068571.500000000000000,2513409.459999999497086,2973385.900000000372529,2757242.279999999795109,11312609.139999998733401
FS( 114 ),3061508.500000000000000,2515741.539999999571592,2954618.530000000260770,2723001.839999999850988,11254870.410000000149012
FS( 115 ),3041378.950000000186265,2505830.199999999720603,2940613.030000000260770,2620280.520000000018626,11108102.699999999254942
FS( 116 ),3106358.549999999813735,2536730.259999999776483,2961061.060000000055879,2635644.819999999832362,11239794.689999999478459
FS( 117 ),3070337.250000000000000,2572877.500000000000000,2963582.049999999813735,2599648.459999999962747,11206445.260000001639128
FS( 118 ),3114127.850000000093132,2628847.419999999925494,3008119.540000000037253,2569797.819999999832362,11320892.629999998956919
FS( 119 ),3207712.599999999627471,2670824.859999999869615,3021564.820000000298023,2580772.319999999832362,11480874.599999999627471
FS( 120 ),3237377.200000000186265,2820661.000000000000000,2937811.929999999701977,2604916.220000000204891,11600766.349999999627471
FS( 121 ),3279048.899999999906868,2774602.419999999925494,2907279.939999999944121,2611061.939999999944121,11571993.199999999254942
FS( 122 ),3245499.649999999906868,2811915.699999999720603,2908400.379999999888241,2634327.879999999888241,11600143.609999999403954
FS( 123 ),3228195.299999999813735,2815413.819999999832362,2933050.060000000055879,2630816.040000000037253,11607475.219999998807907
FS( 124 ),3220072.850000000093132,2752447.659999999683350,2928568.299999999813735,2621597.459999999962747,11522686.269999999552965
FS( 125 ),3256447.299999999813735,2750115.580000000074506,2970304.689999999944121,2611061.939999999944121,11587929.509999999776483
FS( 126 ),3310479.249999999534339,2819494.959999999497086,3020444.379999999888241,2586479.060000000055879,11736897.650000000372529
FS( 127 ),3326371.000000000000000,2823576.099999999627471,3020724.490000000223517,2642668.500000000000000,11813340.089999999850988
FS( 128 ),3347560.000000000000000,2867885.619999999646097,3025486.360000000335276,2655837.899999999906868,11896769.880000000819564
FS( 129 ),3321073.750000000000000,2865553.539999999571592,3030808.450000000186265,2744072.879999999888241,11961508.619999997317791
FS( 130 ),3341203.299999999813735,2899368.699999999720603,3078987.370000000111759,2722123.879999999888241,12041683.250000000000000
FS( 131 ),3328136.749999999534339,2860889.379999999888241,3094673.530000000260770,2761632.079999999608845,12045331.740000000223517
FS( 132 ),3346500.550000000279397,2852144.080000000074506,3095233.750000000000000,2738805.120000000111759,12032683.500000000000000
FS( 133 ),3394175.799999999813735,2899951.719999999739230,3097754.740000000223517,2709832.439999999944121,12101714.699999999254942
FS( 134 ),3426312.449999999720603,2934349.899999999441206,3123244.750000000000000,2704564.679999999701977,12188471.779999999329448
FS( 135 ),3410773.849999999627471,2914527.219999999739230,3111200.020000000018626,2727830.620000000111759,12164331.710000000894070
FS( 136 ),3493410.950000000186265,2973995.259999999776483,3120163.540000000037253,2758559.220000000204891,12346128.970000000670552
FS( 137 ),3486347.949999999720603,2956504.659999999683350,3129407.169999999925494,2746267.779999999795109,12318527.559999998658895
FS( 138 ),3487407.399999999906868,2970497.140000000130385,3137530.360000000335276,2759876.159999999683350,12355311.060000000521541
FS( 139 ),3458449.100000000093132,2915693.259999999776483,3103356.939999999944121,2733976.339999999850988,12211475.639999998733401
FS( 140 ),3522722.399999999906868,2914527.219999999739230,3092712.759999999776483,2737488.179999999701977,12267450.559999998658895
FS( 141 ),3531551.149999999906868,2912778.159999999683350,3088791.219999999739230,2724318.779999999795109,12257439.309999998658895
FS( 142 ),3535435.799999999813735,2909280.039999999571592,3125765.740000000223517,2780508.220000000204891,12350989.800000000745058
FS( 143 ),3499414.500000000000000,2901117.759999999776483,3112880.679999999701977,2780947.200000000186265,12294360.140000000596046
FS( 144 ),3550621.250000000000000,2889457.359999999869615,3121003.870000000111759,2838453.579999999608845,12399536.060000000521541
FS( 145 ),3496942.449999999720603,2860889.379999999888241,3088791.219999999739230,2749340.640000000130385,12195963.690000001341105
FS( 146 ),3557684.249999999534339,2850978.039999999571592,3098314.959999999962747,2756803.299999999813735,12263780.550000000745058
FS( 147 ),3517778.299999999813735,2874298.839999999385327,3081788.469999999739230,2737488.179999999701977,12211353.789999999105930
FS( 148 ),3478225.499999999534339,2794425.099999999627471,3041732.740000000223517,2710710.399999999906868,12025093.740000000223517
FS( 149 ),3523075.550000000279397,2813664.759999999776483,3043973.620000000111759,2718173.060000000055879,12098886.990000000223517
FS( 150 ),3619485.499999999534339,2852144.080000000074506,3112320.459999999962747,2746706.759999999776483,12330656.799999998882413
FS( 151 ),3610656.749999999534339,2850395.020000000018626,3103917.160000000149012,2795433.540000000037253,12360402.469999998807907
FS( 152 ),3593352.399999999906868,2822993.080000000074506,3087390.669999999925494,2806408.040000000037253,12310144.190000001341105
FS( 153 ),3562628.349999999627471,2805502.479999999515712,3054057.580000000074506,2802018.239999999757856,12224206.650000000372529
FS( 154 ),3607831.549999999813735,2876630.919999999925494,3114841.450000000186265,2816065.600000000093132,12415369.519999999552965
FS( 155 ),3596177.599999999627471,2823576.099999999627471,3110079.580000000074506,2800701.299999999813735,12330534.579999998211861
FS( 156 ),3638555.600000000093132,2834653.479999999515712,3134729.259999999776483,2825723.160000000149012,12433661.500000000000000
FS( 157 ),3675636.349999999627471,2874298.839999999385327,3164420.919999999925494,2883229.540000000037253,12597585.649999998509884
FS( 158 ),3611009.899999999906868,2831155.359999999869615,3125205.520000000018626,2864792.380000000353903,12432163.160000000149012
FS( 159 ),3518837.750000000000000,2755945.779999999795109,3047054.830000000074506,2800701.299999999813735,12122539.660000000149012
FS( 160 ),3530844.850000000093132,2709304.179999999701977,3069743.740000000223517,2805091.099999999627471,12114983.869999999180436
FS( 161 ),3455623.899999999906868,2685983.379999999888241,3011200.750000000000000,2838014.600000000093132,11990822.629999998956919
FS( 162 ),3484582.200000000186265,2698226.799999999813735,3031928.889999999664724,2797628.439999999944121,12012366.330000000074506
FS( 163 ),3558037.399999999906868,2673739.959999999497086,3072264.729999999981374,2843721.339999999850988,12147763.429999999701977
FS( 164 ),3642793.399999999906868,2685983.379999999888241,3087950.889999999664724,2901227.720000000204891,12317955.389999998733401
FS( 165 ),3617719.750000000000000,2670824.859999999869615,3063021.099999999627471,2874449.939999999944121,12226015.649999998509884
FS( 166 ),3645971.749999999534339,2698226.799999999813735,3061900.660000000149012,2881034.639999999664724,12287133.849999997764826
FS( 167 ),3583464.199999999720603,2693562.640000000130385,3045654.280000000260770,2865231.359999999869615,12187912.480000000447035
FS( 168 ),3633611.500000000000000,2692396.599999999627471,3065822.200000000186265,2877083.820000000298023,12268914.120000001043081
FS( 169 ),3679874.149999999906868,2713968.339999999385327,3124365.189999999944121,2904739.560000000055879,12422947.240000000223517
FS( 170 ),3685877.700000000186265,2747200.479999999515712,3140891.679999999701977,2965757.779999999795109,12539727.639999998733401
FS( 171 ),3696825.350000000093132,2824742.140000000130385,3175065.099999999627471,2983755.959999999962747,12680388.550000000745058
FS( 172 ),3725783.649999999906868,2805502.479999999515712,3177305.979999999981374,2971464.520000000018626,12680056.629999998956919
FS( 173 ),3774518.349999999627471,2839317.640000000130385,3208118.080000000074506,3000876.179999999701977,12822830.250000000000000
FS( 174 ),3597590.200000000186265,2832904.419999999925494,3225204.790000000037253,2985072.899999999906868,12640772.310000000521541
FS( 175 ),3731434.049999999813735,2856225.219999999739230,3217081.599999999627471,2968391.660000000149012,12773132.529999999329448
FS( 176 ),3680933.600000000093132,2820661.000000000000000,3202795.990000000223517,2937224.079999999608845,12641614.669999999925494
FS( 177 ),3700710.000000000000000,2883627.159999999683350,3211199.290000000037253,2907373.439999999944121,12702909.889999998733401
FS( 178 ),3801004.599999999627471,2871383.739999999757856,3234728.530000000260770,3097012.799999999813735,13004129.670000001788139
FS( 179 ),3777343.549999999813735,2878379.979999999515712,3254616.339999999850988,3136521.000000000000000,13046860.869999999180436
FS( 180 ),3773812.049999999813735,2871966.759999999776483,3257137.330000000074506,3168566.540000000037253,13071482.679999999701977
FS( 181 ),3806655.000000000000000,2868468.640000000130385,3270302.500000000000000,3190954.520000000018626,13136380.660000000149012
FS( 182 ),3776990.399999999906868,2853893.140000000130385,3258537.879999999888241,3183930.839999999850988,13073352.259999999776483
FS( 183 ),3768161.649999999906868,2905198.899999999441206,3264700.299999999813735,3187881.660000000149012,13125942.509999997913837
FS( 184 ),3729315.149999999906868,2881295.080000000074506,3274784.259999999776483,3169883.479999999515712,13055277.969999998807907
FS( 185 ),3701416.299999999813735,2905781.919999999925494,3266380.959999999962747,3195344.320000000298023,13068923.500000000000000
FS( 186 ),3733906.100000000093132,2911029.099999999627471,3272823.490000000223517,3172517.359999999869615,13090276.049999998882413
FS( 187 ),3711657.649999999906868,2909280.039999999571592,3289349.979999999981374,3197978.199999999720603,13108265.869999999180436
FS( 188 ),3768161.649999999906868,2939014.059999999590218,3316800.759999999776483,3211586.579999999608845,13235563.049999998882413
FS( 189 ),3810539.649999999906868,3007227.399999999441206,3312599.110000000335276,3172078.380000000353903,13302444.540000000968575
FS( 190 ),3796413.649999999906868,3028799.140000000130385,3303075.370000000111759,3219488.220000000204891,13347776.380000000819564
FS( 191 ),3780168.750000000000000,2993817.939999999944121,3291310.750000000000000,3215098.419999999459833,13280395.859999999403954
FS( 192 ),3758273.450000000186265,3013057.599999999627471,3300554.379999999888241,3201051.060000000055879,13272936.490000000223517
FS( 193 ),3737790.750000000000000,3064363.359999999869615,3324363.729999999981374,3212464.540000000037253,13338982.379999998956919
FS( 194 ),3719780.099999999627471,3158229.580000000074506,3313999.660000000149012,3201490.040000000037253,13393499.379999998956919
FS( 195 ),3681286.749999999534339,3111587.979999999515712,3315960.429999999701977,3177785.120000000111759,13286620.279999997466803
FS( 196 ),3751563.600000000093132,3144820.119999999646097,3324083.620000000111759,3219927.199999999720603,13440394.539999999105930
FS( 197 ),3678461.549999999813735,3134325.759999999776483,3294672.070000000298023,3182174.919999999459833,13289634.299999998882413
FS( 198 ),3627961.100000000093132,3084769.059999999590218,3245092.599999999627471,3134326.100000000093132,13092148.859999999403954
FS( 199 ),3654094.199999999720603,3062614.299999999813735,3246493.150000000372529,3135643.040000000037253,13098844.690000001341105
FS( 200 ),3698237.949999999720603,3041042.559999999590218,3238369.959999999962747,3147934.479999999515712,13125584.949999999254942
FS( 201 ),3695059.599999999627471,3067861.479999999515712,3233047.870000000111759,3180857.979999999515712,13176826.929999999701977
FS( 202 ),3669632.799999999813735,3083603.020000000018626,3177025.870000000111759,3154080.199999999720603,13084341.890000000596046
FS( 203 ),3713070.250000000000000,3087684.159999999683350,3212039.620000000111759,3159347.959999999962747,13172141.990000002086163
FS( 204 ),3725077.350000000093132,3216531.580000000074506,3204476.650000000372529,3184369.820000000298023,13330455.400000000372529
FS( 205 ),3726843.100000000093132,3208952.319999999832362,3202515.879999999888241,3177346.139999999664724,13315657.440000001341105
FS( 206 ),3644912.299999999813735,3118584.219999999739230,3157698.280000000260770,3139593.859999999869615,13060788.660000000149012
FS( 207 ),3647031.199999999720603,3109255.899999999441206,3165261.250000000000000,3140471.820000000298023,13062020.169999999925494
FS( 208 ),3705654.100000000093132,3115086.099999999627471,3174224.770000000018626,3179980.020000000018626,13174944.989999998360872
FS( 209 ),3669985.950000000186265,3105174.759999999776483,3181507.629999999888241,3149251.419999999459833,13105919.759999999776483
FS( 210 ),3708479.300000000279397,3108672.879999999888241,3171423.669999999925494,3185247.779999999795109,13173823.629999998956919
FS( 211 ),3756507.700000000186265,3136657.839999999385327,3208678.299999999813735,3219927.199999999720603,13321771.039999999105930
FS( 212 ),3766395.899999999906868,3189129.640000000130385,3217641.820000000298023,3250216.820000000298023,13423384.179999999701977
FS( 213 ),3745913.199999999720603,3201373.059999999590218,3222403.689999999944121,3251094.779999999795109,13420784.729999998584390
FS( 214 ),3785466.000000000000000,3222361.779999999795109,3270022.389999999664724,3259435.399999999906868,13537285.569999998435378
FS( 215 ),3820074.700000000186265,3319726.119999999646097,3293831.740000000223517,3276116.639999999664724,13709749.199999999254942
FS( 216 ),3857508.600000000093132,3308648.739999999757856,3325204.060000000055879,3300260.540000000037253,13791621.940000001341105
FS( 217 ),3877638.149999999906868,3226442.919999999925494,3310918.450000000186265,3280945.419999999459833,13695944.939999999478459
FS( 218 ),3931670.099999999627471,3310397.799999999813735,3322122.849999999627471,3269531.939999999944121,13833722.689999999478459
FS( 219 ),4084937.200000000186265,3304567.599999999627471,3339769.780000000260770,3297626.660000000149012,14026901.240000000223517
FS( 220 ),4135790.799999999813735,3296988.339999999385327,3359377.479999999981374,3262069.279999999795109,14054225.899999998509884
FS( 221 ),4181347.149999999906868,3392603.619999999646097,3397472.439999999944121,3206318.820000000298023,14177742.029999999329448
FS( 222 ),4203948.750000000000000,3371614.899999999441206,3405315.520000000018626,3109743.220000000204891,14090622.390000000596046
FS( 223 ),4118839.599999999627471,3296405.319999999832362,3361618.360000000335276,3097890.759999999776483,13874754.040000000968575
FS( 224 ),4149916.800000000279397,3257926.000000000000000,3392430.459999999962747,3152763.259999999776483,13953036.520000001415610
FS( 225 ),4202536.150000000372529,3247431.640000000130385,3383747.049999999813735,3174712.259999999776483,14008427.099999999627471
