代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14149944.099999999627471
真實報酬,4149944.099999999627471

夏普值報酬,0.406294410000000
夏普值風險,0.109356500333946
夏普值,3.715320157094308

二次趨勢線,12.584459467368923 x^2 + 15472.512651081384320 x + 10000000.000000000000000
二次加權預期報酬,19692.501392472429870
風險,245233.414775782555807
二次加權趨勢值,0.080301052817282
一次趨勢線,17846.246936061488668 x + 10000000.000000000000000
一次預期報酬,17846.246936061488668
一次風險,260911.961081181449117
一次趨勢值,0.068399497141140
找到最佳解世代,2295
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
AAPL[0](3),HD[9](1),INTC[11](8),NKE[19](4),TRV[22](7),UNH[23](2),
FS( 45 ),1739472.929999999934807,1711943.799999999813735,1843422.059999999823049,1665725.460000000195578,1765092.099999999860302,1910276.400000000139698,10635936.750000000000000
FS( 46 ),1739472.929999999934807,1711499.899999999906868,1872649.439999999944121,1714633.540000000037253,1759485.550000000046566,1900381.199999999953434,10698126.559999998658895
FS( 47 ),1762268.709999999962747,1725926.650000000139698,1877520.669999999925494,1729682.180000000167638,1782119.399999999674037,1917580.000000000000000,10795101.610000001266599
FS( 48 ),1739472.929999999934807,1704175.550000000046566,1839246.719999999972060,1703817.330000000074506,1764884.449999999720603,1884596.000000000000000,10636196.980000000447035
FS( 49 ),1726679.379999999888241,1680204.949999999953434,1821849.469999999972060,1675601.130000000121072,1771321.599999999860302,1860093.600000000093132,10535754.129999998956919
FS( 50 ),1733657.679999999934807,1686197.599999999860302,1848293.289999999804422,1701936.250000000000000,1775474.599999999860302,1865512.400000000139698,10611075.820000000298023
FS( 51 ),1721096.739999999757856,1684422.000000000000000,1862906.979999999981374,1699584.900000000139698,1783572.949999999953434,1873287.200000000186265,10624874.769999999552965
FS( 52 ),1724585.889999999897555,1699736.549999999813735,1874041.219999999972060,1718865.969999999972060,1802053.799999999813735,1842188.000000000000000,10661475.429999999701977
FS( 53 ),1744357.739999999757856,1711056.000000000000000,1881696.010000000009313,1740968.660000000149012,1799977.300000000046566,1785408.400000000139698,10663468.110000001266599
FS( 54 ),1765060.029999999795109,1730365.649999999906868,1875433.000000000000000,1737676.770000000251457,1794163.100000000093132,1765853.600000000093132,10668556.150000000372529
FS( 55 ),1766920.909999999683350,1768319.100000000093132,1867778.209999999962747,1748022.710000000195578,1804337.949999999953434,1784937.200000000186265,10740320.079999998211861
FS( 56 ),1743659.909999999683350,1742794.849999999860302,1861515.199999999953434,1742379.469999999972060,1830086.549999999813735,1774806.400000000139698,10695246.380000000819564
FS( 57 ),1886715.059999999823049,1770538.599999999860302,1861515.199999999953434,1725920.020000000251457,1839638.449999999953434,1804492.000000000232831,10888823.330000000074506
FS( 58 ),1900671.659999999683350,1761882.549999999813735,1827416.590000000083819,1709460.570000000065193,1833824.250000000000000,1782581.199999999953434,10815840.820000000298023
FS( 59 ),1974176.419999999925494,1779416.600000000093132,1832287.819999999832362,1685476.800000000279397,1861441.699999999953434,1784466.000000000000000,10917269.339999999850988
FS( 60 ),1968361.169999999925494,1764989.849999999860302,1842726.169999999925494,1704287.600000000093132,1887605.600000000093132,1771743.600000000093132,10939717.989999998360872
FS( 61 ),1960917.649999999906868,1764767.900000000139698,1857339.860000000102445,1715574.080000000074506,1880960.799999999813735,1767974.000000000232831,10947538.289999999105930
FS( 62 ),1965569.849999999860302,1760772.799999999813735,1840638.500000000000000,1714633.540000000037253,1886152.049999999813735,1765853.600000000093132,10933624.339999997988343
FS( 63 ),1969059.000000000000000,1762326.450000000186265,1837854.939999999944121,1716044.350000000093132,1889682.099999999860302,1767738.400000000139698,10942709.240000000223517
FS( 64 ),1996972.199999999720603,1746568.000000000000000,1821153.580000000074506,1723568.670000000158325,1882414.350000000093132,1772450.400000000139698,10943131.199999999254942
FS( 65 ),1975339.469999999972060,1718380.350000000093132,1823241.250000000000000,1699114.630000000121072,1866425.299999999813735,1773157.200000000186265,10855662.199999999254942
FS( 66 ),1968361.169999999925494,1710834.049999999813735,1835071.380000000121072,1697233.550000000279397,1891135.649999999674037,1835591.199999999953434,10938231.000000000000000
FS( 67 ),1953939.349999999860302,1710168.199999999953434,1832983.709999999962747,1717925.430000000167638,1894665.699999999720603,1811560.000000000000000,10921246.389999998733401
FS( 68 ),1945798.000000000000000,1724816.899999999906868,1830200.149999999906868,1727330.830000000074506,1895911.599999999860302,1812973.600000000093132,10937035.080000000074506
FS( 69 ),1969989.439999999711290,1737246.099999999860302,1835071.380000000121072,1755076.760000000009313,1911277.699999999953434,1831586.000000000000000,11040251.379999998956919
FS( 70 ),1973013.369999999646097,1715051.099999999860302,1840638.500000000000000,1754136.219999999972060,1929343.249999999767169,1838654.000000000232831,11050840.439999999478459
FS( 71 ),1973478.589999999850988,1693743.899999999906868,1832287.819999999832362,1730152.450000000186265,1923944.350000000093132,1818156.800000000046566,10971767.910000000149012
FS( 72 ),1956730.669999999925494,1692190.249999999767169,1810019.340000000083819,1715103.810000000055879,1918130.149999999906868,1801900.400000000139698,10894078.620000001043081
FS( 73 ),1985574.309999999823049,1717048.649999999906868,1796797.429999999934807,1738617.310000000055879,1922490.799999999813735,1805905.600000000325963,10966438.099999999627471
FS( 74 ),2009067.919999999925494,1697960.949999999953434,1812107.010000000009313,1751314.600000000093132,1926436.149999999674037,1818863.600000000093132,11015754.230000000447035
FS( 75 ),2009533.139999999897555,1730365.649999999906868,1812107.010000000009313,1722628.130000000121072,1924359.649999999906868,1806141.199999999953434,11005138.779999999329448
FS( 76 ),2014883.169999999925494,1733029.049999999813735,1823241.250000000000000,1744730.820000000065193,1928304.999999999767169,1831114.800000000046566,11075308.089999999850988
FS( 77 ),2017907.099999999860302,1748565.550000000046566,1819761.799999999813735,1760720.000000000000000,1931419.750000000000000,1845722.000000000232831,11124100.199999999254942
FS( 78 ),2040702.879999999888241,1757443.550000000046566,1829504.260000000009313,1783292.960000000195578,1928304.999999999767169,1855852.800000000046566,11195105.449999999254942
FS( 79 ),2079083.529999999795109,1768763.000000000000000,1858731.639999999897555,1801633.490000000223517,1941386.949999999720603,1863863.200000000186265,11313465.809999998658895
FS( 80 ),2073500.889999999897555,1768541.050000000046566,1870561.769999999785796,1793638.900000000139698,1940763.999999999767169,1851376.400000000139698,11298387.009999999776483
FS( 81 ),2111416.319999999366701,1773423.950000000186265,1876128.889999999897555,1795990.250000000000000,1954053.599999999627471,1869988.800000000279397,11381005.809999998658895
FS( 82 ),2103507.580000000074506,1780748.300000000046566,1901180.929999999934807,1808687.540000000037253,1940556.349999999860302,1876114.399999999906868,11410799.099999999627471
FS( 83 ),2089085.760000000009313,1794287.250000000000000,1897005.590000000083819,1803984.840000000083819,1945955.249999999767169,1872344.800000000046566,11402667.490000000223517
FS( 84 ),2118627.229999999515712,1790514.100000000093132,1924841.189999999944121,1776709.180000000167638,1939725.749999999767169,1882004.399999999906868,11432425.849999999627471
FS( 85 ),2142818.669999999925494,1787628.750000000000000,1920665.850000000093132,1790347.010000000009313,1965889.649999999906868,1896847.200000000186265,11504201.129999998956919
FS( 86 ),2151192.629999999888241,1784077.549999999813735,1924841.189999999944121,1784233.500000000000000,1972119.149999999906868,1880119.600000000093132,11496587.619999999180436
FS( 87 ),2145144.769999999552965,1789848.250000000000000,1960331.580000000074506,1792698.360000000102445,1959452.499999999767169,1883182.400000000139698,11530661.859999999403954
FS( 88 ),2179571.049999999813735,1789182.399999999906868,1942238.439999999944121,1803044.300000000279397,1965681.999999999767169,1879177.200000000186265,11558899.390000000596046
FS( 89 ),2192364.599999999627471,1792067.749999999767169,1965202.809999999823049,1794579.439999999944121,1974818.599999999627471,1880355.200000000186265,11599392.399999998509884
FS( 90 ),2183292.809999999590218,1771426.399999999906868,1943630.219999999972060,1766833.510000000009313,1970665.600000000093132,1888836.800000000046566,11524689.339999999850988
FS( 91 ),2146773.040000000037253,1740797.300000000046566,1945717.889999999897555,1758368.650000000139698,1972742.099999999860302,1871638.000000000000000,11436040.980000000447035
FS( 92 ),2123279.429999999701977,1732807.099999999860302,2078632.880000000121072,1754606.490000000223517,1981255.749999999767169,1865512.400000000139698,11536098.049999998882413
FS( 93 ),2144679.549999999813735,1751228.950000000186265,2088375.340000000083819,1753195.680000000167638,1982293.999999999767169,1837711.600000000093132,11557489.119999999180436
FS( 94 ),2141888.229999999515712,1776087.349999999860302,2084200.000000000000000,1765892.969999999972060,1977310.399999999906868,1841716.800000000046566,11587099.750000000000000
FS( 95 ),2144214.330000000074506,1791401.899999999906868,2082808.219999999972060,1791757.820000000065193,1981048.100000000093132,1866219.199999999953434,11657453.570000000298023
FS( 96 ),2136770.809999999590218,1785409.250000000000000,2093942.459999999962747,1778590.260000000009313,1985201.099999999627471,1896847.200000000186265,11676765.079999998211861
FS( 97 ),2114672.859999999403954,1779416.600000000093132,2101597.250000000000000,1765892.969999999972060,1964228.449999999953434,1918051.199999999953434,11643863.329999998211861
FS( 98 ),2112811.979999999515712,1789848.250000000000000,2103684.919999999925494,1774357.830000000074506,1971703.849999999860302,1919936.000000000000000,11672346.830000000074506
FS( 99 ),2100018.429999999701977,1785187.300000000046566,2122473.950000000186265,1763071.350000000093132,1965889.649999999906868,1925826.000000000000000,11662470.679999999701977
FS( 100 ),2101879.309999999590218,1787406.800000000046566,2148917.769999999552965,1798341.600000000093132,1969834.999999999767169,1939962.000000000232831,11746346.479999998584390
FS( 101 ),2114440.250000000000000,1792289.699999999953434,2141958.870000000111759,1807276.730000000214204,1960490.749999999767169,1938784.000000000232831,11755244.300000000745058
FS( 102 ),2139562.129999999888241,1800723.799999999813735,2152397.219999999739230,1826557.800000000279397,1950315.899999999906868,1931951.600000000093132,11801512.449999999254942
FS( 103 ),2161660.080000000074506,1796950.649999999906868,2150309.549999999813735,1823736.180000000167638,1953430.649999999674037,1926061.600000000093132,11812152.709999999031425
FS( 104 ),2175384.069999999366701,1816038.349999999860302,2155876.669999999925494,1834082.120000000111759,1977102.749999999767169,1929360.000000000000000,11887847.959999999031425
FS( 105 ),2174453.629999999888241,1819589.550000000046566,2155876.669999999925494,1829379.420000000158325,1964851.399999999906868,1943496.000000000000000,11887650.669999999925494
FS( 106 ),2187247.179999999701977,1821143.199999999953434,2167010.910000000149012,1844898.330000000074506,1969419.699999999953434,1963757.599999999860302,11953480.919999999925494
FS( 107 ),2232373.519999999552965,1807160.350000000093132,2159356.120000000111759,1849601.030000000027940,1963397.849999999860302,1937134.800000000046566,11949027.670000001788139
FS( 108 ),2217951.700000000186265,1792511.650000000139698,2142654.759999999776483,1826557.800000000279397,1954884.199999999953434,1930302.400000000139698,11864866.509999999776483
FS( 109 ),2218882.139999999664724,1791845.800000000046566,2149613.660000000149012,1850541.570000000065193,1966512.599999999860302,1949386.000000000000000,11926785.769999999552965
FS( 110 ),2210740.790000000037253,1762326.450000000186265,2175361.589999999850988,1822325.370000000111759,1958206.599999999860302,1933836.400000000139698,11862801.200000001117587
FS( 111 ),2214927.769999999552965,1766987.399999999906868,2174665.700000000186265,1817622.670000000158325,1966097.300000000046566,1952448.800000000279397,11892753.640000000596046
FS( 112 ),2243538.799999999813735,1763658.149999999906868,2191367.059999999590218,1833141.580000000074506,1984370.500000000000000,1985432.800000000046566,12001512.890000000596046
FS( 113 ),2217253.870000000111759,1772536.149999999906868,2206676.639999999664724,1835022.660000000149012,1992468.849999999860302,1976715.600000000325963,12000677.769999999552965
FS( 114 ),2204692.929999999701977,1768097.149999999906868,2411268.299999999813735,1808687.540000000037253,1985616.399999999906868,1973417.200000000186265,12151783.519999999552965
FS( 115 ),2165381.839999999850988,1765655.699999999953434,2345158.750000000000000,1799752.410000000149012,1966512.599999999860302,2005223.200000000186265,12047688.500000000000000
FS( 116 ),2196551.580000000074506,1777419.049999999813735,2345158.750000000000000,1822795.640000000130385,1979802.199999999953434,2014882.800000000046566,12136614.019999999552965
FS( 117 ),2185153.689999999478459,1769206.899999999906868,2370210.790000000037253,1806336.189999999944121,1978141.000000000000000,2004045.200000000186265,12113097.769999999552965
FS( 118 ),2203297.269999999552965,1787628.750000000000000,2421010.759999999776483,1811509.160000000149012,1902764.049999999813735,2027369.600000000093132,12153583.589999997988343
FS( 119 ),2260751.939999999478459,1798282.349999999860302,2400829.950000000186265,1819503.750000000000000,1905878.799999999813735,2024778.000000000000000,12210028.789999999105930
FS( 120 ),2257030.179999999701977,1802277.449999999953434,2383432.700000000186265,1848190.219999999972060,1928720.299999999813735,2018652.400000000139698,12238307.250000000000000
FS( 121 ),2271917.219999999739230,1798504.300000000046566,2383432.700000000186265,1827498.340000000083819,1912523.599999999627471,1995092.400000000139698,12188972.560000000521541
FS( 122 ),2303319.569999999366701,1799392.099999999860302,2382040.919999999925494,1843487.520000000251457,1907955.299999999813735,2020301.600000000093132,12256501.009999999776483
FS( 123 ),2288432.529999999329448,1797394.550000000046566,2379257.359999999403954,1836433.469999999972060,1892173.899999999906868,1985432.800000000046566,12179128.609999999403954
FS( 124 ),2283082.500000000000000,1814706.650000000139698,2390391.599999999627471,1872173.990000000223517,1888436.199999999720603,1954333.600000000093132,12203128.539999999105930
FS( 125 ),2223766.950000000186265,1794509.199999999720603,2358380.660000000149012,1813860.510000000009313,1859780.500000000000000,1909569.600000000093132,11959871.419999999925494
FS( 126 ),2236095.279999999329448,1770094.699999999953434,2347942.310000000521541,1805395.650000000139698,1860818.749999999767169,1919936.000000000000000,11940286.689999999478459
FS( 127 ),2223534.339999999850988,1776309.300000000046566,2369514.899999999441206,1814330.780000000027940,1866840.600000000093132,1938312.800000000046566,11988846.720000000670552
FS( 128 ),2212601.669999999925494,1776309.300000000046566,2283920.429999999701977,1808687.540000000037253,1850643.899999999906868,1908156.000000000000000,11840322.839999999850988
FS( 129 ),2208879.910000000149012,1787184.849999999860302,2286008.099999999627471,1813860.510000000009313,1862687.599999999860302,1920171.600000000093132,11878796.569999998435378
FS( 130 ),2197714.629999999888241,1786075.099999999860302,2274177.969999999739230,1795049.710000000195578,1866840.600000000093132,1867397.200000000186265,11787259.210000000894070
FS( 131 ),2203762.489999999292195,1829577.300000000046566,2268610.849999999627471,1811979.430000000167638,1878884.300000000046566,1887658.800000000279397,11880477.169999999925494
FS( 132 ),2232838.739999999292195,1839565.049999999813735,2297838.230000000447035,1811979.430000000167638,1882621.999999999767169,1881768.800000000279397,11946616.250000000000000
FS( 133 ),2232373.519999999552965,1840452.850000000093132,2305493.020000000484288,1804455.110000000102445,1891550.949999999953434,1890014.800000000046566,11964344.250000001862645
FS( 134 ),2261914.989999999292195,1844891.850000000093132,2372994.349999999627471,1816682.130000000121072,1895288.649999999674037,1920407.200000000186265,12112183.169999998062849
FS( 135 ),2267962.849999999627471,1861316.149999999906868,2361860.109999999403954,1817622.670000000158325,1915015.399999999906868,1927710.800000000046566,12151491.980000000447035
FS( 136 ),2279128.129999999888241,1857543.000000000000000,2377865.580000000074506,1813860.510000000009313,1913146.549999999813735,1919464.800000000046566,12161012.570000000298023
FS( 137 ),2306576.109999999403954,1855323.500000000000000,2394566.939999999478459,1847249.680000000167638,1931004.449999999720603,1939962.000000000232831,12274686.679999997839332
FS( 138 ),2338443.679999999701977,1958308.300000000046566,2389695.709999999962747,1846309.140000000130385,1929343.249999999767169,1966584.800000000046566,12428688.880000000819564
FS( 139 ),2339374.120000000111759,2014239.699999999953434,2400829.950000000186265,1855714.540000000037253,1933496.249999999767169,1965642.400000000139698,12509300.960000000894070
FS( 140 ),2339606.729999999515712,2023117.700000000186265,2446062.799999999813735,1856184.810000000055879,1950731.199999999720603,1973652.800000000046566,12589360.039999999105930
FS( 141 ),2356819.870000000111759,2020454.300000000046566,2431449.109999999403954,1864649.670000000158325,1946785.849999999860302,1973888.400000000139698,12594051.199999999254942
FS( 142 ),2361937.290000000037253,2024227.449999999953434,2422402.540000000037253,1881579.390000000130385,1957998.949999999953434,1984726.000000000000000,12632875.619999999180436
FS( 143 ),2346817.639999999664724,2033771.299999999813735,2421706.649999999441206,1868882.100000000093132,1956130.099999999860302,2005458.800000000279397,12632770.589999999850988
FS( 144 ),2375661.279999999329448,2039098.100000000093132,2421010.759999999776483,1874525.340000000083819,1967758.500000000000000,2035144.399999999906868,12713202.379999998956919
FS( 145 ),2378452.599999999627471,2053302.900000000139698,2411268.299999999813735,1853363.189999999944121,1959037.199999999953434,2034202.000000000232831,12689630.189999999478459
FS( 146 ),2384267.849999999627471,2075275.949999999953434,2430057.330000000074506,1847249.680000000167638,1966720.249999999767169,2042212.400000000139698,12745787.460000000894070
FS( 147 ),2402876.649999999441206,2023117.700000000186265,2405701.179999999701977,1864179.400000000139698,1962774.899999999674037,2035380.000000000000000,12694033.830000000074506
FS( 148 ),2301458.689999999478459,1975398.449999999953434,2405701.179999999701977,1853363.189999999944121,1961736.649999999906868,2044804.000000000232831,12542466.160000000149012
FS( 149 ),2282384.669999999925494,1996039.800000000046566,2429361.439999999478459,1879228.040000000037253,1957376.000000000000000,2051165.200000000186265,12595559.149999998509884
FS( 150 ),2302156.519999999552965,2033327.399999999906868,2435624.450000000186265,1929076.660000000149012,1956337.749999999767169,2067421.600000000093132,12723948.380000000819564
FS( 151 ),2287967.309999999590218,2015793.349999999860302,2458588.820000000298023,1937541.520000000251457,1936818.649999999674037,2071191.199999999953434,12707904.849999999627471
FS( 152 ),2279360.739999999292195,1973844.800000000046566,2429361.439999999478459,1924373.960000000195578,1928097.349999999627471,2086505.200000000186265,12621547.489999998360872
FS( 153 ),2349376.349999999627471,1980947.199999999953434,2437016.230000000447035,1939422.600000000093132,1934742.149999999906868,2055641.600000000093132,12697150.130000000819564
FS( 154 ),2359378.580000000074506,1980281.349999999860302,2437016.230000000447035,1923903.689999999944121,1929550.899999999906868,2051636.400000000139698,12681771.150000000372529
FS( 155 ),2364728.609999999403954,1971847.250000000000000,2409180.629999999888241,1924373.960000000195578,1919168.399999999906868,2030432.400000000139698,12619735.250000000000000
FS( 156 ),2364030.779999999329448,1983832.549999999813735,2403613.509999999776483,1919200.990000000223517,1942632.849999999860302,2026898.400000000139698,12640213.079999998211861
FS( 157 ),2346119.809999999590218,2003586.099999999860302,2430753.219999999739230,1909325.320000000065193,1944501.699999999953434,2053521.199999999953434,12687811.349999997764826
FS( 158 ),2362867.729999999515712,2024671.349999999860302,2434232.669999999925494,1916849.640000000130385,1944709.350000000093132,2049516.000000000000000,12732850.739999998360872
FS( 159 ),2367752.540000000037253,2043981.000000000000000,2447454.580000000074506,1927665.850000000093132,1968173.799999999813735,2064594.399999999906868,12819626.169999999925494
FS( 160 ),2348445.910000000149012,2049529.750000000000000,2423098.429999999701977,1923903.689999999944121,1964643.749999999767169,2068599.600000000093132,12778225.129999998956919
FS( 161 ),2350772.009999999776483,2039542.000000000000000,2415443.639999999664724,1897568.570000000065193,1964436.099999999627471,2067892.800000000046566,12735659.119999999180436
FS( 162 ),2387524.389999999664724,2030663.999999999767169,2395262.830000000074506,1883930.740000000223517,1942632.849999999860302,2040092.000000000232831,12680110.810000000521541
FS( 163 ),2366822.099999999627471,2064622.349999999860302,2418227.200000000186265,1900860.460000000195578,1968381.449999999953434,2078259.199999999953434,12797176.759999997913837
FS( 164 ),2276569.419999999925494,2039763.950000000186265,2375777.910000000149012,1875465.880000000121072,1945747.599999999860302,2030432.400000000139698,12543761.160000000149012
FS( 165 ),2343561.099999999627471,2060627.250000000000000,2384128.589999999850988,2104487.370000000111759,1960283.100000000093132,2040327.599999999860302,12893419.009999997913837
FS( 166 ),2328674.059999999590218,2061515.049999999813735,2428665.549999999813735,2095552.240000000223517,1947201.149999999674037,2038207.200000000186265,12899819.250000000000000
