代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12696922.619999999180436
真實報酬,2696922.619999999180436

夏普值報酬,0.260992262000000
夏普值風險,0.070839163011487
夏普值,3.684293417719760

二次趨勢線,39.863697048547550 x^2 + 96.077984393864142 x + 10000000.000000000000000
二次加權預期報酬,13516.855990738205946
風險,199692.058815543103265
二次加權趨勢值,0.067688500338533
一次趨勢線,7645.236011207332012 x + 10000000.000000000000000
一次預期報酬,7645.236011207332012
一次風險,347532.100838889600709
一次趨勢值,0.021998647010601
找到最佳解世代,2346
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
AAPL[0](1),CSCO[4](13),HD[9](4),MSFT[18](2),NKE[19](7),
FS( 16 ),1999192.370000000111759,1901639.570000000065193,2056889.630000000121072,2114831.599999999627471,2074151.899999999906868,10146705.070000000298023
FS( 17 ),2014268.129999999655411,1884803.100000000093132,2071696.520000000018626,2118771.900000000372529,2080988.600000000093132,10170528.250000000000000
FS( 18 ),2051419.110000000102445,1879486.320000000065193,2087282.719999999972060,2102447.799999999813735,2093084.299999999813735,10213720.250000000000000
FS( 19 ),2099607.700000000186265,1884803.100000000093132,2095335.589999999850988,2116520.299999999813735,2086247.600000000093132,10282514.290000000968575
FS( 20 ),2138643.149999999441206,1883030.840000000083819,2095595.360000000102445,2146354.000000000000000,2080988.600000000093132,10344611.949999999254942
FS( 21 ),2120067.660000000149012,1868852.760000000009313,2072216.059999999823049,2164366.799999999813735,2079936.799999999813735,10305440.079999998211861
FS( 22 ),2177947.810000000521541,1883916.970000000204891,2044680.439999999944121,2156486.200000000186265,2080988.600000000093132,10344020.020000001415610
FS( 23 ),2172832.819999999366701,1883030.840000000083819,2036627.570000000065193,2191948.900000000372529,2072574.199999999953434,10357014.330000000074506
FS( 24 ),2184139.639999999664724,1852902.420000000158325,2040264.350000000093132,2139036.299999999813735,2076255.499999999767169,10292598.209999999031425
FS( 25 ),2153718.910000000149012,1885689.230000000214204,2074034.450000000186265,2159300.700000000186265,2099921.000000000000000,10372664.290000000968575
FS( 26 ),2178486.229999999515712,1880372.449999999953434,2067799.969999999972060,2179002.200000000186265,2097817.400000000372529,10403478.250000000000000
FS( 27 ),2174986.500000000000000,1879486.320000000065193,2042082.739999999990687,2145228.200000000186265,2083092.199999999953434,10324875.960000000894070
FS( 28 ),2158833.899999999441206,1850244.030000000027940,2052213.770000000018626,2117083.200000000186265,2020510.100000000093132,10198885.000000000000000
FS( 29 ),2155872.589999999850988,1817457.220000000204891,2040004.580000000074506,2095130.100000000093132,2004733.099999999860302,10113197.589999999850988
FS( 30 ),2132182.110000000335276,1793531.709999999962747,2052473.540000000037253,2065296.399999999906868,2008940.300000000279397,10052424.060000000521541
FS( 31 ),2144027.349999999627471,1832521.430000000167638,2054811.469999999972060,2075991.500000000232831,2009992.100000000093132,10117343.849999999627471
FS( 32 ),2134335.790000000037253,1853788.550000000279397,2042342.510000000242144,2055727.100000000325963,2018406.500000000232831,10104600.450000001117587
FS( 33 ),2118183.190000000409782,1860877.590000000083819,2079489.619999999878928,2059104.500000000000000,2065737.500000000000000,10183392.400000000372529
FS( 34 ),2093954.290000000037253,1867080.500000000000000,2076891.920000000158325,2040528.800000000046566,2057849.000000000232831,10136304.509999999776483
FS( 35 ),2111452.940000000409782,1872397.280000000027940,2079229.850000000093132,2071488.299999999813735,2033657.600000000093132,10168225.970000000670552
FS( 36 ),2192485.149999999441206,1911387.000000000000000,2092737.890000000130385,2061356.099999999860302,2027872.700000000186265,10285838.839999999850988
FS( 37 ),2183332.009999999776483,1922020.560000000288710,2094816.050000000046566,2087249.500000000000000,2042072.000000000000000,10329490.120000001043081
FS( 38 ),2168794.669999999925494,1931767.990000000223517,2118455.120000000111759,2107513.900000000372529,2056271.300000000046566,10382802.980000000447035
FS( 39 ),2153988.120000000111759,1951262.850000000093132,2120793.049999999813735,2099070.400000000372529,2055219.500000000000000,10380333.919999999925494
FS( 40 ),2132720.530000000260770,1971643.840000000083819,2128586.149999999906868,2099070.400000000372529,2070470.599999999860302,10402491.519999999552965
FS( 41 ),2157757.060000000521541,1987594.180000000167638,2138976.950000000186265,2105825.200000000186265,2067841.100000000093132,10457994.490000000223517
FS( 42 ),2127336.330000000074506,1949490.590000000083819,2130664.310000000055879,2091752.699999999953434,2057323.099999999860302,10356567.030000001192093
FS( 43 ),2080493.790000000037253,1947718.330000000074506,2127287.299999999813735,2077680.199999999953434,2052064.100000000325963,10285243.720000000670552
FS( 44 ),2091800.610000000102445,1950376.720000000204891,2106765.469999999739230,2033774.000000000232831,2036287.100000000093132,10219003.900000000372529
FS( 45 ),2076994.060000000055879,1976960.619999999878928,2117156.270000000018626,2049535.199999999953434,2037338.900000000139698,10257985.049999998882413
FS( 46 ),2090185.349999999860302,1975188.360000000102445,2128326.380000000353903,2012946.699999999953434,2027346.799999999813735,10233993.589999999850988
FS( 47 ),2063533.560000000055879,1957465.760000000009313,2118974.659999999683350,2000000.000000000000000,2027346.799999999813735,10167320.780000001192093
FS( 48 ),2049534.639999999897555,1968985.449999999953434,2130404.540000000037253,2028707.899999999906868,2022613.700000000186265,10200246.230000000447035
FS( 49 ),2060303.040000000037253,1966327.060000000288710,2103388.459999999962747,1969040.499999999767169,1976860.400000000139698,10075919.460000000894070
FS( 50 ),2101492.169999999925494,1985821.920000000158325,2104427.540000000037253,2014072.500000000000000,1976860.400000000139698,10182674.529999999329448
FS( 51 ),2143488.929999999701977,2018608.730000000214204,2105986.159999999683350,2069236.699999999953434,1983697.100000000093132,10321017.620000001043081
FS( 52 ),2131643.690000000409782,2018608.730000000214204,2110921.790000000037253,2076554.400000000139698,1966868.300000000046566,10304596.910000002011657
FS( 53 ),2079416.949999999720603,2015064.209999999962747,2104167.770000000018626,2047846.500000000232831,1930055.300000000279397,10176550.730000000447035
FS( 54 ),2111722.149999999441206,2023039.379999999888241,2090140.189999999944121,2036025.600000000093132,1939521.500000000232831,10200448.819999998435378
FS( 55 ),2121144.500000000000000,2023925.510000000009313,2083386.170000000158325,2022516.000000000000000,1932684.800000000046566,10183656.980000000447035
FS( 56 ),2138912.360000000335276,1999113.869999999878928,2084425.250000000000000,2029833.700000000186265,1912700.599999999860302,10164985.780000001192093
FS( 57 ),2100146.120000000111759,1967213.189999999944121,2056370.089999999850988,2072051.200000000186265,1884302.000000000000000,10080082.600000001490116
FS( 58 ),2117106.349999999627471,1949490.590000000083819,2050655.149999999906868,2028145.000000000000000,1890612.800000000279397,10036009.890000000596046
FS( 59 ),1948042.469999999972060,1927337.340000000083819,2040264.350000000093132,2041654.600000000325963,1911648.800000000046566,9868947.560000000521541
FS( 60 ),1925967.250000000000000,1918476.040000000037253,1991947.130000000121072,2063607.699999999953434,1887457.400000000139698,9787455.519999999552965
FS( 61 ),1922198.310000000055879,1947718.330000000074506,1998441.380000000121072,2074865.699999999953434,1944254.600000000093132,9887478.320000000298023
FS( 62 ),1925159.620000000111759,1941515.420000000158325,1996363.219999999972060,2130029.900000000372529,1915330.100000000093132,9908398.259999999776483
FS( 63 ),1928928.560000000055879,1909614.740000000223517,1950643.700000000186265,2053475.499999999767169,1863791.899999999906868,9706454.400000000372529
FS( 64 ),1956657.190000000176951,1931767.990000000223517,1947526.459999999962747,2046157.800000000046566,1854325.699999999953434,9736435.140000000596046
FS( 65 ),1971463.739999999990687,1947718.330000000074506,1955059.790000000037253,2016324.100000000093132,1856429.299999999813735,9746995.260000001639128
FS( 66 ),1971194.529999999795109,1992910.959999999962747,1978439.089999999850988,2036588.500000000000000,1880620.699999999953434,9859753.779999999329448
FS( 67 ),1998653.949999999720603,2008861.300000000279397,1985972.420000000158325,2057978.700000000186265,1911648.800000000046566,9963115.169999999925494
FS( 68 ),2034458.879999999655411,2023039.379999999888241,1984933.339999999850988,2071488.299999999813735,1911122.900000000139698,10025042.799999998882413
FS( 69 ),2061379.879999999655411,2012405.820000000065193,1992466.670000000158325,2092315.600000000093132,1945306.400000000139698,10103874.370000001043081
FS( 70 ),2061110.669999999925494,2024811.640000000130385,2007533.330000000074506,2109202.599999999627471,1948987.700000000186265,10151645.940000001341105
FS( 71 ),2093954.290000000037253,1973416.100000000093132,2015586.200000000186265,2117083.200000000186265,1968971.899999999906868,10169011.689999999478459
FS( 72 ),2092069.819999999832362,1999113.869999999878928,2024418.380000000121072,2117646.099999999627471,1973705.000000000000000,10206953.169999998062849
FS( 73 ),2099876.910000000149012,1985821.920000000158325,2015066.659999999916181,2106388.100000000558794,1977386.300000000046566,10184539.890000000596046
FS( 74 ),2066764.079999999841675,1974302.230000000214204,1985972.420000000158325,2111454.200000000186265,1967394.199999999953434,10105887.130000000819564
FS( 75 ),2042804.389999999897555,1976074.490000000223517,2012728.730000000214204,2124963.799999999813735,1987378.399999999906868,10143949.810000000521541
FS( 76 ),2020190.750000000000000,1961010.280000000027940,2019482.750000000000000,2137910.500000000000000,2011043.900000000139698,10149638.179999999701977
FS( 77 ),2028805.469999999972060,1960124.150000000139698,2022859.760000000242144,2121586.400000000372529,2046805.100000000093132,10180180.880000000819564
FS( 78 ),2007807.089999999850988,1935312.510000000009313,2103648.229999999981374,2113142.900000000372529,2054167.700000000186265,10214078.429999999701977
FS( 79 ),1989770.019999999785796,1943287.680000000167638,2122351.669999999925494,2109202.599999999627471,2062056.200000000186265,10226668.169999999925494
FS( 80 ),2029343.889999999897555,1942401.550000000279397,2129365.459999999962747,2131155.700000000186265,2051538.199999999953434,10283804.800000000745058
FS( 81 ),2023959.690000000176951,1931767.990000000223517,2130924.080000000074506,2156486.200000000186265,2058900.800000000046566,10302038.760000001639128
FS( 82 ),2029613.099999999860302,1911387.000000000000000,2130144.770000000018626,2126652.500000000000000,2035235.300000000279397,10233032.669999999925494
FS( 83 ),2043073.599999999860302,1933540.250000000000000,2152744.760000000242144,2162115.200000000186265,2067315.200000000186265,10358789.009999999776483
FS( 84 ),2047380.959999999729916,1937970.900000000139698,2153783.839999999850988,2145228.200000000186265,2035761.200000000186265,10320125.099999999627471
FS( 85 ),2041189.129999999655411,1933540.250000000000000,2140795.339999999850988,2147479.799999999813735,2056797.199999999953434,10319801.719999998807907
FS( 86 ),2040112.290000000037253,1925565.080000000074506,2144432.120000000111759,2133407.299999999813735,2089402.999999999767169,10332919.789999999105930
FS( 87 ),2041996.759999999776483,1922020.560000000288710,2134820.630000000353903,2128904.099999999627471,2076781.400000000139698,10304523.450000001117587
FS( 88 ),2061649.089999999850988,1914931.520000000018626,2111701.100000000093132,2140162.100000000558794,2072048.300000000046566,10300492.110000001266599
FS( 89 ),2063802.769999999785796,1933540.250000000000000,2092737.890000000130385,2154234.600000000558794,2076781.400000000139698,10321096.910000000149012
FS( 90 ),2040919.919999999925494,1906956.350000000093132,2047018.369999999878928,2132844.400000000372529,2065211.600000000325963,10192950.640000000596046
FS( 91 ),2018037.069999999832362,1891892.140000000130385,2062085.029999999795109,2122149.299999999813735,2059426.699999999953434,10153590.240000000223517
FS( 92 ),2025844.159999999916181,1906070.220000000204891,2067280.429999999934807,2141850.799999999813735,2076781.400000000139698,10217827.009999999776483
FS( 93 ),2043612.019999999785796,1916703.780000000027940,2073514.909999999916181,2226285.799999999813735,2094136.100000000093132,10354252.609999999403954
FS( 94 ),2043073.599999999860302,1916703.780000000027940,2071696.520000000018626,2210524.600000000558794,2081514.500000000000000,10323513.000000000000000
FS( 95 ),2033382.040000000037253,1934426.379999999888241,2080528.700000000186265,2270192.000000000000000,2084669.900000000139698,10403199.019999999552965
FS( 96 ),2049265.429999999934807,1917589.910000000149012,2089101.110000000102445,2260622.700000000186265,1977386.300000000046566,10293965.450000001117587
FS( 97 ),2073763.540000000037253,1911387.000000000000000,2069358.589999999850988,2279761.299999999813735,1968446.000000000000000,10302716.429999999701977
FS( 98 ),2096107.969999999972060,1979619.010000000009313,2064422.959999999962747,2270754.900000000372529,1936892.000000000000000,10347796.839999999850988
FS( 99 ),2075917.219999999972060,1977846.750000000000000,2048836.760000000242144,2239795.400000000372529,1925322.199999999953434,10267718.330000000074506
FS( 100 ),2067033.290000000037253,1951262.850000000093132,2043901.130000000121072,2215590.700000000186265,1927951.699999999953434,10205739.669999999925494
FS( 101 ),2064610.399999999906868,1978732.879999999888241,2044940.209999999962747,2268503.299999999813735,1933736.600000000325963,10290523.390000000596046
FS( 102 ),2064341.190000000176951,1986708.050000000279397,2055590.779999999795109,2307343.400000000372529,1942151.000000000000000,10356134.419999999925494
FS( 103 ),2083185.889999999897555,2046964.890000000130385,2062085.029999999795109,2331548.100000000558794,1956350.300000000279397,10480134.210000000894070
FS( 104 ),2086685.620000000111759,2037217.459999999962747,2076891.920000000158325,2327607.799999999813735,1960031.600000000325963,10488434.400000000372529
FS( 105 ),2072148.279999999795109,2046078.760000000009313,2062604.570000000065193,2308469.200000000186265,1945306.400000000139698,10434607.210000000894070
FS( 106 ),2045227.279999999795109,2012405.820000000065193,2044940.209999999962747,2244298.599999999627471,1915330.100000000093132,10262202.009999999776483
FS( 107 ),2013191.290000000037253,2024811.640000000130385,2003636.779999999795109,2240358.299999999813735,1862740.100000000093132,10144738.109999999403954
FS( 108 ),2013191.290000000037253,2032786.810000000288710,2003117.239999999990687,2241484.099999999627471,1917433.700000000186265,10208013.140000000596046
FS( 109 ),2039573.870000000111759,2048737.150000000139698,2020002.290000000037253,2278072.599999999627471,1934262.500000000000000,10320648.410000000149012
FS( 110 ),2013191.290000000037253,2007089.040000000037253,1994544.830000000074506,2215590.700000000186265,1905337.999999999767169,10135753.859999999403954
FS( 111 ),1998384.739999999990687,1990252.570000000065193,1966489.670000000158325,2207147.200000000186265,1873784.000000000232831,10036058.180000001564622
FS( 112 ),2006461.040000000037253,2024811.640000000130385,1973503.459999999962747,2205458.500000000000000,1903234.399999999906868,10113469.040000000968575
FS( 113 ),1991923.699999999720603,2028356.160000000149012,1971425.300000000046566,2237543.799999999813735,1900604.900000000139698,10129853.859999999403954
FS( 114 ),1995961.849999999860302,2040761.980000000214204,1989349.429999999934807,2274132.299999999813735,1922166.799999999813735,10222372.359999999403954
FS( 115 ),2018844.699999999720603,2056712.320000000065193,2002597.700000000186265,2252179.200000000186265,1946884.100000000325963,10277218.019999999552965
FS( 116 ),2042804.389999999897555,2073548.790000000037253,2025197.689999999944121,2248238.900000000372529,1943202.800000000279397,10332992.570000000298023
FS( 117 ),2044958.069999999832362,2084182.350000000093132,2069618.360000000102445,2251053.400000000372529,1954772.600000000093132,10404584.779999999329448
FS( 118 ),2018037.069999999832362,2082410.090000000083819,2039744.809999999823049,2234166.400000000372529,1948461.799999999813735,10322820.169999999925494
FS( 119 ),2183601.219999999739230,2067345.879999999888241,2072216.059999999823049,2243735.700000000186265,1930055.300000000279397,10496954.160000000149012
FS( 120 ),2199753.819999999366701,2038103.590000000083819,2062085.029999999795109,2246550.200000000186265,1911648.800000000046566,10458141.440000001341105
FS( 121 ),2284824.179999999701977,2039875.850000000093132,2082606.860000000102445,2300588.599999999627471,1884827.900000000139698,10592723.389999998733401
FS( 122 ),2278093.929999999701977,2052281.670000000158325,2065721.809999999823049,2280324.200000000186265,1905863.900000000139698,10582285.509999999776483
FS( 123 ),2269479.209999999962747,2047851.020000000018626,2065462.040000000037253,2274132.299999999813735,1918485.499999999767169,10575410.070000000298023
FS( 124 ),2274863.410000000149012,2038989.720000000204891,2060786.179999999934807,2251616.299999999813735,1917433.700000000186265,10543689.309999998658895
FS( 125 ),2278901.560000000521541,2032786.810000000288710,2062604.570000000065193,2234166.400000000372529,1919011.400000000139698,10527470.740000002086163
FS( 126 ),2311206.759999999776483,2034559.070000000065193,2044160.899999999906868,2219531.000000000000000,1927425.800000000046566,10536883.530000001192093
FS( 127 ),2286170.229999999515712,2013291.949999999953434,2011170.110000000102445,2198703.700000000186265,1900079.000000000232831,10409414.990000000223517
FS( 128 ),2278093.929999999701977,2026583.900000000139698,2002337.929999999934807,2218968.100000000558794,1897975.400000000139698,10423959.259999999776483
FS( 129 ),2261402.910000000149012,2039875.850000000093132,2001558.619999999878928,2231351.900000000372529,1921115.000000000000000,10455304.280000001192093
FS( 130 ),2251980.560000000521541,2039875.850000000093132,2018703.439999999944121,2225722.900000000372529,1931632.999999999767169,10467915.750000000000000
FS( 131 ),2279978.399999999441206,2054940.060000000288710,2033250.559999999823049,2249927.599999999627471,1962661.100000000093132,10580757.719999998807907
FS( 132 ),2283478.129999999888241,2025697.770000000018626,2007273.559999999823049,2275258.100000000558794,1961609.299999999813735,10553316.859999999403954
FS( 133 ),2284016.549999999813735,2021267.119999999878928,1982335.640000000130385,2265125.900000000372529,1934788.399999999906868,10487533.610000001266599
FS( 134 ),2264633.429999999701977,2142666.929999999701977,1980517.250000000000000,2229100.299999999813735,1917959.600000000093132,10534877.509999999776483
FS( 135 ),2298015.469999999739230,2159503.400000000372529,2009611.489999999990687,2242047.000000000000000,1944254.600000000093132,10653431.959999999031425
FS( 136 ),2325205.679999999701977,2157731.140000000596046,1987271.270000000018626,2237543.799999999813735,1958453.900000000139698,10666205.790000000968575
FS( 137 ),2325744.099999999627471,2137350.150000000372529,2025197.689999999944121,2233603.500000000000000,1926374.000000000232831,10648269.439999999478459
FS( 138 ),2331935.929999999701977,2169250.830000000074506,2028314.929999999934807,2271317.799999999813735,1951091.300000000046566,10751910.789999999105930
FS( 139 ),2335435.660000000149012,2160389.530000000260770,2046498.830000000074506,2257245.299999999813735,1968971.899999999906868,10768541.220000000670552
FS( 140 ),2361818.240000000223517,2172795.349999999627471,2056889.630000000121072,2258371.099999999627471,1994215.100000000093132,10844089.419999999925494
FS( 141 ),2406237.889999999664724,2189631.820000000298023,2070137.899999999906868,2262311.400000000372529,2014725.200000000186265,10943044.210000000894070
FS( 142 ),2399776.849999999627471,2199379.250000000000000,2069878.130000000121072,2252179.200000000186265,2005784.900000000139698,10926998.330000000074506
FS( 143 ),2443658.080000000074506,2186973.429999999701977,2075593.070000000065193,2270754.900000000372529,2008414.399999999906868,10985393.880000000819564
FS( 144 ),2434504.940000000409782,2181656.650000000372529,2084165.480000000214204,2304528.900000000372529,2022613.700000000186265,11027469.670000001788139
FS( 145 ),2417813.919999999925494,2195834.730000000447035,2100011.450000000186265,2296085.400000000372529,2017354.699999999953434,11027100.199999999254942
FS( 146 ),2452003.589999999850988,2186973.429999999701977,2095595.360000000102445,2267940.400000000372529,1986852.500000000000000,10989365.280000001192093
FS( 147 ),2480001.429999999701977,2171023.089999999850988,2092218.350000000093132,2269629.099999999627471,2002103.600000000093132,11014975.569999998435378
FS( 148 ),2489692.990000000223517,2188745.690000000409782,2088062.029999999795109,2319727.200000000186265,1995266.899999999906868,11081494.810000000521541
FS( 149 ),2482693.530000000260770,2200265.379999999888241,2094816.050000000046566,2334925.500000000000000,2004733.099999999860302,11117433.560000000521541
FS( 150 ),2522536.610000000335276,2197606.990000000223517,2094036.739999999990687,2323104.600000000558794,2016302.900000000139698,11153587.840000001713634
FS( 151 ),2537343.160000000149012,2215329.589999999850988,2097413.750000000000000,2314098.200000000186265,2006836.699999999953434,11171021.399999998509884
FS( 152 ),2526843.969999999739230,2218874.110000000335276,2073255.140000000130385,2300025.700000000186265,1975808.600000000093132,11094807.520000001415610
FS( 153 ),2484578.000000000000000,2185201.169999999925494,2037406.880000000121072,2284264.500000000000000,1966342.400000000139698,10957792.950000001117587
FS( 154 ),2457387.790000000037253,2188745.690000000409782,2028055.159999999916181,2320853.000000000000000,1962135.200000000186265,10957176.839999999850988
FS( 155 ),2482155.110000000335276,2173681.480000000447035,2049616.070000000065193,2336051.299999999813735,1960557.500000000000000,11002061.460000000894070
FS( 156 ),2478924.589999999850988,2171023.089999999850988,2078710.309999999823049,2346183.500000000000000,1974756.799999999813735,11049598.289999999105930
FS( 157 ),2481616.690000000409782,2182542.780000000260770,2096634.439999999944121,2344494.799999999813735,2003681.300000000046566,11108970.010000001639128
FS( 158 ),2473001.969999999739230,2189631.820000000298023,2089620.649999999906868,2336614.200000000186265,1988956.100000000093132,11077824.740000000223517
FS( 159 ),2447427.019999999552965,2200265.379999999888241,2082606.860000000102445,2346183.500000000000000,1974756.799999999813735,11051239.559999998658895
FS( 160 ),2445273.339999999850988,2188745.690000000409782,2094816.050000000046566,2363633.400000000372529,1984222.999999999767169,11076691.480000000447035
FS( 161 ),2430466.790000000037253,2173681.480000000447035,2089360.880000000121072,2350123.799999999813735,1971601.400000000139698,11015234.349999999627471
FS( 162 ),2432620.469999999739230,2190517.950000000186265,2091958.580000000074506,2365885.000000000000000,2011043.900000000139698,11092025.900000000372529
FS( 163 ),2447157.810000000521541,2184315.040000000037253,2097673.520000000018626,2348435.099999999627471,2021036.000000000000000,11098617.470000000670552
FS( 164 ),2476232.490000000223517,2188745.690000000409782,2107544.779999999795109,2378268.799999999813735,2042597.900000000139698,11193389.660000002011657
FS( 165 ),2501807.440000000409782,2202037.640000000596046,2103128.689999999944121,2347309.299999999813735,2039442.500000000000000,11193725.570000000298023
FS( 166 ),2517690.830000000074506,2222418.629999999888241,2125468.909999999683350,2356878.599999999627471,2051012.300000000046566,11273469.269999999552965
FS( 167 ),2516613.990000000223517,2217987.980000000447035,2129625.229999999981374,2358567.299999999813735,2045753.300000000046566,11268547.800000000745058
FS( 168 ),2531420.540000000037253,2232166.060000000521541,2131443.620000000111759,2352938.299999999813735,2063107.999999999767169,11311076.519999999552965
FS( 169 ),2583647.280000000260770,2235710.580000000074506,2115078.109999999869615,2363633.400000000372529,2068367.000000000000000,11366436.370000001043081
FS( 170 ),2566956.259999999776483,2221532.500000000000000,2097933.290000000037253,2351812.500000000000000,2042597.900000000139698,11280832.450000001117587
FS( 171 ),2568033.099999999627471,2254319.310000000521541,2097153.980000000447035,2345620.600000000558794,2069418.800000000046566,11334545.790000002831221
FS( 172 ),2558610.750000000000000,2254319.310000000521541,2062604.570000000065193,2346746.400000000372529,2037864.800000000046566,11260145.830000001937151
FS( 173 ),2563456.530000000260770,2261408.349999999627471,2068059.739999999990687,2369262.400000000372529,2032605.800000000046566,11294792.820000000298023
FS( 174 ),2596569.360000000335276,2254319.310000000521541,2064163.189999999944121,2372076.900000000372529,2049960.499999999767169,11337089.260000001639128
FS( 175 ),2566148.629999999888241,2274700.299999999813735,2074553.989999999990687,2389526.799999999813735,2052064.100000000325963,11356993.819999998435378
FS( 176 ),2551611.290000000037253,2302170.330000000074506,2069358.589999999850988,2481279.500000000000000,2022613.700000000186265,11427033.410000000149012
FS( 177 ),2506114.799999999813735,2271155.780000000260770,2066501.119999999878928,2506610.000000000000000,2012621.600000000325963,11363003.299999998882413
FS( 178 ),2542188.940000000409782,2295967.419999999925494,2080268.929999999934807,2515616.400000000372529,2038390.699999999953434,11472432.390000000596046
FS( 179 ),2528997.649999999441206,2290650.640000000596046,2070657.439999999944121,2524059.900000000372529,2019984.199999999953434,11434349.830000000074506
FS( 180 ),2549996.030000000260770,2299511.940000000409782,2092218.350000000093132,2523497.000000000000000,2025769.100000000325963,11490992.419999999925494
FS( 181 ),2616490.899999999441206,2275586.429999999701977,2104687.310000000055879,2525748.599999999627471,2034709.399999999906868,11557222.639999998733401
FS( 182 ),2612183.540000000037253,2288878.379999999888241,2109363.169999999925494,2499292.299999999813735,2066789.299999999813735,11576506.690000001341105
FS( 183 ),2629412.979999999515712,2301284.200000000186265,2104947.080000000074506,2504921.299999999813735,2043649.699999999953434,11584215.259999997913837
FS( 184 ),2665756.330000000074506,2296853.549999999813735,2105986.159999999683350,2475087.599999999627471,2061530.300000000279397,11605213.939999999478459
FS( 185 ),2648526.889999999664724,2278244.820000000298023,2103648.229999999981374,2470584.400000000372529,2053641.799999999813735,11554646.140000000596046
FS( 186 ),2642335.060000000521541,2271155.780000000260770,2123910.290000000037253,2453134.500000000000000,2093610.200000000186265,11584145.830000001937151
FS( 187 ),2573686.509999999776483,2235710.580000000074506,2100271.219999999739230,2429492.700000000186265,2028398.600000000093132,11367559.609999999403954
FS( 188 ),2587954.639999999664724,2215329.589999999850988,2071696.520000000018626,2412605.700000000186265,2018932.400000000139698,11306518.849999999627471
FS( 189 ),2573417.299999999813735,2230393.799999999813735,2078970.080000000074506,2441313.599999999627471,2028924.500000000000000,11353019.279999999329448
FS( 190 ),2560764.429999999701977,2212671.200000000186265,2078970.080000000074506,2424989.500000000000000,2022613.700000000186265,11300008.910000000149012
FS( 191 ),2556457.069999999366701,2209126.679999999701977,2091698.809999999823049,2405850.900000000372529,2028398.600000000093132,11291532.059999998658895
