代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,15368710.219999998807907
真實報酬,5368710.219999998807907

夏普值報酬,0.528171022000000
夏普值風險,0.123663258288318
夏普值,4.271042420446195

二次趨勢線,12.074017575131478 x^2 + 18245.973407711757318 x + 10000000.000000000000000
二次加權預期報酬,22310.892658006032434
風險,258995.926893201714847
二次加權趨勢值,0.086143797416575
一次趨勢線,20532.481520147670381 x + 10000000.000000000000000
一次預期報酬,20532.481520147670381
一次風險,272948.037632088409737
一次趨勢值,0.075224873196648
找到最佳解世代,2257
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
AAPL[0](4),BA[2](1),HD[9](3),MCD[15](8),MRK[17](18),PG[21](10),
FS( 10 ),1609827.499999999767169,1756853.889999999897555,1586470.239999999990687,1703879.020000000018626,1786693.250000000000000,1710437.000000000000000,10154164.900000000372529
FS( 11 ),1603410.249999999767169,1739058.969999999972060,1578062.619999999878928,1700380.360000000102445,1746912.789999999804422,1706059.900000000139698,10073888.890000000596046
FS( 12 ),1658415.250000000000000,1794465.879999999888241,1682834.500000000000000,1723916.800000000279397,1765431.279999999795109,1768349.400000000139698,10393417.109999999403954
FS( 13 ),1669416.250000000000000,1804576.629999999888241,1592937.639999999897555,1713420.820000000065193,1767488.889999999897555,1782827.500000000000000,10330671.730000000447035
FS( 14 ),1648331.000000000000000,1802958.909999999916181,1541198.439999999944121,1789119.100000000093132,1789436.729999999981374,1818854.400000000139698,10389902.580000000074506
FS( 15 ),1626328.999999999767169,1750787.439999999944121,1480404.880000000121072,1771307.739999999990687,1791494.340000000083819,1785184.400000000139698,10205511.800000000745058
FS( 16 ),1604327.000000000000000,1736632.389999999897555,1478464.659999999916181,1815518.080000000074506,1794923.689999999944121,1785521.100000000093132,10215390.919999999925494
FS( 17 ),1712503.500000000000000,1785972.849999999860302,1539258.219999999972060,1871496.640000000130385,1821672.619999999878928,1810773.600000000093132,10541681.429999997839332
FS( 18 ),1742756.250000000232831,1762111.479999999981374,1508861.439999999944121,1839054.520000000018626,1826473.709999999729916,1743433.600000000093132,10422694.999999998137355
FS( 19 ),1769342.000000000000000,1792443.729999999981374,1468116.820000000065193,1848914.380000000121072,1836075.889999999897555,1770706.300000000046566,10485603.120000001043081
FS( 20 ),1778509.499999999767169,1813878.520000000018626,1497866.860000000102445,1876267.540000000270084,1891631.359999999869615,1748820.799999999813735,10606978.579999998211861
FS( 21 ),1825263.750000000000000,1929141.070000000065193,1562540.860000000102445,1903620.700000000186265,1888202.010000000009313,1796632.199999999953434,10905404.589999999850988
FS( 22 ),1827097.250000000000000,1989805.570000000065193,1584530.020000000018626,1920477.880000000121072,1899861.799999999813735,1808416.699999999953434,11030193.219999998807907
FS( 23 ),1846349.000000000000000,1956237.879999999888241,1576122.400000000139698,1939879.540000000270084,1892317.229999999981374,1811783.700000000186265,11022693.750000000000000
FS( 24 ),1882102.250000000000000,2045212.479999999981374,1589057.199999999953434,1916025.040000000270084,1823044.359999999869615,1796295.500000000000000,11051740.830000000074506
FS( 25 ),1894936.750000000232831,2129333.919999999925494,1563187.600000000093132,1904256.820000000065193,1788064.989999999990687,1790571.600000000093132,11070355.679999999701977
FS( 26 ),1883935.750000000000000,2136613.660000000149012,1588410.459999999962747,1867679.920000000158325,1778462.809999999823049,1789224.800000000046566,11044331.400000000372529
FS( 27 ),1869267.750000000000000,2117201.020000000484288,1574828.920000000158325,1879130.080000000074506,1764059.539999999804422,1764645.699999999953434,10969137.009999999776483
FS( 28 ),1837181.500000000000000,2115178.870000000111759,1577415.880000000121072,1856229.760000000009313,1755143.229999999981374,1753534.599999999860302,10894687.839999999850988
FS( 29 ),1832597.749999999767169,2048852.349999999860302,1567068.040000000037253,1834283.620000000111759,1796295.429999999934807,1751177.699999999953434,10830278.889999998733401
FS( 30 ),1794094.250000000000000,2080397.889999999897555,1561894.119999999878928,1856229.760000000009313,1788750.859999999869615,1769359.500000000000000,10850730.379999998956919
FS( 31 ),1782176.500000000232831,2002747.330000000074506,1542491.920000000158325,1837782.280000000027940,1711933.419999999925494,1728282.099999999860302,10605417.549999998882413
FS( 32 ),1785843.500000000000000,1974841.659999999916181,1500453.820000000065193,1815200.020000000018626,1675582.309999999823049,1686868.000000000000000,10438793.310000000521541
FS( 33 ),1775759.250000000000000,1963517.619999999878928,1529557.119999999878928,1824741.820000000065193,1698901.889999999897555,1683837.699999999953434,10476319.400000000372529
FS( 34 ),1779426.250000000000000,1980099.250000000000000,1510154.920000000158325,1849868.560000000055879,1759258.449999999720603,1722894.900000000139698,10601706.330000000074506
FS( 35 ),1827097.250000000000000,1959068.889999999897555,1521149.500000000000000,1850186.620000000111759,1777091.069999999832362,1705049.800000000046566,10639647.130000000819564
FS( 36 ),1798678.000000000000000,1896786.669999999925494,1503687.520000000018626,1819334.800000000279397,1727022.559999999823049,1702356.200000000186265,10447869.750000000000000
FS( 37 ),1754674.000000000000000,1774244.379999999888241,1479758.139999999897555,1805340.159999999916181,1722221.469999999972060,1702019.500000000000000,10238261.650000000372529
FS( 38 ),1784010.000000000000000,1671114.729999999981374,1466823.340000000083819,1790709.399999999906868,1745541.049999999813735,1702019.500000000000000,10160222.019999999552965
FS( 39 ),1831681.000000000000000,1720050.760000000009313,1524383.199999999953434,1827604.360000000102445,1822358.489999999990687,1740066.600000000093132,10466148.410000000149012
FS( 40 ),1865600.750000000232831,1693762.810000000055879,1526970.159999999916181,1812973.600000000093132,1851850.899999999906868,1742423.500000000000000,10493585.720000000670552
FS( 41 ),1859183.500000000000000,1724903.919999999925494,1543785.400000000139698,1820288.979999999981374,1910149.850000000093132,1758585.099999999860302,10616900.750000000000000
FS( 42 ),1865600.750000000232831,1718837.469999999972060,1528263.639999999897555,1828558.540000000270084,1917694.419999999925494,1720538.000000000000000,10579496.820000000298023
FS( 43 ),1870184.499999999767169,1707917.859999999869615,1533437.560000000055879,1851776.920000000158325,1923867.250000000000000,1750841.000000000000000,10638029.089999999850988
FS( 44 ),1833514.500000000000000,1651297.659999999916181,1475230.959999999962747,1827286.300000000279397,1852536.770000000018626,1720874.699999999953434,10360744.889999998733401
FS( 45 ),1815179.500000000000000,1640378.050000000046566,1479758.139999999897555,1844461.540000000270084,1912893.329999999841675,1756564.900000000139698,10449239.459999999031425
FS( 46 ),1773009.000000000000000,1578904.689999999944121,1448714.619999999878928,1806612.399999999906868,1894374.840000000083819,1747810.699999999953434,10249430.249999998137355
FS( 47 ),1796844.500000000232831,1599530.619999999878928,1465529.860000000102445,1814245.840000000083819,1923181.379999999888241,1772389.800000000046566,10371726.000000000000000
FS( 48 ),1785843.500000000000000,1589419.869999999878928,1466823.340000000083819,1805658.220000000204891,1852536.770000000018626,1764645.699999999953434,10264931.399999998509884
FS( 49 ),1814262.750000000000000,1603574.919999999925494,1456475.500000000000000,1814563.899999999906868,1814128.049999999813735,1758248.399999999906868,10261257.520000001415610
FS( 50 ),1863767.249999999767169,1635524.889999999897555,1494633.159999999916181,1821561.220000000204891,1839505.239999999990687,1783837.599999999860302,10438833.359999999403954
FS( 51 ),1862850.500000000000000,1634311.599999999860302,1531497.340000000083819,1827604.360000000102445,1862824.819999999832362,1802692.800000000046566,10521785.419999999925494
FS( 52 ),1923356.000000000000000,1672732.449999999953434,1557366.939999999944121,1815518.080000000074506,1900547.669999999925494,1840066.500000000000000,10709591.640000000596046
FS( 53 ),1931606.750000000000000,1700638.119999999878928,1578062.619999999878928,1819970.920000000158325,1911521.590000000083819,1858921.699999999953434,10800725.699999999254942
FS( 54 ),1987528.500000000000000,1672732.449999999953434,1595524.600000000093132,1839690.640000000130385,1898490.059999999823049,1882827.400000000139698,10876797.650000002235174
FS( 55 ),2002196.500000000000000,1706704.570000000065193,1603932.219999999972060,1853685.280000000027940,1916322.679999999934807,1870706.200000000186265,10953551.449999999254942
FS( 56 ),1983861.500000000000000,1739867.830000000074506,1581943.060000000055879,1864817.380000000121072,2033606.449999999720603,1868349.300000000046566,11072449.520000001415610
FS( 57 ),2052617.750000000000000,1698615.969999999972060,1601992.000000000000000,1870860.520000000018626,2019889.049999999813735,1847473.899999999906868,11091453.189999999478459
FS( 58 ),2067285.750000000000000,1696593.820000000065193,1634975.739999999990687,1784030.140000000130385,2074758.649999999906868,1857238.199999999953434,11114886.300000000745058
FS( 59 ),2095705.000000000000000,1713579.879999999888241,1637562.699999999953434,1783712.080000000074506,2125513.029999999795109,1880133.800000000046566,11236210.490000000223517
FS( 60 ),2096621.750000000000000,1708322.290000000037253,1627214.860000000102445,1780213.420000000158325,2110423.889999999664724,1878113.600000000093132,11200913.810000000521541
FS( 61 ),2095705.000000000000000,1749169.719999999972060,1642089.880000000121072,1796116.420000000158325,2058983.639999999897555,1875756.699999999953434,11217825.359999999403954
FS( 62 ),2095705.000000000000000,1754022.879999999888241,1642089.880000000121072,1794208.060000000055879,2048695.590000000083819,1889561.399999999906868,11224286.810000000521541
FS( 63 ),2132375.000000000000000,1748765.290000000037253,1671839.920000000158325,1768127.140000000130385,2053496.679999999934807,1893265.099999999860302,11267873.129999998956919
FS( 64 ),2139709.000000000000000,1735419.099999999860302,1677660.580000000074506,1751269.960000000195578,2058297.770000000018626,1869022.699999999953434,11231383.109999999403954
FS( 65 ),2180046.000000000000000,1771008.939999999944121,1702236.699999999953434,1753496.380000000121072,2058983.639999999897555,1872389.699999999953434,11338165.359999999403954
FS( 66 ),2168128.250000000000000,1785972.849999999860302,1700296.479999999981374,1749679.659999999916181,2046637.979999999981374,1867339.199999999953434,11318058.419999999925494
FS( 67 ),2162627.750000000000000,1780715.260000000009313,1702883.439999999944121,1752224.140000000130385,2030862.969999999972060,1815150.699999999953434,11244468.259999999776483
FS( 68 ),2147043.000000000000000,1840975.330000000074506,1716464.979999999981374,1744272.640000000130385,2013716.219999999972060,1732659.199999999953434,11195135.370000001043081
FS( 69 ),2167211.500000000000000,1888293.639999999897555,1763030.260000000009313,1755722.800000000279397,2064470.600000000093132,1751851.100000000093132,11390583.899999998509884
FS( 70 ),2157127.250000000000000,1851086.080000000074506,1752682.420000000158325,1789755.220000000204891,2098764.100000000093132,1756564.900000000139698,11405983.970000000670552
FS( 71 ),2132375.000000000000000,1835717.739999999990687,1739100.880000000121072,1781803.720000000204891,2080245.609999999869615,1748484.100000000093132,11317731.049999998882413
FS( 72 ),2165378.000000000000000,1874138.590000000083819,1759149.820000000065193,1789437.159999999916181,2108366.279999999795109,1753534.599999999860302,11450008.449999999254942
FS( 73 ),2205715.000000000000000,1885462.629999999888241,1790193.340000000083819,1774170.280000000027940,2124827.160000000149012,1760942.000000000000000,11541314.410000000149012
FS( 74 ),2184629.750000000000000,1814687.379999999888241,1755269.380000000121072,1757949.220000000204891,2124827.160000000149012,1763298.899999999906868,11400665.790000000968575
FS( 75 ),2090204.500000000000000,1785972.849999999860302,1688655.159999999916181,1733458.600000000093132,2117968.459999999962747,1757911.699999999953434,11174175.269999999552965
FS( 76 ),2147959.750000000000000,1770604.510000000009313,1741687.840000000083819,1757631.159999999916181,2106308.669999999925494,1765992.500000000000000,11290188.429999999701977
FS( 77 ),2155293.750000000000000,1760089.330000000074506,1730046.520000000018626,1770035.500000000000000,2159120.660000000149012,1777777.000000000000000,11352366.759999999776483
FS( 78 ),2178212.500000000000000,1809429.790000000037253,1725519.340000000083819,1785620.440000000176951,2149518.479999999981374,1785184.400000000139698,11433488.950000001117587
FS( 79 ),2215799.250000000000000,1855130.379999999888241,1778552.020000000018626,1789755.220000000204891,2233194.620000000111759,1804039.599999999860302,11676475.090000001713634
FS( 80 ),2213965.750000000000000,1906088.560000000055879,1748155.239999999990687,1778305.060000000055879,2229079.399999999906868,1795958.800000000046566,11671556.810000000521541
FS( 81 ),2218549.500000000000000,1951384.719999999972060,1766910.699999999953434,1795480.300000000279397,2259943.550000000279397,1797979.000000000000000,11790251.770000001415610
FS( 82 ),2192880.500000000000000,1933994.229999999981374,1783079.199999999953434,1812973.600000000093132,2241425.060000000055879,1796632.199999999953434,11760988.789999999105930
FS( 83 ),2219466.250000000000000,2095766.229999999981374,1781785.719999999972060,1818062.560000000055879,2254456.589999999850988,1786531.200000000186265,11956072.550000000745058
FS( 84 ),2226800.250000000000000,2064220.689999999944121,1790840.080000000074506,1783394.020000000018626,2216733.739999999757856,1790908.299999999813735,11872901.079999998211861
FS( 85 ),2202964.750000000000000,2008813.780000000027940,1764970.479999999981374,1788801.040000000270084,2224278.310000000055879,1821884.699999999953434,11811717.059999998658895
FS( 86 ),2164461.250000000000000,1972415.080000000074506,1729399.780000000027940,1769717.440000000176951,2180382.629999999888241,1785184.400000000139698,11601564.580000000074506
FS( 87 ),2163544.500000000000000,1957451.169999999925494,1715818.239999999990687,1761129.820000000065193,2113167.369999999646097,1777777.000000000000000,11488892.099999999627471
FS( 88 ),2180962.750000000000000,1959877.750000000000000,1739747.619999999878928,1767491.020000000018626,2074072.779999999795109,1780133.899999999906868,11502289.820000000298023
FS( 89 ),2230467.250000000000000,1987783.419999999925494,1748155.239999999990687,1785620.440000000176951,2105622.799999999813735,1779797.199999999953434,11637450.349999999627471
FS( 90 ),2264387.000000000000000,2001938.469999999972060,1777258.540000000037253,1788164.920000000158325,2124141.290000000037253,1824915.000000000000000,11780809.219999998807907
FS( 91 ),2241468.250000000000000,2043594.760000000009313,1770791.139999999897555,1752224.140000000130385,2163921.750000000000000,1810100.199999999953434,11782104.239999998360872
FS( 92 ),2259803.250000000000000,2041977.040000000037253,1780492.239999999990687,1744590.700000000186265,2192042.419999999925494,1886867.800000000046566,11905777.450000001117587
FS( 93 ),2254302.750000000000000,2076758.020000000018626,1768204.179999999934807,1729959.940000000176951,2231822.879999999888241,1873399.800000000046566,11934451.570000000298023
FS( 94 ),2275388.000000000000000,2061389.679999999934807,1779198.760000000009313,1724870.979999999981374,2255828.330000000074506,1861952.000000000000000,11958631.750000000000000
FS( 95 ),2293723.000000000000000,2105876.980000000447035,1772731.360000000102445,1748725.479999999981374,2242796.800000000279397,1852861.100000000093132,12016718.720000000670552
FS( 96 ),2381731.000000000000000,2117605.450000000186265,1814769.459999999962747,1796116.420000000158325,2206445.689999999944121,1862288.700000000186265,12178960.719999998807907
FS( 97 ),2416567.500000000000000,2138635.810000000521541,1805715.100000000093132,1795798.360000000102445,2195471.769999999552965,1869696.100000000093132,12221888.639999998733401
FS( 98 ),2422984.750000000000000,2144297.830000000074506,1825764.040000000037253,1812973.600000000093132,2186555.459999999962747,1929965.399999999906868,12322545.080000000074506
FS( 99 ),2410150.250000000000000,2137826.950000000186265,1819943.380000000121072,1785620.440000000176951,2182440.239999999757856,1922558.000000000000000,12258543.259999999776483
FS( 100 ),2415650.750000000000000,2149150.990000000223517,1786312.900000000139698,1775124.460000000195578,2148832.609999999869615,1927271.800000000046566,12202347.510000001639128
FS( 101 ),2429402.000000000000000,2118009.879999999888241,1768850.920000000158325,1766536.840000000083819,2148832.609999999869615,1927608.500000000000000,12159244.750000000000000
FS( 102 ),2407400.000000000000000,2094552.939999999944121,1748801.979999999981374,1784984.320000000065193,2126884.770000000018626,1947473.800000000046566,12110101.810000000521541
FS( 103 ),2388148.250000000000000,2083633.330000000074506,1736513.920000000158325,1811383.300000000279397,2143345.649999999906868,1953197.699999999953434,12116226.150000000372529
FS( 104 ),2437652.750000000000000,2146319.980000000447035,1763030.260000000009313,1818380.620000000111759,2196843.509999999776483,1958248.199999999953434,12320479.320000000298023
FS( 105 ),2427568.500000000000000,2209006.629999999888241,1735220.439999999944121,1818380.620000000111759,2184497.850000000093132,1949830.699999999953434,12324508.740000000223517
FS( 106 ),2427568.500000000000000,2189998.419999999925494,1722932.380000000121072,1815200.020000000018626,2169408.709999999962747,1950167.400000000139698,12275279.430000001564622
FS( 107 ),2368896.500000000000000,2107494.700000000186265,1702236.699999999953434,1804704.040000000270084,2138544.560000000055879,1906396.399999999906868,12028276.900000000372529
FS( 108 ),2421151.250000000000000,2078780.169999999925494,1683481.239999999990687,1803749.860000000102445,2170780.449999999720603,1910773.500000000000000,12068720.470000000670552
FS( 109 ),2435819.250000000000000,2114370.009999999776483,1691242.119999999878928,1800569.260000000009313,2179010.889999999664724,1908416.600000000093132,12129432.129999998956919
FS( 110 ),2488074.000000000000000,2114774.439999999478459,1700296.479999999981374,1826968.239999999990687,2229765.269999999552965,1920201.100000000093132,12280083.529999999329448
FS( 111 ),2491741.000000000000000,2094552.939999999944121,1690595.380000000121072,1817426.440000000176951,2207817.429999999701977,1917507.500000000000000,12219644.689999999478459
FS( 112 ),2478906.500000000000000,2115178.870000000111759,1739100.880000000121072,1808838.820000000065193,2224278.310000000055879,1941076.500000000000000,12307383.880000000819564
FS( 113 ),2494491.250000000000000,2130951.639999999664724,1743628.060000000055879,1803431.800000000279397,2233194.620000000111759,1938046.200000000186265,12343747.570000000298023
FS( 114 ),2499075.000000000000000,2089295.349999999860302,1748801.979999999981374,1802795.680000000167638,2253770.719999999739230,1936026.000000000000000,12329768.730000000447035
FS( 115 ),2488990.750000000000000,2099001.669999999925494,1780492.239999999990687,1814563.899999999906868,2223592.439999999944121,1927945.199999999953434,12334590.199999999254942
FS( 116 ),2505492.250000000000000,2123671.899999999441206,1770791.139999999897555,1828876.600000000093132,2256514.199999999720603,1929628.700000000186265,12414978.789999999105930
FS( 117 ),2495408.000000000000000,2093339.649999999906868,1765617.219999999972060,1851140.800000000279397,2283948.999999999534339,1927271.800000000046566,12416730.470000000670552
FS( 118 ),2462405.000000000000000,2151173.139999999664724,1763030.260000000009313,1869588.280000000027940,2277776.169999999925494,1934005.799999999813735,12457982.649999998509884
FS( 119 ),2486240.500000000000000,2161688.320000000298023,1786959.639999999897555,1885491.280000000027940,2313441.409999999683350,1945790.300000000046566,12579615.450000001117587
FS( 120 ),2602667.750000000000000,2098597.240000000223517,1744274.800000000046566,1874041.120000000111759,2312755.540000000037253,1957238.100000000093132,12589578.549999998882413
FS( 121 ),2683341.750000000000000,2047639.060000000055879,1702236.699999999953434,1855275.580000000074506,2241425.060000000055879,1935689.300000000046566,12465611.450000001117587
FS( 122 ),2687008.750000000000000,2065433.979999999981374,1728106.300000000046566,1892488.600000000093132,2254456.589999999850988,1957238.100000000093132,12584736.320000000298023
FS( 123 ),2670507.250000000000000,2017711.239999999990687,1699003.000000000000000,1890262.180000000167638,2224278.310000000055879,1940739.800000000046566,12442505.780000001192093
FS( 124 ),2652172.250000000000000,1953002.439999999944121,1688008.420000000158325,1882946.800000000279397,2196157.640000000130385,1915824.000000000000000,12288115.550000000745058
FS( 125 ),2585249.500000000000000,1931163.219999999972060,1681541.020000000018626,1877221.720000000204891,2224278.310000000055879,1925251.600000000093132,12224709.370000001043081
FS( 126 ),2520160.250000000000000,1909728.429999999934807,1630448.560000000055879,1865135.440000000176951,2198215.249999999534339,1926935.099999999860302,12050627.029999999329448
FS( 127 ),2571498.250000000000000,1974032.800000000046566,1675720.360000000102445,1881038.440000000176951,2147460.869999999646097,2004712.800000000046566,12254467.520000001415610
FS( 128 ),2468822.250000000000000,1933185.369999999878928,1622687.679999999934807,1864181.260000000009313,2121397.810000000055879,1952861.000000000000000,11963139.369999999180436
FS( 129 ),2478906.500000000000000,1952193.580000000074506,1620747.459999999962747,1881674.560000000055879,2144031.520000000018626,1984847.500000000000000,12062405.119999999180436
FS( 130 ),2471572.500000000000000,1945318.270000000018626,1616867.020000000018626,1884219.040000000270084,2103565.189999999944121,1972389.599999999860302,11993935.619999999180436
FS( 131 ),2499075.000000000000000,1944104.979999999981374,1614280.060000000055879,1917615.340000000083819,2238681.580000000074506,1987541.100000000093132,12201302.060000000521541
FS( 132 ),2541245.500000000000000,2012858.080000000074506,1657611.639999999897555,1955464.479999999981374,2243482.669999999925494,2036025.899999999906868,12446692.269999999552965
FS( 133 ),2544912.500000000000000,2009218.209999999962747,1686714.939999999944121,1963097.920000000158325,2235252.229999999981374,2055217.800000000046566,12494417.600000001490116
FS( 134 ),2638421.000000000000000,2076758.020000000018626,1733926.959999999962747,1992359.440000000176951,2292865.310000000055879,2082490.500000000000000,12816825.230000000447035
FS( 135 ),2658589.500000000000000,2035101.729999999981374,1734573.699999999953434,1980909.280000000027940,2305210.969999999739230,2082827.199999999953434,12797216.379999998956919
FS( 136 ),2662256.500000000000000,2049661.209999999962747,1766263.959999999962747,1998402.580000000074506,2278462.040000000037253,2095285.099999999860302,12850335.389999998733401
FS( 137 ),2645755.000000000000000,2033484.010000000009313,1761736.780000000027940,1977410.620000000111759,2262001.159999999683350,2063972.000000000000000,12744363.570000000298023
FS( 138 ),2677841.250000000000000,2049661.209999999962747,1768204.179999999934807,2022257.080000000074506,2270231.600000000093132,2074409.699999999953434,12862609.019999997690320
FS( 139 ),2706260.500000000000000,2122458.609999999403954,1788253.119999999878928,2052472.780000000027940,2318928.370000000111759,2096631.900000000139698,13085009.279999999329448
FS( 140 ),2710844.250000000000000,2124480.759999999776483,1745568.280000000027940,2021939.020000000018626,2351850.129999999888241,2097978.700000000186265,13052665.140000000596046
FS( 141 ),2697093.000000000000000,2103854.830000000074506,1764970.479999999981374,2034979.479999999981374,2410149.080000000074506,2101345.699999999720603,13112396.570000000298023
FS( 142 ),2625586.500000000000000,2079993.459999999962747,1753329.159999999916181,2016850.060000000055879,2423180.609999999869615,2092591.500000000000000,12991535.289999999105930
FS( 143 ),2618252.500000000000000,2090913.070000000065193,1757856.340000000083819,2034661.420000000158325,2500683.919999999925494,2080807.000000000000000,13083178.250000000000000
FS( 144 ),2696176.250000000000000,2128525.060000000521541,1779198.760000000009313,2035297.540000000270084,2497940.439999999944121,2112120.100000000093132,13249262.150000000372529
FS( 145 ),2677841.250000000000000,2101832.679999999701977,1782432.459999999962747,2042612.920000000158325,2484223.040000000037253,2114477.000000000000000,13203423.350000001490116
FS( 146 ),2674174.250000000000000,2140657.959999999962747,1801187.920000000158325,2049928.300000000279397,2508228.489999999757856,2116833.899999999906868,13291014.820000000298023
FS( 147 ),2627420.000000000000000,2121245.320000000298023,1785666.159999999916181,2022893.200000000186265,2489024.129999999888241,2103702.600000000093132,13149955.409999998286366
FS( 148 ),2618252.500000000000000,2119627.599999999627471,1769497.659999999916181,2011761.100000000093132,2483537.169999999925494,2099325.500000000000000,13102005.529999999329448
FS( 149 ),2579749.000000000000000,2172607.929999999701977,1810889.020000000018626,2020984.840000000083819,2529490.459999999962747,2118180.699999999720603,13231905.949999999254942
FS( 150 ),2569664.750000000000000,2175034.509999999776483,1832231.439999999944121,1987906.600000000093132,2524003.499999999534339,2127608.299999999813735,13216453.099999997764826
FS( 151 ),2573331.750000000000000,2174630.080000000074506,1806361.840000000083819,1971049.420000000158325,2521945.890000000130385,2106396.200000000186265,13153719.179999999701977
FS( 152 ),2532078.000000000000000,2211433.209999999962747,1816062.939999999944121,1958963.140000000130385,2517144.800000000279397,2107743.000000000000000,13143429.090000001713634
FS( 153 ),2474322.750000000000000,2257538.230000000447035,1825117.300000000046566,1969777.180000000167638,2517144.800000000279397,2103365.899999999906868,13147270.160000002011657
FS( 154 ),2486240.500000000000000,2251067.349999999627471,1789546.600000000093132,1927793.260000000009313,2493139.350000000093132,2083163.899999999906868,13030954.959999999031425
FS( 155 ),2590750.000000000000000,2243383.179999999701977,1781785.719999999972060,1927475.200000000186265,2548008.949999999720603,2095621.800000000046566,13187028.849999999627471
FS( 156 ),2572415.000000000000000,2224779.399999999441206,1810242.280000000027940,1941787.899999999906868,2574757.879999999888241,2095621.800000000046566,13219608.260000001639128
FS( 157 ),2549496.250000000000000,2248640.770000000484288,1842579.280000000027940,1961189.560000000055879,2542521.989999999757856,2098988.800000000279397,13243420.650000002235174
FS( 158 ),2579749.000000000000000,2266840.120000000111759,1867155.400000000139698,1976456.440000000176951,2590532.890000000130385,2121547.699999999720603,13402285.550000000745058
FS( 159 ),2543079.000000000000000,2251471.780000000260770,1876856.500000000000000,1972003.600000000093132,2606307.899999999906868,2091581.399999999906868,13341304.180000001564622
FS( 160 ),2554080.000000000000000,2229632.560000000521541,1872976.060000000055879,1985362.120000000111759,2589161.149999999906868,2092928.199999999953434,13324144.090000001713634
FS( 161 ),2512826.250000000000000,2202940.179999999701977,1862628.219999999972060,1969459.120000000111759,2556925.259999999776483,2073736.300000000046566,13178519.330000000074506
FS( 162 ),2559580.500000000000000,2161283.889999999664724,1852927.119999999878928,1977410.620000000111759,2565155.699999999720603,2072389.500000000000000,13188751.329999998211861
FS( 163 ),2596250.500000000000000,2196064.870000000111759,1872976.060000000055879,1992995.560000000055879,2585045.929999999701977,2063972.000000000000000,13307308.919999999925494
FS( 164 ),2623753.000000000000000,2228419.270000000484288,1894318.479999999981374,2002855.420000000158325,2589161.149999999906868,2063972.000000000000000,13402483.320000000298023
FS( 165 ),2646671.750000000000000,2222757.250000000000000,1875563.020000000018626,2015259.760000000009313,2554867.649999999906868,2064308.700000000186265,13379432.129999998956919
FS( 166 ),2737430.000000000000000,2243787.609999999403954,1886557.600000000093132,2017168.120000000111759,2537035.030000000260770,2063298.600000000093132,13485280.959999999031425
