代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14297277.810000000521541
真實報酬,4297277.810000000521541

夏普值報酬,0.421027781000000
夏普值風險,0.107715172279936
夏普值,3.908713805941920

二次趨勢線,42.798093944985077 x^2 + 6206.078971165252369 x + 10000000.000000000000000
二次加權預期報酬,20557.706474050242832
風險,174030.018269057298312
二次加權趨勢值,0.118127359167814
一次趨勢線,14278.837534410315129 x + 10000000.000000000000000
一次預期報酬,14278.837534410315129
一次風險,349383.941821963235270
一次趨勢值,0.040868614224080
找到最佳解世代,2012
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
AAPL[0](8),BA[2](1),DD[7](11),MMM[16](3),NKE[19](2),UNH[23](9),
FS( 45 ),1300469.200000000186265,1717777.320000000298023,1850385.399999999906868,1895335.839999999850988,1850481.769999999785796,1774601.229999999981374,10389054.759999999776483
FS( 46 ),1331317.300000000046566,1743445.560000000288710,1831614.070000000065193,1886661.520000000018626,1868248.349999999860302,1764395.319999999832362,10425686.120000001043081
FS( 47 ),1350423.219999999972060,1723856.640000000130385,1843995.160000000149012,1894782.159999999916181,1865515.030000000027940,1785734.949999999953434,10464311.160000000149012
FS( 48 ),1364553.640000000130385,1708320.600000000325963,1847190.280000000027940,1894043.919999999925494,1886698.259999999776483,1766560.209999999962747,10467370.910000000149012
FS( 49 ),1330322.200000000186265,1711022.520000000018626,1863165.879999999888241,1909546.959999999729916,1882598.280000000027940,1763158.239999999990687,10459818.080000000074506
FS( 50 ),1327933.959999999962747,1683778.160000000149012,1877144.530000000027940,1898473.359999999869615,1864148.369999999878928,1769962.179999999934807,10421444.559999998658895
FS( 51 ),1326739.839999999850988,1687155.560000000288710,1847989.060000000055879,1896996.879999999888241,1866198.359999999869615,1764395.319999999832362,10389479.020000001415610
FS( 52 ),1308430.000000000000000,1689407.160000000149012,1829217.729999999981374,1905302.080000000074506,1877814.969999999972060,1772745.609999999869615,10382921.550000000745058
FS( 53 ),1307832.939999999944121,1680851.080000000307336,1831614.070000000065193,1922835.280000000027940,1861415.049999999813735,1752333.789999999804422,10356886.210000000894070
FS( 54 ),1276188.760000000009313,1683778.160000000149012,1799662.870000000111759,1903825.600000000093132,1845698.459999999962747,1707489.639999999897555,10216647.490000002086163
FS( 55 ),1268227.959999999962747,1711472.840000000316650,1754132.410000000149012,1895889.520000000018626,1863465.039999999804422,1708417.449999999953434,10201609.219999998807907
FS( 56 ),1281761.320000000065193,1726108.239999999990687,1784885.439999999944121,1911023.440000000176951,1861415.049999999813735,1684603.659999999916181,10249801.150000000372529
FS( 57 ),1259073.040000000037253,1689407.160000000149012,1742550.100000000093132,1877987.199999999953434,1846381.789999999804422,1648419.069999999832362,10063822.360000001266599
FS( 58 ),1276586.800000000046566,1703367.080000000307336,1756928.140000000130385,1888322.560000000055879,1854581.750000000000000,1640687.319999999832362,10120477.650000000372529
FS( 59 ),1264048.540000000037253,1741869.440000000176951,1809248.229999999981374,1911577.119999999878928,1856631.739999999990687,1666047.459999999962747,10249426.530000001192093
FS( 60 ),1255092.640000000130385,1731512.080000000307336,1804056.160000000149012,1919513.199999999953434,1860731.719999999972060,1653058.120000000111759,10223967.920000001788139
FS( 61 ),1224045.520000000018626,1740068.160000000149012,1809248.229999999981374,1915268.319999999832362,1873031.659999999916181,1655223.010000000009313,10216888.900000000372529
FS( 62 ),1194391.540000000037253,1735790.120000000344589,1815638.469999999972060,1906224.879999999888241,1870298.339999999850988,1649037.609999999869615,10171384.959999999031425
FS( 63 ),1225836.700000000186265,1771140.239999999990687,1831614.070000000065193,1927818.399999999906868,1875764.979999999748543,1654604.469999999972060,10286782.860000001266599
FS( 64 ),1210313.140000000130385,1780596.960000000195578,1860370.149999999906868,1931694.159999999916181,1889431.579999999841675,1658006.439999999944121,10330416.429999999701977
FS( 65 ),1224244.540000000037253,1824953.480000000214204,1848388.450000000186265,1929479.440000000176951,1886698.259999999776483,1663882.569999999832362,10377650.740000002086163
FS( 66 ),1227428.860000000102445,1829006.360000000335276,1863964.660000000149012,1951072.959999999729916,1868931.679999999934807,1664191.840000000083819,10404600.360000001266599
FS( 67 ),1244942.619999999878928,1867508.720000000204891,1876345.750000000000000,1952918.560000000055879,1863465.039999999804422,1676562.639999999897555,10481747.330000000074506
FS( 68 ),1218074.920000000158325,1894978.239999999990687,1890723.790000000270084,1940368.479999999981374,1827931.879999999888241,1695737.379999999888241,10467818.689999997615814
FS( 69 ),1217875.899999999906868,1908262.680000000167638,1888726.840000000083819,1939630.239999999990687,1874398.319999999832362,1684912.929999999934807,10513810.910000000149012
FS( 70 ),1229817.100000000093132,1905335.600000000325963,1915086.580000000074506,1956794.319999999832362,1868931.679999999934807,1692644.679999999934807,10568613.959999999031425
FS( 71 ),1261461.280000000027940,1946089.560000000288710,1923074.379999999888241,1963807.600000000093132,1871665.000000000000000,1692644.679999999934807,10658746.500000000000000
FS( 72 ),1295692.719999999972060,1917944.560000000288710,1892321.350000000093132,1945536.159999999916181,1850481.769999999785796,1700994.969999999972060,10602975.530000001192093
FS( 73 ),1292309.380000000121072,1925374.840000000316650,1887928.060000000055879,1941291.280000000027940,1839548.489999999990687,1706252.560000000055879,10592708.610000001266599
FS( 74 ),1285343.679999999934807,1922222.600000000325963,1901906.709999999962747,1950150.159999999916181,1873714.989999999990687,1697283.729999999981374,10630625.870000001043081
FS( 75 ),1287333.880000000121072,1898805.960000000195578,1847190.280000000027940,1936861.839999999850988,1831348.530000000027940,1702850.590000000083819,10504395.080000000074506
FS( 76 ),1313405.500000000000000,1909838.800000000046566,1864364.050000000046566,1964176.719999999972060,2034297.539999999804422,1684294.389999999897555,10770381.000000000000000
FS( 77 ),1318181.980000000214204,1910514.280000000027940,1836406.750000000000000,1941106.719999999972060,2034980.869999999878928,1696665.189999999944121,10737859.789999999105930
FS( 78 ),1311216.280000000027940,1950367.600000000325963,1820031.760000000009313,1957717.119999999878928,2032247.549999999813735,1721097.520000000018626,10792681.830000000074506
FS( 79 ),1285343.679999999934807,1940910.880000000121072,1807650.669999999925494,1943321.440000000176951,1997397.719999999972060,1751096.709999999962747,10725725.100000001490116
FS( 80 ),1258675.000000000000000,1933030.280000000027940,1810845.790000000270084,1962146.560000000055879,2016530.959999999962747,1769343.639999999897555,10750576.230000000447035
FS( 81 ),1219468.060000000055879,1919520.680000000167638,1784086.660000000149012,1949965.600000000093132,1990564.419999999925494,1823775.159999999916181,10687384.580000000074506
FS( 82 ),1222055.320000000065193,1893402.120000000344589,1760522.649999999906868,1966022.319999999832362,2012430.979999999748543,1909442.949999999953434,10763880.339999999850988
FS( 83 ),1228224.939999999944121,1899481.440000000176951,1763318.379999999888241,1950519.280000000027940,2013114.310000000055879,1907278.060000000055879,10761940.410000000149012
FS( 84 ),1216084.719999999972060,1912765.880000000121072,1787681.169999999925494,1953103.119999999878928,2027464.239999999990687,1918411.780000000027940,10815514.909999998286366
FS( 85 ),1203347.439999999944121,1940235.400000000139698,1757327.530000000027940,1952364.879999999888241,2015164.299999999813735,1920576.669999999925494,10789020.220000000670552
FS( 86 ),1211905.300000000046566,1953294.680000000167638,1744946.439999999944121,1951811.199999999953434,2048647.469999999972060,1914082.000000000000000,10824691.089999999850988
FS( 87 ),1214094.520000000018626,1963652.040000000037253,1788080.560000000055879,1955502.399999999906868,2046597.479999999748543,1923050.830000000074506,10890981.830000000074506
FS( 88 ),1238773.000000000000000,1977386.800000000046566,1810446.399999999906868,1987615.839999999850988,2060264.079999999841675,1930164.039999999804422,11004654.159999998286366
FS( 89 ),1234991.619999999878928,1993373.160000000149012,1812043.959999999962747,1997951.199999999953434,2091013.929999999934807,1947792.429999999934807,11077170.300000000745058
FS( 90 ),1222055.320000000065193,2001478.920000000158325,1805653.719999999972060,1987431.280000000027940,2069830.699999999720603,1949338.780000000027940,11035792.719999998807907
FS( 91 ),1193794.479999999981374,1953745.000000000000000,1716589.750000000000000,1951995.760000000009313,2039080.849999999860302,1904803.900000000139698,10760013.740000000223517
FS( 92 ),1211905.300000000046566,1956446.920000000158325,1721781.820000000065193,1959193.600000000093132,2067097.379999999888241,1942534.840000000083819,10858963.859999999403954
FS( 93 ),1145233.600000000093132,1951943.720000000204891,1723379.379999999888241,1946828.080000000074506,2080763.979999999748543,1918411.780000000027940,10766564.539999999105930
FS( 94 ),1114783.540000000037253,1939109.600000000325963,1716589.750000000000000,1937600.080000000074506,2056164.099999999860302,1846042.599999999860302,10610293.669999999925494
FS( 95 ),1110405.100000000093132,1980539.040000000037253,1737757.419999999925494,1951072.959999999729916,2081447.310000000055879,1856867.050000000046566,10718092.880000000819564
FS( 96 ),1133491.420000000158325,1957572.720000000204891,1762519.600000000093132,1952734.000000000000000,2096480.569999999832362,1831506.909999999916181,10734309.220000000670552
FS( 97 ),1154786.560000000055879,1985492.560000000288710,1800861.040000000270084,1982079.040000000037253,2107413.850000000093132,1810476.550000000046566,10841113.600000001490116
FS( 98 ),1152796.360000000102445,2045159.960000000195578,1829617.120000000111759,1990937.919999999925494,2102630.540000000037253,1818208.300000000046566,10939354.200000001117587
FS( 99 ),1161155.200000000186265,2064073.400000000139698,1932260.350000000093132,1935754.479999999981374,2121080.449999999720603,1835218.150000000139698,11049546.030000001192093
FS( 100 ),1186231.719999999972060,2090642.280000000027940,1900708.540000000270084,1915637.440000000176951,2114930.479999999981374,1839547.929999999934807,11047702.390000000596046
FS( 101 ),1223050.420000000158325,2069252.080000000307336,1926269.500000000000000,1916375.679999999934807,2140213.689999999944121,1855939.239999999990687,11131104.609999999403954
FS( 102 ),1258874.020000000018626,2058219.239999999990687,1928665.840000000083819,1932616.959999999729916,2173013.529999999795109,1853465.080000000074506,11204858.669999999925494
FS( 103 ),1249122.040000000037253,2053040.560000000288710,1885531.719999999972060,1929664.000000000000000,2164813.569999999832362,1846970.409999999916181,11129146.300000000745058
FS( 104 ),1266834.820000000065193,2076232.040000000037253,1883934.160000000149012,1957163.440000000176951,2163446.909999999683350,1839547.929999999934807,11187163.300000000745058
FS( 105 ),1279373.080000000074506,2110681.520000000018626,1931461.570000000065193,1990199.679999999934807,2205813.370000000111759,1822228.810000000055879,11339762.029999999329448
FS( 106 ),1310022.159999999916181,2120813.720000000204891,1934257.300000000046566,1990384.239999999990687,2185313.469999999739230,1861815.370000000111759,11402610.260000001639128
FS( 107 ),1304051.559999999823049,2134323.320000000298023,1964610.939999999944121,1993521.760000000009313,2183946.810000000055879,1871093.469999999972060,11451551.860000001266599
FS( 108 ),1318779.040000000037253,2117436.320000000298023,1963013.379999999888241,1997028.399999999906868,2183263.479999999981374,1933256.739999999990687,11512781.360000001266599
FS( 109 ),1298678.020000000018626,2130270.439999999944121,1986178.000000000000000,2028772.719999999972060,2177796.839999999850988,1917793.239999999990687,11539493.259999999776483
FS( 110 ),1287930.939999999944121,2121939.520000000018626,1959818.260000000009313,2039108.080000000074506,2212646.669999999925494,1945627.539999999804422,11567075.009999997913837
FS( 111 ),1292906.439999999944121,2133647.840000000316650,1953827.410000000149012,2039477.199999999953434,2209230.019999999552965,1929545.500000000000000,11558638.410000000149012
FS( 112 ),1262058.339999999850988,2164044.439999999944121,1986577.390000000130385,2041138.239999999990687,2252279.810000000055879,1909133.679999999934807,11615235.900000000372529
FS( 113 ),1219269.040000000037253,2184534.000000000000000,2010141.399999999906868,2057933.199999999953434,2249546.490000000223517,1905422.439999999944121,11626850.569999998435378
FS( 114 ),1235588.679999999934807,2174626.959999999962747,1996562.140000000130385,2049997.119999999878928,2201713.389999999664724,1921813.750000000000000,11580306.039999999105930
FS( 115 ),1231807.300000000046566,2227314.400000000372529,2037299.919999999925494,2055903.040000000037253,2231779.909999999683350,1943462.650000000139698,11727571.220000000670552
FS( 116 ),1259471.080000000074506,2222811.200000000186265,2025318.219999999972060,2061993.520000000018626,2232463.240000000223517,1934803.090000000083819,11736864.349999999627471
FS( 117 ),1250117.140000000130385,2223486.680000000167638,2034903.580000000074506,2067345.760000000009313,2229046.589999999850988,1944390.459999999962747,11749294.210000000894070
FS( 118 ),1254893.619999999878928,2205023.560000000521541,1997360.919999999925494,2044829.440000000176951,2202396.719999999739230,1926143.530000000027940,11630651.790000000968575
FS( 119 ),1257082.839999999850988,2246002.680000000167638,1996562.140000000130385,2037816.159999999916181,2164130.240000000223517,1928617.689999999944121,11630215.750000000000000
FS( 120 ),1265640.700000000186265,2251631.680000000167638,1995363.969999999972060,2035232.319999999832362,2145680.329999999608845,1919339.590000000083819,11612892.589999999850988
FS( 121 ),1255092.640000000130385,2254108.439999999944121,1992967.629999999888241,2059594.239999999990687,2162080.250000000000000,1958926.150000000139698,11682773.349999999627471
FS( 122 ),1265043.640000000130385,2231142.120000000111759,1987376.169999999925494,2051104.479999999981374,2150463.639999999664724,1959235.419999999925494,11644369.470000000670552
FS( 123 ),1283950.540000000037253,2263790.320000000298023,1979388.370000000111759,2056456.719999999972060,2132697.060000000055879,1999749.789999999804422,11716036.799999998882413
FS( 124 ),1278776.020000000018626,2229566.000000000000000,1959818.260000000009313,2035232.319999999832362,2106730.519999999552965,1936967.979999999981374,11547095.099999999627471
FS( 125 ),1281562.300000000046566,2268293.520000000018626,1953028.629999999888241,2041507.359999999869615,2153880.290000000037253,1942225.569999999832362,11640501.670000001788139
FS( 126 ),1277581.899999999906868,2242850.439999999944121,1969004.229999999981374,2030618.319999999832362,2144997.000000000000000,1928617.689999999944121,11593673.580000000074506
FS( 127 ),1265640.700000000186265,2217632.520000000018626,1914287.800000000046566,2004226.239999999990687,2110147.169999999925494,1909752.219999999972060,11421690.650000000372529
FS( 128 ),1246733.800000000046566,2246227.840000000316650,1927467.669999999925494,2005702.719999999972060,2123813.769999999552965,1915009.810000000055879,11464959.610000001266599
FS( 129 ),1256286.760000000009313,2307696.520000000018626,1953827.410000000149012,2050735.359999999869615,2144313.669999999925494,1935112.359999999869615,11647976.080000000074506
FS( 130 ),1247927.920000000158325,2302067.520000000018626,1952629.239999999990687,2045198.560000000055879,2153880.290000000037253,1969441.330000000074506,11671148.860000001266599
FS( 131 ),1244146.540000000037253,2291034.680000000167638,1933857.910000000149012,2034309.520000000018626,2123813.769999999552965,1977173.080000000074506,11604339.500000000000000
FS( 132 ),1228822.000000000000000,2271445.760000000242144,1921876.209999999962747,2012346.879999999888241,2098530.560000000055879,1974080.379999999888241,11507105.789999999105930
FS( 133 ),1239569.080000000074506,2300266.240000000223517,1970601.790000000270084,2052396.399999999906868,2110147.169999999925494,1983977.020000000251457,11656961.699999999254942
FS( 134 ),1222851.399999999906868,2292835.959999999962747,1934257.300000000046566,2049258.879999999888241,2114930.479999999981374,1973152.569999999832362,11587290.589999999850988
FS( 135 ),1228224.939999999944121,2319855.160000000149012,1941845.709999999962747,2065500.159999999916181,2116297.139999999664724,1990780.960000000195578,11662508.070000000298023
FS( 136 ),1227627.880000000121072,2343496.959999999962747,1969004.229999999981374,2085063.520000000018626,2123813.769999999552965,2031295.330000000074506,11780305.689999999478459
FS( 137 ),1202750.380000000121072,2302292.680000000167638,1939449.370000000111759,2059225.119999999878928,2110147.169999999925494,2018305.990000000223517,11632174.710000000894070
FS( 138 ),1185236.619999999878928,2243525.920000000391155,1887928.060000000055879,2007732.879999999888241,2076664.000000000000000,1973152.569999999832362,11374244.050000000745058
FS( 139 ),1175683.659999999916181,2251181.360000000335276,1855976.859999999869615,2022682.239999999990687,2069830.699999999720603,1976245.270000000018626,11351604.089999999850988
FS( 140 ),1144636.540000000037253,2203222.280000000260770,1840001.260000000009313,1984109.199999999953434,2048647.469999999972060,1999440.520000000251457,11220061.269999999552965
FS( 141 ),1144835.560000000055879,2221685.400000000372529,1848388.450000000186265,1997766.639999999897555,2063680.729999999748543,1970987.679999999934807,11247348.459999999031425
FS( 142 ),1131899.260000000009313,2268518.680000000167638,1831614.070000000065193,2024343.280000000027940,2113563.819999999832362,2003461.030000000027940,11373404.140000000596046
FS( 143 ),1119560.020000000018626,2322557.080000000074506,1840001.260000000009313,2034678.639999999897555,2129280.409999999683350,2043975.400000000139698,11490056.810000000521541
FS( 144 ),1127520.820000000065193,2306570.720000000204891,1829617.120000000111759,2018252.799999999813735,2175746.850000000093132,2025109.930000000167638,11482822.240000000223517
FS( 145 ),1163543.439999999944121,2324583.520000000018626,1848388.450000000186265,2017514.560000000055879,2129963.740000000223517,2029748.979999999748543,11513746.690000001341105
FS( 146 ),1189814.080000000074506,2284730.200000000186265,1845193.330000000074506,2006810.080000000074506,2139530.359999999869615,2018615.259999999776483,11484697.310000000521541
FS( 147 ),1196381.739999999990687,2316702.920000000391155,1844394.550000000046566,2020098.399999999906868,2147730.319999999832362,2026965.550000000279397,11552277.480000000447035
FS( 148 ),1186828.780000000027940,2346198.880000000353903,1859171.979999999981374,2058671.440000000176951,2174380.189999999944121,2046449.560000000055879,11671704.830000001937151
FS( 149 ),1180062.100000000093132,2350026.600000000093132,1881937.209999999962747,2069560.479999999981374,2177113.509999999776483,2089438.090000000083819,11748141.990000000223517
FS( 150 ),1200959.200000000186265,2357006.560000000521541,1935056.080000000074506,2092076.799999999813735,2184630.139999999664724,2102118.160000000149012,11871850.940000001341105
FS( 151 ),1196182.719999999972060,2375469.680000000167638,1921876.209999999962747,2093553.280000000027940,2173013.529999999795109,2093458.599999999860302,11853558.019999999552965
FS( 152 ),1214890.600000000093132,2406541.760000000242144,1945040.830000000074506,2113854.879999999888241,2177113.509999999776483,2114179.690000000409782,11971625.269999999552965
FS( 153 ),1212701.380000000121072,2293736.600000000093132,1940647.540000000270084,2125113.040000000037253,2175746.850000000093132,2103045.969999999739230,11850995.379999998956919
FS( 154 ),1215288.640000000130385,2379072.240000000223517,1956623.140000000130385,2119760.799999999813735,2164813.569999999832362,2091293.710000000195578,11926856.100000001490116
FS( 155 ),1223249.439999999944121,2346874.360000000335276,1932260.350000000093132,2110348.240000000223517,2142263.680000000167638,2069335.539999999804422,11824335.609999999403954
FS( 156 ),1223448.459999999962747,2359483.320000000298023,1975394.469999999972060,2115885.040000000037253,2164130.240000000223517,2048305.180000000167638,11886650.710000000894070
FS( 157 ),1227627.880000000121072,2423428.760000000242144,1967007.280000000027940,2131388.080000000074506,2163446.909999999683350,2181909.820000000298023,12094812.730000000447035
FS( 158 ),1208322.939999999944121,2408343.040000000037253,1971799.959999999962747,2144491.839999999850988,2164813.569999999832362,2209744.120000000111759,12107519.469999998807907
FS( 159 ),1212104.320000000065193,2406091.439999999944121,1967406.669999999925494,2146152.879999999888241,2162763.579999999608845,2232320.830000000074506,12126843.719999998807907
FS( 160 ),1191406.239999999990687,2427031.320000000298023,1965010.330000000074506,2154827.200000000186265,2159346.930000000167638,2248093.599999999627471,12145719.620000001043081
FS( 161 ),1252505.380000000121072,2408117.880000000353903,1955025.580000000074506,2147075.679999999701977,2140213.689999999944121,2243145.280000000260770,12146087.490000002086163
FS( 162 ),1246733.800000000046566,2402488.880000000353903,1990171.899999999906868,2151136.000000000000000,2135430.379999999888241,2245928.709999999962747,12171893.670000001788139
FS( 163 ),1253898.520000000018626,2377721.280000000260770,1973796.910000000149012,2157780.160000000149012,2136797.040000000037253,2233248.639999999664724,12133246.550000000745058
FS( 164 ),1273203.459999999962747,2359933.640000000130385,1990571.290000000270084,2152243.360000000335276,2142947.009999999776483,2251186.299999999813735,12170089.060000002384186
FS( 165 ),1288926.040000000037253,2380648.360000000335276,1994165.800000000046566,2156488.240000000223517,2147730.319999999832362,2235104.259999999776483,12203067.019999999552965
FS( 166 ),1286736.820000000065193,2366463.280000000260770,1992967.629999999888241,2167377.280000000260770,2149780.310000000055879,2253041.919999999925494,12216371.240000000223517
