代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14652912.220000000670552
真實報酬,4652912.220000000670552

夏普值報酬,0.456591222000000
夏普值風險,0.107061567935315
夏普值,4.264753737549067

二次趨勢線,-10.756382338132873 x^2 + 20542.973274664687779 x + 10000000.000000000000000
二次加權預期報酬,16921.657887493282033
風險,209581.352919565251796
二次加權趨勢值,0.080740283673937
一次趨勢線,18505.991356793441810 x + 10000000.000000000000000
一次預期報酬,18505.991356793441810
一次風險,223191.859310991974780
一次趨勢值,0.082915171789521
找到最佳解世代,2056
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
DIS[6](1),NKE[19](4),UNH[23](2),
FS( 37 ),3447723.130000000353903,3478335.760000000242144,3541943.400000000372529,10468003.290000000968575
FS( 38 ),3492229.870000000577420,3509593.840000000316650,3608207.879999999888241,10610032.589999999850988
FS( 39 ),3438353.290000000037253,3462706.720000000204891,3525172.760000000242144,10426233.769999999552965
FS( 40 ),3464510.760000000242144,3885559.080000000074506,3542352.439999999944121,10892423.279999999329448
FS( 41 ),3468024.450000000186265,3869061.760000000242144,3538671.080000000074506,10875758.290000000968575
FS( 42 ),3475832.650000000372529,3872534.880000000353903,3528036.040000000037253,10876404.570000000298023
FS( 43 ),3415709.510000000242144,3807413.880000000353903,3471997.560000000055879,10695121.950000001117587
FS( 44 ),3388380.810000000521541,3876876.279999999795109,3472815.640000000130385,10738073.730000000447035
FS( 45 ),3453188.870000000577420,3920290.279999999795109,3518628.119999999646097,10892108.269999999552965
FS( 46 ),3457483.380000000353903,3873403.160000000149012,3480587.400000000372529,10811474.940000001341105
FS( 47 ),3400873.930000000167638,3823911.200000000186265,3443773.799999999813735,10668559.929999999701977
FS( 48 ),3439914.930000000167638,3856905.840000000316650,3543170.520000000018626,10839992.290000000968575
FS( 49 ),3346216.530000000260770,3787443.439999999944121,3474451.799999999813735,10608112.769999999552965
FS( 50 ),3368079.490000000223517,3785706.880000000353903,3492858.600000000093132,10646645.970000000670552
FS( 51 ),3275942.730000000447035,3707561.680000000167638,3433956.840000000316650,10417462.250000000000000
FS( 52 ),3284922.160000000614673,3694537.479999999981374,3387735.319999999832362,10367195.960000000894070
FS( 53 ),3204497.700000000186265,3698010.600000000558794,3360738.679999999701977,10263247.980000000447035
FS( 54 ),3191223.760000000242144,3778760.640000000130385,3492858.600000000093132,10462844.000000000000000
FS( 55 ),3272819.450000000186265,3784838.600000000558794,3606980.760000000242144,10664639.810000000521541
FS( 56 ),3338798.740000000223517,3859510.680000000167638,3621706.200000000186265,10820016.620000001043081
FS( 57 ),3417661.560000000521541,3935051.040000000037253,3720284.840000000316650,11072998.440000001341105
FS( 58 ),3400483.520000000018626,3901188.120000000111759,3672018.119999999646097,10973690.759999999776483
FS( 59 ),3435230.010000000242144,3923763.399999999906868,3708422.679999999701977,11067417.089999999850988
FS( 60 ),3459435.430000000167638,3946338.680000000167638,3748508.600000000093132,11154283.710000000894070
FS( 61 ),3453188.870000000577420,3978465.040000000037253,3768551.560000000055879,11200206.470000000670552
FS( 62 ),3510969.550000000745058,4014064.520000000018626,3789412.600000000093132,11314447.669999999925494
FS( 63 ),3495353.150000000372529,3992357.520000000018626,3802501.879999999888241,11290213.550000000745058
FS( 64 ),3522291.440000000409782,4037508.080000000074506,3840133.560000000055879,11399934.080000000074506
FS( 65 ),3567579.000000000000000,4036639.800000000279397,3886355.080000000074506,11490574.880000000819564
FS( 66 ),3580462.530000000260770,4057478.520000000018626,3880219.479999999981374,11518161.530000001192093
FS( 67 ),3527366.770000000018626,4079185.520000000018626,3885127.960000000428408,11491681.250000000000000
FS( 68 ),3552743.420000000391155,4110443.600000000558794,3918669.239999999757856,11581857.260000001639128
FS( 69 ),3591784.420000000391155,4106970.479999999981374,3935439.879999999888241,11634195.780000001192093
FS( 70 ),3513702.420000000391155,4071371.000000000000000,3829089.479999999981374,11414163.900000000372529
FS( 71 ),3505113.400000000372529,4122599.520000000018626,3875720.040000000037253,11503433.960000000894070
FS( 72 ),3512921.600000000558794,4119126.399999999906868,3914169.799999999813735,11546218.800000000745058
FS( 73 ),3509798.320000000763685,4159935.559999999590218,3913760.760000000242144,11583495.640000000596046
FS( 74 ),3532832.510000000242144,4172959.760000000242144,3922759.640000000130385,11628552.910000000149012
FS( 75 ),3544935.220000000204891,4146043.080000000074506,3890445.479999999981374,11581424.780000001192093
FS( 76 ),3529709.230000000447035,4170354.920000000391155,3946074.919999999925494,11646140.070000000298023
FS( 77 ),3524633.900000000372529,4188588.800000000279397,4016429.799999999813735,11729653.500000000000000
FS( 78 ),3506675.040000000037253,4209427.519999999552965,3962027.479999999981374,11678131.039999999105930
FS( 79 ),3470757.320000000763685,4224188.280000000260770,3961618.439999999944121,11656565.040000000968575
FS( 80 ),3473099.780000000260770,4229397.959999999962747,3955891.879999999888241,11658390.620000001043081
FS( 81 ),3536346.200000000186265,4252841.519999999552965,3963663.640000000130385,11752852.359999999403954
FS( 82 ),3578120.070000000763685,4224188.280000000260770,4004567.640000000130385,11806876.990000002086163
FS( 83 ),3588661.140000000596046,4245895.280000000260770,4013157.479999999981374,11847714.900000000372529
FS( 84 ),3611695.330000000540167,4311016.280000000260770,4034427.560000000055879,11957140.170000001788139
FS( 85 ),3619113.120000000577420,4241553.879999999888241,4052016.280000000260770,11912684.280000001192093
FS( 86 ),3649174.690000000409782,4256314.640000000596046,4083512.359999999869615,11989002.690000001341105
FS( 87 ),3635119.930000000167638,4276285.080000000074506,4123189.239999999757856,12034595.250000000000000
FS( 88 ),3639804.850000000558794,4300596.919999999925494,4076967.720000000204891,12017370.490000000223517
FS( 89 ),3660496.580000000540167,4312752.839999999850988,4103964.359999999869615,12077214.779999999329448
FS( 90 ),3662058.220000000204891,4242422.160000000149012,4087193.720000000204891,11991675.100000001490116
FS( 91 ),3628482.960000000428408,4212900.640000000596046,4132188.119999999646097,11973572.720000000670552
FS( 92 ),3577339.250000000000000,4239817.320000000298023,4053243.400000000372529,11870400.970000000670552
FS( 93 ),3582024.170000000391155,4208559.240000000223517,4079421.960000000428408,11870006.370000001043081
FS( 94 ),3571873.510000000242144,4175564.600000000558794,4039745.080000000074506,11787184.190000001341105
FS( 95 ),3548839.320000000763685,4143438.239999999757856,4019702.119999999646097,11711980.679999999701977
FS( 96 ),3520339.390000000596046,4047059.160000000149012,3920714.439999999944121,11488113.990000000223517
FS( 97 ),3567579.000000000000000,4102629.080000000074506,4055288.600000000093132,11725497.679999999701977
FS( 98 ),3615599.430000000167638,4214637.200000000186265,4182091.000000000000000,12012328.630000000819564
FS( 99 ),3626530.910000000614673,4117389.840000000316650,4192317.000000000000000,11936238.750000000000000
FS( 100 ),3677674.620000000577420,4165145.239999999757856,4214814.200000000186265,12057635.060000000521541
FS( 101 ),3696804.710000000428408,4166881.800000000279397,4207042.439999999478459,12070729.949999999254942
FS( 102 ),3686263.640000000596046,4180774.279999999795109,4200088.760000000707805,12067127.679999999701977
FS( 103 ),3710078.650000000372529,4204217.839999999850988,4194771.240000000223517,12109068.730000000447035
FS( 104 ),3728427.920000000391155,4224188.280000000260770,4185772.359999999869615,12138389.560000000521541
FS( 105 ),3697195.120000000577420,4205954.399999999441206,4207042.439999999478459,12110192.959999999031425
FS( 106 ),3677284.210000000428408,4174696.319999999832362,4135051.400000000372529,11987032.929999999701977
FS( 107 ),3660106.170000000391155,4126072.640000000130385,4122371.160000000149012,11908550.970000000670552
FS( 108 ),3606620.000000000000000,4059215.080000000074506,4054470.520000000018626,11720306.599999999627471
FS( 109 ),3587489.910000000614673,4035771.520000000018626,4046289.720000000204891,11669552.150000000372529
FS( 110 ),3624188.450000000186265,4119126.399999999906868,4087602.760000000242144,11830918.609999999403954
FS( 111 ),3661667.810000000521541,4213768.919999999925494,4282714.839999999850988,12158152.570000000298023
FS( 112 ),3679626.670000000391155,4167750.080000000074506,4242628.919999999925494,12090006.669999999925494
FS( 113 ),3687825.280000000260770,4161672.120000000111759,4194771.240000000223517,12044269.640000000596046
FS( 114 ),3716325.210000000428408,4125204.359999999869615,4216041.319999999366701,12057571.890000000596046
FS( 115 ),3678845.850000000558794,4068766.160000000149012,4226676.360000000335276,11974289.370000001043081
FS( 116 ),3683530.770000000018626,4029693.559999999590218,4272897.879999999888241,11986123.210000000894070
FS( 117 ),3715934.800000000745058,4037508.080000000074506,4326482.120000000111759,12079926.000000000000000
FS( 118 ),3698756.760000000242144,4064424.760000000242144,4320346.520000000484288,12083529.040000000968575
FS( 119 ),3676503.390000000596046,4060083.359999999869615,4471691.319999999366701,12208279.070000000298023
FS( 120 ),3714763.570000000763685,4161672.120000000111759,4656986.439999999478459,12533423.130000000819564
FS( 121 ),3697975.940000000409782,4174696.319999999832362,4581314.040000000037253,12453987.300000000745058
FS( 122 ),3707736.190000000409782,4183379.120000000111759,4565361.480000000447035,12456477.790000000968575
FS( 123 ),3668695.190000000409782,4102629.080000000074506,4499915.080000000074506,12271240.350000001490116
FS( 124 ),3617941.890000000596046,4051400.559999999590218,4436513.879999999888241,12105857.330000000074506
FS( 125 ),3639414.440000000409782,4119126.399999999906868,4474554.599999999627471,12233096.439999999478459
FS( 126 ),3551181.780000000260770,4005381.720000000204891,4346116.040000000037253,11902680.539999999105930
FS( 127 ),3589051.550000000745058,3990620.959999999962747,4388656.200000000186265,11968329.710000000894070
FS( 128 ),3673770.520000000018626,4053137.120000000111759,4409926.280000000260770,12136834.920000001788139
FS( 129 ),3954084.900000000372529,4017537.640000000130385,4414425.719999999739230,12386049.260000001639128
FS( 130 ),4007180.660000000614673,4052268.840000000316650,4451239.319999999366701,12510689.820000000298023
FS( 131 ),3982975.240000000223517,3985411.279999999795109,4401336.439999999478459,12369723.959999999031425
FS( 132 ),3971653.350000000558794,3958494.600000000558794,4355933.000000000000000,12286081.950000001117587
FS( 133 ),3979071.140000000596046,4027088.720000000204891,4457374.919999999925494,12463535.780000001192093
FS( 134 ),3977119.090000000782311,3964572.559999999590218,4493370.439999999478459,12435063.089999999850988
FS( 135 ),4043879.200000000186265,3994094.080000000074506,4492961.400000000372529,12530935.679999999701977
FS( 136 ),4066913.390000000596046,3995830.640000000130385,4476599.799999999813735,12539344.830000001937151
FS( 137 ),4064961.340000000782311,3988016.120000000111759,4489689.080000000074506,12542667.540000000968575
FS( 138 ),4054810.680000000167638,4064424.760000000242144,4490098.120000000111759,12609334.560000000521541
FS( 139 ),4055981.910000000614673,4067897.880000000353903,4500733.160000000149012,12624613.950000001117587
FS( 140 ),4081748.970000000204891,4121731.239999999757856,4606674.520000000484288,12810155.730000000447035
FS( 141 ),4098927.010000000242144,4125204.359999999869615,4761291.640000000596046,12985424.010000001639128
FS( 142 ),4086433.890000000596046,4142569.959999999962747,4721614.760000000707805,12950619.610000001266599
FS( 143 ),4121570.790000000037253,4203349.559999999590218,4665167.240000000223517,12990088.589999999850988
FS( 144 ),4082139.380000000353903,4211164.080000000074506,4649214.679999999701977,12942519.140000000596046
FS( 145 ),4063399.700000000186265,4216373.760000000707805,4647987.559999999590218,12927762.019999999552965
FS( 146 ),4134063.910000000614673,4287572.720000000670552,4679483.640000000596046,13101121.270000001415610
FS( 147 ),4152022.770000000018626,4253709.799999999813735,4616491.480000000447035,13022225.050000000745058
FS( 148 ),4121570.790000000037253,4233739.360000000335276,4655759.319999999366701,13011070.469999998807907
FS( 149 ),4100488.650000000372529,4274548.519999999552965,4695436.200000000186265,13070474.370000001043081
FS( 150 ),4053249.040000000037253,4207690.959999999962747,4617309.559999999590218,12878250.559999998658895
FS( 151 ),4109468.080000000540167,4230266.240000000223517,4699935.640000000596046,13039670.960000000894070
FS( 152 ),4024749.110000000335276,4190325.359999999869615,4600129.879999999888241,12815205.350000001490116
FS( 153 ),4016940.910000000614673,4139096.840000000316650,4610764.919999999925494,12766803.670000001788139
FS( 154 ),4184036.390000000596046,4212900.640000000596046,4699117.559999999590218,13096055.589999999850988
FS( 155 ),4155536.460000000428408,4159935.559999999590218,4714252.040000000037253,13029725.059999998658895
FS( 156 ),4191844.590000000782311,4186852.239999999757856,4848008.120000000111759,13226705.949999999254942
FS( 157 ),4175837.780000000260770,4191193.640000000130385,4810376.439999999478459,13177408.859999999403954
FS( 158 ),4215269.189999999478459,4233739.360000000335276,4906909.879999999888241,13355919.429999999701977
FS( 159 ),4191844.590000000782311,4268470.559999999590218,4939633.080000000074506,13399949.230000000447035
FS( 160 ),4233228.050000000745058,4427365.799999999813735,4873368.599999999627471,13533963.450000001117587
FS( 161 ),4225029.439999999478459,4404790.519999999552965,4869278.200000000186265,13499099.160000000149012
FS( 162 ),4181693.930000000167638,4370059.320000000298023,4831646.520000000484288,13383400.769999999552965
FS( 163 ),4099317.420000000391155,4297992.080000000074506,4767018.200000000186265,13164328.699999999254942
FS( 164 ),4108687.260000000242144,4312752.839999999850988,4755156.040000000037253,13176597.140000000596046
FS( 165 ),4118057.100000000558794,4336196.399999999441206,4827147.080000000074506,13281401.580000000074506
FS( 166 ),4143043.340000000782311,4380478.680000000633299,4949450.040000000037253,13472973.060000002384186
FS( 167 ),4095022.910000000614673,4356166.839999999850988,4838600.200000000186265,13289790.949999999254942
FS( 168 ),4116495.460000000428408,4322303.919999999925494,4804240.839999999850988,13243041.220000000670552
FS( 169 ),4138358.420000000391155,4326645.320000000298023,4800559.480000000447035,13265564.220000000670552
FS( 170 ),4123913.250000000000000,4330118.439999999478459,4814466.839999999850988,13268499.529999999329448
FS( 171 ),4116105.050000000745058,4324908.760000000707805,4800150.439999999478459,13241165.250000001862645
FS( 172 ),4152413.180000000167638,4377873.839999999850988,4834509.799999999813735,13364797.820000000298023
FS( 173 ),4168419.990000000223517,4372664.160000000149012,4849235.240000000223517,13390320.390000000596046
FS( 174 ),4175447.370000000577420,4340537.799999999813735,4867642.040000000037253,13383628.210000000894070
FS( 175 ),4158269.330000000540167,4310148.000000000000000,4882776.520000000484288,13351194.850000001490116
FS( 176 ),4164125.480000000447035,4321435.640000000596046,4905273.719999999739230,13390835.839999999850988
FS( 177 ),4176618.600000000558794,4334459.839999999850988,4798923.319999999366701,13310002.760000001639128
FS( 178 ),4220344.519999999552965,4337064.680000000633299,4973992.439999999478459,13531402.639999998733401
FS( 179 ),4165296.710000000428408,4278889.919999999925494,4855779.879999999888241,13299967.510000001639128
FS( 180 ),4225029.439999999478459,4341406.080000000074506,4850462.360000000335276,13416898.879999998956919
FS( 181 ),4203947.300000000745058,4354430.280000000260770,4879095.160000000149012,13437473.740000002086163
FS( 182 ),4214097.960000000894070,4348352.320000000298023,4818966.280000000260770,13381417.560000002384186
FS( 183 ),4255481.419999999925494,4390029.760000000707805,4837373.080000000074506,13482885.259999999776483
FS( 184 ),4276173.150000000372529,4383083.519999999552965,4854961.799999999813735,13514219.469999998807907
FS( 185 ),4300768.980000000447035,4382215.240000000223517,4754747.000000000000000,13437732.220000000670552
FS( 186 ),4291399.140000000596046,4335328.120000000111759,4809967.400000000372529,13436695.660000002011657
FS( 187 ),4287104.630000000819564,4349220.600000000558794,4647169.480000000447035,13283495.710000000894070
FS( 188 ),4244549.939999999478459,4291045.839999999850988,4556771.640000000596046,13092368.419999999925494
FS( 189 ),4314823.740000000223517,4375269.000000000000000,4630398.839999999850988,13320492.580000000074506
FS( 190 ),4334734.650000000372529,4377873.839999999850988,4686028.280000000260770,13398637.769999999552965
FS( 191 ),4326145.630000000819564,4359639.959999999962747,4637352.520000000484288,13323139.109999999403954
FS( 192 ),4283590.939999999478459,4350957.160000000149012,4642261.000000000000000,13276810.099999999627471
FS( 193 ),4265632.080000000074506,4404790.519999999552965,4694209.080000000074506,13364632.679999999701977
FS( 194 ),4298816.929999999701977,4447336.240000000223517,4731840.760000000707805,13477994.929999999701977
FS( 195 ),4239865.019999999552965,4462965.280000000260770,4694618.120000000111759,13397449.420000001788139
FS( 196 ),4264851.259999999776483,4444731.399999999441206,4689300.599999999627471,13398884.259999999776483
FS( 197 ),4262899.210000000894070,4435180.320000000298023,4739203.480000000447035,13437284.010000001639128
FS( 198 ),4291789.550000000745058,4490750.240000000223517,4848417.160000000149012,13630957.950000001117587
FS( 199 ),4306234.720000000670552,4557607.799999999813735,4881140.360000000335276,13744983.879999998956919
FS( 200 ),4307405.950000001117587,4548056.720000000670552,4900365.240000000223517,13755828.910000002011657
FS( 201 ),4316385.380000000819564,4542847.040000000037253,4931043.240000000223517,13790276.660000002011657
FS( 202 ),4302330.620000001043081,4541978.760000000707805,4959267.000000000000000,13803577.380000002682209
FS( 203 ),4309748.410000000149012,4532427.680000000633299,4927361.879999999888241,13769538.969999998807907
FS( 204 ),4304673.080000000074506,4534164.240000000223517,4891775.400000000372529,13730613.720000000670552
FS( 205 ),4272659.460000000894070,4489881.959999999962747,4836555.000000000000000,13599097.420000001788139
FS( 206 ),4308967.589999999850988,4464701.839999999850988,4886048.839999999850988,13659719.269999999552965
FS( 207 ),4315214.150000000372529,4441258.280000000260770,4893002.520000000484288,13649475.949999999254942
FS( 208 ),4308967.589999999850988,4414341.600000000558794,4917135.879999999888241,13640446.070000000298023
FS( 209 ),4332001.779999999329448,4417814.720000000670552,4902819.480000000447035,13652636.980000000447035
FS( 210 ),4323803.169999999925494,4433443.760000000707805,4816512.040000000037253,13573759.969999998807907
FS( 211 ),4340200.390000000596046,4450809.360000000335276,4841054.439999999478459,13632065.189999999478459
FS( 212 ),4306234.720000000670552,4426497.519999999552965,4771517.640000000596046,13504250.880000000819564
FS( 213 ),4306234.720000000670552,4429970.640000000596046,4766609.160000000149012,13502815.520000001415610
FS( 214 ),4266803.310000000521541,4403922.240000000223517,4782152.679999999701977,13452879.230000000447035
FS( 215 ),4236741.740000000223517,4400449.120000000111759,4785425.000000000000000,13422616.859999999403954
FS( 216 ),4294522.419999999925494,4486408.839999999850988,4849235.240000000223517,13630167.500000000000000
FS( 217 ),4318727.839999999850988,4509852.399999999441206,4880731.319999999366701,13709312.559999998658895
FS( 218 ),4292570.370000001043081,4505511.000000000000000,4812421.640000000596046,13610504.010000001639128
FS( 219 ),4301549.800000000745058,4487277.120000000111759,4866823.959999999962747,13655651.880000002682209
FS( 220 ),4335905.880000000819564,4539373.919999999925494,4971947.240000000223517,13847228.040000000968575
FS( 221 ),4352693.509999999776483,4548056.720000000670552,4897911.000000000000000,13798662.230000000447035
FS( 222 ),4420234.439999999478459,4601890.080000000074506,4944950.599999999627471,13967076.119999999180436
FS( 223 ),4396809.839999999850988,4625333.640000000596046,4922044.360000000335276,13944188.839999999850988
FS( 224 ),4432337.150000000372529,4636621.280000000260770,4918772.040000000037253,13987731.469999998807907
FS( 225 ),4466693.230000000447035,4653986.879999999888241,5020623.000000000000000,14141304.109999999403954
FS( 226 ),4441706.990000000223517,4611441.160000000149012,4874595.719999999739230,13927744.870000001043081
FS( 227 ),4468254.870000001043081,4568027.160000000149012,5003852.360000000335276,14040135.390000000596046
FS( 228 ),4489337.009999999776483,4763390.160000000149012,5041484.040000000037253,14294212.210000000894070
FS( 229 ),4413597.470000000670552,4674825.600000000558794,4957221.799999999813735,14045645.870000001043081
FS( 230 ),4456152.160000000149012,4689586.360000000335276,4990354.040000000037253,14136093.559999998658895
FS( 231 ),4494802.750000000000000,4751234.240000000223517,5046801.559999999590218,14292839.550000000745058
FS( 232 ),4488556.189999999478459,4770336.399999999441206,4982582.280000000260770,14241475.870000001043081
FS( 233 ),4517056.120000001043081,4768599.839999999850988,4996898.679999999701977,14282555.640000000596046
FS( 234 ),4571713.519999999552965,4831984.280000000260770,4937178.839999999850988,14340877.640000000596046
FS( 235 ),4497145.210000000894070,4744288.000000000000000,4858643.160000000149012,14100077.370000001043081
FS( 236 ),4513152.019999999552965,4751234.240000000223517,4881549.400000000372529,14145936.660000000149012
FS( 237 ),4545946.460000000894070,4798121.360000000335276,4996489.640000000596046,14340558.460000000894070
FS( 238 ),4608802.470000000670552,4880607.959999999962747,5008760.839999999850988,14498172.269999999552965
FS( 239 ),4600994.269999999552965,4877134.839999999850988,5113066.040000000037253,14591196.149999998509884
FS( 240 ),4618562.720000000670552,4858032.680000000633299,5148243.480000000447035,14624839.880000002682209
FS( 241 ),4648624.290000000968575,4877134.839999999850988,5110202.760000000707805,14635962.890000000596046
FS( 242 ),4640425.679999999701977,4897105.280000000260770,5066026.439999999478459,14603558.400000000372529
FS( 243 ),4668535.200000001117587,4911866.040000000037253,5016941.640000000596046,14597343.880000002682209
FS( 244 ),4657994.130000000819564,4905788.080000000074506,4943723.480000000447035,14507506.690000001341105
FS( 245 ),4658774.950000001117587,4953543.479999999515712,4933497.480000000447035,14545816.910000000149012
FS( 246 ),4638083.220000000670552,4949202.080000000074506,4881140.360000000335276,14468426.660000000149012
FS( 247 ),4642377.730000000447035,4905788.080000000074506,4824283.799999999813735,14372450.609999999403954
FS( 248 ),4616610.669999999925494,4851086.439999999478459,4821829.559999999590218,14289527.669999998062849
FS( 249 ),4624809.279999999329448,4926626.799999999813735,4970720.120000000111759,14522157.199999999254942
FS( 250 ),4678685.860000001266599,4989142.959999999962747,4970720.120000000111759,14638549.940000001341105
FS( 251 ),4686103.650000000372529,4993484.360000000335276,4931452.280000000260770,14611041.290000002831221
FS( 252 ),4684932.419999999925494,5002167.160000000149012,4965811.640000000596046,14652912.220000000670552
