代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12653281.560000000521541
真實報酬,2653281.560000000521541

夏普值報酬,0.256628156000000
夏普值風險,0.076167291145790
夏普值,3.369269828813958

二次趨勢線,23.915347549510201 x^2 + 5362.783728038309164 x + 10000000.000000000000000
二次加權預期報酬,13382.396939640735582
風險,159890.927813269867329
二次加權趨勢值,0.083697037240721
一次趨勢線,9873.798330031197111 x + 10000000.000000000000000
一次預期報酬,9873.798330031197111
一次風險,232861.315386860689614
一次趨勢值,0.042402055118634
找到最佳解世代,2683
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
DIS[6](2),IBM[10](26),NKE[19](7),UNH[23](1),
FS( 10 ),2456390.979999999981374,2457860.810000000521541,2431569.400000000372529,2490877.180000000633299,9836698.370000001043081
FS( 11 ),2471223.979999999981374,2455033.580000000074506,2429614.240000000223517,2453756.740000000223517,9809628.540000000968575
FS( 12 ),2467070.740000000223517,2453821.910000000149012,2447210.679999999701977,2459104.600000000093132,9827207.929999999701977
FS( 13 ),2479530.459999999962747,2471862.330000000074506,2483055.280000000260770,2491820.919999999925494,9926268.990000000223517
FS( 14 ),2485167.000000000000000,2461361.189999999944121,2464807.120000000111759,2532716.320000000298023,9944051.629999998956919
FS( 15 ),2456984.299999999813735,2444263.180000000633299,2447210.679999999701977,2561028.520000000018626,9909486.679999999701977
FS( 16 ),2455204.340000000316650,2452206.350000000093132,2458941.639999999664724,2563545.160000000149012,9929897.490000000223517
FS( 17 ),2452831.060000000521541,2435242.970000000204891,2443300.360000000335276,2571409.660000000149012,9902784.050000000745058
FS( 18 ),2489023.580000000540167,2433088.890000000130385,2492179.360000000335276,2590284.460000000428408,10004576.290000000968575
FS( 19 ),2505339.880000000353903,2428376.840000000316650,2504562.040000000037253,2588711.560000000521541,10026990.320000000298023
FS( 20 ),2530555.979999999981374,2446417.260000000242144,2531282.560000000521541,2579588.740000000223517,10087844.540000000968575
FS( 21 ),2543609.020000000018626,2440493.540000000502914,2527372.240000000223517,2571724.240000000223517,10083199.040000000968575
FS( 22 ),2565265.200000000186265,2508885.580000000074506,2541710.080000000074506,2576128.360000000335276,10191989.220000000670552
FS( 23 ),2564375.220000000204891,2536350.100000000093132,2535192.879999999888241,2595003.160000000149012,10230921.359999999403954
FS( 24 ),2576241.620000000111759,2538234.920000000391155,2556699.639999999664724,2622057.040000000037253,10293233.220000000670552
FS( 25 ),2568825.120000000111759,2531638.050000000279397,2563216.839999999850988,2586509.500000000000000,10250189.509999999776483
FS( 26 ),2547168.939999999944121,2520598.390000000130385,2531282.560000000521541,2577386.680000000633299,10176436.570000000298023
FS( 27 ),2587514.700000000186265,2536753.990000000223517,2564520.280000000260770,2602867.660000000149012,10291656.630000000819564
FS( 28 ),2576834.939999999944121,2527060.629999999888241,2525417.080000000074506,2582105.380000000353903,10211418.030000001192093
FS( 29 ),2577724.920000000391155,2531099.530000000260770,2518899.879999999888241,2606957.200000000186265,10234681.530000001192093
FS( 30 ),2573868.340000000316650,2556140.710000000428408,2540406.639999999664724,2650998.399999999906868,10321414.089999999850988
FS( 31 ),2555772.080000000540167,2537696.400000000372529,2543013.520000000484288,2639358.940000000409782,10275840.940000001341105
FS( 32 ),2532039.279999999795109,2589798.210000000428408,2506517.200000000186265,2634954.820000000298023,10263309.510000001639128
FS( 33 ),2522546.160000000149012,2591548.400000000372529,2494134.520000000484288,2677423.120000000111759,10285652.200000001117587
FS( 34 ),2545685.640000000130385,2591683.030000000260770,2526068.799999999813735,2690320.899999999906868,10353758.369999999180436
FS( 35 ),2543609.020000000018626,2569469.080000000074506,2503258.599999999627471,2675850.220000000204891,10292186.919999999925494
FS( 36 ),2557552.040000000037253,2613089.200000000186265,2510427.520000000484288,2706993.640000000130385,10388062.400000000372529
FS( 37 ),2552508.820000000298023,2606896.220000000204891,2521506.759999999776483,2703533.260000000242144,10384445.060000000521541
FS( 38 ),2575054.979999999981374,2628571.650000000372529,2561261.679999999701977,2695354.180000000633299,10460242.490000002086163
FS( 39 ),2558145.360000000335276,2617262.730000000447035,2532586.000000000000000,2663896.180000000633299,10371890.270000001415610
FS( 40 ),2585438.080000000540167,2635841.670000000391155,2554744.480000000447035,2697556.240000000223517,10473580.470000002533197
FS( 41 ),2557255.380000000353903,2619551.439999999944121,2544968.679999999701977,2650998.399999999906868,10372773.900000000372529
FS( 42 ),2587218.040000000037253,2611877.530000000260770,2594499.400000000372529,2609473.840000000316650,10403068.810000000521541
FS( 43 ),2547762.260000000242144,2580508.740000000223517,2513686.120000000111759,2549703.640000000130385,10191660.759999999776483
FS( 44 ),2532929.260000000242144,2546581.980000000447035,2501955.160000000149012,2563545.160000000149012,10145011.560000000521541
FS( 45 ),2588108.020000000018626,2553178.850000000093132,2514337.839999999850988,2588082.399999999906868,10243707.109999999403954
FS( 46 ),2573571.680000000167638,2518982.830000000074506,2506517.200000000186265,2547816.160000000149012,10146887.870000001043081
FS( 47 ),2568825.120000000111759,2503769.640000000130385,2513686.120000000111759,2563859.740000000223517,10150140.620000001043081
FS( 48 ),2536785.840000000316650,2481286.430000000633299,2487617.320000000298023,2493393.820000000298023,9999083.410000002011657
FS( 49 ),2576538.279999999795109,2512655.220000000204891,2511079.240000000223517,2520447.700000000186265,10120720.440000001341105
FS( 50 ),2595821.180000000167638,2523964.140000000130385,2511079.240000000223517,2512583.200000000186265,10143447.760000001639128
FS( 51 ),2587218.040000000037253,2522213.950000000186265,2500651.719999999739230,2523593.500000000000000,10133677.210000000894070
FS( 52 ),2598787.779999999795109,2530426.379999999888241,2517596.440000000409782,2564174.320000000298023,10210984.920000001788139
FS( 53 ),2628750.439999999944121,2529483.970000000204891,2518899.879999999888241,2573926.299999999813735,10251060.589999999850988
FS( 54 ),2648626.660000000149012,2522752.470000000204891,2513686.120000000111759,2562916.000000000000000,10247981.250000000000000
FS( 55 ),2669096.200000000186265,2549409.210000000428408,2559958.240000000223517,2590284.460000000428408,10368748.110000001266599
FS( 56 ),2672656.120000000111759,2558967.939999999944121,2558654.799999999813735,2625832.000000000000000,10416110.859999999403954
FS( 57 ),2665239.620000000111759,2559371.830000000074506,2571689.200000000186265,2624573.680000000633299,10420874.330000001937151
FS( 58 ),2681259.260000000242144,2574585.020000000018626,2572340.919999999925494,2635269.399999999906868,10463454.599999999627471
FS( 59 ),2684522.520000000018626,2563545.360000000335276,2584071.879999999888241,2635583.980000000447035,10467723.740000002086163
FS( 60 ),2681259.260000000242144,2573642.610000000335276,2607533.799999999813735,2650054.660000000149012,10512490.330000001937151
FS( 61 ),2670579.500000000000000,2598279.900000000372529,2589937.360000000335276,2677737.700000000186265,10536534.460000000894070
FS( 62 ),2680962.600000000093132,2588317.280000000260770,2597758.000000000000000,2717374.780000000260770,10584412.660000000149012
FS( 63 ),2676809.360000000335276,2584951.530000000260770,2568430.599999999627471,2716116.460000000428408,10546307.950000001117587
FS( 64 ),2666426.260000000242144,2588990.430000000633299,2559958.240000000223517,2726812.180000000633299,10542187.110000003129244
FS( 65 ),2693718.979999999981374,2579027.810000000521541,2583420.160000000149012,2717689.360000000335276,10573856.310000002384186
FS( 66 ),2697872.220000000204891,2584278.379999999888241,2568430.599999999627471,2730272.560000000521541,10580853.759999999776483
FS( 67 ),2674139.420000000391155,2567180.370000000577420,2604275.200000000186265,2738766.220000000204891,10584361.210000000894070
FS( 68 ),2697872.220000000204891,2574181.129999999888241,2673357.520000000484288,2760472.240000000223517,10705883.109999999403954
FS( 69 ),2686599.140000000130385,2559910.350000000093132,2685088.480000000447035,2765505.520000000018626,10697103.490000000223517
FS( 70 ),2658119.779999999795109,2557890.900000000372529,2666840.320000000298023,2785953.220000000204891,10668804.220000000670552
FS( 71 ),2655746.500000000000000,2578758.550000000279397,2687695.360000000335276,2744743.240000000223517,10666943.650000002235174
FS( 72 ),2669096.200000000186265,2581181.890000000130385,2666188.599999999627471,2739395.380000000353903,10655862.070000000298023
FS( 73 ),2660196.400000000372529,2575258.170000000391155,2666840.320000000298023,2711083.180000000633299,10613378.070000000298023
FS( 74 ),2672359.459999999962747,2582393.560000000521541,2659671.400000000372529,2706364.480000000447035,10620788.900000002235174
FS( 75 ),2677996.000000000000000,2597876.010000000242144,2645985.280000000260770,2741912.020000000018626,10663769.310000000521541
FS( 76 ),2679775.959999999962747,2595721.930000000633299,2656412.799999999813735,2736564.160000000149012,10668474.850000001490116
FS( 77 ),2680072.620000000111759,2608511.780000000260770,2671402.360000000335276,2756697.280000000260770,10716684.040000000968575
FS( 78 ),2684522.520000000018626,2611877.530000000260770,2666188.599999999627471,2762045.140000000130385,10724633.790000000968575
FS( 79 ),2648923.320000000298023,2599895.460000000428408,2629692.280000000260770,2761101.399999999906868,10639612.460000000894070
FS( 80 ),2619850.640000000130385,2579835.590000000316650,2610792.400000000372529,2723980.960000000428408,10534459.590000001713634
FS( 81 ),2653669.880000000353903,2589125.060000000521541,2634254.320000000298023,2774942.919999999925494,10651992.180000001564622
FS( 82 ),2612730.799999999813735,2544697.160000000149012,2599061.440000000409782,2711083.180000000633299,10467572.580000001937151
FS( 83 ),2632607.020000000018626,2558833.310000000521541,2916449.080000000074506,2724295.540000000037253,10832184.949999999254942
FS( 84 ),2635276.959999999962747,2553178.850000000093132,2904066.400000000372529,2721464.320000000298023,10813986.530000001192093
FS( 85 ),2641210.160000000149012,2555736.820000000298023,2906673.280000000260770,2713285.240000000223517,10816905.500000000000000
FS( 86 ),2595524.520000000018626,2519925.240000000223517,2857794.280000000260770,2670187.780000000260770,10643431.820000000298023
FS( 87 ),2574758.320000000298023,2516424.860000000335276,2909931.879999999888241,2670816.940000000409782,10671932.000000000000000
FS( 88 ),2624003.880000000353903,2540119.740000000223517,2942517.879999999888241,2706049.899999999906868,10812691.400000000372529
FS( 89 ),2627267.140000000130385,2545101.050000000279397,2907325.000000000000000,2676793.960000000428408,10756487.150000000372529
FS( 90 ),2584251.439999999944121,2500269.260000000242144,2870176.959999999962747,2648481.760000000242144,10603179.419999999925494
FS( 91 ),2613917.439999999944121,2549409.210000000428408,2894942.320000000298023,2724924.700000000186265,10783193.670000001788139
FS( 92 ),2542719.040000000037253,2509827.990000000223517,2842804.719999999739230,2672075.260000000242144,10567427.009999999776483
FS( 93 ),2559332.000000000000000,2503231.120000000577420,2841501.280000000260770,2686231.360000000335276,10590295.760000001639128
FS( 94 ),2489320.240000000223517,2470785.290000000502914,2782846.480000000447035,2640931.840000000316650,10383883.850000001490116
FS( 95 ),2496143.420000000391155,2474554.930000000633299,2773070.679999999701977,2605384.299999999813735,10349153.330000001937151
FS( 96 ),2435031.459999999962747,2446955.780000000260770,2775677.560000000521541,2584622.020000000018626,10242286.820000000298023
FS( 97 ),2424945.020000000018626,2421241.450000000186265,2836287.520000000484288,2686231.360000000335276,10368705.350000001490116
FS( 98 ),2486946.959999999962747,2450994.680000000633299,2840849.560000000521541,2773999.180000000633299,10552790.380000002682209
FS( 99 ),2537082.500000000000000,2276648.830000000074506,2896897.480000000447035,2785324.060000000521541,10495952.870000001043081
FS( 100 ),2597007.820000000298023,2197621.020000000018626,2953597.120000000111759,2861137.840000000316650,10609363.800000000745058
FS( 101 ),2583954.779999999795109,2178234.300000000279397,2928180.040000000037253,2824017.399999999906868,10514386.519999999552965
FS( 102 ),2610357.520000000018626,2183484.870000000577420,2945124.759999999776483,2852015.020000000018626,10590982.169999999925494
FS( 103 ),2628750.439999999944121,2182138.570000000298023,2962069.480000000447035,2882843.860000000335276,10655802.350000001490116
FS( 104 ),2624003.880000000353903,2179311.340000000316650,2986183.120000000111759,2898258.280000000260770,10687756.620000001043081
FS( 105 ),2667909.560000000521541,2202602.330000000074506,3012903.639999999664724,2914301.860000000335276,10797717.390000000596046
FS( 106 ),2656043.160000000149012,2200717.510000000242144,2996610.639999999664724,2924368.419999999925494,10777739.730000000447035
FS( 107 ),2676512.700000000186265,2212699.580000000074506,3030500.080000000074506,2953309.780000000260770,10873022.140000000596046
FS( 108 ),2710925.260000000242144,2213372.730000000447035,3029848.360000000335276,2988857.320000000298023,10943003.670000001788139
FS( 109 ),2720715.040000000037253,2212834.210000000428408,3045489.639999999664724,2984138.620000000111759,10963177.509999999776483
FS( 110 ),2680369.279999999795109,2189812.480000000447035,3061782.639999999664724,2987913.580000000540167,10919877.980000000447035
FS( 111 ),2699652.180000000167638,2178638.189999999944121,3085244.560000000521541,3013709.140000000130385,10977244.070000000298023
FS( 112 ),2729318.180000000167638,2173791.510000000242144,3082637.679999999701977,3026606.919999999925494,11012354.289999999105930
FS( 113 ),2669986.180000000167638,2182003.939999999944121,3055917.160000000149012,2944816.120000000111759,10852723.400000000372529
FS( 114 ),2663459.660000000149012,2201121.400000000372529,3094368.639999999664724,2980678.240000000223517,10939627.940000001341105
FS( 115 ),2669392.860000000335276,2198563.430000000633299,3091761.759999999776483,3010248.760000000242144,10969966.810000000521541
FS( 116 ),2667019.580000000540167,2179984.490000000223517,3122392.599999999627471,3009934.180000000633299,10979330.850000001490116
FS( 117 ),2684522.520000000018626,2191697.300000000279397,3132168.400000000372529,3016854.940000000409782,11025243.160000000149012
FS( 118 ),2693718.979999999981374,2210141.610000000335276,3111965.080000000074506,2992003.120000000111759,11007828.789999999105930
FS( 119 ),2682149.240000000223517,2210141.610000000335276,3130213.240000000223517,3034786.000000000000000,11057290.089999999850988
FS( 120 ),2678292.660000000149012,2179580.600000000093132,3143899.360000000335276,3088893.760000000242144,11090666.380000000819564
FS( 121 ),2664646.299999999813735,2173387.620000000577420,3159540.639999999664724,3047054.620000000111759,11044629.179999999701977
FS( 122 ),2637353.580000000540167,2162751.850000000093132,3170619.879999999888241,3046740.040000000037253,11017465.350000001490116
FS( 123 ),2639133.540000000037253,2166521.490000000223517,3174530.200000000186265,3042335.919999999925494,11022521.150000000372529
FS( 124 ),2687192.459999999962747,2183080.980000000447035,3192126.639999999664724,3048312.940000000409782,11110713.019999999552965
FS( 125 ),2718935.080000000540167,2177830.410000000149012,3170619.879999999888241,3079770.940000000409782,11147156.310000000521541
FS( 126 ),2726944.900000000372529,2180388.379999999888241,3186912.879999999888241,3086377.120000000111759,11180623.280000001192093
FS( 127 ),2744447.840000000316650,2183350.240000000223517,3235791.879999999888241,3102735.280000000260770,11266325.240000000223517
FS( 128 ),2750084.380000000353903,2174868.550000000279397,3183654.280000000260770,3116262.220000000204891,11224869.430000001564622
FS( 129 ),2772927.200000000186265,2190081.740000000223517,3194733.520000000484288,3140484.880000000353903,11298227.340000001713634
FS( 130 ),2762247.439999999944121,2214988.290000000502914,3209723.080000000074506,3170999.140000000130385,11357957.950000001117587
FS( 131 ),2765807.360000000335276,2208660.680000000633299,3227971.240000000223517,3135451.600000000093132,11337890.880000000819564
FS( 132 ),2781530.340000000316650,2198159.540000000502914,3237095.320000000298023,3156213.880000000353903,11372999.080000001937151
FS( 133 ),2782716.979999999981374,2179176.710000000428408,3184306.000000000000000,3143316.100000000093132,11289515.790000000968575
FS( 134 ),2757204.220000000204891,2194389.900000000372529,3162147.520000000484288,3177919.899999999906868,11291661.540000000968575
FS( 135 ),2718341.760000000242144,2161001.660000000149012,3182350.839999999850988,3117205.960000000428408,11178900.220000000670552
FS( 136 ),2721901.680000000167638,2168540.939999999944121,3158888.919999999925494,3137339.080000000540167,11186670.620000001043081
FS( 137 ),2714188.520000000018626,2091936.470000000204891,3134123.560000000521541,3106824.820000000298023,11047073.370000001043081
FS( 138 ),2696685.580000000540167,2060702.310000000288710,3110009.919999999925494,3091410.399999999906868,10958808.210000000894070
FS( 139 ),2675029.400000000372529,2038488.360000000102445,3037669.000000000000000,3015282.040000000037253,10766468.800000000745058
FS( 140 ),2710925.260000000242144,2045489.120000000344589,3079379.080000000074506,3118778.860000000335276,10954572.320000000298023
FS( 141 ),2747414.439999999944121,2122901.370000000577420,3163450.959999999962747,3216298.660000000149012,11250065.429999999701977
FS( 142 ),2755720.920000000391155,2134075.660000000149012,3090458.320000000298023,3224163.160000000149012,11204418.060000000521541
FS( 143 ),2794583.380000000353903,2173522.250000000000000,3126302.919999999925494,3241465.060000000521541,11335873.610000001266599
FS( 144 ),2809119.720000000204891,2184292.650000000372529,3127606.360000000335276,3235488.040000000037253,11356506.770000001415610
FS( 145 ),2801109.900000000372529,2178638.189999999944121,3138033.879999999888241,3230140.180000000633299,11347922.150000000372529
FS( 146 ),2819206.160000000149012,2185638.950000000186265,3155630.320000000298023,3226050.640000000130385,11386526.070000000298023
FS( 147 ),2833149.180000000167638,2161001.660000000149012,3170619.879999999888241,3219129.880000000353903,11383900.599999999627471
FS( 148 ),2809416.380000000353903,2154808.680000000633299,3156933.759999999776483,3235488.040000000037253,11356646.859999999403954
FS( 149 ),2794286.720000000204891,2160059.250000000000000,3133471.839999999850988,3180121.960000000428408,11267939.770000001415610
FS( 150 ),2781233.680000000167638,2181869.310000000521541,3096975.520000000484288,3170369.980000000447035,11230448.490000002086163
FS( 151 ),2740591.260000000242144,2147538.660000000149012,3046793.080000000074506,3118149.700000000186265,11053072.699999999254942
FS( 152 ),2726054.920000000391155,2101225.939999999944121,3029196.639999999664724,3111858.100000000093132,10968335.599999999627471
FS( 153 ),2753940.959999999962747,2087493.680000000400469,3091761.759999999776483,3143630.680000000633299,11076827.080000001937151
FS( 154 ),2782420.320000000298023,2132863.990000000223517,3162799.240000000223517,3293685.340000000316650,11371768.890000000596046
FS( 155 ),2796066.680000000167638,2142153.460000000428408,3128258.080000000074506,3262856.500000000000000,11329334.720000000670552
FS( 156 ),2802296.540000000037253,2106207.250000000000000,3123696.040000000037253,3226050.640000000130385,11258250.470000000670552
FS( 157 ),2823952.720000000204891,2111188.560000000521541,3096323.799999999813735,3242408.799999999813735,11273873.880000000819564
FS( 158 ),2795473.360000000335276,2097590.930000000633299,3053962.000000000000000,3250587.880000000353903,11197614.170000001788139
FS( 159 ),2799033.279999999795109,2081031.440000000176951,3024634.599999999627471,3286135.419999999925494,11190834.739999998360872
FS( 160 ),2823656.060000000521541,2115631.350000000093132,3030500.080000000074506,3327345.399999999906868,11297132.890000000596046
FS( 161 ),2810603.020000000018626,2113073.379999999888241,3050703.400000000372529,3322626.700000000186265,11297006.500000000000000
FS( 162 ),2793693.400000000372529,2047643.200000000419095,3047444.799999999813735,3439021.299999999813735,11327802.699999999254942
FS( 163 ),2822766.080000000540167,2092071.100000000093132,3123696.040000000037253,3581526.040000000037253,11620059.260000001639128
FS( 164 ),2810009.700000000186265,2098533.340000000316650,3133471.839999999850988,3523328.740000000223517,11565343.620000001043081
FS( 165 ),2817426.200000000186265,2105130.210000000428408,3139989.040000000037253,3511060.120000000111759,11573605.570000000298023
FS( 166 ),2787760.200000000186265,2068914.739999999990687,3079379.080000000074506,3460727.320000000298023,11396781.339999999850988
FS( 167 ),2749194.400000000372529,2040373.180000000400469,3040927.599999999627471,3411967.419999999925494,11242462.600000001490116
FS( 168 ),2765510.700000000186265,2093282.770000000018626,3091761.759999999776483,3441223.360000000335276,11391778.589999999850988
FS( 169 ),2698465.540000000037253,2064068.060000000288710,3006386.440000000409782,3342445.240000000223517,11111365.280000001192093
FS( 170 ),2727241.560000000521541,2082243.110000000102445,2995307.200000000186265,3375161.560000000521541,11179953.430000001564622
FS( 171 ),2791616.779999999795109,2133537.140000000130385,3042231.040000000037253,3391519.720000000204891,11358904.679999999701977
FS( 172 ),3004618.660000000149012,2113208.010000000242144,3015510.520000000484288,3394980.100000000093132,11528317.290000000968575
FS( 173 ),3044964.420000000391155,2125997.860000000335276,3041579.320000000298023,3423292.299999999813735,11635833.900000002235174
FS( 174 ),3026571.500000000000000,2109976.890000000130385,2991396.879999999888241,3384913.540000000037253,11512858.810000000521541
FS( 175 ),3017968.360000000335276,2096917.780000000260770,2971193.560000000521541,3349995.160000000149012,11436074.860000001266599
FS( 176 ),3023604.900000000372529,2134748.810000000521541,3022679.440000000409782,3428011.000000000000000,11609044.150000002235174
FS( 177 ),3022121.600000000093132,2129902.129999999888241,2975755.599999999627471,3455694.040000000037253,11583473.370000001043081
FS( 178 ),3072850.459999999962747,2134210.290000000502914,2997914.080000000074506,3455379.460000000428408,11660354.290000000968575
FS( 179 ),3090353.400000000372529,2159520.730000000447035,2999217.520000000484288,3442796.260000000242144,11691887.910000002011657
FS( 180 ),3088870.100000000093132,2167060.010000000242144,2993352.040000000037253,3452862.820000000298023,11702144.970000000670552
FS( 181 ),3081156.939999999944121,2183619.500000000000000,3050703.400000000372529,3453177.399999999906868,11768657.240000000223517
FS( 182 ),3082046.920000000391155,2206506.600000000093132,3053310.280000000260770,3461356.480000000447035,11803220.280000001192093
FS( 183 ),3101626.479999999981374,2203275.480000000447035,3093716.919999999925494,3542832.700000000186265,11941451.580000001937151
FS( 184 ),3114679.520000000018626,2193312.860000000335276,3096323.799999999813735,3661743.940000000409782,12066060.120000001043081
FS( 185 ),3105186.400000000372529,2219161.820000000298023,3109358.200000000186265,3631229.680000000633299,12064936.100000001490116
FS( 186 ),3131885.799999999813735,2191966.560000000521541,3154978.599999999627471,3587817.640000000130385,12066648.600000001490116
FS( 187 ),3101923.140000000130385,2165848.340000000316650,3160844.080000000074506,3575549.020000000018626,12004164.580000000074506
FS( 188 ),3087683.459999999962747,2180253.750000000000000,3164754.400000000372529,3574605.280000000260770,12007296.890000000596046
FS( 189 ),3141378.920000000391155,2160597.770000000018626,3218195.440000000409782,3598827.940000000409782,12119000.070000000298023
FS( 190 ),3155025.279999999795109,2168002.420000000391155,3192778.360000000335276,3550382.620000000111759,12066188.679999999701977
FS( 191 ),3131885.799999999813735,2146326.990000000223517,3177788.799999999813735,3580582.299999999813735,12036583.890000000596046
FS( 192 ),3115866.160000000149012,2170021.870000000577420,3208419.639999999664724,3611096.560000000521541,12105404.230000002309680
FS( 193 ),3079970.299999999813735,2133941.030000000260770,3158237.200000000186265,3551011.780000000260770,11923160.310000000521541
FS( 194 ),3122689.340000000316650,2164502.040000000502914,3175181.919999999925494,3614556.940000000409782,12076930.240000002086163
FS( 195 ),3058314.120000000111759,2124651.560000000521541,3145202.799999999813735,3537799.419999999925494,11865967.900000000372529
FS( 196 ),3052380.920000000391155,2111053.930000000633299,3106751.320000000298023,3545978.500000000000000,11816164.670000001788139
FS( 197 ),3179351.400000000372529,2126940.270000000018626,3162147.520000000484288,3613927.780000000260770,12082366.970000002533197
FS( 198 ),3157695.220000000204891,2077127.170000000391155,3122392.599999999627471,3625567.240000000223517,11982782.230000000447035
FS( 199 ),3185284.600000000093132,2114823.570000000298023,3142595.919999999925494,3728434.899999999906868,12171138.990000000223517
FS( 200 ),3173121.540000000037253,2113208.010000000242144,3145854.520000000484288,3699493.540000000037253,12131677.609999999403954
FS( 201 ),3203084.200000000186265,2151577.560000000521541,3177788.799999999813735,3773734.419999999925494,12306184.980000000447035
FS( 202 ),3185284.600000000093132,2151577.560000000521541,3203857.599999999627471,3798900.820000000298023,12339620.580000000074506
FS( 203 ),3216730.560000000521541,2192908.970000000204891,3323122.360000000335276,3747938.860000000335276,12480700.750000000000000
FS( 204 ),3210500.700000000186265,2216469.220000000204891,3306177.639999999664724,3744793.060000000521541,12477940.619999999180436
FS( 205 ),3177571.439999999944121,2194524.530000000260770,3280108.839999999850988,3715851.700000000186265,12368056.510000001639128
FS( 206 ),3114976.180000000167638,2143365.129999999888241,3226016.080000000074506,3666148.060000000521541,12150505.450000001117587
FS( 207 ),3122096.020000000018626,2162078.700000000186265,3237095.320000000298023,3657025.240000000223517,12178295.280000001192093
FS( 208 ),3129215.860000000335276,2159520.730000000447035,3254691.759999999776483,3712391.320000000298023,12255819.670000001788139
FS( 209 ),3148202.100000000093132,2190081.740000000223517,3287929.480000000447035,3806450.740000000223517,12432664.060000000521541
FS( 210 ),3111712.920000000391155,2160867.030000000260770,3269681.320000000298023,3721199.560000000521541,12263460.830000001937151
FS( 211 ),3128029.220000000204891,2143095.870000000577420,3244264.240000000223517,3694774.840000000316650,12210164.170000001788139
FS( 212 ),3144642.180000000167638,2160193.879999999888241,3247522.839999999850988,3691943.620000000111759,12244302.519999999552965
FS( 213 ),3133665.760000000242144,2181600.050000000279397,3250129.719999999739230,3702639.340000000316650,12268034.870000001043081
FS( 214 ),3127732.560000000521541,2182003.939999999944121,3246219.400000000372529,3691629.040000000037253,12247584.940000001341105
FS( 215 ),3155321.939999999944121,2179042.080000000074506,3285974.320000000298023,3718053.760000000242144,12338392.099999999627471
FS( 216 ),3167485.000000000000000,2185638.950000000186265,3282064.000000000000000,3729378.640000000130385,12364566.589999999850988
FS( 217 ),3172824.880000000353903,2192639.710000000428408,3257950.360000000335276,3743534.740000000223517,12366949.690000001341105
FS( 218 ),3159771.840000000316650,2186177.470000000204891,3235140.160000000149012,3755174.200000000186265,12336263.670000001788139
FS( 219 ),3164221.740000000223517,2185100.430000000633299,3243612.520000000484288,3772476.100000000093132,12365410.790000000968575
FS( 220 ),3173714.860000000335276,2209737.720000000204891,3253388.320000000298023,3690685.299999999813735,12327526.199999999254942
FS( 221 ),3206940.779999999795109,2196274.720000000204891,3255343.480000000447035,3825325.540000000037253,12483884.519999999552965
FS( 222 ),3165111.720000000204891,2163155.740000000223517,3211678.240000000223517,3734411.919999999925494,12274357.620000001043081
FS( 223 ),3210500.700000000186265,2237067.610000000335276,3258602.080000000074506,3730322.380000000353903,12436492.770000001415610
FS( 224 ),3194481.060000000521541,2211487.910000000149012,3268377.879999999888241,3752342.980000000447035,12426689.830000001937151
FS( 225 ),3202194.220000000204891,2226297.210000000428408,3263815.839999999850988,3706099.720000000204891,12398406.990000000223517
