代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13640188.580000000074506
真實報酬,3640188.580000000074506

夏普值報酬,0.355318858000000
夏普值風險,0.095406063722761
夏普值,3.724279612169251

二次趨勢線,52.839530044090658 x^2 + 695.971512773674363 x + 10000000.000000000000000
二次加權預期報酬,18485.279960950865643
風險,134192.880135728890309
二次加權趨勢值,0.137751570293849
一次趨勢線,10702.418277598560962 x + 10000000.000000000000000
一次預期報酬,10702.418277598560962
一次風險,400186.162244890350848
一次趨勢值,0.026743599072897
找到最佳解世代,1724
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
BA[2](3),MCD[15](1),MMM[16](4),MSFT[18](2),V[25](5),
FS( 11 ),2021768.849999999627471,2008642.969999999972060,2025462.590000000083819,2054435.920000000158325,2067720.749999999767169,10178031.079999998211861
FS( 12 ),2026873.269999999785796,1998813.709999999962747,2010768.320000000065193,2030399.280000000027940,2065165.250000000000000,10132019.830000000074506
FS( 13 ),2022669.629999999655411,1984578.229999999981374,2017722.860000000102445,2034641.040000000270084,2065931.900000000139698,10125543.660000000149012
FS( 14 ),2026873.269999999785796,1985086.639999999897555,2009983.130000000121072,2036054.960000000195578,2051365.549999999813735,10109363.550000000745058
FS( 15 ),2018465.989999999757856,1949159.000000000000000,2014806.440000000176951,2036761.920000000158325,2056476.549999999813735,10075669.899999998509884
FS( 16 ),2026723.139999999897555,1956107.270000000018626,2008749.260000000009313,2038529.320000000298023,2071554.000000000000000,10101662.990000000223517
FS( 17 ),2013962.089999999618158,1952209.459999999962747,2016601.160000000149012,2046305.880000000121072,2064909.699999999953434,10093988.289999999105930
FS( 18 ),2001201.039999999571592,1946786.420000000158325,2012563.040000000037253,2048426.760000000242144,2051876.650000000139698,10060853.910000000149012
FS( 19 ),1996547.009999999543652,1956276.740000000223517,2014469.930000000167638,2056203.320000000298023,2052643.299999999813735,10076140.300000000745058
FS( 20 ),1985287.259999999543652,1939499.209999999962747,2012563.040000000037253,2051254.600000000093132,2059032.049999999813735,10047636.160000000149012
FS( 21 ),1995345.969999999972060,1955937.800000000046566,2024789.570000000065193,2053728.960000000195578,2066698.550000000046566,10096500.849999999627471
FS( 22 ),1963968.799999999813735,1955090.449999999953434,2020863.620000000111759,2046305.880000000121072,2074365.050000000046566,10060593.800000000745058
FS( 23 ),1943551.119999999646097,1960174.550000000046566,2010656.150000000139698,2031106.240000000223517,2067465.200000000186265,10012953.260000001639128
FS( 24 ),1950306.969999999972060,1955768.330000000074506,2018956.729999999981374,2035701.480000000214204,2077687.199999999953434,10038420.709999999031425
FS( 25 ),1969223.349999999627471,1963055.540000000037253,2028266.840000000083819,2038529.320000000298023,2095575.699999999953434,10094650.750000000000000
FS( 26 ),1996697.139999999897555,1987120.280000000027940,2024340.890000000130385,2036408.440000000176951,2109119.849999999627471,10153686.600000001490116
FS( 27 ),1991442.589999999618158,1981527.770000000018626,2016376.820000000065193,2038175.840000000083819,2127263.899999999441206,10154786.919999998062849
FS( 28 ),1995345.969999999972060,1968817.520000000018626,2020302.770000000018626,2030045.800000000046566,2120364.049999999813735,10134876.109999999403954
FS( 29 ),1929739.159999999916181,1941871.790000000037253,1970274.949999999953434,1986921.240000000223517,2078453.849999999860302,9907260.990000000223517
FS( 30 ),1953609.829999999841675,1965089.180000000167638,1997868.770000000018626,2016613.560000000055879,2120364.049999999813735,10053545.390000000596046
FS( 31 ),1933192.149999999674037,1944413.840000000083819,1975098.260000000009313,1998232.600000000093132,2092764.649999999906868,9943701.500000000000000
FS( 32 ),1916827.979999999748543,1952039.990000000223517,1970050.610000000102445,1988688.640000000130385,2082542.649999999906868,9910149.870000001043081
FS( 33 ),1918329.279999999795109,1968309.110000000102445,1980931.100000000093132,2021562.280000000027940,2095831.250000000000000,9984963.019999999552965
FS( 34 ),1902265.369999999878928,1953734.689999999944121,1963769.090000000083819,2023683.160000000149012,2097364.549999999813735,9940816.859999999403954
FS( 35 ),1913975.509999999776483,1952548.399999999906868,1982389.310000000055879,2012371.800000000046566,2108608.750000000000000,9969893.769999999552965
FS( 36 ),1918629.539999999804422,1973562.680000000167638,1992260.270000000018626,2008130.040000000270084,2107842.099999999627471,10000424.629999998956919
FS( 37 ),1960215.549999999813735,1981697.240000000223517,2014582.100000000093132,2041710.640000000130385,2126752.799999999813735,10124958.330000001937151
FS( 38 ),1979882.579999999841675,1988984.449999999953434,2017498.520000000018626,2043831.520000000251457,2130330.500000000000000,10160527.570000000298023
FS( 39 ),1978531.409999999916181,1985764.520000000018626,1989904.699999999953434,2030045.800000000046566,2109375.400000000372529,10093621.830000000074506
FS( 40 ),1960365.679999999701977,1974918.439999999944121,1973752.219999999972060,2011311.360000000102445,2090720.250000000000000,10011067.949999999254942
FS( 41 ),1971625.429999999701977,1980849.889999999897555,1977678.170000000158325,2048426.760000000242144,2099664.500000000000000,10078244.750000000000000
FS( 42 ),1985287.259999999543652,1952039.990000000223517,1992148.100000000093132,2051254.600000000093132,2120364.049999999813735,10101094.000000000000000
FS( 43 ),1967271.659999999916181,1945430.660000000149012,1967246.360000000102445,2028985.360000000102445,2093531.300000000046566,10002465.340000001713634
FS( 44 ),1977930.889999999897555,1955090.449999999953434,1976892.979999999981374,2036054.960000000195578,2113464.200000000186265,10059433.480000000447035
FS( 45 ),1987539.209999999729916,1942888.610000000102445,1963544.750000000000000,2029692.320000000298023,2117553.000000000000000,10041217.890000000596046
FS( 46 ),1985587.519999999785796,1923569.030000000027940,1925855.630000000121072,2023329.680000000167638,2114230.849999999627471,9972572.709999999031425
FS( 47 ),2021768.849999999627471,1922043.800000000046566,1933819.699999999953434,2037468.880000000121072,2130074.950000000186265,10045176.179999999701977
FS( 48 ),2018165.729999999515712,1930686.770000000018626,1925406.949999999953434,2041003.680000000167638,2130330.500000000000000,10045593.629999998956919
FS( 49 ),2009608.319999999599531,1922721.680000000167638,1921929.680000000167638,2043124.560000000055879,2118064.099999999627471,10015448.339999999850988
FS( 50 ),2039484.189999999944121,1944074.899999999906868,1919798.449999999953434,2051608.080000000074506,2124197.299999999813735,10079162.919999999925494
FS( 51 ),2007956.889999999897555,1926619.490000000223517,1903421.630000000121072,2021562.280000000027940,2096597.900000000139698,9956158.189999999478459
FS( 52 ),1999249.349999999627471,1944074.899999999906868,1903870.310000000055879,2018734.440000000176951,2101964.450000000186265,9967893.449999999254942
FS( 53 ),2002552.209999999729916,1955937.800000000046566,1907235.410000000149012,2012018.320000000298023,2092253.550000000046566,9969997.290000000968575
FS( 54 ),2004353.769999999785796,1933567.760000000009313,1910712.680000000167638,2029692.320000000298023,2107075.450000000186265,9985401.980000000447035
FS( 55 ),2011860.269999999785796,1905096.800000000046566,1909366.640000000130385,2022622.720000000204891,2099408.950000000186265,9948355.379999998956919
FS( 56 ),2028374.569999999599531,1885438.280000000027940,1906450.219999999972060,2038175.840000000083819,2084842.599999999860302,9943281.509999999776483
FS( 57 ),2044588.609999999869615,1885607.750000000000000,1906001.540000000037253,2033580.600000000093132,2116275.250000000000000,9986053.750000000000000
FS( 58 ),2039484.189999999944121,1873914.319999999832362,1905440.690000000176951,2023683.160000000149012,2108353.200000000186265,9950875.560000000521541
FS( 59 ),2036331.459999999729916,1930856.240000000223517,1901402.570000000065193,2108871.839999999850988,2104519.950000000186265,10081982.060000000521541
FS( 60 ),2063655.119999999646097,1924755.319999999832362,1921256.660000000149012,2156238.160000000149012,2125475.049999999813735,10191380.309999998658895
FS( 61 ),2087225.530000000027940,1910350.370000000111759,1864722.979999999981374,2155884.680000000167638,2096342.350000000093132,10114525.910000000149012
FS( 62 ),2185110.290000000037253,1900012.699999999953434,1867863.739999999990687,2143159.400000000372529,2089186.949999999953434,10185333.080000000074506
FS( 63 ),2151631.299999999813735,1899504.290000000037253,1859450.989999999990687,2124424.960000000428408,2093531.300000000046566,10128542.840000001713634
FS( 64 ),2147127.399999999441206,1899843.229999999981374,1859563.160000000149012,2116294.919999999925494,2101197.799999999813735,10124026.509999997913837
FS( 65 ),2138419.860000000335276,1907808.319999999832362,1854291.170000000158325,2118062.320000000298023,2108608.750000000000000,10127190.420000001788139
FS( 66 ),2138119.599999999627471,1902385.280000000027940,1842513.320000000065193,2113820.560000000055879,2085864.800000000046566,10082703.560000000521541
FS( 67 ),2113198.019999999552965,1904757.860000000102445,1859114.479999999981374,2100741.800000000279397,2059287.599999999860302,10037099.759999999776483
FS( 68 ),2102238.530000000260770,1893403.370000000111759,1871453.180000000167638,2092965.240000000223517,2061076.450000000186265,10021136.769999999552965
FS( 69 ),2095032.289999999571592,1881879.410000000149012,1867527.229999999981374,2075291.240000000223517,2053665.500000000000000,9973395.669999999925494
FS( 70 ),2147427.660000000149012,1912045.069999999832362,1904094.650000000139698,2135736.320000000298023,2108608.750000000000000,10207912.449999999254942
FS( 71 ),2134966.869999999180436,1933906.699999999953434,1918564.580000000074506,2137503.720000000204891,2118064.099999999627471,10243005.969999998807907
FS( 72 ),2178354.439999999478459,1948650.590000000083819,1911385.699999999953434,2126899.320000000298023,2127263.899999999441206,10292553.949999999254942
FS( 73 ),2217388.239999999292195,1940685.500000000000000,1955019.830000000074506,2074937.760000000242144,2092253.550000000046566,10280284.880000000819564
FS( 74 ),2229849.030000000260770,1935770.870000000111759,1963993.430000000167638,2086249.120000000344589,2092509.099999999860302,10308371.550000000745058
FS( 75 ),2251918.139999999664724,1997457.949999999953434,1939652.540000000037253,2054435.920000000158325,2003066.599999999860302,10246531.150000000372529
FS( 76 ),2223693.700000000186265,2005253.569999999832362,1954571.150000000139698,2080946.920000000158325,2007922.049999999813735,10272387.390000000596046
FS( 77 ),2198621.989999999292195,2020336.399999999906868,1929557.239999999990687,2108518.359999999869615,2046510.099999999860302,10303544.089999997988343
FS( 78 ),2181957.559999999590218,2024403.680000000167638,1938082.160000000149012,2143512.880000000353903,2071809.549999999813735,10359765.830000001937151
FS( 79 ),2197270.819999999366701,2033724.530000000027940,1940213.390000000130385,2133261.960000000428408,2065420.799999999813735,10369891.500000000000000
FS( 80 ),2207329.530000000260770,2025251.030000000027940,1924060.910000000149012,2151289.439999999944121,2087653.649999999906868,10395584.560000000521541
FS( 81 ),2244862.030000000260770,2028470.959999999962747,1928435.540000000037253,2160479.919999999925494,2042676.850000000093132,10404925.300000000745058
FS( 82 ),2248164.889999999664724,2036097.110000000102445,1932249.320000000065193,2135029.359999999869615,2033477.049999999813735,10385017.730000000447035
FS( 83 ),2252668.790000000037253,2044909.550000000046566,1946158.400000000139698,2139624.600000000093132,2047787.849999999860302,10431149.189999999478459
FS( 84 ),2248615.280000000260770,2064568.069999999832362,1935053.570000000065193,2142452.439999999944121,2020955.099999999860302,10411644.459999999031425
FS( 85 ),2276689.589999999850988,2045248.490000000223517,1938082.160000000149012,2159419.480000000447035,2022743.950000000186265,10442183.670000001788139
FS( 86 ),2260475.549999999813735,2021353.219999999972060,1926528.650000000139698,2130080.640000000130385,1975978.299999999813735,10314416.359999999403954
FS( 87 ),2287949.339999999850988,2007795.620000000111759,1936511.780000000027940,2092611.760000000242144,1927679.350000000093132,10252547.849999999627471
FS( 88 ),2285847.519999999552965,2003897.810000000055879,1934268.380000000121072,2094379.160000000149012,1935090.299999999813735,10253483.169999999925494
FS( 89 ),2284496.349999999627471,2021692.160000000149012,1925182.610000000102445,2128666.720000000204891,1975722.750000000000000,10335760.589999999850988
FS( 90 ),2285697.389999999664724,2021014.280000000027940,1927201.670000000158325,2119122.760000000242144,1970611.750000000000000,10323647.849999999627471
FS( 91 ),2314222.089999999850988,2032368.770000000018626,1974873.920000000158325,2169316.919999999925494,2026832.750000000000000,10517614.449999999254942
FS( 92 ),2332988.339999999850988,2041350.680000000167638,1972967.030000000027940,2156591.640000000130385,2026066.100000000093132,10529963.789999999105930
FS( 93 ),2349502.639999999664724,2055077.750000000000000,2002243.400000000139698,2190525.720000000204891,2022488.399999999906868,10619837.910000000149012
FS( 94 ),2359561.349999999627471,2063212.310000000055879,2015142.949999999953434,2197595.320000000298023,2006133.199999999953434,10641645.129999998956919
FS( 95 ),2352054.849999999627471,2079142.490000000223517,2006057.180000000167638,2226227.200000000186265,2024021.699999999953434,10687503.419999998062849
FS( 96 ),2319176.379999999888241,2081854.010000000009313,1981043.270000000018626,2215622.800000000279397,2022232.849999999860302,10619929.310000000521541
FS( 97 ),2308667.280000000260770,2073719.449999999953434,1974537.410000000149012,2212088.000000000000000,2031688.199999999953434,10600700.339999999850988
FS( 98 ),2319626.769999999552965,2088632.810000000055879,1990577.719999999972060,2202190.560000000055879,2002299.949999999720603,10603327.809999998658895
FS( 99 ),2344848.610000000335276,2084396.060000000055879,1998541.790000000037253,2248849.919999999925494,1995911.199999999720603,10672547.579999998211861
FS( 100 ),2348001.339999999850988,2090158.040000000037253,2004038.120000000111759,2246022.080000000074506,2002555.500000000000000,10690775.080000000074506
FS( 101 ),2364365.509999999776483,2087615.990000000223517,2001570.380000000121072,2246022.080000000074506,1996933.399999999906868,10696507.360000001266599
FS( 102 ),2364065.250000000000000,2096767.370000000111759,2010207.469999999972060,2246375.560000000055879,1990800.200000000186265,10708215.850000001490116
FS( 103 ),2369319.799999999813735,2086938.110000000102445,2005159.820000000065193,2235417.680000000167638,1997188.950000000186265,10694024.359999999403954
FS( 104 ),2364365.509999999776483,2085751.819999999832362,2007066.709999999962747,2236831.600000000093132,2002299.949999999720603,10696315.589999999850988
FS( 105 ),2343647.569999999366701,2079142.490000000223517,1997644.430000000167638,2226580.680000000167638,2001022.199999999953434,10648037.369999999180436
FS( 106 ),2337492.239999999292195,2081006.660000000149012,2001346.040000000037253,2223399.359999999869615,2001788.849999999860302,10645033.149999998509884
FS( 107 ),2337342.110000000335276,2062873.370000000111759,2003140.760000000009313,2196534.880000000353903,1993866.799999999813735,10593757.920000001788139
FS( 108 ),2356708.879999999888241,2027284.670000000158325,1997307.920000000158325,2212088.000000000000000,2031688.199999999953434,10625077.669999998062849
FS( 109 ),2381480.330000000074506,2024912.090000000083819,2000336.510000000009313,2202190.560000000055879,2048298.950000000186265,10657218.440000001341105
FS( 110 ),2382831.500000000000000,2028640.430000000167638,1993494.140000000130385,2202190.560000000055879,2072320.650000000139698,10679477.280000001192093
FS( 111 ),2388686.569999999366701,2046604.250000000000000,1999326.979999999981374,2221278.480000000447035,2100942.250000000000000,10756838.529999999329448
FS( 112 ),2376976.429999999701977,2041011.740000000223517,1988558.660000000149012,2214208.880000000353903,2089186.949999999953434,10709942.660000000149012
FS( 113 ),2388236.179999999701977,2037961.280000000027940,1980818.930000000167638,2213501.919999999925494,2077942.750000000000000,10698461.060000000521541
FS( 114 ),2393190.469999999739230,2048637.889999999897555,1995513.199999999953434,2233650.280000000260770,2090464.699999999953434,10761456.539999999105930
FS( 115 ),2376526.040000000037253,2069313.229999999981374,1990465.550000000046566,2213148.439999999944121,2079476.050000000046566,10728929.310000000521541
FS( 116 ),2384633.059999999590218,2059145.030000000027940,1989904.699999999953434,2216329.760000000242144,2074365.050000000046566,10724377.600000001490116
FS( 117 ),2367217.979999999515712,2080328.780000000027940,1988446.489999999990687,2210320.600000000093132,2076665.000000000000000,10722978.849999999627471
FS( 118 ),2376976.429999999701977,2079650.899999999906868,2002243.400000000139698,2209260.160000000149012,2085098.150000000139698,10753229.040000000968575
FS( 119 ),2387185.269999999552965,2070668.990000000223517,2004374.630000000121072,2202190.560000000055879,2088675.850000000093132,10753095.299999998882413
FS( 120 ),2395142.160000000149012,2072024.750000000000000,2002243.400000000139698,2217743.680000000167638,2091486.900000000139698,10778640.890000000596046
FS( 121 ),2369770.189999999478459,2057111.389999999897555,2002467.739999999990687,2225520.240000000223517,2099408.950000000186265,10754278.509999997913837
FS( 122 ),2410455.419999999925494,2051518.879999999888241,1973976.560000000055879,2245315.120000000111759,2127008.349999999627471,10808274.330000000074506
FS( 123 ),2512693.950000000186265,2064059.660000000149012,1982501.479999999981374,2250970.800000000279397,2144130.200000000186265,10954356.089999999850988
FS( 124 ),2539116.830000000074506,2065584.889999999897555,1983511.010000000009313,2271826.120000000111759,2127263.899999999441206,10987302.750000000000000
FS( 125 ),2517798.369999999180436,2082192.949999999953434,1990914.229999999981374,2325201.600000000093132,2140808.049999999813735,11056915.199999999254942
FS( 126 ),2485820.679999999701977,2084904.469999999972060,1967807.209999999962747,2302225.399999999906868,2139019.200000000186265,10979776.960000000894070
FS( 127 ),2453542.729999999515712,2077278.319999999832362,1961077.010000000009313,2285258.360000000335276,2113719.750000000000000,10890876.169999998062849
FS( 128 ),2461799.879999999888241,2074736.270000000018626,1965002.959999999962747,2247436.000000000000000,2106819.899999999441206,10855795.009999997913837
FS( 129 ),2436127.649999999441206,2088293.870000000111759,1953898.130000000121072,2232943.320000000298023,2103242.200000000186265,10814505.169999998062849
FS( 130 ),2438229.469999999739230,2105579.809999999590218,1963544.750000000000000,2250970.800000000279397,2199840.099999999627471,10958164.929999999701977
FS( 131 ),2461950.009999999776483,2109138.679999999701977,1964217.770000000018626,2249556.880000000353903,2193451.349999999627471,10978314.689999999478459
FS( 132 ),2499782.769999999552965,2111511.259999999776483,1971620.989999999990687,2242133.800000000279397,2192173.599999999627471,11017222.419999999925494
FS( 133 ),2459397.799999999813735,2112867.020000000484288,1986315.260000000009313,2238952.480000000447035,2174540.650000000372529,10972073.210000000894070
FS( 134 ),2466453.910000000149012,2109647.089999999850988,1998766.130000000121072,2264403.040000000037253,2187062.599999999627471,11026332.769999999552965
FS( 135 ),2495729.259999999776483,2132356.070000000298023,2007964.070000000065193,2262282.160000000149012,2195240.200000000186265,11093571.760000001639128
FS( 136 ),2522752.660000000149012,2127610.910000000149012,2030622.410000000149012,2287732.720000000204891,2209039.899999999441206,11177758.600000001490116
FS( 137 ),2529808.769999999552965,2132186.599999999627471,2037128.270000000018626,2282430.520000000018626,2219517.450000000186265,11201071.609999999403954
FS( 138 ),2541819.169999999925494,2143541.089999999850988,2038249.969999999972060,2281016.600000000093132,2237150.400000000372529,11241777.230000000447035
FS( 139 ),2564488.799999999813735,2147269.429999999701977,2057431.040000000037253,2280663.120000000111759,2233828.250000000000000,11283680.640000000596046
FS( 140 ),2593013.500000000000000,2165911.129999999888241,2052271.219999999972060,2284197.920000000391155,2235106.000000000000000,11330499.769999999552965
FS( 141 ),2635800.549999999813735,2169978.410000000149012,2056982.360000000102445,2279602.680000000167638,2246861.299999999813735,11389225.300000000745058
FS( 142 ),2632797.950000000186265,2166758.479999999515712,2086931.750000000000000,2275007.439999999944121,2243794.700000000186265,11405290.320000000298023
FS( 143 ),2655317.450000000186265,2173876.219999999739230,2099831.299999999813735,2284197.920000000391155,2253505.600000000558794,11466728.490000002086163
FS( 144 ),2664024.989999999292195,2180316.080000000074506,2102299.040000000037253,2284197.920000000391155,2259894.350000000558794,11490732.379999998956919
FS( 145 ),2693900.860000000335276,2152184.059999999590218,2096690.540000000037253,2270412.200000000186265,2248905.700000000186265,11462093.359999999403954
FS( 146 ),2705911.259999999776483,2163369.080000000074506,2090409.020000000018626,2261575.200000000186265,2247372.399999999441206,11468636.959999997168779
FS( 147 ),2761159.099999999627471,2187094.879999999888241,2129780.690000000409782,2295509.280000000260770,2274205.149999999441206,11647749.099999997764826
FS( 148 ),2747347.139999999664724,2173198.339999999850988,2130117.200000000186265,2262635.640000000130385,2262449.849999999627471,11575748.169999999925494
FS( 149 ),2735186.610000000335276,2167605.830000000074506,2123611.339999999850988,2271119.160000000149012,2269094.150000000372529,11566617.090000001713634
FS( 150 ),2716420.360000000335276,2169808.940000000409782,2119012.370000000111759,2271826.120000000111759,2272927.399999999441206,11549995.190000001341105
FS( 151 ),2732784.530000000260770,2170486.820000000298023,2121143.600000000558794,2276421.360000000335276,2275994.000000000000000,11576830.310000002384186
FS( 152 ),2728580.889999999664724,2170825.759999999776483,2125854.740000000223517,2297276.680000000167638,2273438.500000000000000,11595976.570000000298023
FS( 153 ),2711015.679999999701977,2171673.109999999403954,2130229.370000000111759,2288086.200000000186265,2277271.750000000000000,11578276.109999999403954
FS( 154 ),2682941.369999999180436,2168961.589999999850988,2144923.640000000596046,2295155.800000000279397,2293115.849999999627471,11585098.250000000000000
FS( 155 ),2688195.919999999925494,2162691.200000000186265,2148400.910000000149012,2287379.239999999757856,2302826.750000000000000,11589494.019999999552965
FS( 156 ),2683391.759999999776483,2165911.129999999888241,2135052.680000000633299,2276774.839999999850988,2288515.950000000186265,11549646.359999999403954
FS( 157 ),2683091.500000000000000,2167266.889999999664724,2144811.469999999739230,2288793.160000000149012,2297971.299999999813735,11581934.320000000298023
FS( 158 ),2675284.739999999292195,2168961.589999999850988,2134828.339999999850988,2284904.880000000353903,2301037.900000000372529,11565017.449999999254942
FS( 159 ),2703959.569999999366701,2180146.609999999403954,2157823.190000000409782,2293034.920000000391155,2306148.899999999441206,11641113.189999997615814
FS( 160 ),2693300.339999999850988,2182519.190000000409782,2165114.240000000223517,2295155.800000000279397,2279060.600000000558794,11615150.170000001788139
FS( 161 ),2641805.750000000000000,2178112.969999999739230,2155243.280000000260770,2269705.239999999757856,2250439.000000000000000,11495306.240000000223517
FS( 162 ),2657119.009999999776483,2187942.229999999515712,2156252.809999999590218,2298690.600000000093132,2262194.299999999813735,11562198.949999999254942
FS( 163 ),2661322.649999999441206,2186247.530000000260770,2155355.450000000186265,2293034.920000000391155,2270883.000000000000000,11566843.550000000745058
FS( 164 ),2639703.929999999701977,2192009.509999999776483,2148288.740000000223517,2296923.200000000186265,2279316.149999999441206,11556241.529999997466803
FS( 165 ),2643907.569999999366701,2194551.560000000521541,2136174.379999999888241,2301164.959999999962747,2273182.950000000186265,11548981.419999998062849
FS( 166 ),2662823.950000000186265,2193873.679999999701977,2142455.900000000372529,2307881.080000000540167,2277527.299999999813735,11584561.910000000149012
FS( 167 ),2666877.459999999962747,2183536.009999999776483,2138978.629999999888241,2314243.720000000204891,2279060.600000000558794,11582696.420000001788139
FS( 168 ),2672132.009999999776483,2191670.570000000298023,2145708.830000000074506,2322727.239999999757856,2274716.250000000000000,11606954.900000000372529
FS( 169 ),2655317.450000000186265,2196585.200000000186265,2146269.680000000633299,2328029.439999999944121,2271138.549999999813735,11597340.320000000298023
FS( 170 ),2652164.719999999739230,2196585.200000000186265,2139427.309999999590218,2317071.560000000055879,2283660.500000000000000,11588909.289999999105930
FS( 171 ),2682941.369999999180436,2191162.160000000149012,2133482.299999999813735,2323434.200000000186265,2268838.599999999627471,11599858.629999998956919
FS( 172 ),2658620.309999999590218,2210142.799999999813735,2134043.150000000372529,2317425.040000000037253,2275227.349999999627471,11595458.650000000372529
FS( 173 ),2662974.080000000074506,2205736.580000000074506,2130117.200000000186265,2323434.200000000186265,2276760.650000000372529,11599022.710000000894070
FS( 174 ),2685193.319999999366701,2202516.650000000372529,2131238.900000000372529,2321666.800000000279397,2267816.399999999441206,11608432.070000000298023
FS( 175 ),2665826.549999999813735,2202855.589999999850988,2128098.140000000596046,2316364.600000000093132,2270883.000000000000000,11584027.880000000819564
FS( 176 ),2680989.679999999701977,2223530.929999999701977,2132136.259999999776483,2314597.200000000186265,2270627.450000000186265,11621881.519999999552965
FS( 177 ),2643156.919999999925494,2224547.750000000000000,2127985.969999999739230,2305760.200000000186265,2266283.100000000558794,11567733.940000001341105
FS( 178 ),2636701.330000000074506,2216074.250000000000000,2116208.120000000111759,2295862.760000000242144,2271138.549999999813735,11535985.010000001639128
FS( 179 ),2687745.530000000260770,2226072.979999999515712,2135389.190000000409782,2314597.200000000186265,2295160.250000000000000,11658965.150000000372529
FS( 180 ),2670180.319999999366701,2242172.629999999888241,2133818.809999999590218,2311415.880000000353903,2293115.849999999627471,11650703.489999998360872
FS( 181 ),2678437.469999999739230,2247934.609999999403954,2129444.180000000633299,2299044.080000000540167,2293626.950000000186265,11648487.289999999105930
FS( 182 ),2691949.169999999925494,2258611.219999999739230,2144362.790000000037253,2315304.160000000149012,2329403.950000000186265,11739631.289999999105930
FS( 183 ),2708163.209999999962747,2260983.799999999813735,2148176.570000000298023,2347117.360000000335276,2329403.950000000186265,11793844.890000000596046
FS( 184 ),2733385.049999999813735,2274880.339999999850988,2178798.979999999515712,2387060.600000000093132,2347292.450000000186265,11921417.419999998062849
FS( 185 ),2755153.899999999441206,2401474.429999999701977,2188894.280000000260770,2400846.320000000298023,2353936.750000000000000,12100305.679999999701977
FS( 186 ),2728130.500000000000000,2386900.009999999776483,2187436.070000000298023,2397665.000000000000000,2346525.799999999813735,12046657.379999998956919
FS( 187 ),2750800.129999999888241,2387408.419999999925494,2199886.940000000409782,2413218.120000000111759,2340903.700000000186265,12092217.309999998658895
FS( 188 ),2774971.059999999590218,2371478.240000000223517,2196746.180000000633299,2419934.239999999757856,2331192.799999999813735,12094322.519999999552965
FS( 189 ),2738339.339999999850988,2392153.580000000074506,2185304.839999999850988,2453514.839999999850988,2332215.000000000000000,12101527.599999999627471
FS( 190 ),2754102.989999999292195,2393509.339999999850988,2204598.080000000074506,2449626.560000000055879,2364925.400000000372529,12166762.369999999180436
FS( 191 ),2753352.339999999850988,2417065.669999999925494,2216936.780000000260770,2441850.000000000000000,2362369.899999999441206,12191574.689999997615814
FS( 192 ),2748548.179999999701977,2431131.679999999701977,2238024.740000000223517,2432306.040000000037253,2366969.799999999813735,12216980.440000001341105
