代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13869999.679999999701977
真實報酬,3869999.679999999701977

夏普值報酬,0.378299968000000
夏普值風險,0.094192693687375
夏普值,4.016234733190398

二次趨勢線,31.165633240868658 x^2 + 6550.372520179334060 x + 10000000.000000000000000
二次加權預期報酬,17042.802377938449354
風險,240085.486394684761763
二次加權趨勢值,0.070986391696836
一次趨勢線,12452.341172371898210 x + 10000000.000000000000000
一次預期報酬,12452.341172371898210
一次風險,327245.553979490709025
一次趨勢值,0.038051979686032
找到最佳解世代,1699
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
MRK[17](6),MSFT[18](2),NKE[19](3),V[25](1),
FS( 65 ),2201946.740000000223517,2741410.540000000037253,2815775.740000000223517,2584935.330000000074506,10344068.350000001490116
FS( 66 ),2184322.040000000502914,2758654.150000000372529,2830768.060000000055879,2612605.479999999981374,10386349.730000002309680
FS( 67 ),2128706.320000000298023,2798889.240000000223517,2797972.359999999869615,2640516.239999999757856,10366084.160000000149012
FS( 68 ),2145156.040000000502914,2789084.049999999813735,2839201.240000000223517,2680457.500000000000000,10453898.830000000074506
FS( 69 ),2176488.840000000316650,2845548.419999999925494,2871996.939999999944121,2709330.700000000186265,10603364.899999998509884
FS( 70 ),2206646.660000000149012,2881726.190000000409782,2900576.049999999813735,2703796.670000000391155,10692745.570000000298023
FS( 71 ),2235237.840000000316650,2893560.040000000037253,2912757.310000000055879,2730023.160000000149012,10771578.350000001490116
FS( 72 ),2228971.280000000260770,2885783.509999999776483,3012549.939999999944121,2726414.010000000242144,10853718.740000000223517
FS( 73 ),2193721.880000000353903,2863468.250000000000000,3023325.670000000391155,2717030.220000000204891,10797546.020000001415610
FS( 74 ),2202730.060000000055879,2936500.009999999776483,3035506.930000000633299,2738685.120000000111759,10913422.120000001043081
FS( 75 ),2201946.740000000223517,2920608.839999999850988,3036443.950000000186265,2732188.649999999906868,10891188.179999999701977
FS( 76 ),2202338.399999999906868,2902012.790000000037253,3009738.879999999888241,2698262.640000000130385,10812352.709999999031425
FS( 77 ),2197638.479999999981374,2891531.379999999888241,2979285.730000000447035,2697781.420000000391155,10766237.009999999776483
FS( 78 ),2216829.820000000298023,2890855.160000000149012,3034569.910000000149012,2704759.109999999869615,10847014.000000000000000
FS( 79 ),2207429.979999999981374,2891193.270000000484288,2965230.430000000167638,2711496.189999999944121,10775349.869999999180436
FS( 80 ),2206646.660000000149012,2887474.060000000521541,2982096.790000000037253,2718714.489999999757856,10794932.000000000000000
FS( 81 ),2206646.660000000149012,2897955.469999999739230,2949301.090000000316650,2743497.319999999832362,10797400.540000000968575
FS( 82 ),2216829.820000000298023,2898293.580000000074506,2949301.090000000316650,2751437.450000000186265,10815861.940000001341105
FS( 83 ),2203905.040000000502914,2892207.600000000558794,2930560.689999999944121,2743497.319999999832362,10770170.650000000372529
FS( 84 ),2201946.740000000223517,2906070.110000000335276,2974600.630000000353903,2755287.210000000428408,10837904.690000001341105
FS( 85 ),2198813.460000000428408,2919594.509999999776483,2974132.120000000111759,2782716.750000000000000,10875256.839999999850988
FS( 86 ),2234454.520000000018626,2945290.870000000111759,2972258.080000000074506,2793062.979999999981374,10945066.450000001117587
FS( 87 ),2232104.560000000055879,2981806.750000000000000,2997557.620000000111759,2859952.560000000055879,11071421.490000000223517
FS( 88 ),2219179.780000000260770,2984849.740000000223517,3024262.689999999944121,2871501.840000000316650,11099794.050000000745058
FS( 89 ),2224663.020000000018626,2982821.080000000074506,3002711.230000000447035,2865967.810000000055879,11076163.140000000596046
FS( 90 ),2244246.020000000018626,2969296.679999999701977,3008801.859999999869615,2862839.880000000353903,11085184.439999999478459
FS( 91 ),2255995.820000000298023,2978087.540000000037253,3012081.430000000633299,2883532.340000000316650,11129697.130000000819564
FS( 92 ),2297511.780000000260770,3029480.259999999776483,3029884.810000000055879,2889547.590000000316650,11246424.439999999478459
FS( 93 ),2431067.840000000316650,2987216.509999999776483,2971321.060000000055879,2896765.890000000130385,11286371.300000000745058
FS( 94 ),2429501.200000000186265,3047738.200000000186265,2989592.950000000186265,2935022.880000000353903,11401855.230000002309680
FS( 95 ),2394251.800000000279397,3046385.759999999776483,3003648.250000000000000,2962211.810000000055879,11406497.620000001043081
FS( 96 ),2400126.700000000186265,3043004.660000000149012,3148886.349999999627471,2952346.800000000279397,11544364.510000001639128
FS( 97 ),2398951.720000000204891,3097440.370000000111759,3110468.530000000260770,2991566.229999999981374,11598426.850000001490116
FS( 98 ),2416576.420000000391155,3107245.560000000521541,3145606.780000000260770,2999265.750000000000000,11668694.510000001639128
FS( 99 ),2396210.100000000093132,3104540.679999999701977,3185898.640000000130385,2996859.649999999906868,11683509.070000000298023
FS( 100 ),2400910.020000000018626,3121784.290000000037253,3172311.849999999627471,3012980.520000000018626,11707986.679999999701977
FS( 101 ),2429892.860000000335276,3180277.320000000298023,3187772.680000000633299,3039447.620000000111759,11837390.480000000447035
FS( 102 ),2413834.800000000279397,3175543.780000000260770,3166221.220000000204891,3003837.340000000316650,11759437.140000000596046
FS( 103 ),2375452.120000000111759,3135646.799999999813735,3154508.470000000204891,2972798.649999999906868,11638406.040000000968575
FS( 104 ),2320619.720000000204891,3212397.770000000484288,3196205.859999999869615,2989160.130000000353903,11718383.480000000447035
FS( 105 ),2344510.979999999981374,3187039.520000000484288,3169500.790000000502914,3025011.020000000018626,11726062.310000000521541
FS( 106 ),2293595.180000000167638,3103188.240000000223517,3149354.859999999869615,2909277.609999999869615,11455415.889999998733401
FS( 107 ),2208996.620000000111759,2975382.660000000149012,3016766.530000000260770,2797634.569999999832362,10998780.380000000819564
FS( 108 ),2172180.580000000074506,3087973.290000000037253,3055652.859999999869615,2886660.270000000018626,11202467.000000000000000
FS( 109 ),2188630.300000000279397,3029818.370000000111759,3074861.770000000018626,2878960.750000000000000,11172271.189999999478459
FS( 110 ),2143589.399999999906868,2874287.770000000484288,2927749.630000000353903,2739647.560000000055879,10685274.360000001266599
FS( 111 ),2149072.640000000130385,2981468.640000000596046,3068302.629999999888241,2798837.620000000111759,10997681.530000001192093
FS( 112 ),2171005.600000000093132,3013589.089999999850988,3091259.620000000111759,2850568.770000000018626,11126423.080000000074506
FS( 113 ),2150247.620000000111759,3037256.790000000037253,3086106.010000000242144,2847681.450000000186265,11121291.870000001043081
FS( 114 ),2150247.620000000111759,3070391.570000000298023,3184024.599999999627471,2907352.729999999981374,11312016.519999999552965
FS( 115 ),2192938.560000000055879,3132941.919999999925494,3199485.430000000633299,2942241.180000000167638,11467607.089999999850988
FS( 116 ),2204688.360000000335276,3110626.660000000149012,3199953.939999999944121,2931894.950000000186265,11447163.910000000149012
FS( 117 ),2153380.899999999906868,3134970.580000000074506,3162004.629999999888241,2935744.710000000428408,11386100.820000000298023
FS( 118 ),2136539.520000000018626,3093383.049999999813735,3141390.189999999944121,2897728.330000000074506,11269041.089999999850988
FS( 119 ),2137322.840000000316650,3101497.690000000409782,3145138.270000000018626,2896525.279999999795109,11280484.080000000074506
FS( 120 ),2149072.640000000130385,3180277.320000000298023,3193394.799999999813735,2957880.830000000074506,11480625.590000001713634
FS( 121 ),2195680.180000000167638,3226260.280000000260770,3263202.790000000502914,2997822.090000000316650,11682965.340000001713634
FS( 122 ),2143197.740000000223517,3185010.860000000335276,3187304.170000000391155,2968467.670000000391155,11483980.440000001341105
FS( 123 ),2123614.740000000223517,3170472.129999999888241,3140453.170000000391155,2958121.439999999944121,11392661.480000000447035
FS( 124 ),2103248.420000000391155,3139366.009999999776483,3107188.959999999962747,2897006.500000000000000,11246809.890000000596046
FS( 125 ),2129097.979999999981374,3146128.209999999962747,3087043.030000000260770,2905909.069999999832362,11268178.289999999105930
FS( 126 ),2130664.620000000111759,3166076.700000000186265,3047688.189999999944121,2932616.779999999795109,11277046.289999999105930
FS( 127 ),2126748.020000000018626,3155257.179999999701977,3056589.879999999888241,2912886.760000000242144,11251481.839999999850988
FS( 128 ),2133406.240000000223517,3173515.120000000111759,3006459.310000000055879,2931894.950000000186265,11245275.620000001043081
FS( 129 ),2144764.380000000353903,3192787.390000000596046,3050499.250000000000000,2940797.520000000018626,11328848.540000000968575
FS( 130 ),2159647.460000000428408,3264128.600000000558794,3106251.939999999944121,2995897.210000000428408,11525925.210000000894070
FS( 131 ),2168263.979999999981374,3271905.129999999888241,3130614.459999999962747,2989400.739999999757856,11560184.310000000521541
FS( 132 ),2168655.640000000130385,3192111.169999999925494,3100161.310000000055879,2964377.300000000279397,11425305.420000001788139
FS( 133 ),2146331.020000000018626,3173177.009999999776483,3101566.840000000316650,2949459.479999999981374,11370534.349999999627471
FS( 134 ),2163955.720000000204891,3184334.640000000596046,3110468.530000000260770,2969430.109999999869615,11428189.000000000000000
FS( 135 ),2180405.440000000409782,3198535.259999999776483,3087980.049999999813735,2996378.430000000167638,11463299.179999999701977
FS( 136 ),2139672.800000000279397,3140718.450000000186265,3078609.849999999627471,2964617.910000000149012,11323619.009999999776483
FS( 137 ),2140064.460000000428408,3148833.089999999850988,3129677.439999999944121,3005521.609999999869615,11424096.599999999627471
FS( 138 ),2142022.760000000242144,3126855.940000000409782,3108594.489999999757856,2964858.520000000018626,11342331.710000000894070
FS( 139 ),2119698.140000000130385,3035904.350000000558794,3018172.060000000055879,2887141.489999999757856,11060916.040000000968575
FS( 140 ),2091890.280000000027940,2947657.640000000596046,3028010.770000000018626,2815199.100000000093132,10882757.790000000968575
FS( 141 ),2116564.860000000335276,3170810.240000000223517,3087511.540000000502914,2902781.140000000130385,11277667.780000001192093
FS( 142 ),2105206.720000000204891,3025084.830000000074506,3100161.310000000055879,2824823.500000000000000,11055276.360000001266599
FS( 143 ),2157689.160000000149012,3022379.950000000186265,3065960.080000000074506,2814958.489999999757856,11060987.679999999701977
FS( 144 ),2133406.240000000223517,3085944.629999999888241,3112811.080000000074506,2878238.920000000391155,11210400.870000001043081
FS( 145 ),2086407.040000000270084,2992964.379999999888241,3004116.760000000242144,2848643.890000000130385,10932132.070000000298023
FS( 146 ),2118523.160000000149012,3033199.469999999739230,3124992.340000000316650,2868133.300000000279397,11144848.270000001415610
FS( 147 ),2136147.860000000335276,3121784.290000000037253,3205576.060000000055879,2882810.510000000242144,11346318.720000000670552
FS( 148 ),2135756.200000000186265,3123474.839999999850988,3260391.730000000447035,2916014.689999999944121,11435637.459999999031425
FS( 149 ),2089931.980000000214204,3050781.190000000409782,3164815.689999999944121,2832041.800000000279397,11137570.660000002011657
FS( 150 ),2199596.780000000260770,3069039.129999999888241,3147480.820000000298023,2858268.290000000037253,11274385.019999999552965
FS( 151 ),2212521.560000000055879,3140380.339999999850988,3139047.640000000130385,2904706.020000000018626,11396655.560000000521541
FS( 152 ),2201163.420000000391155,3105893.120000000111759,3131082.970000000204891,2882088.680000000167638,11320228.190000001341105
FS( 153 ),2222313.060000000055879,3164048.040000000037253,3175122.910000000149012,2913127.370000000111759,11474611.379999998956919
FS( 154 ),2239154.440000000409782,3147142.540000000037253,3150760.390000000130385,2905427.850000000093132,11442485.220000000670552
FS( 155 ),2297120.120000000111759,3183996.530000000260770,3141858.700000000186265,2932616.779999999795109,11555592.130000000819564
FS( 156 ),2321403.040000000502914,3248237.429999999701977,3162941.650000000372529,2978813.899999999906868,11711396.020000001415610
FS( 157 ),2307694.940000000409782,3260747.500000000000000,3101566.840000000316650,2978813.899999999906868,11648823.180000001564622
FS( 158 ),2296728.460000000428408,3249589.870000000111759,3079546.870000000111759,2982663.660000000149012,11608528.859999999403954
FS( 159 ),2304170.000000000000000,3212059.660000000149012,3096413.230000000447035,2988438.300000000279397,11601081.190000001341105
FS( 160 ),2359785.720000000204891,3223893.509999999776483,3133425.520000000018626,2994694.160000000149012,11711798.910000000149012
FS( 161 ),2353519.160000000149012,3148494.980000000447035,3137642.109999999869615,2917939.569999999832362,11557595.820000000298023
FS( 162 ),2335502.800000000279397,3121108.070000000298023,3123586.810000000055879,2916495.910000000149012,11496693.590000001713634
FS( 163 ),2326886.280000000260770,3187039.520000000484288,3188241.189999999944121,3057733.979999999981374,11759900.970000000670552
FS( 164 ),2329236.240000000223517,3239784.679999999701977,3258986.200000000186265,3031988.710000000428408,11859995.830000001937151
FS( 165 ),2305736.640000000130385,3162019.379999999888241,3204170.530000000260770,3052921.779999999795109,11724848.330000000074506
FS( 166 ),2270878.899999999906868,3212059.660000000149012,3190583.739999999757856,3068080.210000000428408,11741602.510000001639128
FS( 167 ),2244246.020000000018626,3161681.270000000484288,3198079.900000000372529,3040891.279999999795109,11644898.470000000670552
FS( 168 ),2253254.200000000186265,3180615.429999999701977,3134362.540000000502914,3060140.080000000074506,11628372.250000000000000
FS( 169 ),2261870.720000000204891,3217469.419999999925494,3190583.739999999757856,3083719.859999999869615,11753643.740000000223517
FS( 170 ),2247379.300000000279397,3253309.080000000074506,3248678.980000000447035,3110186.959999999962747,11859554.320000000298023
FS( 171 ),2223096.380000000353903,3239446.570000000298023,3207450.099999999627471,3125586.000000000000000,11795579.050000000745058
FS( 172 ),2269703.920000000391155,3277653.000000000000000,3183556.090000000316650,3148203.340000000316650,11879116.349999999627471
FS( 173 ),2274012.180000000167638,3310449.669999999925494,3182150.560000000055879,3148203.340000000316650,11914815.750000000000000
FS( 174 ),2337852.760000000242144,3303349.360000000335276,3206044.570000000298023,3171783.120000000111759,12019029.810000002384186
FS( 175 ),2337461.100000000093132,3314506.990000000223517,3225253.480000000447035,3157105.910000000149012,12034327.480000000447035
FS( 176 ),2318661.420000000391155,3290501.179999999701977,3256175.140000000130385,3154459.200000000186265,12019796.940000001341105
FS( 177 ),2340202.720000000204891,3284753.310000000521541,3342380.980000000447035,3149406.389999999664724,12116743.400000002235174
FS( 178 ),2313569.840000000316650,3251956.640000000596046,3323640.580000000074506,3126307.830000000074506,12015474.890000000596046
FS( 179 ),2316311.460000000428408,3258042.620000000111759,3341443.959999999962747,3126307.830000000074506,12042105.869999999180436
FS( 180 ),2293986.840000000316650,3299968.259999999776483,3344255.020000000018626,3143872.359999999869615,12082082.479999998584390
FS( 181 ),2289286.920000000391155,3296587.160000000149012,3340975.450000000186265,3145075.410000000149012,12071924.940000001341105
FS( 182 ),2317486.440000000409782,3335807.919999999925494,3342380.980000000447035,3173226.779999999795109,12168902.119999999180436
FS( 183 ),2315919.800000000279397,3323974.070000000298023,3381735.820000000298023,3173467.389999999664724,12195097.080000001937151
FS( 184 ),2314353.160000000149012,3325664.620000000111759,3385015.390000000130385,3158790.180000000167638,12183823.349999999627471
FS( 185 ),2287328.620000000111759,3313830.770000000484288,3322703.560000000055879,3120533.189999999944121,12044396.140000000596046
FS( 186 ),2339027.740000000223517,3345613.110000000335276,3384078.370000000111759,3143391.139999999664724,12212110.359999999403954
FS( 187 ),2331586.200000000186265,3341893.900000000372529,3363932.439999999944121,3145316.020000000018626,12182728.560000000521541
FS( 188 ),2371927.180000000167638,3407825.350000000558794,3408909.400000000372529,3148443.950000000186265,12337105.880000002682209
FS( 189 ),2429109.540000000502914,3437579.030000000260770,3459039.970000000204891,3201859.370000000111759,12527587.910000000149012
FS( 190 ),2404434.960000000428408,3455160.750000000000000,3469347.189999999944121,3213649.260000000242144,12542592.160000000149012
FS( 191 ),2425584.600000000093132,3465304.049999999813735,3502142.890000000130385,3279095.180000000167638,12672126.720000000670552
FS( 192 ),2427934.560000000055879,3410868.339999999850988,3502611.400000000372529,3220386.340000000316650,12561800.640000000596046
FS( 193 ),2451042.500000000000000,3436226.589999999850988,3509170.540000000502914,3242041.240000000223517,12638480.870000001043081
FS( 194 ),2441251.000000000000000,3416616.209999999962747,3494646.730000000447035,3222070.609999999869615,12574584.550000000745058
FS( 195 ),2445559.260000000242144,3425407.070000000298023,3480591.430000000633299,3244928.560000000521541,12596486.320000002160668
FS( 196 ),2451434.160000000149012,3409854.009999999776483,3472158.250000000000000,3233860.500000000000000,12567306.919999999925494
FS( 197 ),2411093.180000000167638,3429126.280000000260770,3499800.340000000316650,3248297.100000000093132,12588316.900000000372529
FS( 198 ),2429501.200000000186265,3385510.089999999850988,3553210.480000000447035,3250703.200000000186265,12618924.969999998807907
FS( 199 ),2388768.560000000055879,3410192.120000000111759,3542434.750000000000000,3277170.299999999813735,12618565.730000000447035
FS( 200 ),2390335.200000000186265,3410192.120000000111759,3479185.900000000372529,3250943.810000000521541,12530657.030000001192093
FS( 201 ),2400126.700000000186265,3444341.230000000447035,3500737.359999999869615,3260327.600000000093132,12605532.890000000596046
FS( 202 ),2396210.100000000093132,3419659.200000000186265,3464193.580000000074506,3236988.430000000167638,12517051.310000000521541
FS( 203 ),2407568.240000000223517,3394977.169999999925494,3440299.570000000298023,3256237.230000000447035,12499082.210000000894070
FS( 204 ),2392293.500000000000000,3326678.950000000186265,3389700.489999999757856,3150368.830000000074506,12259041.769999999552965
FS( 205 ),2378193.740000000223517,3350008.540000000037253,3399539.200000000186265,3189347.650000000372529,12317089.130000000819564
FS( 206 ),2345294.300000000279397,3297939.600000000558794,3342849.489999999757856,3152534.320000000298023,12138617.710000000894070
FS( 207 ),2361744.020000000018626,3334793.589999999850988,3359247.340000000316650,3193919.240000000223517,12249704.189999999478459
FS( 208 ),2377410.420000000391155,3334117.370000000111759,3733118.320000000298023,3186941.549999999813735,12631587.660000000149012
FS( 209 ),2368010.580000000074506,3381452.770000000484288,3670806.489999999757856,3188144.600000000093132,12608414.439999999478459
FS( 210 ),2377802.080000000074506,3348994.209999999962747,3573824.920000000391155,3162880.549999999813735,12463501.760000001639128
FS( 211 ),2414226.460000000428408,3373000.020000000484288,3586474.689999999944121,3207152.790000000037253,12580853.960000000894070
FS( 212 ),2436159.420000000391155,3420335.419999999925494,3583195.120000000111759,3226401.590000000316650,12666091.550000000745058
FS( 213 ),2429109.540000000502914,3443665.009999999776483,3620675.920000000391155,3260808.820000000298023,12754259.290000000968575
FS( 214 ),2440076.020000000018626,3452793.980000000447035,3634262.709999999962747,3288960.189999999944121,12816092.900000000372529
FS( 215 ),2424409.620000000111759,3448060.440000000409782,3624424.000000000000000,3324089.250000000000000,12820983.310000000521541
FS( 216 ),2454175.780000000260770,3522782.750000000000000,3624892.510000000242144,3366196.000000000000000,12968047.040000000968575
FS( 217 ),2463183.960000000428408,3564708.390000000596046,3625361.020000000018626,3354646.719999999739230,13007900.089999999850988
FS( 218 ),2451434.160000000149012,3547126.669999999925494,3642695.890000000130385,3331548.160000000149012,12972804.880000000819564
FS( 219 ),2449084.200000000186265,3582290.110000000335276,3629577.609999999869615,3359940.139999999664724,13020892.059999998658895
FS( 220 ),2465142.260000000242144,3554226.980000000447035,3588348.730000000447035,3390257.000000000000000,12997974.970000000670552
FS( 221 ),2448300.880000000353903,3529883.060000000521541,3605215.090000000316650,3371730.029999999795109,12955129.060000000521541
FS( 222 ),2448692.540000000502914,3593109.629999999888241,3605683.599999999627471,3392422.490000000223517,13039908.259999999776483
FS( 223 ),2455350.760000000242144,3650588.330000000074506,3588348.730000000447035,3369323.930000000167638,13063611.750000000000000
FS( 224 ),2483941.940000000409782,3640106.919999999925494,3538686.670000000391155,3369323.930000000167638,13032059.460000000894070
FS( 225 ),2525849.560000000055879,3747287.790000000037253,3615053.799999999813735,3432123.139999999664724,13320314.289999999105930
