代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12987385.629999998956919
真實報酬,2987385.629999998956919

夏普值報酬,0.290038563000000
夏普值風險,0.075919353534111
夏普值,3.820350799874535

二次趨勢線,24.408303489078111 x^2 + 5495.895558249175338 x + 10000000.000000000000000
二次加權預期報酬,13713.357732905484227
風險,155309.027964332402917
二次加權趨勢值,0.088297234955684
一次趨勢線,10118.199906515497787 x + 10000000.000000000000000
一次預期報酬,10118.199906515497787
一次風險,233347.897770930110710
一次趨勢值,0.043361007333557
找到最佳解世代,2066
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,8
AAPL[0](13),CAT[3](2),DD[7](1),INTC[11](10),MRK[17](4),MSFT[18](8),UNH[23](16),WBA[27](5),
FS( 7 ),1299593.330000000074506,1353359.150000000139698,1316722.040000000037253,1269278.850000000093132,1244528.400000000139698,1247707.879999999888241,1297931.989999999990687,1221138.669999999925494,10250260.310000000521541
FS( 8 ),1288838.149999999906868,1333349.300000000279397,1299247.219999999972060,1276573.550000000046566,1257113.080000000074506,1248853.939999999944121,1316769.889999999897555,1244380.979999999981374,10265126.110000001266599
FS( 9 ),1293817.399999999906868,1325074.550000000046566,1295275.670000000158325,1254689.449999999953434,1263131.840000000083819,1261842.620000000111759,1305885.770000000018626,1253320.330000000074506,10253037.630000000819564
FS( 10 ),1262946.050000000046566,1317251.150000000139698,1316986.810000000055879,1242184.250000000000000,1276263.679999999934807,1280943.620000000111759,1292071.309999999823049,1266601.650000000139698,10255248.519999999552965
FS( 11 ),1220124.500000000000000,1308976.400000000139698,1332608.239999999990687,1260942.050000000046566,1278452.319999999832362,1293168.260000000009313,1289559.589999999850988,1277839.689999999944121,10261671.049999998882413
FS( 12 ),1236456.439999999944121,1305666.500000000232831,1323606.060000000055879,1247394.750000000000000,1268603.439999999944121,1301954.719999999972060,1300653.020000000018626,1254341.969999999972060,10238676.900000000372529
FS( 13 ),1232672.210000000195578,1319056.550000000279397,1350612.600000000093132,1252605.250000000000000,1258207.400000000139698,1332134.300000000046566,1315304.719999999972060,1267112.469999999972060,10327705.500000001862645
FS( 14 ),1260356.840000000083819,1328986.250000000000000,1342669.500000000000000,1254689.449999999953434,1236868.159999999916181,1340156.719999999972060,1309444.040000000037253,1270688.209999999962747,10343859.170000001788139
FS( 15 ),1250995.850000000093132,1325525.900000000139698,1349023.980000000214204,1258336.800000000046566,1294867.119999999878928,1331370.260000000009313,1315932.649999999906868,1279882.969999999972060,10405935.530000001192093
FS( 16 ),1255775.929999999934807,1319507.900000000139698,1324135.600000000093132,1254168.400000000139698,1277905.159999999916181,1322201.780000000027940,1303583.359999999869615,1280649.199999999953434,10337927.330000000074506
FS( 17 ),1257966.800000000046566,1308224.150000000139698,1323606.060000000055879,1253126.300000000046566,1294867.119999999878928,1304628.860000000102445,1305257.839999999850988,1287289.859999999869615,10334966.990000000223517
FS( 18 ),1266531.110000000102445,1297090.850000000093132,1322811.750000000000000,1246352.650000000139698,1290216.259999999776483,1309213.100000000093132,1298978.540000000037253,1296740.030000000027940,10327934.290000000968575
FS( 19 ),1255975.100000000093132,1296789.950000000186265,1321223.130000000121072,1254689.449999999953434,1302800.939999999944121,1337864.600000000093132,1325770.219999999972060,1282947.889999999897555,10378061.280000001192093
FS( 20 ),1265933.600000000093132,1301303.449999999953434,1317516.350000000093132,1264589.400000000139698,1282282.439999999944121,1332516.320000000065193,1325979.530000000027940,1265324.599999999860302,10355445.689999999478459
FS( 21 ),1284854.750000000232831,1300099.850000000093132,1312220.950000000186265,1261463.100000000093132,1287754.040000000037253,1338246.620000000111759,1353399.139999999897555,1251787.869999999878928,10389826.320000000298023
FS( 22 ),1279676.330000000074506,1290922.400000000139698,1299247.219999999972060,1265110.450000000186265,1277631.580000000074506,1333280.360000000102445,1310909.209999999962747,1219861.619999999878928,10276639.169999999925494
FS( 23 ),1282464.710000000195578,1295887.250000000000000,1294746.130000000121072,1315131.250000000000000,1325508.080000000074506,1359639.740000000223517,1314467.479999999981374,1238761.959999999962747,10426606.600000001490116
FS( 24 ),1278481.310000000055879,1292727.800000000279397,1305336.929999999934807,1321383.850000000093132,1352592.500000000000000,1336718.540000000037253,1305257.839999999850988,1226757.689999999944121,10419256.459999999031425
FS( 25 ),1266531.110000000102445,1270160.300000000279397,1269063.440000000176951,1286994.550000000046566,1333168.319999999832362,1328696.120000000111759,1292489.929999999934807,1242082.290000000037253,10289186.060000002384186
FS( 26 ),1247609.960000000195578,1263841.400000000139698,1277800.850000000093132,1284389.300000000046566,1329611.780000000027940,1335572.479999999981374,1296048.199999999953434,1232121.300000000046566,10266995.270000001415610
FS( 27 ),1257170.120000000111759,1273620.650000000139698,1295275.670000000158325,1281263.000000000000000,1318395.000000000000000,1362695.900000000139698,1309653.349999999860302,1262259.679999999934807,10360333.370000001043081
FS( 28 ),1248804.980000000214204,1260832.400000000139698,1294481.360000000102445,1303147.100000000093132,1325781.659999999916181,1355055.500000000000000,1332886.760000000009313,1268134.109999999869615,10389123.869999999180436
FS( 29 ),1245020.750000000000000,1256619.800000000046566,1282037.170000000158325,1287515.600000000093132,1301159.459999999962747,1330988.240000000223517,1338119.510000000009313,1265324.599999999860302,10306785.130000000819564
FS( 30 ),1229684.660000000149012,1251955.850000000093132,1274094.070000000065193,1274489.350000000093132,1292678.479999999981374,1337100.560000000055879,1336026.409999999916181,1260216.400000000139698,10256245.780000001192093
FS( 31 ),1240439.840000000083819,1280992.700000000186265,1306396.010000000242144,1302105.000000000000000,1310461.179999999934807,1326404.000000000000000,1342724.330000000074506,1278861.330000000074506,10388384.390000000596046
FS( 32 ),1223709.560000000055879,1261885.550000000279397,1282301.940000000176951,1298457.650000000139698,1311829.080000000074506,1314179.360000000102445,1335398.479999999981374,1281670.839999999850988,10309432.460000000894070
FS( 33 ),1229087.150000000139698,1262637.800000000279397,1287332.570000000065193,1307836.550000000046566,1307725.379999999888241,1337100.560000000055879,1347329.150000000139698,1286779.040000000037253,10365828.199999999254942
FS( 34 ),1228489.640000000130385,1272116.150000000139698,1305336.929999999934807,1327115.399999999906868,1306357.479999999981374,1336336.520000000018626,1374748.760000000009313,1300060.359999999869615,10450561.239999998360872
FS( 35 ),1203593.390000000130385,1267602.650000000139698,1285743.950000000186265,1302626.050000000046566,1301706.619999999878928,1321437.740000000223517,1365957.739999999990687,1282947.889999999897555,10331616.030000001192093
FS( 36 ),1186066.429999999934807,1251805.400000000139698,1251588.620000000111759,1260421.000000000000000,1266961.959999999962747,1279415.540000000037253,1335398.479999999981374,1234675.400000000139698,10066332.830000000074506
FS( 37 ),1176506.270000000018626,1250601.800000000279397,1230407.020000000018626,1260942.050000000046566,1285838.979999999981374,1271011.100000000093132,1337491.579999999841675,1244125.570000000065193,10056924.370000001043081
FS( 38 ),1145435.750000000000000,1226529.800000000046566,1219816.219999999972060,1228636.949999999953434,1269697.759999999776483,1288202.000000000000000,1353189.830000000074506,1227268.509999999776483,9958776.819999998435378
FS( 39 ),1145634.920000000158325,1238716.250000000000000,1225376.390000000130385,1244268.449999999953434,1264773.319999999832362,1286291.900000000139698,1333933.309999999823049,1154987.479999999981374,9893982.020000001415610
FS( 40 ),1132688.870000000111759,1235255.900000000139698,1214256.050000000046566,1251042.100000000093132,1277358.000000000000000,1312269.260000000009313,1355910.859999999869615,1149623.869999999878928,9928404.909999998286366
FS( 41 ),1120340.330000000074506,1248194.600000000093132,1219816.219999999972060,1253126.300000000046566,1293499.219999999972060,1322583.800000000046566,1383330.469999999972060,1146814.359999999869615,9987705.299999998882413
FS( 42 ),1128307.130000000121072,1241123.449999999953434,1212932.200000000186265,1262505.199999999953434,1270792.080000000074506,1319527.640000000130385,1370562.560000000055879,1128935.660000000149012,9934685.920000001788139
FS( 43 ),1164356.900000000139698,1244583.800000000046566,1225376.390000000130385,1244789.500000000000000,1267235.540000000037253,1312651.280000000027940,1373702.209999999729916,1132511.400000000139698,9965207.019999999552965
FS( 44 ),1190647.340000000083819,1240973.000000000232831,1223258.230000000214204,1235931.649999999906868,1273527.879999999888241,1296606.439999999944121,1366167.049999999813735,1135576.320000000065193,9962687.910000000149012
FS( 45 ),1197219.949999999953434,1231494.650000000139698,1222728.690000000176951,1238015.850000000093132,1273527.879999999888241,1299280.580000000074506,1371818.420000000158325,1126892.379999999888241,9960978.400000002235174
FS( 46 ),1187659.790000000037253,1235857.700000000186265,1232525.179999999934807,1253647.350000000093132,1290216.259999999776483,1306920.979999999981374,1385004.949999999953434,1130212.709999999962747,10022044.919999998062849
FS( 47 ),1180888.010000000009313,1251805.400000000139698,1247617.070000000065193,1208316.000000000000000,1297055.759999999776483,1311505.219999999972060,1414099.040000000037253,1157796.989999999990687,10069083.490000000223517
FS( 48 ),1201800.860000000102445,1283851.250000000000000,1282831.480000000214204,1205710.750000000000000,1302800.939999999944121,1312269.260000000009313,1422680.750000000000000,1186402.910000000149012,10198348.200000001117587
FS( 49 ),1197020.780000000027940,1278284.600000000093132,1274094.070000000065193,1211442.300000000046566,1312102.659999999916181,1325639.960000000195578,1416820.069999999832362,1222160.310000000055879,10237564.750000000000000
FS( 50 ),1215742.760000000009313,1304462.900000000139698,1289450.730000000214204,1250000.000000000000000,1321677.959999999962747,1363459.939999999944121,1430843.839999999850988,1243870.160000000149012,10419508.290000000968575
FS( 51 ),1213551.890000000130385,1311534.050000000279397,1286538.260000000242144,1245310.550000000046566,1327970.300000000046566,1362695.900000000139698,1423308.679999999934807,1245402.619999999878928,10416312.250000000000000
FS( 52 ),1216141.100000000093132,1314994.400000000139698,1297129.060000000055879,1247394.750000000000000,1327423.140000000130385,1381796.900000000139698,1415354.900000000139698,1258428.530000000027940,10458662.780000001192093
FS( 53 ),1224107.900000000139698,1326579.050000000279397,1280978.090000000083819,1263547.300000000046566,1319489.319999999832362,1385617.100000000093132,1400493.889999999897555,1258173.119999999878928,10458985.769999999552965
FS( 54 ),1224307.070000000065193,1304011.550000000279397,1309573.250000000000000,1258336.800000000046566,1316753.520000000018626,1365370.040000000037253,1386260.810000000055879,1270177.389999999897555,10434790.429999999701977
FS( 55 ),1228489.640000000130385,1289718.800000000046566,1304013.080000000074506,1210921.250000000000000,1296782.179999999934807,1353909.439999999944121,1476682.729999999981374,1290865.599999999860302,10451382.720000000670552
FS( 56 ),1209170.150000000139698,1288665.650000000139698,1307190.320000000065193,1200500.250000000000000,1307451.800000000046566,1199573.360000000102445,1495520.629999999888241,1292653.469999999972060,10300725.630000000819564
FS( 57 ),1212954.380000000121072,1293931.400000000139698,1304277.850000000093132,1186431.900000000139698,1305536.739999999990687,1222876.580000000074506,1510800.260000000009313,1309255.119999999878928,10346064.230000000447035
FS( 58 ),1192240.699999999953434,1286709.800000000046566,1302689.230000000214204,1185389.800000000046566,1311281.919999999925494,1215618.199999999953434,1521475.069999999832362,1302869.869999999878928,10318274.589999999850988
FS( 59 ),1253385.890000000130385,1255416.200000000186265,1296069.980000000214204,1194768.699999999953434,1306904.640000000130385,1220966.479999999981374,1518126.109999999869615,1304657.739999999990687,10350295.740000000223517
FS( 60 ),1247609.960000000195578,1235857.700000000186265,1319369.739999999990687,1201542.350000000093132,1317847.840000000083819,1199191.340000000083819,1520009.900000000139698,1302869.869999999878928,10344298.699999999254942
FS( 61 ),1254780.080000000074506,1234654.100000000093132,1308514.170000000158325,1211963.350000000093132,1326602.400000000139698,1207977.800000000046566,1511428.189999999711290,1298017.080000000074506,10353937.170000001788139
FS( 62 ),1274099.570000000065193,1249097.300000000046566,1319634.510000000242144,1210921.250000000000000,1322498.700000000186265,1204921.640000000130385,1523568.170000000158325,1292908.879999999888241,10397650.019999999552965
FS( 63 ),1289834.000000000232831,1251654.950000000186265,1322017.440000000176951,1218215.949999999953434,1314564.879999999888241,1216764.260000000009313,1512684.049999999813735,1277328.869999999878928,10403064.400000000372529
FS( 64 ),1287643.130000000121072,1247442.350000000093132,1321223.130000000121072,1216131.750000000000000,1317847.840000000083819,1216382.239999999990687,1524824.029999999795109,1283458.709999999962747,10414953.179999999701977
FS( 65 ),1299394.159999999916181,1270461.200000000186265,1334726.399999999906868,1208837.050000000046566,1329064.619999999878928,1209887.900000000139698,1531312.639999999897555,1305934.790000000037253,10489618.760000001639128
FS( 66 ),1316124.439999999944121,1268354.900000000139698,1365704.489999999990687,1209879.149999999906868,1327970.300000000046566,1218292.340000000083819,1512474.739999999990687,1302103.639999999897555,10520904.000000000000000
FS( 67 ),1335643.100000000093132,1257221.600000000093132,1375500.980000000214204,1194247.650000000139698,1327696.719999999972060,1211033.959999999962747,1535080.219999999972060,1301592.820000000065193,10538017.050000000745058
FS( 68 ),1323692.899999999906868,1241725.250000000232831,1359614.780000000027940,1187995.050000000046566,1325234.500000000000000,1206449.719999999972060,1532987.119999999878928,1283203.300000000046566,10460902.620000001043081
FS( 69 ),1323095.390000000130385,1240220.750000000232831,1368352.190000000176951,1182784.550000000046566,1328243.879999999888241,1224786.680000000167638,1526289.199999999953434,1269155.750000000000000,10462928.390000000596046
FS( 70 ),1311742.699999999953434,1263239.600000000093132,1391651.950000000186265,1169758.300000000046566,1326055.239999999990687,1256494.340000000083819,1531731.260000000009313,1274263.949999999953434,10524937.339999999850988
FS( 71 ),1293020.720000000204891,1271514.350000000325963,1434279.920000000158325,1172884.600000000093132,1323866.600000000093132,1249235.960000000195578,1526498.510000000009313,1267112.469999999972060,10538413.130000000819564
FS( 72 ),1329867.169999999925494,1298745.800000000046566,1413098.320000000065193,1179658.250000000000000,1326055.239999999990687,1255730.300000000046566,1515195.770000000018626,1281926.250000000000000,10600277.099999999627471
FS( 73 ),1393004.060000000055879,1302507.050000000046566,1428190.209999999962747,1173405.650000000139698,1324960.919999999925494,1231281.020000000018626,1535289.529999999795109,1290865.599999999860302,10679504.039999999105930
FS( 74 ),1418298.649999999906868,1291223.300000000046566,1423424.350000000093132,1176010.900000000139698,1328791.040000000037253,1235865.260000000009313,1517288.869999999878928,1288822.320000000065193,10679724.689999999478459
FS( 75 ),1416705.290000000037253,1291825.100000000093132,1400918.899999999906868,1147874.200000000186265,1312376.239999999990687,1214472.140000000130385,1494474.080000000074506,1260727.219999999972060,10539373.170000001788139
FS( 76 ),1429253.000000000232831,1281293.600000000093132,1390857.640000000130385,1142142.650000000139698,1304989.580000000074506,1214854.160000000149012,1495102.010000000009313,1247445.900000000139698,10505938.540000000968575
FS( 77 ),1444589.090000000083819,1266850.400000000139698,1381061.149999999906868,1160900.450000000186265,1301706.619999999878928,1199191.340000000083819,1500962.689999999711290,1239272.780000000027940,10494534.519999999552965
FS( 78 ),1425667.939999999944121,1261735.100000000093132,1393240.570000000065193,1173405.650000000139698,1301159.459999999962747,1207977.800000000046566,1516660.939999999711290,1245402.619999999878928,10525250.080000000074506
FS( 79 ),1429452.169999999925494,1247893.700000000186265,1400389.360000000102445,1155168.900000000139698,1298423.659999999916181,1207595.780000000027940,1503893.029999999795109,1236718.679999999934807,10479535.280000001192093
FS( 80 ),1431045.530000000027940,1266399.050000000279397,1402242.750000000000000,1159858.350000000093132,1307998.959999999962747,1237393.340000000083819,1506404.750000000000000,1241060.650000000139698,10552403.380000000819564
FS( 81 ),1425468.770000000018626,1262186.450000000186265,1460756.920000000158325,1169237.250000000000000,1305810.319999999832362,1327550.060000000055879,1518335.420000000158325,1246168.849999999860302,10715514.040000000968575
FS( 82 ),1431045.530000000027940,1257221.600000000093132,1457314.910000000149012,1160900.450000000186265,1302800.939999999944121,1304628.860000000102445,1514986.459999999729916,1246935.080000000074506,10675833.830000000074506
FS( 83 ),1390215.679999999934807,1244282.900000000139698,1416275.560000000055879,1156211.000000000000000,1288848.359999999869615,1270629.080000000074506,1496985.799999999813735,1206835.709999999962747,10470284.089999999850988
FS( 84 ),1396788.290000000037253,1240521.650000000139698,1412039.239999999990687,1161421.500000000000000,1288301.200000000186265,1261460.600000000093132,1497404.420000000158325,1202238.330000000074506,10460175.230000000447035
FS( 85 ),1398979.159999999916181,1241725.250000000232831,1414686.940000000176951,1149437.350000000093132,1288574.780000000027940,1281707.659999999916181,1516242.319999999832362,1215264.239999999990687,10506617.700000001117587
FS( 86 ),1386232.280000000027940,1241875.700000000186265,1410185.850000000093132,1145268.949999999953434,1293772.800000000046566,1275977.360000000102445,1501590.619999999878928,1227779.330000000074506,10482682.890000000596046
FS( 87 ),1390215.679999999934807,1241424.350000000325963,1411774.469999999972060,1149958.400000000139698,1291584.159999999916181,1217910.320000000065193,1518754.040000000037253,1244891.800000000046566,10466513.220000002533197
FS( 88 ),1418896.159999999916181,1256920.700000000186265,1424483.429999999934807,1179658.250000000000000,1304442.419999999925494,1191932.959999999962747,1535289.529999999795109,1264047.550000000046566,10575671.000000000000000
FS( 89 ),1409136.830000000074506,1248044.150000000139698,1448312.730000000214204,1177574.050000000046566,1299791.559999999823049,1193461.040000000037253,1549731.920000000158325,1281926.250000000000000,10607978.530000001192093
FS( 90 ),1417501.970000000204891,1254663.950000000186265,1453872.899999999906868,1181221.400000000139698,1299244.400000000139698,1190022.860000000102445,1550150.540000000037253,1263281.320000000065193,10609959.340000001713634
FS( 91 ),1440207.350000000093132,1287762.950000000186265,1463404.620000000111759,1193726.600000000093132,1306083.900000000139698,1209505.880000000121072,1554127.429999999934807,1282692.479999999981374,10737511.210000000894070
FS( 92 ),1407344.300000000046566,1303108.850000000093132,1507621.209999999962747,1197895.000000000000000,1312649.819999999832362,1237393.340000000083819,1562081.209999999729916,1294185.929999999934807,10822279.659999998286366
FS( 93 ),1330863.020000000018626,1310932.250000000000000,1502590.580000000074506,1188516.100000000093132,1317027.100000000093132,1250764.040000000037253,1573593.260000000009313,1296229.209999999962747,10770515.560000002384186
FS( 94 ),1345004.090000000083819,1306569.200000000186265,1465258.010000000242144,1179137.199999999953434,1309093.280000000027940,1248853.939999999944121,1564383.619999999878928,1361103.349999999860302,10779402.689999999478459
FS( 95 ),1322697.050000000046566,1309126.850000000325963,1503384.890000000130385,1221342.250000000000000,1307451.800000000046566,1261842.620000000111759,1558941.560000000055879,1365445.320000000065193,10850232.340000001713634
FS( 96 ),1280672.179999999934807,1311684.500000000232831,1500737.190000000176951,1218737.000000000000000,1318395.000000000000000,1253056.159999999916181,1572337.400000000139698,1399159.439999999944121,10854778.869999999180436
FS( 97 ),1295609.929999999934807,1310029.550000000046566,1497295.179999999934807,1236973.750000000000000,1313470.559999999823049,1258022.420000000158325,1555383.290000000037253,1402735.179999999934807,10869519.859999999403954
FS( 98 ),1322099.540000000037253,1321614.200000000186265,1540717.459999999962747,1245310.550000000046566,1324140.179999999934807,1272921.199999999953434,1528800.920000000158325,1420869.290000000037253,10976473.339999999850988
FS( 99 ),1343809.070000000065193,1320260.150000000139698,1531185.739999999990687,1246352.650000000139698,1320310.059999999823049,1285145.840000000083819,1482752.719999999972060,1430064.050000000046566,10959880.280000001192093
FS( 100 ),1329867.169999999925494,1275125.150000000139698,1497030.410000000149012,1238536.900000000139698,1313470.559999999823049,1252674.140000000130385,1477101.349999999860302,1418059.780000000027940,10801865.459999999031425
FS( 101 ),1395991.610000000102445,1279337.750000000232831,1479555.590000000083819,1230721.150000000139698,1304442.419999999925494,1250764.040000000037253,1503265.099999999860302,1436193.889999999897555,10880271.550000000745058
FS( 102 ),1391609.870000000111759,1280541.350000000093132,1474789.730000000214204,1235410.600000000093132,1300338.719999999972060,1240067.479999999981374,1513730.599999999860302,1414739.449999999953434,10851227.799999998882413
FS( 103 ),1370099.510000000242144,1271363.900000000139698,1502855.350000000093132,1234889.550000000046566,1304168.840000000083819,1241977.580000000074506,1506614.060000000055879,1400947.310000000055879,10832916.100000001490116
FS( 104 ),1383443.899999999906868,1266850.400000000139698,1507885.980000000214204,1219779.100000000093132,1304442.419999999925494,1251910.100000000093132,1510381.639999999897555,1397882.389999999897555,10842575.930000001564622
FS( 105 ),1373485.399999999906868,1260832.400000000139698,1471347.719999999972060,1197373.949999999953434,1307451.800000000046566,1271011.100000000093132,1506823.369999999878928,1392263.369999999878928,10780589.109999997541308
FS( 106 ),1356555.949999999953434,1254814.400000000139698,1448047.959999999962747,1194247.650000000139698,1302527.359999999869615,1271393.120000000111759,1498869.589999999850988,1374129.259999999776483,10700585.290000000968575
FS( 107 ),1388423.149999999906868,1260230.600000000325963,1444605.950000000186265,1189558.199999999953434,1333441.900000000139698,1282853.719999999972060,1519172.659999999916181,1436449.300000000046566,10854735.480000000447035
FS( 108 ),1393004.060000000055879,1264894.550000000046566,1459168.300000000046566,1192684.500000000000000,1323319.439999999944121,1295842.400000000139698,1518963.349999999860302,1443856.189999999944121,10891732.789999999105930
FS( 109 ),1375477.100000000093132,1263390.050000000046566,1461816.000000000000000,1177574.050000000046566,1323045.859999999869615,1293550.280000000027940,1517916.799999999813735,1429297.820000000065193,10842067.960000000894070
FS( 110 ),1374282.080000000074506,1266850.400000000139698,1507885.980000000214204,1188516.100000000093132,1319489.319999999832362,1294314.320000000065193,1527754.369999999878928,1424955.849999999860302,10904048.419999999925494
FS( 111 ),1387825.640000000130385,1256770.250000000232831,1483791.910000000149012,1189558.199999999953434,1310187.600000000093132,1272157.159999999916181,1510590.949999999953434,1409631.250000000000000,10820512.960000000894070
FS( 112 ),1368506.149999999906868,1246539.650000000139698,1452549.050000000046566,1171321.449999999953434,1306357.479999999981374,1261078.580000000074506,1496148.560000000055879,1401202.719999999972060,10703703.640000000596046
FS( 113 ),1384439.750000000232831,1256619.800000000046566,1467640.940000000176951,1177053.000000000000000,1293225.640000000130385,1263370.699999999953434,1494055.459999999729916,1405033.869999999878928,10741439.160000000149012
FS( 114 ),1393203.230000000214204,1274824.250000000232831,1523242.640000000130385,1203626.550000000046566,1299244.400000000139698,1289730.080000000074506,1548476.060000000055879,1430319.459999999962747,10962666.670000001788139
FS( 115 ),1402165.880000000121072,1288063.850000000093132,1548660.560000000055879,1211963.350000000093132,1293772.800000000046566,1303864.820000000065193,1554546.049999999813735,1429297.820000000065193,11032335.130000000819564
FS( 116 ),1411327.699999999953434,1297542.199999999953434,1539128.840000000083819,1221863.300000000046566,1278999.479999999981374,1316089.460000000195578,1563965.000000000000000,1448198.160000000149012,11077114.140000000596046
FS( 117 ),1418896.159999999916181,1290170.150000000139698,1524566.489999999990687,1218737.000000000000000,1274075.040000000037253,1317617.540000000037253,1546173.650000000139698,1437981.759999999776483,11028217.789999999105930
FS( 118 ),1425867.110000000102445,1297993.550000000046566,1550778.719999999972060,1234889.550000000046566,1290489.840000000083819,1323347.840000000083819,1573802.569999999832362,1470929.650000000139698,11168098.830000000074506
FS( 119 ),1435427.270000000018626,1291674.650000000139698,1560575.209999999962747,1246352.650000000139698,1288848.359999999869615,1334044.400000000139698,1493846.150000000139698,1500812.619999999878928,11151581.310000000521541
FS( 120 ),1447974.980000000214204,1314091.700000000186265,1557662.739999999990687,1244268.449999999953434,1275169.359999999869615,1335572.479999999981374,1439216.239999999990687,1496470.650000000139698,11110426.600000001490116
FS( 121 ),1483427.240000000223517,1319507.900000000139698,1559516.130000000121072,1257815.750000000000000,1272433.559999999823049,1336718.540000000037253,1427494.879999999888241,1491107.040000000037253,11148021.039999999105930
FS( 122 ),1479244.669999999925494,1341624.050000000279397,1566664.920000000158325,1254168.400000000139698,1271339.239999999990687,1321055.719999999972060,1441309.339999999850988,1499024.750000000000000,11174431.089999999850988
FS( 123 ),1493584.909999999916181,1260230.600000000325963,1547336.709999999962747,1236973.750000000000000,1273801.459999999962747,1289730.080000000074506,1423517.989999999990687,1501578.849999999860302,11026754.349999999627471
FS( 124 ),1513501.909999999916181,1271815.250000000232831,1531715.280000000027940,1239057.950000000186265,1264499.739999999990687,1288202.000000000000000,1415145.589999999850988,1513327.709999999962747,11037265.429999999701977
FS( 125 ),1496572.460000000195578,1275426.050000000046566,1490146.390000000130385,1263026.250000000000000,1273254.300000000046566,1364988.020000000018626,1415354.900000000139698,1511795.250000000000000,11090563.620000001043081
FS( 126 ),1507725.980000000214204,1268054.000000000232831,1474789.730000000214204,1269278.850000000093132,1240698.280000000027940,1358875.699999999953434,1401121.819999999832362,1517414.269999999785796,11037958.630000000819564
FS( 127 ),1470082.850000000093132,1264894.550000000046566,1487763.459999999962747,1277615.650000000139698,1246990.619999999878928,1356965.600000000093132,1424983.159999999916181,1526353.619999999878928,11055649.509999999776483
FS( 128 ),1493584.909999999916181,1256168.449999999953434,1480349.899999999906868,1276573.550000000046566,1237688.900000000139698,1357729.640000000130385,1423517.989999999990687,1510007.379999999888241,11035620.719999998807907
FS( 129 ),1487211.470000000204891,1254212.600000000093132,1488293.000000000000000,1275010.399999999906868,1233585.200000000186265,1352763.379999999888241,1428750.739999999990687,1513072.300000000046566,11032899.090000001713634
FS( 130 ),1479643.010000000242144,1257672.950000000186265,1468700.020000000018626,1267715.699999999953434,1237415.319999999832362,1357347.620000000111759,1436495.209999999729916,1545764.780000000027940,11050754.609999999403954
FS( 131 ),1498763.330000000074506,1262186.450000000186265,1448047.959999999962747,1264068.350000000093132,1250820.739999999990687,1373010.439999999944121,1443193.129999999888241,1536314.609999999869615,11076405.009999997913837
