代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12323647.229999998584390
真實報酬,2323647.229999998584390

夏普值報酬,0.223664723000000
夏普值風險,0.071111201189059
夏普值,3.145281182993318

二次趨勢線,155.693114941228828 x^2 + 466.658844237096901 x + 10000000.000000000000000
二次平均預期報酬,20395.377556714382081
風險,61097.028277467768930
二次平均趨勢值,0.333819469321654
一次趨勢線,15354.584000028955415 x + 10000000.000000000000000
一次預期報酬,15354.584000028955415
一次風險,290019.713560784293804
一次趨勢值,0.052943242414488
找到最佳解世代,3454
找到最佳解實驗#,1
找到最佳解次數,47

stock[index](rank)
投資組合檔數,9
AXP[1](11),CAT[3](2),CSCO[4](1),HD[9](3),MCD[15](12),MSFT[18](5),UTX[24](13),WBA[27](29),WMT[28](9),
FS( 20 ),1113326.949999999953434,1130464.280000000027940,1107249.340000000083819,1122528.560000000055879,1151720.189999999944121,1114938.000000000000000,1077932.699999999953434,1111521.850000000093132,1077020.060000000055879,10006702.930000001564622
FS( 21 ),1113457.300000000046566,1139698.840000000083819,1105142.980000000214204,1111036.860000000102445,1149628.419999999925494,1118305.760000000009313,1109428.719999999972060,1115082.550000000279397,1087233.540000000037253,10049015.969999998807907
FS( 22 ),1116976.750000000000000,1154827.800000000046566,1123047.040000000037253,1112223.100000000093132,1150710.369999999878928,1133001.440000000176951,1117840.119999999878928,1120012.750000000232831,1084059.080000000074506,10112699.450000001117587
FS( 23 ),1122321.100000000093132,1154238.360000000102445,1130770.360000000102445,1111259.280000000027940,1153884.090000000083819,1144635.520000000018626,1118961.639999999897555,1116178.150000000139698,1077572.139999999897555,10129821.640000000596046
FS( 24 ),1122842.500000000000000,1161999.320000000065193,1133929.899999999906868,1118006.020000000018626,1152730.010000000009313,1131929.880000000121072,1102138.840000000083819,1112343.550000000046566,1081712.739999999990687,10117633.759999999776483
FS( 25 ),1112023.450000000186265,1162195.800000000046566,1110057.820000000065193,1133946.120000000111759,1147608.780000000027940,1126878.239999999990687,1039427.179999999934807,1115630.350000000093132,1101449.599999999860302,10049218.339999999850988
FS( 26 ),1110980.650000000139698,1149228.120000000111759,1118834.320000000065193,1160858.940000000176951,1141261.340000000083819,1123663.560000000288710,1024473.579999999958090,1119738.850000000325963,1105314.159999999916181,10054354.520000001415610
FS( 27 ),1100291.949999999953434,1156989.080000000074506,1114972.660000000149012,1171016.120000000111759,1153379.179999999934807,1138053.080000000074506,1027931.600000000093132,1116999.850000000093132,1105866.239999999990687,10085500.759999999776483
FS( 28 ),1098206.350000000093132,1157480.280000000027940,1105142.980000000214204,1183842.340000000083819,1152008.709999999962747,1132542.200000000186265,1023912.819999999948777,1114671.700000000186265,1088751.760000000009313,10056560.140000000596046
FS( 29 ),1116976.750000000000000,1167795.480000000214204,1130068.239999999990687,1174278.280000000027940,1165136.369999999878928,1144482.440000000176951,1024753.960000000079162,1126860.250000000232831,1091512.159999999916181,10141864.930000001564622
FS( 30 ),1128186.850000000093132,1188131.160000000149012,1137791.560000000055879,1185695.840000000083819,1127628.770000000018626,1143257.800000000279397,1026810.079999999958090,1133159.949999999953434,1098827.219999999972060,10169490.230000000447035
FS( 31 ),1129360.000000000000000,1175261.719999999972060,1129717.180000000167638,1186511.380000000121072,1132461.479999999981374,1151371.040000000037253,1030735.400000000023283,1133023.000000000232831,1102277.719999999972060,10170719.920000001788139
FS( 32 ),1123494.250000000000000,1183612.120000000111759,1130068.239999999990687,1181766.420000000158325,1132461.479999999981374,1144635.520000000018626,1057464.959999999962747,1123162.600000000325963,1099793.360000000102445,10176459.949999999254942
FS( 33 ),1133922.250000000000000,1192355.480000000214204,1138844.739999999990687,1174500.700000000186265,1131884.439999999944121,1152901.840000000083819,1056904.199999999953434,1129873.150000000139698,1109454.760000000009313,10220642.560000000521541
FS( 34 ),1145393.050000000046566,1216522.520000000018626,1141653.220000000204891,1170126.440000000176951,1130153.320000000065193,1150605.640000000130385,1054006.939999999944121,1131242.650000000139698,1104210.000000000000000,10243914.780000001192093
FS( 35 ),1160122.600000000093132,1225462.360000000102445,1140600.040000000270084,1169014.340000000083819,1135563.070000000065193,1154891.880000000121072,1062231.420000000158325,1112206.600000000093132,1104900.099999999860302,10264993.410000000149012
FS( 36 ),1152692.650000000139698,1226543.000000000000000,1144461.700000000186265,1176576.620000000111759,1153234.919999999925494,1147237.880000000121072,1066437.119999999878928,1079749.450000000186265,1111111.000000000000000,10258045.339999999850988
FS( 37 ),1152562.300000000046566,1225953.560000000055879,1147972.300000000279397,1180357.760000000009313,1147103.869999999878928,1136063.040000000037253,1070175.520000000018626,1070984.650000000139698,1104348.020000000018626,10235522.020000001415610
FS( 38 ),1152301.600000000093132,1222416.920000000158325,1171493.320000000065193,1186140.680000000167638,1146238.310000000055879,1139124.640000000130385,1074941.979999999981374,1073860.600000000093132,1097723.060000000055879,10264242.110000003129244
FS( 39 ),1149824.949999999953434,1221336.280000000027940,1183780.420000000158325,1194518.500000000000000,1127123.859999999869615,1121520.440000000176951,1068212.860000000102445,1081392.850000000093132,1092478.300000000046566,10240189.460000000894070
FS( 40 ),1156081.750000000000000,1223202.840000000083819,1185184.659999999916181,1195704.739999999990687,1106134.030000000027940,1121520.440000000176951,1072231.639999999897555,1083036.250000000000000,1095790.780000000027940,10238888.130000000819564
FS( 41 ),1166509.750000000000000,1223301.080000000074506,1175354.979999999981374,1193183.979999999981374,1111183.130000000121072,1130552.159999999916181,1095222.800000000046566,1070299.900000000139698,1094410.580000000074506,10260019.359999999403954
FS( 42 ),1174982.500000000000000,1230276.120000000111759,1170791.200000000186265,1203860.140000000130385,1135995.850000000093132,1130858.320000000065193,1082699.160000000149012,1061672.050000000046566,1089717.900000000139698,10280854.240000002086163
FS( 43 ),1179153.699999999953434,1225167.640000000130385,1180620.880000000121072,1212756.940000000176951,1130153.320000000065193,1140349.280000000027940,1084942.199999999953434,1057563.550000000046566,1078538.280000000027940,10289246.790000000968575
FS( 44 ),1180196.500000000232831,1225265.880000000121072,1184833.600000000093132,1216167.380000000121072,1132172.959999999962747,1142186.239999999990687,1098961.199999999953434,1049072.650000000139698,1082816.900000000139698,10311674.310000000521541
FS( 45 ),1191797.650000000139698,1233026.840000000083819,1188344.200000000186265,1224693.479999999981374,1131451.660000000149012,1136828.440000000176951,1100176.179999999934807,1051674.700000000186265,1093444.439999999944121,10351438.589999999850988
FS( 46 ),1186322.950000000186265,1245110.360000000102445,1173950.739999999990687,1225583.160000000149012,1133976.209999999962747,1143410.880000000121072,1099428.500000000000000,1038527.500000000116415,1091650.179999999934807,10337961.480000000447035
FS( 47 ),1188278.199999999953434,1241770.200000000186265,1179216.640000000130385,1231736.780000000027940,1145444.880000000121072,1163005.120000000111759,1104475.340000000083819,1053865.900000000139698,1096066.820000000065193,10403860.880000000819564
FS( 48 ),1193361.850000000093132,1246976.920000000158325,1184833.600000000093132,1229735.000000000000000,1151215.280000000027940,1163464.360000000102445,1105036.100000000093132,1002509.650000000139698,1090408.000000000000000,10367541.760000001639128
FS( 49 ),1195186.750000000000000,1246485.719999999972060,1185184.659999999916181,1228697.040000000037253,1154966.040000000037253,1167903.680000000167638,1108774.500000000000000,970600.300000000162981,1111525.060000000055879,10369324.750000001862645
FS( 50 ),1197793.750000000000000,1259355.160000000149012,1177812.399999999906868,1224619.340000000083819,1158284.020000000018626,1167903.680000000167638,1104008.040000000037253,956631.400000000023283,1161212.260000000009313,10407621.049999998882413
FS( 51 ),1198706.199999999953434,1263383.000000000000000,1179216.640000000130385,1225286.600000000093132,1176821.429999999934807,1169893.720000000204891,1100550.020000000018626,943895.050000000162981,1183295.459999999962747,10441049.120000001043081
FS( 52 ),1194143.950000000186265,1277038.360000000102445,1167631.659999999916181,1220393.360000000102445,1182303.310000000055879,1180609.320000000065193,1110550.239999999990687,944990.650000000139698,1188402.199999999953434,10466064.050000000745058
FS( 53 ),1210437.700000000186265,1284111.640000000130385,1175003.920000000158325,1219503.680000000167638,1192834.290000000037253,1186273.280000000027940,1109615.639999999897555,925269.850000000209548,1195579.239999999990687,10498630.240000002086163
FS( 54 ),1198706.199999999953434,1291577.880000000121072,1177461.340000000083819,1217650.180000000167638,1190237.609999999869615,1188722.560000000288710,1112325.979999999981374,921846.100000000209548,1183433.479999999981374,10481962.330000000074506
FS( 55 ),1195186.750000000000000,1282441.560000000055879,1179567.700000000186265,1211200.000000000000000,1193050.679999999934807,1187804.080000000074506,1115597.080000000074506,923078.650000000256114,1186745.959999999962747,10474673.460000000894070
FS( 56 ),1200270.400000000139698,1289809.560000000055879,1177812.399999999906868,1211941.399999999906868,1195719.489999999990687,1188110.239999999990687,1113914.800000000046566,927734.950000000069849,1190058.439999999944121,10495372.679999999701977
FS( 57 ),1197924.100000000093132,1292363.800000000279397,1184833.600000000093132,1210384.460000000195578,1200984.979999999981374,1192702.640000000130385,1116812.060000000055879,920339.650000000139698,1192542.800000000046566,10508889.090000003576279
FS( 58 ),1200400.750000000232831,1290497.240000000223517,1202386.600000000093132,1211793.120000000111759,1199542.380000000121072,1206479.840000000083819,1130270.300000000046566,932117.350000000209548,1206896.879999999888241,10580385.460000000894070
FS( 59 ),1204180.900000000139698,1293640.920000000158325,1205897.200000000186265,1221505.460000000195578,1178191.899999999906868,1206786.000000000000000,1129896.459999999962747,924585.100000000209548,1223597.300000000046566,10588282.240000000223517
FS( 60 ),1223472.700000000186265,1358086.360000000102445,1213971.580000000074506,1231069.520000000018626,1182086.919999999925494,1207245.239999999990687,1119148.560000000055879,921572.200000000186265,1214349.959999999962747,10671004.040000002831221
FS( 61 ),1219171.150000000139698,1344332.760000000242144,1204141.899999999906868,1231366.080000000074506,1179923.020000000018626,1203724.400000000139698,1112139.060000000055879,949920.850000000093132,1221250.959999999962747,10665971.179999999701977
FS( 62 ),1247326.750000000000000,1345315.160000000149012,1203088.720000000204891,1243080.200000000186265,1183024.609999999869615,1205714.440000000176951,1120924.300000000046566,919107.100000000093132,1223183.239999999990687,10690765.519999999552965
FS( 63 ),1248630.250000000232831,1353862.040000000037253,1208705.680000000167638,1240781.860000000102445,1192978.549999999813735,1283019.840000000083819,1112886.739999999990687,883089.250000000232831,1216972.340000000083819,10740927.549999998882413
FS( 64 ),1239245.050000000046566,1340894.360000000102445,1195014.340000000083819,1225731.440000000176951,1199037.469999999972060,1284244.480000000214204,1119989.699999999953434,907466.350000000209548,1200133.900000000139698,10711758.089999999850988
FS( 65 ),1245110.800000000046566,1334115.800000000279397,1198876.000000000000000,1229216.020000000018626,1203942.310000000055879,1273375.800000000279397,1119335.479999999981374,907603.300000000046566,1205102.620000000111759,10716679.130000002682209
FS( 66 ),1248630.250000000232831,1338929.560000000055879,1215375.820000000065193,1226250.420000000158325,1200047.290000000037253,1273375.800000000279397,1122700.040000000037253,917737.600000000209548,1213797.879999999888241,10756845.660000000149012
FS( 67 ),1251106.900000000139698,1340697.880000000121072,1200982.360000000102445,1206455.040000000037253,1212525.780000000027940,1286693.760000000009313,1135223.679999999934807,914587.750000000116415,1225667.599999999860302,10773941.750000000000000
FS( 68 ),1256972.650000000139698,1342269.719999999972060,1210109.920000000158325,1218910.560000000055879,1216492.929999999934807,1288071.480000000214204,1131578.739999999990687,915820.300000000162981,1237813.360000000102445,10818040.660000000149012
FS( 69 ),1255147.750000000232831,1352879.640000000130385,1208003.560000000055879,1217650.180000000167638,1226735.389999999897555,1293123.120000000111759,1125223.459999999962747,903083.950000000069849,1224287.400000000139698,10806135.450000001117587
FS( 70 ),1243155.550000000046566,1363686.040000000037253,1207652.500000000000000,1213498.340000000083819,1231784.489999999990687,1290061.520000000018626,1128588.020000000018626,930200.050000000162981,1227737.900000000139698,10836365.410000000149012
FS( 71 ),1240027.150000000139698,1348753.560000000055879,1211163.100000000093132,1216389.800000000279397,1226951.780000000027940,1294500.840000000083819,1124195.400000000139698,943621.150000000256114,1245818.520000000018626,10851422.300000000745058
FS( 72 ),1222038.850000000093132,1329596.760000000242144,1195365.399999999906868,1210606.880000000121072,1204591.479999999981374,1287306.080000000074506,1106344.540000000037253,952385.950000000186265,1246370.599999999860302,10754607.540000000968575
FS( 73 ),1219040.800000000046566,1340796.119999999878928,1193259.040000000270084,1216834.640000000130385,1194421.149999999906868,1283938.320000000065193,1103914.580000000074506,972243.700000000069849,1254927.840000000083819,10779377.189999999478459
FS( 74 ),1223994.100000000093132,1341287.320000000065193,1191854.800000000279397,1226028.000000000000000,1207260.290000000037253,1284856.800000000279397,1094194.739999999990687,963752.800000000162981,1255893.979999999981374,10789123.830000001937151
FS( 75 ),1222169.200000000186265,1351209.560000000055879,1195014.340000000083819,1246119.940000000176951,1212597.910000000149012,1286693.760000000009313,1110363.320000000065193,966765.700000000186265,1257274.179999999934807,10848208.910000000149012
FS( 76 ),1215651.700000000186265,1317415.000000000000000,1197471.760000000009313,1226917.680000000167638,1206899.639999999897555,1270314.200000000186265,1098867.739999999990687,961424.650000000139698,1239883.659999999916181,10734847.030000001192093
FS( 77 ),1219562.200000000186265,1339617.240000000223517,1259609.380000000121072,1241968.100000000093132,1212453.649999999906868,1273681.960000000195578,1101858.459999999962747,976489.150000000139698,1375005.239999999990687,11000246.380000000819564
FS( 78 ),1221256.750000000000000,1337357.719999999972060,1260311.500000000000000,1243747.460000000195578,1202571.840000000083819,1261435.560000000288710,1089147.900000000139698,975804.400000000139698,1345330.939999999944121,10936965.070000000298023
FS( 79 ),1224645.850000000093132,1345020.439999999944121,1281375.100000000093132,1263839.399999999906868,1204086.570000000065193,1263425.600000000093132,1087746.000000000000000,969367.750000000116415,1345468.959999999962747,10984976.670000001788139
FS( 80 ),1230641.949999999953434,1351799.000000000000000,1286641.000000000000000,1281707.140000000130385,1213968.380000000121072,1281642.120000000111759,1093914.360000000102445,974571.850000000093132,1332219.040000000037253,11047105.839999999850988
FS( 81 ),1222951.300000000046566,1355826.840000000083819,1279619.800000000279397,1275775.940000000176951,1219378.130000000121072,1272304.239999999990687,1091017.100000000093132,976900.000000000116415,1330700.820000000065193,11024475.170000001788139
FS( 82 ),1218519.400000000139698,1349735.959999999962747,1281024.040000000270084,1277777.720000000204891,1219810.910000000149012,1274600.440000000176951,1092699.379999999888241,962520.250000000116415,1333599.239999999990687,11010288.340000001713634
FS( 83 ),1218389.050000000046566,1347771.160000000149012,1294364.320000000065193,1291345.340000000083819,1218728.959999999962747,1283938.320000000065193,1094662.040000000037253,950331.700000000186265,1333599.239999999990687,11033131.130000000819564
FS( 84 ),1241982.400000000139698,1365454.360000000102445,1324555.479999999981374,1309213.080000000074506,1235895.899999999906868,1299399.400000000139698,1100176.179999999934807,989362.450000000069849,1335669.540000000037253,11201709.789999999105930
FS( 85 ),1259188.600000000093132,1356318.040000000037253,1315778.979999999981374,1314254.600000000093132,1229332.070000000065193,1275825.080000000074506,1104381.879999999888241,984980.050000000162981,1346573.120000000111759,11186633.420000001788139
FS( 86 ),1273657.449999999953434,1386674.200000000186265,1309459.899999999906868,1333308.580000000074506,1240440.090000000083819,1288530.720000000204891,1135130.219999999972060,996483.850000000209548,1342018.459999999962747,11305704.470000002533197
FS( 87 ),1275612.700000000186265,1390309.080000000307336,1319991.700000000186265,1337756.979999999981374,1246931.790000000037253,1289908.440000000176951,1122700.040000000037253,978543.400000000139698,1343674.699999999953434,11305429.830000000074506
FS( 88 ),1285128.250000000232831,1390112.600000000093132,1324204.420000000158325,1370971.700000000186265,1230918.929999999934807,1241229.000000000000000,1121952.360000000102445,980186.800000000046566,1338982.020000000018626,11283687.080000000074506
FS( 89 ),1286692.449999999953434,1376751.959999999962747,1309810.960000000195578,1355773.000000000000000,1247797.350000000093132,1249036.080000000074506,1124288.860000000102445,961150.750000000232831,1350299.659999999916181,11261602.070000000298023
FS( 90 ),1280174.949999999953434,1378716.760000000242144,1313321.560000000055879,1340574.300000000279397,1251331.719999999972060,1267252.600000000093132,1132793.719999999972060,973065.400000000139698,1342708.560000000055879,11279940.570000002160668
FS( 91 ),1284997.900000000139698,1403767.959999999962747,1312970.500000000000000,1349471.100000000093132,1247220.310000000055879,1262813.280000000027940,1144008.920000000158325,953344.600000000093132,1335807.560000000055879,11294403.130000002682209
FS( 92 ),1284606.850000000093132,1413297.240000000223517,1320342.760000000009313,1359924.840000000083819,1248951.429999999934807,1288377.640000000130385,1147840.780000000027940,979912.900000000139698,1332633.099999999860302,11375888.539999999105930
FS( 93 ),1290472.600000000093132,1412413.080000000307336,1332629.860000000102445,1351324.600000000093132,1249672.729999999981374,1304757.200000000186265,1152420.320000000065193,984432.250000000116415,1337877.860000000102445,11416001.500000000000000
FS( 94 ),1295295.550000000046566,1408974.679999999934807,1330874.560000000055879,1347988.300000000279397,1242315.469999999972060,1310115.000000000000000,1154102.600000000093132,986212.600000000209548,1334703.400000000139698,11410583.160000000149012
FS( 95 ),1274569.900000000139698,1459568.280000000027940,1339300.000000000000000,1357107.520000000018626,1251836.630000000121072,1306594.159999999916181,1161766.320000000065193,982241.050000000162981,1349333.520000000018626,11482318.380000000819564
FS( 96 ),1266357.850000000093132,1437071.320000000065193,1330523.500000000000000,1350434.920000000158325,1248879.299999999813735,1296490.880000000121072,1156719.479999999981374,963615.850000000093132,1340638.260000000009313,11390732.359999999403954
FS( 97 ),1284215.800000000046566,1441099.160000000149012,1340704.239999999990687,1353771.220000000204891,1255515.260000000009313,1329556.159999999916181,1179243.340000000083819,985253.950000000069849,1340362.219999999972060,11509722.349999999627471
FS( 98 ),1299336.400000000139698,1471357.080000000307336,1350884.979999999981374,1369711.320000000065193,1256525.079999999841675,1322361.400000000139698,1184290.179999999934807,993607.900000000139698,1351265.800000000046566,11599341.140000002458692
FS( 99 ),1292427.850000000093132,1482556.439999999944121,1344565.899999999906868,1378978.820000000065193,1250682.549999999813735,1313942.000000000000000,1184944.400000000139698,988677.700000000069849,1363687.599999999860302,11600464.259999997913837
FS( 100 ),1284085.450000000186265,1498373.080000000307336,1360012.540000000270084,1388839.440000000176951,1241882.689999999944121,1309196.520000000018626,1187000.520000000018626,995936.050000000162981,1362997.500000000000000,11628324.790000000968575
FS( 101 ),1283955.100000000093132,1519199.959999999962747,1352640.280000000027940,1394548.220000000204891,1239574.530000000027940,1308890.360000000102445,1189897.780000000027940,1003194.400000000139698,1353474.120000000111759,11645375.750000000000000
FS( 102 ),1287083.500000000000000,1530104.600000000093132,1353342.399999999906868,1394918.920000000158325,1236472.939999999944121,1309043.440000000176951,1189150.100000000093132,995799.100000000093132,1355544.419999999925494,11651460.419999999925494
FS( 103 ),1284867.550000000046566,1536883.160000000149012,1350884.979999999981374,1411452.140000000130385,1235535.250000000000000,1307359.560000000288710,1188308.959999999962747,1003879.150000000139698,1368656.320000000065193,11687828.070000002160668
FS( 104 ),1292167.150000000139698,1547493.080000000307336,1353693.460000000195578,1410191.760000000009313,1245489.189999999944121,1312105.040000000037253,1192421.199999999953434,997853.350000000093132,1370036.520000000018626,11721451.750000000000000
FS( 105 ),1299597.100000000093132,1556334.679999999934807,1354746.640000000130385,1407152.020000000018626,1248590.780000000027940,1312258.120000000111759,1197468.040000000037253,998948.950000000069849,1371968.800000000046566,11747066.129999998956919
FS( 106 ),1294513.450000000186265,1548082.520000000251457,1344565.899999999906868,1405298.520000000018626,1241522.040000000037253,1309502.680000000167638,1192327.739999999990687,994566.550000000162981,1362997.500000000000000,11693377.900000002235174
FS( 107 ),1289690.500000000000000,1542777.560000000055879,1364225.260000000009313,1394177.520000000018626,1249456.340000000083819,1315778.960000000195578,1197841.879999999888241,1026475.900000000139698,1360789.179999999934807,11741214.099999999627471
FS( 108 ),1297641.850000000093132,1545135.320000000065193,1375108.120000000111759,1401443.239999999990687,1244190.850000000093132,1321902.159999999916181,1215412.359999999869615,1034145.100000000209548,1372658.900000000139698,11807638.900000000372529
FS( 109 ),1314587.350000000093132,1566355.160000000149012,1368789.040000000270084,1412564.239999999990687,1252918.579999999841675,1333536.239999999990687,1219244.219999999972060,980597.650000000023283,1373901.080000000074506,11822494.560000002384186
FS( 110 ),1317585.400000000139698,1591111.640000000130385,1387746.280000000027940,1427318.100000000093132,1255443.130000000121072,1350068.880000000121072,1229711.739999999990687,998675.050000000162981,1382044.260000000009313,11939705.480000000447035
FS( 111 ),1305462.850000000093132,1631095.320000000065193,1402139.739999999990687,1423907.660000000149012,1254577.570000000065193,1351446.600000000093132,1241394.239999999990687,1011411.400000000023283,1402471.219999999972060,12023907.600000001490116
FS( 112 ),1310285.800000000046566,1635024.920000000158325,1393363.239999999990687,1431766.500000000000000,1251764.500000000000000,1350528.120000000111759,1254945.940000000176951,1005522.550000000162981,1385632.780000000027940,12018835.349999999627471
FS( 113 ),1319410.300000000046566,1629523.480000000214204,1401086.560000000055879,1422128.300000000279397,1251548.109999999869615,1344404.919999999925494,1260833.920000000158325,1014561.250000000116415,1375695.340000000083819,12019193.179999999701977
FS( 114 ),1313023.150000000139698,1662237.399999999906868,1407756.700000000186265,1443480.620000000111759,1250682.549999999813735,1348385.000000000000000,1261675.060000000055879,1032364.750000000116415,1380526.040000000037253,12100132.269999999552965
FS( 115 ),1316151.550000000046566,1673043.800000000279397,1434788.320000000065193,1456380.979999999981374,1251980.889999999897555,1371653.159999999916181,1276535.200000000186265,1041814.300000000046566,1392257.739999999990687,12214606.939999999478459
FS( 116 ),1307939.500000000232831,1663318.040000000037253,1423203.340000000083819,1455565.440000000176951,1252774.320000000065193,1352518.159999999916181,1252142.139999999897555,1041266.500000000116415,1389773.379999999888241,12138501.820000000298023
FS( 117 ),1313414.200000000186265,1655360.600000000093132,1446373.300000000279397,1481588.580000000074506,1262151.219999999972060,1379919.480000000214204,1256347.839999999850988,1037842.750000000116415,1417515.400000000139698,12250514.370000001043081
FS( 118 ),1301682.700000000186265,1658602.520000000251457,1449883.899999999906868,1470541.720000000204891,1259193.889999999897555,1379307.159999999916181,1258123.580000000074506,1040855.650000000139698,1439598.599999999860302,12257790.720000000670552
FS( 119 ),1277828.650000000139698,1674124.439999999944121,1449532.840000000083819,1492783.720000000204891,1270374.040000000037253,1377776.360000000102445,1270179.920000000158325,1047292.300000000162981,1443601.179999999934807,12303494.450000001117587
