代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11463503.059999998658895
真實報酬,1463503.059999998658895

夏普值報酬,0.137650306000000
夏普值風險,0.046054514049246
夏普值,2.988855899180958

二次趨勢線,108.191031810492746 x^2 + -1959.587440940836132 x + 10000000.000000000000000
二次平均預期報酬,12105.246694423221925
風險,83449.184194066096097
二次平均趨勢值,0.145061294622986
一次趨勢線,8548.309876406437979 x + 10000000.000000000000000
一次預期報酬,8548.309876406437979
一次風險,219700.476043635775568
一次趨勢值,0.038908927419477
找到最佳解世代,3222
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
AAPL[0](10),BA[2](2),JNJ[12](9),PFE[20](20),UNH[23](3),V[25](1),
FS( 7 ),1653432.580000000307336,1636398.919999999925494,1694789.040000000037253,1648750.229999999748543,1667360.679999999934807,1668913.360000000102445,9969648.809999998658895
FS( 8 ),1658916.699999999953434,1619452.979999999981374,1698287.600000000093132,1651655.489999999990687,1686910.959999999729916,1680524.720000000204891,9995752.449999999254942
FS( 9 ),1659632.020000000018626,1622624.680000000167638,1704611.920000000158325,1651655.489999999990687,1689193.479999999981374,1687641.360000000102445,10015362.949999999254942
FS( 10 ),1657128.400000000139698,1619724.840000000083819,1709590.640000000130385,1656981.799999999813735,1677780.879999999888241,1677153.679999999934807,9998364.240000000223517
FS( 11 ),1674653.740000000223517,1619543.600000000093132,1735291.600000000093132,1676834.410000000149012,1704774.159999999916181,1684083.040000000037253,10095184.550000000745058
FS( 12 ),1677395.800000000046566,1614831.360000000102445,1728563.600000000093132,1667150.209999999962747,1700010.640000000130385,1686330.400000000139698,10074286.009999999776483
FS( 13 ),1669050.400000000139698,1632139.780000000027940,1723181.200000000186265,1661823.899999999906868,1684132.239999999757856,1690076.000000000000000,10060407.520000001415610
FS( 14 ),1686575.740000000223517,1625705.760000000009313,1723315.760000000009313,1664729.160000000149012,1667261.439999999944121,1670224.320000000065193,10037816.179999999701977
FS( 15 ),1667262.100000000093132,1594623.100000000093132,1712281.840000000083819,1658434.429999999934807,1664284.239999999757856,1649248.959999999962747,9946138.669999998062849
FS( 16 ),1686098.859999999869615,1603866.340000000083819,1698960.400000000139698,1669087.049999999813735,1657635.159999999916181,1657863.839999999850988,9973515.650000000372529
FS( 17 ),1680137.859999999869615,1606403.699999999953434,1694116.240000000223517,1660371.269999999785796,1640367.399999999906868,1664231.360000000102445,9945631.829999998211861
FS( 18 ),1676799.699999999953434,1593354.419999999925494,1688464.720000000204891,1646329.179999999934807,1637489.439999999944121,1670411.600000000093132,9912853.059999998658895
FS( 19 ),1679660.979999999981374,1595891.780000000027940,1692770.640000000130385,1655044.959999999962747,1633519.839999999850988,1665916.880000000121072,9922809.080000000074506
FS( 20 ),1714473.220000000204891,1607309.900000000139698,1690886.800000000046566,1654076.539999999804422,1640962.839999999850988,1669100.640000000130385,9976813.939999999478459
FS( 21 ),1718288.260000000242144,1609756.640000000130385,1680929.360000000102445,1662308.109999999869615,1622008.000000000000000,1670224.320000000065193,9963518.690000001341105
FS( 22 ),1716023.080000000307336,1612928.340000000083819,1677430.800000000046566,1663276.530000000027940,1637390.199999999953434,1667040.560000000055879,9974093.510000001639128
FS( 23 ),1712804.140000000130385,1602778.900000000139698,1675950.640000000130385,1656497.590000000083819,1627664.679999999934807,1664418.640000000130385,9940118.589999999850988
FS( 24 ),1713281.020000000018626,1600875.880000000121072,1677834.479999999981374,1657950.219999999972060,1643344.600000000093132,1673595.360000000102445,9966885.560000000521541
FS( 25 ),1726037.560000000288710,1619452.979999999981374,1677699.920000000158325,1662792.320000000065193,1637191.719999999972060,1662733.120000000111759,9985911.620000001043081
FS( 26 ),1717096.060000000288710,1604772.540000000270084,1679314.640000000130385,1655529.169999999925494,1641161.320000000065193,1667415.120000000111759,9965292.850000001490116
FS( 27 ),1712804.140000000130385,1607400.520000000018626,1682678.640000000130385,1651655.489999999990687,1640863.600000000093132,1668538.800000000046566,9963945.190000001341105
FS( 28 ),1708989.100000000093132,1620812.280000000027940,1680929.360000000102445,1651171.280000000027940,1647611.920000000158325,1661984.000000000000000,9971501.940000001341105
FS( 29 ),1706962.359999999869615,1609122.300000000046566,1673124.880000000121072,1648266.019999999785796,1642252.959999999729916,1664231.360000000102445,9943963.879999998956919
FS( 30 ),1688602.479999999981374,1618274.919999999925494,1671510.160000000149012,1642939.709999999962747,1645726.360000000102445,1664044.079999999841675,9931101.710000000894070
FS( 31 ),1690629.220000000204891,1595438.680000000167638,1687388.240000000223517,1642455.500000000000000,1643046.879999999888241,1660860.320000000065193,9919822.839999999850988
FS( 32 ),1681687.720000000204891,1591542.020000000018626,1681871.280000000027940,1640518.660000000149012,1637092.479999999981374,1664418.640000000130385,9897134.800000000745058
FS( 33 ),1690986.880000000353903,1622352.820000000065193,1691694.160000000149012,1646329.179999999934807,1659123.760000000009313,1682022.959999999962747,9992513.759999999776483
FS( 34 ),1683476.020000000018626,1611750.280000000027940,1639215.760000000009313,1638581.820000000065193,1673116.600000000093132,1680524.720000000204891,9926669.200000001117587
FS( 35 ),1677276.580000000307336,1616734.380000000121072,1633160.560000000055879,1627444.989999999990687,1679666.439999999944121,1680899.280000000027940,9915186.230000000447035
FS( 36 ),1698259.300000000046566,1624890.180000000167638,1639888.560000000055879,1633739.719999999972060,1702392.399999999906868,1707118.480000000214204,10006292.640000000596046
FS( 37 ),1696232.560000000288710,1634677.140000000130385,1638408.400000000139698,1628897.619999999878928,1698621.279999999795109,1707118.480000000214204,10003959.480000000447035
FS( 38 ),1712565.699999999953434,1649901.300000000046566,1653613.680000000167638,1633739.719999999972060,1710232.360000000102445,1720228.079999999841675,10080284.839999999850988
FS( 39 ),1723176.280000000027940,1663041.199999999953434,1660879.920000000158325,1634708.139999999897555,1727202.399999999906868,1725097.360000000102445,10134109.299999998882413
FS( 40 ),1713042.580000000307336,1646729.600000000093132,1661956.400000000139698,1639066.030000000027940,1730576.559999999823049,1719666.239999999990687,10111041.410000002011657
FS( 41 ),1714354.000000000000000,1660413.219999999972060,1665051.280000000027940,1639550.239999999990687,1733057.559999999823049,1715546.079999999841675,10127976.380000000819564
FS( 42 ),1712684.920000000158325,1675003.040000000270084,1661418.160000000149012,1642455.500000000000000,1735538.559999999823049,1708429.439999999944121,10135533.620000001043081
FS( 43 ),1747616.380000000353903,1652891.760000000009313,1659668.880000000121072,1635676.560000000055879,1732660.600000000093132,1709178.560000000055879,10137696.740000000223517
FS( 44 ),1758703.840000000083819,1662406.860000000102445,1664513.040000000037253,1627444.989999999990687,1728194.799999999813735,1733150.400000000139698,10174417.930000001564622
FS( 45 ),1753338.940000000176951,1661953.760000000009313,1659534.320000000065193,1620666.049999999813735,1712316.399999999906868,1731277.600000000093132,10139091.070000000298023
FS( 46 ),1747020.280000000027940,1659053.919999999925494,1667877.040000000037253,1619697.630000000121072,1727003.920000000158325,1734648.640000000130385,10155305.430000001564622
FS( 47 ),1775990.740000000223517,1676634.199999999953434,1661956.400000000139698,1621150.259999999776483,1727996.320000000065193,1724722.800000000046566,10188454.720000000670552
FS( 48 ),1824274.840000000083819,1685786.820000000065193,1658457.840000000083819,1619697.630000000121072,1731172.000000000000000,1721539.040000000037253,10240932.169999998062849
FS( 49 ),1835958.400000000139698,1693852.000000000000000,1657919.600000000093132,1616308.160000000149012,1719263.199999999953434,1723037.280000000027940,10246342.639999998733401
FS( 50 ),1827255.340000000083819,1660050.740000000223517,1652537.200000000186265,1599360.810000000055879,1720751.799999999813735,1727719.280000000027940,10187679.169999999925494
FS( 51 ),1835481.520000000018626,1666937.860000000102445,1657785.040000000037253,1599845.019999999785796,1720057.119999999878928,1724910.079999999841675,10205020.639999998733401
FS( 52 ),1861113.820000000065193,1660685.080000000074506,1663705.680000000167638,1598392.389999999897555,1705071.879999999888241,1736708.720000000204891,10225681.570000000298023
FS( 53 ),1856345.020000000018626,1652891.760000000009313,1708783.280000000027940,1603718.699999999720603,1702293.159999999916181,1746072.720000000204891,10270108.640000000596046
FS( 54 ),1853602.960000000195578,1655700.979999999981374,1719278.959999999962747,1578539.780000000027940,1668452.320000000065193,1744574.480000000214204,10220153.480000000447035
FS( 55 ),1791370.120000000111759,1620177.940000000176951,1704477.360000000102445,1560624.009999999776483,1675796.080000000074506,1718542.560000000055879,10070992.070000000298023
FS( 56 ),1818671.500000000000000,1607672.380000000121072,1708514.160000000149012,1560139.799999999813735,1701499.239999999757856,1717606.159999999916181,10114107.240000000223517
FS( 57 ),1824870.940000000176951,1638120.699999999953434,1708917.840000000083819,1571760.840000000083819,1712812.600000000093132,1732026.720000000204891,10188513.640000000596046
FS( 58 ),1835958.400000000139698,1664491.119999999878928,1712416.400000000139698,1555297.699999999720603,1733752.239999999757856,1747570.959999999962747,10249490.820000000298023
FS( 59 ),1833693.220000000204891,1662859.960000000195578,1715914.959999999962747,1556266.119999999878928,1738912.719999999972060,1757871.360000000102445,10265522.339999999850988
FS( 60 ),1828209.100000000093132,1678809.080000000074506,1715780.400000000139698,1551908.229999999748543,1742584.600000000093132,1775662.959999999962747,10292958.370000001043081
FS( 61 ),1834527.760000000242144,1695301.919999999925494,1716049.520000000018626,1557234.539999999804422,1766997.640000000130385,1779970.400000000139698,10350085.780000001192093
FS( 62 ),1831428.040000000270084,1690952.160000000149012,1707841.360000000102445,1556266.119999999878928,1761539.439999999944121,1773041.040000000037253,10321072.160000000149012
FS( 63 ),1832143.359999999869615,1693580.140000000130385,1710398.000000000000000,1555781.910000000149012,1752508.600000000093132,1773977.439999999944121,10318393.449999999254942
FS( 64 ),1821294.340000000083819,1700376.640000000130385,1725737.840000000083819,1580960.829999999841675,1738515.760000000009313,1783528.720000000204891,10350418.130000000819564
FS( 65 ),1826301.580000000307336,1697567.419999999925494,1732869.520000000018626,1583866.090000000083819,1782181.360000000102445,1786712.480000000214204,10409502.449999999254942
FS( 66 ),1853364.520000000018626,1723937.840000000083819,1750362.320000000298023,1575634.519999999785796,1780295.799999999813735,1800758.480000000214204,10484357.480000000447035
FS( 67 ),1835243.080000000307336,1712338.479999999981374,1754130.000000000232831,1566434.530000000027940,1780097.320000000065193,1808249.679999999934807,10456497.089999999850988
FS( 68 ),1841442.520000000018626,1692402.080000000074506,1760454.320000000298023,1552876.649999999906868,1794487.119999999878928,1794016.400000000139698,10435683.089999999850988
FS( 69 ),1852410.760000000242144,1704635.780000000027940,1759377.840000000083819,1549487.179999999934807,1818205.479999999981374,1799634.800000000046566,10483755.839999999850988
FS( 70 ),1847880.400000000139698,1721219.240000000223517,1756686.640000000130385,1537381.929999999934807,1803121.000000000000000,1799634.800000000046566,10465928.010000001639128
FS( 71 ),1776229.179999999934807,1722125.440000000176951,1769873.520000000018626,1586771.350000000093132,1800838.479999999981374,1770980.959999999962747,10426822.929999999701977
FS( 72 ),1733786.859999999869615,1721853.580000000074506,1773775.760000000009313,1583381.880000000121072,1778906.439999999944121,1751129.280000000027940,10342837.799999998882413
FS( 73 ),1747735.600000000093132,1731731.160000000149012,1776466.960000000195578,1577571.359999999869615,1796769.640000000130385,1780719.520000000018626,10410998.240000000223517
FS( 74 ),1730687.140000000130385,1743421.140000000130385,1786558.960000000195578,1582897.669999999925494,1809770.080000000074506,1785214.239999999990687,10438553.230000000447035
FS( 75 ),1720315.000000000000000,1771241.479999999981374,1790192.080000000074506,1588708.189999999944121,1790120.559999999823049,1763677.040000000037253,10424258.350000001490116
FS( 76 ),1696232.560000000288710,1780212.860000000102445,1807819.439999999944121,1596455.549999999813735,1802525.559999999823049,1763677.040000000037253,10446927.010000001639128
FS( 77 ),1744755.100000000093132,1804136.540000000270084,1804051.760000000009313,1608560.799999999813735,1816319.920000000158325,1775288.400000000139698,10553116.520000001415610
FS( 78 ),1728898.840000000083819,1797340.040000000270084,1806070.160000000149012,1625023.939999999944121,1818800.920000000158325,1767609.919999999925494,10543747.820000000298023
FS( 79 ),1739151.760000000242144,1804952.119999999878928,1815354.800000000046566,1640518.660000000149012,1835175.519999999785796,1770606.400000000139698,10605763.259999999776483
FS( 80 ),1736290.479999999981374,1807398.860000000102445,1830694.640000000130385,1649234.439999999944121,1850855.439999999944121,1759556.880000000121072,10634034.740000000223517
FS( 81 ),1744039.780000000027940,1832681.840000000083819,1835807.920000000158325,1654560.750000000000000,1838450.439999999944121,1790083.520000000018626,10695628.250000000000000
FS( 82 ),1738555.659999999916181,1812292.340000000083819,1834596.880000000121072,1648266.019999999785796,1837160.320000000065193,1783341.439999999944121,10654216.659999998286366
FS( 83 ),1713638.679999999934807,1802414.760000000009313,1816700.399999999906868,1635192.350000000093132,1831999.839999999850988,1777348.480000000214204,10577298.509999999776483
FS( 84 ),1738674.880000000353903,1809030.020000000018626,1800687.760000000009313,1634223.929999999934807,1842916.239999999757856,1802256.720000000204891,10627793.550000000745058
FS( 85 ),1713042.580000000307336,1789456.100000000093132,1784809.679999999934807,1628413.410000000149012,1838648.920000000158325,1768359.040000000037253,10522733.730000000447035
FS( 86 ),1717096.060000000288710,1792084.080000000074506,1780100.080000000074506,1626476.570000000065193,1840137.519999999785796,1756373.120000000111759,10512271.429999999701977
FS( 87 ),1710896.620000000111759,1799696.160000000149012,1788308.240000000223517,1637613.399999999906868,1852344.040000000037253,1748320.079999999841675,10537182.540000000968575
FS( 88 ),1717930.600000000093132,1828875.800000000046566,1798265.679999999934807,1628897.619999999878928,1868222.439999999944121,1760680.560000000055879,10602876.700000001117587
FS( 89 ),1701716.679999999934807,1825885.340000000083819,1783194.960000000195578,1608560.799999999813735,1855222.000000000000000,1746447.280000000027940,10521031.060000000521541
FS( 90 ),1719003.580000000307336,1833950.520000000018626,1783464.080000000074506,1614855.530000000027940,1865344.479999999981374,1758995.040000000037253,10575617.230000000447035
FS( 91 ),1729494.940000000176951,1848359.100000000093132,1770142.640000000130385,1617760.789999999804422,1855321.239999999757856,1780906.800000000046566,10601989.509999999776483
FS( 92 ),1735098.280000000027940,1869292.320000000065193,1765836.719999999972060,1606139.750000000000000,1845397.239999999757856,1786899.760000000009313,10608668.070000000298023
FS( 93 ),1737601.900000000139698,1870832.860000000102445,1779292.719999999972060,1608560.799999999813735,1852741.000000000000000,1801320.320000000065193,10650353.600000001490116
FS( 94 ),1761803.560000000288710,1868929.840000000083819,1774314.000000000232831,1611466.060000000055879,1840732.959999999729916,1796825.600000000093132,10654076.019999999552965
FS( 95 ),1776944.500000000000000,1889591.199999999953434,1784271.439999999944121,1618729.209999999962747,1854825.040000000037253,1815366.320000000065193,10739731.710000000894070
FS( 96 ),1783143.940000000176951,1894031.580000000074506,1778216.240000000223517,1610013.429999999934807,1849366.839999999850988,1813493.520000000018626,10728269.550000000745058
FS( 97 ),1789343.380000000353903,1887144.460000000195578,1809299.600000000093132,1615339.739999999990687,1854328.839999999850988,1827539.520000000018626,10782999.540000000968575
FS( 98 ),1800550.060000000288710,1911068.140000000130385,1819391.600000000093132,1627929.199999999720603,1877551.000000000000000,1840087.280000000027940,10876581.279999999329448
FS( 99 ),1792443.100000000093132,1905630.940000000176951,1837691.760000000009313,1624055.519999999785796,1900475.439999999944121,1837465.360000000102445,10897766.119999999180436
FS( 100 ),1791608.560000000288710,1922486.260000000009313,1820737.200000000186265,1621150.259999999776483,1903254.159999999916181,1865370.079999999841675,10924610.519999999552965
FS( 101 ),1813306.600000000093132,1922848.740000000223517,1789788.399999999906868,1613402.899999999906868,1894421.799999999813735,1879790.640000000130385,10913563.080000001937151
FS( 102 ),1821055.900000000139698,1925386.100000000093132,1774583.120000000111759,1602750.280000000027940,1889559.040000000037253,1872674.000000000000000,10886012.440000001341105
FS( 103 ),1829639.740000000223517,2115597.479999999981374,1762069.040000000037253,1592581.869999999878928,1893032.439999999944121,1888780.079999999841675,11081704.650000000372529
FS( 104 ),1795065.940000000176951,2184015.580000000074506,1760454.320000000298023,1597908.179999999934807,1874970.760000000009313,1864808.239999999990687,11077227.020000001415610
FS( 105 ),1782428.620000000111759,2186462.320000000298023,1774179.439999999944121,1605171.329999999841675,1897002.040000000037253,1856942.480000000214204,11102190.230000000447035
FS( 106 ),1773248.679999999934807,2197246.100000000093132,1785886.160000000149012,1605655.539999999804422,1903551.879999999888241,1864620.959999999962747,11130213.320000000298023
FS( 107 ),1788985.720000000204891,2169878.859999999869615,1783060.399999999906868,1601781.859999999869615,1907719.959999999729916,1889154.640000000130385,11140585.439999999478459
FS( 108 ),1873512.699999999953434,2156376.479999999981374,1778350.800000000046566,1594034.500000000000000,1915361.439999999944121,1896833.120000000111759,11214473.039999999105930
FS( 109 ),1854795.159999999916181,2159095.080000000074506,1794363.439999999944121,1618729.209999999962747,1932926.920000000158325,1883910.800000000046566,11243824.610000001266599
FS( 110 ),1864571.199999999953434,2154201.600000000093132,1792075.920000000158325,1628897.619999999878928,1934018.559999999823049,1889529.199999999953434,11263298.099999999627471
FS( 111 ),1893422.440000000176951,2177037.839999999850988,1787770.000000000232831,1612918.689999999944121,1933026.159999999916181,1900766.000000000000000,11304945.130000000819564
FS( 112 ),1908563.380000000353903,2170422.580000000074506,1779830.960000000195578,1611466.060000000055879,1934217.040000000037253,1896833.120000000111759,11301337.140000000596046
FS( 113 ),1920246.940000000176951,2123390.800000000279397,1792748.719999999972060,1619697.630000000121072,1933522.360000000102445,1891027.439999999944121,11280637.889999998733401
FS( 114 ),1851814.659999999916181,2110432.140000000130385,1790864.880000000121072,1618245.000000000000000,1911094.119999999878928,1863310.000000000000000,11145764.799999998882413
FS( 115 ),1877566.179999999934807,2128556.140000000130385,1790999.439999999944121,1610013.429999999934807,1915559.920000000158325,1874546.800000000046566,11197245.910000000149012
FS( 116 ),1905821.320000000065193,2149126.880000000353903,1796112.719999999972060,1612918.689999999944121,1922407.479999999981374,1907882.640000000130385,11294273.730000000447035
FS( 117 ),1926684.820000000065193,2167432.120000000111759,1794767.120000000111759,1616308.160000000149012,1930247.439999999944121,1922115.919999999925494,11357559.580000000074506
FS( 118 ),1918935.520000000018626,2153114.160000000149012,1805397.359999999869615,1615339.739999999990687,1923002.920000000158325,1935038.239999999990687,11350831.940000001341105
FS( 119 ),1882096.540000000270084,2134990.160000000149012,1790192.080000000074506,1595487.130000000121072,1912384.239999999757856,1913313.760000000009313,11228467.910000000149012
FS( 120 ),1877804.620000000111759,2136621.320000000298023,1784675.120000000111759,1581929.250000000000000,1893727.119999999878928,1919868.560000000055879,11194629.990000000223517
FS( 121 ),1874347.240000000223517,2135805.740000000223517,1795709.040000000037253,1586287.139999999897555,1905735.159999999916181,1933165.439999999944121,11231053.759999999776483
FS( 122 ),1904986.780000000027940,2172688.080000000074506,1812529.040000000037253,1605171.329999999841675,1933125.399999999906868,1949084.239999999990687,11377588.870000001043081
FS( 123 ),1907371.179999999934807,2157645.160000000149012,1786962.640000000130385,1609529.219999999972060,1927667.199999999953434,1932416.320000000065193,11321595.720000000670552
FS( 124 ),1898906.560000000288710,2163535.459999999962747,1788173.679999999934807,1609045.009999999776483,1932728.439999999944121,1933165.439999999944121,11325558.589999999850988
FS( 125 ),1905940.540000000270084,2137708.759999999776483,1771891.920000000158325,1616792.369999999878928,1928858.080000000074506,1935600.079999999841675,11296795.750000000000000
FS( 126 ),1925134.960000000195578,2149398.740000000223517,1772699.280000000260770,1620666.049999999813735,1936102.600000000093132,1943653.120000000111759,11347658.750000000000000
FS( 127 ),1942302.640000000130385,2179393.959999999962747,1779023.600000000093132,1622118.679999999934807,1952377.959999999729916,1943465.839999999850988,11418686.679999999701977
FS( 128 ),1947548.320000000065193,2179122.100000000093132,1763683.760000000009313,1619697.630000000121072,1943942.559999999823049,1942716.720000000204891,11396715.089999999850988
FS( 129 ),1955297.620000000111759,2171872.500000000000000,1781176.560000000055879,1642455.500000000000000,1973913.040000000037253,1938783.839999999850988,11463503.059999998658895
