代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11524502.609999999403954
真實報酬,1524502.609999999403954

夏普值報酬,0.143750261000000
夏普值風險,0.048739058343566
夏普值,2.949385275084571

二次趨勢線,30.708929502544436 x^2 + 9618.045481234055842 x + 10000000.000000000000000
二次平均預期報酬,13548.788457559743620
風險,102294.560547517248779
二次平均趨勢值,0.132448767412869
一次趨勢線,12554.541704724408191 x + 10000000.000000000000000
一次預期報酬,12554.541704724408191
一次風險,116581.297463494469412
一次趨勢值,0.107689157505351
找到最佳解世代,2693
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
PG[21](8),TRV[22](3),WMT[28](1),
FS( 49 ),3236852.599999999627471,3261610.390000000130385,4069180.199999999720603,10567644.189999999478459
FS( 50 ),3219549.049999999813735,3226523.070000000298023,4077644.700000000186265,10523717.820000000298023
FS( 51 ),3340149.549999999813735,3211559.360000000335276,4080466.200000000186265,10632176.109999999403954
FS( 52 ),3413034.200000000186265,3257482.470000000204891,4129560.300000000279397,10800077.970000000670552
FS( 53 ),3398352.399999999906868,3227555.049999999813735,4118274.300000000279397,10744182.750000000000000
FS( 54 ),3426667.299999999348074,3266770.290000000037253,4125045.899999999441206,10818484.489999998360872
FS( 55 ),3398876.749999999534339,3302373.600000000093132,4110938.399999999441206,10812189.750000000000000
FS( 56 ),3404120.250000000000000,3286377.910000000149012,4036450.799999999813735,10726949.960000000894070
FS( 57 ),3394157.600000000093132,3235810.890000000130385,4077080.399999999906868,10707049.890000000596046
FS( 58 ),3376329.699999999720603,3185759.860000000335276,4054508.399999999441206,10616598.960000000894070
FS( 59 ),3356928.749999999534339,3141900.709999999962747,4070873.100000000093132,10569703.559999998658895
FS( 60 ),3356928.749999999534339,3146544.620000000111759,4067487.299999999813735,10570961.669999998062849
FS( 61 ),3385243.649999999906868,3179051.990000000223517,4157211.000000000000000,10721507.640000000596046
FS( 62 ),3413034.200000000186265,3236326.879999999888241,4205176.500000000000000,10854538.580000000074506
FS( 63 ),3413558.549999999348074,3261610.390000000130385,4231134.300000000745058,10906304.240000000223517
FS( 64 ),3384194.950000000186265,3232714.950000000186265,4200097.800000000745058,10817008.700000001117587
FS( 65 ),3356404.399999999906868,3268834.250000000000000,4154389.500000000000000,10779629.150000000372529
FS( 66 ),3330186.899999999906868,3244066.729999999981374,4178654.399999999906868,10752909.029999999329448
FS( 67 ),3434532.549999999813735,3287409.890000000130385,4206869.400000000372529,10928812.839999999850988
FS( 68 ),3450787.399999999906868,3277606.080000000074506,4191633.299999999813735,10920027.780000001192093
FS( 69 ),3472285.749999999534339,3269866.229999999981374,4175268.599999999627471,10917421.579999998211861
FS( 70 ),3498503.249999999534339,3292569.790000000037253,4193326.200000000186265,10984400.239999998360872
FS( 71 ),3499027.600000000093132,3296697.709999999962747,4167368.399999999441206,10963094.710000000894070
FS( 72 ),3501124.999999999534339,3301341.620000000111759,4157775.300000000279397,10960242.919999999925494
FS( 73 ),3485918.850000000093132,3288441.870000000111759,4141974.900000000372529,10916336.620000001043081
FS( 74 ),3499027.600000000093132,3278638.060000000055879,4176397.200000000186265,10954063.859999999403954
FS( 75 ),3494308.449999999720603,3289473.850000000093132,4201226.400000000372529,10985009.699999999254942
FS( 76 ),3513185.049999999813735,3303921.570000000298023,4071437.400000000372529,10888545.019999999552965
FS( 77 ),3513185.049999999813735,3360680.469999999739230,4062408.599999999627471,10936275.119999999180436
FS( 78 ),3500076.299999999813735,3386995.959999999962747,4079901.899999999906868,10966975.160000000149012
FS( 79 ),3501124.999999999534339,3365840.370000000111759,4030807.800000000279397,10897774.169999999925494
FS( 80 ),3505319.799999999348074,3377192.150000000372529,4049993.999999999534339,10932506.949999999254942
FS( 81 ),3496405.850000000093132,3343652.799999999813735,4038143.700000000186265,10878203.350000001490116
FS( 82 ),3514233.749999999534339,3374612.200000000186265,4069180.199999999720603,10958027.149999998509884
FS( 83 ),3518952.899999999906868,3363260.420000000391155,4091187.899999999906868,10973402.220000000670552
FS( 84 ),3512660.699999999720603,3345716.760000000242144,4086109.199999999720603,10944487.660000000149012
FS( 85 ),3506368.500000000000000,3343652.799999999813735,4106423.999999999534339,10956446.299999998882413
FS( 86 ),3506892.849999999627471,3327657.109999999869615,4077080.399999999906868,10911631.359999999403954
FS( 87 ),3523147.699999999720603,3340556.859999999869615,4096830.899999999441206,10960536.459999999031425
FS( 88 ),3534159.050000000279397,3335396.959999999962747,4148182.200000000186265,11017739.210000000894070
FS( 89 ),3528391.200000000186265,3329721.070000000298023,4150439.399999999906868,11008552.669999999925494
FS( 90 ),3578204.449999999720603,3371516.260000000242144,4221541.199999999254942,11171262.910000000149012
FS( 91 ),3592886.249999999534339,3364808.389999999664724,4165675.499999999534339,11123371.139999998733401
FS( 92 ),3592361.899999999906868,3369968.290000000037253,4148182.200000000186265,11110513.390000000596046
FS( 93 ),3579253.149999999906868,3454590.650000000372529,4179218.700000000186265,11213063.500000000000000
FS( 94 ),3570863.549999999348074,3485034.060000000521541,4179782.999999999534339,11235681.609999999403954
FS( 95 ),3613335.899999999441206,3531989.150000000372529,4240163.099999999627471,11385489.149999998509884
FS( 96 ),3626444.649999999441206,3538697.020000000018626,4204047.900000000372529,11369190.570000000298023
FS( 97 ),3631163.799999999813735,3533537.120000000111759,4175268.599999999627471,11339970.519999999552965
FS( 98 ),3629590.749999999534339,3532505.139999999664724,4173011.399999999906868,11335108.289999999105930
FS( 99 ),3631688.149999999906868,3520637.370000000111759,4196712.000000000000000,11349038.519999999552965
FS( 100 ),3647418.649999999906868,3531989.150000000372529,4218155.400000000372529,11397564.200000001117587
FS( 101 ),3640077.750000000000000,3540244.990000000223517,4201226.400000000372529,11381550.140000000596046
FS( 102 ),3657905.649999999906868,3530441.180000000167638,4217591.099999999627471,11405938.929999999701977
FS( 103 ),3648991.700000000186265,3533537.120000000111759,4190504.700000000186265,11373034.519999999552965
FS( 104 ),3633785.549999999813735,3497417.820000000298023,4186554.599999999627471,11317758.969999998807907
FS( 105 ),3633785.549999999813735,3529925.189999999944121,4174704.300000000279397,11338416.040000000968575
FS( 106 ),3636931.649999999906868,3522185.340000000316650,4164546.899999999906868,11323664.890000000596046
FS( 107 ),3641650.799999999813735,3563980.529999999795109,4178654.399999999906868,11384286.730000000447035
FS( 108 ),3607043.700000000186265,3544888.900000000372529,4161725.399999999906868,11313659.000000000000000
FS( 109 ),3626969.000000000000000,3560884.590000000316650,4187118.899999999906868,11374973.490000000223517
FS( 110 ),3637980.349999999627471,3574816.320000000298023,4216462.500000000000000,11429260.169999999925494
FS( 111 ),3651089.099999999627471,3589264.040000000037253,4239598.799999998882413,11479952.939999997615814
FS( 112 ),3623298.549999999348074,3588232.060000000521541,4246370.400000000372529,11457902.009999999776483
FS( 113 ),3602324.549999999813735,3576880.279999999795109,4183733.100000000093132,11362938.929999999701977
FS( 114 ),3572960.949999999720603,3581008.200000000186265,4255963.500000000000000,11409933.650000000372529
FS( 115 ),3565620.049999999813735,3568624.439999999944121,4232827.200000001117587,11367072.690000001341105
FS( 116 ),3562473.949999999720603,3545920.879999999888241,4277971.199999999254942,11386367.029999999329448
FS( 117 ),3602848.899999999441206,3601131.810000000521541,4353587.400000000372529,11557569.109999999403954
FS( 118 ),3618055.049999999813735,3637251.109999999869615,4340044.199999999254942,11595351.359999999403954
FS( 119 ),3642699.499999999534339,3683174.219999999739230,4346815.800000000745058,11672690.519999999552965
FS( 120 ),3642699.499999999534339,3815267.660000000149012,4320293.699999999254942,11778261.859999999403954
FS( 121 ),3595507.999999999534339,3793080.090000000316650,4267249.500000000000000,11655838.589999999850988
FS( 122 ),3591837.549999999813735,3817847.609999999869615,4268942.400000000372529,11678628.560000000521541
FS( 123 ),3536256.449999999720603,3786372.219999999739230,4218719.700000001117587,11541349.370000001043081
FS( 124 ),3569814.849999999627471,3776052.420000000391155,4222105.500000000000000,11567973.769999999552965
FS( 125 ),3674160.499999999534339,3721357.480000000447035,4250320.500000000000000,11645839.480000000447035
FS( 126 ),3641126.449999999720603,3692462.040000000037253,4238470.199999999254942,11572059.689999999478459
FS( 127 ),3630639.449999999720603,3660470.660000000149012,4233391.500000000000000,11524502.609999999403954
