代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11954299.839999999850988
真實報酬,1954299.839999999850988

夏普值報酬,0.186729984000000
夏普值風險,0.052207451990228
夏普值,3.576692155651510

二次趨勢線,-8.735359456763874 x^2 + 15979.970102861623673 x + 10000000.000000000000000
二次平均預期報酬,14844.373373482321767
風險,125753.862948136535124
二次平均趨勢值,0.118043080550173
一次趨勢線,15131.560963344634729 x + 10000000.000000000000000
一次預期報酬,15131.560963344634729
一次風險,126819.939639193908079
一次趨勢值,0.119315314345633
找到最佳解世代,1709
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,7
AAPL[0](5),DIS[6](8),MRK[17](1),PG[21](4),VZ[26](7),WBA[27](3),XOM[29](20),
FS( 40 ),1558078.840000000083819,1488534.399999999906868,1496081.860000000102445,1548477.080000000074506,1442616.759999999776483,1453682.399999999674037,1497072.159999999916181,10484546.500000000000000
FS( 41 ),1555797.879999999888241,1484251.299999999813735,1475385.100000000093132,1542322.959999999962747,1442909.379999999888241,1446913.239999999990687,1516935.639999999897555,10464518.500000000000000
FS( 42 ),1567118.199999999953434,1495815.669999999925494,1485733.479999999981374,1549469.679999999934807,1488265.479999999981374,1303669.079999999841675,1521762.280000000027940,10411836.869999999180436
FS( 43 ),1563823.479999999981374,1496386.750000000000000,1495589.080000000074506,1549668.200000000186265,1472171.379999999888241,1310656.599999999860302,1535870.919999999925494,10424169.410000000149012
FS( 44 ),1581310.840000000083819,1503810.789999999804422,1489675.719999999972060,1551057.840000000083819,1475390.199999999953434,1334894.560000000055879,1517863.840000000083819,10454006.789999999105930
FS( 45 ),1553770.359999999869615,1485393.459999999962747,1495835.469999999972060,1546491.880000000121072,1483583.560000000055879,1326815.239999999757856,1526774.559999999823049,10418667.530000001192093
FS( 46 ),1566273.399999999906868,1503953.559999999823049,1518749.739999999990687,1572498.000000000000000,1500555.520000000018626,1362189.560000000055879,1528074.040000000037253,10552296.820000000298023
FS( 47 ),1587984.760000000009313,1495958.439999999944121,1532547.580000000074506,1574483.200000000186265,1506407.919999999925494,1382278.679999999934807,1528445.319999999832362,10608108.900000000372529
FS( 48 ),1610034.040000000037253,1513661.919999999925494,1528112.560000000055879,1545697.800000000046566,1484754.040000000037253,1391668.159999999916181,1539026.800000000046566,10612958.320000000298023
FS( 49 ),1608091.000000000000000,1513804.689999999944121,1535011.479999999981374,1584607.719999999972060,1502311.239999999990687,1380095.079999999841675,1553135.439999999944121,10677059.649999998509884
FS( 50 ),1587224.439999999944121,1542501.459999999962747,1525155.879999999888241,1571505.399999999906868,1502311.239999999990687,1390139.639999999897555,1533271.959999999962747,10652113.019999999552965
FS( 51 ),1613835.639999999897555,1545499.629999999888241,1543881.520000000018626,1566145.360000000102445,1499385.040000000037253,1394943.560000000055879,1535128.359999999869615,10698822.109999999403954
FS( 52 ),1616370.040000000037253,1570484.379999999888241,1549548.489999999990687,1574483.200000000186265,1504359.579999999841675,1423112.000000000000000,1546638.040000000037253,10784998.730000000447035
FS( 53 ),1612821.879999999888241,1573339.780000000027940,1542156.790000000037253,1578850.640000000130385,1509626.739999999990687,1422893.639999999897555,1531415.559999999823049,10771108.030000001192093
FS( 54 ),1617383.799999999813735,1574767.479999999748543,1540678.449999999953434,1588776.640000000130385,1504944.819999999832362,1433156.559999999823049,1528074.040000000037253,10787784.789999999105930
FS( 55 ),1608513.399999999906868,1580335.509999999776483,1550780.439999999944121,1582622.520000000018626,1496458.839999999850988,1444729.639999999897555,1526403.280000000027940,10789846.629999998956919
FS( 56 ),1621016.439999999944121,1600894.389999999897555,1540185.669999999925494,1562969.040000000037253,1485046.659999999916181,1417871.360000000102445,1522504.840000000083819,10750491.400000000372529
FS( 57 ),1617299.319999999832362,1591614.339999999850988,1540432.060000000055879,1561976.440000000176951,1481242.599999999860302,1418963.159999999916181,1511180.800000000046566,10722711.720000000670552
FS( 58 ),1617299.319999999832362,1586046.309999999823049,1544620.689999999944121,1558601.600000000093132,1485046.659999999916181,1426824.119999999878928,1511180.800000000046566,10729622.500000000000000
FS( 59 ),1630478.199999999953434,1580478.280000000027940,1562607.160000000149012,1568130.560000000055879,1507285.779999999795109,1430536.239999999990687,1541068.840000000083819,10820588.060000000521541
FS( 60 ),1645853.559999999823049,1587331.239999999990687,1588970.889999999897555,1577659.520000000018626,1489728.579999999841675,1456521.079999999841675,1551835.959999999962747,10897903.829999998211861
FS( 61 ),1640700.280000000027940,1620596.649999999906868,1577144.170000000158325,1589967.760000000242144,1497629.319999999832362,1474863.320000000065193,1563902.559999999823049,10964807.060000000521541
FS( 62 ),1613413.239999999757856,1607890.119999999878928,1564331.890000000130385,1599695.239999999990687,1521916.779999999795109,1498882.919999999925494,1520834.080000000074506,10926967.269999999552965
FS( 63 ),1604373.879999999888241,1608032.889999999897555,1596855.370000000111759,1592151.480000000214204,1535962.540000000037253,1510237.639999999897555,1517492.559999999823049,10965109.360000001266599
FS( 64 ),1607584.119999999878928,1621310.500000000000000,1622972.710000000195578,1605650.840000000083819,1511089.839999999850988,1476610.199999999953434,1513222.840000000083819,10958444.049999998882413
FS( 65 ),1702286.199999999953434,1612887.069999999832362,1613609.889999999897555,1601084.880000000121072,1513723.419999999925494,1450843.719999999739230,1492431.159999999916181,10986869.339999999850988
FS( 66 ),1752044.919999999925494,1609746.129999999888241,1606957.360000000102445,1627885.080000000074506,1521038.919999999925494,1462635.159999999916181,1483520.439999999944121,11063831.009999999776483
FS( 67 ),1757113.719999999972060,1628877.309999999823049,1624451.050000000279397,1634436.239999999990687,1529524.899999999906868,1467875.799999999813735,1488904.000000000000000,11131186.019999999552965
FS( 68 ),1766237.559999999823049,1655289.759999999776483,1631596.360000000102445,1638208.120000000111759,1535669.919999999925494,1472243.000000000000000,1488532.719999999972060,11187780.439999999478459
FS( 69 ),1749679.479999999981374,1664141.500000000000000,1640466.399999999906868,1640590.360000000102445,1535084.679999999934807,1464163.679999999934807,1508767.479999999981374,11202896.580000000074506
FS( 70 ),1750862.199999999953434,1627306.839999999850988,1643176.689999999944121,1634833.280000000027940,1542107.560000000055879,1451935.519999999785796,1498742.919999999925494,11148968.009999999776483
FS( 71 ),1764632.439999999944121,1629876.699999999953434,1626175.780000000027940,1615973.880000000121072,1551178.779999999795109,1444948.000000000000000,1491131.679999999934807,11123920.259999999776483
FS( 72 ),1753227.639999999897555,1608746.739999999990687,1627900.509999999776483,1616569.440000000176951,1535377.299999999813735,1451935.519999999785796,1474424.080000000074506,11068184.230000000447035
FS( 73 ),1764547.959999999962747,1600751.619999999878928,1643915.860000000102445,1618356.120000000111759,1528061.799999999813735,1451717.159999999916181,1458459.040000000037253,11065812.559999998658895
FS( 74 ),1771982.199999999953434,1609746.129999999888241,1637509.719999999972060,1614187.200000000186265,1547082.099999999860302,1499319.639999999897555,1453818.040000000037253,11133648.030000001192093
FS( 75 ),1776121.719999999972060,1611173.829999999841675,1659931.210000000195578,1633840.679999999934807,1557909.040000000037253,1500848.159999999916181,1428385.359999999869615,11168212.999999998137355
FS( 76 ),1802141.559999999823049,1605891.339999999850988,1696396.929999999934807,1661434.959999999962747,1588048.899999999906868,1520282.199999999953434,1448063.199999999953434,11322262.089999997988343
FS( 77 ),1838130.040000000037253,1605891.339999999850988,1701571.120000000111759,1661434.959999999962747,1603265.139999999897555,1528361.519999999785796,1452889.840000000083819,11391546.959999999031425
FS( 78 ),1820220.280000000027940,1598895.609999999869615,1728920.410000000149012,1660442.360000000102445,1599168.459999999962747,1528361.519999999785796,1463100.040000000037253,11399111.679999999701977
FS( 79 ),1816672.119999999878928,1604606.409999999916181,1704281.410000000149012,1665603.880000000121072,1606776.579999999841675,1534038.879999999888241,1463471.319999999832362,11395453.599999997764826
FS( 80 ),1816756.600000000093132,1598181.759999999776483,1701078.340000000083819,1655479.360000000102445,1584244.839999999850988,1520718.919999999925494,1484448.639999999897555,11360911.460000000894070
FS( 81 ),1820473.719999999972060,1599038.379999999888241,1699353.610000000102445,1652501.560000000055879,1588341.520000000018626,1512857.959999999962747,1468112.319999999832362,11340682.070000000298023
FS( 82 ),1826133.879999999888241,1598038.989999999990687,1701078.340000000083819,1654883.800000000046566,1602972.520000000018626,1511329.439999999711290,1478136.880000000121072,11372576.849999999627471
FS( 83 ),1841171.319999999832362,1603749.789999999804422,1699846.389999999897555,1656471.959999999962747,1605020.859999999869615,1516351.719999999739230,1492616.800000000046566,11415231.839999999850988
FS( 84 ),1856039.799999999813735,1607319.039999999804422,1690976.349999999860302,1657266.040000000037253,1599168.459999999962747,1512857.959999999962747,1490389.119999999878928,11414019.769999997690320
FS( 85 ),1883749.239999999757856,1605463.030000000027940,1695411.370000000111759,1657464.560000000055879,1596827.500000000000000,1499319.639999999897555,1501156.239999999990687,11439394.580000000074506
FS( 86 ),1901067.639999999897555,1597896.219999999972060,1688758.840000000083819,1655876.399999999906868,1602094.659999999916181,1480540.679999999934807,1494658.840000000083819,11420896.279999999329448
FS( 87 ),1923032.439999999944121,1599323.919999999925494,1689990.790000000037253,1646744.480000000214204,1590975.099999999860302,1497136.040000000037253,1488347.080000000074506,11435552.849999999627471
FS( 88 ),1929199.479999999981374,1582619.829999999841675,1674221.830000000074506,1641781.480000000214204,1556445.939999999944121,1476610.199999999953434,1490574.760000000009313,11351456.519999999552965
FS( 89 ),1916611.959999999962747,1568628.369999999878928,1690729.960000000195578,1653494.160000000149012,1574881.000000000000000,1490148.519999999785796,1510438.239999999990687,11404935.209999999031425
FS( 90 ),1884763.000000000000000,1574196.399999999906868,1709455.599999999860302,1640788.880000000121072,1588634.139999999897555,1485562.959999999962747,1493730.639999999897555,11377134.620000001043081
FS( 91 ),1869556.600000000093132,1584333.069999999832362,1716600.910000000149012,1626098.399999999906868,1580148.159999999916181,1489056.719999999739230,1519163.319999999832362,11384960.179999999701977
FS( 92 ),1844466.040000000037253,1580192.739999999990687,1713890.620000000111759,1635428.840000000083819,1583659.599999999860302,1502376.679999999934807,1516935.639999999897555,11376953.160000000149012
FS( 93 ),1891099.000000000000000,1564773.579999999841675,1702063.899999999906868,1628083.600000000093132,1601216.799999999813735,1501066.519999999785796,1538284.239999999990687,11426590.640000000596046
FS( 94 ),1867613.559999999823049,1562774.799999999813735,1721282.320000000065193,1649920.800000000046566,1608532.299999999813735,1536877.559999999823049,1543296.519999999785796,11490300.859999999403954
FS( 95 ),1912725.879999999888241,1580049.969999999972060,1745182.149999999906868,1656670.480000000214204,1607654.439999999944121,1539061.159999999916181,1528259.679999999934807,11569606.759999999776483
FS( 96 ),1891014.520000000018626,1559919.399999999906868,1724239.000000000232831,1659846.800000000046566,1596242.259999999776483,1534693.959999999962747,1539398.080000000074506,11505357.020000001415610
FS( 97 ),1840664.439999999944121,1561347.099999999860302,1735080.160000000149012,1672552.080000000074506,1600631.560000000055879,1538406.079999999841675,1548494.439999999944121,11497178.859999999403954
FS( 98 ),1843705.719999999972060,1563774.189999999944121,1735080.160000000149012,1667589.080000000074506,1591560.339999999850988,1547795.559999999823049,1552578.519999999785796,11502086.570000000298023
FS( 99 ),1844803.959999999962747,1567486.209999999962747,1724239.000000000232831,1667589.080000000074506,1565517.159999999916181,1556529.959999999962747,1571142.519999999785796,11497310.890000000596046
FS( 100 ),1858827.639999999897555,1593613.119999999878928,1743950.199999999953434,1694587.800000000046566,1578685.060000000055879,1591685.919999999925494,1574669.679999999934807,11636022.419999999925494
FS( 101 ),1838805.879999999888241,1576195.179999999934807,1751834.679999999934807,1703719.719999999972060,1592438.199999999953434,1594087.879999999888241,1581167.080000000074506,11638251.619999999180436
FS( 102 ),1865248.119999999878928,1610031.669999999925494,1743950.199999999953434,1672949.120000000111759,1566687.639999999897555,1576619.079999999841675,1607713.599999999860302,11643202.429999999701977
FS( 103 ),1877075.319999999832362,1622309.889999999897555,1740747.130000000121072,1650119.320000000065193,1552349.259999999776483,1576837.439999999711290,1605857.199999999953434,11625298.559999998658895
FS( 104 ),1862122.359999999869615,1644867.549999999813735,1732862.649999999906868,1652898.600000000093132,1554982.839999999850988,1593214.439999999711290,1592491.119999999878928,11633442.559999998658895
FS( 105 ),1900391.799999999813735,1656717.459999999962747,1742471.860000000102445,1644957.800000000046566,1568150.739999999990687,1611775.040000000037253,1592305.479999999981374,11716773.179999999701977
FS( 106 ),1907065.719999999972060,1669566.759999999776483,1747892.439999999944121,1652303.040000000037253,1562298.339999999850988,1591904.280000000027940,1578382.479999999981374,11709416.060000000521541
FS( 107 ),1919906.679999999934807,1659572.859999999869615,1762429.449999999953434,1661037.920000000158325,1575466.239999999990687,1582296.439999999711290,1593048.040000000037253,11753760.629999998956919
FS( 108 ),1936971.639999999897555,1679846.199999999953434,1767850.030000000027940,1674735.800000000046566,1592438.199999999953434,1604787.519999999785796,1605114.639999999897555,11861747.029999999329448
FS( 109 ),1960541.559999999823049,1669138.449999999953434,1758487.210000000195578,1648332.640000000130385,1588634.139999999897555,1611556.679999999934807,1599359.800000000046566,11836053.480000000447035
FS( 110 ),1926073.719999999972060,1658002.389999999897555,1754791.360000000102445,1626296.920000000158325,1609995.399999999906868,1601512.119999999878928,1588778.319999999832362,11765453.229999998584390
FS( 111 ),1894816.119999999878928,1638728.439999999944121,1750109.949999999953434,1630862.880000000121072,1607654.439999999944121,1583388.239999999990687,1584322.959999999962747,11689886.030000001192093
FS( 112 ),1890423.160000000149012,1656431.919999999925494,1760704.719999999972060,1635825.880000000121072,1609995.399999999906868,1619199.280000000027940,1598988.519999999785796,11771571.879999998956919
FS( 113 ),1916611.959999999962747,1668852.909999999916181,1782387.040000000037253,1631855.480000000214204,1609117.540000000037253,1606316.040000000037253,1606042.840000000083819,11821186.809999998658895
FS( 114 ),1827823.479999999981374,1611316.599999999860302,1735819.330000000074506,1616767.959999999962747,1589804.619999999878928,1579021.040000000037253,1569100.479999999981374,11529656.510000001639128
FS( 115 ),1811687.799999999813735,1586902.929999999934807,1684570.210000000195578,1565748.320000000065193,1560542.619999999878928,1548232.280000000027940,1514893.599999999860302,11272580.759999999776483
FS( 116 ),1876399.479999999981374,1607747.349999999860302,1720050.370000000111759,1569520.200000000186265,1572247.419999999925494,1605005.879999999888241,1510809.519999999785796,11461783.219999998807907
FS( 117 ),1836271.479999999981374,1619597.259999999776483,1711426.719999999972060,1590761.840000000083819,1568443.359999999869615,1631645.799999999813735,1500413.679999999934807,11458563.140000000596046
FS( 118 ),1876737.399999999906868,1658859.009999999776483,1754791.360000000102445,1608231.600000000093132,1571369.560000000055879,1665709.959999999962747,1507468.000000000000000,11643169.890000000596046
FS( 119 ),1868627.319999999832362,1672279.389999999897555,1769574.759999999776483,1625105.800000000046566,1578977.679999999934807,1680995.159999999916181,1513037.199999999953434,11708600.309999998658895
FS( 120 ),1824951.160000000149012,1658716.239999999990687,1779183.969999999972060,1592945.560000000055879,1599168.459999999962747,1672260.759999999776483,1519534.599999999860302,11646763.750000000000000
FS( 121 ),1852745.080000000074506,1697549.679999999934807,1782633.429999999934807,1733100.679999999934807,1606483.959999999962747,1689074.479999999748543,1521762.280000000027940,11883352.589999997988343
FS( 122 ),1864065.399999999906868,1688555.169999999925494,1788054.009999999776483,1719204.280000000027940,1608824.919999999925494,1695625.280000000027940,1506539.800000000046566,11870871.860000001266599
FS( 123 ),1881637.239999999757856,1682558.829999999841675,1776473.679999999934807,1730321.399999999906868,1674079.179999999934807,1687109.239999999990687,1482220.959999999962747,11914403.529999997466803
FS( 124 ),1817094.520000000018626,1593470.349999999860302,1738036.840000000083819,1775981.000000000000000,1680224.199999999953434,1620291.079999999841675,1441008.880000000121072,11666109.870000001043081
FS( 125 ),1856884.600000000093132,1629876.699999999953434,1723746.219999999972060,1766849.080000000074506,1651254.819999999832362,1653918.519999999785796,1453818.040000000037253,11736350.980000000447035
FS( 126 ),1827316.600000000093132,1616028.009999999776483,1734587.380000000121072,1744217.800000000046566,1624333.779999999795109,1664618.159999999916181,1439338.119999999878928,11650442.849999999627471
FS( 127 ),1793017.719999999972060,1613886.459999999962747,1760458.330000000074506,1751761.560000000055879,1652717.919999999925494,1677501.399999999674037,1430427.399999999906868,11679773.790000000968575
FS( 128 ),1801972.600000000093132,1638442.899999999906868,1795445.710000000195578,1770620.959999999962747,1702463.319999999832362,1720736.679999999934807,1462543.119999999878928,11892228.289999999105930
FS( 129 ),1848943.479999999981374,1639442.289999999804422,1813678.570000000065193,1760496.440000000176951,1670567.739999999990687,1741917.599999999860302,1479250.719999999972060,11954299.839999999850988
