代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11940738.570000000298023
真實報酬,1940738.570000000298023

夏普值報酬,0.185373857000000
夏普值風險,0.056683732802321
夏普值,3.270318446501648

二次趨勢線,132.273940851408582 x^2 + -1094.247639703726236 x + 10000000.000000000000000
二次平均預期報酬,15704.542848425166085
風險,108732.551640884528751
二次平均趨勢值,0.144432762879448
一次趨勢線,11455.046440360963970 x + 10000000.000000000000000
一次預期報酬,11455.046440360963970
一次風險,260848.422907127998769
一次趨勢值,0.043914570434031
找到最佳解世代,2150
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
KO[14](4),VZ[26](1),WMT[28](2),
FS( 34 ),3468945.599999999161810,3494707.890000000130385,3248633.940000000409782,10212288.429999999701977
FS( 35 ),3494495.799999999813735,3507935.340000000316650,3246489.660000000149012,10248921.800000000745058
FS( 36 ),3509236.299999999813735,3497353.379999999888241,3251314.290000000037253,10257904.969999998807907
FS( 37 ),3512184.399999999906868,3476189.460000000428408,3256674.990000000223517,10245049.850000001490116
FS( 38 ),3532821.100000000093132,3468252.989999999757856,3280798.140000000596046,10281873.230000000447035
FS( 39 ),3531838.399999999441206,3409170.379999999888241,3274901.370000000577420,10215911.150000000372529
FS( 40 ),3570163.699999999254942,3373897.179999999701977,3280262.070000000298023,10224323.949999999254942
FS( 41 ),3627160.299999999348074,3357142.410000000149012,3260427.480000000447035,10244731.189999999478459
FS( 42 ),3636987.299999999348074,3371251.689999999944121,3280798.140000000596046,10289038.129999998956919
FS( 43 ),3642883.499999999534339,3396824.760000000242144,3289375.260000000242144,10329084.519999999552965
FS( 44 ),3624212.199999999720603,3391533.780000000260770,3251314.290000000037253,10267061.269999999552965
FS( 45 ),3609471.699999999254942,3385360.970000000204891,3230407.560000000055879,10225241.230000000447035
FS( 46 ),3610454.399999999906868,3320987.379999999888241,3252386.430000000167638,10183829.209999999031425
FS( 47 ),3580973.399999999441206,3303350.780000000260770,3223438.650000000372529,10107763.830000000074506
FS( 48 ),3538717.299999999348074,3245150.000000000000000,3212717.250000000000000,9996585.549999998882413
FS( 49 ),3543630.799999999813735,3296296.140000000130385,3205748.339999999850988,10045676.279999999329448
FS( 50 ),3548544.299999999348074,3311287.250000000000000,3223974.720000000204891,10083807.269999999552965
FS( 51 ),3534786.499999999534339,3285714.179999999701977,3204140.130000000353903,10024641.810000000521541
FS( 52 ),3559353.999999999534339,3300705.290000000037253,3247561.800000000279397,10107622.089999999850988
FS( 53 ),3634039.199999999254942,3328042.020000000484288,3316714.830000000074506,10278797.050000000745058
FS( 54 ),3644848.899999999906868,3320987.379999999888241,3326900.160000000149012,10292737.439999999478459
FS( 55 ),3627160.299999999348074,3364197.049999999813735,3310281.990000000223517,10301640.339999999850988
FS( 56 ),3642883.499999999534339,3415343.189999999944121,3347806.890000000596046,10406034.580000000074506
FS( 57 ),3621264.099999999627471,3401233.910000000149012,3191810.520000000018626,10214309.529999999329448
FS( 58 ),3641900.799999999813735,3483244.100000000093132,3096926.130000000353903,10222072.030000001192093
FS( 59 ),3682191.499999999534339,3481480.439999999944121,3074947.260000000242144,10238620.199999999254942
FS( 60 ),3719534.099999999627471,3539681.220000000204891,3160182.390000000596046,10419398.710000000894070
FS( 61 ),3765720.999999999534339,3547617.689999999944121,3164470.950000000186265,10477810.640000000596046
FS( 62 ),3749997.799999999348074,3560845.140000000130385,3158038.109999999869615,10468882.049999998882413
FS( 63 ),3780461.499999999534339,3576718.080000000074506,3166615.230000000447035,10523795.810000000521541
FS( 64 ),3791271.199999999254942,3580245.400000000372529,3163398.810000000055879,10534916.410000000149012
FS( 65 ),3805028.999999999534339,3583772.720000000204891,3162326.670000000391155,10551129.390000000596046
FS( 66 ),3783409.599999999627471,3550263.179999999701977,3146780.640000000596046,10480454.419999999925494
FS( 67 ),3797167.399999999906868,3574072.590000000316650,3173048.070000000298023,10544289.060000000521541
FS( 68 ),3790288.499999999534339,3575836.250000000000000,3165543.089999999850988,10531668.839999999850988
FS( 69 ),3772599.899999999906868,3549381.350000000093132,3164470.950000000186265,10486453.199999999254942
FS( 70 ),3804046.299999999813735,3575836.250000000000000,3173048.070000000298023,10552931.620000001043081
FS( 71 ),3806994.399999999906868,3629627.879999999888241,3185377.680000000167638,10622000.959999999031425
FS( 72 ),3777513.399999999441206,3605818.470000000204891,3166615.230000000447035,10549948.099999999627471
FS( 73 ),3761790.199999999720603,3619927.750000000000000,3181625.190000000409782,10563344.140000000596046
FS( 74 ),3750980.500000000000000,3604936.640000000130385,3173048.070000000298023,10528966.210000000894070
FS( 75 ),3691035.799999999813735,3648146.310000000055879,3306529.500000000000000,10645712.609999999403954
FS( 76 ),3638952.699999999720603,3662255.590000000316650,3346734.750000000000000,10647944.039999999105930
FS( 77 ),3661554.799999999348074,3645500.820000000298023,3379435.020000000018626,10686491.639999998733401
FS( 78 ),3645831.599999999627471,3649909.970000000204891,3416423.850000000093132,10712166.419999999925494
FS( 79 ),3645831.599999999627471,3649909.970000000204891,3416423.850000000093132,10712166.419999999925494
FS( 80 ),3712655.199999999720603,3649909.970000000204891,3488257.229999999981374,10850823.400000000372529
FS( 81 ),3696931.999999999534339,3655200.950000000186265,3501122.910000000149012,10853256.859999999403954
FS( 82 ),3707741.699999999254942,3681655.850000000093132,3520957.500000000465661,10910356.049999998882413
FS( 83 ),3688087.699999999720603,3652555.460000000428408,3508091.820000000298023,10848735.980000000447035
FS( 84 ),3672364.499999999534339,3671955.720000000204891,3528462.479999999981374,10872783.699999999254942
FS( 85 ),3591783.099999999161810,3618164.090000000316650,3513988.589999999850988,10723936.779999999329448
FS( 86 ),3618315.999999999534339,3645500.820000000298023,3537575.669999999925494,10801393.490000000223517
FS( 87 ),3598661.999999999534339,3633155.200000000186265,3511308.240000000223517,10743126.439999999478459
FS( 88 ),3666468.299999999813735,3683419.510000000242144,3534359.250000000465661,10884248.060000000521541
FS( 89 ),3649762.399999999906868,3671955.720000000204891,3531142.830000000540167,10852861.950000001117587
FS( 90 ),3696931.999999999534339,3742502.120000000111759,3657119.280000000260770,11096554.399999998509884
FS( 91 ),3668433.699999999254942,3753084.080000000074506,3620130.450000000186265,11041649.230000000447035
FS( 92 ),3694966.599999999627471,3786593.620000000111759,3630315.780000000260770,11111877.000000000000000
FS( 93 ),3670399.099999999627471,3791002.770000000484288,3595471.229999999981374,11056874.099999999627471
FS( 94 ),3721499.499999999534339,3858021.850000000093132,3625491.149999999906868,11205013.500000000000000
FS( 95 ),3739188.099999999161810,3840385.250000000000000,3631923.990000000223517,11211498.339999999850988
FS( 96 ),3733291.899999999906868,3864194.660000000149012,3651758.580000000540167,11249246.140000000596046
FS( 97 ),3721499.499999999534339,3856258.189999999944121,3635140.410000000149012,11212899.099999999627471
FS( 98 ),3712655.199999999720603,3818339.500000000000000,3673201.379999999888241,11204197.079999998211861
FS( 99 ),3669416.399999999906868,3820984.989999999757856,3629243.640000000596046,11119646.030000001192093
FS( 100 ),3682191.499999999534339,3875658.450000000186265,3607800.839999999850988,11165651.789999999105930
FS( 101 ),3674329.899999999906868,3849203.549999999813735,3654975.000000000465661,11178509.449999999254942
FS( 102 ),3689070.399999999441206,3865958.320000000298023,3676417.800000000279397,11231447.519999999552965
FS( 103 ),3750980.500000000000000,3860667.340000000316650,3676953.870000000577420,11288602.710000000894070
FS( 104 ),3761790.199999999720603,3877422.109999999869615,3661407.839999999850988,11300621.149999998509884
FS( 105 ),3842371.599999999627471,3918868.120000000111759,3737529.780000000260770,11498770.500000000000000
FS( 106 ),3877748.799999999813735,3962077.790000000037253,3717695.189999999944121,11557522.779999999329448
FS( 107 ),3889541.199999999254942,3963841.450000000186265,3792744.990000000223517,11646128.640000000596046
FS( 108 ),3855146.699999999254942,3958550.470000000204891,3810435.300000000279397,11624133.470000000670552
FS( 109 ),3840406.199999999254942,3917104.460000000428408,3825445.260000000242144,11582956.919999999925494
FS( 110 ),3831561.899999999906868,3945323.020000000484288,3846888.060000000521541,11623773.980000000447035
FS( 111 ),3831561.899999999906868,3941795.700000000186265,3865650.510000000242144,11639009.109999999403954
FS( 112 ),3806011.699999999254942,3959432.299999999813735,3873691.560000000521541,11639136.559999998658895
FS( 113 ),3765720.999999999534339,3939150.210000000428408,3876371.910000000149012,11581244.120000001043081
FS( 114 ),3797167.399999999906868,3986769.030000000260770,3923010.000000000465661,11706947.429999999701977
FS( 115 ),3757859.399999999906868,3992060.010000000242144,3912288.600000000558794,11662209.010000001639128
FS( 116 ),3817804.099999999627471,4026451.379999999888241,3918721.439999999944121,11762977.919999999925494
FS( 117 ),3805028.999999999534339,4046733.470000000204891,3905319.689999999944121,11757083.160000000149012
FS( 118 ),3810925.199999999720603,3927686.419999999925494,3834558.450000000186265,11573171.070000000298023
FS( 119 ),3785375.000000000000000,3923277.270000000484288,3873155.490000000223517,11581808.760000001639128
FS( 120 ),3777513.399999999441206,3910931.650000000372529,3851712.689999999944121,11540158.740000000223517
FS( 121 ),3766703.699999999254942,3859785.510000000242144,3867258.720000000204891,11493748.929999999701977
FS( 122 ),3784392.299999999348074,3855376.359999999869615,3864042.300000000279397,11503811.959999999031425
FS( 123 ),3873818.000000000000000,3920631.780000000260770,3949277.430000000167638,11743728.210000000894070
FS( 124 ),3931797.299999999348074,3959432.299999999813735,3994843.379999999888241,11886073.980000000447035
FS( 125 ),3985845.799999999813735,3963841.450000000186265,4019502.600000000558794,11969190.850000001490116
FS( 126 ),3970122.599999999627471,3980596.220000000204891,3990018.750000000465661,11940738.570000000298023
