代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12037540.369999999180436
真實報酬,2037540.369999999180436

夏普值報酬,0.195054037000000
夏普值風險,0.059360732732468
夏普值,3.285910197218854

二次趨勢線,133.362084321475578 x^2 + -891.825559206146863 x + 10000000.000000000000000
二次平均預期報酬,16178.521233942727122
風險,113789.952929762424901
二次平均趨勢值,0.142178819987113
一次趨勢線,11860.727633322714610 x + 10000000.000000000000000
一次預期報酬,11860.727633322714610
一次風險,268184.507032075838652
一次趨勢值,0.044225998602910
找到最佳解世代,2087
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
AAPL[0](9),BA[2](2),MSFT[18](14),NKE[19](1),PFE[20](5),UNH[23](13),
FS( 8 ),1598076.050000000046566,1668982.160000000149012,1639036.889999999897555,1623836.439999999944121,1707506.800000000046566,1694001.169999999925494,9931443.509999997913837
FS( 9 ),1612052.869999999878928,1690158.480000000214204,1625924.769999999785796,1632825.359999999869615,1746545.799999999813735,1702493.650000000139698,10010004.929999999701977
FS( 10 ),1590311.149999999906868,1684698.960000000195578,1610939.489999999757856,1636526.679999999934807,1747146.399999999906868,1693205.000000000000000,9962831.679999999701977
FS( 11 ),1597299.559999999823049,1704551.760000000242144,1639036.889999999897555,1637584.199999999953434,1751350.600000000093132,1708332.230000000214204,10038159.240000000223517
FS( 12 ),1596523.069999999832362,1721922.960000000195578,1638100.309999999823049,1643400.559999999823049,1765765.000000000000000,1743098.320000000298023,10108814.219999998807907
FS( 13 ),1564169.319999999832362,1691647.440000000176951,1619837.000000000000000,1632825.359999999869615,1747747.000000000000000,1731951.940000000176951,9988182.059999998658895
FS( 14 ),1541392.279999999795109,1648467.600000000093132,1568325.100000000093132,1606916.120000000111759,1720119.400000000139698,1693205.000000000000000,9778429.500000000000000
FS( 15 ),1528968.439999999944121,1654092.560000000288710,1558022.719999999972060,1601628.520000000018626,1709308.600000000093132,1695858.899999999906868,9747883.740000000223517
FS( 16 ),1488590.959999999729916,1618853.840000000083819,1579095.769999999785796,1585236.959999999962747,1664263.600000000093132,1715763.150000000139698,9651808.279999999329448
FS( 17 ),1488849.790000000037253,1632419.920000000158325,1576754.320000000065193,1596869.679999999934807,1681080.399999999906868,1691347.270000000018626,9667325.379999998956919
FS( 18 ),1472025.839999999850988,1666831.440000000176951,1608598.040000000037253,1635469.159999999916181,1687687.000000000000000,1719213.219999999972060,9789828.700000001117587
FS( 19 ),1455978.379999999888241,1706537.040000000270084,1621241.869999999878928,1647630.639999999897555,1692491.800000000046566,1753979.310000000055879,9877863.039999999105930
FS( 20 ),1466331.579999999841675,1694790.800000000046566,1617495.549999999813735,1683586.320000000065193,1682281.600000000093132,1737790.520000000251457,9882280.369999999180436
FS( 21 ),1513179.809999999823049,1708026.000000000000000,1609066.329999999841675,1648159.400000000139698,1668467.800000000046566,1741771.369999999878928,9888674.709999999031425
FS( 22 ),1547345.369999999878928,1678743.120000000111759,1589398.149999999906868,1655562.039999999804422,1663663.000000000000000,1732217.329999999841675,9866933.009999999776483
FS( 23 ),1555886.759999999776483,1702235.600000000093132,1592676.179999999701977,1661907.159999999916181,1660660.000000000000000,1739382.860000000102445,9912752.559999998658895
FS( 24 ),1543462.919999999925494,1723908.240000000223517,1602041.979999999981374,1682528.800000000046566,1679879.199999999953434,1756102.430000000167638,9987927.570000000298023
FS( 25 ),1534662.699999999953434,1726720.720000000204891,1607661.459999999729916,1684643.839999999850988,1689488.800000000046566,1792991.640000000130385,10036173.160000000149012
FS( 26 ),1561839.849999999860302,1731849.360000000335276,1608598.040000000037253,1690460.199999999953434,1702702.000000000000000,1803872.630000000121072,10099326.080000000074506
FS( 27 ),1555627.929999999934807,1745415.440000000176951,1624988.189999999944121,1681471.280000000027940,1708107.400000000139698,1796441.709999999962747,10112055.950000001117587
FS( 28 ),1579957.949999999953434,1768246.160000000149012,1671348.899999999906868,1684643.839999999850988,1727927.199999999953434,1814222.840000000083819,10246350.889999998733401
FS( 29 ),1577110.819999999832362,1685360.720000000204891,1670412.320000000065193,1683586.320000000065193,1730329.599999999860302,1804668.800000000046566,10151472.580000000074506
FS( 30 ),1580475.609999999869615,1748062.480000000214204,1693826.820000000065193,1675126.159999999916181,1729128.399999999906868,1794583.980000000214204,10221207.450000001117587
FS( 31 ),1590828.809999999823049,1724404.560000000288710,1698509.719999999972060,1657677.080000000074506,1722521.800000000046566,1775741.290000000037253,10169687.260000001639128
FS( 32 ),1591087.639999999897555,1733669.200000000186265,1673690.350000000093132,1674597.400000000139698,1722521.800000000046566,1757694.770000000251457,10153265.160000000149012
FS( 33 ),1596523.069999999832362,1780654.160000000149012,1659641.649999999906868,1674068.639999999897555,1711110.399999999906868,1872343.250000000000000,10294345.169999999925494
FS( 34 ),1571416.559999999823049,1769569.680000000167638,1470452.489999999757856,1675126.159999999916181,1747146.399999999906868,1896228.350000000093132,10129943.640000000596046
FS( 35 ),1576334.329999999841675,1767915.280000000260770,1499018.179999999701977,1673539.879999999888241,1762762.000000000000000,1915601.820000000298023,10195175.490000000223517
FS( 36 ),1549416.009999999776483,1783301.200000000186265,1490120.669999999925494,1670896.080000000074506,1766966.200000000186265,1929136.709999999962747,10189840.870000001043081
FS( 37 ),1628876.819999999832362,1769404.240000000223517,1496676.729999999981374,1656090.800000000046566,1758557.800000000046566,1924890.469999999972060,10234500.859999999403954
FS( 38 ),1621370.750000000000000,1765268.240000000223517,1469984.199999999953434,1652389.479999999981374,1753152.400000000139698,1927278.980000000214204,10189448.050000000745058
FS( 39 ),1630688.629999999888241,1747069.840000000083819,1480754.869999999878928,1653447.000000000000000,1763963.199999999953434,1916397.989999999990687,10192325.529999999329448
FS( 40 ),1655795.139999999897555,1734000.080000000307336,1477008.549999999813735,1658205.839999999850988,1774173.399999999906868,1931790.610000000102445,10230977.619999999180436
FS( 41 ),1676242.709999999962747,1749220.560000000288710,1491525.540000000037253,1661907.159999999916181,1781981.200000000186265,1917990.329999999841675,10278871.500000000000000
FS( 42 ),1673395.580000000074506,1738797.840000000083819,1491057.250000000000000,1663493.439999999944121,1755554.800000000046566,1933382.949999999953434,10255685.859999999403954
FS( 43 ),1688666.549999999813735,1765268.240000000223517,1483096.320000000065193,1744393.719999999972060,1748347.599999999860302,1941610.040000000037253,10371386.469999998807907
FS( 44 ),1710408.269999999785796,1785121.040000000270084,1493398.699999999953434,1752853.879999999888241,1763963.199999999953434,1917724.940000000176951,10423474.029999999329448
FS( 45 ),1735773.609999999869615,1778503.440000000176951,1484501.189999999944121,1755497.680000000167638,1753152.400000000139698,1946387.060000000055879,10453819.380000000819564
FS( 46 ),1720243.809999999823049,1770893.200000000186265,1478881.709999999729916,1759199.000000000232831,1762161.399999999906868,1943733.159999999916181,10435116.279999999329448
FS( 47 ),1719467.320000000065193,1760635.920000000158325,1501359.629999999888241,1735404.800000000046566,1757356.600000000093132,1935240.680000000167638,10409468.949999999254942
FS( 48 ),1704714.009999999776483,1751040.400000000139698,1540227.699999999953434,1746508.760000000009313,1749548.800000000046566,1942140.820000000298023,10434184.490000000223517
FS( 49 ),1680383.989999999990687,1742602.960000000195578,1531330.189999999944121,1753382.639999999897555,1754353.600000000093132,1935506.070000000298023,10397563.450000001117587
FS( 50 ),1728267.539999999804422,1724570.000000000000000,1539291.119999999878928,1758670.239999999990687,1753152.400000000139698,1921175.010000000009313,10425130.310000000521541
FS( 51 ),1810316.649999999906868,1757492.560000000288710,1509320.559999999823049,1740163.639999999897555,1757957.199999999953434,1946652.449999999953434,10521907.059999998658895
FS( 52 ),1843188.059999999823049,1723246.480000000214204,1514940.040000000037253,1701035.400000000139698,1743542.800000000046566,1923828.909999999916181,10449785.690000001341105
FS( 53 ),1841117.419999999692664,1699588.560000000288710,1488715.799999999813735,1678827.479999999981374,1729729.000000000000000,1894901.400000000139698,10332883.660000000149012
FS( 54 ),1857423.709999999962747,1711831.120000000111759,1489184.089999999850988,1683057.559999999823049,1703903.199999999953434,1895697.570000000298023,10341101.250000000000000
FS( 55 ),1877353.619999999878928,1732511.120000000111759,1469984.199999999953434,1710553.080000000074506,1709308.600000000093132,1903128.489999999990687,10402843.110000001266599
FS( 56 ),1852764.769999999785796,1731022.160000000149012,1480754.869999999878928,1708966.800000000046566,1713512.800000000046566,1923032.739999999990687,10410058.140000000596046
FS( 57 ),1857682.539999999804422,1719110.480000000214204,1480286.579999999841675,1695747.800000000046566,1696095.399999999906868,1906843.949999999953434,10355770.749999998137355
FS( 58 ),1859753.179999999701977,1739459.600000000093132,1516813.199999999953434,1714783.159999999916181,1691290.600000000093132,1910028.630000000121072,10432132.370000001043081
FS( 59 ),1852505.939999999711290,1745084.560000000288710,1627329.639999999897555,1697334.080000000074506,1702101.399999999906868,1925155.860000000102445,10549515.479999998584390
FS( 60 ),1859753.179999999701977,1745911.760000000242144,1599232.239999999757856,1689931.439999999944121,1682882.199999999953434,1920909.619999999878928,10498624.439999997615814
FS( 61 ),1806693.029999999795109,1707529.680000000167638,1557554.429999999701977,1660849.639999999897555,1681681.000000000000000,1898086.079999999841675,10312397.859999999403954
FS( 62 ),1815234.419999999692664,1708522.320000000065193,1546315.469999999972060,1675654.920000000158325,1694293.600000000093132,1898616.860000000102445,10338641.589999999850988
FS( 63 ),1818081.549999999813735,1735985.360000000335276,1571134.839999999850988,1678298.719999999972060,1687687.000000000000000,1922501.959999999962747,10413693.429999999701977
FS( 64 ),1801516.429999999701977,1719275.920000000158325,1564110.489999999757856,1660849.639999999897555,1694293.600000000093132,1903924.659999999916181,10343974.740000000223517
FS( 65 ),1806693.029999999795109,1737308.880000000353903,1492930.409999999916181,1699977.879999999888241,1682281.600000000093132,1925686.640000000130385,10344882.440000001341105
FS( 66 ),1843964.549999999813735,1759808.720000000204891,1461086.689999999944121,1722185.800000000046566,1703903.199999999953434,1946652.449999999953434,10437605.409999998286366
FS( 67 ),1831281.879999999888241,1764441.040000000270084,1462959.849999999860302,1728530.919999999925494,1697897.199999999953434,1964964.360000000102445,10450079.249999998137355
FS( 68 ),1842152.739999999990687,1754845.520000000018626,1458745.239999999757856,1717955.719999999972060,1698497.800000000046566,1965495.140000000130385,10437696.160000000149012
FS( 69 ),1871659.359999999869615,1773374.800000000046566,1482628.029999999795109,1729059.680000000167638,1699699.000000000000000,1970537.550000000046566,10526962.419999999925494
FS( 70 ),1828952.409999999916181,1789587.920000000158325,1516813.199999999953434,1766601.639999999897555,1708708.000000000000000,1980622.369999999878928,10591289.539999999105930
FS( 71 ),1729561.689999999711290,1807124.560000000288710,1533203.350000000093132,1787223.279999999795109,1721921.200000000186265,1995218.820000000298023,10574256.899999998509884
FS( 72 ),1747938.619999999878928,1816554.640000000130385,1530861.899999999906868,1799913.520000000018626,1700299.599999999860302,1983541.659999999916181,10579113.939999999478459
FS( 73 ),1718949.659999999916181,1841866.960000000195578,1546783.760000000009313,1795683.439999999944121,1712311.600000000093132,1976641.520000000251457,10592240.939999999478459
FS( 74 ),1664336.529999999795109,1913667.920000000158325,1536013.089999999850988,1803086.080000000074506,1724323.600000000093132,1993626.480000000214204,10635057.700000001117587
FS( 75 ),1683748.779999999795109,1937491.280000000260770,1542100.859999999869615,1806258.639999999897555,1720119.400000000139698,1972129.890000000130385,10661852.849999999627471
FS( 76 ),1718173.169999999692664,1958833.040000000270084,1560364.169999999925494,1836926.719999999972060,1744143.399999999906868,1938425.360000000102445,10756869.859999999403954
FS( 77 ),1746385.639999999897555,1969421.200000000186265,1575349.449999999953434,1837455.479999999981374,1732131.399999999906868,1880039.560000000055879,10740786.730000000447035
FS( 78 ),1728267.539999999804422,1929550.160000000149012,1535544.799999999813735,1834282.919999999925494,1739939.199999999953434,1872874.029999999795109,10640462.649999998509884
FS( 79 ),1814199.099999999860302,1944108.880000000353903,1533203.350000000093132,1823707.719999999972060,1729729.000000000000000,1906047.779999999795109,10750999.830000000074506
FS( 80 ),1808504.840000000083819,1968759.440000000176951,1520091.229999999981374,1835869.199999999953434,1724323.600000000093132,1919317.279999999795109,10776869.589999999850988
FS( 81 ),1780551.199999999953434,1960652.880000000353903,1522432.679999999701977,1822121.439999999944121,1711110.399999999906868,1910294.020000000251457,10707166.619999999180436
FS( 82 ),1797892.809999999823049,1975046.160000000149012,1534608.219999999972060,1859663.400000000139698,1712912.199999999953434,1915071.040000000037253,10795197.829999998211861
FS( 83 ),1784951.309999999823049,1964458.000000000000000,1558022.719999999972060,1946908.800000000046566,1734533.800000000046566,1910559.409999999916181,10899438.039999999105930
FS( 84 ),1762950.759999999776483,1943943.440000000176951,1558491.010000000009313,1920470.800000000046566,1725524.800000000046566,1900474.590000000083819,10811859.400000000372529
FS( 85 ),1804363.559999999823049,1948079.440000000176951,1572539.709999999729916,1914654.439999999944121,1735134.400000000139698,1926217.419999999925494,10900992.970000000670552
FS( 86 ),1810316.649999999906868,1949568.400000000139698,1588461.570000000065193,1900906.680000000167638,1742341.600000000093132,1925952.029999999795109,10917550.929999999701977
FS( 87 ),1787539.609999999869615,1906554.000000000000000,1585651.829999999841675,1894032.800000000046566,1727927.199999999953434,1924625.079999999841675,10826334.519999999552965
FS( 88 ),1785986.629999999888241,1938980.240000000223517,1586588.409999999916181,1907251.800000000046566,1741741.000000000000000,1937098.409999999916181,10897650.490000000223517
FS( 89 ),1803587.070000000065193,1930542.800000000046566,1559427.589999999850988,1886101.400000000139698,1718918.199999999953434,1915336.430000000167638,10813917.490000000223517
FS( 90 ),1778480.559999999823049,1909862.800000000046566,1545847.179999999701977,1858077.120000000111759,1696095.399999999906868,1897024.520000000251457,10685391.579999998211861
FS( 91 ),1799186.959999999962747,1893815.120000000111759,1548656.919999999925494,1874468.680000000167638,1699098.399999999906868,1894370.619999999878928,10709600.699999999254942
FS( 92 ),1810575.479999999981374,1967105.040000000270084,1580968.929999999701977,1941621.199999999953434,1727927.199999999953434,1963372.020000000251457,10991573.869999999180436
FS( 93 ),1822222.830000000074506,1951884.560000000288710,1598295.659999999916181,1942149.959999999729916,1724924.199999999953434,1971068.329999999841675,11010549.540000000968575
FS( 94 ),1834129.009999999776483,1976369.680000000167638,1613280.939999999944121,1958012.760000000009313,1762762.000000000000000,1983010.880000000121072,11127569.270000001415610
FS( 95 ),1843964.549999999813735,1955193.360000000335276,1615154.100000000093132,1948495.080000000074506,1751350.600000000093132,1960452.730000000214204,11074614.419999999925494
FS( 96 ),1853023.599999999860302,1990928.400000000139698,1622178.449999999953434,1970174.239999999990687,1789789.000000000000000,1995484.209999999962747,11221581.900000002235174
FS( 97 ),1865447.439999999711290,2023189.200000000186265,1635290.570000000065193,1970703.000000000232831,1817416.600000000093132,1894105.230000000214204,11206156.040000000968575
FS( 98 ),1881753.729999999981374,2026994.320000000065193,1637163.729999999981374,2007716.199999999953434,1832431.600000000093132,1824838.440000000176951,11210902.019999999552965
FS( 99 ),1927825.469999999972060,2009623.120000000111759,1638568.600000000093132,2011946.279999999795109,1825825.000000000000000,1809976.600000000093132,11223769.069999998435378
FS( 100 ),1922390.039999999804422,2026332.560000000288710,1619368.709999999729916,2008244.959999999729916,1842641.800000000046566,1827492.340000000083819,11246474.410000000149012
FS( 101 ),1941025.799999999813735,2134530.320000000298023,1580968.929999999701977,1997669.760000000009313,1837837.000000000000000,1804934.190000000176951,11296969.999999998137355
FS( 102 ),1966908.799999999813735,2133868.559999999590218,1579095.769999999785796,1996612.239999999990687,1838437.599999999860302,1794318.590000000083819,11309245.559999998658895
FS( 103 ),1944908.250000000000000,2170430.799999999813735,1673222.059999999823049,2001371.080000000074506,1838437.599999999860302,1794583.980000000214204,11422957.769999999552965
FS( 104 ),1959402.729999999981374,2148758.160000000149012,1665729.419999999925494,1996612.239999999990687,1846245.399999999906868,1776537.459999999962747,11393289.410000000149012
FS( 105 ),1910483.859999999869615,2145118.480000000447035,1663387.969999999972060,2007187.439999999944121,1876876.000000000000000,1806791.919999999925494,11409849.669999999925494
FS( 106 ),1941025.799999999813735,2145449.360000000335276,1664324.549999999813735,2013003.800000000046566,1857656.800000000046566,1804934.190000000176951,11426398.500000000000000
FS( 107 ),1932743.239999999990687,2159015.440000000409782,1658236.779999999795109,2002957.360000000102445,1843242.400000000139698,1811568.940000000176951,11407768.160000000149012
FS( 108 ),1922907.699999999953434,2200871.759999999776483,1663856.260000000009313,2010888.760000000009313,1872071.200000000186265,1821388.369999999878928,11491988.049999998882413
FS( 109 ),1947755.379999999888241,2196901.200000000186265,1683056.149999999906868,2019348.919999999925494,1877476.600000000093132,1829880.850000000093132,11554423.099999999627471
FS( 110 ),1942837.609999999869615,2209805.520000000484288,1715836.449999999953434,2041028.080000000074506,1876275.399999999906868,1823776.880000000121072,11609563.940000001341105
FS( 111 ),1926272.489999999990687,2201864.400000000372529,1787953.109999999869615,2029395.360000000102445,1860059.199999999953434,1865443.110000000102445,11670991.669999999925494
FS( 112 ),1894954.059999999823049,2175724.879999999888241,1756109.389999999897555,2001371.080000000074506,1856455.600000000093132,1851377.440000000176951,11535996.449999999254942
FS( 113 ),1924978.340000000083819,2208482.000000000000000,1769221.510000000009313,2038913.040000000037253,1881080.199999999953434,1871016.300000000046566,11693695.390000000596046
FS( 114 ),1919284.080000000074506,2192599.759999999776483,1760324.000000000000000,2039970.559999999823049,1876275.399999999906868,1871016.300000000046566,11659474.099999999627471
FS( 115 ),1922907.699999999953434,2189290.959999999962747,1749553.329999999841675,2032567.919999999925494,1884683.800000000046566,1856419.850000000093132,11635427.560000000521541
FS( 116 ),1925237.169999999692664,2203187.919999999925494,1787016.529999999795109,2057948.400000000139698,1914113.199999999953434,1884551.190000000176951,11772058.409999998286366
FS( 117 ),1952931.979999999981374,2234952.400000000372529,1780460.469999999972060,2079098.800000000046566,1921921.000000000000000,1895962.959999999962747,11865331.609999999403954
FS( 118 ),1941284.629999999888241,2251330.959999999962747,1772031.250000000000000,2094432.839999999850988,1933933.000000000232831,1907374.730000000214204,11900391.410000000149012
FS( 119 ),1917731.099999999860302,2289051.280000000260770,1742060.689999999944121,2077512.520000000018626,1922521.599999999860302,1902332.320000000298023,11851213.509999999776483
FS( 120 ),1921095.889999999897555,2266220.559999999590218,1720519.350000000093132,2057419.639999999897555,1901500.600000000093132,1900474.590000000083819,11767234.629999998956919
FS( 121 ),1904271.939999999711290,2191276.240000000223517,1736441.209999999729916,2057948.400000000139698,1917116.200000000186265,1910294.020000000251457,11717352.009999999776483
FS( 122 ),1927048.979999999981374,2199217.360000000335276,1751426.489999999757856,2064822.279999999795109,1920119.199999999953434,1934975.290000000037253,11797613.599999997764826
FS( 123 ),1922131.209999999962747,2249511.120000000111759,1759387.419999999925494,2085443.919999999925494,1929128.199999999953434,1957002.659999999916181,11902608.529999999329448
FS( 124 ),1936625.689999999711290,2200375.440000000409782,1762665.449999999953434,2092317.800000000046566,1930329.400000000139698,1965760.529999999795109,11888078.309999998658895
FS( 125 ),1972344.229999999981374,2229823.759999999776483,1749085.040000000037253,2104479.279999999795109,1915314.400000000139698,1977703.079999999841675,11948753.790000000968575
FS( 126 ),2018674.799999999813735,2228831.120000000111759,1760792.290000000037253,2097605.399999999906868,1914713.800000000046566,1973456.840000000083819,11994078.250000000000000
FS( 127 ),2056205.149999999906868,2221055.440000000409782,1785611.659999999916181,2092317.800000000046566,1905704.800000000046566,1976641.520000000251457,12037540.369999999180436
