代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11290544.470000000670552
真實報酬,1290544.470000000670552

夏普值報酬,0.120354447000000
夏普值風險,0.035670151101031
夏普值,3.374094117490861

二次趨勢線,44.528499451228313 x^2 + 3549.767131310408331 x + 10000000.000000000000000
二次平均預期報酬,9293.943560518862796
風險,119339.012918130567414
二次平均趨勢值,0.077878502036000
一次趨勢線,7841.136292431120637 x + 10000000.000000000000000
一次預期報酬,7841.136292431120637
一次風險,145000.128264950442826
一次趨勢值,0.054076754181234
找到最佳解世代,2192
找到最佳解實驗#,1
找到最佳解次數,30

stock[index](rank)
投資組合檔數,5
AAPL[0](6),BA[2](4),CVX[5](10),JPM[13](3),PG[21](16),
FS( 73 ),2192760.879999999888241,2037179.350000000093132,1966380.800000000279397,2025574.640000000130385,2128617.520000000018626,10350513.190000001341105
FS( 74 ),2270352.719999999739230,2019934.460000000195578,1946407.040000000037253,2021616.660000000149012,2127639.439999999944121,10385950.320000000298023
FS( 75 ),2347538.320000000298023,2021516.560000000055879,1967765.120000000111759,2028923.699999999953434,2153314.040000000037253,10519057.740000002086163
FS( 76 ),2334335.520000000484288,2004588.090000000083819,1934936.960000000195578,2003957.979999999748543,2153069.520000000018626,10430888.070000000298023
FS( 77 ),2307117.440000000409782,2016928.470000000204891,1938892.160000000149012,2015223.000000000000000,2160894.160000000149012,10439055.230000000447035
FS( 78 ),2306914.320000000298023,2021832.980000000214204,1932168.320000000065193,2023443.419999999925494,2166029.080000000074506,10450388.120000001043081
FS( 79 ),2306508.080000000074506,2065657.150000000139698,1970336.000000000000000,2035012.900000000139698,2146956.520000000018626,10524470.650000000372529
FS( 80 ),2328241.919999999925494,2086382.660000000149012,1977257.600000000093132,2051758.199999999953434,2176054.399999999906868,10619694.779999999329448
FS( 81 ),2289446.000000000000000,2084958.770000000251457,1962227.840000000083819,2047495.760000000009313,2145978.439999999944121,10530106.810000000521541
FS( 82 ),2292899.040000000037253,2065815.360000000102445,1953526.400000000139698,2002740.140000000130385,2148179.119999999646097,10463160.060000000521541
FS( 83 ),2297164.560000000521541,2077681.110000000102445,1957481.600000000093132,2020398.820000000065193,2160649.640000000130385,10513375.730000002309680
FS( 84 ),2314632.879999999888241,2092078.219999999972060,2020171.520000000251457,2031054.919999999925494,2187546.839999999850988,10645484.379999998956919
FS( 85 ),2278680.640000000596046,2073093.020000000251457,2002768.640000000130385,1998782.160000000149012,2157470.879999999888241,10510795.339999999850988
FS( 86 ),2296352.080000000074506,2084325.930000000167638,2035399.040000000037253,2027401.400000000139698,2194637.919999999925494,10638116.369999999180436
FS( 87 ),2285586.719999999739230,2094451.370000000111759,2026104.320000000065193,2024965.720000000204891,2167985.239999999757856,10599093.370000001043081
FS( 88 ),2295336.480000000447035,2092394.640000000130385,2002768.640000000130385,2027705.859999999869615,2160405.119999999646097,10578610.740000000223517
FS( 89 ),2296352.080000000074506,2130523.250000000000000,2021753.600000000093132,2060892.000000000000000,2172631.119999999646097,10682152.049999998882413
FS( 90 ),2313414.160000000149012,2126726.209999999962747,2020764.800000000279397,2066372.280000000260770,2181678.359999999869615,10708955.809999998658895
FS( 91 ),2316867.200000000186265,2117708.240000000223517,2022544.640000000130385,2073679.320000000065193,2200750.919999999925494,10731550.320000000298023
FS( 92 ),2357288.080000000074506,2149192.030000000260770,2056361.600000000093132,2089815.699999999953434,2177766.040000000037253,10830423.449999999254942
FS( 93 ),2362366.080000000074506,2115967.930000000167638,2037772.160000000149012,2079768.520000000018626,2165051.000000000000000,10760925.689999999478459
FS( 94 ),2383490.560000000521541,2106791.750000000000000,2020171.520000000251457,2074288.239999999757856,2165784.559999999590218,10750526.629999998956919
FS( 95 ),2376178.240000000223517,2110272.370000000111759,1993276.160000000149012,2062414.299999999813735,2157715.399999999906868,10699856.470000000670552
FS( 96 ),2389381.040000000037253,2112170.890000000130385,1999011.200000000186265,2055716.179999999934807,2162361.280000000260770,10718640.589999999850988
FS( 97 ),2387756.080000000074506,2120081.390000000130385,2004548.480000000214204,2045060.080000000074506,2147690.080000000074506,10705136.110000001266599
FS( 98 ),2386131.120000000111759,2137484.490000000223517,2013052.160000000149012,2061196.460000000195578,2138398.319999999832362,10736262.550000000745058
FS( 99 ),2379021.919999999925494,2154571.170000000391155,2022544.640000000130385,2080986.359999999869615,2091695.000000000000000,10728819.089999999850988
FS( 100 ),2377803.200000000186265,2149192.030000000260770,2014634.240000000223517,2078246.220000000204891,2076779.280000000027940,10696654.970000000670552
FS( 101 ),2368459.679999999701977,2145869.620000000111759,2003361.920000000158325,2085248.799999999813735,2062108.079999999841675,10665048.099999999627471
FS( 102 ),2389787.280000000260770,2174663.839999999850988,1990705.280000000027940,2096818.280000000260770,2056484.119999999878928,10708458.799999998882413
FS( 103 ),2401974.480000000447035,2199502.810000000521541,1992880.640000000130385,2094687.059999999823049,2126661.359999999869615,10815706.350000001490116
FS( 104 ),2347944.560000000521541,2302655.729999999981374,2001186.560000000055879,2104734.240000000223517,2137175.720000000204891,10893696.810000002384186
FS( 105 ),2325398.240000000223517,2267374.900000000372529,1976071.040000000037253,2107778.839999999850988,2117125.080000000074506,10793748.099999999627471
FS( 106 ),2309961.120000000111759,2262628.600000000093132,2053197.439999999944121,2104125.320000000298023,2123482.600000000093132,10853395.080000000074506
FS( 107 ),2306304.959999999962747,2253452.420000000391155,2071589.120000000111759,2108692.219999999739230,2122504.520000000018626,10862543.240000000223517
FS( 108 ),2264665.360000000335276,2253136.000000000000000,2105801.600000000093132,2099862.879999999888241,2123727.119999999646097,10847192.959999999031425
FS( 109 ),2266696.560000000521541,2226873.140000000130385,2084245.760000000009313,2091033.540000000270084,2121037.399999999906868,10789886.400000002235174
FS( 110 ),2230947.440000000409782,2215323.810000000521541,2084245.760000000009313,2081899.739999999757856,2117614.119999999646097,10730030.869999999180436
FS( 111 ),2210838.560000000521541,2207729.729999999981374,2072182.400000000139698,2063023.220000000204891,2080447.079999999841675,10634220.990000002086163
FS( 112 ),2242728.400000000372529,2262945.020000000018626,2113118.720000000204891,2127568.740000000223517,2116636.040000000037253,10862996.920000001788139
FS( 113 ),2255931.200000000186265,2249813.589999999850988,2121820.160000000149012,2132135.639999999664724,2138642.839999999850988,10898343.429999999701977
FS( 114 ),2252275.040000000037253,2295536.280000000260770,2128741.760000000242144,2230171.759999999776483,2101231.280000000260770,11007956.120000001043081
FS( 115 ),2189510.959999999962747,2336670.879999999888241,2131708.160000000149012,2333688.160000000149012,2028608.839999999850988,11020187.000000000000000
FS( 116 ),2202510.640000000596046,2349802.310000000521541,2108965.760000000242144,2334906.000000000000000,2043769.079999999841675,11039953.790000000968575
FS( 117 ),2147262.000000000000000,2373059.180000000167638,2107976.959999999962747,2420763.719999999739230,2029586.919999999925494,11078648.779999999329448
FS( 118 ),2175698.799999999813735,2343315.700000000186265,2154846.080000000074506,2416196.820000000298023,2044747.160000000149012,11134804.560000000521541
FS( 119 ),2234197.360000000335276,2316894.629999999888241,2142782.720000000204891,2356522.660000000149012,2034232.799999999813735,11084630.170000001788139
FS( 120 ),2233384.879999999888241,2299333.320000000298023,2138234.240000000223517,2375399.179999999701977,2031298.559999999823049,11077650.180000001564622
FS( 121 ),2235619.200000000186265,2315470.740000000223517,2159592.320000000298023,2365960.919999999925494,2005134.919999999925494,11081778.099999999627471
FS( 122 ),2269540.240000000223517,2326070.810000000521541,2178972.800000000279397,2376312.559999999590218,2020784.199999999953434,11171680.609999999403954
FS( 123 ),2270962.080000000074506,2365623.310000000521541,2187674.240000000223517,2390926.639999999664724,2023718.439999999944121,11238904.709999999031425
FS( 124 ),2259384.240000000223517,2369103.930000000167638,2195189.120000000111759,2400973.820000000298023,2021762.280000000027940,11246413.389999998733401
FS( 125 ),2270758.959999999962747,2373850.229999999981374,2195189.120000000111759,2400060.440000000409782,2040834.839999999850988,11280693.589999999850988
FS( 126 ),2266290.320000000298023,2369578.560000000521541,2185301.120000000111759,2384532.979999999515712,2031298.559999999823049,11237001.540000000968575
FS( 127 ),2264056.000000000000000,2399163.830000000074506,2162360.959999999962747,2402800.580000000074506,2026897.199999999953434,11255278.570000000298023
FS( 128 ),2244962.719999999739230,2382077.150000000372529,2206263.680000000167638,2440858.080000000074506,2016382.839999999850988,11290544.470000000670552
