代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11408309.220000000670552
真實報酬,1408309.220000000670552

夏普值報酬,0.132130922000000
夏普值風險,0.042091853469629
夏普值,3.139109141281632

二次趨勢線,-55.948080989923497 x^2 + 19179.736902587726945 x + 10000000.000000000000000
二次平均預期報酬,11906.486373897674639
風險,112455.546472046407871
二次平均趨勢值,0.105877271041116
一次趨勢線,13745.860542350175820 x + 10000000.000000000000000
一次預期報酬,13745.860542350175820
一次風險,153921.262316995416768
一次趨勢值,0.089304494619080
找到最佳解世代,1355
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,7
CVX[5](8),JNJ[12](4),JPM[13](14),MRK[17](3),PFE[20](5),PG[21](7),UNH[23](1),
FS( 51 ),1677526.860000000102445,1523830.449999999953434,1491552.910000000149012,1499239.800000000046566,1576942.599999999860302,1444750.120000000111759,1534474.820000000065193,10748320.560000000521541
FS( 52 ),1693781.140000000130385,1521965.229999999981374,1490587.670000000158325,1493994.849999999860302,1578369.250000000000000,1449322.479999999981374,1523320.870000000111759,10751344.489999998360872
FS( 53 ),1670892.459999999962747,1513038.820000000065193,1476833.000000000000000,1487369.650000000139698,1578369.250000000000000,1428571.000000000000000,1514632.530000000027940,10669709.709999999031425
FS( 54 ),1696600.760000000242144,1524763.059999999823049,1487933.260000000009313,1508625.500000000000000,1587404.700000000186265,1435605.399999999906868,1533887.769999999785796,10774823.449999999254942
FS( 55 ),1671058.320000000065193,1516636.030000000027940,1487933.260000000009313,1499515.850000000093132,1570760.450000000186265,1417843.540000000037253,1521207.489999999990687,10684957.940000001341105
FS( 56 ),1659613.980000000214204,1513438.510000000009313,1545365.040000000270084,1509177.600000000093132,1577418.150000000139698,1404302.319999999832362,1532361.439999999944121,10741680.040000000968575
FS( 57 ),1656130.919999999925494,1503579.489999999757856,1529679.890000000130385,1506693.149999999906868,1587404.700000000186265,1410281.559999999823049,1526373.530000000027940,10720146.239999998360872
FS( 58 ),1655135.760000000242144,1500781.659999999916181,1532575.610000000102445,1521323.800000000046566,1604524.500000000232831,1407291.939999999944121,1537410.070000000065193,10759046.339999999850988
FS( 59 ),1648335.500000000000000,1494386.619999999878928,1531369.060000000055879,1516078.850000000093132,1601195.650000000139698,1410457.419999999925494,1531304.749999999767169,10733130.849999999627471
FS( 60 ),1661770.159999999916181,1501447.809999999823049,1557430.540000000270084,1534850.250000000000000,1621644.300000000046566,1423998.639999999897555,1556782.719999999972060,10857927.419999999925494
FS( 61 ),1687976.040000000037253,1510240.989999999757856,1581078.919999999925494,1561627.100000000093132,1633533.050000000046566,1432967.500000000000000,1566527.749999999767169,10973954.349999997764826
FS( 62 ),1683497.820000000065193,1504245.640000000130385,1569254.729999999981374,1556658.199999999953434,1637337.449999999953434,1428395.139999999897555,1561361.709999999962747,10940753.690000001341105
FS( 63 ),1692122.540000000037253,1506377.320000000065193,1578907.130000000121072,1559142.649999999906868,1645897.350000000093132,1432088.200000000186265,1573337.530000000027940,10987875.720000000670552
FS( 64 ),1675204.820000000065193,1501447.809999999823049,1575046.169999999925494,1553069.550000000046566,1650177.300000000279397,1425229.660000000149012,1569462.999999999767169,10949641.310000000521541
FS( 65 ),1677361.000000000000000,1502646.879999999888241,1585181.189999999944121,1555001.899999999906868,1652555.050000000046566,1438419.160000000149012,1579560.260000000009313,10990728.439999999478459
FS( 66 ),1667409.400000000139698,1525429.209999999962747,1588076.910000000149012,1568528.350000000093132,1658261.649999999906868,1441232.919999999925494,1597289.169999999925494,11046230.610000001266599
FS( 67 ),1669565.580000000074506,1529026.419999999925494,1559843.640000000130385,1563559.449999999953434,1649701.750000000000000,1450377.639999999897555,1606681.969999999972060,11028759.450000001117587
FS( 68 ),1678024.440000000176951,1542482.649999999906868,1575287.479999999981374,1578190.100000000093132,1661114.949999999953434,1455653.439999999944121,1622062.680000000167638,11112818.740000000223517
FS( 69 ),1713684.339999999850988,1541949.729999999981374,1569978.660000000149012,1573497.250000000000000,1656835.000000000232831,1447739.739999999757856,1607856.070000000065193,11111543.790000000968575
FS( 70 ),1709869.560000000055879,1542882.339999999850988,1574563.550000000046566,1590612.349999999860302,1676332.550000000046566,1453543.120000000111759,1648479.930000000167638,11196286.399999998509884
FS( 71 ),1705225.480000000214204,1558869.939999999944121,1562498.050000000046566,1578466.149999999906868,1679185.850000000093132,1462687.840000000083819,1651767.410000000149012,11198703.719999998807907
FS( 72 ),1691459.100000000093132,1559003.169999999925494,1540538.840000000083819,1568252.300000000046566,1678234.750000000000000,1463215.419999999925494,1634860.370000000111759,11135566.949999999254942
FS( 73 ),1693449.419999999925494,1556072.110000000102445,1526784.170000000158325,1548928.800000000046566,1652079.500000000232831,1452136.239999999757856,1621358.219999999972060,11050811.460000000894070
FS( 74 ),1679848.900000000139698,1560468.699999999953434,1498068.280000000027940,1552793.500000000000000,1663968.250000000232831,1465853.319999999832362,1618775.200000000186265,11039779.149999998509884
FS( 75 ),1669068.000000000000000,1551009.369999999878928,1495413.870000000111759,1548376.700000000186265,1654457.250000000000000,1458818.919999999925494,1611613.189999999944121,10988760.299999998882413
FS( 76 ),1676365.839999999850988,1554073.659999999916181,1501446.620000000111759,1587299.750000000000000,1652555.050000000046566,1466908.479999999981374,1628050.590000000083819,11066702.990000000223517
FS( 77 ),1684658.839999999850988,1538618.979999999981374,1502894.479999999981374,1542855.699999999953434,1627350.899999999906868,1461984.399999999906868,1616661.820000000065193,10975028.120000001043081
FS( 78 ),1701908.280000000027940,1552741.360000000102445,1505066.270000000018626,1549756.949999999953434,1640666.300000000046566,1460401.660000000149012,1626406.850000000093132,11036950.669999999925494
FS( 79 ),1712357.459999999962747,1547945.080000000074506,1519062.250000000000000,1552793.500000000000000,1652555.050000000046566,1466908.479999999981374,1622532.320000000065193,11074157.140000000596046
FS( 80 ),1696600.760000000242144,1551675.519999999785796,1513270.810000000055879,1574601.449999999953434,1639239.649999999906868,1469722.239999999757856,1619127.430000000167638,11064240.859999999403954
FS( 81 ),1732260.659999999916181,1563932.679999999934807,1545606.350000000093132,1592268.649999999906868,1644946.250000000232831,1480977.279999999795109,1634273.320000000065193,11194268.189999999478459
FS( 82 ),1690132.220000000204891,1540617.429999999934807,1438223.400000000139698,1542579.650000000139698,1615462.149999999906868,1446684.580000000074506,1611965.419999999925494,10885667.850000001490116
FS( 83 ),1664589.780000000027940,1552874.589999999850988,1390202.709999999962747,1526844.800000000046566,1607377.799999999813735,1428571.000000000000000,1609852.040000000270084,10780315.720000000670552
FS( 84 ),1685654.000000000000000,1575257.229999999981374,1436292.920000000158325,1534298.149999999906868,1637813.000000000000000,1450201.779999999795109,1628637.640000000130385,10948157.720000000670552
FS( 85 ),1715342.940000000176951,1589912.530000000027940,1476833.000000000000000,1574877.500000000000000,1664919.349999999860302,1475701.479999999981374,1649888.850000000093132,11147478.650000000372529
FS( 86 ),1738729.199999999953434,1616158.839999999850988,1499516.140000000130385,1590336.300000000046566,1674430.350000000093132,1489066.840000000083819,1657872.729999999981374,11266113.400000000372529
FS( 87 ),1727450.720000000204891,1616025.610000000102445,1478280.860000000102445,1599445.949999999953434,1691550.150000000139698,1491001.300000000046566,1653880.790000000270084,11257638.380000002682209
FS( 88 ),1717830.839999999850988,1629082.149999999906868,1437016.850000000093132,1601102.250000000000000,1702963.350000000093132,1502608.059999999823049,1662099.489999999990687,11252705.990000000223517
FS( 89 ),1734582.699999999953434,1634011.659999999916181,1452460.689999999944121,1633124.049999999813735,1705341.100000000093132,1495397.800000000046566,1671727.109999999869615,11326648.109999999403954
FS( 90 ),1709206.120000000111759,1632279.669999999925494,1452460.689999999944121,1622634.150000000139698,1701061.150000000139698,1491880.599999999860302,1653176.330000000074506,11262701.710000000894070
FS( 91 ),1737734.040000000037253,1636809.489999999757856,1492035.530000000027940,1638369.000000000000000,1717705.399999999906868,1508411.439999999944121,1658694.600000000093132,11389762.499999998137355
FS( 92 ),1748017.360000000102445,1637875.330000000074506,1502653.170000000158325,1638092.950000000186265,1719132.050000000046566,1508059.719999999972060,1647540.649999999906868,11401374.230000000447035
FS( 93 ),1771071.900000000139698,1637742.099999999860302,1525095.000000000000000,1645270.250000000000000,1723412.000000000232831,1508059.719999999972060,1642139.790000000270084,11452793.760000001639128
FS( 94 ),1768915.720000000204891,1638807.939999999944121,1524129.760000000009313,1643890.000000000000000,1726740.850000000093132,1510521.760000000009313,1661160.209999999962747,11474169.239999998360872
FS( 95 ),1769745.020000000018626,1641206.080000000074506,1547295.520000000251457,1646650.500000000000000,1755749.400000000139698,1510170.040000000037253,1653645.969999999972060,11524465.530000001192093
FS( 96 ),1775218.400000000139698,1638807.939999999944121,1548743.380000000121072,1646098.400000000139698,1748616.150000000139698,1512632.080000000074506,1659399.060000000288710,11529518.410000002011657
FS( 97 ),1759627.560000000055879,1640673.159999999916181,1543434.560000000055879,1629259.350000000093132,1742434.000000000000000,1511225.200000000186265,1652589.280000000027940,11479246.109999997541308
FS( 98 ),1758798.260000000242144,1668784.689999999944121,1541021.459999999962747,1619321.549999999813735,1742434.000000000000000,1515445.840000000083819,1674192.719999999972060,11520001.520000001415610
FS( 99 ),1751334.560000000055879,1667319.159999999916181,1542710.630000000121072,1622910.199999999953434,1744336.199999999953434,1500497.739999999757856,1679241.350000000093132,11508352.839999999850988
FS( 100 ),1748017.360000000102445,1667452.390000000130385,1536919.189999999944121,1622910.199999999953434,1745762.850000000093132,1499442.580000000074506,1677480.200000000186265,11497987.769999999552965
FS( 101 ),1752495.580000000074506,1665853.629999999888241,1545365.040000000270084,1623738.350000000093132,1747189.500000000232831,1507532.139999999897555,1687107.820000000065193,11529285.060000000521541
FS( 102 ),1709537.839999999850988,1663988.409999999916181,1541262.770000000018626,1616561.050000000046566,1749091.700000000186265,1508939.020000000018626,1664095.459999999962747,11453479.250000000000000
FS( 103 ),1703069.300000000279397,1667452.390000000130385,1547536.829999999841675,1611040.050000000046566,1751469.449999999953434,1499618.439999999944121,1663743.229999999981374,11443932.690000001341105
FS( 104 ),1696103.180000000167638,1662389.649999999906868,1552363.030000000027940,1617665.250000000000000,1752420.550000000046566,1485373.779999999795109,1663508.410000000149012,11429826.849999999627471
FS( 105 ),1688307.760000000242144,1658259.519999999785796,1546812.899999999906868,1612972.399999999906868,1743860.650000000139698,1491528.880000000121072,1676188.689999999944121,11417933.800000000745058
FS( 106 ),1699752.100000000093132,1668518.229999999981374,1543675.870000000111759,1619321.549999999813735,1754322.750000000000000,1505245.959999999962747,1681354.729999999981374,11472194.190000001341105
FS( 107 ),1643857.280000000027940,1670783.140000000130385,1539573.600000000093132,1619321.549999999813735,1774295.850000000093132,1519666.479999999981374,1684994.439999999944121,11452495.339999999850988
FS( 108 ),1651818.560000000055879,1663455.489999999757856,1535953.949999999953434,1610211.899999999906868,1730545.250000000000000,1525821.580000000074506,1681002.499999999767169,11398812.230000000447035
FS( 109 ),1668736.280000000027940,1650798.640000000130385,1560326.260000000009313,1591440.500000000000000,1678234.750000000000000,1511928.639999999897555,1677597.609999999869615,11339065.679999999701977
FS( 110 ),1665087.360000000102445,1650265.719999999972060,1557913.160000000149012,1596685.450000000186265,1671577.050000000046566,1513335.520000000018626,1675601.640000000130385,11330468.900000000372529
FS( 111 ),1667077.680000000167638,1655328.459999999962747,1599901.100000000093132,1762867.550000000046566,1685368.000000000000000,1508587.300000000046566,1678889.120000000111759,11558022.210000000894070
FS( 112 ),1678522.020000000018626,1647467.890000000130385,1595074.899999999906868,1735262.550000000046566,1661114.949999999953434,1508235.580000000074506,1668791.859999999869615,11494472.750000000000000
FS( 113 ),1680512.339999999850988,1644536.830000000074506,1589524.770000000251457,1725048.699999999953434,1668248.199999999953434,1512280.359999999869615,1665152.149999999906868,11485306.350000001490116
FS( 114 ),1660940.860000000102445,1643604.219999999972060,1575287.479999999981374,1729189.449999999953434,1670625.950000000186265,1517907.880000000121072,1669496.320000000065193,11467055.160000002011657
FS( 115 ),1681839.220000000204891,1649066.649999999906868,1579631.059999999823049,1756518.400000000139698,1671577.050000000046566,1525294.000000000000000,1674662.359999999869615,11538591.739999998360872
FS( 116 ),1694444.580000000074506,1641739.000000000000000,1576252.719999999972060,1748789.000000000000000,1663492.699999999953434,1530745.660000000149012,1677597.609999999869615,11533064.269999999552965
FS( 117 ),1704562.040000000037253,1629615.070000000065193,1585905.120000000111759,1747960.850000000093132,1669674.850000000093132,1530393.939999999944121,1662803.950000000186265,11530918.820000000298023
FS( 118 ),1702074.140000000130385,1603235.530000000027940,1585663.809999999823049,1740231.449999999953434,1654457.250000000000000,1522656.099999999860302,1656463.810000000288710,11464785.089999999850988
FS( 119 ),1695439.739999999990687,1616292.070000000065193,1590007.390000000130385,1747132.699999999953434,1671101.500000000000000,1529338.779999999795109,1663860.640000000130385,11513175.820000000298023
FS( 120 ),1717499.120000000111759,1608431.500000000000000,1591455.250000000000000,1756518.400000000139698,1673479.250000000000000,1537780.059999999823049,1669261.499999999767169,11554428.080000000074506
FS( 121 ),1697098.339999999850988,1597773.099999999860302,1589283.459999999962747,1749065.050000000046566,1663492.699999999953434,1535493.880000000121072,1667735.169999999925494,11499944.699999999254942
FS( 122 ),1690795.659999999916181,1587247.929999999934807,1587835.600000000093132,1754310.000000000000000,1656835.000000000232831,1527404.319999999832362,1668322.219999999972060,11472753.730000000447035
FS( 123 ),1686483.300000000279397,1591378.059999999823049,1587111.669999999925494,1755138.149999999906868,1668723.750000000232831,1537076.620000000111759,1667382.939999999944121,11493297.490000000223517
FS( 124 ),1695108.020000000018626,1581652.269999999785796,1591455.250000000000000,1731673.899999999906868,1655883.900000000139698,1535493.880000000121072,1642257.200000000186265,11433527.420000001788139
FS( 125 ),1689966.360000000102445,1579787.049999999813735,1594350.969999999972060,1720355.850000000093132,1653506.150000000139698,1545869.620000000111759,1612082.830000000074506,11395921.830000000074506
FS( 126 ),1680512.339999999850988,1586048.860000000102445,1597970.620000000111759,1734986.500000000000000,1655883.900000000139698,1540242.099999999860302,1604098.950000000186265,11399746.269999999552965
FS( 127 ),1692620.120000000111759,1597773.099999999860302,1615586.250000000000000,1739403.300000000046566,1669674.850000000093132,1552904.020000000018626,1611730.600000000093132,11479695.239999998360872
FS( 128 ),1686815.020000000018626,1591777.750000000000000,1628858.300000000046566,1731121.800000000046566,1658737.200000000186265,1539538.660000000149012,1607034.200000000186265,11443885.929999999701977
FS( 129 ),1668238.699999999953434,1590045.760000000009313,1628858.300000000046566,1733330.199999999953434,1654932.799999999813735,1535493.880000000121072,1597406.580000000074506,11408309.220000000670552
