代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11328140.919999999925494
真實報酬,1328140.919999999925494

夏普值報酬,0.124114092000000
夏普值風險,0.048551892351500
夏普值,2.556318322290184

二次趨勢線,84.294362532862010 x^2 + 2948.401813867028977 x + 10000000.000000000000000
二次平均預期報酬,13485.197130474780352
風險,124958.461813429326867
二次平均趨勢值,0.107917438601389
一次趨勢線,10819.260966031872158 x + 10000000.000000000000000
一次預期報酬,10819.260966031872158
一次風險,192450.761630348599283
一次趨勢值,0.056218332805630
找到最佳解世代,2356
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
MCD[15](2),UNH[23](4),WMT[28](1),
FS( 49 ),3491804.560000000055879,3152752.880000000353903,3681071.599999999627471,10325630.039999999105930
FS( 50 ),3422826.320000000298023,3067658.360000000335276,3582709.600000000093132,10073195.280000001192093
FS( 51 ),3467424.320000000298023,3110626.880000000353903,3648670.000000000000000,10226722.200000001117587
FS( 52 ),3424610.240000000223517,3068781.719999999739230,3583288.199999999720603,10076681.160000000149012
FS( 53 ),3493588.479999999981374,3161739.759999999776483,3619740.000000000000000,10275069.240000000223517
FS( 54 ),3442449.439999999944121,3223805.400000000372529,3520220.800000000279397,10186476.640000000596046
FS( 55 ),3503697.359999999869615,3187577.040000000037253,3580395.200000000186265,10271670.600000001490116
FS( 56 ),3520347.280000000260770,3210886.759999999776483,3627261.799999999813735,10358496.839999999850988
FS( 57 ),3544132.879999999888241,3184206.959999999962747,3671235.399999999906868,10399576.240000000223517
FS( 58 ),3580703.240000000223517,3200495.679999999701977,3703058.399999999906868,10484258.320000000298023
FS( 59 ),3593785.320000000298023,3154718.759999999776483,3700165.399999999906868,10448670.480000000447035
FS( 60 ),3638680.639999999664724,3128038.959999999962747,3715787.599999999627471,10482508.199999999254942
FS( 61 ),3680305.439999999944121,3234196.479999999981374,3839608.000000000000000,10754110.919999999925494
FS( 62 ),3704983.000000000000000,3254697.800000000279397,3905568.399999999906868,10865250.200000001117587
FS( 63 ),3685359.879999999888241,3198248.959999999962747,3868538.000000000000000,10752147.839999999850988
FS( 64 ),3611624.520000000018626,3166514.040000000037253,3834400.599999999627471,10612540.160000000149012
FS( 65 ),3587541.600000000093132,3207235.840000000316650,3843079.600000000093132,10637858.040000000968575
FS( 66 ),3431151.280000000260770,3137587.520000000018626,3876638.399999999906868,10445378.200000001117587
FS( 67 ),3450477.080000000074506,3089844.719999999739230,3870852.400000000372529,10411175.199999999254942
FS( 68 ),3479019.800000000279397,3121860.479999999981374,3807785.000000000000000,10408666.280000001192093
FS( 69 ),3494777.760000000242144,3166233.199999999720603,3806627.800000000279397,10467639.759999999776483
FS( 70 ),3470694.840000000316650,3106695.120000000111759,3779433.599999999627471,10356824.560000000521541
FS( 71 ),3506373.240000000223517,3140395.919999999925494,3829193.200000000186265,10475963.359999999403954
FS( 72 ),3543538.240000000223517,3233915.640000000130385,3812992.400000000372529,10590447.280000001192093
FS( 73 ),3527482.959999999962747,3322380.239999999757856,3825143.000000000000000,10675007.199999999254942
FS( 74 ),3483776.919999999925494,3298508.840000000316650,3710001.600000000093132,10492288.359999999403954
FS( 75 ),3464748.439999999944121,3304968.160000000149012,3741245.999999999534339,10510963.599999999627471
FS( 76 ),3498642.919999999925494,3405789.719999999739230,3797370.199999999720603,10701803.839999999850988
FS( 77 ),3475749.280000000260770,3402419.640000000130385,3846551.200000000186265,10724721.120000001043081
FS( 78 ),3480506.399999999906868,3375739.840000000316650,3883581.600000000093132,10739828.839999999850988
FS( 79 ),3519455.320000000298023,3403823.840000000316650,3936812.800000000279397,10860092.960000000894070
FS( 80 ),3480506.399999999906868,3407474.759999999776483,3848287.000000000000000,10736269.160000000149012
FS( 81 ),3484371.560000000055879,3344847.439999999944121,3838450.800000000279397,10667670.800000000745058
FS( 82 ),3533726.679999999701977,3417023.320000000298023,3845393.999999999534339,10796145.000000000000000
FS( 83 ),3522725.840000000316650,3405789.719999999739230,3830928.999999999534339,10759445.560000000521541
FS( 84 ),3469505.560000000055879,3421235.919999999925494,3826878.799999999813735,10717621.280000001192093
FS( 85 ),3484074.240000000223517,3420674.239999999757856,3863909.200000000186265,10768658.679999999701977
FS( 86 ),3483182.280000000260770,3419550.880000000353903,3928133.799999999813735,10830867.960000000894070
FS( 87 ),3520941.919999999925494,3416742.479999999981374,3936812.800000000279397,10874498.200000001117587
FS( 88 ),3557214.959999999962747,3401015.439999999944121,3907304.200000000186265,10865535.600000001490116
FS( 89 ),3567323.840000000316650,3428818.600000000093132,3900360.999999999534339,10896504.439999999478459
FS( 90 ),3614003.080000000074506,3513351.439999999944121,3886474.600000000093132,11013830.119999999180436
FS( 91 ),3654141.280000000260770,3516721.520000000018626,3897468.000000000000000,11068331.800000000745058
FS( 92 ),3669899.240000000223517,3506330.439999999944121,3939705.800000000279397,11115936.480000000447035
FS( 93 ),3672575.119999999646097,3507734.640000000130385,3933919.799999999813735,11114230.559999998658895
FS( 94 ),3661871.600000000093132,3497343.560000000055879,3902675.399999999906868,11061891.560000000521541
FS( 95 ),3689225.040000000037253,3558847.520000000018626,3873745.399999999906868,11121818.960000000894070
FS( 96 ),3681197.399999999906868,3559409.199999999720603,3932762.599999999627471,11173370.199999999254942
FS( 97 ),3681494.719999999739230,3595356.720000000204891,3926976.600000000093132,11203829.039999999105930
FS( 98 ),3692495.560000000055879,3645065.399999999906868,3903253.999999999534339,11240815.959999999031425
FS( 99 ),3665736.760000000242144,3611364.600000000093132,3934498.399999999906868,11211600.759999999776483
FS( 100 ),3662168.919999999925494,3620632.319999999832362,3941441.600000000093132,11224243.839999999850988
FS( 101 ),3685954.520000000018626,3646188.760000000242144,3936234.200000000186265,11268378.480000000447035
FS( 102 ),3741256.040000000037253,3641976.160000000149012,3980786.399999999906868,11364019.599999999627471
FS( 103 ),3736796.240000000223517,3620070.640000000130385,3962849.799999999813735,11319717.679999999701977
FS( 104 ),3776637.119999999646097,3648716.319999999832362,3995830.000000000000000,11421184.439999999478459
FS( 105 ),3792989.719999999739230,3636640.200000000186265,3998144.399999999441206,11427775.320000000298023
FS( 106 ),3787340.639999999664724,3567834.400000000372529,3971528.799999999813735,11326704.839999999850988
FS( 107 ),3791503.119999999646097,3595637.560000000055879,3994672.800000000279397,11381814.480000000447035
FS( 108 ),3809936.959999999497086,3563060.120000000111759,3947227.599999999627471,11320225.679999999701977
FS( 109 ),3804585.199999999720603,3529640.160000000149012,3937970.000000000000000,11272196.359999999403954
FS( 110 ),3792692.399999999906868,3547894.759999999776483,3899782.400000000372529,11240370.560000000521541
FS( 111 ),3794179.000000000000000,3561094.239999999757856,3980786.399999999906868,11336060.640000000596046
FS( 112 ),3772771.959999999962747,3588054.880000000353903,4001037.400000000372529,11361865.240000000223517
FS( 113 ),3791205.800000000279397,3594233.360000000335276,3980786.399999999906868,11366226.560000000521541
FS( 114 ),3799233.439999999944121,3575978.759999999776483,3995830.000000000000000,11371043.199999999254942
FS( 115 ),3831046.679999999701977,3589459.080000000074506,4042118.000000000000000,11462624.759999999776483
FS( 116 ),3831344.000000000465661,3665005.040000000037253,4036910.599999999627471,11533260.640000000596046
FS( 117 ),3822127.080000000540167,3761333.160000000149012,4004508.999999999534339,11587970.240000000223517
FS( 118 ),3740066.760000000242144,3734091.680000000167638,3961692.599999999627471,11435852.039999999105930
FS( 119 ),3731444.479999999981374,3766949.959999999962747,3976157.599999999627471,11474553.039999999105930
FS( 120 ),3789719.199999999720603,3757120.560000000055879,4019552.599999999627471,11566393.359999999403954
FS( 121 ),3797152.199999999720603,3770039.200000000186265,4009716.399999999906868,11576908.800000000745058
FS( 122 ),3814694.080000000540167,3729598.240000000223517,4016659.600000000093132,11560952.919999999925494
FS( 123 ),3803395.919999999925494,3709096.919999999925494,3987150.999999999534339,11499644.839999999850988
FS( 124 ),3760879.159999999683350,3698144.160000000149012,3869116.600000000093132,11328140.919999999925494
