代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11848755.350000001490116
真實報酬,1848755.350000001490116

夏普值報酬,0.176175535000000
夏普值風險,0.055493625489922
夏普值,3.174698597264938

二次趨勢線,112.290873827074591 x^2 + 703.228236715367530 x + 10000000.000000000000000
二次平均預期報酬,15301.041834235064016
風險,99353.693885969056282
二次平均趨勢值,0.154005767030630
一次趨勢線,11609.316773858450688 x + 10000000.000000000000000
一次預期報酬,11609.316773858450688
一次風險,233163.953423803177429
一次趨勢值,0.049790358258153
找到最佳解世代,1743
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
MRK[17](1),NKE[19](2),PG[21](12),V[25](3),VZ[26](6),
FS( 19 ),2001862.149999999906868,1995476.600000000325963,1976875.080000000074506,1950167.000000000000000,1972894.350000000093132,9897275.179999999701977
FS( 20 ),2051767.770000000018626,1973462.720000000204891,2003557.679999999934807,1943356.489999999757856,2001668.040000000037253,9973812.699999999254942
FS( 21 ),2028677.109999999869615,2003618.720000000204891,2014738.959999999962747,1987043.419999999925494,1994161.860000000102445,10028240.070000000298023
FS( 22 ),1983985.510000000009313,1933656.800000000512227,1966964.399999999906868,1966611.889999999897555,1966639.199999999953434,9817857.800000000745058
FS( 23 ),2014524.770000000018626,2011459.280000000493601,1993901.119999999646097,1980066.799999999813735,1980817.540000000037253,9980769.509999999776483
FS( 24 ),2031284.119999999878928,2063327.600000000325963,2008894.199999999720603,1990199.510000000009313,1998748.969999999972060,10092454.400000000372529
FS( 25 ),2030911.689999999944121,2098610.120000000111759,2002541.199999999720603,2013122.689999999711290,2011676.280000000027940,10156861.979999998584390
FS( 26 ),1987337.379999999888241,2037091.880000000121072,1993138.760000000009313,1955150.299999999813735,1979983.520000000018626,9952701.839999999850988
FS( 27 ),2091617.779999999795109,2025934.160000000614673,1986277.519999999785796,1973256.290000000037253,1956630.960000000195578,10033716.710000000894070
FS( 28 ),2103907.970000000204891,2020506.080000000307336,1991614.040000000037253,2005315.519999999785796,2012927.310000000055879,10134270.919999999925494
FS( 29 ),2093107.500000000000000,2015379.560000000288710,1989072.839999999850988,1989701.179999999934807,1984153.619999999878928,10071414.699999999254942
FS( 30 ),2113218.720000000204891,2043726.200000000186265,1976875.080000000074506,2011129.369999999646097,1990825.780000000027940,10135775.149999998509884
FS( 31 ),2129233.209999999962747,2028045.080000000307336,1991614.040000000037253,2005813.849999999860302,1987489.699999999953434,10142195.879999998956919
FS( 32 ),2184352.849999999627471,2022315.440000000409782,1997712.919999999925494,2024584.279999999795109,2017931.430000000167638,10246896.919999999925494
FS( 33 ),2207443.510000000242144,2035885.640000000363216,1993138.760000000009313,2056477.399999999906868,2037113.890000000130385,10330059.200000001117587
FS( 34 ),2194408.459999999962747,1996381.280000000493601,1987294.000000000000000,2056477.399999999906868,2027522.659999999916181,10262083.800000000745058
FS( 35 ),2183980.419999999925494,1982207.960000000428408,1904705.000000000000000,2059135.159999999683350,2019599.469999999972060,10149628.010000001639128
FS( 36 ),2191056.589999999850988,1993064.120000000344589,1875481.199999999720603,2063121.799999999813735,1997497.939999999944121,10120221.650000000372529
FS( 37 ),2243941.649999999906868,2016887.360000000102445,1855151.599999999860302,2067440.659999999683350,2029190.699999999953434,10212611.969999998807907
FS( 38 ),2237982.770000000018626,2019601.400000000372529,1842445.599999999860302,2014451.569999999832362,2071308.710000000195578,10185790.050000000745058
FS( 39 ),2220850.990000000223517,2010554.600000000325963,1837363.199999999720603,2013454.909999999683350,2089240.140000000130385,10171463.840000001713634
FS( 40 ),2212657.529999999795109,2052169.880000000121072,1848798.599999999860302,2110961.479999999515712,2075061.800000000046566,10299649.289999999105930
FS( 41 ),2214892.109999999869615,2097705.440000000409782,1850323.319999999832362,2093187.709999999962747,2150540.609999999869615,10406649.190000001341105
FS( 42 ),2192546.309999999590218,2062422.920000000391155,1838379.679999999934807,2107639.279999999329448,2057964.390000000130385,10258952.580000000074506
FS( 43 ),2159400.039999999571592,2053677.680000000167638,1828723.119999999646097,2118104.209999999962747,2035862.860000000102445,10195767.910000000149012
FS( 44 ),2134074.799999999813735,2058502.640000000363216,1802802.879999999888241,2099333.779999999329448,1991242.790000000037253,10085956.890000000596046
FS( 45 ),2142640.689999999944121,2017490.480000000447035,1813475.919999999925494,2112622.580000000074506,1994995.880000000121072,10081225.550000000745058
FS( 46 ),2150834.149999999906868,2053677.680000000167638,1840666.760000000009313,2128901.359999999403954,2009591.229999999981374,10183671.179999999701977
FS( 47 ),2137054.240000000223517,2091071.120000000344589,1829231.359999999869615,2147173.459999999962747,1990408.770000000018626,10194938.950000001117587
FS( 48 ),2113963.579999999608845,2064533.840000000083819,1815508.879999999888241,2157804.500000000000000,1960801.060000000055879,10112611.859999999403954
FS( 49 ),2158282.750000000000000,2049154.280000000493601,1839142.040000000037253,2173418.839999999850988,1934112.420000000158325,10154110.330000000074506
FS( 50 ),2162379.479999999981374,2048249.600000000325963,1858963.399999999906868,2173418.839999999850988,1968307.240000000223517,10211318.560000000521541
FS( 51 ),2223085.569999999832362,2063629.160000000614673,1864554.040000000037253,2189697.620000000111759,2027522.659999999916181,10368489.050000000745058
FS( 52 ),2222713.139999999664724,2075993.120000000344589,1862266.959999999962747,2179564.910000000149012,2022101.530000000027940,10362639.660000000149012
FS( 53 ),2204836.500000000000000,2095896.080000000307336,1853881.000000000000000,2177737.700000000186265,1992910.830000000074506,10325262.109999999403954
FS( 54 ),2225320.149999999906868,2151383.120000000111759,1868619.959999999962747,2174249.389999999664724,1995829.899999999906868,10415402.519999999552965
FS( 55 ),2199994.910000000149012,2139320.720000000670552,1879547.119999999646097,2158302.830000000074506,1995412.890000000130385,10372578.470000000670552
FS( 56 ),2202601.919999999925494,2150780.000000000000000,1866587.000000000000000,2158302.830000000074506,1990825.780000000027940,10369097.529999999329448
FS( 57 ),2181373.410000000149012,2152589.360000000335276,1882088.319999999832362,2170428.859999999403954,2019599.469999999972060,10406079.419999999925494
FS( 58 ),2176904.250000000000000,2150478.440000000409782,1881325.959999999962747,2171259.410000000149012,2035445.850000000093132,10415413.910000000149012
FS( 59 ),2203719.209999999962747,2151383.120000000111759,1885137.760000000009313,2190694.279999999329448,2026271.630000000121072,10457206.000000000000000
FS( 60 ),2202229.490000000223517,2176714.160000000149012,1874718.839999999850988,2190860.389999999664724,2028356.680000000167638,10472879.559999998658895
FS( 61 ),2200739.770000000018626,2178825.080000000074506,1888441.319999999832362,2180727.679999999701977,2023352.560000000055879,10472086.410000000149012
FS( 62 ),2175042.099999999627471,2138717.600000000558794,1881834.199999999720603,2154316.189999999478459,2010008.240000000223517,10359918.330000000074506
FS( 63 ),2224202.859999999869615,2178221.959999999962747,1903180.279999999795109,2170096.639999999664724,2026688.640000000130385,10502390.379999998956919
FS( 64 ),2217126.689999999944121,2165254.879999999888241,1859471.639999999897555,2171425.519999999552965,1987906.710000000195578,10401185.440000001341105
FS( 65 ),2255486.979999999981374,2194204.640000000596046,1866587.000000000000000,2173584.950000000186265,1993744.850000000093132,10483608.419999999925494
FS( 66 ),2309861.760000000242144,2226471.560000000521541,1885137.760000000009313,2210461.370000000111759,1994161.860000000102445,10626094.309999998658895
FS( 67 ),2286398.669999999925494,2233105.879999999888241,1879801.239999999757856,2218600.759999999776483,2000417.010000000009313,10618323.559999998658895
FS( 68 ),2306509.889999999664724,2254215.080000000074506,1889457.799999999813735,2263782.679999999701977,2018765.449999999953434,10732730.899999998509884
FS( 69 ),2308744.470000000204891,2254516.640000000596046,1925288.719999999972060,2223251.839999999850988,2043786.050000000046566,10755587.720000002533197
FS( 70 ),2330717.839999999850988,2258738.480000000447035,1961373.760000000009313,2238201.740000000223517,2050875.219999999972060,10839907.040000000968575
FS( 71 ),2321407.089999999850988,2249390.120000000111759,1970267.959999999962747,2224414.609999999403954,2055879.339999999850988,10821359.119999999180436
FS( 72 ),2325503.819999999832362,2240343.320000000298023,1962898.479999999748543,2240195.060000000521541,2035445.850000000093132,10804386.529999999329448
FS( 73 ),2331090.270000000018626,2234915.240000000223517,1943331.239999999757856,2232554.000000000000000,1976647.439999999944121,10718538.189999999478459
FS( 74 ),2292729.979999999981374,2252707.280000000260770,1931133.479999999748543,2242520.599999999627471,1994161.860000000102445,10713253.199999999254942
FS( 75 ),2310234.189999999944121,2287085.120000000111759,1966456.159999999683350,2244181.700000000186265,2004170.100000000093132,10812127.270000001415610
FS( 76 ),2271501.470000000204891,2280149.240000000223517,1927321.679999999934807,2262453.799999999813735,1979149.500000000000000,10720575.690000001341105
FS( 77 ),2272991.189999999944121,2239438.640000000596046,1939773.559999999823049,2244347.810000000521541,2022518.540000000037253,10719069.739999998360872
FS( 78 ),2282301.939999999944121,2253310.400000000372529,1927575.799999999813735,2250826.099999999627471,2005421.130000000121072,10719435.369999999180436
FS( 79 ),2278577.639999999664724,2229788.720000000670552,1942568.879999999888241,2234713.429999999701977,2027939.670000000158325,10713588.339999999850988
FS( 80 ),2289378.109999999869615,2214409.160000000149012,1967726.760000000009313,2248002.230000000447035,2075061.800000000046566,10794578.060000000521541
FS( 81 ),2274853.339999999850988,2181840.679999999701977,1976875.080000000074506,2174913.830000000074506,2068389.640000000130385,10676872.570000000298023
FS( 82 ),2261445.859999999869615,2188173.440000000409782,1982211.599999999860302,2201823.650000000372529,2055879.339999999850988,10689533.890000000596046
FS( 83 ),2230161.740000000223517,2151684.679999999701977,1974333.879999999888241,2176408.820000000298023,2056296.350000000093132,10588885.470000000670552
FS( 84 ),2245803.799999999813735,2162239.280000000260770,1983482.199999999720603,2204979.740000000223517,2120932.899999999906868,10717437.919999999925494
FS( 85 ),2260701.000000000000000,2402884.160000000149012,1983736.319999999832362,2200162.549999999813735,2097997.350000000093132,10945481.380000000819564
FS( 86 ),2251762.680000000167638,2362776.679999999701977,1985515.159999999683350,2200993.099999999627471,2102584.459999999962747,10903632.079999998211861
FS( 87 ),2261073.430000000167638,2300353.760000000707805,1979670.399999999906868,2183551.549999999813735,2114260.740000000223517,10838909.880000000819564
FS( 88 ),2295709.419999999925494,2308495.879999999888241,2012960.119999999646097,2214115.790000000037253,2138447.320000000298023,10969728.530000001192093
FS( 89 ),2316565.500000000000000,2306384.959999999962747,2015501.319999999832362,2227404.589999999850988,2146787.520000000018626,11012643.889999998733401
FS( 90 ),2309861.760000000242144,2330509.760000000707805,1978653.919999999925494,2251158.320000000298023,2115928.780000000260770,10986112.540000002831221
FS( 91 ),2320289.799999999813735,2339255.000000000000000,2028461.439999999711290,2270593.189999999478459,2140949.380000000353903,11099548.810000000521541
FS( 92 ),2305392.599999999627471,2332922.240000000223517,2011689.519999999785796,2294845.250000000000000,2140949.380000000353903,11085798.990000000223517
FS( 93 ),2333697.279999999795109,2333223.800000000745058,2004828.279999999795109,2323914.500000000000000,2136779.280000000260770,11132443.140000000596046
FS( 94 ),2342263.169999999925494,2333525.360000000335276,2015501.319999999832362,2315941.219999999739230,2143868.449999999720603,11151099.519999999552965
FS( 95 ),2331090.270000000018626,2344683.080000000074506,2021091.959999999962747,2299994.660000000149012,2151374.630000000353903,11148234.599999999627471
FS( 96 ),2328855.689999999944121,2336239.400000000372529,2033797.959999999962747,2319595.639999999664724,2144702.470000000204891,11163191.160000000149012
FS( 97 ),2344125.319999999832362,2309702.120000000111759,2025920.239999999757856,2340525.500000000000000,2132609.180000000167638,11152882.359999999403954
FS( 98 ),2328110.829999999608845,2320558.280000000260770,2000762.359999999869615,2327735.029999999329448,2116345.790000000037253,11093512.289999999105930
FS( 99 ),2328483.260000000242144,2320859.839999999850988,1999491.760000000009313,2342020.490000000223517,2110924.660000000149012,11101780.009999999776483
FS( 100 ),2334814.569999999832362,2309702.120000000111759,1995171.719999999972060,2326073.929999999701977,2116345.790000000037253,11082108.129999998956919
FS( 101 ),2362001.959999999962747,2277736.760000000707805,2007369.479999999748543,2326073.929999999701977,2148038.549999999813735,11121220.679999999701977
FS( 102 ),2401851.969999999739230,2326891.040000000037253,2019567.239999999757856,2369428.639999999664724,2123017.949999999720603,11240756.839999999850988
FS( 103 ),2383975.330000000074506,2356745.480000000447035,2035322.679999999934807,2367103.099999999627471,2134277.220000000204891,11277423.810000000521541
FS( 104 ),2364608.970000000204891,2318748.919999999925494,2047774.559999999823049,2337369.410000000149012,2168889.049999999813735,11237390.910000000149012
FS( 105 ),2413769.729999999981374,2290703.839999999850988,2038118.000000000000000,2267104.879999999888241,2188905.530000000260770,11198601.980000000447035
FS( 106 ),2453247.310000000055879,2319352.040000000037253,2055398.159999999683350,2271423.740000000223517,2153459.680000000167638,11252880.929999999701977
FS( 107 ),2439094.969999999739230,2338350.320000000298023,2049553.399999999906868,2296506.349999999627471,2157212.770000000018626,11280717.809999998658895
FS( 108 ),2429039.359999999869615,2371823.480000000447035,2083859.599999999860302,2307635.719999999739230,2167638.020000000018626,11359996.179999999701977
FS( 109 ),2455481.890000000130385,2374537.520000000484288,2092245.559999999823049,2322585.620000000111759,2179731.310000000055879,11424581.900000000372529
FS( 110 ),2466282.359999999869615,2397757.640000000596046,2097073.839999999850988,2320758.410000000149012,2188488.520000000018626,11470360.769999999552965
FS( 111 ),2479689.839999999850988,2428516.760000000707805,2100123.280000000260770,2330226.679999999701977,2187654.500000000000000,11526211.060000000521541
FS( 112 ),2483786.569999999832362,2427612.080000000074506,2092753.799999999813735,2336871.080000000074506,2197662.740000000223517,11538686.270000001415610
FS( 113 ),2458088.899999999906868,2450530.640000000596046,2068612.399999999906868,2325741.709999999962747,2210590.049999999813735,11513563.700000002980232
FS( 114 ),2460695.909999999683350,2434547.959999999962747,2069374.760000000009313,2321090.629999999888241,2188071.509999999776483,11473780.769999997690320
FS( 115 ),2484903.859999999869615,2417057.480000000447035,2071661.839999999850988,2329063.910000000149012,2177646.259999999776483,11480333.349999999627471
FS( 116 ),2475220.679999999701977,2416755.919999999925494,2066325.319999999832362,2338199.959999999962747,2204751.910000000149012,11501253.789999999105930
FS( 117 ),2509111.810000000055879,2399567.000000000000000,2091483.199999999720603,2324246.719999999739230,2220181.280000000260770,11544590.010000001639128
FS( 118 ),2564231.449999999720603,2414041.879999999888241,2126805.879999999888241,2336372.750000000000000,2263133.310000000055879,11704585.270000001415610
FS( 119 ),2572052.479999999981374,2404995.080000000074506,2126805.879999999888241,2347668.230000000447035,2284817.830000000074506,11736339.500000001862645
FS( 120 ),2613392.209999999962747,2478274.160000000149012,2125535.280000000260770,2341189.939999999478459,2278979.689999999944121,11837371.279999999329448
FS( 121 ),2576149.209999999962747,2501494.280000000260770,2132142.400000000372529,2326240.040000000037253,2289821.949999999720603,11825847.879999998956919
FS( 122 ),2571307.620000000111759,2492145.919999999925494,2119182.280000000260770,2344512.139999999664724,2257712.180000000167638,11784860.140000000596046
FS( 123 ),2568700.609999999869615,2500288.040000000037253,2115370.479999999515712,2360458.700000000186265,2263550.320000000298023,11808368.150000000372529
FS( 124 ),2571307.620000000111759,2486416.280000000260770,2118419.919999999925494,2395341.799999999813735,2284400.820000000298023,11855886.440000001341105
FS( 125 ),2569445.469999999739230,2492447.480000000447035,2120452.879999999888241,2415275.000000000000000,2287319.890000000130385,11884940.720000000670552
FS( 126 ),2556037.989999999757856,2490336.560000000521541,2121469.360000000335276,2411952.799999999813735,2278979.689999999944121,11858776.400000000372529
FS( 127 ),2562741.729999999981374,2496669.320000000298023,2121723.479999999515712,2442350.929999999701977,2275643.609999999869615,11899129.070000000298023
FS( 128 ),2552686.120000000111759,2454752.480000000447035,2119690.519999999552965,2437533.740000000223517,2283149.790000000037253,11847812.649999998509884
FS( 129 ),2554548.270000000018626,2478877.280000000260770,2108001.000000000000000,2440025.389999999664724,2267303.410000000149012,11848755.350000001490116
