代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12201463.810000000521541
真實報酬,2201463.810000000521541

夏普值報酬,0.211446381000000
夏普值風險,0.052975771171827
夏普值,3.991379008229496

二次趨勢線,-98.988694818478280 x^2 + 29274.847741025776486 x + 10000000.000000000000000
二次平均預期報酬,16901.260888715991314
風險,88772.739968291178229
二次平均趨勢值,0.190387960253936
一次趨勢線,20031.927441710060521 x + 10000000.000000000000000
一次預期報酬,20031.927441710060521
一次風險,193450.624881207011640
一次趨勢值,0.103550595683065
找到最佳解世代,2102
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
AAPL[0](1),DIS[6](12),KO[14](10),V[25](2),
FS( 63 ),3191611.570000000298023,2810784.100000000093132,2643762.849999999627471,2942790.479999999981374,11588949.000000000000000
FS( 64 ),3181565.050000000279397,2796381.910000000149012,2625092.349999999627471,2947761.929999999701977,11550801.240000000223517
FS( 65 ),3185674.990000000223517,2801182.640000000130385,2613267.699999999720603,2951739.089999999850988,11551864.419999999925494
FS( 66 ),3173801.830000000074506,2800677.300000000279397,2613267.699999999720603,2948424.789999999571592,11536171.619999999180436
FS( 67 ),3166495.270000000018626,2805478.030000000260770,2615757.100000000093132,2953396.239999999757856,11541126.640000000596046
FS( 68 ),3176998.449999999720603,2802698.660000000149012,2631938.199999999720603,2973944.899999999906868,11585580.209999999031425
FS( 69 ),3178368.429999999701977,2817858.859999999869615,2615757.100000000093132,2986539.239999999757856,11598523.629999998956919
FS( 70 ),3173573.500000000465661,2837819.790000000037253,2612022.999999999534339,2967979.159999999683350,11591395.450000001117587
FS( 71 ),3207138.010000000242144,2826702.310000000055879,2621358.249999999534339,2980242.069999999832362,11635440.640000000596046
FS( 72 ),3212389.600000000093132,2822659.589999999850988,2629448.799999999813735,2984219.229999999981374,11648717.219999998807907
FS( 73 ),3196406.500000000465661,2823922.939999999944121,2615757.100000000093132,2990847.829999999608845,11626934.370000001043081
FS( 74 ),3229971.010000000242144,2847926.589999999850988,2625092.349999999627471,2955716.250000000000000,11658706.199999999254942
FS( 75 ),3192981.550000000279397,2823670.270000000018626,2645007.549999999813735,2918596.089999999850988,11580255.460000000894070
FS( 76 ),3229057.689999999944121,2832008.379999999888241,2637539.350000000093132,2933841.869999999646097,11632447.289999999105930
FS( 77 ),3217641.189999999944121,2836051.100000000093132,2624470.000000000000000,2945110.489999999757856,11623272.779999999329448
FS( 78 ),3211247.949999999720603,2833524.399999999906868,2621358.249999999534339,2956047.679999999701977,11622178.279999999329448
FS( 79 ),3216727.870000000111759,2839588.479999999981374,2633805.250000000000000,2948093.359999999869615,11638214.959999999031425
FS( 80 ),3283400.230000000447035,2856517.370000000111759,2640651.099999999627471,2953727.669999999925494,11734296.369999999180436
FS( 81 ),3290706.790000000037253,2843378.530000000260770,2640028.750000000000000,2955716.250000000000000,11729830.320000000298023
FS( 82 ),3286368.520000000018626,2859802.080000000074506,2651231.049999999813735,2950081.939999999944121,11747483.589999997988343
FS( 83 ),3280203.609999999869615,2865108.149999999906868,2641273.449999999720603,2945441.919999999925494,11732027.129999998956919
FS( 84 ),3281116.929999999701977,2860307.419999999925494,2639406.399999999441206,2961681.989999999757856,11742512.740000000223517
FS( 85 ),3305548.240000000223517,2856264.700000000186265,2656209.849999999627471,2942459.049999999813735,11760481.839999999850988
FS( 86 ),3288423.490000000223517,2855254.020000000018626,2649364.000000000000000,2950744.799999999813735,11743786.309999998658895
FS( 87 ),3280203.609999999869615,2856517.370000000111759,2655587.500000000000000,2952733.379999999888241,11745041.859999999403954
FS( 88 ),3272897.050000000279397,2844641.879999999888241,2651853.399999999906868,2941133.329999999608845,11710525.660000000149012
FS( 89 ),3269015.439999999944121,2840851.830000000074506,2656832.199999999720603,2945110.489999999757856,11711809.959999999031425
FS( 90 ),3233852.620000000111759,2857022.709999999962747,2654965.149999999441206,2944779.059999999590218,11690619.539999999105930
FS( 91 ),3237734.230000000447035,2856264.700000000186265,2672390.949999999720603,2939144.750000000000000,11705534.630000000819564
FS( 92 ),3220609.480000000447035,2860307.419999999925494,2663055.699999999720603,2945441.919999999925494,11689414.519999999552965
FS( 93 ),3238419.220000000204891,2874962.280000000260770,2680481.500000000000000,2976596.339999999850988,11770459.339999999850988
FS( 94 ),3224034.429999999701977,2885321.750000000000000,2705997.849999999627471,2973944.899999999906868,11789298.929999999701977
FS( 95 ),3212161.270000000018626,2873698.930000000167638,2690439.099999999627471,2974607.759999999776483,11750907.060000000521541
FS( 96 ),3252347.350000000093132,2900481.950000000186265,2681726.200000000186265,3021007.959999999962747,11855563.460000000894070
FS( 97 ),3248465.740000000223517,2891638.500000000000000,2680481.500000000000000,3021007.959999999962747,11841593.699999999254942
FS( 98 ),3279746.949999999720603,2872940.919999999925494,2693550.850000000093132,3044208.059999999590218,11890446.779999997466803
FS( 99 ),3300068.320000000298023,2910336.080000000074506,2682970.899999999906868,3052825.239999999757856,11946200.540000000968575
FS( 100 ),3280660.270000000018626,2920442.879999999888241,2691061.449999999720603,3043213.769999999552965,11935378.369999999180436
FS( 101 ),3283171.899999999906868,2927012.300000000279397,2676747.399999999906868,3035922.309999999590218,11922853.910000000149012
FS( 102 ),3279975.280000000260770,2920948.219999999739230,2685460.299999999813735,3023327.969999999739230,11909711.769999999552965
FS( 103 ),3346875.970000000204891,2898965.930000000167638,2689816.749999999534339,3024653.689999999944121,11960312.339999999850988
FS( 104 ),3368110.659999999683350,2889869.810000000055879,2700396.699999999720603,3067076.729999999981374,12025453.900000000372529
FS( 105 ),3357835.810000000055879,2820385.560000000055879,2696040.250000000000000,3063762.429999999701977,11938024.050000000745058
FS( 106 ),3345734.320000000298023,2809015.410000000149012,2717200.149999999441206,3069728.169999999925494,11941678.049999998882413
FS( 107 ),3401218.510000000242144,2829734.350000000093132,2719067.199999999720603,3052162.379999999888241,12002182.440000001341105
FS( 108 ),3493692.159999999683350,2815332.160000000149012,2731514.199999999720603,3046528.069999999832362,12087066.589999999850988
FS( 109 ),3516068.500000000465661,2831755.709999999962747,2707864.899999999906868,3049179.509999999776483,12104868.620000001043081
FS( 110 ),3499400.409999999683350,2770862.239999999757856,2711599.000000000000000,3057465.259999999776483,12039326.909999998286366
FS( 111 ),3515155.179999999701977,2768840.879999999888241,2717822.500000000000000,3052493.809999999590218,12054312.369999997317791
FS( 112 ),3564246.129999999888241,2771620.250000000000000,2712843.700000000186265,3073373.899999999906868,12122083.980000000447035
FS( 113 ),3555112.929999999701977,2757470.729999999981374,2721556.599999999627471,3089945.399999999906868,12124085.660000000149012
FS( 114 ),3549861.339999999850988,2728413.680000000167638,2729024.799999999813735,3087293.959999999962747,12094593.780000001192093
FS( 115 ),3430673.080000000074506,2686217.790000000037253,2734003.599999999627471,3041225.189999999944121,11892119.659999998286366
FS( 116 ),3482960.649999999906868,2695566.580000000074506,2725913.049999999813735,3039568.039999999571592,11944008.320000000298023
FS( 117 ),3494833.810000000055879,2716790.859999999869615,2732136.549999999813735,3065088.149999999906868,12008849.369999999180436
FS( 118 ),3516068.500000000465661,2719570.229999999981374,2749562.349999999627471,3092596.839999999850988,12077797.919999999925494
FS( 119 ),3511730.230000000447035,2704157.359999999869615,2762631.699999999720603,3110825.489999999757856,12089344.779999999329448
FS( 120 ),3501227.050000000279397,2721591.589999999850988,2802462.100000000093132,3142311.339999999850988,12167592.080000000074506
FS( 121 ),3513328.540000000037253,2710474.109999999869615,2826111.399999999441206,3149934.229999999981374,12199848.280000001192093
FS( 122 ),3507391.960000000428408,2739278.489999999757856,2824866.699999999720603,3137671.319999999832362,12209208.470000000670552
FS( 123 ),3508761.939999999944121,2737509.800000000279397,2827356.099999999627471,3139328.469999999739230,12212956.309999998658895
FS( 124 ),3487983.909999999683350,2727403.000000000000000,2829845.499999999534339,3156231.399999999906868,12201463.810000000521541
