代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11654336.060000000521541
真實報酬,1654336.060000000521541

夏普值報酬,0.156733606000000
夏普值風險,0.045021310108540
夏普值,3.481320415201976

二次趨勢線,67.284970639492812 x^2 + 3888.355199812337560 x + 10000000.000000000000000
二次平均預期報酬,12635.401382946403828
風險,52708.559160067896300
二次平均趨勢值,0.239722003111005
一次趨勢線,10423.310552848781299 x + 10000000.000000000000000
一次預期報酬,10423.310552848781299
一次風險,136943.699584185524145
一次趨勢值,0.076113837909287
找到最佳解世代,1997
找到最佳解實驗#,1
找到最佳解次數,32

stock[index](rank)
投資組合檔數,9
AAPL[0](20),AXP[1](4),CAT[3](1),CVX[5](7),HD[9](18),MCD[15](6),PFE[20](12),UNH[23](5),V[25](2),
FS( 10 ),1183272.599999999860302,1086710.979999999981374,1097059.030000000027940,1111530.599999999860302,1130636.549999999813735,1144247.909999999916181,1085784.159999999916181,1093419.080000000074506,1129008.250000000000000,10061670.160000000149012
FS( 11 ),1180240.599999999860302,1098490.300000000046566,1115686.060000000055879,1120866.699999999953434,1133590.600000000093132,1151489.229999999981374,1089402.279999999795109,1091637.159999999916181,1135095.750000000000000,10116499.679999999701977
FS( 12 ),1178497.199999999953434,1095685.699999999953434,1114814.620000000111759,1125062.699999999953434,1140291.250000000000000,1159438.939999999711290,1072298.439999999944121,1069935.919999999925494,1134121.750000000000000,10090147.519999999552965
FS( 13 ),1138929.599999999860302,1071005.219999999972060,1090850.020000000018626,1098313.199999999953434,1124656.399999999906868,1152512.459999999729916,1060128.399999999906868,1074645.280000000027940,1117198.500000000000000,9928240.079999998211861
FS( 14 ),1156287.799999999813735,1071145.449999999953434,1091721.459999999962747,1103243.500000000000000,1121846.449999999953434,1157235.059999999823049,1059799.479999999981374,1091128.039999999804422,1116589.750000000000000,9968997.989999998360872
FS( 15 ),1160229.399999999906868,1077035.109999999869615,1115794.989999999990687,1117405.000000000000000,1126169.449999999953434,1166208.000000000000000,1067693.560000000055879,1098383.000000000000000,1125964.500000000000000,10054884.009999999776483
FS( 16 ),1167278.799999999813735,1079559.250000000000000,1114269.969999999972060,1113209.000000000000000,1123719.750000000000000,1166522.839999999850988,1056510.279999999795109,1111811.039999999804422,1136069.750000000000000,10068951.679999997839332
FS( 17 ),1165838.599999999860302,1082644.310000000055879,1128866.589999999850988,1114782.500000000000000,1115578.100000000093132,1163610.569999999832362,1057168.120000000111759,1115120.320000000065193,1142766.000000000000000,10086376.109999999403954
FS( 18 ),1162351.799999999813735,1081522.469999999972060,1132352.350000000093132,1114258.000000000000000,1116802.949999999953434,1176833.849999999860302,1054207.839999999850988,1117475.000000000000000,1154332.250000000000000,10110137.509999997913837
FS( 19 ),1166369.199999999953434,1086009.829999999841675,1144007.859999999869615,1102614.099999999860302,1127322.250000000000000,1179037.729999999981374,1057825.959999999962747,1133130.440000000176951,1157132.500000000000000,10153450.869999999180436
FS( 20 ),1164398.399999999906868,1086290.289999999804422,1150979.379999999888241,1098523.000000000000000,1116082.449999999953434,1179667.409999999916181,1057168.120000000111759,1129630.239999999990687,1152627.750000000000000,10135368.039999999105930
FS( 21 ),1164853.199999999720603,1081101.780000000027940,1148909.709999999962747,1091599.600000000093132,1108733.349999999860302,1180218.379999999888241,1056839.200000000186265,1123839.000000000000000,1153236.500000000000000,10109331.719999998807907
FS( 22 ),1157955.399999999906868,1078998.329999999841675,1148473.989999999990687,1085515.399999999906868,1106067.500000000000000,1187774.539999999804422,1073943.040000000037253,1114865.760000000009313,1159445.750000000000000,10113040.709999999031425
FS( 23 ),1161139.000000000000000,1097789.149999999906868,1150870.449999999953434,1093802.500000000000000,1117883.699999999953434,1199581.039999999804422,1075916.560000000055879,1142867.360000000102445,1161515.500000000000000,10201366.259999999776483
FS( 24 ),1178345.599999999860302,1100733.979999999981374,1154138.350000000093132,1081634.099999999860302,1119324.699999999953434,1210206.889999999897555,1070324.919999999925494,1141658.199999999953434,1170646.750000000000000,10227014.490000000223517
FS( 25 ),1166824.000000000000000,1107465.020000000018626,1145968.600000000093132,1082473.299999999813735,1115289.899999999906868,1202729.439999999711290,1064075.439999999944121,1141530.919999999925494,1175516.750000000000000,10201874.369999999180436
FS( 26 ),1170765.599999999860302,1105782.259999999776483,1138888.149999999906868,1092753.500000000000000,1111038.949999999953434,1190450.679999999701977,1054865.679999999934807,1150758.719999999972060,1166263.750000000000000,10181568.289999999105930
FS( 27 ),1177739.199999999953434,1119244.340000000083819,1127559.430000000167638,1088557.500000000000000,1116514.750000000000000,1196039.089999999850988,1052563.239999999990687,1165968.679999999934807,1169916.250000000000000,10214103.480000000447035
FS( 28 ),1174858.799999999813735,1121207.560000000055879,1143898.930000000167638,1090970.199999999953434,1105995.449999999953434,1192024.879999999888241,1044340.239999999990687,1156295.399999999906868,1169916.250000000000000,10199508.710000000894070
FS( 29 ),1129302.999999999767169,1126255.840000000083819,1153811.560000000055879,1116146.199999999953434,1102104.750000000000000,1192418.429999999701977,1077890.080000000074506,1154831.679999999934807,1151288.500000000000000,10204051.039999999105930
FS( 30 ),1102318.199999999720603,1124292.619999999878928,1155445.510000000009313,1133349.800000000046566,1096484.850000000093132,1168726.719999999739230,1075587.640000000130385,1140767.239999999990687,1138383.000000000000000,10135356.579999998211861
FS( 31 ),1111186.799999999813735,1130182.280000000027940,1151959.750000000000000,1134293.899999999906868,1109525.899999999906868,1179352.569999999832362,1071640.599999999860302,1152222.440000000176951,1157619.500000000000000,10197984.740000000223517
FS( 32 ),1100347.399999999906868,1133688.030000000027940,1140631.030000000027940,1118244.199999999953434,1129483.750000000000000,1186121.629999999888241,1075258.719999999972060,1160559.280000000027940,1160541.500000000000000,10204876.539999999105930
FS( 33 ),1093752.799999999813735,1131724.810000000055879,1159040.199999999953434,1115411.899999999906868,1129555.800000000046566,1189978.419999999692664,1079205.760000000009313,1147958.560000000055879,1146540.250000000000000,10193169.499999998137355
FS( 34 ),1078441.199999999953434,1142242.060000000055879,1172111.800000000046566,1136601.699999999953434,1128619.149999999906868,1196432.639999999897555,1084468.479999999981374,1155913.560000000055879,1146540.250000000000000,10241371.839999999850988
FS( 35 ),1109291.799999999813735,1148271.949999999953434,1170913.569999999832362,1127265.599999999860302,1144254.000000000000000,1205484.289999999804422,1092691.479999999981374,1164759.520000000018626,1154088.750000000000000,10317021.959999999031425
FS( 36 ),1099210.399999999906868,1157106.439999999944121,1166011.719999999972060,1116985.399999999906868,1136040.299999999813735,1212804.319999999832362,1103874.760000000009313,1166350.520000000018626,1149097.000000000000000,10307481.859999997541308
FS( 37 ),1105729.199999999953434,1152899.539999999804422,1127123.709999999962747,1096110.299999999813735,1128258.899999999906868,1210128.179999999701977,1114400.200000000186265,1176851.119999999878928,1151045.000000000000000,10262547.150000000372529
FS( 38 ),1103909.999999999767169,1153460.459999999962747,1131154.120000000111759,1095690.699999999953434,1120261.349999999860302,1218550.149999999906868,1120320.760000000009313,1186906.239999999990687,1143861.750000000000000,10274116.529999999329448
FS( 39 ),1108836.999999999767169,1153039.770000000018626,1134095.229999999981374,1101460.199999999953434,1090216.500000000000000,1217290.789999999804422,1123938.880000000121072,1178951.239999999990687,1163707.000000000000000,10271537.609999999403954
FS( 40 ),1105350.199999999720603,1163416.789999999804422,1135620.250000000000000,1092438.800000000046566,1091009.049999999813735,1211938.510000000009313,1119662.919999999925494,1178123.919999999925494,1159324.000000000000000,10256885.439999997615814
FS( 41 ),1089507.999999999767169,1165099.550000000046566,1132134.489999999990687,1091704.499999999767169,1096917.149999999906868,1210049.469999999739230,1110782.080000000074506,1174814.639999999897555,1155428.000000000000000,10226438.879999998956919
FS( 42 ),1105426.000000000000000,1177580.020000000018626,1159584.850000000093132,1093907.399999999906868,1104050.099999999860302,1214614.649999999906868,1110124.239999999990687,1181815.039999999804422,1171620.750000000000000,10318724.049999998882413
FS( 43 ),1089129.000000000000000,1172812.199999999953434,1150761.520000000018626,1092229.000000000000000,1096340.750000000000000,1205405.579999999841675,1106177.200000000186265,1179078.520000000018626,1149584.000000000000000,10241518.770000001415610
FS( 44 ),1091706.199999999953434,1181366.229999999981374,1170586.780000000027940,1094431.899999999906868,1105274.949999999953434,1205641.709999999729916,1104861.520000000018626,1180033.119999999878928,1141792.000000000000000,10275695.409999998286366
FS( 45 ),1087764.599999999860302,1193426.009999999776483,1165249.209999999962747,1115097.199999999953434,1109670.000000000000000,1200446.849999999860302,1112426.679999999934807,1187860.840000000083819,1136556.750000000000000,10308499.139999998733401
FS( 46 ),1092236.799999999813735,1190481.179999999934807,1170913.569999999832362,1097474.000000000000000,1100159.399999999906868,1204933.319999999832362,1106506.120000000111759,1198043.239999999990687,1144592.250000000000000,10305340.879999998956919
FS( 47 ),1081927.999999999767169,1174354.729999999981374,1160238.430000000167638,1089081.999999999767169,1095548.199999999953434,1205090.739999999990687,1092691.479999999981374,1189706.399999999906868,1135339.250000000000000,10223980.230000000447035
FS( 48 ),1092919.000000000000000,1182628.300000000046566,1164704.560000000055879,1085620.299999999813735,1096845.099999999860302,1230120.520000000018626,1096967.439999999944121,1196197.679999999934807,1143496.500000000000000,10289500.399999998509884
FS( 49 ),1099589.399999999906868,1182207.609999999869615,1174726.120000000111759,1080899.800000000046566,1089279.850000000093132,1224217.270000000018626,1098940.959999999962747,1189770.039999999804422,1157741.250000000000000,10297373.299999998882413
FS( 50 ),1103151.999999999767169,1180244.389999999897555,1179083.319999999832362,1081739.000000000000000,1085100.949999999953434,1219415.959999999729916,1091046.880000000121072,1183406.039999999804422,1161637.250000000000000,10284826.789999999105930
FS( 51 ),1104743.799999999813735,1189499.569999999832362,1186926.280000000027940,1089816.300000000046566,1099438.899999999906868,1232560.530000000027940,1092691.479999999981374,1188115.399999999906868,1171012.000000000000000,10354805.259999999776483
FS( 52 ),1120131.199999999953434,1197212.219999999972060,1181588.709999999962747,1092333.899999999906868,1104482.399999999906868,1220439.189999999711290,1094665.000000000000000,1180414.959999999962747,1168090.000000000000000,10359358.579999998211861
FS( 53 ),1129757.799999999813735,1195950.149999999906868,1184856.609999999869615,1095585.799999999813735,1101528.349999999860302,1222328.229999999981374,1099598.800000000046566,1189451.840000000083819,1180143.250000000000000,10399201.830000000074506
FS( 54 ),1133699.399999999906868,1195108.770000000018626,1185619.120000000111759,1093173.099999999860302,1108805.399999999906868,1222170.809999999823049,1093678.239999999990687,1185951.639999999897555,1178925.750000000000000,10397133.229999998584390
FS( 55 ),1137641.000000000000000,1199315.669999999925494,1166338.510000000009313,1088033.000000000000000,1096412.799999999813735,1211938.510000000009313,1097296.359999999869615,1189133.639999999897555,1188057.000000000000000,10374167.490000000223517
FS( 56 ),1144766.199999999953434,1205065.100000000093132,1174835.050000000046566,1095795.599999999860302,1104554.449999999953434,1211387.539999999804422,1105848.279999999795109,1204025.399999999906868,1196214.250000000000000,10442492.869999999180436
FS( 57 ),1139611.799999999813735,1196931.759999999776483,1169061.760000000009313,1097578.899999999906868,1059379.099999999860302,1213906.260000000009313,1103216.919999999925494,1218726.239999999990687,1194509.750000000000000,10392923.489999998360872
FS( 58 ),1139081.199999999953434,1200297.280000000027940,1161109.870000000111759,1083102.699999999953434,1056641.199999999953434,1211623.669999999692664,1101243.399999999906868,1220508.159999999916181,1212650.500000000000000,10386258.980000000447035
FS( 59 ),1152876.799999999813735,1192023.709999999962747,1178429.739999999990687,1082578.199999999953434,1041726.850000000093132,1195330.699999999720603,1095980.679999999934807,1214844.199999999953434,1222025.250000000000000,10375817.129999998956919
FS( 60 ),1157803.799999999813735,1197773.139999999897555,1247709.219999999972060,1095061.300000000046566,1058946.800000000046566,1252159.319999999832362,1088744.439999999944121,1211725.840000000083819,1217398.750000000000000,10527323.609999997541308
FS( 61 ),1163261.399999999906868,1196230.609999999869615,1236598.359999999869615,1102719.000000000000000,1056929.399999999906868,1232009.559999999823049,1081837.120000000111759,1213953.239999999990687,1227869.250000000000000,10511408.939999999478459
FS( 62 ),1141279.399999999906868,1175897.259999999776483,1245857.410000000149012,1113104.099999999860302,1064422.599999999860302,1235472.799999999813735,1085455.239999999990687,1202370.760000000009313,1212285.250000000000000,10476145.820000000298023
FS( 63 ),1133244.599999999860302,1189219.109999999869615,1242916.300000000046566,1134189.000000000000000,1066944.350000000093132,1226814.699999999720603,1090389.040000000037253,1216498.840000000083819,1207171.750000000000000,10507388.689999999478459
FS( 64 ),1127407.999999999767169,1195249.000000000000000,1241282.350000000093132,1145413.299999999813735,1077895.949999999953434,1221226.289999999804422,1090717.959999999962747,1220699.080000000074506,1212163.500000000000000,10532056.429999999701977
FS( 65 ),1137413.599999999860302,1195389.229999999981374,1232023.300000000046566,1162092.399999999906868,1079697.199999999953434,1212568.189999999711290,1088086.599999999860302,1223371.959999999962747,1228112.750000000000000,10558756.229999998584390
FS( 66 ),1191155.799999999813735,1196230.609999999869615,1231914.370000000111759,1158735.599999999860302,1084380.449999999953434,1232639.239999999990687,1082823.880000000121072,1228272.239999999990687,1233104.500000000000000,10639257.689999999478459
FS( 67 ),1179255.199999999720603,1199596.130000000121072,1237034.080000000074506,1147930.900000000139698,1086469.899999999906868,1217920.469999999739230,1099598.800000000046566,1239536.520000000018626,1224703.750000000000000,10632046.750000000000000
FS( 68 ),1185470.799999999813735,1205626.020000000018626,1245639.550000000046566,1155064.099999999860302,1100591.699999999953434,1210836.569999999832362,1106506.120000000111759,1240236.560000000055879,1228356.250000000000000,10678328.669999999925494
FS( 69 ),1203814.399999999906868,1203943.259999999776483,1249561.030000000027940,1151602.399999999906868,1104914.699999999953434,1219888.219999999739230,1095651.760000000009313,1239600.159999999916181,1235661.250000000000000,10704638.179999999701977
FS( 70 ),1213441.000000000000000,1205205.329999999841675,1246293.129999999888241,1157581.699999999953434,1104914.699999999953434,1219494.669999999692664,1094665.000000000000000,1240363.840000000083819,1233104.500000000000000,10715064.870000001043081
FS( 71 ),1220869.399999999906868,1201699.579999999841675,1245530.620000000111759,1163246.300000000046566,1118676.250000000000000,1219494.669999999692664,1100256.640000000130385,1239918.360000000102445,1229330.250000000000000,10739023.069999998435378
FS( 72 ),1177360.199999999720603,1185853.590000000083819,1232567.949999999953434,1155064.099999999860302,1108733.349999999860302,1232875.369999999878928,1099269.880000000121072,1225535.719999999972060,1211311.250000000000000,10628572.410000000149012
FS( 73 ),1193732.999999999767169,1182067.380000000121072,1229300.050000000046566,1145832.899999999906868,1115938.349999999860302,1238227.649999999906868,1093678.239999999990687,1228399.520000000018626,1218616.250000000000000,10645794.339999999850988
FS( 74 ),1211697.599999999860302,1198614.520000000018626,1238668.030000000027940,1140378.099999999860302,1111471.250000000000000,1237912.809999999823049,1095651.760000000009313,1232790.679999999934807,1240287.750000000000000,10707473.500000000000000
FS( 75 ),1224962.599999999860302,1217124.880000000121072,1238014.449999999953434,1138909.499999999767169,1082002.799999999813735,1240746.369999999878928,1097954.200000000186265,1237818.239999999990687,1249540.750000000000000,10727074.789999999105930
FS( 76 ),1220035.599999999860302,1225538.679999999934807,1243134.160000000149012,1120761.800000000046566,1096989.199999999953434,1250821.250000000000000,1097296.359999999869615,1233172.520000000018626,1257941.500000000000000,10745692.070000000298023
FS( 77 ),1196613.399999999906868,1207308.780000000027940,1232459.020000000018626,1111111.000000000000000,1078400.299999999813735,1242871.539999999804422,1083810.640000000130385,1226363.039999999804422,1243818.500000000000000,10622757.219999998807907
FS( 78 ),1193884.599999999860302,1197352.449999999953434,1240955.560000000055879,1116985.399999999906868,1062693.399999999906868,1241848.309999999823049,1074600.880000000121072,1214398.719999999972060,1248079.750000000000000,10590800.070000000298023
FS( 79 ),1191686.399999999906868,1196230.609999999869615,1237469.800000000046566,1109642.399999999906868,1075013.949999999953434,1246570.909999999916181,1077561.159999999916181,1222099.159999999916181,1256724.000000000000000,10612999.389999998733401
FS( 80 ),1211166.999999999767169,1196230.609999999869615,1261652.260000000009313,1115726.599999999860302,1080129.500000000000000,1256645.789999999804422,1090389.040000000037253,1239663.800000000046566,1267072.750000000000000,10718678.349999999627471
FS( 81 ),1212682.999999999767169,1195950.149999999906868,1249996.750000000000000,1118349.099999999860302,1074293.449999999953434,1250112.859999999869615,1093349.320000000065193,1236163.600000000093132,1256237.000000000000000,10687136.229999998584390
FS( 82 ),1207301.199999999953434,1197071.989999999990687,1250323.540000000037253,1127055.799999999813735,1068169.199999999953434,1246964.459999999729916,1093020.399999999906868,1239409.239999999990687,1256724.000000000000000,10686040.830000000074506
FS( 83 ),1211773.399999999906868,1198614.520000000018626,1256532.550000000046566,1135342.899999999906868,1078256.199999999953434,1250191.569999999832362,1098283.120000000111759,1236927.280000000027940,1258306.750000000000000,10724229.289999999105930
FS( 84 ),1223977.199999999953434,1197773.139999999897555,1253482.510000000009313,1130412.600000000093132,1090792.899999999906868,1256881.919999999692664,1100914.479999999981374,1241573.000000000000000,1263542.000000000000000,10759350.750000000000000
FS( 85 ),1234892.399999999906868,1197913.369999999878928,1263721.930000000167638,1131461.599999999860302,1079625.149999999906868,1254599.329999999841675,1101901.239999999990687,1252009.959999999962747,1263420.250000000000000,10779546.230000000447035
FS( 86 ),1238227.599999999860302,1201699.579999999841675,1280497.149999999906868,1130097.899999999906868,1080777.949999999953434,1255779.979999999981374,1100256.640000000130385,1246600.560000000055879,1262933.250000000000000,10796871.610000001266599
FS( 87 ),1243154.599999999860302,1207449.009999999776483,1279843.569999999832362,1128944.000000000000000,1079841.300000000046566,1259243.219999999739230,1115715.880000000121072,1265819.840000000083819,1260376.500000000000000,10840388.919999999925494
FS( 88 ),1243533.599999999860302,1208009.929999999934807,1288449.040000000037253,1140902.600000000093132,1086397.849999999860302,1257983.859999999869615,1117031.560000000055879,1271229.239999999990687,1265003.000000000000000,10878541.679999999701977
FS( 89 ),1228601.000000000000000,1196370.840000000083819,1288666.899999999906868,1148035.799999999813735,1101888.600000000093132,1252395.449999999720603,1111768.839999999850988,1268429.080000000074506,1254167.250000000000000,10850324.759999997913837
FS( 90 ),1227312.399999999906868,1195249.000000000000000,1274288.140000000130385,1172687.300000000046566,1128042.750000000000000,1245468.969999999739230,1118018.320000000065193,1262510.560000000055879,1256237.000000000000000,10879815.439999999478459
FS( 91 ),1222385.399999999906868,1183750.139999999897555,1282893.609999999869615,1172792.199999999953434,1137913.600000000093132,1258692.250000000000000,1118018.320000000065193,1261174.119999999878928,1273038.500000000000000,10910659.139999998733401
FS( 92 ),1202449.999999999767169,1181506.459999999962747,1283438.260000000009313,1162092.399999999906868,1150378.250000000000000,1257196.760000000009313,1121636.439999999944121,1258501.239999999990687,1271455.750000000000000,10888656.559999998658895
FS( 93 ),1224204.599999999860302,1201699.579999999841675,1294875.910000000149012,1180345.000000000000000,1141083.800000000046566,1271521.979999999981374,1128872.679999999934807,1270147.360000000102445,1292396.750000000000000,11005148.659999998286366
FS( 94 ),1219353.399999999906868,1213759.359999999869615,1317424.419999999925494,1180030.299999999813735,1152179.500000000000000,1230592.780000000027940,1163409.279999999795109,1256719.320000000065193,1293127.250000000000000,11026596.609999999403954
FS( 95 ),1210181.599999999860302,1215021.429999999934807,1303154.589999999850988,1197758.400000000139698,1152972.050000000046566,1235866.349999999860302,1153212.760000000009313,1262192.360000000102445,1288500.750000000000000,11018861.289999999105930
FS( 96 ),1199796.999999999767169,1208711.079999999841675,1312413.640000000130385,1200590.699999999953434,1148360.849999999860302,1235866.349999999860302,1175250.399999999906868,1258373.959999999962747,1291544.500000000000000,11030909.480000000447035
FS( 97 ),1211924.999999999767169,1219929.479999999981374,1322108.410000000149012,1202478.899999999906868,1141299.949999999953434,1235236.669999999692664,1163080.359999999869615,1261237.760000000009313,1282048.000000000000000,11039345.529999999329448
FS( 98 ),1202753.199999999720603,1232269.719999999972060,1348905.189999999944121,1208353.299999999813735,1137049.000000000000000,1233347.629999999888241,1169329.839999999850988,1261301.399999999906868,1276325.750000000000000,11069636.029999999329448
FS( 99 ),1203207.999999999767169,1248115.709999999962747,1358817.819999999832362,1220416.800000000046566,1135968.250000000000000,1239250.879999999888241,1166040.640000000130385,1238772.840000000083819,1283387.250000000000000,11093979.189999999478459
FS( 100 ),1183045.199999999720603,1240122.600000000093132,1360016.050000000046566,1220731.500000000000000,1143317.350000000093132,1258534.829999999841675,1183802.320000000065193,1245773.239999999990687,1283387.250000000000000,11118731.339999999850988
FS( 101 ),1162730.799999999813735,1239982.369999999878928,1359362.469999999972060,1221780.500000000000000,1146991.899999999906868,1251844.479999999981374,1183144.479999999981374,1242336.679999999934807,1282169.750000000000000,11090344.429999999701977
FS( 102 ),1151360.799999999813735,1239701.910000000149012,1355440.989999999990687,1230382.300000000046566,1152611.800000000046566,1250899.959999999729916,1182815.560000000055879,1228463.159999999916181,1285213.500000000000000,11076890.980000000447035
FS( 103 ),1141203.599999999860302,1237037.539999999804422,1354242.760000000009313,1237725.299999999813735,1160753.449999999953434,1230041.809999999823049,1168014.159999999916181,1220317.239999999990687,1254289.000000000000000,11003625.859999999403954
FS( 104 ),1160835.799999999813735,1243768.579999999841675,1356312.430000000167638,1232795.000000000000000,1161906.250000000000000,1207137.199999999720603,1161106.839999999850988,1226363.039999999804422,1253315.000000000000000,11003541.139999998733401
FS( 105 ),1169097.999999999767169,1254986.979999999981374,1356421.359999999869615,1232060.699999999953434,1159456.549999999813735,1212646.899999999906868,1166040.640000000130385,1237754.600000000093132,1264881.250000000000000,11053347.979999998584390
FS( 106 ),1161896.999999999767169,1264101.929999999934807,1364155.390000000130385,1233844.000000000000000,1169831.750000000000000,1239723.139999999897555,1170974.439999999944121,1248000.639999999897555,1273282.000000000000000,11125811.290000000968575
FS( 107 ),1168264.199999999953434,1268589.289999999804422,1358491.030000000027940,1232585.199999999953434,1178477.750000000000000,1233347.629999999888241,1174263.640000000130385,1246409.639999999897555,1273282.000000000000000,11133711.380000000819564
FS( 108 ),1165914.399999999906868,1269711.130000000121072,1358599.959999999962747,1231850.900000000139698,1181792.050000000046566,1235551.510000000009313,1186433.679999999934807,1256528.399999999906868,1283752.500000000000000,11170135.530000001192093
FS( 109 ),1170992.999999999767169,1282191.600000000093132,1367205.430000000167638,1235941.999999999767169,1190077.799999999813735,1234764.409999999916181,1188736.120000000111759,1264101.560000000055879,1285578.750000000000000,11219591.669999999925494
FS( 110 ),1163412.999999999767169,1276301.939999999944121,1380603.819999999832362,1233424.399999999906868,1190942.399999999906868,1237519.260000000009313,1182815.560000000055879,1275874.959999999962747,1282169.750000000000000,11223066.089999999850988
FS( 111 ),1177890.799999999813735,1278405.389999999897555,1376900.199999999953434,1243914.399999999906868,1196922.550000000046566,1250034.149999999906868,1184131.239999999990687,1259455.840000000083819,1293492.500000000000000,11261148.069999998435378
FS( 112 ),1177208.599999999860302,1283874.359999999869615,1382673.489999999990687,1227654.899999999906868,1194977.199999999953434,1256330.949999999720603,1185775.839999999850988,1260474.080000000074506,1299458.250000000000000,11268428.669999999925494
FS( 113 ),1181301.799999999813735,1285837.579999999841675,1382128.839999999850988,1234788.099999999860302,1193968.500000000000000,1260423.869999999878928,1188736.120000000111759,1249273.440000000176951,1302867.250000000000000,11279326.499999998137355
FS( 114 ),1181756.599999999860302,1288642.179999999934807,1396398.669999999925494,1246222.199999999953434,1190005.750000000000000,1264044.530000000027940,1197288.040000000037253,1238963.760000000009313,1306519.750000000000000,11309842.479999998584390
FS( 115 ),1186683.599999999860302,1289623.789999999804422,1400864.800000000046566,1251781.899999999906868,1190654.199999999953434,1284273.000000000000000,1198932.640000000130385,1242654.879999999888241,1320277.500000000000000,11365747.309999998658895
FS( 116 ),1182514.599999999860302,1284715.739999999990687,1416006.070000000065193,1249788.800000000046566,1185898.899999999906868,1290254.959999999729916,1195643.439999999944121,1227763.119999999878928,1316259.750000000000000,11348846.379999998956919
FS( 117 ),1190018.799999999813735,1302244.489999999990687,1423849.030000000027940,1249998.599999999860302,1185034.300000000046566,1301746.619999999878928,1195314.520000000018626,1225217.520000000018626,1322956.000000000000000,11396380.879999998956919
FS( 118 ),1211924.999999999767169,1289623.789999999804422,1432127.709999999962747,1260173.899999999906868,1183233.050000000046566,1298913.059999999823049,1183473.399999999906868,1229545.039999999804422,1318573.000000000000000,11407588.949999997392297
FS( 119 ),1216397.199999999953434,1285837.579999999841675,1421997.219999999972060,1261118.000000000000000,1176964.699999999953434,1301982.750000000000000,1190709.640000000130385,1297576.199999999953434,1309320.000000000000000,11461904.289999999105930
