代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11545515.100000001490116
真實報酬,1545515.100000001490116

夏普值報酬,0.145851510000000
夏普值風險,0.048113126808131
夏普值,3.031428628233564

二次趨勢線,-51.027904200944306 x^2 + 18931.186045791146171 x + 10000000.000000000000000
二次平均預期報酬,12297.558499668382865
風險,148517.705816480098292
二次平均趨勢值,0.082801969179784
一次趨勢線,13975.174732375095118 x + 10000000.000000000000000
一次預期報酬,13975.174732375095118
一次風險,176764.570637275988702
一次趨勢值,0.079060949159616
找到最佳解世代,2059
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
KO[14](2),PG[21](1),WMT[28](3),
FS( 15 ),3334019.009999999776483,3379077.479999999981374,3325440.360000000335276,10038537.850000001490116
FS( 16 ),3406050.059999999590218,3390195.929999999701977,3361943.820000000298023,10158190.809999998658895
FS( 17 ),3419770.259999999776483,3391466.610000000335276,3349776.000000000000000,10161013.870000001043081
FS( 18 ),3403306.019999999552965,3389242.919999999925494,3376413.660000000149012,10168963.599999999627471
FS( 19 ),3368319.509999999776483,3318402.509999999776483,3368192.160000000149012,10054915.179999999701977
FS( 20 ),3334705.019999999552965,3309825.419999999925494,3358326.360000000335276,10002857.800000000745058
FS( 21 ),3378609.659999999683350,3346039.799999999813735,3360628.379999999888241,10085278.839999999850988
FS( 22 ),3370377.540000000037253,3269163.659999999683350,3335963.879999999888241,9975506.079999998211861
FS( 23 ),3428688.389999999664724,3297436.290000000037253,3353064.599999999627471,10079190.279999999329448
FS( 24 ),3430060.409999999683350,3325391.250000000000000,3372796.200000000186265,10128248.859999999403954
FS( 25 ),3483569.189999999944121,3390513.600000000093132,3433964.160000000149012,10308047.949999999254942
FS( 26 ),3526101.809999999590218,3411162.149999999906868,3456655.500000000000000,10393920.459999999031425
FS( 27 ),3532275.899999999906868,3455318.279999999795109,3487897.200000000186265,10475492.379999998956919
FS( 28 ),3524729.790000000037253,3453729.929999999701977,3535910.759999999776483,10514371.480000000447035
FS( 29 ),3521299.739999999757856,3474696.149999999906868,3549722.879999999888241,10545719.769999999552965
FS( 30 ),3542566.049999999813735,3484226.250000000000000,3578662.559999999590218,10605455.859999999403954
FS( 31 ),3507579.540000000037253,3523299.659999999683350,3573071.940000000409782,10603952.140000000596046
FS( 32 ),3519927.719999999739230,3532512.089999999850988,3586884.059999999590218,10639324.869999999180436
FS( 33 ),3489743.279999999329448,3525841.019999999552965,3589843.799999999813735,10605429.099999997764826
FS( 34 ),3473965.049999999813735,3481684.889999999664724,3605957.940000000409782,10561608.879999998956919
FS( 35 ),3506893.529999999329448,3507733.830000000074506,3604971.360000000335276,10619599.719999998807907
FS( 36 ),3543938.069999999366701,3549666.269999999552965,3627991.559999999590218,10721596.899999998509884
FS( 37 ),3536391.959999999497086,3532512.089999999850988,3654629.219999999739230,10723534.269999999552965
FS( 38 ),3561774.329999999608845,3568408.799999999813735,3658246.679999999701977,10788430.809999998658895
FS( 39 ),3550798.169999999459833,3549030.929999999701977,3641145.959999999962747,10740976.059999998658895
FS( 40 ),3506893.529999999329448,3485814.600000000093132,3622729.799999999813735,10615438.929999999701977
FS( 41 ),3504149.489999999757856,3487402.950000000186265,3620756.639999999664724,10612310.079999998211861
FS( 42 ),3493173.329999999608845,3483273.240000000223517,3633582.179999999701977,10610029.750000000000000
FS( 43 ),3539822.009999999776483,3509957.519999999552965,3637857.360000000335276,10687637.890000000596046
FS( 44 ),3565890.389999999664724,3541406.850000000093132,3670085.639999999664724,10777383.879999998956919
FS( 45 ),3574122.509999999776483,3624001.049999999813735,3693763.559999999590218,10891888.119999999180436
FS( 46 ),3574808.519999999552965,3594457.740000000223517,3682582.320000000298023,10851849.580000000074506
FS( 47 ),3567262.409999999683350,3623048.040000000037253,3706917.959999999962747,10897229.410000000149012
FS( 48 ),3539136.000000000000000,3586833.659999999683350,3712179.719999999739230,10838150.379999998956919
FS( 49 ),3554914.229999999515712,3613517.939999999944121,3715468.320000000298023,10883901.490000000223517
FS( 50 ),3570006.449999999720603,3633531.149999999906868,3746381.160000000149012,10949919.759999999776483
FS( 51 ),3575494.529999999329448,3652909.019999999552965,3768743.639999999664724,10997148.189999997615814
FS( 52 ),3576180.540000000037253,3668474.850000000093132,3781240.320000000298023,11025896.710000000894070
FS( 53 ),3576866.549999999813735,3681499.319999999832362,3774005.400000000372529,11032372.269999999552965
FS( 54 ),3579610.589999999850988,3683087.669999999925494,3768743.639999999664724,11031442.899999998509884
FS( 55 ),3569320.439999999944121,3667204.169999999925494,3772689.959999999962747,11009215.570000000298023
FS( 56 ),3525415.799999999813735,3653544.360000000335276,3745723.440000000409782,10924684.600000001490116
FS( 57 ),3513753.629999999422580,3662756.790000000037253,3710206.559999999590218,10886717.980000000447035
FS( 58 ),3727102.739999999757856,3616694.639999999664724,3686199.780000000260770,11029998.160000000149012
FS( 59 ),3689372.189999999944121,3576985.889999999664724,3683240.040000000037253,10949599.120000001043081
FS( 60 ),3640665.479999999515712,3582386.279999999795109,3690474.959999999962747,10913527.719999998807907
FS( 61 ),3716126.579999999608845,3644649.600000000093132,3716783.759999999776483,11077560.939999999478459
FS( 62 ),3703778.399999999906868,3684993.689999999944121,3692119.259999999776483,11080892.349999999627471
FS( 63 ),3685256.129999999422580,3825086.159999999683350,3685213.200000000186265,11195556.489999998360872
FS( 64 ),3610481.040000000037253,3749798.370000000111759,3629964.719999999739230,10990245.129999998956919
FS( 65 ),3569320.439999999944121,3708183.600000000093132,3597078.719999999739230,10874583.759999999776483
FS( 66 ),3589900.739999999757856,3698971.169999999925494,3597736.440000000409782,10886609.350000001490116
FS( 67 ),3543252.059999999590218,3592234.049999999813735,3480004.559999999590218,10615491.669999998062849
FS( 68 ),3585784.679999999701977,3630354.450000000186265,3527689.259999999776483,10743829.390000000596046
FS( 69 ),3648211.589999999850988,3669745.529999999795109,3558273.240000000223517,10876231.359999999403954
FS( 70 ),3683198.099999999627471,3730738.169999999925494,3568796.759999999776483,10982734.029999999329448
FS( 71 ),3664675.829999999608845,3709771.950000000186265,3528018.120000000111759,10902466.899999998509884
FS( 72 ),3649583.609999999869615,3685946.700000000186265,3456984.360000000335276,10792515.670000001788139
FS( 73 ),3670163.909999999683350,3724702.439999999944121,3532293.299999999813735,10927160.649999998509884
FS( 74 ),3635177.399999999906868,3678322.620000000111759,3492501.240000000223517,10806002.259999999776483
FS( 75 ),3695546.279999999329448,3729149.819999999832362,3705931.379999999888241,11130628.480000000447035
FS( 76 ),3732590.819999999366701,3786012.750000000000000,3715797.179999999701977,11234401.750000000000000
FS( 77 ),3751799.099999999627471,3819685.769999999552965,3742763.700000000186265,11314249.570000000298023
FS( 78 ),3696232.290000000037253,3777117.990000000223517,3684884.339999999850988,11158235.620000001043081
FS( 79 ),3711324.509999999776483,3786648.089999999850988,3683897.759999999776483,11181871.359999999403954
FS( 80 ),3738078.899999999906868,3793636.830000000074506,3680280.299999999813735,11211997.030000001192093
FS( 81 ),3686628.149999999906868,3726926.129999999888241,3644763.419999999925494,11058318.699999999254942
FS( 82 ),3741508.949999999720603,3790460.129999999888241,3682911.179999999701977,11214881.259999999776483
FS( 83 ),3753857.129999999422580,3829533.540000000037253,3697052.160000000149012,11280443.830000000074506
FS( 84 ),3780611.519999999552965,3856535.490000000223517,3706917.959999999962747,11344065.969999998807907
FS( 85 ),3776495.459999999497086,3849546.750000000000000,3751642.919999999925494,11377686.129999998956919
FS( 86 ),3775809.449999999720603,3819368.100000000093132,3757562.400000000372529,11352740.949999999254942
FS( 87 ),3793645.709999999497086,3855264.810000000055879,3770059.080000000074506,11418970.599999999627471
FS( 88 ),3825888.179999999701977,3914033.759999999776483,3811824.299999999813735,11551747.239999998360872
FS( 89 ),3781297.529999999329448,3899738.610000000335276,3796367.879999999888241,11477405.019999999552965
FS( 90 ),3788843.639999999664724,3903232.979999999981374,3773018.820000000298023,11465096.439999999478459
FS( 91 ),3740136.929999999701977,3880996.080000000074506,3825636.419999999925494,11446770.429999999701977
FS( 92 ),3731904.809999999590218,3808249.649999999906868,3816428.339999999850988,11356583.799999998882413
FS( 93 ),3757287.179999999701977,3852405.779999999795109,3815441.759999999776483,11425135.719999998807907
FS( 94 ),3780611.519999999552965,3900056.279999999795109,3845039.160000000149012,11525707.959999999031425
FS( 95 ),3722300.669999999459833,3879407.729999999981374,3861811.020000000484288,11463520.419999999925494
FS( 96 ),3701720.369999999646097,3804119.939999999944121,3800643.059999999590218,11306484.369999999180436
FS( 97 ),3720928.649999999906868,3848911.409999999683350,3831555.900000000372529,11401396.960000000894070
FS( 98 ),3720242.639999999664724,3856853.159999999683350,3852931.799999999813735,11430028.599999997764826
FS( 99 ),3740136.929999999701977,3872418.990000000223517,3851287.500000000000000,11463844.419999999925494
FS( 100 ),3698290.319999999366701,3883219.769999999552965,3847012.320000000298023,11428523.410000000149012
FS( 101 ),3714068.549999999813735,3914351.429999999701977,3868059.360000000335276,11496480.339999999850988
FS( 102 ),3725044.709999999497086,3926740.560000000055879,3893710.440000000409782,11545496.710000000894070
FS( 103 ),3716126.579999999608845,3907998.029999999795109,3896012.459999999962747,11520138.070000000298023
FS( 104 ),3731218.799999999813735,3948977.459999999962747,3890421.839999999850988,11570619.099999999627471
FS( 105 ),3725730.719999999739230,3957236.879999999888241,3895354.740000000223517,11578323.339999999850988
FS( 106 ),3734648.849999999627471,3951201.149999999906868,3902918.520000000484288,11588769.519999999552965
FS( 107 ),3749055.059999999590218,3934364.639999999664724,3875623.139999999664724,11559043.839999999850988
FS( 108 ),3641351.489999999757856,3846370.049999999813735,3818730.360000000335276,11306452.899999998509884
FS( 109 ),3693488.250000000000000,3867336.269999999552965,3824978.700000000186265,11385804.219999998807907
FS( 110 ),3741508.949999999720603,3939129.689999999944121,3885817.799999999813735,11566457.439999999478459
FS( 111 ),3695546.279999999329448,3902279.970000000204891,3855233.820000000298023,11453061.070000000298023
FS( 112 ),3675651.989999999757856,3841605.000000000000000,3866743.919999999925494,11384001.910000000149012
FS( 113 ),3692802.239999999757856,3874960.350000000093132,3911140.020000000484288,11478903.609999999403954
FS( 114 ),3681140.069999999366701,3873689.669999999925494,3933502.500000000000000,11488333.239999998360872
FS( 115 ),3656443.709999999497086,3846687.720000000204891,3954220.679999999701977,11457353.109999999403954
FS( 116 ),3656443.709999999497086,3813650.040000000037253,3919032.660000000149012,11389127.410000000149012
FS( 117 ),3670849.919999999459833,3723114.089999999850988,3930871.620000000111759,11324836.629999998956919
FS( 118 ),3669477.899999999906868,3733597.200000000186265,3927254.160000000149012,11330330.259999999776483
FS( 119 ),3690058.199999999720603,3705006.899999999906868,3941066.280000000260770,11336132.379999998956919
FS( 120 ),3757973.189999999944121,3731691.179999999701977,3918046.080000000074506,11407711.449999999254942
FS( 121 ),3720242.639999999664724,3782836.049999999813735,3937777.679999999701977,11440857.369999999180436
FS( 122 ),3694174.259999999776483,3881313.750000000000000,3932515.919999999925494,11508004.929999999701977
FS( 123 ),3748369.049999999813735,3907362.689999999944121,3924952.139999999664724,11580684.879999998956919
FS( 124 ),3746311.019999999552965,3964225.620000000111759,3916730.639999999664724,11627268.279999999329448
FS( 125 ),3687314.159999999683350,3915304.439999999944121,3914757.480000000447035,11517377.080000000074506
FS( 126 ),3674965.979999999515712,3922610.850000000093132,3920676.959999999962747,11518254.789999999105930
FS( 127 ),3663989.819999999366701,3926422.889999999664724,3852602.940000000409782,11443016.649999998509884
FS( 128 ),3700348.349999999627471,3968990.669999999925494,3883844.639999999664724,11553184.660000000149012
FS( 129 ),3733962.839999999850988,3955330.860000000335276,3856220.400000000372529,11545515.100000001490116
