代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12678151.320000000298023
真實報酬,2678151.320000000298023

夏普值報酬,0.259115132000000
夏普值風險,0.075118157379130
夏普值,3.449434078796919

二次趨勢線,-5.424513027692235 x^2 + 23218.430485617151135 x + 10000000.000000000000000
二次平均預期報酬,22518.668305044848239
風險,136415.522705338487867
二次平均趨勢值,0.165074090238879
一次趨勢線,22695.650957718760765 x + 10000000.000000000000000
一次預期報酬,22695.650957718760765
一次風險,136783.992990934057161
一次趨勢值,0.165923296004548
找到最佳解世代,2286
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
JNJ[12](21),KO[14](9),MMM[16](10),MSFT[18](3),V[25](2),WBA[27](18),
FS( 35 ),1763035.899999999906868,1672766.020000000018626,1942427.949999999953434,1639628.080000000074506,1842104.400000000372529,1758122.050000000046566,10618088.400000002235174
FS( 36 ),1779973.640000000130385,1674799.360000000102445,1954501.110000000102445,1641014.640000000130385,1858551.750000000000000,1754713.750000000000000,10663558.250000000000000
FS( 37 ),1782309.880000000121072,1691743.860000000102445,1993190.099999999860302,1692317.360000000102445,1891446.450000000186265,1796749.449999999953434,10847761.099999999627471
FS( 38 ),1789610.630000000121072,1662599.320000000065193,1990994.979999999981374,1708262.800000000046566,1862937.709999999962747,1784252.350000000093132,10798661.789999999105930
FS( 39 ),1785522.209999999962747,1651754.840000000083819,1994287.660000000149012,1708262.800000000046566,1891446.450000000186265,1848442.000000000000000,10879719.960000000894070
FS( 40 ),1770628.680000000167638,1666666.000000000000000,1959714.520000000018626,1702023.280000000260770,1924341.150000000372529,1897862.349999999860302,10921239.980000000447035
FS( 41 ),1766540.260000000009313,1675477.139999999897555,1965476.709999999729916,1711729.200000000186265,1911183.270000000251457,1911495.550000000046566,10941906.130000000819564
FS( 42 ),1760699.659999999916181,1662599.320000000065193,1973434.020000000018626,1711035.920000000158325,1933113.070000000065193,1913199.699999999953434,10954085.689999999478459
FS( 43 ),1765080.109999999869615,1653110.399999999906868,1978373.039999999804422,1708956.080000000074506,1948463.930000000167638,1924560.700000000186265,10978548.260000001639128
FS( 44 ),1750478.609999999869615,1644977.040000000037253,1924043.820000000065193,1663892.880000000121072,1924341.150000000372529,1933649.500000000000000,10841387.000000000000000
FS( 45 ),1745222.070000000065193,1687677.179999999934807,1936665.759999999776483,1654186.960000000195578,1921051.680000000167638,1920584.350000000093132,10865392.000000000000000
FS( 46 ),1743177.859999999869615,1680221.599999999860302,1948738.919999999692664,1671518.960000000195578,1944077.970000000204891,1905815.049999999813735,10893554.359999999403954
FS( 47 ),1761575.750000000000000,1693099.419999999925494,1957793.789999999804422,1706876.240000000223517,1928727.110000000102445,1922288.500000000232831,10970364.810000000521541
FS( 48 ),1768876.500000000000000,1708688.360000000102445,1967123.049999999813735,1720741.840000000083819,1945174.459999999962747,1930241.199999999953434,11040849.410000000149012
FS( 49 ),1779097.550000000046566,1716143.939999999944121,2008007.160000000149012,1717968.720000000204891,1932016.580000000307336,1925696.800000000046566,11078934.750000001862645
FS( 50 ),1771504.770000000018626,1714110.599999999860302,2041208.349999999860302,1733220.880000000121072,1982455.120000000111759,1942170.250000000000000,11184673.969999998807907
FS( 51 ),1764496.050000000046566,1745966.260000000009313,2030507.139999999897555,1723514.960000000195578,1981358.630000000121072,1935921.699999999953434,11181768.740000000223517
FS( 52 ),1762159.810000000055879,1767655.219999999972060,2045872.979999999981374,1733220.880000000121072,1997805.979999999981374,1945010.500000000232831,11251729.369999999180436
FS( 53 ),1756611.239999999990687,1777821.919999999925494,2049165.660000000149012,1747086.479999999981374,2006577.900000000372529,1934785.600000000093132,11272052.800000000745058
FS( 54 ),1757779.359999999869615,1785277.500000000000000,2068372.959999999729916,1747086.479999999981374,2030700.680000000167638,1966028.350000000093132,11355249.329999998211861
FS( 55 ),1774717.100000000093132,1810355.360000000102445,2054927.849999999860302,1754019.280000000260770,2023025.250000000000000,1949554.900000000139698,11366603.740000000223517
FS( 56 ),1775009.130000000121072,1821877.619999999878928,2047519.320000000065193,1751246.160000000149012,2023025.250000000000000,1959779.800000000046566,11378461.280000001192093
FS( 57 ),1771796.800000000046566,1796121.979999999981374,2045324.199999999953434,1754019.280000000260770,2012060.350000000325963,1962052.000000000000000,11341378.610000001266599
FS( 58 ),1783770.030000000027940,1791377.520000000018626,2057122.969999999972060,1786603.440000000176951,2039472.600000000325963,1967164.450000000186265,11425515.010000001639128
FS( 59 ),1774717.100000000093132,1781888.599999999860302,2042031.520000000018626,1782443.760000000242144,2026314.720000000204891,1945010.500000000232831,11352410.200000001117587
FS( 60 ),1773256.949999999953434,1773755.239999999990687,2033251.039999999804422,1798389.200000000186265,2015349.820000000065193,1911495.550000000046566,11305501.800000000745058
FS( 61 ),1770336.649999999906868,1795444.199999999953434,2025019.339999999850988,1771351.280000000260770,1937499.030000000260770,1913199.699999999953434,11212854.199999999254942
FS( 62 ),1789318.600000000093132,1800866.439999999944121,2058220.530000000027940,1790763.120000000111759,1950656.910000000149012,1942170.250000000000000,11331999.850000001490116
FS( 63 ),1779389.580000000074506,1806966.459999999962747,2028860.799999999813735,1785216.880000000121072,1906797.310000000288710,2121674.049999999813735,11428909.079999998211861
FS( 64 ),1778221.459999999962747,1819844.280000000027940,2025019.339999999850988,1783137.040000000037253,1894735.920000000391155,2128490.650000000372529,11429452.690000001341105
FS( 65 ),1746682.220000000204891,1800188.659999999916181,1990720.589999999850988,1724901.520000000018626,1894735.920000000391155,2169390.250000000000000,11326623.160000000149012
FS( 66 ),1744345.979999999981374,1825944.300000000046566,1973708.410000000149012,1730447.760000000242144,1858551.750000000000000,2161437.549999999813735,11294439.750000000000000
FS( 67 ),1746974.250000000000000,1823233.179999999934807,2003616.919999999692664,1708262.800000000046566,1868420.160000000149012,2170526.350000000558794,11321037.660000000149012
FS( 68 ),1760699.659999999916181,1840855.459999999962747,2028586.410000000149012,1740846.960000000195578,1871709.630000000121072,2176206.850000000558794,11418908.970000002533197
FS( 69 ),1772964.920000000158325,1857799.959999999962747,2006909.599999999860302,1740153.680000000167638,1942981.479999999981374,2222218.899999999441206,11543032.539999999105930
FS( 70 ),1779681.609999999869615,1850344.380000000121072,2045049.809999999823049,1779670.640000000130385,1966007.770000000251457,2251757.500000000000000,11672515.709999999031425
FS( 71 ),1803044.010000000009313,1852377.719999999972060,2050537.610000000102445,1771351.280000000260770,1999998.959999999962747,2240964.549999999813735,11718278.129999998956919
FS( 72 ),1826114.380000000121072,1857122.179999999934807,2054653.459999999729916,1783137.040000000037253,2020832.270000000251457,2213698.150000000372529,11755561.480000000447035
FS( 73 ),1781725.820000000065193,1857122.179999999934807,2048342.489999999990687,1789376.560000000055879,2047148.030000000260770,2173934.650000000372529,11697653.730000002309680
FS( 74 ),1768292.439999999944121,1858477.739999999990687,2101025.370000000111759,1799775.760000000242144,2050437.500000000000000,2201201.049999999813735,11779213.859999999403954
FS( 75 ),1779681.609999999869615,1861188.860000000102445,2106513.169999999925494,1851771.760000000242144,2058112.930000000167638,2262550.450000000186265,11919822.780000001192093
FS( 76 ),1765664.170000000158325,1864577.760000000009313,2085933.919999999692664,1837212.880000000121072,2036183.130000000121072,2293225.149999999441206,11882801.009999997913837
FS( 77 ),1786106.270000000018626,1857122.179999999934807,2094165.619999999646097,1827506.960000000195578,2054823.459999999962747,2293225.149999999441206,11912953.640000000596046
FS( 78 ),1769460.560000000055879,1832722.099999999860302,2084013.189999999944121,1828200.240000000223517,2057016.440000000409782,2275615.600000000558794,11847032.130000002682209
FS( 79 ),1761283.720000000204891,1832722.099999999860302,2094440.009999999776483,1842759.120000000111759,2061402.400000000372529,2239828.450000000186265,11832439.800000000745058
FS( 80 ),1779681.609999999869615,1835433.219999999972060,2161939.950000000186265,1843452.400000000139698,2074560.280000000260770,2243236.750000000000000,11938308.210000000894070
FS( 81 ),1768000.409999999916181,1804255.340000000083819,2135324.120000000111759,1942591.440000000176951,2031797.170000000391155,2218242.549999999813735,11900215.030000001192093
FS( 82 ),1754859.060000000055879,1804255.340000000083819,2107885.120000000111759,1988347.920000000158325,1995613.000000000000000,2209721.799999999813735,11860686.240000002086163
FS( 83 ),1752814.850000000093132,1811710.919999999925494,2085385.139999999897555,1982108.400000000139698,2026314.720000000204891,2141555.799999999813735,11799893.830000001937151
FS( 84 ),1739673.500000000000000,1813744.260000000009313,2043129.079999999841675,1942591.440000000176951,2098683.060000000055879,2106904.750000000000000,11744730.089999999850988
FS( 85 ),1748142.370000000111759,1833399.880000000121072,2071116.860000000102445,1956457.040000000037253,2118419.880000000353903,2181319.299999999813735,11908859.330000001937151
FS( 86 ),1724487.939999999944121,1806966.459999999962747,2018708.369999999646097,1922486.320000000065193,2076753.260000000242144,2148940.450000000186265,11698346.800000000745058
FS( 87 ),1737337.260000000009313,1820522.060000000055879,2038190.059999999823049,1932885.520000000018626,2118419.880000000353903,2198928.850000000558794,11846287.630000002682209
FS( 88 ),1720983.580000000074506,1800188.659999999916181,2032153.479999999981374,1908620.720000000204891,2128288.290000000037253,2183591.500000000000000,11773830.230000000447035
FS( 89 ),1738213.350000000093132,1813066.479999999981374,2032427.869999999646097,1945364.560000000055879,2146928.620000000111759,2242668.700000000186265,11918673.579999998211861
FS( 90 ),1751646.729999999981374,1843566.579999999841675,2070568.079999999841675,1973789.040000000037253,2182016.299999999813735,2276183.650000000372529,12097774.380000000819564
FS( 91 ),1760991.689999999944121,1846955.479999999981374,2069196.129999999888241,1977255.440000000176951,2184209.280000000260770,2247781.150000000372529,12086393.169999999925494
FS( 92 ),1774133.040000000037253,1880166.699999999953434,2118311.940000000409782,2009839.600000000093132,2224779.410000000149012,2274479.500000000000000,12281714.190000001341105
FS( 93 ),1788150.479999999981374,1891688.959999999962747,2139988.750000000000000,2011226.160000000149012,2222586.430000000167638,2249485.299999999813735,12303130.079999998211861
FS( 94 ),1777637.399999999906868,1902533.439999999944121,2139165.580000000074506,2018852.240000000223517,2214911.000000000000000,2235852.099999999627471,12288955.759999999776483
FS( 95 ),1785814.239999999990687,1895755.639999999897555,2118586.330000000074506,2035490.960000000195578,2190788.220000000204891,2222218.899999999441206,12248658.289999999105930
FS( 96 ),1793991.080000000074506,1913377.919999999925494,2121604.620000000111759,2054209.520000000018626,2192981.200000000186265,2236988.200000000186265,12313156.539999999105930
FS( 97 ),1816185.359999999869615,1922866.840000000083819,2140811.919999999925494,2047970.000000000000000,2180919.810000000055879,2238124.299999999813735,12346882.230000000447035
FS( 98 ),1815601.300000000046566,1927611.300000000046566,2161665.559999999590218,2079860.880000000121072,2208332.060000000055879,2235284.049999999813735,12428359.149999998509884
FS( 99 ),1819981.750000000000000,1917444.599999999860302,2134775.339999999850988,2087486.960000000195578,2203946.100000000558794,2218810.600000000558794,12382449.350000001490116
FS( 100 ),1823194.080000000074506,1927611.300000000046566,2119683.889999999664724,2064608.720000000204891,2198463.650000000372529,2217106.450000000186265,12350672.089999999850988
FS( 101 ),1819689.720000000204891,1947944.699999999953434,2102946.099999999627471,2053516.240000000223517,2192981.200000000186265,2213698.150000000372529,12330780.110000001266599
FS( 102 ),1830786.859999999869615,1973700.340000000083819,2132854.610000000335276,2075701.200000000186265,2205042.590000000316650,2239260.400000000372529,12457350.000000001862645
FS( 103 ),1845096.330000000074506,1972344.780000000027940,2129561.929999999701977,2073621.360000000102445,2210525.040000000037253,2238124.299999999813735,12469277.740000002086163
FS( 104 ),1848600.689999999944121,1969633.659999999916181,2137793.629999999888241,2065302.000000000000000,2242323.250000000000000,2228467.450000000186265,12492124.679999999701977
FS( 105 ),1836627.459999999962747,1937778.000000000000000,2105964.389999999664724,2025785.040000000037253,2201753.120000000111759,2215970.349999999627471,12323882.359999999403954
FS( 106 ),1835167.310000000055879,1938455.780000000027940,2124897.299999999813735,2038957.360000000102445,2220393.450000000186265,2209153.750000000000000,12367028.949999999254942
FS( 107 ),1854733.320000000065193,1968278.099999999860302,2157549.709999999962747,2080554.160000000149012,2274121.459999999962747,2236420.149999999441206,12571660.899999998509884
FS( 108 ),1865538.430000000167638,1964211.419999999925494,2151513.129999999888241,2064608.720000000204891,2254384.640000000130385,2169958.299999999813735,12470218.640000000596046
FS( 109 ),1873715.270000000018626,1941166.899999999906868,2116939.990000000223517,2068075.120000000111759,2194077.690000000409782,2147236.299999999813735,12341215.269999999552965
FS( 110 ),1879555.870000000111759,1948622.479999999981374,2146848.500000000000000,2078474.320000000065193,2200656.630000000353903,2150644.599999999627471,12404806.400000000372529
FS( 111 ),1879847.900000000139698,1961500.300000000046566,2137793.629999999888241,2065302.000000000000000,2190788.220000000204891,2140419.700000000186265,12375655.750000000000000
FS( 112 ),1876343.540000000037253,1954722.500000000000000,2115842.429999999701977,2050049.840000000083819,2192981.200000000186265,2106336.700000000186265,12296280.210000000894070
FS( 113 ),1880139.929999999934807,1960144.739999999990687,2188007.000000000000000,2059755.760000000242144,2241226.760000000242144,2171662.450000000186265,12500940.640000000596046
FS( 114 ),1891529.099999999860302,1985222.599999999860302,2213799.660000000149012,2070848.240000000223517,2256577.620000000111759,2177911.000000000000000,12595892.219999998807907
FS( 115 ),1893865.339999999850988,2003522.659999999916181,2243159.389999999664724,2069461.680000000167638,2230261.860000000335276,2204609.350000000558794,12644884.280000001192093
FS( 116 ),1897077.669999999925494,2000811.540000000037253,2247549.629999999888241,2087486.960000000195578,2323463.510000000242144,2170526.350000000558794,12726919.660000000149012
FS( 117 ),1890653.009999999776483,2001489.320000000065193,2269226.440000000409782,2081247.440000000176951,2361840.660000000149012,2150644.599999999627471,12755105.470000000670552
FS( 118 ),1892405.189999999944121,1979800.360000000102445,2242336.219999999739230,2086793.680000000167638,2385963.440000000409782,2172230.500000000000000,12759533.390000000596046
FS( 119 ),1882768.199999999953434,1931000.199999999953434,2208037.469999999739230,2052129.680000000167638,2385963.440000000409782,2119401.850000000558794,12579304.839999999850988
FS( 120 ),1879847.900000000139698,1928966.860000000102445,2221756.969999999739230,2104818.959999999962747,2438594.959999999962747,2081342.500000000000000,12655332.150000000372529
FS( 121 ),1878679.780000000027940,1937778.000000000000000,2234378.910000000149012,2115911.440000000409782,2399121.320000000298023,2079638.350000000093132,12645511.800000000745058
FS( 122 ),1884520.380000000121072,1941166.899999999906868,2248921.580000000074506,2136709.839999999850988,2366226.620000000111759,2100088.150000000372529,12677637.470000000670552
FS( 123 ),1885688.499999999767169,1941844.679999999934807,2255232.549999999813735,2143642.640000000596046,2361840.660000000149012,2126786.500000000000000,12715039.530000001192093
FS( 124 ),1889484.890000000130385,1946589.139999999897555,2265110.589999999850988,2149188.879999999888241,2365130.130000000353903,2129058.700000000186265,12744566.330000001937151
FS( 125 ),1896493.609999999869615,1946589.139999999897555,2289805.690000000409782,2160974.640000000596046,2378288.010000000242144,2118833.799999999813735,12790988.890000000596046
FS( 126 ),1896493.609999999869615,1956755.840000000083819,2308464.209999999962747,2176226.799999999813735,2413375.690000000409782,2114857.450000000186265,12866177.600000001490116
FS( 127 ),1895617.520000000018626,1954722.500000000000000,2302153.240000000223517,2146415.759999999776483,2416665.160000000149012,2109176.950000000186265,12824755.129999998956919
FS( 128 ),1881016.020000000018626,1931677.979999999981374,2268403.269999999552965,2113138.320000000298023,2398024.830000000074506,2085886.899999999906868,12678151.320000000298023
