代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13472476.570000000298023
真實報酬,3472476.570000000298023

夏普值報酬,0.338547657000000
夏普值風險,0.082069691411683
夏普值,4.125124040027834

二次趨勢線,-41.950785628631458 x^2 + 32539.557859556396579 x + 10000000.000000000000000
二次平均預期報酬,27295.709655977454531
風險,108820.797054435388418
二次平均趨勢值,0.250831738002464
一次趨勢線,28622.466430376993230 x + 10000000.000000000000000
一次預期報酬,28622.466430376993230
一次風險,130949.759593502909411
一次趨勢值,0.218575937208495
找到最佳解世代,2506
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
CAT[3](3),DIS[6](7),INTC[11](11),KO[14](16),WBA[27](5),XOM[29](1),
FS( 18 ),1944929.760000000242144,1655724.080000000074506,1767730.699999999720603,1703883.920000000158325,1826771.399999999906868,1688555.600000000093132,10587599.459999999031425
FS( 19 ),1948108.520000000251457,1652242.560000000055879,1792537.490000000223517,1718422.170000000158325,2035028.800000000046566,1698132.300000000046566,10844475.840000001713634
FS( 20 ),1955933.160000000149012,1641798.000000000000000,1767730.699999999720603,1708536.159999999916181,2024194.600000000093132,1685272.160000000149012,10783468.779999999329448
FS( 21 ),1923901.040000000270084,1646274.240000000223517,1764055.619999999878928,1701557.800000000046566,2016369.899999999906868,1690744.560000000055879,10742907.160000000149012
FS( 22 ),1912653.120000000111759,1658210.880000000353903,1775080.860000000102445,1719003.699999999953434,2027204.099999999860302,1711266.060000000055879,10803422.720000000670552
FS( 23 ),1889423.719999999972060,1648263.680000000167638,1733736.209999999962747,1712025.340000000083819,1992895.799999999813735,1701689.360000000102445,10678038.109999999403954
FS( 24 ),1941506.480000000214204,1682581.520000000018626,1759461.769999999785796,1734705.010000000009313,2045261.099999999627471,1730966.699999999953434,10894486.579999998211861
FS( 25 ),1928302.400000000139698,1668655.439999999944121,1767730.699999999720603,1737612.659999999916181,2048270.599999999860302,1743553.219999999972060,10894129.019999999552965
FS( 26 ),1925368.160000000149012,1686560.399999999906868,1782431.019999999785796,1728308.179999999934807,2038640.199999999720603,1747110.280000000027940,10908422.239999998360872
FS( 27 ),1965224.920000000391155,1716402.000000000000000,1793456.260000000009313,1727726.650000000139698,2045261.099999999627471,1761612.139999999897555,11009687.070000000298023
FS( 28 ),1955688.640000000363216,1719386.160000000149012,1797131.339999999850988,1731797.360000000102445,2031417.399999999906868,1766263.679999999934807,11001688.580000000074506
FS( 29 ),1940039.360000000335276,1714909.919999999925494,1816425.510000000009313,1732960.420000000158325,2048872.499999999767169,1770367.980000000214204,11023579.689999999478459
FS( 30 ),1963268.760000000242144,1736296.399999999906868,1767730.699999999720603,1742846.429999999934807,2094616.899999999674037,1779671.060000000288710,11084434.250000000000000
FS( 31 ),1953977.000000000000000,1733312.240000000223517,1775080.860000000102445,1742264.900000000139698,2075958.000000000000000,1786785.179999999934807,11067382.179999999701977
FS( 32 ),1950064.680000000167638,1734804.320000000298023,1775080.860000000102445,1742846.429999999934807,2081375.099999999860302,1783775.360000000102445,11067950.750000000000000
FS( 33 ),1962046.160000000149012,1728338.640000000130385,1763136.850000000093132,1744591.020000000018626,2071142.799999999813735,1813599.940000000176951,11082859.409999998286366
FS( 34 ),1920722.280000000027940,1702973.280000000260770,1764974.390000000130385,1754477.030000000027940,2024194.600000000093132,1781860.020000000251457,10949205.600000001490116
FS( 35 ),1964002.320000000065193,1721872.959999999962747,1804481.500000000000000,1778319.760000000009313,2048270.599999999860302,1806212.200000000186265,11123163.339999999850988
FS( 36 ),1929035.960000000195578,1724857.120000000111759,1815506.740000000223517,1787624.239999999990687,2052483.899999999906868,1814694.419999999925494,11124206.380000000819564
FS( 37 ),1915342.840000000083819,1739280.560000000055879,1822856.899999999906868,1791694.949999999953434,2050678.199999999953434,1815241.660000000149012,11135099.110000001266599
FS( 38 ),1932948.280000000027940,1763651.200000000186265,1825613.209999999962747,1774249.050000000046566,2072948.499999999767169,1811410.980000000214204,11180825.220000000670552
FS( 39 ),1923167.480000000214204,1788519.200000000186265,1841232.299999999813735,1780645.880000000121072,2054891.500000000000000,1820440.440000000176951,11208900.799999998882413
FS( 40 ),1912653.120000000111759,1786529.760000000242144,1855013.850000000093132,1779482.820000000065193,2043455.400000000139698,1796909.120000000111759,11174048.070000000298023
FS( 41 ),1900916.160000000149012,1815874.000000000000000,1880739.409999999916181,1780064.350000000093132,2054891.500000000000000,1811958.219999999972060,11244447.640000000596046
FS( 42 ),1921944.880000000121072,1796974.320000000298023,1842151.070000000065193,1782972.000000000000000,2039242.100000000093132,1819345.959999999962747,11202634.330000001937151
FS( 43 ),1938327.719999999972060,1792000.720000000204891,1889927.110000000102445,1794602.600000000093132,2049474.399999999674037,1831932.480000000214204,11296269.030000001192093
FS( 44 ),1950064.680000000167638,1795979.600000000093132,1868795.399999999906868,1798673.310000000055879,2075958.000000000000000,1856284.660000000149012,11345759.650000000372529
FS( 45 ),1953243.439999999944121,1804932.080000000074506,1881658.179999999934807,1801580.959999999962747,2117489.100000000093132,1859841.719999999972060,11418749.480000000447035
FS( 46 ),2033935.040000000270084,1841736.720000000204891,1926677.909999999916181,1816119.209999999962747,2163835.399999999906868,1898422.139999999897555,11680730.420000001788139
FS( 47 ),2042737.760000000242144,1850191.840000000316650,1951484.699999999720603,1819608.389999999897555,2115081.500000000000000,1915386.580000000074506,11694494.770000001415610
FS( 48 ),2032467.920000000391155,1843228.800000000279397,1950565.929999999934807,1816119.209999999962747,2112072.000000000000000,1924142.419999999925494,11678600.279999999329448
FS( 49 ),2002881.000000000000000,1833281.600000000093132,1944134.540000000037253,1821352.979999999981374,2121100.500000000000000,1932624.639999999897555,11655379.260000001639128
FS( 50 ),2016329.600000000093132,1839747.280000000260770,1933109.299999999813735,1819026.860000000102445,2113275.799999999813735,1946305.639999999897555,11667798.480000000447035
FS( 51 ),2015840.560000000055879,1787027.120000000111759,1948728.390000000130385,1826005.219999999972060,2119294.799999999813735,1965459.040000000037253,11662359.129999998956919
FS( 52 ),1981607.760000000242144,1877546.640000000130385,1978129.030000000027940,1829494.400000000139698,2096422.599999999860302,1942474.959999999962747,11705679.390000000596046
FS( 53 ),2000680.320000000065193,1852678.640000000130385,1956997.320000000065193,1830657.459999999962747,2077161.799999999813735,1928520.340000000083819,11646699.879999998956919
FS( 54 ),1965224.920000000391155,1836265.760000000242144,1935865.610000000102445,1805070.139999999897555,2047066.799999999813735,1886382.860000000102445,11475880.089999999850988
FS( 55 ),1984786.520000000251457,1851186.560000000055879,1936784.379999999888241,1817863.800000000046566,2047066.799999999813735,1888298.200000000186265,11525990.259999997913837
FS( 56 ),2032223.400000000139698,1869091.520000000018626,1931271.760000000009313,1856244.780000000027940,2071744.699999999953434,1923868.800000000046566,11684448.960000000894070
FS( 57 ),2053252.120000000111759,1840742.000000000000000,1942297.000000000000000,1870201.499999999767169,2092209.299999999813735,1930162.060000000288710,11728867.980000000447035
FS( 58 ),2053985.680000000167638,1837757.840000000316650,1952403.469999999972060,1869038.439999999944121,2100034.000000000000000,1920585.360000000102445,11733808.789999999105930
FS( 59 ),2020486.439999999944121,1796476.959999999962747,1937703.149999999906868,1849847.949999999953434,2045261.099999999627471,1887477.340000000083819,11537256.939999999478459
FS( 60 ),2070857.560000000055879,1833778.959999999962747,1965266.250000000000000,1878924.450000000186265,2065123.800000000046566,1912103.139999999897555,11726058.160000000149012
FS( 61 ),2057164.439999999944121,1825323.840000000316650,1960672.399999999906868,1864386.200000000186265,2027204.099999999860302,1894317.840000000083819,11629072.820000000298023
FS( 62 ),2045916.520000000251457,1811397.760000000242144,1959753.629999999888241,1843451.119999999878928,2094616.899999999674037,1900337.480000000214204,11655477.410000000149012
FS( 63 ),2068656.880000000121072,1815874.000000000000000,1944134.540000000037253,1837054.290000000037253,2097626.399999999906868,1903347.300000000046566,11666697.410000000149012
FS( 64 ),2138345.080000000074506,1846212.959999999962747,1973535.179999999934807,1881250.570000000065193,2146982.200000000186265,1951778.040000000037253,11938108.030000001192093
FS( 65 ),2166953.920000000391155,1857154.880000000353903,1993748.119999999878928,1887065.870000000111759,2173465.799999999813735,1955882.340000000083819,12034274.929999999701977
FS( 66 ),2185537.439999999944121,1869588.880000000353903,1992829.350000000093132,1875435.270000000018626,2218608.299999999813735,1947947.360000000102445,12089950.599999997764826
FS( 67 ),2181136.080000000074506,1868096.800000000279397,1993748.119999999878928,1860897.020000000018626,2187911.399999999906868,1951230.800000000046566,12043024.220000000670552
FS( 68 ),2209255.879999999888241,1856657.520000000018626,1982722.879999999888241,1864967.729999999981374,2180086.699999999720603,1955335.099999999860302,12049029.809999998658895
FS( 69 ),2191405.920000000391155,1838752.560000000055879,2004773.360000000102445,1872527.620000000111759,2195134.199999999720603,1966006.280000000027940,12068603.939999999478459
FS( 70 ),2192628.520000000018626,1827313.280000000260770,2003854.589999999850988,1885321.280000000027940,2189115.199999999720603,1970110.580000000074506,12068347.450000001117587
FS( 71 ),2199230.560000000055879,1823334.399999999906868,2013042.290000000037253,1880087.510000000009313,2192726.600000000093132,1975035.740000000223517,12083461.099999999627471
FS( 72 ),2240554.439999999944121,1846710.320000000298023,1975372.719999999972060,1885321.280000000027940,2193328.500000000000000,1979960.900000000139698,12121252.160000002011657
FS( 73 ),2251802.360000000335276,1852181.280000000260770,1972616.409999999916181,1857989.369999999878928,2211987.399999999906868,1975035.740000000223517,12121616.560000000521541
FS( 74 ),2276987.920000000391155,1837757.840000000316650,1955159.780000000027940,1882413.629999999888241,2234859.600000000093132,1966006.280000000027940,12153189.050000000745058
FS( 75 ),2278944.080000000074506,1840742.000000000000000,1956997.320000000065193,1899859.530000000027940,2270371.699999999720603,1976130.219999999972060,12223048.850000001490116
FS( 76 ),2264028.360000000335276,1842731.439999999944121,1971697.640000000130385,1910327.070000000065193,2261945.099999999627471,1974762.120000000111759,12225495.730000000447035
FS( 77 ),2281389.280000000260770,1843228.800000000279397,1950565.929999999934807,1899277.999999999767169,2243888.100000000093132,1976130.219999999972060,12194484.330000001937151
FS( 78 ),2313910.439999999944121,1856657.520000000018626,1938621.920000000158325,1903930.240000000223517,2216802.599999999627471,1989811.219999999972060,12219737.939999999478459
FS( 79 ),2312443.319999999832362,1887493.840000000316650,1919327.750000000000000,1907419.419999999925494,2338386.399999999906868,1992000.179999999934807,12357074.910000000149012
FS( 80 ),2309509.080000000074506,1875059.840000000316650,1914733.899999999906868,1906837.889999999897555,2358851.000000000000000,2002944.980000000214204,12367940.690000001341105
FS( 81 ),2300217.319999999832362,1864117.919999999925494,1914733.899999999906868,1891718.110000000102445,2345007.299999999813735,1997746.200000000186265,12313544.750000000000000
FS( 82 ),2290925.560000000055879,1858149.600000000093132,1918408.979999999981374,1900441.060000000055879,2375704.199999999720603,2008964.620000000111759,12352598.019999999552965
FS( 83 ),2293126.240000000223517,1870086.240000000223517,1923921.600000000093132,1903348.709999999729916,2376306.099999999627471,2007596.520000000251457,12374389.410000000149012
FS( 84 ),2295326.920000000391155,1864117.919999999925494,1931271.760000000009313,1904511.770000000018626,2361860.500000000000000,2007322.900000000139698,12364415.770000001415610
FS( 85 ),2290192.000000000000000,1865610.000000000000000,1932190.530000000027940,1912653.189999999944121,2345007.299999999813735,2000756.020000000251457,12346413.039999999105930
FS( 86 ),2302173.480000000447035,1881028.160000000149012,1915652.670000000158325,1896370.350000000093132,2366675.699999999720603,2039883.679999999934807,12401788.039999999105930
FS( 87 ),2291414.600000000093132,1939219.280000000260770,1943215.769999999785796,1857407.840000000083819,2386538.399999999906868,2049460.380000000121072,12467260.270000001415610
FS( 88 ),2311220.720000000204891,1987463.200000000186265,1923921.600000000093132,1846358.770000000018626,2419642.899999999906868,2043987.980000000214204,12532599.169999999925494
FS( 89 ),2287257.760000000242144,1972045.040000000037253,1908302.510000000009313,1832983.580000000074506,2426865.699999999720603,2057121.740000000223517,12484580.330000000074506
FS( 90 ),2291903.640000000130385,1962097.840000000316650,1898196.040000000037253,1829494.400000000139698,2412420.099999999627471,2068340.160000000149012,12462456.179999999701977
FS( 91 ),2283589.959999999962747,1964584.640000000130385,1900952.350000000093132,1833565.110000000102445,2464785.399999999906868,2055753.639999999897555,12503235.099999999627471
FS( 92 ),2297283.080000000074506,1959611.040000000037253,1934028.070000000065193,1823097.570000000065193,2457562.599999999627471,2071076.360000000102445,12542662.719999998807907
FS( 93 ),2286035.160000000149012,1948171.760000000242144,1956997.320000000065193,1832983.580000000074506,2479832.899999999906868,2095428.540000000037253,12599453.260000001639128
FS( 94 ),2301928.959999999962747,1952648.000000000000000,1956078.549999999813735,1843451.119999999878928,2506316.500000000000000,2098985.600000000093132,12659412.729999998584390
FS( 95 ),2298750.200000000186265,1954140.080000000074506,1936784.379999999888241,1835891.229999999981374,2494278.500000000000000,2129904.660000000149012,12649753.050000000745058
FS( 96 ),2353033.640000000130385,1959113.680000000167638,1936784.379999999888241,1845777.239999999990687,2526179.199999999720603,2153709.600000000093132,12774601.740000000223517
FS( 97 ),2336161.760000000242144,1944192.880000000353903,1930352.990000000223517,1844032.650000000139698,2484648.100000000093132,2140849.459999999962747,12680241.839999999850988
FS( 98 ),2288969.400000000372529,1948171.760000000242144,1924840.369999999878928,1830075.929999999934807,2504510.799999999813735,2127442.080000000074506,12624014.339999999850988
FS( 99 ),2267940.680000000167638,1976521.280000000260770,1912896.360000000102445,1825423.689999999944121,2509326.000000000000000,2161097.340000000316650,12653209.350000001490116
FS( 100 ),2312443.319999999832362,1986468.479999999981374,1951484.699999999720603,1839380.409999999916181,2497288.000000000000000,2150426.160000000149012,12737495.070000000298023
FS( 101 ),2308041.959999999962747,1982489.600000000093132,1979966.570000000065193,1830657.459999999962747,2482240.500000000000000,2152888.740000000223517,12736288.830000000074506
FS( 102 ),2341296.680000000167638,1961600.479999999981374,1998341.969999999972060,1830657.459999999962747,2485250.000000000000000,2179703.500000000000000,12796854.089999999850988
FS( 103 ),2362814.439999999944121,1962595.200000000186265,1998341.969999999972060,1823097.570000000065193,2472008.199999999720603,2185723.140000000130385,12804584.520000001415610
FS( 104 ),2339585.040000000502914,1932256.240000000223517,1971697.640000000130385,1809140.850000000093132,2429273.299999999813735,2161370.959999999962747,12643328.030000001192093
FS( 105 ),2372106.200000000186265,1933250.959999999962747,1971697.640000000130385,1827749.810000000055879,2434088.500000000000000,2207612.740000000223517,12746509.850000001490116
FS( 106 ),2396558.200000000186265,1983484.320000000298023,1973535.179999999934807,1833565.110000000102445,2541828.599999999627471,2295992.000000000000000,13024967.410000000149012
FS( 107 ),2422966.360000000335276,2013823.280000000260770,1980885.339999999850988,1827749.810000000055879,2526179.199999999720603,2282311.000000000000000,13053918.990000000223517
FS( 108 ),2419054.040000000502914,2014320.640000000130385,1981804.110000000102445,1819608.389999999897555,2546643.799999999813735,2283131.859999999869615,13064566.839999999850988
FS( 109 ),2435192.360000000335276,2024765.200000000186265,1991910.579999999841675,1819026.860000000102445,2550255.199999999720603,2278753.939999999944121,13099908.140000000596046
FS( 110 ),2456710.120000000111759,2036204.479999999981374,1992829.350000000093132,1817863.800000000046566,2546643.799999999813735,2296539.240000000223517,13146794.789999999105930
FS( 111 ),2460133.400000000372529,2048141.120000000111759,1988235.500000000000000,1828331.340000000083819,2574933.100000000093132,2270545.340000000316650,13170323.800000000745058
FS( 112 ),2440082.760000000242144,2156565.600000000093132,1971697.640000000130385,1836472.760000000009313,2567710.299999999813735,2258779.680000000167638,13231312.739999998360872
FS( 113 ),2459888.879999999888241,2154078.800000000279397,2002935.820000000065193,1847521.830000000074506,2562895.099999999627471,2276564.979999999981374,13303889.410000000149012
FS( 114 ),2531777.760000000242144,2159052.399999999906868,1999260.740000000223517,1848684.889999999897555,2562895.099999999627471,2266167.419999999925494,13367842.310000000521541
FS( 115 ),2524931.200000000186265,2150597.280000000260770,1981804.110000000102445,1835891.229999999981374,2538217.200000000186265,2323354.000000000000000,13354799.019999999552965
FS( 116 ),2518573.680000000167638,2143136.880000000353903,1970778.869999999878928,1837635.820000000065193,2548449.500000000000000,2270271.720000000204891,13288850.470000000670552
FS( 117 ),2532022.280000000260770,2173475.840000000316650,1998341.969999999972060,1843451.119999999878928,2539421.000000000000000,2289972.359999999869615,13376688.570000000298023
FS( 118 ),2527376.400000000372529,2173475.840000000316650,2018554.909999999916181,1877179.860000000102445,2564700.799999999813735,2295171.140000000130385,13456462.949999999254942
FS( 119 ),2588506.400000000372529,2166512.800000000279397,2034174.000000000000000,1877179.860000000102445,2572525.500000000000000,2312135.580000000074506,13551038.140000000596046
FS( 120 ),2494366.200000000186265,2121253.040000000037253,2003854.589999999850988,1853918.659999999916181,2538819.100000000093132,2337855.859999999869615,13350071.449999999254942
FS( 121 ),2445706.720000000204891,2095390.320000000298023,1943215.769999999785796,1858570.900000000139698,2481638.599999999627471,2382455.919999999925494,13206982.230000000447035
FS( 122 ),2459155.319999999832362,2109813.760000000242144,1956078.549999999813735,1857407.840000000083819,2487055.699999999720603,2352357.720000000204891,13221872.890000000596046
FS( 123 ),2494121.680000000167638,2136173.840000000316650,2008448.439999999944121,1870201.499999999767169,2526179.199999999720603,2335119.660000000149012,13370248.320000000298023
FS( 124 ),2516862.040000000502914,2175465.280000000260770,1972616.409999999916181,1858570.900000000139698,2608639.500000000000000,2340318.439999999944121,13472476.570000000298023
