代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12071998.160000000149012
真實報酬,2071998.160000000149012

夏普值報酬,0.198499816000000
夏普值風險,0.063738163838832
夏普值,3.114300821434465

二次趨勢線,-12.763359889584521 x^2 + 21019.055415871691366 x + 10000000.000000000000000
二次平均預期報酬,19410.872069784036285
風險,102233.470912571894587
二次平均趨勢值,0.189868072525718
一次趨勢線,19817.723235029407078 x + 10000000.000000000000000
一次預期報酬,19817.723235029407078
一次風險,104684.190646318194922
一次趨勢值,0.189309609337142
找到最佳解世代,3111
找到最佳解實驗#,1
找到最佳解次數,37

stock[index](rank)
投資組合檔數,3
MCD[15](1),TRV[22](5),V[25](2),
FS( 35 ),3523650.580000000074506,3554953.320000000298023,3640622.279999999795109,10719227.179999999701977
FS( 36 ),3503091.000000000000000,3556270.919999999925494,3639670.919999999925494,10699033.839999999850988
FS( 37 ),3536288.119999999646097,3557061.479999999981374,3693660.600000000093132,10787011.199999999254942
FS( 38 ),3536853.979999999515712,3593163.719999999739230,3667973.879999999888241,10797992.579999998211861
FS( 39 ),3572314.539999999571592,3607657.320000000298023,3678676.679999999701977,10858649.539999999105930
FS( 40 ),3581934.160000000149012,3614508.839999999850988,3714828.359999999869615,10911272.359999999403954
FS( 41 ),3553452.539999999571592,3637171.560000000055879,3740277.239999999757856,10930902.339999999850988
FS( 42 ),3552698.059999999590218,3605285.640000000130385,3752644.919999999925494,10910629.619999999180436
FS( 43 ),3552698.059999999590218,3599751.719999999739230,3768818.040000000037253,10921268.820000000298023
FS( 44 ),3581368.299999999813735,3597643.560000000055879,3749315.159999999683350,10928328.019999999552965
FS( 45 ),3597212.379999999888241,3594481.320000000298023,3749553.000000000000000,10941247.699999999254942
FS( 46 ),3580991.059999999590218,3580778.279999999795109,3751931.399999999906868,10913701.740000000223517
FS( 47 ),3585329.320000000298023,3562595.399999999906868,3745747.560000000055879,10893673.280000001192093
FS( 48 ),3569108.000000000000000,3569710.440000000409782,3771196.439999999944121,10910015.880000000819564
FS( 49 ),3562694.919999999925494,3591319.080000000074506,3754547.640000000130385,10908562.640000000596046
FS( 50 ),3613999.559999999590218,3629265.959999999962747,3796883.159999999683350,11040149.679999999701977
FS( 51 ),3618715.059999999590218,3604758.599999999627471,3815910.359999999869615,11039385.019999999552965
FS( 52 ),3615885.759999999776483,3645604.200000000186265,3810915.719999999739230,11072406.679999999701977
FS( 53 ),3614188.180000000167638,3580514.760000000242144,3815910.359999999869615,11010614.300000000745058
FS( 54 ),3676432.779999999795109,3661151.880000000353903,3809250.839999999850988,11146836.500000000000000
FS( 55 ),3657759.399999999441206,3600015.240000000223517,3814959.000000000000000,11072734.640000000596046
FS( 56 ),3683034.479999999515712,3636908.039999999571592,3844926.839999999850988,11164870.359999999403954
FS( 57 ),3727737.419999999925494,3667739.880000000353903,3840883.560000000055879,11236361.860000001266599
FS( 58 ),3733396.020000000018626,3668003.399999999906868,3829705.080000000074506,11231105.500000000000000
FS( 59 ),3723776.399999999441206,3695673.000000000465661,3875132.520000000018626,11294582.919999999925494
FS( 60 ),3718117.799999999813735,3727822.440000000409782,3904149.000000000000000,11350090.240000000223517
FS( 61 ),3726605.699999999720603,3788168.520000000018626,3910808.520000000018626,11425583.740000000223517
FS( 62 ),3662474.899999999441206,3770512.680000000167638,3871802.759999999776483,11304791.339999999850988
FS( 63 ),3670774.180000000167638,3760498.919999999925494,3832083.479999999981374,11263357.580000000074506
FS( 64 ),3725662.600000000093132,3777627.719999999739230,3853964.759999999776483,11357256.080000000074506
FS( 65 ),3751692.160000000149012,3779735.880000000353903,3859672.919999999925494,11391101.960000000894070
FS( 66 ),3735470.839999999850988,3734410.440000000409782,3810440.040000000037253,11280322.320000000298023
FS( 67 ),3735282.219999999739230,3729667.080000000074506,3823521.239999999757856,11288471.539999999105930
FS( 68 ),3729623.619999999646097,3737572.680000000167638,3800926.439999999944121,11268123.740000000223517
FS( 69 ),3772251.740000000223517,3793702.440000000409782,3822332.040000000037253,11388287.220000000670552
FS( 70 ),3754144.219999999739230,3779208.839999999850988,3741942.120000000111759,11275296.179999999701977
FS( 71 ),3734904.979999999515712,3839818.440000000409782,3810440.040000000037253,11385164.460000000894070
FS( 72 ),3754898.699999999720603,3861163.560000000055879,3871802.759999999776483,11487866.019999999552965
FS( 73 ),3772251.740000000223517,3884616.839999999850988,3921273.479999999981374,11578143.060000000521541
FS( 74 ),3757728.000000000000000,3886725.000000000465661,3902721.959999999962747,11547175.960000000894070
FS( 75 ),3753389.740000000223517,3904644.359999999869615,3887975.879999999888241,11546010.980000000447035
FS( 76 ),3769422.439999999944121,3886197.959999999962747,3897251.640000000130385,11552873.040000000968575
FS( 77 ),3771685.879999999888241,3899110.440000000409782,3906289.560000000055879,11577086.880000000819564
FS( 78 ),3753012.500000000000000,3872231.399999999906868,3841359.239999999757856,11466604.140000000596046
FS( 79 ),3730378.100000000093132,3898583.399999999906868,3868235.159999999683350,11497197.660000000149012
FS( 80 ),3709629.899999999441206,3854839.080000000074506,3893684.040000000037253,11458154.019999999552965
FS( 81 ),3697369.600000000093132,3822953.159999999683350,3870375.719999999739230,11390699.480000000447035
FS( 82 ),3758105.240000000223517,3840345.479999999981374,3871089.239999999757856,11469540.960000000894070
FS( 83 ),3739809.100000000093132,3836129.159999999683350,3837078.120000000111759,11413017.379999998956919
FS( 84 ),3749428.719999999739230,3868278.599999999627471,3772147.799999999813735,11389856.119999999180436
FS( 85 ),3765461.419999999925494,3888306.120000000111759,3860862.120000000111759,11514630.660000000149012
FS( 86 ),3774892.419999999925494,3948915.719999999739230,3933641.159999999683350,11657450.299999998882413
FS( 87 ),3829969.459999999962747,3926516.520000000018626,3970030.679999999701977,11726517.660000000149012
FS( 88 ),3875804.119999999646097,3940483.080000000074506,4044474.600000000093132,11860762.799999998882413
FS( 89 ),3796960.959999999962747,3934949.159999999683350,4062788.279999999795109,11794699.399999998509884
FS( 90 ),3833930.479999999515712,3931523.399999999906868,4050658.439999999944121,11816113.319999998435378
FS( 91 ),3865430.020000000018626,3945753.479999999981374,4081101.959999999962747,11892286.460000000894070
FS( 92 ),3857130.740000000223517,3937320.839999999850988,4027825.799999999813735,11822278.379999998956919
FS( 93 ),3872220.339999999850988,3955767.240000000223517,4035198.839999999850988,11863187.419999999925494
FS( 94 ),3844304.580000000074506,3950760.359999999869615,4032820.439999999944121,11827886.379999998956919
FS( 95 ),3857507.979999999515712,3961564.680000000167638,4026160.919999999925494,11845234.580000000074506
FS( 96 ),3858262.459999999962747,3995031.719999999739230,4059696.359999999869615,11912991.539999999105930
FS( 97 ),3869013.799999999813735,4010579.399999999906868,4132237.560000000055879,12011831.759999999776483
FS( 98 ),3852792.479999999515712,3991869.479999999981374,4125102.359999999869615,11969765.319999998435378
FS( 99 ),3846379.399999999441206,4006099.560000000055879,4134853.799999999813735,11987333.759999997913837
FS( 100 ),3880142.379999999888241,4035350.279999999795109,4073728.919999999925494,11989222.580000000074506
FS( 101 ),3858262.459999999962747,3918610.919999999925494,4068496.439999999944121,11845370.820000000298023
FS( 102 ),3890705.100000000093132,3931786.919999999925494,4072539.719999999739230,11895032.739999998360872
FS( 103 ),3916923.279999999795109,3940219.560000000055879,4127718.600000000093132,11984862.439999999478459
FS( 104 ),3891270.959999999962747,3990288.359999999869615,4136994.359999999869615,12018554.679999999701977
FS( 105 ),3953138.320000000298023,4027444.680000000167638,4168864.919999999925494,12149448.919999999925494
FS( 106 ),4014062.580000000074506,4066182.120000000111759,4206681.480000000447035,12286927.179999999701977
FS( 107 ),3984449.240000000223517,4060648.200000000186265,4201686.839999999850988,12246785.280000001192093
FS( 108 ),4001802.279999999795109,4053006.120000000111759,4190508.359999999869615,12245317.759999999776483
FS( 109 ),4000481.939999999944121,4043782.919999999925494,4227135.719999998807907,12271401.579999998211861
FS( 110 ),4017646.359999999869615,4040620.680000000167638,4264714.439999999478459,12322982.480000000447035
FS( 111 ),4011799.139999999664724,4016903.880000000353903,4298725.560000000521541,12327429.580000000074506
FS( 112 ),4017457.740000000223517,4042201.799999999813735,4288974.120000001043081,12348634.660000000149012
FS( 113 ),4040469.379999999888241,4080148.680000000167638,4294682.279999999329448,12415301.339999999850988
FS( 114 ),4031227.000000000000000,4073824.200000000186265,4264714.439999999478459,12369766.640000000596046
FS( 115 ),4031038.379999999888241,4015586.279999999795109,4260909.000000000000000,12307534.660000000149012
FS( 116 ),4072534.779999999795109,4024282.440000000409782,4293730.919999999925494,12390549.140000000596046
FS( 117 ),4034056.299999999813735,3958929.479999999981374,4263049.560000000521541,12256036.339999999850988
FS( 118 ),4055370.359999999869615,3945226.440000000409782,4294682.279999999329448,12295280.080000000074506
FS( 119 ),4042355.580000000074506,3886988.520000000018626,4302531.000000000000000,12231876.099999999627471
FS( 120 ),4013496.719999999739230,3922563.719999999739230,4360326.120000001043081,12296387.560000000521541
FS( 121 ),4044807.639999999664724,3913077.000000000465661,4318941.960000000894070,12276827.600000001490116
FS( 122 ),4066310.320000000298023,3951023.880000000353903,4368888.359999999403954,12386223.560000000521541
FS( 123 ),4054993.119999999646097,3919665.000000000465661,4357472.040000000968575,12332131.160000000149012
FS( 124 ),4005197.439999999944121,3890150.760000000242144,4317514.919999999925494,12212864.120000001043081
FS( 125 ),3974641.000000000000000,3863798.760000000242144,4233557.400000000372529,12071998.160000000149012
