代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12422917.049999998882413
真實報酬,2422917.049999998882413

夏普值報酬,0.233591705000000
夏普值風險,0.068053331733899
夏普值,3.432480071855816

二次趨勢線,120.722638067930518 x^2 + 5041.245356056339006 x + 10000000.000000000000000
二次平均預期報酬,20010.852476479722100
風險,95716.034309715585550
二次平均趨勢值,0.209064788577942
一次趨勢線,16222.996423741067701 x + 10000000.000000000000000
一次預期報酬,16222.996423741067701
一次風險,227392.760104529064847
一次趨勢值,0.071343504587761
找到最佳解世代,3225
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
BA[2](11),HD[9](12),JNJ[12](1),NKE[19](6),TRV[22](2),
FS( 34 ),2133349.439999999944121,1984259.730000000214204,1975664.359999999869615,2051174.119999999878928,2091126.399999999906868,10235574.049999998882413
FS( 35 ),2152843.319999999832362,1990684.330000000074506,1979021.000000000000000,2076341.719999999972060,2102232.429999999701977,10301122.800000000745058
FS( 36 ),2151995.759999999776483,1969804.380000000121072,1965594.439999999944121,2204696.480000000447035,2073755.429999999701977,10365846.490000000223517
FS( 37 ),2146345.359999999869615,1977835.130000000121072,1958601.439999999944121,2214763.519999999552965,2060656.009999999776483,10358201.459999999031425
FS( 38 ),2147757.959999999962747,1964022.239999999990687,1962797.239999999990687,2153522.360000000335276,2058093.079999999608845,10286192.880000000819564
FS( 39 ),2142390.080000000074506,1961773.630000000121072,1960559.479999999981374,2171139.679999999701977,2045278.429999999701977,10281141.299999998882413
FS( 40 ),2110182.799999999813735,1948281.969999999972060,1943496.560000000055879,2139260.719999999739230,2028761.769999999552965,10169983.820000000298023
FS( 41 ),2129111.640000000130385,1986829.570000000065193,1960839.199999999953434,2164428.320000000298023,2045278.429999999701977,10286487.160000000149012
FS( 42 ),2177422.559999999590218,2039190.059999999823049,1981538.479999999981374,2174495.360000000335276,2074894.509999999776483,10447540.969999998807907
FS( 43 ),2188723.359999999869615,2033407.919999999925494,1978741.279999999795109,2197146.200000000186265,2090841.629999999888241,10488860.389999996870756
FS( 44 ),2194938.799999999813735,2029553.159999999916181,2001398.599999999860302,2218119.200000000186265,2109066.910000000149012,10553076.669999999925494
FS( 45 ),2150865.679999999701977,2018631.340000000083819,1997202.800000000046566,2221474.879999999888241,2080589.909999999916181,10468764.609999999403954
FS( 46 ),2094361.679999999701977,2030838.080000000074506,1997482.520000000018626,2197985.120000000111759,2084291.919999999692664,10404959.319999998435378
FS( 47 ),2168664.439999999944121,2029231.930000000167638,2006433.560000000055879,2200501.879999999888241,2105649.669999999925494,10510481.479999998584390
FS( 48 ),2177987.600000000093132,2043687.280000000027940,2019300.679999999934807,2204696.480000000447035,2120172.939999999478459,10565844.979999998584390
FS( 49 ),2123461.239999999757856,2046257.120000000111759,2023776.199999999953434,2227347.320000000298023,2131563.739999999292195,10552405.619999997317791
FS( 50 ),2162731.520000000018626,2039190.059999999823049,2029650.320000000065193,2231541.919999999925494,2134411.439999999478459,10597525.259999999776483
FS( 51 ),2173749.799999999813735,2054287.870000000111759,2024335.640000000130385,2249998.160000000149012,2151782.410000000149012,10654153.880000000819564
FS( 52 ),2100294.600000000093132,2051396.800000000046566,2030209.760000000009313,2254192.759999999776483,2151497.639999999664724,10587591.559999998658895
FS( 53 ),2126286.439999999944121,2089623.169999999925494,2039160.800000000046566,2243286.799999999813735,2161464.589999999850988,10659821.799999998882413
FS( 54 ),2120071.000000000000000,2103114.830000000074506,2048391.560000000055879,2235736.519999999552965,2173140.160000000149012,10680454.070000000298023
FS( 55 ),2095209.239999999757856,2112109.270000000018626,2033286.679999999934807,2243286.799999999813735,2219842.439999999478459,10703734.429999997839332
FS( 56 ),2098882.000000000000000,2134916.599999999627471,2037762.199999999953434,2227347.320000000298023,2211014.569999999366701,10709922.690000001341105
FS( 57 ),2127981.559999999590218,2163506.069999999832362,2044755.199999999953434,2259226.280000000260770,2223829.219999999739230,10819298.329999998211861
FS( 58 ),2119788.479999999981374,2178603.879999999888241,2067692.239999999990687,2330534.480000000447035,2231233.239999999292195,10927852.320000000298023
FS( 59 ),2090688.919999999925494,2170894.359999999869615,2059300.640000000130385,2286071.719999999739230,2202756.239999999292195,10809711.879999998956919
FS( 60 ),2080800.719999999972060,2158687.620000000111759,2081398.520000000018626,2261743.040000000037253,2215855.660000000149012,10798485.559999998658895
FS( 61 ),2107357.600000000093132,2159972.540000000037253,2072447.479999999981374,2249159.240000000223517,2209305.950000000186265,10798242.810000002384186
FS( 62 ),2087016.160000000149012,2149693.180000000167638,2067692.239999999990687,2267615.480000000447035,2234365.709999999962747,10806382.769999999552965
FS( 63 ),2115268.160000000149012,2161899.919999999925494,2074964.960000000195578,2252514.919999999925494,2275087.819999999366701,10879735.780000001192093
FS( 64 ),2124873.839999999850988,2131704.299999999813735,2073006.919999999925494,2250837.080000000074506,2221266.290000000037253,10801688.429999999701977
FS( 65 ),2144085.199999999720603,2132667.990000000223517,2088391.520000000018626,2260904.120000000111759,2239776.339999999850988,10865825.169999998062849
FS( 66 ),2155386.000000000000000,2141662.430000000167638,2108811.080000000074506,2271810.080000000074506,2248604.209999999962747,10926273.800000000745058
FS( 67 ),2187593.280000000260770,2130098.149999999906868,2099580.319999999832362,2293622.000000000000000,2253160.530000000260770,10964054.280000001192093
FS( 68 ),2163014.040000000037253,2152584.250000000000000,2111328.560000000055879,2290266.320000000298023,2245756.509999999776483,10962949.679999999701977
FS( 69 ),2143520.160000000149012,2132346.759999999776483,2109370.520000000018626,2316272.839999999850988,2255723.459999999962747,10957233.739999998360872
FS( 70 ),2146910.399999999906868,2162542.379999999888241,2120279.600000000093132,2311239.320000000298023,2275372.589999999850988,11016344.289999999105930
FS( 71 ),2112725.479999999981374,2166718.370000000111759,2116363.520000000018626,2288588.480000000447035,2277935.519999999552965,10962331.369999999180436
FS( 72 ),2116963.280000000260770,2163184.840000000316650,2120559.319999999832362,2291105.240000000223517,2287902.469999999739230,10979715.150000002235174
FS( 73 ),2119788.479999999981374,2168966.979999999981374,2130349.520000000018626,2305366.879999999888241,2289326.319999999366701,11013798.179999999701977
FS( 74 ),2109052.720000000204891,2169930.669999999925494,2152727.119999999646097,2285232.799999999813735,2295306.489999999292195,11012249.799999997019768
FS( 75 ),2112725.479999999981374,2134274.140000000130385,2144055.800000000279397,2265937.639999999664724,2281352.759999999776483,10938345.819999998435378
FS( 76 ),2147475.439999999944121,2068100.759999999776483,2150209.640000000130385,2287749.559999999590218,2289041.549999999813735,10942576.949999999254942
FS( 77 ),2165839.239999999757856,2106648.359999999869615,2132867.000000000000000,2285232.799999999813735,2306982.059999999590218,10997569.459999997168779
FS( 78 ),2119788.479999999981374,2053324.180000000167638,2113846.040000000037253,2266776.559999999590218,2256862.540000000037253,10810597.800000000745058
FS( 79 ),2137304.720000000204891,2170251.899999999906868,2118881.000000000000000,2276843.599999999627471,2279359.370000000111759,10982640.589999999850988
FS( 80 ),2185615.640000000130385,2186313.399999999906868,2134825.040000000037253,2279360.360000000335276,2300432.349999999627471,11086546.790000000968575
FS( 81 ),2172619.720000000204891,2200447.520000000018626,2128950.919999999925494,2284393.879999999888241,2290180.629999999888241,11076592.669999998062849
FS( 82 ),2183355.479999999981374,2217472.709999999962747,2145454.399999999906868,2299494.440000000409782,2297869.419999999925494,11143646.450000001117587
FS( 83 ),2177987.600000000093132,2257947.690000000409782,2159440.399999999906868,2296138.759999999776483,2293028.330000000074506,11184542.780000001192093
FS( 84 ),2222343.239999999757856,2263729.830000000074506,2172307.520000000018626,2302850.120000000111759,2319796.709999999962747,11281027.420000001788139
FS( 85 ),2234209.080000000074506,2264051.060000000055879,2164755.080000000074506,2319628.519999999552965,2308690.679999999701977,11291334.419999999925494
FS( 86 ),2289865.520000000018626,2256662.770000000018626,2174825.000000000000000,2316272.839999999850988,2312392.689999999478459,11350018.819999998435378
FS( 87 ),2294950.879999999888241,2292640.530000000260770,2187132.680000000167638,2294460.919999999925494,2325207.339999999850988,11394392.349999999627471
FS( 88 ),2343261.799999999813735,2291034.379999999888241,2194125.680000000167638,2287749.559999999590218,2328055.040000000037253,11444226.459999997168779
FS( 89 ),2377729.239999999757856,2272724.270000000018626,2197482.319999999832362,2244125.719999999739230,2327770.269999999552965,11419831.820000000298023
FS( 90 ),2394397.919999999925494,2273045.500000000000000,2197202.600000000093132,2301172.280000000260770,2338591.530000000260770,11504409.830000001937151
FS( 91 ),2390725.160000000149012,2256341.540000000037253,2212587.199999999720603,2294460.919999999925494,2345426.009999999776483,11499540.830000000074506
FS( 92 ),2441861.280000000260770,2218115.169999999925494,2215104.680000000167638,2297816.599999999627471,2343147.849999999627471,11516045.580000000074506
FS( 93 ),2406546.280000000260770,2227752.069999999832362,2204475.319999999832362,2271810.080000000074506,2350267.099999999627471,11460850.849999999627471
FS( 94 ),2415869.439999999944121,2209763.190000000409782,2205873.919999999925494,2258387.360000000335276,2369061.919999999925494,11458955.830000000074506
FS( 95 ),2411914.160000000149012,2212654.259999999776483,2222377.399999999906868,2300333.360000000335276,2387571.969999999739230,11534851.149999998509884
FS( 96 ),2382532.080000000074506,2214902.870000000111759,2210069.720000000204891,2248320.320000000298023,2385009.040000000037253,11440834.030000001192093
FS( 97 ),2396375.559999999590218,2234497.899999999906868,2230489.279999999795109,2497479.559999999590218,2383300.419999999925494,11742142.719999996945262
FS( 98 ),2397223.119999999646097,2231606.830000000074506,2228810.959999999962747,2498318.480000000447035,2374187.780000000260770,11730147.170000001788139
FS( 99 ),2447229.160000000149012,2250238.169999999925494,2261538.199999999720603,2494962.799999999813735,2373903.009999999776483,11827871.339999997988343
FS( 100 ),2435363.319999999832362,2237388.970000000204891,2273286.439999999944121,2452177.879999999888241,2374187.780000000260770,11772404.390000000596046
FS( 101 ),2425475.119999999646097,2241564.959999999962747,2280559.160000000149012,2475667.639999999664724,2397538.919999999925494,11820805.799999998882413
FS( 102 ),2408523.919999999925494,2238031.430000000167638,2291747.959999999962747,2443788.679999999701977,2390704.439999999478459,11772796.429999997839332
FS( 103 ),2375751.600000000093132,2281397.479999999981374,2313006.680000000167638,2470634.120000000111759,2403803.859999999403954,11844593.739999998360872
FS( 104 ),2383379.640000000130385,2260196.299999999813735,2295664.040000000037253,2471473.040000000037253,2384154.729999999515712,11794867.750000000000000
FS( 105 ),2400048.319999999832362,2270796.890000000130385,2305174.520000000018626,2489090.360000000335276,2401810.469999999739230,11866920.559999998658895
FS( 106 ),2434515.759999999776483,2250559.399999999906868,2294824.880000000353903,2473989.799999999813735,2403803.859999999403954,11857693.699999999254942
FS( 107 ),2450901.919999999925494,2287822.080000000074506,2268810.919999999925494,2515096.879999999888241,2412916.500000000000000,11935548.300000000745058
FS( 108 ),2463897.839999999850988,2287179.620000000111759,2280279.439999999944121,2512580.120000000111759,2428294.080000000074506,11972231.099999999627471
FS( 109 ),2481131.559999999590218,2302919.890000000130385,2294265.439999999944121,2529358.519999999552965,2415194.660000000149012,12022870.069999998435378
FS( 110 ),2501190.479999999981374,2309665.720000000204891,2302657.040000000037253,2567109.919999999925494,2450790.910000000149012,12131414.070000000298023
FS( 111 ),2511361.199999999720603,2364917.280000000260770,2314405.279999999795109,2541103.399999999441206,2456486.309999999590218,12188273.469999998807907
FS( 112 ),2451466.959999999962747,2320266.310000000055879,2285594.119999999646097,2503352.000000000000000,2412346.959999999962747,11973026.349999997764826
FS( 113 ),2454857.199999999720603,2327654.599999999627471,2333985.680000000167638,2537747.719999999739230,2464744.639999999664724,12118989.839999999850988
FS( 114 ),2449206.799999999813735,2338576.419999999925494,2346852.800000000279397,2554526.120000000111759,2422598.679999999701977,12111760.820000000298023
FS( 115 ),2433103.160000000149012,2328297.060000000055879,2326712.959999999962747,2524325.000000000000000,2394975.989999999292195,12007414.169999998062849
FS( 116 ),2485086.839999999850988,2377124.020000000018626,2363356.279999999795109,2555365.040000000037253,2415194.660000000149012,12196126.839999999850988
FS( 117 ),2456269.799999999813735,2372626.799999999813735,2372866.759999999776483,2573821.280000000260770,2408644.950000000186265,12184229.589999999850988
FS( 118 ),2491302.280000000260770,2357207.759999999776483,2390209.399999999906868,2587244.000000000000000,2459049.239999999292195,12285012.679999999701977
FS( 119 ),2566170.080000000074506,2353995.459999999962747,2360559.080000000074506,2581371.559999999590218,2445095.509999999776483,12307191.689999999478459
FS( 120 ),2589901.759999999776483,2356886.530000000260770,2383775.839999999850988,2604022.399999999441206,2428294.080000000074506,12362880.609999999403954
FS( 121 ),2623239.119999999646097,2356244.069999999832362,2380978.640000000130385,2596472.120000000111759,2424876.839999999850988,12381810.789999999105930
FS( 122 ),2596399.720000000204891,2366523.430000000167638,2393845.759999999776483,2627512.160000000149012,2434274.250000000000000,12418555.320000000298023
FS( 123 ),2582556.239999999757856,2356244.069999999832362,2384055.560000000055879,2667780.320000000298023,2432280.859999999403954,12422917.049999998882413
