代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12180716.729999998584390
真實報酬,2180716.729999998584390

夏普值報酬,0.209371673000000
夏普值風險,0.059677994195190
夏普值,3.508356402113716

二次趨勢線,61.741766239013955 x^2 + 10011.830353021334304 x + 10000000.000000000000000
二次平均預期報酬,17853.034665376104385
風險,60490.553438248403836
二次平均趨勢值,0.295137565299371
一次趨勢線,15869.488910472164207 x + 10000000.000000000000000
一次預期報酬,15869.488910472164207
一次風險,126126.563477344345301
一次趨勢值,0.125821940065169
找到最佳解世代,3286
找到最佳解實驗#,1
找到最佳解次數,49

stock[index](rank)
投資組合檔數,7
AAPL[0](15),CAT[3](1),CSCO[4](2),HD[9](6),MCD[15](9),PFE[20](19),V[25](3),
FS( 7 ),1450870.200000000186265,1455145.459999999962747,1420819.510000000009313,1415400.500000000000000,1466788.360000000102445,1403227.000000000000000,1471878.490000000223517,10084132.520000001415610
FS( 8 ),1471078.850000000093132,1448602.000000000000000,1425835.179999999934807,1421893.000000000000000,1452363.179999999934807,1405761.399999999906868,1468205.770000000251457,10093742.379999998956919
FS( 9 ),1483721.699999999953434,1452608.199999999953434,1432674.729999999981374,1418090.250000000000000,1454611.260000000009313,1412097.399999999906868,1483355.740000000223517,10137162.279999999329448
FS( 10 ),1488898.300000000046566,1453542.980000000214204,1436322.489999999990687,1427457.999999999767169,1454423.919999999925494,1404494.199999999953434,1481825.440000000176951,10146968.330000000074506
FS( 11 ),1494074.900000000139698,1429906.399999999906868,1436778.459999999962747,1411505.000000000000000,1442246.820000000065193,1409140.599999999860302,1493302.690000000176951,10116957.869999999180436
FS( 12 ),1503432.600000000093132,1440322.520000000018626,1454561.290000000037253,1421985.750000000000000,1441591.129999999888241,1420122.999999999767169,1503555.700000000186265,10185574.989999998360872
FS( 13 ),1496663.199999999953434,1433244.899999999906868,1452737.409999999916181,1363831.500000000000000,1444588.570000000065193,1416743.799999999813735,1501413.280000000260770,10109225.660000000149012
FS( 14 ),1495966.350000000093132,1423496.480000000214204,1451825.469999999972060,1360307.000000000000000,1441872.139999999897555,1414209.399999999906868,1524214.750000000000000,10111894.589999999850988
FS( 15 ),1514084.449999999953434,1444729.340000000316650,1452737.409999999916181,1341107.750000000000000,1422482.449999999953434,1407451.000000000000000,1535998.060000000288710,10118593.460000000894070
FS( 16 ),1520555.200000000186265,1529660.780000000260770,1464592.629999999888241,1363275.000000000000000,1490112.189999999944121,1398158.199999999953434,1530182.920000000158325,10296539.919999999925494
FS( 17 ),1527722.800000000046566,1516039.699999999953434,1443618.010000000009313,1360678.000000000000000,1466132.669999999925494,1389287.800000000046566,1543343.500000000000000,10246825.480000000447035
FS( 18 ),1498853.300000000046566,1527390.600000000093132,1439514.280000000027940,1370324.000000000000000,1470254.149999999906868,1393934.199999999953434,1523755.660000000149012,10224029.189999999478459
FS( 19 ),1488301.000000000000000,1523785.020000000018626,1437234.429999999934807,1373570.250000000000000,1459950.449999999953434,1400270.199999999953434,1517328.400000000372529,10200442.750000000000000
FS( 20 ),1480635.649999999906868,1521781.920000000158325,1434042.639999999897555,1387668.250000000000000,1453299.879999999888241,1400692.599999999860302,1523602.630000000121072,10201726.570000000298023
FS( 21 ),1493776.250000000000000,1510431.020000000018626,1443162.040000000037253,1389987.000000000000000,1442996.179999999934807,1397313.399999999906868,1543649.560000000288710,10221318.450000001117587
FS( 22 ),1564357.199999999953434,1510297.480000000214204,1437234.429999999934807,1396015.750000000000000,1466882.030000000027940,1390555.000000000000000,1549923.790000000270084,10315268.680000001564622
FS( 23 ),1548727.849999999860302,1516573.860000000102445,1439058.309999999823049,1398705.500000000000000,1449365.739999999990687,1412097.399999999906868,1539364.720000000204891,10303896.380000000819564
FS( 24 ),1556890.949999999953434,1527123.520000000018626,1450001.590000000083819,1416884.500000000000000,1440935.439999999944121,1420967.800000000046566,1543955.620000000111759,10356762.420000001788139
FS( 25 ),1580982.050000000046566,1531930.959999999962747,1451825.469999999972060,1422449.500000000000000,1451707.489999999990687,1407028.600000000093132,1553137.420000000158325,10399064.490000000223517
FS( 26 ),1593624.900000000139698,1527924.760000000009313,1444073.979999999981374,1422449.500000000000000,1451239.139999999897555,1405761.399999999906868,1549923.790000000270084,10395000.470000000670552
FS( 27 ),1603380.800000000046566,1526989.980000000214204,1441794.130000000121072,1440164.750000000000000,1451239.139999999897555,1412942.200000000186265,1545179.860000000102445,10421693.859999999403954
FS( 28 ),1546239.099999999860302,1511098.720000000204891,1413523.989999999990687,1427365.250000000000000,1467163.040000000037253,1411675.000000000000000,1522531.420000000158325,10299599.520000001415610
FS( 29 ),1567741.899999999906868,1507092.520000000018626,1434954.579999999841675,1436640.250000000000000,1473532.600000000093132,1404494.199999999953434,1531713.220000000204891,10356172.269999999552965
FS( 30 ),1591335.250000000000000,1518576.959999999962747,1451825.469999999972060,1430889.750000000000000,1473157.919999999925494,1407028.600000000093132,1558952.560000000288710,10431769.509999999776483
FS( 31 ),1608756.500000000000000,1517775.720000000204891,1463224.720000000204891,1392955.000000000000000,1476530.040000000037253,1409985.400000000139698,1570582.840000000083819,10439813.220000000670552
FS( 32 ),1602285.750000000000000,1524052.100000000093132,1474623.970000000204891,1412247.000000000000000,1488519.800000000046566,1409140.599999999860302,1581141.910000000149012,10492014.130000000819564
FS( 33 ),1571524.800000000046566,1510965.180000000167638,1415347.869999999878928,1388317.500000000000000,1479059.129999999888241,1391822.200000000186265,1563390.430000000167638,10320430.109999999403954
FS( 34 ),1567941.000000000000000,1521381.300000000046566,1384797.880000000121072,1368098.000000000000000,1477841.419999999925494,1379995.000000000000000,1568746.480000000214204,10268804.080000000074506
FS( 35 ),1565054.050000000046566,1517108.020000000018626,1398932.949999999953434,1383958.250000000000000,1483461.620000000111759,1383796.599999999860302,1579611.610000000102445,10311926.099999999627471
FS( 36 ),1590638.399999999906868,1546753.899999999906868,1425835.179999999934807,1390543.500000000000000,1495451.379999999888241,1400270.199999999953434,1592619.160000000149012,10442114.719999998807907
FS( 37 ),1592629.399999999906868,1532465.120000000111759,1409876.229999999981374,1383030.750000000000000,1487676.770000000018626,1404071.800000000046566,1578999.490000000223517,10388752.560000000521541
FS( 38 ),1585561.350000000093132,1532865.740000000223517,1424467.270000000018626,1375147.000000000000000,1483929.969999999972060,1403649.399999999906868,1579611.610000000102445,10385235.339999999850988
FS( 39 ),1591434.800000000046566,1540477.520000000018626,1433586.670000000158325,1388132.000000000000000,1487770.439999999944121,1410407.800000000046566,1581601.000000000000000,10433413.230000000447035
FS( 40 ),1607462.350000000093132,1536738.399999999906868,1438146.369999999878928,1404270.499999999767169,1495732.389999999897555,1413787.000000000000000,1588181.290000000270084,10484321.300000000745058
FS( 41 ),1621797.550000000046566,1549291.160000000149012,1435410.550000000046566,1389894.250000000000000,1493015.959999999962747,1415054.199999999953434,1588028.260000000009313,10492494.929999999701977
FS( 42 ),1626177.750000000000000,1569856.320000000065193,1458665.020000000018626,1391378.250000000000000,1494421.010000000009313,1412942.200000000186265,1587416.140000000363216,10540859.690000001341105
FS( 43 ),1632648.500000000000000,1569055.080000000074506,1468696.360000000102445,1390172.500000000000000,1498542.489999999990687,1432795.000000000000000,1584202.510000000009313,10576115.439999999478459
FS( 44 ),1633146.250000000000000,1579604.740000000223517,1472800.089999999850988,1398612.750000000000000,1497043.770000000018626,1434484.600000000093132,1590017.650000000372529,10605712.849999999627471
FS( 45 ),1613534.900000000139698,1579871.820000000065193,1441794.130000000121072,1418554.000000000000000,1490393.199999999953434,1427726.199999999720603,1576397.980000000214204,10548275.230000000447035
FS( 46 ),1611842.550000000046566,1562244.540000000270084,1453193.380000000121072,1452222.250000000000000,1482150.239999999990687,1435751.800000000046566,1578999.490000000223517,10576407.250000001862645
FS( 47 ),1605371.799999999813735,1572794.199999999953434,1448177.709999999962747,1464929.000000000000000,1497886.800000000046566,1435751.800000000046566,1600117.630000000121072,10625031.940000001341105
FS( 48 ),1579190.149999999906868,1573461.899999999906868,1435410.550000000046566,1480974.750000000000000,1496107.070000000065193,1440398.199999999953434,1598128.240000000223517,10603673.859999999403954
FS( 49 ),1607761.000000000000000,1587483.600000000093132,1467784.419999999925494,1469010.000000000000000,1513155.010000000009313,1449691.000000000000000,1624449.400000000372529,10719337.429999999701977
FS( 50 ),1601389.800000000046566,1615126.380000000121072,1477815.759999999776483,1483293.500000000000000,1464446.610000000102445,1494042.999999999767169,1625367.580000000074506,10761485.629999998956919
FS( 51 ),1589344.250000000000000,1597632.640000000130385,1467328.449999999953434,1484313.750000000000000,1470722.500000000000000,1480948.600000000093132,1619552.440000000176951,10709845.629999998956919
FS( 52 ),1575705.899999999906868,1608983.540000000270084,1467784.419999999925494,1478377.750000000000000,1470722.500000000000000,1509249.399999999906868,1623378.190000000176951,10734204.699999999254942
FS( 53 ),1591633.899999999906868,1620868.600000000093132,1479183.669999999925494,1469288.250000000000000,1469973.139999999897555,1493620.599999999860302,1611441.850000000093132,10736013.009999999776483
FS( 54 ),1579588.349999999860302,1653719.440000000176951,1482831.430000000167638,1463816.000000000000000,1467725.060000000055879,1501646.199999999720603,1604249.440000000176951,10753578.919999999925494
FS( 55 ),1580185.649999999906868,1665871.580000000074506,1481463.520000000018626,1462424.750000000000000,1474750.310000000055879,1497422.200000000186265,1613125.180000000167638,10775246.190000001341105
FS( 56 ),1553705.349999999860302,1667340.520000000018626,1486479.189999999944121,1471885.250000000000000,1497699.459999999962747,1520231.800000000046566,1613125.180000000167638,10810469.750000000000000
FS( 57 ),1527025.949999999953434,1666539.280000000260770,1491038.890000000130385,1476615.500000000000000,1489737.510000000009313,1519387.000000000000000,1611594.880000000121072,10781942.010000001639128
FS( 58 ),1512093.449999999953434,1661731.840000000316650,1521588.879999999888241,1483850.000000000000000,1488613.469999999972060,1518964.600000000093132,1615420.630000000121072,10802265.870000001043081
FS( 59 ),1498753.750000000000000,1660262.899999999906868,1537547.829999999841675,1494330.750000000000000,1463790.919999999925494,1499956.599999999860302,1576551.010000000009313,10731196.759999999776483
FS( 60 ),1524537.199999999953434,1662800.160000000149012,1539371.709999999962747,1495814.750000000000000,1436532.949999999953434,1491086.199999999720603,1575326.770000000251457,10725472.740000000223517
FS( 61 ),1535388.149999999906868,1662933.699999999953434,1526604.549999999813735,1492661.250000000000000,1443089.850000000093132,1497422.200000000186265,1589864.620000000111759,10747967.320000000298023
FS( 62 ),1525930.899999999906868,1672415.040000000270084,1520676.939999999944121,1506017.250000000232831,1475312.330000000074506,1503758.199999999953434,1600423.690000000176951,10804537.349999999627471
FS( 63 ),1534293.100000000093132,1665470.959999999962747,1533444.100000000093132,1517147.250000000000000,1467725.060000000055879,1507982.200000000186265,1600423.690000000176951,10826489.360000001266599
FS( 64 ),1531207.050000000046566,1665604.500000000000000,1538915.739999999990687,1521413.750000000000000,1470347.820000000065193,1523611.000000000000000,1613584.270000000251457,10864687.129999998956919
FS( 65 ),1537876.899999999906868,1676154.160000000149012,1543475.439999999944121,1532080.000000000000000,1469411.120000000111759,1526567.800000000046566,1615879.720000000204891,10901448.140000000596046
FS( 66 ),1527921.899999999906868,1692579.580000000074506,1524780.669999999925494,1533193.000000000000000,1472689.570000000065193,1518964.600000000093132,1611594.880000000121072,10881727.200000001117587
FS( 67 ),1546935.949999999953434,1688039.220000000204891,1531620.220000000204891,1540891.250000000000000,1487583.100000000093132,1520654.199999999953434,1625826.670000000158325,10941553.609999999403954
FS( 68 ),1546040.000000000000000,1695116.840000000316650,1538915.739999999990687,1538387.000000000000000,1495076.699999999953434,1522766.199999999720603,1633325.140000000363216,10969630.620000001043081
FS( 69 ),1551415.699999999953434,1694449.140000000130385,1539371.709999999962747,1537088.500000000000000,1499947.540000000037253,1526567.800000000046566,1637609.980000000214204,10986453.370000001043081
FS( 70 ),1552013.000000000000000,1711942.880000000121072,1529796.339999999850988,1531987.250000000000000,1504256.360000000102445,1537550.199999999953434,1642200.880000000121072,11009749.910000000149012
FS( 71 ),1558483.750000000000000,1717418.020000000018626,1531620.220000000204891,1532822.000000000000000,1528329.550000000046566,1539662.200000000186265,1659493.270000000251457,11067832.009999999776483
FS( 72 ),1553008.500000000000000,1735980.080000000307336,1516573.209999999962747,1526700.500000000000000,1535448.469999999972060,1535438.199999999953434,1654443.280000000260770,11057595.239999998360872
FS( 73 ),1562863.950000000186265,1745594.960000000195578,1526148.579999999841675,1525587.500000000000000,1549124.290000000037253,1535015.800000000046566,1662859.930000000167638,11107198.009999999776483
FS( 74 ),1591633.899999999906868,1755744.000000000000000,1529340.369999999878928,1523268.750000000000000,1545752.169999999925494,1519809.399999999906868,1657350.850000000093132,11122902.439999999478459
FS( 75 ),1597507.350000000093132,1743324.780000000027940,1532076.189999999944121,1515199.500000000000000,1549405.300000000046566,1529102.200000000186265,1645720.570000000298023,11112338.890000000596046
FS( 76 ),1590439.299999999813735,1753340.280000000027940,1529796.339999999850988,1516127.000000000000000,1552871.090000000083819,1513473.399999999906868,1649699.350000000093132,11105749.759999999776483
FS( 77 ),1552809.399999999906868,1756812.320000000298023,1538915.739999999990687,1514179.250000000000000,1559709.000000000000000,1530791.800000000046566,1637763.010000000009313,11090983.519999999552965
FS( 78 ),1555497.250000000000000,1754275.060000000288710,1561714.239999999990687,1515941.500000000000000,1557835.600000000093132,1538395.000000000000000,1645873.600000000093132,11129535.250000000000000
FS( 79 ),1554700.849999999860302,1758548.340000000316650,1566273.939999999944121,1528091.750000000000000,1530109.280000000027940,1537550.199999999953434,1645567.540000000270084,11120844.900000002235174
FS( 80 ),1563959.000000000000000,1846150.580000000307336,1576761.250000000000000,1540056.500000000000000,1535167.459999999962747,1532059.000000000000000,1659034.180000000167638,11253190.969999998807907
FS( 81 ),1557090.050000000046566,1827454.980000000214204,1563994.089999999850988,1540427.500000000000000,1532357.360000000102445,1527412.599999999860302,1675561.420000000158325,11224301.000000000000000
FS( 82 ),1567045.050000000046566,1828790.380000000121072,1562626.180000000167638,1555082.000000000000000,1536385.169999999925494,1509671.800000000046566,1680305.350000000093132,11239908.929999999701977
FS( 83 ),1623191.250000000000000,1840408.360000000102445,1569921.699999999953434,1552206.750000000000000,1549311.629999999888241,1503758.199999999953434,1678928.080000000074506,11317728.970000000670552
FS( 84 ),1659726.100000000093132,1822781.080000000307336,1552138.869999999878928,1533378.500000000000000,1557179.909999999916181,1484750.199999999953434,1683978.070000000298023,11293935.730000000447035
FS( 85 ),1682821.699999999953434,1813566.820000000298023,1557154.540000000037253,1537737.750000000000000,1563549.469999999972060,1480948.600000000093132,1683059.890000000363216,11318841.770000001415610
FS( 86 ),1661418.449999999953434,1820110.280000000027940,1578585.129999999888241,1534027.750000000000000,1558491.290000000037253,1489396.599999999860302,1699740.160000000149012,11341772.660000000149012
FS( 87 ),1673563.550000000046566,1822514.000000000000000,1559890.360000000102445,1509263.500000000000000,1574696.199999999953434,1497844.600000000093132,1698362.890000000363216,11336138.100000001490116
FS( 88 ),1717266.000000000000000,1824650.640000000130385,1571745.579999999841675,1524845.499999999767169,1579848.050000000046566,1501646.199999999720603,1704178.030000000260770,11424183.000000000000000
FS( 89 ),1734687.250000000000000,1839072.960000000195578,1569009.759999999776483,1523268.750000000000000,1593149.189999999944121,1491931.000000000000000,1712747.710000000195578,11463869.620000001043081
FS( 90 ),1740262.050000000046566,1853762.360000000102445,1568553.790000000037253,1518074.750000000000000,1599706.090000000083819,1493620.599999999860302,1715349.220000000204891,11489331.860000001266599
FS( 91 ),1754497.700000000186265,1833464.280000000027940,1573113.489999999990687,1521692.000000000000000,1593430.199999999953434,1492775.800000000046566,1721164.360000000102445,11490140.830000000074506
FS( 92 ),1750913.899999999906868,1807423.980000000214204,1552594.839999999850988,1514457.500000000000000,1564392.500000000000000,1486862.200000000186265,1716114.370000000111759,11392762.289999999105930
FS( 93 ),1738868.349999999860302,1822647.540000000037253,1549859.020000000018626,1522248.500000000232831,1551185.030000000027940,1486017.399999999906868,1712135.590000000083819,11382964.429999999701977
FS( 94 ),1731899.850000000093132,1823315.240000000223517,1548035.140000000130385,1533749.500000000000000,1567858.290000000037253,1491086.199999999720603,1704790.150000000372529,11400737.370000001043081
FS( 95 ),1705718.199999999953434,1836802.780000000027940,1552138.869999999878928,1558884.750000000000000,1574789.870000000111759,1494465.400000000139698,1713665.890000000363216,11436468.759999999776483
FS( 96 ),1683219.900000000139698,1790865.020000000018626,1555330.659999999916181,1534862.500000000000000,1567389.939999999944121,1493620.599999999860302,1687191.700000000186265,11312483.320000000298023
FS( 97 ),1703329.000000000000000,1821045.060000000288710,1636037.350000000093132,1553690.750000000000000,1574602.530000000027940,1502068.600000000093132,1698975.010000000009313,11489751.300000000745058
FS( 98 ),1693871.750000000000000,1817973.640000000130385,1636949.290000000037253,1555916.750000000000000,1561769.739999999990687,1494042.999999999767169,1680611.410000000149012,11441138.580000000074506
FS( 99 ),1692179.399999999906868,1828389.760000000009313,1664307.489999999990687,1581052.000000000000000,1563736.810000000055879,1493198.199999999953434,1682600.800000000279397,11505467.460000000894070
FS( 100 ),1723637.199999999953434,1837604.020000000018626,1671147.040000000037253,1603404.750000000232831,1576569.600000000093132,1501223.799999999813735,1705555.300000000279397,11619144.710000000894070
FS( 101 ),1741755.300000000046566,1843079.159999999916181,1662027.640000000130385,1595984.750000000000000,1583594.850000000093132,1496577.399999999906868,1695914.410000000149012,11618936.509999999776483
FS( 102 ),1741854.850000000093132,1834799.679999999934807,1663851.520000000018626,1598489.000000000000000,1584156.870000000111759,1499111.800000000046566,1713512.860000000102445,11635779.580000001937151
FS( 103 ),1733094.449999999953434,1832128.880000000121072,1681178.379999999888241,1615462.250000000000000,1582751.820000000065193,1499111.800000000046566,1719787.090000000083819,11663517.669999999925494
FS( 104 ),1722940.349999999860302,1856166.080000000307336,1720391.799999999813735,1637815.000000000000000,1605045.280000000027940,1514318.199999999953434,1734784.030000000260770,11791463.739999998360872
FS( 105 ),1687201.899999999906868,1843746.860000000102445,1708992.549999999813735,1644122.000000000000000,1596521.310000000055879,1529524.600000000093132,1681223.530000000260770,11691335.750000000000000
FS( 106 ),1710795.250000000000000,1885010.720000000204891,1700785.089999999850988,1667958.750000000000000,1610946.489999999990687,1531636.599999999860302,1723000.720000000204891,11830136.620000001043081
FS( 107 ),1702831.250000000000000,1889951.700000000186265,1714464.189999999944121,1673523.750000000000000,1619376.790000000037253,1535438.199999999953434,1694537.140000000363216,11830126.019999999552965
FS( 108 ),1690387.500000000000000,1889684.620000000111759,1719935.829999999841675,1715075.750000000000000,1598582.050000000046566,1523188.600000000093132,1644037.240000000223517,11780894.589999999850988
FS( 109 ),1688794.699999999953434,1871523.179999999934807,1701241.060000000055879,1696062.000000000000000,1620500.830000000074506,1505025.400000000139698,1661635.690000000176951,11744785.859999999403954
FS( 110 ),1682523.049999999813735,1874193.980000000214204,1705800.759999999776483,1677048.250000000000000,1625090.659999999916181,1502068.600000000093132,1679387.170000000158325,11746115.469999998807907
FS( 111 ),1685609.099999999860302,1908246.679999999934807,1705344.790000000037253,1688178.250000000000000,1619751.469999999972060,1499534.199999999953434,1704790.150000000372529,11811457.640000000596046
FS( 112 ),1686106.850000000093132,1921200.060000000288710,1714920.159999999916181,1701256.000000000000000,1621999.550000000046566,1509671.800000000046566,1723153.750000000000000,11878311.170000001788139
FS( 113 ),1718958.349999999860302,1919998.200000000186265,1730879.110000000102445,1690497.000000000000000,1622936.250000000000000,1529524.600000000093132,1719634.060000000288710,11932430.570000000298023
FS( 114 ),1709302.000000000000000,1915324.300000000046566,1728599.259999999776483,1686323.250000000000000,1613381.909999999916181,1545153.399999999906868,1736314.330000000074506,11934401.449999999254942
FS( 115 ),1714976.350000000093132,1984097.399999999906868,1739542.540000000037253,1697731.500000000000000,1625746.350000000093132,1547687.800000000046566,1734018.880000000121072,12043803.820000002160668
FS( 116 ),1714478.600000000093132,1953516.740000000223517,1728143.290000000037253,1689384.000000000000000,1621905.879999999888241,1540084.600000000093132,1728050.710000000195578,11975566.820000002160668
FS( 117 ),1731899.850000000093132,1958991.880000000121072,1741366.419999999925494,1693557.750000000000000,1630523.520000000018626,1571342.200000000186265,1741823.410000000149012,12069508.030000001192093
FS( 118 ),1756289.599999999860302,2000122.200000000186265,1754589.549999999813735,1713499.000000000000000,1631834.899999999906868,1568385.400000000139698,1737691.600000000093132,12162415.250000000000000
FS( 119 ),1737574.199999999953434,2015345.760000000009313,1746382.089999999850988,1725092.750000000000000,1624247.629999999888241,1560359.799999999813735,1716114.370000000111759,12125119.600000001490116
FS( 120 ),1735682.750000000000000,2036845.700000000186265,1766444.770000000018626,1737428.500000000000000,1612819.889999999897555,1540084.600000000093132,1715808.310000000288710,12145117.520000001415610
FS( 121 ),1742253.049999999813735,2065156.179999999934807,1756869.400000000139698,1744570.250000000000000,1609822.449999999953434,1530791.800000000046566,1720246.180000000167638,12169712.310000000521541
FS( 122 ),1742253.049999999813735,2079979.120000000111759,1757781.339999999850988,1745034.000000000000000,1605794.639999999897555,1526567.800000000046566,1724531.020000000251457,12181943.970000000670552
FS( 123 ),1698052.849999999860302,2089193.380000000121072,1754589.549999999813735,1765717.250000000232831,1604576.929999999934807,1529524.600000000093132,1729121.920000000158325,12170779.479999998584390
FS( 124 ),1698351.500000000000000,2103615.700000000186265,1758237.310000000055879,1764140.500000000000000,1617503.389999999897555,1534593.399999999906868,1744884.010000000009313,12221328.810000000521541
FS( 125 ),1703129.900000000139698,2115634.299999999813735,1759605.220000000204891,1760337.750000000000000,1621531.199999999953434,1536282.999999999767169,1749934.000000000000000,12246458.369999999180436
FS( 126 ),1684713.149999999906868,2104416.940000000409782,1746382.089999999850988,1758019.000000000000000,1612351.540000000037253,1529947.000000000000000,1744884.010000000009313,12180716.729999998584390
