代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11698522.130000002682209
真實報酬,1698522.130000002682209

夏普值報酬,0.161152213000000
夏普值風險,0.048503807388778
夏普值,3.322465218210567

二次趨勢線,-94.324912952295875 x^2 + 25655.421437688768492 x + 10000000.000000000000000
二次平均預期報酬,13770.482405699487572
風險,104694.454733733218745
二次平均趨勢值,0.131530198430486
一次趨勢線,16777.229929728702700 x + 10000000.000000000000000
一次預期報酬,16777.229929728702700
一次風險,196613.159891598363174
一次趨勢值,0.085331164704228
找到最佳解世代,1952
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,7
DIS[6](2),HD[9](1),NKE[19](5),PFE[20](10),TRV[22](11),V[25](6),WMT[28](19),
FS( 19 ),1478187.250000000000000,1508096.469999999972060,1446570.400000000139698,1535552.500000000000000,1527719.100000000093132,1471825.479999999748543,1455869.880000000121072,10423824.080000001937151
FS( 20 ),1496842.959999999962747,1525526.709999999729916,1462169.880000000121072,1548390.280000000027940,1549002.199999999953434,1507481.199999999720603,1462207.120000000111759,10551623.350000001490116
FS( 21 ),1488507.429999999934807,1526616.099999999860302,1445370.440000000176951,1543397.809999999823049,1535765.150000000139698,1483515.879999999888241,1456601.100000000093132,10479776.909999998286366
FS( 22 ),1520658.760000000009313,1530247.399999999906868,1451970.219999999972060,1566933.739999999757856,1531093.250000000000000,1505143.119999999878928,1470494.280000000027940,10576543.769999997690320
FS( 23 ),1542092.979999999981374,1552035.199999999953434,1473569.500000000000000,1552669.539999999804422,1524864.050000000046566,1478255.199999999720603,1455382.400000000139698,10578871.869999999180436
FS( 24 ),1567893.429999999934807,1564744.750000000000000,1472369.540000000037253,1540544.969999999972060,1539917.949999999953434,1489361.079999999841675,1448313.940000000176951,10623148.659999998286366
FS( 25 ),1584167.559999999823049,1568739.179999999934807,1469969.620000000111759,1538405.339999999850988,1540437.050000000046566,1471825.479999999748543,1438076.860000000102445,10611624.089999997988343
FS( 26 ),1577816.679999999934807,1569828.569999999832362,1475369.440000000176951,1556235.589999999850988,1549261.750000000000000,1460135.079999999841675,1442464.180000000167638,10631114.289999999105930
FS( 27 ),1573053.520000000018626,1580722.469999999972060,1477169.380000000121072,1564794.109999999869615,1559903.300000000046566,1458381.519999999785796,1439051.820000000065193,10653079.120000001043081
FS( 28 ),1536139.030000000027940,1578180.559999999823049,1472369.540000000037253,1561941.269999999785796,1554712.300000000046566,1448444.679999999934807,1447826.459999999962747,10599616.839999999850988
FS( 29 ),1537329.819999999832362,1575638.649999999906868,1486769.060000000288710,1568360.159999999683350,1552116.800000000046566,1481177.799999999813735,1450263.860000000102445,10651659.149999998509884
FS( 30 ),1524231.129999999888241,1579996.209999999729916,1474769.459999999962747,1557662.009999999776483,1540956.149999999906868,1472410.000000000000000,1451238.820000000065193,10601266.779999999329448
FS( 31 ),1527406.569999999832362,1588348.199999999953434,1488569.000000000000000,1564794.109999999869615,1549261.750000000000000,1498128.879999999888241,1458794.760000000242144,10675306.269999997690320
FS( 32 ),1548840.790000000037253,1629745.020000000018626,1513168.179999999934807,1566933.739999999757856,1554452.750000000000000,1516833.519999999785796,1462694.600000000093132,10792671.599999999627471
FS( 33 ),1565511.849999999860302,1648990.909999999683350,1523967.820000000065193,1557662.009999999776483,1565094.300000000046566,1495790.799999999813735,1477319.000000000000000,10834339.689999999478459
FS( 34 ),1560351.760000000009313,1616309.209999999729916,1526367.740000000223517,1561941.269999999785796,1598576.250000000232831,1470071.919999999692664,1487068.600000000093132,10820689.749999998137355
FS( 35 ),1557970.179999999934807,1629745.020000000018626,1523367.840000000083819,1548390.280000000027940,1564834.750000000000000,1455458.919999999692664,1484631.199999999953434,10764401.189999999478459
FS( 36 ),1557970.179999999934807,1632650.059999999823049,1532967.520000000251457,1544824.229999999981374,1505397.800000000046566,1475917.119999999878928,1496330.720000000204891,10746060.630000000819564
FS( 37 ),1570275.010000000009313,1643543.959999999729916,1547967.020000000251457,1549103.489999999757856,1535246.050000000046566,1469487.399999999906868,1498280.640000000130385,10813906.570000000298023
FS( 38 ),1561939.479999999981374,1632286.929999999934807,1534767.459999999962747,1542684.599999999860302,1523566.300000000046566,1474163.559999999823049,1486093.640000000130385,10755504.970000000670552
FS( 39 ),1557970.179999999934807,1629381.889999999664724,1531767.560000000288710,1531986.449999999953434,1506695.550000000046566,1476501.639999999897555,1479756.400000000139698,10714062.669999999925494
FS( 40 ),1547650.000000000000000,1625750.589999999850988,1550966.920000000158325,1539118.549999999813735,1508252.850000000093132,1459550.559999999823049,1494137.060000000055879,10725429.530000001192093
FS( 41 ),1544077.629999999888241,1611951.649999999906868,1559966.620000000111759,1526280.769999999785796,1513184.300000000046566,1470656.439999999944121,1495599.500000000000000,10721719.910000000149012
FS( 42 ),1561145.619999999878928,1614856.689999999711290,1556366.740000000223517,1519861.879999999888241,1538360.650000000139698,1498128.879999999888241,1515586.180000000167638,10804309.640000000596046
FS( 43 ),1544474.559999999823049,1614493.559999999823049,1542567.200000000186265,1505597.679999999934807,1541475.250000000000000,1550151.159999999916181,1509736.420000000158325,10808498.830000000074506
FS( 44 ),1587739.929999999934807,1640275.789999999804422,1552766.860000000102445,1512016.569999999832362,1560422.399999999906868,1564179.639999999897555,1511930.080000000074506,10929334.270000001415610
FS( 45 ),1605998.709999999962747,1641365.179999999934807,1552166.880000000121072,1494186.319999999832362,1539917.949999999953434,1568855.799999999813735,1508273.980000000214204,10910767.820000000298023
FS( 46 ),1626639.069999999832362,1650806.559999999823049,1563566.500000000000000,1501318.419999999925494,1550559.500000000000000,1563595.119999999878928,1503642.920000000158325,10960131.089999999850988
FS( 47 ),1638150.040000000037253,1640275.789999999804422,1588765.660000000149012,1498465.580000000074506,1553414.550000000046566,1583468.799999999813735,1501936.739999999990687,11004480.160000000149012
FS( 48 ),1648470.219999999972060,1643907.089999999850988,1586365.740000000223517,1507737.309999999823049,1554452.750000000000000,1643089.839999999850988,1510223.900000000139698,11094249.849999999627471
FS( 49 ),1645294.780000000027940,1646085.869999999878928,1580965.920000000158325,1501318.419999999925494,1541215.700000000186265,1664717.079999999841675,1508761.459999999962747,11088362.230000000447035
FS( 50 ),1658790.399999999906868,1667873.669999999925494,1578566.000000000000000,1519148.669999999925494,1531093.250000000000000,1647181.479999999748543,1506080.320000000065193,11108736.790000000968575
FS( 51 ),1651248.729999999981374,1672594.359999999869615,1599565.300000000046566,1521288.299999999813735,1535505.599999999860302,1684006.239999999757856,1516561.140000000130385,11180772.669999999925494
FS( 52 ),1637356.179999999934807,1659884.809999999823049,1598965.320000000065193,1505597.679999999934807,1538879.750000000000000,1682252.679999999934807,1505349.100000000093132,11128288.519999999552965
FS( 53 ),1648867.149999999906868,1667873.669999999925494,1592365.540000000037253,1521288.299999999813735,1542773.000000000000000,1662963.519999999785796,1512173.820000000065193,11148308.000000000000000
FS( 54 ),1657202.679999999934807,1696197.809999999823049,1600165.280000000260770,1511303.359999999869615,1553414.550000000046566,1680499.119999999878928,1522898.380000000121072,11221684.179999999701977
FS( 55 ),1650057.939999999944121,1703823.539999999804422,1574366.140000000130385,1513442.989999999757856,1538360.650000000139698,1668808.719999999972060,1464157.040000000037253,11113020.019999999552965
FS( 56 ),1638150.040000000037253,1691113.989999999757856,1585765.760000000009313,1523427.929999999934807,1529795.500000000000000,1700372.799999999813735,1428327.260000000242144,11096956.279999999329448
FS( 57 ),1646485.569999999832362,1704912.929999999934807,1592365.540000000037253,1499892.000000000000000,1530314.600000000093132,1702126.359999999869615,1426864.820000000065193,11102964.820000000298023
FS( 58 ),1639737.760000000009313,1706002.319999999832362,1594165.480000000214204,1510590.149999999906868,1520970.800000000046566,1717908.399999999906868,1432958.320000000065193,11122336.230000000447035
FS( 59 ),1652836.449999999953434,1704186.669999999925494,1607365.040000000037253,1516295.830000000074506,1520970.800000000046566,1707971.559999999823049,1424914.900000000139698,11134544.250000000000000
FS( 60 ),1664347.419999999925494,1715080.569999999832362,1611564.900000000139698,1513442.989999999757856,1515779.800000000046566,1738366.599999999860302,1436370.680000000167638,11194955.959999999031425
FS( 61 ),1666729.000000000000000,1727426.989999999757856,1618764.660000000149012,1507024.099999999860302,1504619.149999999906868,1700372.799999999813735,1440026.780000000027940,11164966.479999998584390
FS( 62 ),1682606.199999999953434,1723432.559999999823049,1628364.340000000083819,1532699.659999999683350,1516298.900000000139698,1712647.719999999972060,1433689.540000000037253,11229741.920000001788139
FS( 63 ),1681415.409999999916181,1721616.909999999683350,1631364.240000000223517,1526993.979999999981374,1505657.350000000093132,1697450.199999999720603,1438320.600000000093132,11202821.689999997615814
FS( 64 ),1694911.030000000027940,1720890.649999999906868,1638564.000000000000000,1533412.869999999878928,1518375.300000000046566,1698619.239999999757856,1447826.459999999962747,11252602.550000000745058
FS( 65 ),1667125.929999999934807,1684577.649999999906868,1610364.940000000176951,1517009.039999999804422,1479183.250000000000000,1678161.040000000037253,1437345.640000000130385,11073770.490000002086163
FS( 66 ),1657202.679999999934807,1720890.649999999906868,1613964.820000000065193,1524141.139999999897555,1476068.649999999906868,1689851.439999999944121,1459038.500000000000000,11141160.879999998956919
FS( 67 ),1667919.790000000037253,1736505.239999999757856,1618764.660000000149012,1530560.030000000027940,1482038.300000000046566,1723753.599999999860302,1456844.840000000083819,11216389.459999999031425
FS( 68 ),1676652.250000000000000,1746672.879999999888241,1649963.620000000111759,1531986.449999999953434,1495275.350000000093132,1712063.199999999720603,1464400.780000000027940,11277017.529999999329448
FS( 69 ),1680621.550000000046566,1764466.250000000000000,1641563.900000000139698,1536265.709999999729916,1495275.350000000093132,1702710.879999999888241,1479025.180000000167638,11299931.820000000298023
FS( 70 ),1746908.859999999869615,1784438.399999999906868,1661363.240000000223517,1569786.580000000074506,1516039.349999999860302,1713816.760000000009313,1486824.860000000102445,11479181.049999998882413
FS( 71 ),1725871.569999999832362,1796421.689999999711290,1654763.459999999962747,1564080.899999999906868,1530055.050000000046566,1706218.000000000000000,1488774.780000000027940,11466188.449999997392297
FS( 72 ),1725474.639999999897555,1786617.179999999934807,1660763.260000000009313,1562654.479999999981374,1533429.199999999953434,1709725.119999999878928,1492430.880000000121072,11471097.760000001639128
FS( 73 ),1714360.599999999860302,1781170.229999999748543,1668563.000000000000000,1564794.109999999869615,1536543.800000000046566,1705048.959999999962747,1482925.020000000251457,11453408.719999998807907
FS( 74 ),1724283.849999999860302,1773181.369999999878928,1681762.560000000288710,1560514.849999999860302,1534467.399999999906868,1736613.040000000037253,1480487.620000000111759,11491313.690000001341105
FS( 75 ),1716345.250000000000000,1793153.520000000018626,1676362.740000000223517,1554809.169999999925494,1535505.599999999860302,1702710.879999999888241,1477075.260000000242144,11455965.419999999925494
FS( 76 ),1717536.040000000037253,1808041.849999999860302,1656563.400000000139698,1552669.539999999804422,1518634.850000000093132,1706218.000000000000000,1476100.300000000046566,11435766.980000000447035
FS( 77 ),1718329.899999999906868,1804047.419999999925494,1664963.120000000111759,1549816.699999999953434,1504619.149999999906868,1713816.760000000009313,1478293.959999999962747,11433890.009999997913837
FS( 78 ),1732619.379999999888241,1798963.599999999860302,1611564.900000000139698,1556235.589999999850988,1510588.800000000046566,1736028.519999999785796,1480731.360000000102445,11426735.149999998509884
FS( 79 ),1761595.270000000018626,1820388.270000000018626,1628364.340000000083819,1580484.729999999981374,1527459.550000000046566,1754733.159999999916181,1491699.660000000149012,11564727.979999998584390
FS( 80 ),1752465.879999999888241,1817120.099999999860302,1618164.679999999934807,1604733.869999999878928,1517856.199999999953434,1750641.519999999785796,1489018.520000000251457,11550003.769999999552965
FS( 81 ),1727062.359999999869615,1812399.409999999683350,1608565.000000000000000,1598314.979999999981374,1525383.150000000139698,1744211.799999999813735,1491455.920000000158325,11507395.619999999180436
FS( 82 ),1707215.859999999869615,1812399.409999999683350,1617564.700000000186265,1599028.189999999944121,1522268.550000000046566,1738951.119999999878928,1482437.540000000037253,11479868.370000001043081
FS( 83 ),1737779.469999999972060,1826924.609999999869615,1626564.400000000139698,1615432.019999999785796,1536543.800000000046566,1724338.119999999878928,1491699.660000000149012,11559285.080000000074506
FS( 84 ),1740161.050000000046566,1815304.449999999953434,1635564.100000000093132,1611152.759999999776483,1539917.949999999953434,1738951.119999999878928,1495599.500000000000000,11576653.929999999701977
FS( 85 ),1718329.899999999906868,1815667.579999999841675,1648163.679999999934807,1607586.709999999729916,1538620.200000000186265,1758824.799999999813735,1478293.959999999962747,11565489.829999998211861
FS( 86 ),1704040.419999999925494,1810220.629999999888241,1642163.880000000121072,1596888.559999999823049,1537062.899999999906868,1738951.119999999878928,1468788.100000000093132,11498118.609999997541308
FS( 87 ),1709994.369999999878928,1838181.639999999664724,1655963.420000000158325,1593322.509999999776483,1528238.200000000186265,1768177.119999999878928,1478781.440000000176951,11572661.699999999254942
FS( 88 ),1671492.159999999916181,1836729.119999999878928,1660163.280000000260770,1572639.419999999925494,1506695.550000000046566,1746549.879999999888241,1465619.480000000214204,11459891.890000000596046
FS( 89 ),1627036.000000000000000,1792427.259999999776483,1597165.380000000121072,1568360.159999999683350,1498909.050000000046566,1706218.000000000000000,1460744.680000000167638,11250863.529999997466803
FS( 90 ),1642119.339999999850988,1806589.329999999841675,1623564.500000000000000,1565507.319999999832362,1509810.150000000139698,1715570.320000000065193,1457576.060000000055879,11320740.020000001415610
FS( 91 ),1673079.879999999888241,1838544.770000000018626,1629564.300000000046566,1563367.689999999944121,1533948.300000000046566,1768761.639999999897555,1465863.220000000204891,11473132.800000000745058
FS( 92 ),1661171.979999999981374,1850528.059999999823049,1631964.219999999972060,1558375.219999999972060,1508512.399999999906868,1799741.199999999720603,1456844.840000000083819,11467140.919999998062849
FS( 93 ),1653630.309999999823049,1877036.549999999813735,1640963.920000000158325,1567646.949999999953434,1535505.599999999860302,1765839.040000000037253,1476587.780000000027940,11517213.149999998509884
FS( 94 ),1694117.169999999925494,1889382.969999999972060,1647563.700000000186265,1591182.879999999888241,1557048.250000000000000,1783959.159999999916181,1508030.239999999990687,11671287.369999999180436
FS( 95 ),1686575.500000000000000,1881394.109999999869615,1658363.340000000083819,1601167.819999999832362,1543551.649999999906868,1779867.519999999785796,1512661.300000000046566,11663584.240000000223517
FS( 96 ),1670301.369999999878928,1872315.859999999869615,1643963.820000000065193,1593322.509999999776483,1601431.300000000046566,1771099.719999999972060,1505105.360000000102445,11657542.939999999478459
FS( 97 ),1681018.479999999981374,1868684.559999999823049,1661363.240000000223517,1609013.129999999888241,1628684.050000000046566,1768177.119999999878928,1522167.160000000149012,11739110.740000000223517
FS( 98 ),1667522.859999999869615,1855611.879999999888241,1646363.740000000223517,1596175.349999999860302,1632836.849999999860302,1726091.679999999934807,1451238.820000000065193,11575844.179999999701977
FS( 99 ),1674270.669999999925494,1860332.569999999832362,1601365.240000000223517,1614005.599999999860302,1644776.149999999906868,1737782.079999999841675,1408096.840000000083819,11540632.150000000372529
FS( 100 ),1694911.030000000027940,1885025.409999999683350,1635564.100000000093132,1631835.849999999860302,1655417.700000000186265,1779867.519999999785796,1398103.500000000000000,11680728.109999999403954
FS( 101 ),1721108.409999999916181,1883572.889999999664724,1655363.440000000176951,1644673.629999999888241,1681113.149999999906868,1800325.719999999972060,1436858.160000000149012,11823018.400000000372529
FS( 102 ),1720711.479999999981374,1886477.929999999934807,1659563.300000000046566,1646100.049999999813735,1661387.350000000093132,1805001.879999999888241,1438808.080000000074506,11818053.069999998435378
FS( 103 ),1711185.159999999916181,1880667.849999999860302,1678162.679999999934807,1633262.269999999785796,1669433.399999999906868,1797403.119999999878928,1435883.199999999953434,11806000.679999997839332
FS( 104 ),1738176.399999999906868,1899913.739999999757856,1669762.959999999962747,1624703.750000000000000,1676700.799999999813735,1798572.159999999916181,1439783.040000000037253,11847615.849999997764826
FS( 105 ),1728253.149999999906868,1914075.809999999823049,1714161.480000000214204,1616145.229999999981374,1680334.500000000000000,1785712.719999999972060,1438320.600000000093132,11877006.490000000223517
FS( 106 ),1738970.260000000009313,1905360.689999999711290,1715961.420000000158325,1611865.969999999972060,1680594.050000000046566,1700957.320000000065193,1437833.120000000111759,11791545.830000001937151
FS( 107 ),1704040.419999999925494,1886841.059999999823049,1676962.719999999972060,1596175.349999999860302,1674105.300000000046566,1721415.519999999785796,1430764.660000000149012,11690308.029999999329448
FS( 108 ),1739367.189999999944121,1866142.649999999906868,1671562.900000000139698,1601167.819999999832362,1676441.250000000232831,1731936.879999999888241,1442707.920000000158325,11729329.610000001266599
FS( 109 ),1758419.829999999841675,1838181.639999999664724,1630764.260000000009313,1599028.189999999944121,1671250.250000000000000,1726676.199999999720603,1439295.560000000055879,11663618.929999999701977
FS( 110 ),1786998.790000000037253,1819662.009999999776483,1622364.540000000037253,1601167.819999999832362,1659051.400000000139698,1716154.839999999850988,1438808.080000000074506,11644210.480000000447035
FS( 111 ),1797318.969999999972060,1838181.639999999664724,1613364.840000000083819,1628269.799999999813735,1677739.000000000000000,1726676.199999999720603,1442707.920000000158325,11724261.369999999180436
FS( 112 ),1808433.010000000009313,1828014.000000000000000,1624164.480000000214204,1615432.019999999785796,1677219.900000000139698,1723169.079999999841675,1448313.940000000176951,11724749.429999999701977
FS( 113 ),1792952.739999999990687,1811310.020000000018626,1612164.880000000121072,1611152.759999999776483,1673586.200000000186265,1705633.479999999748543,1439783.040000000037253,11646586.120000001043081
FS( 114 ),1786601.859999999869615,1767371.289999999804422,1608565.000000000000000,1590469.669999999925494,1665021.050000000279397,1703879.919999999692664,1446607.760000000242144,11568519.549999998882413
FS( 115 ),1789380.369999999878928,1771002.589999999850988,1604965.120000000111759,1614718.809999999823049,1651005.350000000093132,1717323.879999999888241,1442707.920000000158325,11591107.040000000968575
FS( 116 ),1759610.619999999878928,1707454.839999999850988,1565366.440000000176951,1609013.129999999888241,1627386.300000000046566,1680499.119999999878928,1503399.180000000167638,11452732.629999998956919
FS( 117 ),1738970.260000000009313,1708544.229999999748543,1581565.900000000139698,1609726.339999999850988,1613889.699999999953434,1646012.439999999944121,1521679.680000000167638,11420391.549999998882413
FS( 118 ),1761992.199999999953434,1728879.509999999776483,1608565.000000000000000,1607586.709999999729916,1627386.300000000046566,1698619.239999999757856,1536547.820000000065193,11569579.779999999329448
FS( 119 ),1761992.199999999953434,1752482.959999999729916,1626564.400000000139698,1595462.139999999897555,1630500.900000000139698,1730183.320000000065193,1553365.880000000121072,11650554.800000000745058
FS( 120 ),1761992.199999999953434,1752482.959999999729916,1626564.400000000139698,1595462.139999999897555,1630500.900000000139698,1730183.320000000065193,1553365.880000000121072,11650554.800000000745058
FS( 121 ),1763976.849999999860302,1805136.809999999823049,1612164.880000000121072,1579058.309999999823049,1640104.250000000000000,1750057.000000000000000,1586027.040000000037253,11736528.140000000596046
FS( 122 ),1766358.429999999934807,1795332.299999999813735,1631964.219999999972060,1578345.099999999860302,1624790.800000000046566,1744211.799999999813735,1591876.800000000046566,11732882.449999999254942
FS( 123 ),1805257.569999999832362,1807678.719999999972060,1663763.160000000149012,1581911.149999999906868,1632058.200000000186265,1757655.760000000009313,1600895.180000000167638,11849222.740000000223517
FS( 124 ),1794143.530000000027940,1805136.809999999823049,1628964.320000000065193,1571926.209999999729916,1606362.750000000000000,1716739.359999999869615,1595045.420000000158325,11718321.400000000372529
FS( 125 ),1814386.959999999962747,1791701.000000000000000,1622964.520000000251457,1559801.639999999897555,1621935.750000000000000,1683421.719999999972060,1604307.540000000037253,11698522.130000002682209
