代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12858532.450000001117587
真實報酬,2858532.450000001117587

夏普值報酬,0.277153245000000
夏普值風險,0.076469565035437
夏普值,3.624360160431963

二次趨勢線,64.511211906070201 x^2 + 14714.426141083878974 x + 10000000.000000000000000
二次平均預期報酬,22971.861265060866572
風險,129360.301256887527416
二次平均趨勢值,0.177580455842033
一次趨勢線,20883.215910172533768 x + 10000000.000000000000000
一次預期報酬,20883.215910172533768
一次風險,174739.408694758050842
一次趨勢值,0.119510624799310
找到最佳解世代,2208
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
AAPL[0](2),INTC[11](1),PG[21](19),
FS( 22 ),3421318.859999999869615,3536053.459999999962747,3456373.060000000055879,10413746.380000000819564
FS( 23 ),3427066.680000000167638,3522448.060000000055879,3447338.649999999906868,10396854.390000000596046
FS( 24 ),3403191.120000000111759,3593196.140000000130385,3446048.019999999552965,10442436.279999999329448
FS( 25 ),3358977.120000000111759,3559182.640000000130385,3431851.089999999850988,10350011.849999999627471
FS( 26 ),3306362.459999999962747,3604080.459999999962747,3462826.209999999497086,10373270.129999998956919
FS( 27 ),3306362.459999999962747,3661223.140000000130385,3499824.269999999552965,10467410.869999999180436
FS( 28 ),3349692.180000000167638,3670746.919999999925494,3505847.209999999497086,10526287.309999998658895
FS( 29 ),3306362.459999999962747,3595917.219999999739230,3488638.810000000055879,10390919.490000000223517
FS( 30 ),3282044.760000000242144,3561903.719999999739230,3474441.880000000353903,10318391.360000001266599
FS( 31 ),3295308.959999999962747,3613604.239999999757856,3476592.930000000167638,10385507.129999998956919
FS( 32 ),3271433.399999999906868,3642175.580000000074506,3477883.560000000055879,10391493.540000000968575
FS( 33 ),3278065.500000000000000,3663944.219999999739230,3512730.570000000298023,10454741.289999999105930
FS( 34 ),3315647.399999999906868,3678910.159999999683350,3517462.880000000353903,10512021.439999999478459
FS( 35 ),3354997.859999999869615,3666665.299999999813735,3508858.680000000167638,10530522.839999999850988
FS( 36 ),3358534.979999999981374,3651699.359999999869615,3495522.169999999925494,10505757.509999999776483
FS( 37 ),3314320.979999999981374,3639454.500000000000000,3457233.479999999981374,10411009.960000000894070
FS( 38 ),3586237.080000000074506,3639454.500000000000000,3491220.070000000298023,10716912.650000000372529
FS( 39 ),3612765.479999999981374,3572788.040000000037253,3502405.529999999795109,10687960.049999998882413
FS( 40 ),3752481.720000000204891,3582311.819999999832362,3568227.659999999683350,10903022.199999999254942
FS( 41 ),3741428.220000000204891,3602719.919999999925494,3546717.159999999683350,10890866.300000000745058
FS( 42 ),3727279.739999999757856,3631291.260000000242144,3551449.469999999739230,10910021.469999998807907
FS( 43 ),3736122.540000000037253,3598638.299999999813735,3542415.060000000055879,10877176.900000000372529
FS( 44 ),3742754.640000000130385,3593196.140000000130385,3524346.240000000223517,10860298.019999999552965
FS( 45 ),3795811.439999999944121,3560543.180000000167638,3514881.620000000111759,10871237.240000000223517
FS( 46 ),3754692.419999999925494,3564624.799999999813735,3490359.649999999906868,10809677.869999999180436
FS( 47 ),3741428.220000000204891,3587753.979999999981374,3531659.810000000055879,10860843.009999999776483
FS( 48 ),3714015.540000000037253,3583672.359999999869615,3534671.279999999795109,10832360.179999999701977
FS( 49 ),3698540.640000000130385,3578230.200000000186265,3544566.109999999869615,10821337.949999999254942
FS( 50 ),3744523.199999999720603,3587753.979999999981374,3516172.250000000000000,10848450.429999999701977
FS( 51 ),3750271.019999999552965,3598638.299999999813735,3511009.729999999981374,10859920.049999998882413
FS( 52 ),3751155.300000000279397,3582311.819999999832362,3492080.490000000223517,10825548.609999999403954
FS( 53 ),3719321.220000000204891,3538774.540000000037253,3464547.049999999813735,10722643.809999998658895
FS( 54 ),3774146.580000000074506,3512924.280000000260770,3455942.849999999627471,10743014.710000000894070
FS( 55 ),3818802.720000000204891,3542856.159999999683350,3438734.450000000186265,10800394.330000000074506
FS( 56 ),3819687.000000000000000,3542856.159999999683350,3451640.750000000000000,10814184.910000000149012
FS( 57 ),3829856.220000000204891,3564624.799999999813735,3462826.209999999497086,10857308.229999998584390
FS( 58 ),3835604.040000000037253,3557822.099999999627471,3469709.570000000298023,10863136.710000000894070
FS( 59 ),3878933.760000000242144,3576869.659999999683350,3464116.839999999850988,10919921.259999999776483
FS( 60 ),3951886.859999999869615,3634012.340000000316650,3445187.599999999627471,11031087.800000000745058
FS( 61 ),3941275.500000000000000,3657141.520000000018626,3446048.019999999552965,11044466.039999999105930
FS( 62 ),4013344.319999999832362,3668025.840000000316650,3458954.320000000298023,11140325.480000000447035
FS( 63 ),3998311.560000000521541,3717005.280000000260770,3475732.510000000242144,11191050.350000001490116
FS( 64 ),3970898.880000000353903,3708842.040000000037253,3457233.479999999981374,11136975.400000000372529
FS( 65 ),4027050.660000000149012,3763263.640000000130385,3438734.450000000186265,11229049.750000000000000
FS( 66 ),4073033.220000000204891,3755100.400000000372529,3435722.979999999981374,11263857.600000001490116
FS( 67 ),4088950.260000000242144,3763263.640000000130385,3446478.229999999981374,11298693.130000000819564
FS( 68 ),4077454.620000000111759,3832651.180000000167638,3443036.549999999813735,11353143.350000001490116
FS( 69 ),4142891.340000000316650,3797277.140000000130385,3445617.810000000055879,11385787.290000000968575
FS( 70 ),4167209.040000000037253,3842174.959999999962747,3448199.070000000298023,11457584.070000000298023
FS( 71 ),4149965.580000000074506,3799998.219999999739230,3444327.180000000167638,11394291.980000000447035
FS( 72 ),4080549.600000000093132,3804079.840000000316650,3431420.880000000353903,11316051.320000000298023
FS( 73 ),4035893.459999999962747,4063942.979999999981374,3426258.359999999869615,11526095.799999998882413
FS( 74 ),4076570.340000000316650,4082990.540000000037253,3428409.409999999683350,11587971.290000000968575
FS( 75 ),4071264.660000000149012,4074827.299999999813735,3423677.099999999627471,11569770.059999998658895
FS( 76 ),4075686.060000000521541,4072106.219999999739230,3432711.510000000242144,11580504.790000000968575
FS( 77 ),4061537.580000000074506,4093874.859999999869615,3452070.959999999497086,11607484.399999998509884
FS( 78 ),4019534.279999999795109,4108840.799999999813735,3438734.450000000186265,11567110.530000001192093
FS( 79 ),4015997.160000000149012,4112922.419999999925494,3421095.839999999850988,11550016.419999999925494
FS( 80 ),3991679.459999999962747,4149657.000000000000000,3399155.130000000353903,11540492.589999999850988
FS( 81 ),3995216.580000000074506,4201357.519999999552965,3412491.639999999664724,11609066.739999998360872
FS( 82 ),4019092.140000000130385,4187752.120000000111759,3382376.939999999944121,11589222.199999999254942
FS( 83 ),4066843.260000000242144,4208160.219999999739230,3399585.339999999850988,11674589.820000000298023
FS( 84 ),4108846.560000000521541,4204078.599999999627471,3381086.310000000055879,11694012.470000000670552
FS( 85 ),4134932.819999999832362,4214962.919999999925494,3410770.799999999813735,11760667.539999999105930
FS( 86 ),4133164.260000000242144,4214962.919999999925494,3422816.680000000167638,11770944.859999999403954
FS( 87 ),4157481.959999999962747,4236731.560000000521541,3440885.500000000000000,11835100.019999999552965
FS( 88 ),4243257.120000000111759,4221765.620000000111759,3449919.909999999683350,11914943.650000000372529
FS( 89 ),4215844.439999999478459,4189112.659999999683350,3465837.680000000167638,11870795.779999999329448
FS( 90 ),4217613.000000000000000,4202718.060000000521541,3513590.990000000223517,11933923.050000000745058
FS( 91 ),4202138.100000000558794,4253058.040000000037253,3511009.729999999981374,11966206.870000001043081
FS( 92 ),4210096.620000000111759,4251697.500000000000000,3491650.279999999795109,11953445.400000000372529
FS( 93 ),4264479.839999999850988,4284350.459999999962747,3498533.639999999664724,12047364.940000001341105
FS( 94 ),4214518.019999999552965,4314282.339999999850988,3495952.380000000353903,12024753.740000000223517
FS( 95 ),4190642.459999999962747,4714281.099999999627471,3482185.659999999683350,12387110.219999998807907
FS( 96 ),4115920.800000000279397,4585029.800000000745058,3458954.320000000298023,12159905.920000001788139
FS( 97 ),4175167.560000000521541,4585029.800000000745058,3465407.469999999739230,12225605.830000001937151
FS( 98 ),4153502.699999999720603,4634009.240000000223517,3453791.799999999813735,12241304.739999998360872
FS( 99 ),4187989.620000000111759,4733328.660000000149012,3446048.019999999552965,12367367.300000000745058
FS( 100 ),4297198.200000000186265,4693873.000000000000000,3441315.709999999497086,12432387.909999998286366
FS( 101 ),4290123.959999999962747,4659859.500000000000000,3452931.380000000353903,12402915.840000001713634
FS( 102 ),4318420.919999999925494,4659859.500000000000000,3422816.680000000167638,12401098.099999999627471
FS( 103 ),4378109.820000000298023,4657138.419999999925494,3409910.380000000353903,12445159.620000001043081
FS( 104 ),4349812.859999999403954,4651696.259999999776483,3383667.570000000298023,12385177.689999999478459
FS( 105 ),4339643.640000000596046,4673464.900000000372529,3362587.279999999795109,12375696.820000000298023
FS( 106 ),4226897.939999999478459,4610880.060000000521541,3326449.639999999664724,12164228.640000000596046
FS( 107 ),4250331.359999999403954,4590471.959999999962747,3426688.570000000298023,12267492.890000000596046
FS( 108 ),4226455.799999999813735,4632648.699999999254942,3408189.540000000037253,12267295.039999999105930
FS( 109 ),4205675.220000000670552,4465302.280000000260770,3416363.529999999795109,12087342.029999999329448
FS( 110 ),4198600.979999999515712,4469383.900000000372529,3488638.810000000055879,12156624.689999999478459
FS( 111 ),4177378.260000000242144,4446254.719999999739230,3447768.859999999869615,12071402.839999999850988
FS( 112 ),4188873.899999999906868,4435370.400000000372529,3482615.870000000111759,12106861.170000001788139
FS( 113 ),4244141.399999999441206,4492513.080000000074506,3505417.000000000000000,12242072.480000000447035
FS( 114 ),4243257.120000000111759,4507479.020000000484288,3502835.740000000223517,12253572.880000000819564
FS( 115 ),4299408.899999999441206,4639451.400000000372529,3505417.000000000000000,12444278.300000000745058
FS( 116 ),4310904.540000000037253,4617682.759999999776483,3525636.870000000111759,12454225.170000001788139
FS( 117 ),4332127.259999999776483,4648975.180000000633299,3518323.299999999813735,12499426.740000002086163
FS( 118 ),4384299.780000000260770,4681628.139999999664724,3546717.159999999683350,12612646.080000000074506
FS( 119 ),4444872.959999999962747,4672104.360000000335276,3557472.409999999683350,12674450.730000000447035
FS( 120 ),4446641.519999999552965,4693873.000000000000000,3562634.930000000167638,12703150.449999999254942
FS( 121 ),4447083.660000000149012,4782308.099999999627471,3582854.799999999813735,12812247.559999998658895
FS( 122 ),4479802.019999999552965,4753736.759999999776483,3587587.109999999869615,12821126.889999998733401
FS( 123 ),4489529.100000000558794,4736049.740000000223517,3594040.260000000242144,12819620.099999999627471
FS( 124 ),4460790.000000000000000,4734689.199999999254942,3587156.899999999906868,12782637.099999999627471
FS( 125 ),4515615.359999999403954,4733328.660000000149012,3584145.430000000167638,12833090.449999999254942
FS( 126 ),4520921.040000000037253,4714281.099999999627471,3572099.549999999813735,12807302.690000001341105
FS( 127 ),4531974.540000000037253,4751015.680000000633299,3575541.229999999981374,12858532.450000001117587
