代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10801379.410000000149012
真實報酬,801379.410000000149012

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,13859.872986135960673
風險,44380.818538223189535
起點值,0.312294217246108
找到最佳解世代,3863
找到最佳解實驗#,3
找到最佳解次數,3

stock[index](rank)
投資組合檔數,4
JNJ[12](2),JPM[13](16),MCD[15](1),V[25](4),
FS( 14 ),2573576.470000000204891,2410983.500000000000000,2603786.459999999962747,2512327.299999999813735,10100673.730000000447035
FS( 15 ),2574184.540000000037253,2434529.800000000279397,2623977.000000000000000,2533420.680000000167638,10166112.019999999552965
FS( 16 ),2579454.479999999981374,2432232.600000000093132,2624685.439999999944121,2556157.700000000186265,10192530.219999998807907
FS( 17 ),2584724.419999999925494,2462670.500000000465661,2618132.370000000111759,2571224.399999999906868,10236751.689999999478459
FS( 18 ),2584521.729999999981374,2461234.750000000000000,2647886.850000000093132,2597248.700000000186265,10290892.030000001192093
FS( 19 ),2584927.109999999869615,2450897.350000000093132,2652845.930000000167638,2603549.320000000298023,10292219.710000000894070
FS( 20 ),2572563.020000000018626,2451184.500000000000000,2654262.810000000521541,2593413.540000000037253,10271423.870000001043081
FS( 21 ),2576414.129999999888241,2409260.600000000093132,2655502.580000000074506,2594783.240000000223517,10235960.550000000745058
FS( 22 ),2599520.790000000037253,2359009.350000000093132,2672505.139999999664724,2608754.180000000167638,10239789.460000000894070
FS( 23 ),2610263.359999999869615,2385140.000000000000000,2699071.639999999664724,2613411.160000000149012,10307886.160000000149012
FS( 24 ),2636613.060000000521541,2373079.700000000186265,2722981.490000000223517,2633956.660000000149012,10366630.910000000149012
FS( 25 ),2642288.380000000353903,2377386.950000000186265,2706156.040000000037253,2644914.259999999776483,10370745.629999998956919
FS( 26 ),2651814.810000000521541,2382268.500000000000000,2678526.879999999888241,2624094.820000000298023,10336705.010000001639128
FS( 27 ),2650193.290000000037253,2409547.750000000000000,2691101.689999999944121,2632313.020000000018626,10383155.750000000000000
FS( 28 ),2646139.490000000223517,2439411.350000000093132,2682069.080000000074506,2632313.020000000018626,10399932.939999999478459
FS( 29 ),2666003.109999999869615,2497128.500000000000000,2682954.629999999888241,2590400.200000000186265,10436486.439999999478459
FS( 30 ),2671881.120000000111759,2497702.800000000279397,2629644.520000000018626,2561362.560000000055879,10360591.000000000000000
FS( 31 ),2675934.920000000391155,2506030.149999999906868,2653554.370000000111759,2604645.080000000074506,10440164.519999999552965
FS( 32 ),2691136.670000000391155,2500861.450000000186265,2668785.830000000074506,2611219.639999999664724,10472003.589999999850988
FS( 33 ),2696609.299999999813735,2485929.649999999906868,2677464.219999999739230,2579716.540000000037253,10439719.709999999031425
FS( 34 ),2723161.689999999944121,2474730.800000000279397,2691987.240000000223517,2579716.540000000037253,10469596.269999999552965
FS( 35 ),2717486.370000000111759,2529002.149999999906868,2712354.889999999664724,2596700.820000000298023,10555544.230000000447035
FS( 36 ),2720526.720000000204891,2513208.899999999906868,2728826.120000000111759,2585469.279999999795109,10548031.019999999552965
FS( 37 ),2734512.330000000074506,2501722.900000000372529,2722804.379999999888241,2589852.320000000298023,10548891.929999999701977
FS( 38 ),2757618.990000000223517,2498851.399999999906868,2741755.150000000372529,2573689.860000000335276,10571915.400000002235174
FS( 39 ),2765321.209999999962747,2494257.000000000000000,2738921.389999999664724,2618342.080000000074506,10616841.679999999701977
FS( 40 ),2763497.000000000000000,2505168.699999999720603,2726877.910000000149012,2608480.240000000223517,10604023.849999999627471
FS( 41 ),2736539.229999999981374,2528427.850000000093132,2722627.270000000018626,2599714.160000000149012,10587308.509999999776483
FS( 42 ),2712419.120000000111759,2579253.399999999906868,2732899.650000000372529,2636148.180000000167638,10660720.349999999627471
FS( 43 ),2688501.699999999720603,2617444.350000000093132,2712177.779999999795109,2586565.040000000037253,10604688.870000001043081
FS( 44 ),2681407.549999999813735,2624623.100000000093132,2712709.109999999869615,2569032.879999999888241,10587772.640000000596046
FS( 45 ),2693771.640000000130385,2663388.350000000093132,2701019.850000000093132,2557253.459999999962747,10615433.300000000745058
FS( 46 ),2708770.699999999720603,2690093.300000000279397,2711115.120000000111759,2575333.500000000000000,10685312.620000001043081
FS( 47 ),2686069.420000000391155,2681478.799999999813735,2711469.340000000316650,2554514.060000000055879,10633531.620000001043081
FS( 48 ),2686474.799999999813735,2694974.850000000093132,2767790.320000000298023,2572868.040000000037253,10722108.010000001639128
FS( 49 ),2666408.490000000223517,2676022.950000000186265,2754507.070000000298023,2604919.020000000018626,10701857.530000001192093
FS( 50 ),2659922.409999999683350,2665685.549999999813735,2743703.359999999869615,2613685.100000000093132,10682996.419999998062849
FS( 51 ),2680191.409999999683350,2656496.750000000465661,2773280.730000000447035,2634778.480000000447035,10744747.370000001043081
FS( 52 ),2672691.880000000353903,2673438.600000000093132,2746005.790000000037253,2628203.919999999925494,10720340.190000001341105
FS( 53 ),2687690.939999999944121,2649030.850000000093132,2750256.430000000167638,2655323.980000000447035,10742302.200000001117587
FS( 54 ),2678569.890000000130385,2624335.950000000186265,2749902.209999999962747,2652584.580000000074506,10705392.629999998956919
FS( 55 ),2725391.280000000260770,2615147.149999999906868,2726877.910000000149012,2673130.080000000074506,10740546.419999999925494
FS( 56 ),2740593.030000000260770,2618880.100000000093132,2725638.139999999664724,2691484.060000000055879,10776595.330000000074506
FS( 57 ),2768158.870000000111759,2618880.100000000093132,2731305.660000000149012,2687648.899999999906868,10805993.530000001192093
FS( 58 ),2742619.930000000167638,2609978.450000000186265,2726169.469999999739230,2728465.959999999962747,10807233.810000000521541
FS( 59 ),2696001.229999999981374,2621177.300000000279397,2689507.700000000186265,2749559.340000000316650,10756245.570000000298023
FS( 60 ),2673097.259999999776483,2664824.100000000093132,2817381.120000000111759,2739149.620000000111759,10894452.099999999627471
FS( 61 ),2654247.089999999850988,2639842.050000000279397,2772040.959999999962747,2762708.459999999962747,10828838.560000000521541
FS( 62 ),2651814.810000000521541,2628930.350000000093132,2779833.799999999813735,2727644.139999999664724,10788223.099999999627471
FS( 63 ),2672489.189999999944121,2621177.300000000279397,2760351.700000000186265,2716138.660000000149012,10770156.850000001490116
FS( 64 ),2690123.220000000204891,2636109.100000000093132,2747776.889999999664724,2727370.200000000186265,10801379.410000000149012
