代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11573460.839999999850988
真實報酬,1573460.839999999850988

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,26505.758575882129662
風險,105295.275221470918041
起點值,0.251727900612176
找到最佳解世代,1961
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
AAPL[0](6),CSCO[4](23),MRK[17](7),PFE[20](3),WBA[27](16),WMT[28](9),
FS( 12 ),1740283.840000000083819,1789889.859999999869615,1741525.420000000158325,1742142.659999999916181,1779706.550000000046566,1732008.250000000000000,10525560.580000000074506
FS( 13 ),1745274.880000000121072,1794066.939999999711290,1758559.299999999813735,1749074.189999999944121,1675575.599999999860302,1724126.500000000000000,10446681.409999998286366
FS( 14 ),1740283.840000000083819,1828527.850000000093132,1757662.780000000027940,1745993.510000000009313,1626572.800000000046566,1742178.250000000000000,10441223.030000001192093
FS( 15 ),1716160.479999999981374,1767960.189999999711290,1768421.020000000251457,1740602.320000000065193,1623231.699999999953434,1721329.750000000000000,10337709.460000000894070
FS( 16 ),1729469.919999999925494,1788845.589999999850988,1801144.000000000000000,1750614.530000000027940,1646619.399999999906868,1711159.750000000000000,10427857.189999999478459
FS( 17 ),1695780.400000000139698,1767960.189999999711290,1783213.600000000093132,1730590.109999999869615,1614322.099999999860302,1733533.750000000232831,10325404.149999998509884
FS( 18 ),1699523.679999999934807,1756473.219999999972060,1796213.140000000130385,1728279.600000000093132,1619890.599999999860302,1743703.750000000000000,10344087.990000000223517
FS( 19 ),1706802.280000000027940,1747074.789999999804422,1816833.100000000093132,1741372.489999999757856,1638266.650000000139698,1743958.000000000000000,10394311.310000000521541
FS( 20 ),1690581.400000000139698,1720968.039999999804422,1823557.000000000000000,1735211.129999999888241,1617106.349999999860302,1736584.750000000000000,10324012.669999999925494
FS( 21 ),1735084.840000000083819,1793022.669999999925494,1871520.820000000065193,1771409.119999999878928,1647176.249999999767169,1772688.250000000000000,10590905.949999999254942
FS( 22 ),1760455.960000000195578,1783624.239999999757856,1876003.420000000158325,1771409.119999999878928,1662768.049999999813735,1763280.999999999767169,10617545.789999999105930
FS( 23 ),1780836.040000000037253,1790934.129999999655411,1874210.380000000121072,1761396.909999999916181,1648846.799999999813735,1798876.000000000000000,10655104.259999999776483
FS( 24 ),1812030.040000000037253,1769004.459999999962747,1866141.700000000186265,1745993.510000000009313,1663324.899999999906868,1807266.250000000000000,10663764.859999999403954
FS( 25 ),1799968.360000000102445,1751251.869999999878928,1860762.580000000074506,1735981.299999999813735,1649403.649999999906868,1814385.250000000000000,10611757.009999999776483
FS( 26 ),1823883.760000000009313,1738720.629999999655411,1888554.700000000186265,1744453.169999999692664,1653858.449999999953434,1824555.250000000232831,10674029.959999999031425
FS( 27 ),1807039.000000000000000,1713658.149999999906868,1854486.939999999944121,1728279.600000000093132,1666109.150000000139698,1833454.000000000000000,10603030.839999999850988
FS( 28 ),1795809.159999999916181,1710525.339999999850988,1847314.780000000027940,1720577.899999999906868,1667222.850000000093132,1837267.750000000232831,10578721.779999999329448
FS( 29 ),1779380.320000000065193,1668754.539999999804422,1923518.979999999981374,1745993.510000000009313,1676132.449999999953434,1838539.000000000000000,10632322.799999998882413
FS( 30 ),1797264.880000000121072,1703215.449999999720603,1948621.540000000037253,1756775.889999999664724,1702861.249999999767169,1860658.750000000232831,10769401.759999999776483
FS( 31 ),1803087.760000000009313,1690684.209999999962747,1943242.420000000158325,1781421.329999999841675,1698406.449999999953434,1855573.750000000000000,10772419.919999999925494
FS( 32 ),1803295.719999999972060,1694861.289999999804422,1980896.260000000009313,1819159.659999999916181,1709543.449999999953434,1858624.749999999767169,10866385.129999998956919
FS( 33 ),1801216.120000000111759,1743941.979999999748543,1969689.760000000009313,1823010.510000000009313,1724578.399999999906868,1852268.499999999767169,10914709.269999999552965
FS( 34 ),1825131.520000000251457,1741853.439999999711290,1969689.760000000009313,1833022.719999999972060,1927828.649999999906868,1818707.500000000000000,11116237.589999999850988
FS( 35 ),1795393.239999999990687,1708436.799999999813735,1945931.979999999981374,1825321.019999999785796,1926714.949999999953434,1837013.500000000000000,11038815.489999998360872
FS( 36 ),1793937.520000000251457,1678152.969999999972060,1939656.340000000316650,1817619.320000000065193,1888849.150000000139698,1826843.499999999767169,10945062.800000000745058
FS( 37 ),1785411.159999999916181,1578947.319999999832362,1913657.260000000009313,1800675.579999999841675,1899429.299999999813735,1834216.750000000000000,10812341.369999999180436
FS( 38 ),1708258.000000000000000,1610275.419999999925494,1910519.439999999944121,1796824.729999999748543,1929499.199999999953434,1832691.250000000000000,10788072.039999999105930
FS( 39 ),1708050.040000000037253,1606098.339999999850988,1942345.899999999906868,1809147.449999999720603,1947318.399999999906868,1873117.000000000000000,10886081.129999998956919
FS( 40 ),1738412.200000000186265,1638470.709999999729916,2021687.920000000158325,1835333.229999999748543,1989082.149999999906868,1894728.250000000000000,11117718.459999999031425
FS( 41 ),1767734.560000000055879,1657267.569999999832362,1993895.799999999813735,1826091.189999999944121,2019708.900000000139698,1906423.750000000000000,11171125.769999999552965
FS( 42 ),1814525.560000000055879,1665621.729999999748543,1979999.740000000223517,1851506.799999999813735,2024720.549999999813735,1892440.000000000232831,11228818.379999998956919
FS( 43 ),1802879.800000000046566,1668754.539999999804422,1984930.600000000093132,1843805.100000000093132,2019708.900000000139698,1871845.750000000000000,11191928.689999999478459
FS( 44 ),1805791.239999999990687,1643692.059999999823049,1968344.979999999981374,1842264.760000000009313,1990752.699999999953434,1882778.500000000000000,11133628.239999998360872
FS( 45 ),1829290.719999999972060,1707392.530000000027940,1979103.219999999972060,1869990.879999999888241,1993536.949999999720603,1895491.000000000000000,11274809.299999998882413
FS( 46 ),1849670.800000000046566,1742897.709999999962747,1994344.060000000055879,1868450.540000000037253,1992980.099999999860302,1888626.250000000000000,11336973.460000000894070
FS( 47 ),1844679.760000000009313,1789889.859999999869615,1972379.320000000065193,1828401.699999999720603,2006344.500000000000000,1881252.999999999767169,11322952.140000000596046
FS( 48 ),1841560.360000000102445,1791978.399999999906868,1975068.880000000121072,1835333.229999999748543,2018038.350000000093132,1889389.000000000000000,11351372.219999998807907
FS( 49 ),1844263.840000000083819,1848368.979999999748543,1984930.600000000093132,1838413.909999999916181,2009685.600000000093132,1877693.499999999767169,11403360.429999999701977
FS( 50 ),1846967.320000000065193,1831660.659999999683350,1997930.140000000130385,1843805.100000000093132,2014140.400000000139698,1873371.250000000232831,11407878.869999999180436
FS( 51 ),1871714.560000000055879,1810775.259999999776483,1991206.240000000223517,1826861.359999999869615,2003003.399999999906868,1866252.250000000232831,11369817.070000000298023
FS( 52 ),1876705.599999999860302,1793022.669999999925494,1990757.979999999981374,1846885.780000000027940,1988525.300000000046566,1881761.500000000232831,11377662.830000000074506
FS( 53 ),1874210.080000000074506,1811819.530000000027940,1975068.880000000121072,1851506.799999999813735,1980172.550000000046566,1892948.500000000000000,11385730.339999999850988
FS( 54 ),1890638.919999999925494,1986212.619999999878928,1969689.760000000009313,1849966.459999999729916,1977945.150000000139698,1834471.000000000232831,11508927.910000000149012
FS( 55 ),1925576.200000000186265,1990389.699999999720603,1942794.160000000149012,1832252.549999999813735,1995764.350000000093132,1830402.999999999767169,11517183.960000000894070
FS( 56 ),1976110.479999999981374,1977858.459999999962747,1961172.820000000065193,1841494.589999999850988,2006344.500000000000000,1838284.750000000000000,11601269.599999999627471
FS( 57 ),1949075.679999999934807,2000832.399999999906868,1924863.760000000009313,1824550.850000000093132,1985184.199999999953434,1816165.000000000232831,11500675.889999998733401
FS( 58 ),1987132.360000000102445,2007098.019999999785796,1923518.979999999981374,1825321.019999999785796,1979615.699999999720603,1824809.500000000000000,11547499.579999998211861
FS( 59 ),1968623.919999999925494,1997699.589999999850988,1918588.119999999878928,1828401.699999999720603,1985741.049999999813735,1819470.250000000000000,11518528.629999998956919
FS( 60 ),1970495.560000000055879,2005009.479999999748543,1932932.439999999944121,1849196.290000000037253,1985184.199999999953434,1833454.000000000000000,11576275.970000000670552
FS( 61 ),2007512.440000000176951,2021717.799999999813735,1929794.619999999878928,1839954.250000000000000,1982399.949999999953434,1843369.750000000000000,11624752.810000000521541
FS( 62 ),2004808.960000000195578,2007098.019999999785796,1919932.899999999906868,1836873.570000000065193,1971262.949999999953434,1841081.500000000000000,11581061.900000000372529
FS( 63 ),2000857.719999999972060,2005009.479999999748543,1930242.880000000121072,1845345.439999999944121,1965694.449999999720603,1850234.500000000000000,11597388.469999998807907
FS( 64 ),1972367.200000000186265,1973681.379999999655411,1932932.439999999944121,1836103.399999999906868,1960682.800000000046566,1837013.500000000000000,11512784.720000000670552
FS( 65 ),1976318.440000000176951,1992478.239999999757856,1929794.619999999878928,1837643.739999999757856,1991309.549999999813735,1845912.249999999767169,11573460.839999999850988
