訓練日期,20140204 - 20140507
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11114483.269999999552965
真實報酬,1114483.269999999552965

夏普值報酬,0.102748327000000
夏普值風險,0.027620363067869
夏普值,3.720020868209645

預期報酬,17448.408700475090882
風險,72452.318350197587279
趨勢值,0.240826092218863
找到最佳解世代,2163
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
CVX[5](4),INTC[11](8),KO[14](13),MCD[15](7),TRV[22](9),UNH[23](21),
20140224,1711803.960000000195578,1713986.519999999785796,1680106.599999999860302,1729017.160000000149012,1732698.699999999720603,1790827.200000000186265,10358444.140000000596046
20140225,1724100.679999999934807,1713290.630000000121072,1692203.139999999897555,1731167.200000000186265,1730622.199999999953434,1774570.800000000046566,10365958.650000000372529
20140226,1732198.520000000018626,1725816.649999999906868,1696683.339999999850988,1718087.790000000270084,1732491.050000000046566,1792005.200000000186265,10397286.550000000745058
20140227,1734897.800000000046566,1723033.090000000083819,1705643.739999999757856,1703575.020000000018626,1741212.349999999627471,1791062.800000000046566,10399428.800000000745058
20140228,1729499.239999999990687,1723033.090000000083819,1711468.000000000000000,1704829.210000000195578,1741004.699999999953434,1820512.800000000046566,10430351.040000000968575
20140303,1722151.200000000186265,1704939.949999999953434,1707883.839999999850988,1689958.100000000093132,1727299.800000000046566,1816507.599999999860302,10368744.490000000223517
20140304,1729349.280000000027940,1712594.739999999990687,1716396.219999999972060,1701783.320000000298023,1746611.249999999767169,1840774.399999999906868,10447513.210000000894070
20140305,1716002.840000000083819,1704939.949999999953434,1718188.299999999813735,1702500.000000000000000,1752010.149999999906868,1837476.000000000000000,10431121.240000000223517
20140306,1722301.159999999916181,1713986.519999999785796,1723564.539999999804422,1712533.520000000018626,1752633.100000000093132,1829230.000000000000000,10454252.839999999850988
20140307,1725750.239999999990687,1714682.409999999916181,1727148.699999999720603,1711100.160000000149012,1742873.550000000046566,1823575.600000000325963,10445134.660000000149012
20140310,1737147.200000000186265,1728600.209999999962747,1731628.899999999906868,1705725.060000000288710,1739758.799999999813735,1834884.399999999906868,10477748.570000002160668
20140311,1717202.520000000018626,1720945.419999999925494,1738349.199999999720603,1769867.920000000158325,1735605.799999999813735,1832528.400000000139698,10514503.259999999776483
20140312,1734297.960000000195578,1723033.090000000083819,1723564.539999999804422,1768613.729999999981374,1732491.050000000046566,1828287.599999999860302,10510291.970000000670552
20140313,1716302.760000000009313,1709811.179999999934807,1701163.539999999804422,1744604.950000000186265,1715048.449999999953434,1814387.200000000186265,10401322.079999998211861
20140314,1711054.159999999916181,1704939.949999999953434,1710123.939999999944121,1748367.520000000018626,1716501.999999999767169,1783523.600000000093132,10374515.169999999925494
20140317,1725600.280000000027940,1718857.750000000000000,1714604.139999999897555,1748725.860000000102445,1734775.199999999953434,1808497.200000000186265,10451064.429999999701977
20140318,1743145.600000000093132,1727208.429999999934807,1720428.399999999906868,1743529.930000000167638,1743288.849999999860302,1837711.600000000093132,10515316.809999998658895
20140319,1727549.760000000009313,1741126.229999999981374,1708779.879999999888241,1721850.360000000102445,1727715.099999999860302,1883889.199999999953434,10510914.529999999329448
20140320,1732198.520000000018626,1769657.719999999972060,1722668.500000000000000,1730808.860000000102445,1728338.050000000046566,1920878.400000000139698,10604554.050000000745058
20140321,1733998.040000000037253,1751564.580000000074506,1722220.479999999748543,1710562.650000000139698,1739758.799999999813735,1916402.000000000232831,10574510.550000000745058
20140324,1737297.159999999916181,1748085.130000000121072,1720428.399999999906868,1723283.720000000204891,1741419.999999999767169,1914988.400000000139698,10585506.810000000521541
20140325,1755892.200000000186265,1771745.389999999897555,1730284.839999999850988,1718446.130000000121072,1744950.049999999813735,1910747.599999999860302,10632070.209999999031425
20140326,1765189.719999999972060,1766178.269999999785796,1729836.819999999832362,1717191.940000000176951,1732491.050000000046566,1921114.000000000232831,10632005.800000000745058
20140327,1764589.880000000121072,1761307.039999999804422,1739245.239999999757856,1722925.380000000121072,1733736.949999999720603,1908862.800000000046566,10630671.290000000968575
20140328,1777036.560000000055879,1782879.630000000121072,1745069.500000000000000,1742275.739999999990687,1744119.449999999720603,1922998.800000000279397,10714383.680000001564622
20140331,1783184.919999999925494,1796101.539999999804422,1732076.919999999692664,1756430.170000000158325,1767168.599999999627471,1931716.000000000000000,10766682.149999998509884
20140401,1784534.560000000055879,1808627.559999999823049,1720876.419999999692664,1754100.960000000195578,1752425.449999999953434,1928182.000000000232831,10748750.949999999254942
20140402,1789783.159999999916181,1801668.659999999916181,1717292.259999999776483,1748546.690000000176951,1757824.350000000093132,1922763.200000000186265,10737882.320000000298023
20140403,1785134.400000000139698,1837854.939999999944121,1705643.739999999757856,1749800.880000000121072,1764676.800000000046566,1937841.600000000093132,10780956.359999999403954
20140404,1781535.360000000102445,1820457.689999999944121,1712364.039999999804422,1753563.450000000186265,1769245.099999999860302,1920878.400000000139698,10758048.040000000968575
20140407,1759641.200000000186265,1843422.059999999823049,1730284.839999999850988,1738154.830000000307336,1765092.099999999860302,1910276.400000000139698,10746875.429999999701977
20140408,1766539.360000000102445,1872649.439999999944121,1742829.399999999906868,1757326.020000000018626,1759485.550000000046566,1900381.199999999953434,10799214.969999998807907
20140409,1786034.159999999916181,1877520.669999999925494,1746861.579999999841675,1762163.610000000102445,1782119.399999999674037,1917580.000000000000000,10872283.419999999925494
20140410,1749893.800000000046566,1839246.719999999972060,1742381.379999999888241,1781513.970000000204891,1764884.449999999720603,1884596.000000000000000,10762520.320000000298023
20140411,1754992.440000000176951,1821849.469999999972060,1730732.859999999869615,1779005.590000000316650,1771321.599999999860302,1860093.600000000093132,10717999.559999998658895
20140414,1780035.760000000009313,1848293.289999999804422,1735213.059999999823049,1793697.530000000027940,1775474.599999999860302,1865512.400000000139698,10798230.640000000596046
20140415,1804029.360000000102445,1862906.979999999981374,1800175.959999999962747,1806597.770000000018626,1783572.949999999953434,1873287.200000000186265,10930574.219999998807907
20140416,1826973.239999999990687,1874041.219999999972060,1818544.780000000027940,1806597.770000000018626,1802053.799999999813735,1842188.000000000000000,10970402.809999998658895
20140417,1854715.840000000083819,1881696.010000000009313,1824369.039999999804422,1796205.910000000149012,1799977.300000000046566,1785408.400000000139698,10942376.500000000000000
20140421,1863113.600000000093132,1875433.000000000000000,1825713.099999999860302,1785814.050000000279397,1794163.100000000093132,1765853.600000000093132,10910094.449999999254942
20140422,1859514.560000000055879,1867778.209999999962747,1823921.019999999785796,1779543.100000000093132,1804337.949999999953434,1784937.200000000186265,10920036.039999999105930
20140423,1869861.800000000046566,1861515.199999999953434,1824817.059999999823049,1776138.870000000111759,1830086.549999999813735,1774806.400000000139698,10937229.880000000819564
20140424,1864013.360000000102445,1861515.199999999953434,1823473.000000000000000,1788859.940000000176951,1839638.449999999953434,1804492.000000000232831,10981995.950000001117587
20140425,1859364.600000000093132,1827416.590000000083819,1837361.619999999878928,1804806.070000000298023,1833824.250000000000000,1782581.199999999953434,10945358.330000000074506
20140428,1885457.640000000130385,1832287.819999999832362,1838257.659999999916181,1797280.930000000167638,1861441.699999999953434,1784466.000000000000000,10999195.750000000000000
20140429,1889056.679999999934807,1842726.169999999925494,1817648.739999999757856,1818602.160000000149012,1887605.600000000093132,1771743.600000000093132,11027386.949999999254942
20140430,1882308.479999999981374,1857339.860000000102445,1827505.179999999934807,1816452.120000000111759,1880960.799999999813735,1767974.000000000232831,11032544.439999999478459
20140501,1873610.800000000046566,1840638.500000000000000,1827057.159999999916181,1808926.979999999981374,1886152.049999999813735,1765853.600000000093132,11002243.089999997988343
20140502,1870311.679999999934807,1837854.939999999944121,1834673.500000000000000,1817347.970000000204891,1889682.099999999860302,1767738.400000000139698,11017612.589999999850988
20140505,1879909.120000000111759,1821153.580000000074506,1826161.119999999878928,1812152.040000000270084,1882414.350000000093132,1772450.400000000139698,10994244.610000001266599
20140506,1874060.679999999934807,1823241.250000000000000,1814064.579999999841675,1808747.810000000288710,1866425.299999999813735,1773157.200000000186265,10959700.820000000298023
20140507,1892955.640000000130385,1835071.380000000121072,1832881.419999999692664,1826843.979999999981374,1891135.649999999674037,1835591.199999999953434,11114483.269999999552965
