代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11683518.480000000447035
真實報酬,1683518.480000000447035

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,14518.703346340900680
風險,128012.290623809501994
起點值,0.113416479586379
找到最佳解世代,1619
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
KO[14](1),MCD[15](4),PG[21](2),
FS( 38 ),3556649.110000000335276,3520524.940000000409782,3433678.439999999944121,10510853.490000000223517
FS( 39 ),3539525.830000000074506,3499293.340000000782311,3431427.099999999627471,10470247.269999999552965
FS( 40 ),3503138.860000000335276,3479831.040000000037253,3359705.839999999850988,10342676.740000000223517
FS( 41 ),3468178.830000000074506,3468330.590000000782311,3351022.099999999627471,10287532.519999999552965
FS( 42 ),3513840.910000000149012,3525302.050000000745058,3387686.779999999795109,10426830.740000000223517
FS( 43 ),3505279.270000000484288,3508139.840000000782311,3309854.739999999757856,10323274.850000001490116
FS( 44 ),3565924.219999999739230,3517163.270000000484288,3338478.919999999925494,10421567.410000000149012
FS( 45 ),3567351.160000000149012,3532202.320000000298023,3366781.479999999981374,10466335.960000000894070
FS( 46 ),3623001.820000000298023,3541048.820000000298023,3432713.580000000074506,10596765.220000000670552
FS( 47 ),3667236.959999999962747,3592712.380000000819564,3453618.879999999888241,10713569.220000000670552
FS( 48 ),3673658.190000000409782,3635706.370000000111759,3498324.059999999590218,10807689.620000001043081
FS( 49 ),3665810.020000000484288,3561749.630000000819564,3496715.959999999962747,10724276.610000001266599
FS( 50 ),3662242.669999999925494,3596427.910000000149012,3517942.879999999888241,10776614.460000000894070
FS( 51 ),3684360.240000000223517,3625975.220000000670552,3527591.479999999981374,10837927.940000001341105
FS( 52 ),3647973.270000000484288,3618190.300000000745058,3567150.739999999757856,10833315.310000000521541
FS( 53 ),3660815.730000000447035,3632344.700000000186265,3576477.719999999739230,10869639.150000000372529
FS( 54 ),3629423.049999999813735,3606159.060000000521541,3569723.699999999720603,10805306.810000000521541
FS( 55 ),3613013.240000000223517,3618544.160000000149012,3525018.519999999552965,10756576.919999999925494
FS( 56 ),3647259.799999999813735,3619251.880000000819564,3551391.359999999869615,10817904.040000000968575
FS( 57 ),3685787.179999999701977,3629336.890000000596046,3593845.199999999720603,10908970.269999999552965
FS( 58 ),3677939.009999999776483,3614120.910000000149012,3576477.719999999739230,10868538.640000000596046
FS( 59 ),3704337.400000000372529,3608105.290000000037253,3612820.779999999795109,10925264.470000000670552
FS( 60 ),3692921.879999999888241,3639775.760000000707805,3593201.959999999962747,10925900.600000001490116
FS( 61 ),3647259.799999999813735,3619251.880000000819564,3529199.580000000074506,10795712.260000001639128
FS( 62 ),3644405.919999999925494,3649683.840000000782311,3530807.679999999701977,10824898.440000001341105
FS( 63 ),3632990.400000000372529,3674277.110000000335276,3526626.620000000111759,10833895.130000000819564
FS( 64 ),3681506.360000000335276,3650214.630000000819564,3553642.699999999720603,10885364.690000001341105
FS( 65 ),3708618.219999999739230,3708247.670000000856817,3585483.080000000074506,11002349.970000000670552
FS( 66 ),3717179.860000000335276,3765396.060000000521541,3669104.279999999795109,11151681.200000001117587
FS( 67 ),3717893.330000000074506,3737618.050000000745058,3639193.620000000111759,11094706.000000000000000
FS( 68 ),3710045.160000000149012,3753895.610000000335276,3668139.419999999925494,11132081.190000001341105
FS( 69 ),3680792.890000000596046,3752657.100000000558794,3631474.739999999757856,11064925.730000000447035
FS( 70 ),3697202.700000000186265,3768757.730000000447035,3658490.819999999832362,11124452.250000000000000
FS( 71 ),3712899.040000000037253,3763272.900000000372529,3678752.879999999888241,11154925.820000000298023
FS( 72 ),3718606.799999999813735,3768580.800000000745058,3698371.699999999720603,11185560.300000000745058
FS( 73 ),3719320.270000000484288,3790166.260000000707805,3714131.080000000074506,11223618.610000001266599
FS( 74 ),3720033.740000000223517,3781496.690000000409782,3727317.500000000000000,11228848.929999999701977
FS( 75 ),3722887.620000000111759,3781319.760000000707805,3728925.599999999627471,11233133.980000000447035
FS( 76 ),3712185.570000000298023,3820244.360000000335276,3712844.599999999627471,11245275.530000001192093
FS( 77 ),3666523.490000000223517,3784150.640000000596046,3699014.939999999944121,11149690.070000000298023
FS( 78 ),3654394.500000000000000,3804143.730000000447035,3708341.919999999925494,11166881.150000000372529
FS( 79 ),3876283.669999999925494,3791935.560000000521541,3661707.019999999552965,11329927.250000000000000
FS( 80 ),3837042.820000000298023,3764865.270000000484288,3621504.519999999552965,11223413.609999999403954
FS( 81 ),3786386.450000000186265,3794235.650000000372529,3626972.059999999590218,11207595.160000000149012
FS( 82 ),3864868.150000000372529,3814405.670000000856817,3690009.580000000074506,11369284.400000002235174
FS( 83 ),3852025.690000000409782,3803789.870000000111759,3730855.319999999832362,11386671.880000000819564
FS( 84 ),3832762.000000000000000,3757080.350000000558794,3872689.739999999757856,11462533.089999999850988
FS( 85 ),3754993.770000000484288,3728417.690000000409782,3796465.799999999813735,11279878.260000001639128
FS( 86 ),3712185.570000000298023,3737794.980000000447035,3754333.580000000074506,11204315.130000000819564
FS( 87 ),3733589.669999999925494,3794943.370000000111759,3745006.599999999627471,11273540.640000000596046
FS( 88 ),3685073.709999999962747,3723640.580000000074506,3636942.279999999795109,11045657.570000000298023
FS( 89 ),3729308.850000000558794,3787866.170000000856817,3675536.679999999701977,11192712.700000001117587
FS( 90 ),3794234.620000000111759,3836521.920000000856817,3715417.559999999590218,11346175.100000001490116
FS( 91 ),3830621.589999999850988,3857399.660000000149012,3777168.599999999627471,11465190.849999999627471
FS( 92 ),3811357.900000000372529,3912955.680000000633299,3755941.679999999701977,11480256.260000001639128
FS( 93 ),3795661.560000000521541,3842360.610000000335276,3731820.179999999701977,11369843.350000001490116
FS( 94 ),3817065.660000000149012,3887831.620000000111759,3771057.819999999832362,11475956.099999999627471
FS( 95 ),3780678.690000000409782,3830329.370000000111759,3724101.299999999813735,11335110.359999999403954
FS( 96 ),3843464.049999999813735,3861999.840000000782311,3775560.500000000000000,11481025.390000000596046
FS( 97 ),3881991.429999999701977,3865538.440000000409782,3833130.479999999981374,11580661.349999999627471
FS( 98 ),3901968.589999999850988,3871023.270000000484288,3867222.199999999720603,11640215.060000000521541
FS( 99 ),3844177.520000000484288,3865538.440000000409782,3824125.120000000111759,11533842.080000001937151
FS( 100 ),3859873.860000000335276,3905170.760000000707805,3833773.719999999739230,11598819.339999999850988
FS( 101 ),3887699.190000000409782,3883585.300000000745058,3840849.359999999869615,11612134.850000001490116
FS( 102 ),3834188.940000000409782,3798128.110000000335276,3773309.159999999683350,11405627.210000000894070
FS( 103 ),3891266.540000000037253,3837937.360000000335276,3837633.159999999683350,11566838.060000000521541
FS( 104 ),3904109.000000000000000,3822721.380000000819564,3877192.419999999925494,11604023.800000000745058
FS( 105 ),3931934.330000000074506,3858461.240000000223517,3904530.120000000111759,11694926.690000001341105
FS( 106 ),3927653.509999999776483,3902162.950000000186265,3897454.479999999981374,11727271.939999999478459
FS( 107 ),3926940.040000000037253,3856691.940000000409782,3866900.580000000074506,11650533.560000000521541
FS( 108 ),3945490.259999999776483,3841829.820000000298023,3903243.639999999664724,11690564.719999998807907
FS( 109 ),3979023.350000000558794,3866069.230000000447035,3962743.339999999850988,11807836.920000001788139
FS( 110 ),3932647.799999999813735,3883585.300000000745058,3948270.439999999944121,11764504.540000000968575
FS( 111 ),3940495.969999999739230,3893139.520000000484288,3951808.259999999776483,11785444.750000000000000
FS( 112 ),3889839.600000000558794,3844129.910000000149012,3929294.859999999869615,11663265.370000001043081
FS( 113 ),3881277.959999999962747,3710016.970000000670552,3855643.879999999888241,11446939.810000000521541
FS( 114 ),3907676.350000000558794,3719217.330000000074506,3900349.059999999590218,11527243.740000000223517
FS( 115 ),3931934.330000000074506,3753718.680000000633299,3948592.059999999590218,11634246.070000000298023
FS( 116 ),3871289.379999999888241,3712317.060000000521541,3927686.759999999776483,11511294.199999999254942
FS( 117 ),3849885.280000000260770,3669676.930000000633299,3851462.819999999832362,11371026.030000001192093
FS( 118 ),3869862.440000000409782,3713024.780000000260770,3896811.239999999757856,11479699.460000000894070
FS( 119 ),3869148.969999999739230,3723286.720000000670552,3904851.739999999757856,11497288.429999999701977
FS( 120 ),3889839.600000000558794,3724879.090000000782311,3920611.120000000111759,11535330.810000002384186
FS( 121 ),3846317.929999999701977,3704886.000000000000000,3931546.199999999720603,11482751.129999998956919
FS( 122 ),3862727.740000000223517,3742925.950000000186265,3963064.959999999962747,11568719.650000000372529
FS( 123 ),3874143.259999999776483,3751418.590000000782311,3975608.139999999664724,11601170.990000000223517
FS( 124 ),3864868.150000000372529,3762211.320000000298023,3956632.559999999590218,11583713.030000001192093
FS( 125 ),3880564.490000000223517,3761680.530000000260770,3998121.540000000037253,11640367.560000000521541
FS( 126 ),3874856.730000000447035,3771588.610000000335276,4006483.659999999683350,11652930.000000000000000
FS( 127 ),3884131.839999999850988,3799012.760000000707805,4000372.879999999888241,11683518.480000000447035
