代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11992318.429999999701977
真實報酬,1992318.429999999701977

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,15856.329816871235380
風險,118027.022458758612629
起點值,0.134344910907261
找到最佳解世代,1749
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
AAPL[0](1),INTC[11](2),NKE[19](11),PG[21](18),TRV[22](7),
FS( 27 ),2171100.520000000018626,2026933.199999999953434,1963978.790000000037253,2045307.079999999608845,2162338.149999999441206,10369657.739999998360872
FS( 28 ),2162054.420000000391155,2023855.120000000111759,1974731.389999999664724,2051032.699999999720603,2163760.089999999850988,10375433.719999998807907
FS( 29 ),2188934.259999999776483,2029241.760000000009313,2006451.559999999823049,2034602.659999999916181,2181297.349999999627471,10440527.589999999850988
FS( 30 ),2192294.239999999757856,2035397.919999999925494,2005376.299999999813735,2031615.379999999888241,2201915.479999999515712,10466599.320000000298023
FS( 31 ),2192811.160000000149012,2026163.679999999934807,1977957.169999999925494,2020662.019999999785796,2195753.740000000223517,10413347.769999999552965
FS( 32 ),2174202.040000000037253,2001539.040000000037253,1960753.009999999776483,2004729.859999999869615,2189118.019999999552965,10330341.969999998807907
FS( 33 ),2206251.080000000074506,1986918.160000000149012,1987634.509999999776483,1999751.059999999823049,2194094.809999999590218,10374649.619999999180436
FS( 34 ),2232355.540000000037253,2003847.599999999860302,2002150.520000000018626,1989793.459999999962747,2198597.620000000111759,10426744.740000000223517
FS( 35 ),2232872.459999999962747,2003847.599999999860302,1969355.090000000083819,1997261.659999999916181,2196227.719999999739230,10399564.529999999329448
FS( 36 ),2238817.040000000037253,2016159.919999999925494,1994623.699999999953434,2003734.099999999627471,2200730.530000000260770,10454065.289999999105930
FS( 37 ),2242177.020000000018626,2012312.319999999832362,2012903.119999999878928,2007717.139999999897555,2204285.379999999888241,10479394.980000000447035
FS( 38 ),2267506.100000000093132,2023085.599999999860302,2038709.360000000102445,2004480.919999999692664,2200730.530000000260770,10534512.510000001639128
FS( 39 ),2310152.000000000000000,2055405.440000000176951,2059676.929999999934807,1993527.559999999823049,2215660.899999999441206,10634422.829999998211861
FS( 40 ),2303948.959999999962747,2068487.280000000027940,2050537.219999999972060,1994025.439999999711290,2214949.929999999701977,10631948.830000000074506
FS( 41 ),2346077.939999999944121,2074643.440000000176951,2053225.369999999878928,2001493.639999999897555,2230117.290000000037253,10705557.679999999701977
FS( 42 ),2337290.300000000279397,2102346.160000000149012,2067741.379999999888241,2011202.300000000046566,2214712.940000000409782,10733293.080000001937151
FS( 43 ),2321265.780000000260770,2097729.040000000037253,2062365.079999999841675,2000497.879999999888241,2220874.679999999701977,10702732.460000000894070
FS( 44 ),2354090.200000000186265,2128509.839999999850988,2031182.540000000037253,1989793.459999999962747,2213764.979999999515712,10717341.019999999552965
FS( 45 ),2380970.040000000037253,2123892.720000000204891,2046773.809999999823049,1988050.879999999888241,2243625.719999999739230,10783313.169999998062849
FS( 46 ),2390274.600000000093132,2128509.839999999850988,2039784.619999999878928,1994274.379999999888241,2250735.419999999925494,10803578.859999999403954
FS( 47 ),2383554.640000000130385,2167755.360000000335276,2049461.959999999729916,1992282.859999999869615,2236279.030000000260770,10829333.850000001490116
FS( 48 ),2421806.720000000204891,2147747.839999999850988,2061289.820000000065193,1993776.500000000000000,2243388.729999999515712,10868009.609999999403954
FS( 49 ),2436022.020000000018626,2173142.000000000000000,2051612.479999999748543,1995270.139999999897555,2253816.290000000037253,10909862.929999999701977
FS( 50 ),2425942.080000000074506,2149286.879999999888241,2019892.309999999823049,1993029.679999999934807,2249076.490000000223517,10837227.439999999478459
FS( 51 ),2385363.860000000335276,2151595.439999999944121,2010214.969999999972060,1985561.479999999981374,2251446.389999999664724,10784182.140000000596046
FS( 52 ),2359259.399999999906868,2298573.760000000242144,2005913.929999999934807,1982574.199999999720603,2261162.979999999515712,10907484.269999999552965
FS( 53 ),2383037.720000000204891,2309347.040000000037253,2004301.040000000037253,1983818.899999999674037,2262347.929999999701977,10942852.629999998956919
FS( 54 ),2379936.200000000186265,2304729.919999999925494,2018817.049999999813735,1981080.559999999823049,2256660.169999999925494,10941223.900000000372529
FS( 55 ),2382520.800000000279397,2303190.879999999888241,2048386.699999999953434,1986308.300000000046566,2260925.990000000223517,10981332.669999999925494
FS( 56 ),2374250.080000000074506,2315503.200000000186265,2033333.059999999823049,1997510.599999999627471,2265665.790000000037253,10986262.730000000447035
FS( 57 ),2349696.379999999888241,2323967.919999999925494,2018817.049999999813735,1989793.459999999962747,2241729.799999999813735,10924004.609999999403954
FS( 58 ),2347628.700000000186265,2326276.479999999981374,2028494.389999999664724,1979586.919999999692664,2250261.440000000409782,10932247.929999999701977
FS( 59 ),2333413.399999999906868,2347053.520000000018626,2015591.270000000018626,1966890.979999999981374,2243625.719999999739230,10906574.890000000596046
FS( 60 ),2335481.080000000074506,2376295.279999999795109,2055913.520000000018626,1974608.119999999646097,2248128.530000000260770,10990426.529999997466803
FS( 61 ),2349437.920000000391155,2368600.080000000074506,2066128.489999999990687,1957182.319999999832362,2237463.979999999515712,10978812.789999999105930
FS( 62 ),2377351.600000000093132,2380142.879999999888241,2088171.320000000065193,1967139.919999999692664,2225851.469999999739230,11038657.190000001341105
FS( 63 ),2401905.300000000279397,2377834.319999999832362,2084945.540000000037253,1956435.500000000000000,2229406.319999999366701,11050526.980000000447035
FS( 64 ),2417154.439999999944121,2383990.479999999981374,2096773.399999999906868,1973612.359999999869615,2256423.179999999701977,11127953.859999999403954
FS( 65 ),2416120.600000000093132,2383990.479999999981374,2091397.099999999860302,1980582.679999999934807,2242440.769999999552965,11114531.629999998956919
FS( 66 ),2430335.899999999906868,2396302.800000000279397,2109138.889999999664724,1991038.159999999916181,2247654.549999999813735,11174470.300000000745058
FS( 67 ),2480477.140000000130385,2387838.080000000074506,2114515.189999999944121,1996265.899999999674037,2240781.839999999850988,11219878.150000000372529
FS( 68 ),2464452.619999999646097,2369369.600000000093132,2088171.320000000065193,2005476.679999999934807,2231065.250000000000000,11158535.470000000670552
FS( 69 ),2465486.459999999962747,2377064.800000000279397,2115590.450000000186265,2033109.019999999785796,2244336.690000000409782,11235587.420000001788139
FS( 70 ),2456440.360000000335276,2405537.040000000037253,2083332.649999999906868,2031615.379999999888241,2234857.089999999850988,11211782.519999999552965
FS( 71 ),2461092.640000000130385,2404767.520000000018626,2077956.349999999860302,2020413.079999999608845,2243862.709999999962747,11208092.300000000745058
FS( 72 ),2492883.220000000204891,2423236.000000000000000,2095698.139999999664724,2024396.119999999646097,2264717.830000000074506,11300931.310000000521541
FS( 73 ),2463677.239999999757856,2440165.439999999944121,2097848.660000000149012,2022902.479999999981374,2273960.440000000409782,11298554.260000001639128
FS( 74 ),2449720.399999999906868,2666404.319999999832362,2067741.379999999888241,2014936.399999999674037,2266139.769999999552965,11464942.269999999552965
FS( 75 ),2406040.660000000149012,2593299.920000000391155,2057526.410000000149012,2001493.639999999897555,2244336.690000000409782,11302697.320000000298023
FS( 76 ),2440674.300000000279397,2593299.920000000391155,2083870.279999999795109,2005227.739999999757856,2259504.049999999813735,11382576.289999999105930
FS( 77 ),2428009.759999999776483,2621002.640000000130385,2065053.229999999748543,1998506.359999999869615,2257608.129999999888241,11370180.120000001043081
FS( 78 ),2448169.640000000130385,2677177.600000000093132,2070967.160000000149012,1994025.439999999711290,2171580.759999999776483,11361920.599999999627471
FS( 79 ),2512009.259999999776483,2654861.520000000018626,2080106.869999999878928,1991287.099999999627471,2175135.610000000335276,11413400.359999999403954
FS( 80 ),2507873.899999999906868,2635623.520000000018626,2112902.299999999813735,1998008.479999999981374,2201204.509999999776483,11455612.709999999031425
FS( 81 ),2524415.339999999850988,2635623.520000000018626,2089246.579999999841675,1980582.679999999934807,2182719.290000000037253,11412587.410000000149012
FS( 82 ),2559307.439999999944121,2634084.479999999981374,2107526.000000000000000,1973114.479999999981374,2177505.509999999776483,11451537.910000000149012
FS( 83 ),2542766.000000000000000,2631006.399999999906868,2099461.549999999813735,1957929.139999999897555,2159494.269999999552965,11390657.359999999403954
FS( 84 ),2536821.420000000391155,2643318.720000000204891,2140321.430000000167638,1945731.079999999608845,2155228.450000000186265,11421421.100000001490116
FS( 85 ),2470914.119999999646097,2607920.800000000279397,2073655.309999999823049,1924820.119999999646097,2122523.830000000074506,11199834.179999999701977
FS( 86 ),2484612.500000000000000,2596378.000000000000000,2063977.969999999972060,1982823.139999999897555,2123708.780000000260770,11251500.390000000596046
FS( 87 ),2470655.660000000149012,2620233.119999999646097,2074192.939999999711290,1972118.719999999739230,2130581.490000000223517,11267781.929999997839332
FS( 88 ),2458508.040000000037253,2525582.160000000149012,2067741.379999999888241,1976848.579999999608845,2112096.269999999552965,11140776.429999999701977
FS( 89 ),2454372.679999999701977,2527890.720000000204891,2073655.309999999823049,2018670.500000000000000,2125841.690000000409782,11200430.900000002235174
FS( 90 ),2441966.600000000093132,2514808.879999999888241,2052150.110000000102445,1995021.199999999720603,2130581.490000000223517,11134528.280000001192093
FS( 91 ),2448686.560000000055879,2508652.720000000204891,2071504.790000000037253,2015185.339999999850988,2144326.910000000149012,11188356.320000000298023
FS( 92 ),2480994.060000000055879,2540972.560000000055879,2071504.790000000037253,2028379.159999999916181,2148592.729999999515712,11270443.300000000745058
FS( 93 ),2480477.140000000130385,2549437.280000000260770,2062902.709999999729916,2026885.519999999785796,2158783.299999999813735,11278485.949999999254942
FS( 94 ),2513301.560000000055879,2624080.720000000204891,2076881.090000000083819,2028379.159999999916181,2163049.120000000111759,11405691.649999998509884
FS( 95 ),2520021.520000000018626,2611768.399999999906868,2077956.349999999860302,2040079.339999999850988,2185563.169999999925494,11435388.779999999329448
FS( 96 ),2532427.600000000093132,2629467.360000000335276,2073655.309999999823049,2035847.359999999869615,2183430.259999999776483,11454827.890000000596046
FS( 97 ),2562925.879999999888241,2647935.839999999850988,2111827.040000000037253,2052277.399999999674037,2203811.399999999441206,11578777.559999998658895
FS( 98 ),2598334.899999999906868,2642549.200000000186265,2110751.779999999795109,2058500.899999999674037,2201915.479999999515712,11612052.259999997913837
FS( 99 ),2599368.739999999757856,2654861.520000000018626,2121504.379999999888241,2061488.179999999934807,2206655.280000000260770,11643878.100000001490116
FS( 100 ),2599627.200000000186265,2704880.319999999832362,2122042.009999999776483,2073188.359999999869615,2226325.450000000186265,11726063.339999999850988
FS( 101 ),2618753.239999999757856,2688720.399999999906868,2131719.349999999627471,2075926.699999999720603,2221822.639999999664724,11736942.329999998211861
FS( 102 ),2624439.360000000335276,2678716.640000000130385,2151074.029999999795109,2079660.800000000046566,2234620.099999999627471,11768510.929999999701977
FS( 103 ),2607639.459999999962747,2677947.119999999646097,2136558.020000000018626,2075677.759999999776483,2232487.190000000409782,11730309.550000000745058
FS( 104 ),2639688.500000000000000,2677177.600000000093132,2143009.580000000074506,2073935.179999999934807,2245758.629999999888241,11779569.489999998360872
FS( 105 ),2642790.020000000018626,2666404.319999999832362,2118816.229999999515712,2066964.859999999869615,2235805.049999999813735,11730780.480000000447035
FS( 106 ),2649251.520000000018626,2687181.360000000335276,2111827.040000000037253,2068956.379999999888241,2244573.679999999701977,11761789.980000000447035
FS( 107 ),2669928.319999999832362,2660248.160000000149012,2131181.719999999739230,2065720.159999999916181,2240070.870000000111759,11767149.230000000447035
FS( 108 ),2557239.759999999776483,2660248.160000000149012,2118816.229999999515712,2063728.639999999897555,2238885.919999999925494,11638918.709999999031425
FS( 109 ),2536046.040000000037253,2686411.839999999850988,2148385.879999999888241,2083643.839999999850988,2233909.129999999888241,11688396.730000000447035
FS( 110 ),2558015.140000000130385,2693337.520000000018626,2205374.660000000149012,2085386.419999999692664,2232724.179999999701977,11774837.919999999925494
FS( 111 ),2542249.080000000074506,2718731.679999999701977,2215052.000000000000000,2074184.119999999646097,2210447.120000000111759,11760664.000000000000000
FS( 112 ),2532686.060000000055879,2686411.839999999850988,2199998.359999999869615,2065969.099999999627471,2200493.540000000037253,11685558.899999998509884
FS( 113 ),2610482.520000000018626,2694876.560000000055879,2217202.520000000018626,2082150.199999999720603,2208077.219999999739230,11812789.019999999552965
FS( 114 ),2621596.300000000279397,2694876.560000000055879,2199460.729999999515712,2078416.099999999627471,2202152.469999999739230,11796502.160000000149012
FS( 115 ),2627540.879999999888241,2664095.759999999776483,2199998.359999999869615,2072690.479999999981374,2190302.969999999739230,11754628.449999999254942
FS( 116 ),2626765.500000000000000,2657939.600000000093132,2194084.430000000167638,2087875.819999999832362,2217082.839999999850988,11783748.189999999478459
FS( 117 ),2606864.080000000074506,2687950.879999999888241,2182794.200000000186265,2093103.559999999823049,2219215.750000000000000,11789928.470000000670552
FS( 118 ),2625473.200000000186265,2691798.479999999981374,2191396.279999999795109,2095095.079999999608845,2219452.740000000223517,11823215.779999999329448
FS( 119 ),2630900.860000000335276,2706419.360000000335276,2203761.770000000018626,2095841.899999999674037,2246232.610000000335276,11883156.500000000000000
FS( 120 ),2609448.679999999701977,2679486.160000000149012,2199460.729999999515712,2102812.219999999739230,2242203.780000000260770,11833411.570000000298023
FS( 121 ),2612033.280000000260770,2671021.439999999944121,2169353.450000000186265,2111276.179999999701977,2241966.790000000037253,11805651.140000000596046
FS( 122 ),2652869.959999999962747,2648705.360000000335276,2153762.180000000167638,2102065.399999999441206,2217082.839999999850988,11774485.739999998360872
FS( 123 ),2629867.020000000018626,2674099.520000000018626,2173116.859999999869615,2121980.599999999627471,2246469.599999999627471,11845533.599999999627471
FS( 124 ),2529584.540000000037253,2627158.800000000279397,2144084.839999999850988,2099327.059999999590218,2220637.690000000409782,11620792.929999999701977
FS( 125 ),2604021.020000000018626,2636393.040000000037253,2405910.649999999906868,2105550.559999999590218,2237226.990000000223517,11989102.259999999776483
FS( 126 ),2587479.580000000074506,2685642.319999999832362,2395695.680000000167638,2102065.399999999441206,2222296.620000000111759,11993179.600000001490116
FS( 127 ),2604021.020000000018626,2679486.160000000149012,2397846.200000000186265,2084639.599999999627471,2226325.450000000186265,11992318.429999999701977
