代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12126942.250000000000000
真實報酬,2126942.250000000000000

夏普值報酬,0.203994225000000
夏普值風險,0.052529709556964
夏普值,3.883406680152811

預期報酬,16570.928630181799235
風險,159446.888936959730927
趨勢值,0.103927575763071
找到最佳解世代,1746
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
AAPL[0](3),BA[2](8),JPM[13](6),V[25](10),
20160727,2692202.500000000000000,2617232.500000000000000,2588105.890000000130385,2646958.160000000149012,10544499.050000000745058
20160728,2728551.000000000000000,2560445.000000000000000,2578852.759999999776483,2669204.120000000111759,10537052.879999998956919
20160729,2725151.500000000000000,2572957.500000000000000,2573622.729999999981374,2630779.279999999795109,10502511.009999999776483
20160801,2773267.500000000000000,2564295.000000000000000,2566783.459999999962747,2637857.540000000037253,10542203.500000000000000
20160802,2732212.000000000000000,2533302.500000000000000,2560748.810000000055879,2638531.660000000149012,10464794.970000000670552
20160803,2766468.500000000000000,2538500.000000000000000,2601382.120000000111759,2653025.239999999757856,10559375.859999999403954
20160804,2768560.500000000000000,2525795.000000000000000,2597359.020000000018626,2678978.860000000335276,10570693.379999998956919
20160805,2810662.000000000000000,2535805.000000000000000,2667360.959999999962747,2701224.819999999832362,10715052.779999999329448
20160808,2833935.500000000000000,2544660.000000000000000,2659314.759999999776483,2694820.680000000167638,10732730.939999999478459
20160809,2845441.500000000000000,2552937.500000000000000,2650061.630000000353903,2698528.339999999850988,10746968.970000000670552
20160810,2824260.000000000000000,2546392.500000000000000,2626325.340000000316650,2685720.060000000055879,10682697.900000000372529
20160811,2822429.500000000000000,2560252.500000000000000,2633566.919999999925494,2700550.700000000186265,10716799.620000001043081
20160812,2828967.000000000000000,2562177.500000000000000,2627934.580000000074506,2697180.099999999627471,10716259.179999999701977
20160815,2862962.000000000000000,2592207.500000000000000,2644026.979999999981374,2727178.439999999944121,10826374.919999999925494
20160816,2860347.000000000000000,2598752.500000000000000,2643624.669999999925494,2723807.839999999850988,10826532.009999999776483
20160817,2856163.000000000000000,2593362.500000000000000,2650866.250000000000000,2724819.020000000018626,10825210.769999999552965
20160818,2852502.000000000000000,2598752.500000000000000,2653280.110000000335276,2705606.599999999627471,10810141.210000000894070
20160819,2859824.000000000000000,2587972.500000000000000,2649659.320000000298023,2712347.799999999813735,10809803.620000001043081
20160822,2837596.500000000000000,2598560.000000000000000,2647245.459999999962747,2732234.339999999850988,10815636.300000000745058
20160823,2846487.500000000000000,2582197.499999999534339,2646038.529999999795109,2723470.779999999795109,10798194.309999998658895
20160824,2825044.500000000000000,2565835.000000000000000,2653280.110000000335276,2706280.720000000204891,10750440.330000000074506
20160825,2813015.500000000000000,2559867.500000000000000,2658107.830000000074506,2707291.899999999906868,10738282.730000000447035
20160826,2796541.000000000000000,2545430.000000000000000,2664142.479999999981374,2715718.399999999906868,10721831.880000000819564
20160829,2793403.000000000000000,2558327.500000000000000,2693511.110000000335276,2725830.200000000186265,10771071.810000000521541
20160830,2771960.000000000000000,2518095.000000000000000,2715638.160000000149012,2735942.000000000000000,10741635.160000000149012
20160831,2774575.000000000000000,2491915.000000000000000,2715638.160000000149012,2726841.380000000353903,10708969.540000000968575
20160901,2791049.500000000000000,2500577.500000000000000,2703971.169999999925494,2740323.779999999795109,10735921.949999999254942
20160902,2817199.500000000000000,2524832.500000000000000,2715235.850000000093132,2763917.979999999981374,10821185.830000000074506
20160906,2816415.000000000000000,2560060.000000000000000,2713224.300000000279397,2781782.160000000149012,10871481.460000000894070
20160907,2833674.000000000000000,2553322.499999999534339,2701959.620000000111759,2805713.419999999925494,10894669.539999999105930
20160908,2759408.000000000000000,2558327.500000000000000,2705580.410000000149012,2796612.799999999813735,10819928.710000000894070
20160909,2696909.500000000000000,2474205.000000000000000,2681441.810000000521541,2741334.959999999962747,10593891.269999999552965
20160912,2757316.000000000000000,2504812.500000000000000,2697936.520000000018626,2796612.799999999813735,10756677.820000000298023
20160913,2822952.500000000000000,2478632.500000000000000,2676614.090000000316650,2760210.319999999832362,10738409.410000000149012
20160914,2922845.500000000000000,2457650.000000000000000,2671384.060000000521541,2746727.919999999925494,10798607.480000000447035
20160915,3022215.500000000000000,2459575.000000000000000,2681039.500000000000000,2764255.040000000037253,10927085.039999999105930
20160916,3005218.000000000000000,2438977.500000000000000,2648050.080000000074506,2766277.399999999906868,10858522.980000000447035
20160919,2970177.000000000000000,2453992.500000000000000,2662935.550000000279397,2781108.040000000037253,10868213.089999999850988
20160920,2969915.500000000000000,2459960.000000000000000,2673797.919999999925494,2780096.860000000335276,10883770.280000001192093
20160921,2969392.500000000000000,2513282.500000000000000,2689085.700000000186265,2805039.299999999813735,10976800.000000000000000
20160922,2997373.000000000000000,2538500.000000000000000,2711212.750000000000000,2809758.140000000130385,11056843.890000000596046
20160923,2947426.500000000000000,2536767.500000000000000,2705580.410000000149012,2782119.220000000204891,10971893.630000000819564
20160926,2951872.000000000000000,2513475.000000000000000,2646440.840000000316650,2757513.839999999850988,10869301.679999999701977
20160927,2957363.500000000000000,2527912.500000000000000,2669774.820000000298023,2769310.939999999944121,10924361.759999999776483
20160928,2979852.500000000000000,2545430.000000000000000,2683855.669999999925494,2796612.799999999813735,11005750.969999998807907
20160929,2933567.000000000000000,2522330.000000000000000,2641210.810000000521541,2761221.500000000000000,10858329.310000000521541
20160930,2956317.500000000000000,2535997.500000000000000,2679027.950000000186265,2787512.180000000167638,10958855.130000000819564
20161003,2942458.000000000000000,2548317.500000000000000,2675809.470000000204891,2792905.140000000130385,10959490.110000001266599
20161004,2955010.000000000000000,2545815.000000000000000,2679430.259999999776483,2788523.360000000335276,10968778.620000001043081
20161005,2956317.500000000000000,2592207.500000000000000,2723282.050000000279397,2809421.079999999608845,11081228.130000000819564
20161006,2978283.500000000000000,2587587.499999999534339,2730523.630000000353903,2809758.140000000130385,11106152.770000001415610
20161007,2982729.000000000000000,2576615.000000000000000,2740179.070000000298023,2793579.259999999776483,11093102.330000000074506
20161010,3034767.500000000000000,2614922.500000000000000,2761501.500000000000000,2801668.700000000186265,11212860.199999999254942
20161011,3041305.000000000000000,2574497.500000000000000,2748225.270000000018626,2765266.220000000204891,11129293.990000000223517
20161012,3068501.000000000000000,2563332.500000000000000,2740983.689999999944121,2772344.479999999981374,11145161.669999999925494
20161013,3059087.000000000000000,2567567.500000000000000,2725293.600000000093132,2759536.200000000186265,11111484.300000000745058
20161014,3076084.500000000000000,2569877.500000000000000,2716442.779999999795109,2779085.680000000167638,11141490.459999999031425
20161017,3073992.500000000000000,2579502.500000000000000,2702361.930000000167638,2768973.880000000353903,11124830.810000000521541
20161018,3071900.500000000000000,2600677.500000000000000,2723684.360000000335276,2749761.459999999962747,11146023.820000000298023
20161019,3062748.000000000000000,2621467.500000000000000,2749834.509999999776483,2791219.839999999850988,11225269.849999999627471
20161020,3061179.000000000000000,2614922.500000000000000,2746213.720000000204891,2780770.979999999981374,11203086.200000001117587
20161021,3049150.000000000000000,2610880.000000000000000,2755466.850000000093132,2775715.079999999608845,11191211.929999999701977
20161024,3076607.500000000000000,2645915.000000000000000,2770754.630000000353903,2803354.000000000000000,11296631.130000000819564
20161025,3092297.500000000000000,2676137.500000000000000,2767938.459999999962747,2764929.160000000149012,11301302.620000001043081
20161026,3022738.500000000000000,2801647.500000000000000,2781214.689999999944121,2755491.479999999981374,11361092.169999999925494
20161027,2993712.000000000000000,2758720.000000000000000,2785237.790000000502914,2761221.500000000000000,11298891.290000000968575
20161028,2973838.000000000000000,2752945.000000000000000,2780410.070000000298023,2771333.299999999813735,11278526.370000001043081
20161031,2969131.000000000000000,2741780.000000000000000,2786444.720000000204891,2781108.040000000037253,11278463.760000001639128
20161101,2915523.500000000000000,2741395.000000000000000,2774777.729999999981374,2751109.700000000186265,11182805.929999999701977
20161102,2918138.500000000000000,2709440.000000000000000,2763110.740000000223517,2716055.459999999962747,11106744.699999999254942
20161103,2872114.500000000000000,2695387.500000000000000,2751041.439999999944121,2718414.880000000353903,11036958.320000000298023
20161104,2846226.000000000000000,2686147.500000000000000,2726098.220000000204891,2708640.140000000130385,10967111.860000001266599
20161107,2887281.500000000000000,2753330.000000000000000,2811387.939999999944121,2781108.040000000037253,11233107.480000000447035
20161108,2904279.000000000000000,2737352.500000000000000,2817422.590000000316650,2793579.259999999776483,11252633.349999999627471
20161109,2899572.000000000000000,2792985.000000000000000,2946966.410000000149012,2805713.419999999925494,11445236.830000000074506
20161110,2818768.500000000000000,2843035.000000000000000,3083751.810000000521541,2759536.200000000186265,11505091.510000001639128
20161111,2835504.500000000000000,2859012.500000000000000,3085361.050000000279397,2759873.259999999776483,11539751.310000000521541
20161114,2764376.500000000000000,2887310.000000000000000,3198812.470000000204891,2641902.259999999776483,11492401.230000000447035
20161115,2800986.500000000000000,2851120.000000000465661,3192777.820000000298023,2648306.399999999906868,11493190.720000000670552
20161116,2876298.500000000000000,2818972.500000000000000,3113925.060000000521541,2699202.459999999962747,11508398.519999999552965
20161117,2875252.500000000000000,2797605.000000000465661,3138868.279999999795109,2732571.399999999906868,11544297.179999999701977
20161118,2878129.000000000000000,2817240.000000000000000,3126396.669999999925494,2724144.899999999906868,11545910.570000000298023
20161121,2921799.500000000000000,2830137.500000000000000,3140075.209999999962747,2753469.120000000111759,11645481.330000001937151
20161122,2923630.000000000000000,2878262.500000000000000,3159386.090000000316650,2694146.560000000055879,11655425.150000000372529
20161123,2908724.500000000000000,2882497.500000000000000,3172662.320000000298023,2682012.399999999906868,11645896.720000000670552
20161125,2923368.500000000000000,2888272.500000000000000,3171455.390000000130385,2700887.759999999776483,11683984.150000000372529
20161128,2917615.500000000000000,2883075.000000000000000,3150937.580000000074506,2665496.459999999962747,11617124.539999999105930
20161129,2914739.000000000000000,2919072.499999999534339,3175076.180000000167638,2667855.880000000353903,11676743.560000000521541
20161130,2890158.000000000000000,2898282.500000000000000,3225364.930000000167638,2606173.899999999906868,11619979.330000000074506
20161201,2863223.500000000000000,2933509.999999999534339,3290539.150000000372529,2542469.560000000055879,11629742.210000000894070
20161202,2873945.000000000000000,2930815.000000000000000,3282895.259999999776483,2552244.299999999813735,11639899.559999998658895
20161205,2853286.500000000000000,2929082.500000000000000,3349678.720000000204891,2605836.839999999850988,11737884.560000000521541
20161206,2875252.500000000000000,2930622.500000000000000,3366978.050000000279397,2599095.640000000130385,11771948.690000001341105
20161207,2903494.500000000000000,2967197.499999999534339,3382265.830000000074506,2673248.839999999850988,11926206.669999999925494
20161208,2931998.000000000000000,2991259.999999999534339,3424508.380000000353903,2672237.660000000149012,12020004.040000000968575
20161209,2979852.500000000000000,3012435.000000000000000,3439393.850000000093132,2667518.819999999832362,12099200.169999999925494
20161212,2962855.000000000000000,3025332.500000000000000,3408818.290000000502914,2645946.979999999981374,12042952.770000001415610
20161213,3012278.500000000000000,3015707.500000000000000,3410025.220000000204891,2669541.180000000167638,12107552.400000000372529
20161214,3012278.500000000000000,2973550.000000000000000,3408818.290000000502914,2667181.759999999776483,12061828.550000000745058
20161215,3028753.000000000000000,2960075.000000000000000,3459911.660000000149012,2679652.979999999981374,12128392.640000000596046
20161216,3032675.500000000000000,2974127.500000000000000,3417266.800000000279397,2640891.079999999608845,12064960.880000000819564
20161219,3050196.000000000000000,3006467.500000000000000,3436979.990000000223517,2632464.579999999608845,12126108.070000000298023
20161220,3058302.500000000000000,3010509.999999999534339,3481234.090000000316650,2641228.140000000130385,12191274.730000000447035
20161221,3061179.000000000000000,3031492.500000000000000,3490084.910000000149012,2633812.819999999832362,12216569.230000000447035
20161222,3041043.500000000000000,3031107.500000000000000,3495717.250000000000000,2625723.380000000353903,12193591.630000000819564
20161223,3047058.000000000000000,3037845.000000000000000,3502154.209999999962747,2634149.880000000353903,12221207.090000001713634
20161227,3066409.000000000000000,3031492.500000000000000,3505372.689999999944121,2640891.079999999608845,12244165.269999999552965
20161228,3053334.000000000000000,3004927.500000000000000,3480027.160000000149012,2639205.779999999795109,12177494.439999999478459
20161229,3052549.500000000000000,2997035.000000000000000,3455486.250000000000000,2640216.959999999962747,12145287.710000000894070
20161230,3028753.000000000000000,2996842.500000000000000,3471578.650000000372529,2629768.099999999627471,12126942.250000000000000
