代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11849233.730000000447035
真實報酬,1849233.730000000447035

夏普值報酬,0.176223373000000
夏普值風險,0.048305907167194
夏普值,3.648070874439094

預期報酬,14825.795972962017913
風險,266930.946732363663614
趨勢值,0.055541690292759
找到最佳解世代,1914
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
AAPL[0](4),CSCO[4](3),MCD[15](1),
20111128,3735135.479999999515712,3845824.200000000651926,3706505.640000000130385,11287466.320000000298023
20111129,3705938.759999999776483,3775356.660000000149012,3694646.339999999850988,11175942.759999999776483
20111130,3795614.399999999906868,3980353.140000000596046,3776080.199999999720603,11552048.740000000223517
20111201,3852617.520000000018626,3967540.859999999869615,3775289.580000000074506,11595448.960000000894070
20111202,3869996.520000000018626,3961134.720000000670552,3783195.780000000260770,11614328.019999999552965
20111205,3902669.040000000037253,4012383.840000000316650,3769359.929999999701977,11684413.810000000521541
20111206,3882509.399999999906868,3999571.560000000521541,3795450.390000000130385,11677532.350000001490116
20111207,3863740.079999999608845,4055091.439999999944121,3812844.030000000260770,11731676.550000000745058
20111208,3879728.759999999776483,3965405.480000000447035,3831423.600000000093132,11676558.839999999850988
20111209,3908925.479999999515712,4031602.260000000242144,3875303.010000000242144,11815831.750000000000000
20111212,3891546.479999999515712,3956863.960000000428408,3893091.960000000428408,11741503.400000000372529
20111213,3860959.439999999944121,3944051.680000000167638,3874117.080000000074506,11679129.199999999254942
20111214,3775454.759999999776483,3839418.060000000521541,3858699.990000000223517,11473573.810000000521541
20111215,3762941.879999999888241,3852230.340000000316650,3879651.419999999925494,11494824.640000000596046
20111216,3783796.679999999701977,3830876.540000000502914,3853956.270000000018626,11468630.490000000223517
20111219,3795614.399999999906868,3777492.040000000502914,3844073.520000000018626,11417180.960000000894070
20111220,3931865.759999999776483,3931239.400000000372529,3906532.500000000000000,11769638.660000000149012
20111221,3937427.040000000037253,3826605.780000000726432,3921554.280000000260770,11685588.100000001490116
20111222,3958281.839999999850988,3871448.760000000242144,3897835.679999999701977,11727567.279999999329448
20111223,4005552.719999999739230,3944051.680000000167638,3959108.730000000447035,11908714.130000000819564
20111227,4037530.079999999608845,3967540.859999999869615,3974921.129999999888241,11979993.070000000298023
20111228,3998601.120000000111759,3877854.900000000372529,3936576.060000000055879,11813033.080000000074506
20111229,4022931.719999999739230,3897073.320000000298023,3985199.189999999944121,11905205.230000000447035
20111230,4022236.559999999590218,3860771.859999999869615,3966224.310000000055879,11849233.730000000447035
