代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,15547723.169999999925494
真實報酬,5547723.169999999925494

夏普值報酬,0.546072317000000
夏普值風險,0.116664144162974
夏普值,4.680721064024308

二次趨勢線,-25.763466755681705 x^2 + 28148.352980832580215 x + 10000000.000000000000000
二次平均預期報酬,21655.959358400788915
風險,244754.513033389201155
二次平均趨勢值,0.088480327042821
一次趨勢線,23288.738271397993230 x + 10000000.000000000000000
一次預期報酬,23288.738271397993230
一次風險,305228.833620057441294
一次趨勢值,0.076299273548931
找到最佳解世代,2169
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
AAPL[0](6),DIS[6](1),HD[9](2),KO[14](9),VZ[26](5),WMT[28](4),
FS( 7 ),1780971.820000000065193,1874136.310000000055879,1831274.080000000074506,1701822.879999999655411,1674004.079999999841675,1755193.000000000000000,10617406.169999999925494
FS( 8 ),1789692.699999999953434,1940227.959999999962747,1831801.669999999925494,1719146.560000000055879,1681800.789999999804422,1770589.000000000000000,10733262.679999999701977
FS( 9 ),1817412.640000000130385,1928159.049999999813735,1815446.379999999655411,1717108.479999999981374,1697852.840000000083819,1764815.500000000000000,10740798.889999998733401
FS( 10 ),1877835.880000000121072,1981032.369999999878928,1849212.139999999897555,1728317.919999999925494,1712070.369999999878928,1778928.500000000000000,10927401.179999999701977
FS( 11 ),1868803.540000000037253,1918963.689999999944121,1828108.539999999804422,1706918.079999999841675,1694183.799999999813735,1757117.500000000000000,10774099.149999998509884
FS( 12 ),1878770.260000000009313,1950572.739999999757856,1896695.239999999990687,1700294.319999999599531,1707942.699999999953434,1792720.750000000000000,10927000.009999999776483
FS( 13 ),1773808.240000000223517,1931607.310000000055879,1867677.789999999804422,1707937.120000000111759,1699228.729999999748543,1804267.750000000000000,10784530.939999999478459
FS( 14 ),1758858.159999999916181,1944825.640000000130385,1885088.259999999776483,1709975.199999999953434,1701521.879999999888241,1808116.750000000000000,10808389.890000000596046
FS( 15 ),1747957.060000000055879,2020687.359999999869615,1944705.929999999934807,1737489.280000000027940,1716198.039999999804422,1825758.000000000000000,10992799.669999999925494
FS( 16 ),1805577.159999999916181,2032756.269999999785796,1936264.489999999990687,1729336.959999999729916,1693725.169999999925494,1821267.500000000000000,11018931.550000000745058
FS( 17 ),1769759.260000000009313,1983331.209999999962747,1901443.549999999813735,1705899.039999999571592,1659786.549999999813735,1819022.250000000000000,10839245.859999999403954
FS( 18 ),1782529.119999999878928,2014365.549999999813735,1928350.639999999897555,1719146.560000000055879,1688221.609999999869615,1840191.750000000000000,10972809.229999998584390
FS( 19 ),1800593.800000000046566,2077583.649999999906868,1971613.019999999785796,1746660.639999999897555,1727205.159999999683350,1854304.750000000000000,11177965.019999999552965
FS( 20 ),1801839.640000000130385,2081031.910000000149012,1905664.269999999785796,1756341.519999999785796,1725829.270000000018626,1833135.250000000000000,11103845.859999999403954
FS( 21 ),1801216.719999999972060,2004595.480000000214204,1888781.389999999897555,1740546.399999999674037,1696018.319999999599531,1819343.000000000000000,10950505.309999998658895
FS( 22 ),1764152.979999999981374,1931032.600000000093132,1875064.049999999813735,1707937.120000000111759,1672628.189999999711290,1803626.250000000000000,10754445.189999999478459
FS( 23 ),1768201.960000000195578,1958043.969999999972060,1898805.600000000093132,1726789.359999999869615,1687762.979999999748543,1823833.500000000000000,10863441.370000001043081
FS( 24 ),1793430.219999999972060,2013216.130000000121072,1923074.739999999990687,1749208.239999999757856,1717573.929999999934807,1841795.500000000000000,11038302.759999999776483
FS( 25 ),1780971.820000000065193,1997698.959999999962747,1919909.199999999953434,1726789.359999999869615,1704732.289999999804422,1844361.500000000000000,10974467.129999998956919
FS( 26 ),1778480.140000000130385,2020112.649999999906868,1970030.250000000232831,1737489.280000000027940,1712529.000000000000000,1858474.500000000000000,11077119.820000000298023
FS( 27 ),1807445.920000000158325,2028158.589999999850988,2001685.649999999906868,1749208.239999999757856,1720784.340000000083819,1902738.000000000000000,11210024.740000000223517
FS( 28 ),1758858.159999999916181,1941952.089999999850988,1960533.629999999655411,1707937.120000000111759,1691890.649999999906868,1862002.750000000000000,10923178.400000000372529
FS( 29 ),1714007.920000000158325,1990802.439999999944121,1962643.989999999990687,1717108.479999999981374,1712070.369999999878928,1864568.750000000000000,10961205.949999999254942
FS( 30 ),1711516.240000000223517,2109192.700000000186265,2008016.729999999981374,1735451.199999999953434,1720784.340000000083819,1898889.000000000000000,11183854.210000000894070
FS( 31 ),1687533.820000000065193,2075859.519999999785796,2018040.939999999944121,1727298.879999999655411,1696935.579999999841675,1888945.750000000000000,11094618.489999998360872
FS( 32 ),1730203.839999999850988,2094824.950000000186265,2008544.320000000065193,1732394.079999999841675,1707942.699999999953434,1843078.500000000000000,11116992.390000000596046
FS( 33 ),1712139.159999999916181,2041951.630000000121072,1996409.750000000232831,1707427.599999999627471,1680883.529999999795109,1818060.000000000000000,10956875.669999999925494
FS( 34 ),1679435.860000000102445,2020112.649999999906868,1984802.769999999785796,1697237.199999999953434,1683176.679999999934807,1819663.750000000000000,10884432.910000000149012
FS( 35 ),1668223.300000000046566,2047698.730000000214204,1998520.110000000102445,1717108.479999999981374,1672169.559999999823049,1835701.250000000000000,10939425.430000001564622
FS( 36 ),1642060.659999999916181,1972986.429999999934807,1955257.729999999981374,1680423.039999999571592,1654282.989999999757856,1817418.500000000000000,10722433.349999999627471
FS( 37 ),1675386.880000000121072,1955170.420000000158325,1957368.090000000083819,1680932.560000000055879,1659786.549999999813735,1823512.750000000000000,10752161.250000000000000
FS( 38 ),1633028.320000000065193,1919538.399999999906868,1926767.870000000111759,1652908.959999999729916,1621261.629999999888241,1816777.000000000000000,10570286.179999999701977
FS( 39 ),1617766.780000000027940,1925860.209999999962747,1924129.919999999925494,1649342.319999999599531,1621261.629999999888241,1824795.750000000000000,10563160.609999999403954
FS( 40 ),1673518.119999999878928,1958043.969999999972060,1967919.889999999897555,1660551.760000000009313,1662538.329999999841675,1836342.750000000000000,10758918.819999998435378
FS( 41 ),1660436.800000000046566,1954021.000000000000000,2055499.830000000074506,1686537.280000000027940,1679966.270000000018626,1865851.750000000000000,10902316.929999999701977
FS( 42 ),1700615.140000000130385,2060342.350000000093132,2069217.169999999925494,1713032.319999999599531,1730415.569999999599531,1889266.500000000000000,11162893.049999998882413
FS( 43 ),1726154.860000000102445,2068388.290000000037253,2075548.250000000232831,1702841.919999999925494,1732250.090000000083819,1879964.750000000000000,11185152.160000000149012
FS( 44 ),1733941.360000000102445,2104020.310000000055879,2107203.649999999906868,1691122.959999999729916,1735919.129999999888241,1863285.750000000000000,11235497.160000000149012
FS( 45 ),1748579.979999999981374,2122985.739999999757856,2122503.759999999776483,1689594.399999999674037,1745091.729999999748543,1871304.500000000000000,11300064.109999999403954
FS( 46 ),1739547.640000000130385,2116663.929999999701977,2127252.069999999832362,1698765.760000000009313,1757474.739999999757856,1885417.500000000000000,11325125.639999998733401
FS( 47 ),1731138.219999999972060,2132181.100000000093132,2148883.259999999776483,1701313.359999999869615,1757016.109999999869615,1876757.250000000000000,11347293.299999998882413
FS( 48 ),1738301.800000000046566,2064365.320000000065193,2105620.879999999888241,1700294.319999999599531,1734084.609999999869615,1859757.500000000000000,11202428.429999999701977
FS( 49 ),1751383.119999999878928,2101146.760000000242144,2122503.759999999776483,1721184.639999999897555,1762519.669999999925494,1870663.000000000000000,11329404.949999999254942
FS( 50 ),1743596.619999999878928,2106319.149999999906868,2113007.139999999664724,1704370.479999999981374,1758850.629999999888241,1863285.750000000000000,11289433.769999999552965
FS( 51 ),1729892.380000000121072,2087928.429999999934807,2084517.279999999795109,1693670.560000000055879,1754722.959999999729916,1847569.000000000000000,11198304.609999999403954
FS( 52 ),1691582.800000000046566,2020687.359999999869615,2064996.449999999953434,1688065.840000000083819,1754722.959999999729916,1849172.750000000000000,11069232.160000000149012
FS( 53 ),1685976.520000000018626,2022411.489999999757856,2079768.969999999972060,1704370.479999999981374,1762061.039999999804422,1858795.250000000000000,11113387.749999998137355
FS( 54 ),1695320.320000000065193,2029882.719999999972060,2132527.970000000204891,1718127.519999999785796,1778571.719999999972060,1869059.250000000000000,11223493.500000000000000
FS( 55 ),1700615.140000000130385,1997124.250000000000000,2120920.990000000223517,1716598.959999999729916,1771692.270000000018626,1853342.500000000000000,11160298.110000001266599
FS( 56 ),1761661.300000000046566,2078733.070000000065193,2213249.240000000223517,1742584.479999999981374,1798292.809999999823049,1898568.250000000000000,11493093.150000000372529
FS( 57 ),1764152.979999999981374,2084480.170000000158325,2215887.189999999944121,1772136.639999999897555,1799210.069999999599531,1904983.250000000000000,11540854.299999998882413
FS( 58 ),1773496.780000000027940,2123560.450000000186265,2211666.470000000204891,1762965.280000000027940,1801961.849999999860302,1898568.250000000000000,11572223.080000001937151
FS( 59 ),1794676.060000000055879,2166663.700000000186265,2220635.500000000000000,1781817.519999999785796,1833607.319999999599531,1924228.250000000000000,11721632.349999999627471
FS( 60 ),1809003.219999999972060,2161491.310000000055879,2227494.169999999925494,1780288.959999999729916,1834065.949999999953434,1919096.250000000000000,11731443.859999999403954
FS( 61 ),1791561.460000000195578,2140227.040000000037253,2191090.459999999962747,1771117.599999999627471,1823517.459999999729916,1915888.750000000000000,11633406.769999999552965
FS( 62 ),1802462.560000000055879,2167238.410000000149012,2216414.779999999795109,1787422.239999999757856,1836817.729999999748543,1924228.250000000000000,11734587.970000000670552
FS( 63 ),1802151.100000000093132,2155169.500000000000000,2217997.549999999813735,1782836.560000000055879,1840028.139999999664724,1916851.000000000000000,11715037.850000001490116
FS( 64 ),1829871.040000000037253,2201721.010000000242144,2223273.450000000186265,1786912.719999999972060,1822141.569999999599531,1935133.750000000000000,11799057.539999999105930
FS( 65 ),1839526.300000000046566,2232755.350000000093132,2254928.850000000093132,1775703.280000000027940,1798292.809999999823049,1915247.250000000000000,11816457.839999999850988
FS( 66 ),1860082.659999999916181,2270111.500000000000000,2273394.500000000000000,1767550.959999999729916,1785909.799999999813735,1905945.500000000000000,11862998.919999999925494
FS( 67 ),1879393.180000000167638,2293674.609999999869615,2279197.990000000223517,1756341.519999999785796,1757933.369999999878928,1892474.000000000000000,11859018.669999999925494
FS( 68 ),1876590.040000000037253,2284479.250000000000000,2280780.759999999776483,1756341.519999999785796,1759767.889999999664724,1898247.500000000000000,11856210.959999999031425
FS( 69 ),1883130.699999999953434,2277582.729999999981374,2296608.459999999962747,1766531.919999999925494,1768940.489999999757856,1893757.000000000000000,11886555.299999998882413
FS( 70 ),1880016.100000000093132,2224134.700000000186265,2292915.330000000074506,1733922.639999999897555,1784075.279999999795109,1905304.000000000000000,11820372.050000000745058
FS( 71 ),1875032.740000000223517,2225858.829999999608845,2289222.200000000186265,1721184.639999999897555,1784992.539999999804422,1908511.500000000000000,11804806.449999999254942
FS( 72 ),1867869.159999999916181,2206893.399999999906868,2295553.279999999795109,1706408.560000000055879,1784992.539999999804422,1909794.500000000000000,11771515.439999999478459
FS( 73 ),1889671.360000000102445,2211491.079999999608845,2307687.850000000093132,1715579.919999999925494,1789578.840000000083819,1919737.750000000000000,11833750.799999998882413
FS( 74 ),1909293.339999999850988,2242525.420000000391155,2367833.109999999869615,1722203.679999999701977,1789120.209999999729916,1924869.750000000000000,11955849.509999999776483
FS( 75 ),1903375.600000000093132,2266663.239999999757856,2395795.379999999888241,1718637.039999999571592,1788661.579999999841675,1944114.750000000000000,12017251.589999999850988
FS( 76 ),1870049.380000000121072,2259192.010000000242144,2348312.279999999795109,1734941.679999999701977,1787285.689999999711290,1956944.750000000000000,11956729.789999999105930
FS( 77 ),1901818.300000000046566,2255743.750000000000000,2367833.109999999869615,1746151.120000000111759,1761143.779999999795109,1953737.250000000000000,11986431.310000000521541
FS( 78 ),1870672.300000000046566,2255743.750000000000000,2372053.830000000074506,1729846.479999999981374,1733167.349999999860302,1969133.250000000000000,11930620.959999999031425
FS( 79 ),1987469.800000000046566,2273559.760000000242144,2387881.529999999795109,1743603.519999999785796,1728581.049999999813735,1971699.250000000000000,12092798.910000000149012
FS( 80 ),1978437.460000000195578,2261490.850000000093132,2371526.240000000223517,1732903.599999999627471,1712529.000000000000000,1955661.750000000000000,12012552.900000000372529
FS( 81 ),1990272.939999999944121,2255743.750000000000000,2367305.520000000018626,1718127.519999999785796,1706566.809999999823049,1947322.250000000000000,11985342.789999999105930
FS( 82 ),2015812.659999999916181,2240801.290000000037253,2362029.620000000111759,1718637.039999999571592,1724912.009999999776483,1966246.500000000000000,12028443.119999999180436
FS( 83 ),2031074.199999999953434,2235628.899999999906868,2341981.200000000186265,1720675.120000000111759,1727205.159999999683350,1968171.000000000000000,12024739.580000000074506
FS( 84 ),2029828.360000000102445,2260341.429999999701977,2346201.919999999925494,1728317.919999999925494,1733625.979999999748543,1994472.500000000000000,12092792.109999999403954
FS( 85 ),2025156.459999999962747,2236203.609999999869615,2345674.330000000074506,1728317.919999999925494,1722618.859999999869615,1986774.500000000000000,12044749.679999999701977
FS( 86 ),2045401.360000000102445,2298847.000000000000000,2383133.220000000204891,1734432.159999999683350,1735460.500000000000000,1989661.250000000000000,12186939.490000000223517
FS( 87 ),2064400.420000000158325,2325283.660000000149012,2384715.990000000223517,1733413.120000000111759,1749219.399999999906868,1984850.000000000000000,12241886.590000001713634
FS( 88 ),2086202.620000000111759,2355168.579999999608845,2398433.330000000074506,1746660.639999999897555,1739129.539999999804422,1978755.750000000000000,12304354.459999999031425
FS( 89 ),2121086.139999999664724,2371835.170000000391155,2383133.220000000204891,1741055.919999999925494,1739129.539999999804422,1976510.500000000000000,12332754.490000000223517
FS( 90 ),2194279.240000000223517,2386777.629999999888241,2388409.120000000111759,1731884.560000000055879,1739129.539999999804422,1987416.000000000000000,12427900.089999999850988
FS( 91 ),2195525.080000000074506,2382179.950000000186265,2391574.659999999683350,1730865.519999999785796,1728581.049999999813735,1985491.500000000000000,12414221.759999997913837
FS( 92 ),2236326.339999999850988,2401720.089999999850988,2423230.060000000055879,1743603.519999999785796,1748760.770000000018626,1981963.250000000000000,12535608.029999999329448
FS( 93 ),2266849.419999999925494,2390800.600000000093132,2430088.729999999981374,1755322.479999999981374,1744633.099999999860302,1995755.500000000000000,12583453.830000000074506
FS( 94 ),2214524.139999999664724,2370685.750000000000000,2411623.080000000074506,1742584.479999999981374,1735001.869999999878928,1981001.000000000000000,12455424.319999998435378
FS( 95 ),2234457.580000000074506,2387352.339999999850988,2423230.060000000055879,1754303.439999999711290,1745091.729999999748543,1989982.000000000000000,12534421.150000000372529
FS( 96 ),2234146.120000000111759,2399421.250000000000000,2464382.080000000074506,1759398.639999999897555,1763895.559999999823049,2004095.000000000000000,12625342.650000000372529
FS( 97 ),2290831.839999999850988,2389076.470000000204891,2475461.470000000204891,1753284.399999999674037,1765271.449999999953434,1926794.250000000000000,12600723.880000000819564
FS( 98 ),2282733.880000000353903,2371835.170000000391155,2456995.819999999832362,1764493.840000000083819,1752429.809999999823049,1879644.000000000000000,12508136.520000001415610
FS( 99 ),2297683.959999999962747,2383904.079999999608845,2477044.240000000223517,1762455.760000000009313,1748760.770000000018626,1877719.500000000000000,12547572.309999998658895
FS( 100 ),2324469.520000000018626,2374134.010000000242144,2478627.009999999776483,1757870.079999999841675,1749219.399999999906868,1885738.250000000000000,12570062.269999999552965
FS( 101 ),2339419.600000000093132,2393099.439999999944121,2475989.060000000055879,1753793.919999999925494,1748760.770000000018626,1875153.500000000000000,12586220.289999999105930
FS( 102 ),2382401.080000000074506,2409766.029999999795109,2491816.759999999776483,1753793.919999999925494,1749678.029999999795109,1890228.750000000000000,12677688.569999998435378
FS( 103 ),2413547.080000000074506,2413214.290000000037253,2509754.819999999832362,1779779.439999999711290,1747843.509999999776483,1895040.000000000000000,12759183.139999998733401
FS( 104 ),2422579.419999999925494,2436202.689999999944121,2503951.330000000074506,1773155.679999999701977,1762519.669999999925494,1886700.500000000000000,12785113.289999999105930
FS( 105 ),2425694.020000000018626,2434478.560000000055879,2501313.379999999888241,1762455.760000000009313,1773526.789999999804422,1892794.750000000000000,12790267.259999999776483
FS( 106 ),2372434.359999999869615,2454018.700000000186265,2500258.200000000186265,1763984.319999999599531,1788661.579999999841675,1905304.000000000000000,12784665.160000000149012
FS( 107 ),2359353.040000000037253,2413789.000000000000000,2447499.200000000186265,1751755.840000000083819,1774444.049999999813735,1891511.750000000000000,12638356.879999998956919
FS( 108 ),2361221.800000000279397,2399421.250000000000000,2500258.200000000186265,1752774.879999999655411,1782699.389999999664724,1920058.500000000000000,12716438.019999999552965
FS( 109 ),2411678.320000000298023,2414938.420000000391155,2522944.569999999832362,1765003.359999999869615,1798751.439999999711290,1917171.750000000000000,12830491.859999999403954
FS( 110 ),2425694.020000000018626,2427582.040000000037253,2537717.089999999850988,1771117.599999999627471,1793247.879999999888241,1927115.000000000000000,12882477.629999998956919
FS( 111 ),2456217.100000000093132,2433329.140000000130385,2563569.000000000000000,1787422.239999999757856,1803337.739999999757856,1946360.000000000000000,12990239.220000000670552
FS( 112 ),2527852.899999999906868,2529305.709999999962747,2592586.450000000186265,1789969.840000000083819,1810675.819999999599531,1956624.000000000000000,13207018.720000000670552
FS( 113 ),2623471.120000000111759,2498846.079999999608845,2609996.919999999925494,1788950.799999999813735,1810217.189999999711290,1959190.000000000000000,13290676.109999997541308
FS( 114 ),2605406.440000000409782,2498271.370000000111759,2595751.990000000223517,1792007.919999999925494,1813427.599999999860302,1964001.250000000000000,13268870.570000000298023
FS( 115 ),2605406.440000000409782,2482179.489999999757856,2587838.139999999664724,1787422.239999999757856,1814803.489999999757856,1951492.000000000000000,13229145.799999998882413
FS( 116 ),2674550.560000000055879,2496547.239999999757856,2576231.159999999683350,1793536.479999999981374,1818472.529999999795109,1948284.500000000000000,13307626.469999998807907
FS( 117 ),2696352.759999999776483,2485053.040000000037253,2605248.609999999869615,1798631.679999999701977,1817555.270000000018626,1943794.000000000000000,13346639.359999999403954
FS( 118 ),2680779.759999999776483,2486777.170000000391155,2626879.799999999813735,1811879.199999999953434,1824434.719999999972060,1942511.000000000000000,13373265.650000000372529
FS( 119 ),2666764.060000000055879,2487926.589999999850988,2621076.310000000055879,1819522.000000000000000,1818931.159999999683350,1945397.750000000000000,13359621.870000001043081
FS( 120 ),2652125.440000000409782,2508616.149999999906868,2613690.049999999813735,1821050.560000000055879,1807924.039999999804422,1948605.250000000000000,13352015.489999998360872
FS( 121 ),2700713.199999999720603,2550569.979999999981374,2644817.859999999869615,1831750.479999999981374,1803796.369999999878928,1963039.000000000000000,13494690.889999998733401
FS( 122 ),2734039.419999999925494,2537351.649999999906868,2640069.549999999813735,1831240.959999999729916,1773068.159999999683350,1959510.750000000000000,13475284.490000000223517
FS( 123 ),2748055.120000000111759,2500570.209999999962747,2633210.879999999888241,1851112.239999999757856,1754722.959999999729916,1962718.250000000000000,13450393.659999998286366
FS( 124 ),2713483.060000000055879,2471834.709999999962747,2633210.879999999888241,1880664.399999999674037,1746008.989999999757856,1950850.500000000000000,13396056.539999999105930
FS( 125 ),2667698.440000000409782,2516087.379999999888241,2654314.479999999981374,1885759.599999999627471,1753347.069999999599531,1963039.000000000000000,13440249.970000000670552
FS( 126 ),2752727.020000000018626,2519535.640000000130385,2637431.600000000093132,1888816.719999999972060,1766647.340000000083819,1968171.000000000000000,13533333.320000000298023
FS( 127 ),2800068.940000000409782,2487926.589999999850988,2637959.189999999944121,1879135.840000000083819,1763895.559999999823049,1945397.750000000000000,13514387.870000001043081
FS( 128 ),2777955.279999999795109,2467237.029999999795109,2630045.339999999850988,1871493.039999999571592,1760685.149999999906868,1932888.500000000000000,13440308.339999999850988
FS( 129 ),2819690.919999999925494,2475857.679999999701977,2670669.770000000018626,1872002.560000000055879,1727205.159999999683350,1946039.250000000000000,13511469.339999999850988
FS( 130 ),2830903.479999999981374,2420110.810000000055879,2668559.409999999683350,1856716.959999999729916,1718032.559999999823049,1928718.750000000000000,13423045.969999998807907
FS( 131 ),2796331.419999999925494,2355743.290000000037253,2604193.429999999701977,1834807.599999999627471,1687762.979999999748543,1922303.750000000000000,13201146.469999998807907
FS( 132 ),2786364.699999999720603,2377582.270000000018626,2624769.439999999944121,1837355.199999999953434,1714363.520000000018626,1918134.000000000000000,13258573.129999998956919
FS( 133 ),2771103.160000000149012,2422409.649999999906868,2671197.359999999869615,1839902.799999999813735,1722160.229999999748543,1929039.500000000000000,13355816.699999999254942
FS( 134 ),2692926.699999999720603,2405168.350000000093132,2688607.830000000074506,1832769.519999999785796,1708859.959999999729916,1917171.750000000000000,13245508.109999999403954
FS( 135 ),2581424.020000000018626,2394248.859999999869615,2727121.899999999906868,1845507.519999999785796,1716656.669999999925494,1943152.500000000000000,13208115.469999998807907
FS( 136 ),2712860.139999999664724,2452869.279999999795109,2745059.959999999962747,1884231.039999999571592,1730874.199999999953434,1984529.250000000000000,13510427.869999999180436
FS( 137 ),2706942.399999999906868,2441949.790000000037253,2733452.979999999981374,1889835.760000000009313,1727205.159999999683350,1990623.500000000000000,13490013.589999999850988
FS( 138 ),2613815.859999999869615,2418386.679999999701977,2720263.229999999981374,1880664.399999999674037,1749678.029999999795109,1980680.250000000000000,13363492.449999999254942
FS( 139 ),2549343.639999999664724,2433903.850000000093132,2714987.330000000074506,1888816.719999999972060,1776278.569999999599531,2003132.750000000000000,13366466.860000001266599
FS( 140 ),2543737.359999999869615,2414363.709999999962747,2695994.089999999850988,1877607.280000000027940,1768940.489999999757856,1909794.500000000000000,13210441.429999999701977
FS( 141 ),2492969.380000000353903,2424133.779999999795109,2702852.759999999776483,1888307.199999999953434,1811593.079999999841675,1853021.750000000000000,13172881.949999999254942
FS( 142 ),2714105.979999999981374,2454018.700000000186265,2738728.879999999888241,1909197.519999999785796,1810675.819999999599531,1839871.000000000000000,13466601.900000000372529
FS( 143 ),2703827.800000000279397,2491949.560000000055879,2736618.520000000018626,1928559.280000000027940,1840945.399999999906868,1890870.250000000000000,13592774.810000000521541
FS( 144 ),2682959.979999999981374,2491374.850000000093132,2740839.240000000223517,1952506.719999999972060,1845073.069999999599531,1893436.250000000000000,13606194.110000001266599
FS( 145 ),2598554.320000000298023,2477581.810000000055879,2732397.799999999813735,1944354.399999999674037,1851952.520000000018626,1889587.250000000000000,13494432.099999999627471
FS( 146 ),2590144.899999999906868,2516662.089999999850988,2760360.069999999832362,1960149.519999999785796,1860207.859999999869615,1894719.250000000000000,13582247.689999999478459
FS( 147 ),2607275.199999999720603,2502294.339999999850988,2780936.080000000074506,1965754.239999999757856,1862042.379999999888241,1892794.750000000000000,13611100.989999998360872
FS( 148 ),2588899.060000000055879,2517811.510000000242144,2768273.919999999925494,1972887.519999999785796,1863876.899999999906868,1892153.250000000000000,13603906.160000000149012
FS( 149 ),2515083.040000000037253,2467237.029999999795109,2741366.830000000074506,1961678.079999999841675,1846448.959999999729916,1882851.500000000000000,13414669.439999999478459
FS( 150 ),2533770.639999999664724,2518386.220000000204891,2711294.200000000186265,1968811.359999999869615,1858831.969999999972060,1898568.250000000000000,13489666.640000000596046
FS( 151 ),2528164.359999999869615,2545972.299999999813735,2670669.770000000018626,1965244.719999999972060,1859749.229999999748543,1894077.750000000000000,13463882.130000000819564
FS( 152 ),2532524.800000000279397,2587351.420000000391155,2643762.679999999701977,1956073.359999999869615,1845990.329999999841675,1893436.250000000000000,13459142.839999999850988
FS( 153 ),2538442.540000000037253,2602293.879999999888241,2670669.770000000018626,1972378.000000000000000,1859749.229999999748543,1898568.250000000000000,13542105.669999999925494
FS( 154 ),2521623.699999999720603,2618385.760000000242144,2655897.250000000000000,1973906.560000000055879,1887725.659999999683350,1905945.500000000000000,13563488.429999999701977
FS( 155 ),2483937.040000000037253,2595972.070000000298023,2631628.109999999869615,1958620.959999999729916,1875342.649999999906868,1894719.250000000000000,13440224.080000000074506
FS( 156 ),2461200.459999999962747,2586776.709999999962747,2567789.720000000204891,1950468.639999999897555,1882680.729999999748543,1903700.250000000000000,13352620.510000001639128
FS( 157 ),2429743.000000000000000,2590799.679999999701977,2573065.620000000111759,1944863.919999999925494,1874884.020000000018626,1898568.250000000000000,13311928.489999998360872
FS( 158 ),2358730.120000000111759,2547696.429999999701977,2480737.370000000111759,1913783.199999999953434,1897356.889999999664724,1978435.000000000000000,13176743.009999997913837
FS( 159 ),2359975.959999999962747,2517811.510000000242144,2482320.139999999664724,1886778.639999999897555,1904694.969999999972060,2002491.250000000000000,13154076.470000000670552
FS( 160 ),2497329.820000000298023,2551144.689999999944121,2511865.179999999701977,1898497.599999999627471,1895981.000000000000000,2022057.000000000000000,13376879.289999999105930
FS( 161 ),2478330.759999999776483,2551144.689999999944121,2546158.529999999795109,1890345.280000000027940,1898274.149999999906868,2044188.750000000000000,13408446.159999998286366
FS( 162 ),2538754.000000000000000,2551144.689999999944121,2546158.529999999795109,1890345.280000000027940,1898274.149999999906868,2044188.750000000000000,13468869.399999998509884
FS( 163 ),2515394.500000000000000,2554018.239999999757856,2622659.080000000074506,1924992.639999999897555,1898274.149999999906868,2087169.249999999767169,13602511.860000001266599
FS( 164 ),2502001.720000000204891,2557466.500000000000000,2608414.149999999906868,1916840.319999999599531,1901025.929999999934807,2094867.250000000000000,13580619.870000001043081
FS( 165 ),2546229.040000000037253,2613788.079999999608845,2626352.209999999962747,1922445.039999999571592,1914784.829999999841675,2106735.000000000000000,13730338.199999999254942
FS( 166 ),2577063.580000000074506,2597696.200000000186265,2622659.080000000074506,1912254.639999999897555,1899650.039999999804422,2099037.000000000000000,13708364.539999999105930
