代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13471069.950000002980232
真實報酬,3471069.950000002980232

夏普值報酬,0.338406995000000
夏普值風險,0.090200931388082
夏普值,3.751701781703699

二次趨勢線,5.020693330404316 x^2 + 13431.961261014968841 x + 10000000.000000000000000
二次平均預期報酬,14702.196673607255434
風險,145413.591337555844802
二次平均趨勢值,0.101106069510919
一次趨勢線,14382.751332222669589 x + 10000000.000000000000000
一次預期報酬,14382.751332222669589
一次風險,149761.198743674729485
一次趨勢值,0.096037902025875
找到最佳解世代,1747
找到最佳解實驗#,1
找到最佳解次數,47

stock[index](rank)
投資組合檔數,6
DIS[6](1),DD[7](2),INTC[11](3),JNJ[12](7),MRK[17](10),MSFT[18](4),
FS( 123 ),2017580.200000000186265,2087603.660000000149012,1847713.439999999944121,1853585.740000000223517,1905689.049999999813735,1953538.960000000195578,11665715.050000000745058
FS( 124 ),2030691.280000000027940,2096767.760000000009313,1870344.370000000111759,1856634.380000000121072,1914237.799999999813735,2000193.040000000037253,11768872.629999998956919
FS( 125 ),2058455.919999999925494,2113874.080000000074506,1884214.939999999944121,1871687.040000000270084,1941251.850000000093132,2034439.120000000344589,11903926.950000001117587
FS( 126 ),2097017.919999999925494,2162443.810000000521541,1897355.479999999981374,1866161.380000000121072,1927573.849999999860302,2055780.880000000353903,12006337.320000002160668
FS( 127 ),2099588.719999999739230,2170691.500000000000000,1890055.179999999934807,1871687.040000000270084,1930651.399999999906868,2052306.640000000363216,12014984.480000000447035
FS( 128 ),2100102.879999999888241,2156028.939999999478459,1928016.739999999990687,1872258.660000000149012,1922102.649999999906868,2035431.760000000009313,12013945.629999998956919
FS( 129 ),2067710.800000000279397,2118150.660000000149012,1909765.989999999990687,1875307.300000000046566,1919025.099999999860302,1978851.280000000027940,11868815.129999998956919
FS( 130 ),2034290.399999999906868,2085159.900000000139698,1933856.979999999981374,1865208.680000000167638,1887223.749999999767169,1975377.040000000037253,11781120.750000000000000
FS( 131 ),2045601.919999999925494,2091269.299999999813735,1964518.239999999990687,1868447.860000000102445,1882094.500000000000000,1976369.680000000167638,11828305.500000000000000
FS( 132 ),2068739.120000000111759,2130369.459999999962747,1969628.449999999953434,1885405.920000000158325,1952536.199999999953434,2008630.480000000214204,12015313.630000000819564
FS( 133 ),1992643.440000000176951,2075079.390000000130385,1929476.800000000046566,1839485.780000000260770,1909792.449999999953434,1953538.960000000195578,11700020.820000000298023
FS( 134 ),1979789.440000000176951,2042394.099999999860302,1911226.050000000046566,1845773.600000000093132,1912186.100000000093132,1946094.160000000149012,11637467.449999999254942
FS( 135 ),1995471.320000000298023,2066220.760000000009313,1938967.189999999944121,1850918.180000000167638,1900217.849999999860302,1944605.200000000186265,11696404.500000000000000
FS( 136 ),1996499.640000000130385,2069275.459999999729916,1954297.820000000065193,1890169.420000000158325,1916631.449999999953434,1972895.440000000176951,11799773.229999998584390
FS( 137 ),2029662.960000000195578,2109902.969999999739230,1965978.300000000046566,1881595.120000000111759,1923812.399999999906868,2005156.239999999990687,11916111.990000000223517
FS( 138 ),2056399.280000000027940,2119372.540000000037253,1974008.629999999888241,1885596.459999999962747,1930993.349999999860302,1985799.760000000009313,11952174.019999999552965
FS( 139 ),2033776.239999999990687,2120594.419999999925494,1967438.359999999869615,1905412.620000000111759,1957665.449999999953434,1982325.520000000018626,11967216.609999999403954
FS( 140 ),2042516.960000000195578,2129147.580000000074506,1959408.030000000027940,1908842.340000000316650,1975446.850000000093132,1984807.120000000344589,12000172.880000000819564
FS( 141 ),2044316.520000000018626,2147781.250000000000000,1952837.760000000009313,1909604.500000000000000,1966214.199999999953434,1969917.520000000018626,11990675.750000000000000
FS( 142 ),2046116.080000000074506,2141977.320000000298023,1952837.760000000009313,1904650.459999999962747,1967240.050000000046566,1978354.960000000195578,11991180.630000000819564
FS( 143 ),2011153.200000000186265,2109902.969999999739230,1917066.290000000037253,1901411.280000000260770,1957323.500000000000000,1980836.560000000055879,11877697.800000000745058
FS( 144 ),1999584.600000000093132,2057362.129999999655411,1922176.500000000000000,1930944.980000000214204,1938174.300000000046566,2028483.280000000027940,11876729.789999999105930
FS( 145 ),2021693.480000000214204,2118456.129999999888241,1933126.949999999953434,1925038.240000000223517,2007932.099999999860302,2010615.760000000009313,12016866.660000000149012
FS( 146 ),2039689.080000000074506,2170691.500000000000000,1948457.580000000074506,1929992.280000000260770,2002460.900000000139698,2005156.239999999990687,12096451.580000000074506
FS( 147 ),2045344.840000000083819,2119067.070000000298023,1930936.859999999869615,1915511.240000000223517,2038707.599999999860302,1985303.440000000176951,12034875.049999998882413
FS( 148 ),2064625.840000000083819,2118150.660000000149012,1928016.739999999990687,1892265.360000000102445,1990834.599999999860302,1969917.520000000018626,11963814.720000000670552
FS( 149 ),2088020.120000000111759,2147170.310000000521541,1910496.020000000018626,1905412.620000000111759,2004854.550000000046566,1957013.200000000186265,12012970.820000000298023
FS( 150 ),2083135.600000000093132,2136478.859999999403954,1912686.109999999869615,1896076.160000000149012,1952878.149999999906868,1938649.360000000335276,11919908.239999998360872
FS( 151 ),2064111.680000000167638,2154196.120000000111759,1925096.620000000111759,1922751.760000000009313,1909450.500000000000000,1956516.880000000353903,11932127.560000000521541
FS( 152 ),2097789.160000000149012,2140755.439999999478459,1922906.530000000027940,1914939.620000000111759,1874913.549999999813735,1967435.920000000158325,11918744.220000000670552
FS( 153 ),2106786.959999999962747,2143504.669999999925494,1919986.410000000149012,1922751.760000000009313,1887907.649999999906868,1962472.720000000204891,11943414.169999999925494
FS( 154 ),2118869.719999999739230,2180466.540000000037253,1925096.620000000111759,1915320.699999999953434,1890643.250000000000000,1983814.480000000214204,12014215.310000000521541
FS( 155 ),2110129.000000000000000,2177411.839999999850988,1930936.859999999869615,1924847.699999999953434,1906372.949999999953434,2006148.880000000353903,12055851.230000000447035
FS( 156 ),2080307.720000000204891,2183826.709999999962747,1922176.500000000000000,1921989.600000000093132,1927573.849999999860302,1997215.120000000344589,12033093.500000000000000
FS( 157 ),2060512.560000000288710,2114790.490000000223517,1898815.540000000037253,1918559.880000000121072,1911160.250000000000000,1965450.640000000363216,11869293.360000001266599
FS( 158 ),2066682.480000000214204,2130674.929999999701977,1884944.969999999972060,1916463.940000000176951,1910476.349999999860302,1976866.000000000000000,11886112.669999999925494
FS( 159 ),2083649.760000000009313,2146253.900000000372529,1901005.629999999888241,1917607.180000000167638,1926889.949999999953434,1972895.440000000176951,11948305.859999999403954
FS( 160 ),2084678.080000000074506,2163665.689999999478459,1901005.629999999888241,1910176.120000000111759,1914921.699999999953434,1969421.200000000186265,11943872.419999998062849
FS( 161 ),2112956.879999999888241,2172524.320000000298023,1912686.109999999869615,1927134.180000000167638,1934754.799999999813735,2002674.640000000363216,12062734.929999999701977
FS( 162 ),2117070.160000000149012,2165498.509999999776483,1909035.959999999962747,1923704.459999999962747,1931677.250000000000000,1990266.640000000363216,12037256.980000000447035
FS( 163 ),2142006.919999999925494,2204598.669999999925494,1919256.379999999888241,1924085.540000000270084,1942619.650000000139698,1991259.280000000027940,12123830.439999999478459
FS( 164 ),2152804.280000000260770,2215595.589999999850988,1949917.640000000130385,1920846.360000000102445,1938516.249999999767169,1994733.520000000018626,12172417.639999998733401
FS( 165 ),2149205.160000000149012,2252251.990000000223517,1962328.149999999906868,1911128.820000000065193,1928599.699999999953434,1985799.760000000009313,12189317.580000000074506
FS( 166 ),2160259.600000000558794,2282493.519999999552965,1968168.390000000130385,1919893.660000000149012,1973053.199999999953434,2002178.320000000298023,12306050.689999999478459
