代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14854542.539999999105930
真實報酬,4854542.539999999105930

夏普值報酬,0.476754254000000
夏普值風險,0.106543853445872
夏普值,4.474723210965975

二次趨勢線,-52.797770444362094 x^2 + 32305.427647058600996 x + 10000000.000000000000000
二次平均預期報酬,18894.793954190630757
風險,196332.633716088515939
二次平均趨勢值,0.096238682263662
一次趨勢線,22267.290592929562990 x + 10000000.000000000000000
一次預期報酬,22267.290592929562990
一次風險,427461.858027804002631
一次趨勢值,0.052091877145870
找到最佳解世代,2204
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
KO[14](8),MCD[15](19),UNH[23](1),VZ[26](3),WBA[27](5),XOM[29](11),
FS( 167 ),2128960.219999999739230,1890763.510000000242144,2548168.120000000111759,2339666.020000000484288,2719611.000000000000000,2518099.719999999739230,14145272.589999999850988
FS( 168 ),2162266.719999999739230,1871026.940000000176951,2540388.400000000372529,2282632.120000000111759,2680706.000000000000000,2496607.790000000037253,14033631.969999998807907
FS( 169 ),2146279.599999999627471,1866030.340000000083819,2606815.240000000223517,2302910.839999999850988,2625486.000000000000000,2504851.269999999552965,14052377.289999999105930
FS( 170 ),2183582.879999999888241,1904753.989999999990687,2680423.359999999403954,2304178.259999999776483,2668783.500000000000000,2526637.609999999403954,14268363.599999997764826
FS( 171 ),2171592.540000000037253,1899507.560000000055879,2660076.400000000372529,2286434.379999999888241,2649958.500000000000000,2504851.269999999552965,14172424.649999998509884
FS( 172 ),2172258.669999999925494,1906003.140000000130385,2606815.240000000223517,2281998.410000000149012,2626113.500000000000000,2494252.509999999776483,14087445.470000000670552
FS( 173 ),2186247.400000000372529,1887265.890000000130385,2622973.120000000111759,2311782.779999999329448,2659998.500000000000000,2490719.589999999850988,14158991.279999999329448
FS( 174 ),2185581.270000000484288,1893261.810000000055879,2662470.160000000149012,2322555.849999999627471,2673803.500000000000000,2484242.570000000298023,14221919.160000000149012
FS( 175 ),2174923.189999999478459,1915746.510000000242144,2620579.359999999403954,2306713.099999999627471,2633016.000000000000000,2395919.570000000298023,14046901.729999998584390
FS( 176 ),2158936.069999999366701,1916995.660000000149012,2608610.560000000521541,2271859.049999999813735,2631133.500000000000000,2417705.910000000149012,14005244.750000000000000
FS( 177 ),2129626.349999999627471,1890513.680000000167638,2582877.639999999664724,2229400.479999999515712,2609798.500000000000000,2425360.570000000298023,13867581.219999998807907
FS( 178 ),2099650.500000000000000,1876773.030000000260770,2560735.359999999403954,2209755.469999999739230,2577168.500000000000000,2396213.980000000447035,13720300.839999999850988
FS( 179 ),2051689.140000000130385,1833302.609999999869615,2505080.439999999478459,2173634.000000000000000,2548303.500000000000000,2334976.700000000186265,13446990.390000000596046
FS( 180 ),2074337.560000000055879,1833802.270000000251457,2529616.480000000447035,2238906.129999999888241,2583443.500000000000000,2389442.549999999813735,13649552.490000002086163
FS( 181 ),2088326.290000000037253,1823559.239999999990687,2549365.000000000000000,2271225.339999999850988,2567128.500000000000000,2380315.839999999850988,13679924.210000000894070
FS( 182 ),2117636.009999999776483,1842796.150000000139698,2584672.959999999962747,2310515.360000000335276,2633643.500000000000000,2438903.429999999701977,13928171.410000000149012
FS( 183 ),2115637.620000000111759,1845544.280000000260770,2557743.160000000149012,2341567.150000000372529,2460453.500000000000000,2430659.950000000186265,13751609.660000000149012
FS( 184 ),2140950.559999999590218,1862033.060000000055879,2558341.599999999627471,2343468.279999999329448,2499358.500000000000000,2431837.589999999850988,13835993.589999997988343
FS( 185 ),2154939.290000000037253,1872026.260000000242144,2621177.799999999813735,2356142.479999999515712,2506888.500000000000000,2435664.919999999925494,13946843.249999998137355
FS( 186 ),2172258.669999999925494,1880020.820000000065193,2618185.599999999627471,2363113.290000000037253,2487436.000000000000000,2461867.410000000149012,13982885.789999999105930
FS( 187 ),2166263.500000000000000,1873775.070000000065193,2625366.879999999888241,2392263.950000000186265,2464846.000000000000000,2457451.259999999776483,13979970.660000000149012
FS( 188 ),2188911.919999999925494,1883018.780000000260770,2661871.719999999739230,2426484.290000000037253,2505633.500000000000000,2450974.240000000223517,14116898.450000001117587
FS( 189 ),2199570.000000000000000,1894011.300000000046566,2716928.200000000186265,2437257.360000000335276,2510026.000000000000000,2487481.080000000074506,14245277.939999999478459
FS( 190 ),2209561.950000000186265,1901006.540000000037253,2704959.400000000372529,2442327.040000000037253,2518811.000000000000000,2476882.320000000298023,14253552.250000000000000
FS( 191 ),2238871.669999999925494,1898508.239999999990687,2729495.439999999478459,2437891.070000000298023,2569011.000000000000000,2493074.870000000111759,14366856.289999999105930
FS( 192 ),2253526.530000000260770,1908501.440000000176951,2728897.000000000000000,2446763.009999999776483,2562108.500000000000000,2498668.660000000149012,14398469.140000000596046
FS( 193 ),2247531.360000000335276,1913747.869999999878928,2698376.560000000521541,2432187.679999999701977,2579678.500000000000000,2514861.209999999962747,14386387.179999999701977
FS( 194 ),2252860.400000000372529,1916745.830000000074506,2690596.839999999850988,2398601.049999999813735,2586581.000000000000000,2507795.370000000111759,14353184.490000002086163
FS( 195 ),2246199.099999999627471,1899007.900000000139698,2658879.519999999552965,2392897.660000000149012,2593483.500000000000000,2524871.150000000372529,14315342.830000000074506
FS( 196 ),2240870.059999999590218,1899757.390000000130385,2655887.320000000298023,2390362.820000000298023,2573403.500000000000000,2530464.940000000409782,14290750.030000001192093
FS( 197 ),2244866.839999999850988,1905003.820000000065193,2652296.679999999701977,2398601.049999999813735,2594111.000000000000000,2507206.549999999813735,14302089.940000001341105
FS( 198 ),2228213.589999999850988,1915246.850000000093132,2681620.240000000223517,2385293.139999999664724,2589718.500000000000000,2448913.370000000111759,14249009.690000001341105
FS( 199 ),2240870.059999999590218,1920992.940000000176951,2652895.120000000111759,2388461.689999999478459,2592856.000000000000000,2448324.549999999813735,14244404.359999999403954
FS( 200 ),2275508.819999999366701,1925489.879999999888241,2682218.679999999701977,2389729.110000000335276,2601013.500000000000000,2456568.030000000260770,14330532.019999999552965
FS( 201 ),2265516.870000000111759,1933234.609999999869615,2691793.719999999739230,2398601.049999999813735,2627368.500000000000000,2481592.879999999888241,14398111.629999998956919
FS( 202 ),2242202.319999999366701,1923741.070000000065193,2606216.799999999813735,2364380.709999999962747,2613563.500000000000000,2446558.089999999850988,14196666.489999998360872
FS( 203 ),2234208.759999999776483,1913747.869999999878928,2630752.839999999850988,2359944.740000000223517,2658743.500000000000000,2467166.790000000037253,14264568.500000000000000
FS( 204 ),2259521.700000000186265,1958717.270000000251457,2647509.160000000149012,2394798.790000000037253,2670666.000000000000000,2521632.640000000596046,14452849.560000002384186
FS( 205 ),2260853.959999999962747,1921492.600000000093132,2861152.240000000223517,2339032.309999999590218,2678823.500000000000000,2542535.750000000000000,14603894.359999999403954
FS( 206 ),2256191.049999999813735,1926988.859999999869615,2855167.839999999850988,2344101.990000000223517,2663763.500000000000000,2538414.009999999776483,14584631.250000000000000
FS( 207 ),2229545.849999999627471,1922242.090000000083819,2833624.000000000000000,2384659.429999999701977,2690118.500000000000000,2573743.209999999962747,14633937.079999998211861
FS( 208 ),2231544.240000000223517,1945476.280000000260770,2885089.839999999850988,2423949.450000000186265,2690746.000000000000000,2584341.969999999739230,14761151.780000001192093
FS( 209 ),2245532.969999999739230,1949473.560000000055879,2938351.000000000000000,2425216.870000000111759,2708943.500000000000000,2571387.929999999701977,14838909.829999998211861
FS( 210 ),2246865.229999999515712,1956468.800000000046566,2946130.719999999739230,2394165.080000000074506,2680706.000000000000000,2590230.169999999925494,14814569.999999998137355
FS( 211 ),2255524.919999999925494,1964713.190000000176951,2985029.320000000298023,2380223.459999999962747,2654978.500000000000000,2560494.759999999776483,14800968.150000000372529
FS( 212 ),2260853.959999999962747,1972208.090000000083819,2973060.519999999552965,2395432.500000000000000,2705806.000000000000000,2520749.410000000149012,14828114.480000000447035
FS( 213 ),2246865.229999999515712,1975455.879999999888241,2965879.240000000223517,2387194.270000000484288,2684471.000000000000000,2496902.200000000186265,14756771.820000000298023
FS( 214 ),2221552.290000000037253,1963713.869999999878928,2967076.120000000111759,2352340.219999999739230,2666901.000000000000000,2432426.410000000149012,14604013.910000000149012
FS( 215 ),2228213.589999999850988,1966212.170000000158325,2999391.879999999888241,2362479.580000000074506,2656861.000000000000000,2434487.280000000260770,14647649.500000000000000
FS( 216 ),2230211.979999999515712,1981451.800000000046566,3020337.279999999329448,2359944.740000000223517,2704551.000000000000000,2448913.370000000111759,14745414.169999998062849
FS( 217 ),2242868.450000000186265,1991445.000000000000000,3022731.040000000037253,2380857.169999999925494,2729651.000000000000000,2453623.929999999701977,14821180.589999999850988
FS( 218 ),2242202.319999999366701,1986448.400000000139698,2993407.480000000447035,2361212.160000000149012,2766673.500000000000000,2388264.910000000149012,14738212.769999999552965
FS( 219 ),2275508.819999999366701,2015178.850000000093132,2996998.120000000111759,2371985.229999999515712,2819383.500000000000000,2386204.040000000037253,14865262.559999998658895
FS( 220 ),2270845.910000000149012,2017177.489999999990687,2989218.400000000372529,2361212.160000000149012,2821893.500000000000000,2380904.660000000149012,14841256.120000001043081
FS( 221 ),2259521.700000000186265,2027170.690000000176951,3002384.080000000074506,2342834.570000000298023,2831306.000000000000000,2362356.830000000074506,14825577.870000001043081
FS( 222 ),2264184.610000000335276,2021924.260000000242144,2991612.160000000149012,2351706.509999999776483,2779851.000000000000000,2367361.799999999813735,14776644.339999999850988
FS( 223 ),2274842.689999999478459,2036164.570000000065193,3028715.439999999478459,2350439.089999999850988,2772948.500000000000000,2406518.330000000074506,14869632.619999999180436
FS( 224 ),2280171.729999999515712,2061397.400000000139698,3025124.799999999813735,2365014.419999999925494,2775458.500000000000000,2423888.519999999552965,14931059.369999999180436
FS( 225 ),2274842.689999999478459,2056900.459999999962747,2976651.160000000149012,2354241.349999999627471,2784243.500000000000000,2401513.359999999403954,14848396.519999999552965
FS( 226 ),2247531.360000000335276,2061147.570000000065193,2941941.639999999664724,2335230.049999999813735,2792401.000000000000000,2375016.459999999962747,14753272.080000001937151
FS( 227 ),2247531.360000000335276,2064645.190000000176951,2870128.839999999850988,2338398.599999999627471,2779223.500000000000000,2393269.879999999888241,14693201.370000001043081
FS( 228 ),2228879.719999999739230,2066643.830000000074506,2864742.879999999888241,2306713.099999999627471,2769811.000000000000000,2412995.349999999627471,14649789.879999998956919
FS( 229 ),2221552.290000000037253,2059398.760000000242144,2854569.400000000372529,2320021.009999999776483,2742201.000000000000000,2425654.980000000447035,14623401.440000001341105
FS( 230 ),2215557.120000000111759,2039162.530000000260770,2890475.799999999813735,2323823.270000000484288,2742828.500000000000000,2432720.820000000298023,14644572.040000000968575
FS( 231 ),2225549.069999999366701,2037163.890000000130385,2929374.400000000372529,2340299.729999999515712,2737808.500000000000000,2457451.259999999776483,14727650.849999999627471
FS( 232 ),2223550.679999999701977,2023173.410000000149012,2893468.000000000000000,2298474.870000000111759,2718356.000000000000000,2415056.219999999739230,14572083.179999999701977
FS( 233 ),2199570.000000000000000,2017427.320000000065193,2955705.759999999776483,2292137.770000000484288,2712081.000000000000000,2394447.519999999552965,14571373.370000001043081
FS( 234 ),2182916.750000000000000,2012180.890000000130385,2923390.000000000000000,2257917.429999999701977,2707688.500000000000000,2390031.370000000111759,14474128.940000001341105
FS( 235 ),2178919.969999999739230,2016178.170000000158325,2881499.200000000186265,2231301.610000000335276,2694511.000000000000000,2363828.879999999888241,14366242.829999998211861
FS( 236 ),2171592.540000000037253,2027170.690000000176951,2870727.279999999329448,2242074.679999999701977,2693883.500000000000000,2355290.990000000223517,14360743.679999999701977
FS( 237 ),2178253.839999999850988,2027420.520000000251457,2884491.400000000372529,2275027.599999999627471,2709571.000000000000000,2377666.150000000372529,14452434.509999999776483
FS( 238 ),2194907.089999999850988,2030168.650000000139698,3028117.000000000000000,2260452.270000000484288,2735926.000000000000000,2390031.370000000111759,14639606.380000002682209
FS( 239 ),2178253.839999999850988,2007683.949999999953434,2956902.639999999664724,2230034.189999999478459,2696393.500000000000000,2348813.969999999739230,14418086.089999999850988
FS( 240 ),2168928.020000000484288,2016927.660000000149012,2938949.439999999478459,2257917.429999999701977,2729651.000000000000000,2332621.419999999925494,14444998.970000000670552
FS( 241 ),2185581.270000000484288,2035415.080000000074506,2968273.000000000000000,2254748.879999999888241,2767301.000000000000000,2366478.570000000298023,14577801.800000000745058
FS( 242 ),2164265.110000000335276,2029668.989999999990687,2953312.000000000000000,2225598.219999999739230,2747848.500000000000000,2315840.049999999813735,14436536.870000001043081
FS( 243 ),2180918.360000000335276,2043909.300000000046566,2971863.639999999664724,2233202.740000000223517,2784871.000000000000000,2332327.009999999776483,14547096.049999998882413
FS( 244 ),2185581.270000000484288,2061647.229999999981374,2989816.839999999850988,2250312.910000000149012,2803068.500000000000000,2326438.809999999590218,14616869.559999998658895
FS( 245 ),2192908.700000000186265,2065894.340000000083819,3068212.480000000447035,2259184.849999999627471,2835071.000000000000000,2346753.099999999627471,14768028.470000000670552
FS( 246 ),2206897.429999999701977,2068642.469999999972060,3125064.279999999329448,2280730.990000000223517,2715846.000000000000000,2372072.359999999403954,14769257.529999997466803
FS( 247 ),2211560.339999999850988,2064895.020000000251457,3098732.919999999925494,2277562.439999999478459,2676313.500000000000000,2349991.609999999403954,14679059.829999998211861
FS( 248 ),2164265.110000000335276,2055901.140000000130385,3061031.200000000186265,2284533.250000000000000,2672548.500000000000000,2309363.030000000260770,14547646.230000000447035
FS( 249 ),2162932.849999999627471,2044658.790000000037253,3019738.839999999850988,2281364.700000000186265,2597248.500000000000000,2260490.969999999739230,14366438.649999998509884
FS( 250 ),2171592.540000000037253,2056650.629999999888241,3053849.919999999925494,2306713.099999999627471,2617956.000000000000000,2294053.709999999962747,14500819.899999998509884
FS( 251 ),2199570.000000000000000,2107366.120000000111759,3098134.480000000447035,2317486.169999999925494,2609798.500000000000000,2344397.820000000298023,14676757.089999999850988
FS( 252 ),2221552.290000000037253,2112862.379999999888241,3084370.359999999403954,2326991.820000000298023,2620466.000000000000000,2362651.240000000223517,14728898.089999999850988
FS( 253 ),2241536.189999999478459,2106616.629999999888241,3086764.120000000111759,2359311.029999999329448,2664391.000000000000000,2395919.570000000298023,14854542.539999999105930
