代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13799778.529999999329448
真實報酬,3799778.529999999329448

夏普值報酬,0.371277853000000
夏普值風險,0.100232642990053
夏普值,3.704161058956052

二次趨勢線,31.927237780736178 x^2 + 8069.302059080019717 x + 10000000.000000000000000
二次平均預期報酬,16146.893217606269900
風險,165161.668125162803335
二次平均趨勢值,0.097764168895230
一次趨勢線,14115.499005462026616 x + 10000000.000000000000000
一次預期報酬,14115.499005462026616
一次風險,281377.506832133338321
一次趨勢值,0.050165697906632
找到最佳解世代,2637
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
AAPL[0](4),BA[2](1),CAT[3](8),MCD[15](2),UNH[23](5),V[25](10),
FS( 14 ),1728194.739999999990687,1716013.840000000083819,1744274.000000000000000,1760514.760000000009313,1690448.319999999832362,1763110.869999999878928,10402560.529999999329448
FS( 15 ),1714811.369999999878928,1715242.780000000027940,1730540.000000000000000,1775464.119999999878928,1700150.559999999823049,1788173.109999999636784,10424385.939999999478459
FS( 16 ),1691868.449999999953434,1708431.750000000000000,1715498.000000000000000,1763560.000000000000000,1676959.839999999618158,1766467.419999999692664,10322789.459999999031425
FS( 17 ),1680223.179999999934807,1732977.159999999916181,1804006.000000000000000,1684799.019999999785796,1676604.879999999655411,1756397.769999999785796,10335012.009999997913837
FS( 18 ),1789375.859999999869615,1747241.770000000251457,1833435.999999999767169,1653931.360000000102445,1676368.239999999757856,1757292.849999999860302,10457650.080000000074506
FS( 19 ),1813535.449999999953434,1709331.319999999832362,1807712.000000000000000,1653100.840000000083819,1689146.799999999580905,1772061.669999999692664,10444892.079999998211861
FS( 20 ),1811275.919999999692664,1717684.469999999972060,1804224.000000000000000,1628600.500000000000000,1694352.879999999655411,1746551.889999999664724,10402693.660000000149012
FS( 21 ),1843256.959999999962747,1711901.520000000251457,1786566.000000000000000,1633583.620000000111759,1698020.799999999580905,1751251.059999999823049,10424583.960000000894070
FS( 22 ),1815968.790000000037253,1691211.409999999916181,1771088.000000000000000,1629292.600000000093132,1693997.919999999692664,1751698.599999999860302,10353261.320000000298023
FS( 23 ),1838737.900000000139698,1694681.180000000167638,1788310.000000000000000,1626801.039999999804422,1690566.639999999664724,1761320.709999999729916,10400421.469999998807907
FS( 24 ),1840128.379999999888241,1686199.520000000251457,1782642.000000000000000,1637597.799999999813735,1688555.199999999953434,1778551.000000000000000,10413677.900000000372529
FS( 25 ),1868111.790000000037253,1692882.040000000037253,1799864.000000000000000,1650194.019999999785796,1691868.159999999916181,1793319.819999999832362,10496243.830000000074506
FS( 26 ),1883580.879999999888241,1698793.500000000000000,1819048.000000000000000,1637459.380000000121072,1681692.639999999664724,1789068.189999999944121,10509646.589999997988343
FS( 27 ),1891228.520000000018626,1704319.430000000167638,1805750.000000000000000,1637736.219999999972060,1678024.719999999739230,1791529.659999999916181,10508592.550000000745058
FS( 28 ),1877149.909999999916181,1699950.090000000083819,1801826.000000000232831,1644518.799999999813735,1682402.559999999823049,1783026.399999999906868,10488877.759999999776483
FS( 29 ),1875933.239999999990687,1709202.810000000055879,1814688.000000000000000,1652547.159999999916181,1687608.639999999664724,1792872.279999999795109,10532856.129999998956919
FS( 30 ),1880278.489999999990687,1710487.909999999916181,1809456.000000000000000,1654485.039999999804422,1690566.639999999664724,1790634.579999999608845,10535912.660000000149012
FS( 31 ),1902873.790000000037253,1730535.469999999972060,1834526.000000000232831,1640643.039999999804422,1675658.319999999832362,1810550.109999999636784,10594790.729999998584390
FS( 32 ),1901135.689999999944121,1734904.810000000055879,1837578.000000000232831,1632614.679999999934807,1669269.039999999804422,1808312.409999999916181,10583818.629999998956919
FS( 33 ),1898354.729999999981374,1731306.530000000027940,1840194.000000000000000,1620987.399999999906868,1676723.199999999953434,1808983.719999999972060,10576553.580000000074506
FS( 34 ),1895921.389999999897555,1734904.810000000055879,1817740.000000000000000,1621402.659999999916181,1682165.919999999692664,1796228.829999999608845,10548367.609999999403954
FS( 35 ),1900788.069999999832362,1727708.250000000000000,1827768.000000000000000,1592057.620000000111759,1680627.759999999543652,1800704.229999999748543,10529657.929999999701977
FS( 36 ),1886014.219999999972060,1734776.300000000279397,1822318.000000000000000,1597732.840000000083819,1681219.359999999869615,1813906.659999999916181,10535971.380000000819564
FS( 37 ),1891923.759999999776483,1723852.949999999953434,1831474.000000000000000,1594549.179999999934807,1680272.799999999580905,1808088.639999999664724,10530165.329999998211861
FS( 38 ),1877671.339999999850988,1712929.599999999860302,1812726.000000000232831,1590119.739999999990687,1654952.319999999832362,1796676.369999999878928,10445079.369999999180436
FS( 39 ),1869676.079999999841675,1708945.790000000037253,1805968.000000000000000,1597871.260000000009313,1624544.079999999841675,1797347.679999999701977,10404356.889999998733401
FS( 40 ),1858726.049999999813735,1699307.540000000037253,1802044.000000000000000,1584167.679999999934807,1616498.319999999832362,1802941.929999999701977,10363689.519999999552965
FS( 41 ),1856640.329999999841675,1707917.710000000195578,1811635.999999999767169,1597594.419999999925494,1624189.119999999878928,1809655.029999999795109,10407636.609999999403954
FS( 42 ),1842387.909999999916181,1681059.120000000111759,1798120.000000000000000,1596902.319999999832362,1619456.319999999832362,1816368.129999999888241,10354297.800000000745058
FS( 43 ),1844126.009999999776483,1663581.760000000009313,1786566.000000000000000,1601054.919999999925494,1609754.079999999841675,1810326.339999999850988,10315413.109999999403954
FS( 44 ),1855076.040000000037253,1669364.710000000195578,1775666.000000000000000,1597456.000000000000000,1606086.159999999916181,1819277.139999999664724,10322930.050000000745058
FS( 45 ),1872457.040000000037253,1685556.969999999972060,1780898.000000000000000,1603408.059999999823049,1616380.000000000000000,1834941.039999999804422,10393645.109999999403954
FS( 46 ),1871935.609999999869615,1709074.300000000279397,1789400.000000000000000,1623063.699999999953434,1608807.519999999785796,1846800.849999999860302,10449085.980000000447035
FS( 47 ),1883407.069999999832362,1704576.449999999953434,1825152.000000000000000,1618495.840000000083819,1597212.159999999916181,1862688.519999999785796,10491536.039999999105930
FS( 48 ),1834045.029999999795109,1707917.710000000195578,1821228.000000000232831,1608114.340000000083819,1602536.559999999823049,1856646.729999999748543,10430492.370000001043081
FS( 49 ),1792504.439999999944121,1651758.840000000083819,1761278.000000000232831,1586105.559999999823049,1581002.319999999832362,1819948.449999999720603,10192601.609999999403954
FS( 50 ),1832654.549999999813735,1672191.930000000167638,1785912.000000000000000,1605069.100000000093132,1603601.439999999711290,1856646.729999999748543,10356079.750000000000000
FS( 51 ),1876280.859999999869615,1654714.569999999832362,1749070.000000000000000,1588181.860000000102445,1584906.879999999655411,1832479.569999999832362,10285637.740000000223517
FS( 52 ),1942676.279999999795109,1640706.979999999981374,1766292.000000000000000,1594410.760000000009313,1581830.559999999823049,1823528.769999999785796,10349449.349999999627471
FS( 53 ),2008724.079999999841675,1641992.080000000074506,1788310.000000000000000,1607699.080000000074506,1604548.000000000000000,1835164.809999999823049,10486442.050000000745058
FS( 54 ),1997426.429999999934807,1628241.510000000009313,1788746.000000000000000,1595794.959999999962747,1638387.519999999785796,1836507.429999999701977,10485107.849999999627471
FS( 55 ),1974135.889999999897555,1638265.290000000037253,1785040.000000000000000,1594826.019999999785796,1629040.239999999757856,1846353.309999999823049,10467664.750000000000000
FS( 56 ),1973962.079999999841675,1642249.100000000093132,1781116.000000000000000,1611990.100000000093132,1626555.519999999785796,1845682.000000000000000,10481558.799999998882413
FS( 57 ),1973614.459999999962747,1677846.370000000111759,1819702.000000000000000,1618634.260000000009313,1655425.599999999627471,1862240.979999999748543,10607467.669999999925494
FS( 58 ),1992212.129999999888241,1694681.180000000167638,1820356.000000000000000,1624586.319999999832362,1668795.759999999543652,1865373.759999999776483,10666009.150000000372529
FS( 59 ),1959014.419999999692664,1693524.590000000083819,1797248.000000000000000,1621956.340000000083819,1662524.799999999580905,1847024.619999999878928,10581296.769999997690320
FS( 60 ),1961969.189999999944121,1677974.879999999888241,1795722.000000000000000,1613097.459999999962747,1653177.519999999785796,1830689.409999999916181,10532634.460000000894070
FS( 61 ),1965619.199999999953434,1687613.129999999888241,1806840.000000000000000,1617942.159999999916181,1665837.759999999543652,1838521.359999999636784,10582377.609999999403954
FS( 62 ),1980566.859999999869615,1699307.540000000037253,1887718.000000000000000,1594410.760000000009313,1661341.599999999627471,1856646.729999999748543,10679995.490000000223517
FS( 63 ),1949802.489999999990687,1683886.340000000083819,1906902.000000000000000,1589012.380000000121072,1636612.719999999739230,1833150.879999999888241,10599370.809999998658895
FS( 64 ),1964923.959999999962747,1693010.550000000279397,1935242.000000000000000,1596902.319999999832362,1656490.479999999748543,1850604.939999999944121,10697178.250000000000000
FS( 65 ),1955712.029999999795109,1701235.189999999944121,1924560.000000000000000,1586936.080000000074506,1638624.159999999916181,1854185.259999999776483,10661256.719999998807907
FS( 66 ),1964054.909999999916181,1699564.560000000055879,1907774.000000000000000,1571156.199999999953434,1634719.599999999627471,1851276.250000000000000,10628549.519999999552965
FS( 67 ),1964923.959999999962747,1730535.469999999972060,1949412.000000000000000,1569910.419999999925494,1628093.679999999701977,1865149.989999999757856,10708029.519999999552965
FS( 68 ),1979524.000000000000000,1727451.229999999981374,1946578.000000000232831,1576969.840000000083819,1614723.519999999785796,1865373.759999999776483,10710624.349999999627471
FS( 69 ),1982478.770000000018626,1720126.159999999916181,1928702.000000000000000,1570464.100000000093132,1616971.599999999627471,1854632.799999999813735,10673379.429999999701977
FS( 70 ),2017066.959999999962747,1745699.650000000139698,1923252.000000000000000,1587905.019999999785796,1633773.039999999804422,1860003.279999999795109,10767703.949999999254942
FS( 71 ),2021412.209999999962747,1718712.550000000279397,1906902.000000000000000,1573647.760000000009313,1594372.479999999748543,1835836.119999999878928,10650887.119999999180436
FS( 72 ),2039488.449999999953434,1711258.969999999972060,1909300.000000000000000,1587905.019999999785796,1598513.679999999701977,1840535.289999999804422,10687005.409999998286366
FS( 73 ),2033231.290000000037253,1714086.189999999944121,1896002.000000000000000,1597594.419999999925494,1587746.559999999823049,1832032.029999999795109,10660696.490000000223517
FS( 74 ),2044528.939999999944121,1715628.310000000055879,1911262.000000000000000,1579322.979999999981374,1584551.919999999692664,1845010.689999999944121,10680308.839999999850988
FS( 75 ),2043138.459999999962747,1722053.810000000055879,1902978.000000000232831,1556068.419999999925494,1587036.639999999664724,1838297.589999999850988,10649576.919999999925494
FS( 76 ),2041747.979999999981374,1736189.909999999916181,1901452.000000000000000,1540011.699999999953434,1696600.959999999497086,1825542.699999999720603,10741549.249999998137355
FS( 77 ),2035664.629999999888241,1750068.990000000223517,1918456.000000000000000,1540150.120000000111759,1708196.319999999832362,1853066.409999999916181,10805606.470000000670552
FS( 78 ),2034621.770000000018626,1745699.650000000139698,1888590.000000000000000,1530599.139999999897555,1716478.719999999739230,1846129.539999999804422,10762122.819999998435378
FS( 79 ),2026626.509999999776483,1743000.939999999944121,1882050.000000000000000,1577108.260000000009313,1720028.319999999832362,1842772.989999999757856,10791591.019999999552965
FS( 80 ),2044876.560000000055879,1766389.760000000009313,1874638.000000000000000,1572125.139999999897555,1711982.559999999823049,1861122.129999999888241,10831138.149999998509884
FS( 81 ),2055305.159999999916181,1786565.830000000074506,1841720.000000000000000,1560359.439999999944121,1701215.439999999711290,1835612.349999999860302,10780782.219999998807907
FS( 82 ),2009071.699999999953434,1870354.349999999860302,1834090.000000000000000,1551915.819999999832362,1682875.839999999618158,1829346.789999999804422,10777658.499999998137355
FS( 83 ),1989778.790000000037253,1841696.620000000111759,1809674.000000000000000,1551500.559999999823049,1679444.559999999823049,1833150.879999999888241,10705249.410000000149012
FS( 84 ),1976569.229999999981374,1837841.319999999832362,1828640.000000000000000,1551777.399999999906868,1660631.679999999701977,1839863.979999999748543,10695327.609999999403954
FS( 85 ),1973440.650000000139698,1830387.740000000223517,1819483.999999999767169,1558283.139999999897555,1672227.039999999804422,1846353.309999999823049,10700179.880000000819564
FS( 86 ),1937809.599999999860302,1830130.719999999972060,1792888.000000000000000,1553853.699999999953434,1649746.239999999757856,1826437.779999999795109,10590870.039999999105930
FS( 87 ),1939547.699999999953434,1808798.060000000055879,1768254.000000000000000,1555791.580000000074506,1644421.839999999618158,1803165.699999999720603,10519982.879999998956919
FS( 88 ),1908957.139999999897555,1799416.830000000074506,1771742.000000000000000,1546517.439999999944121,1630815.039999999804422,1804732.089999999850988,10462184.539999999105930
FS( 89 ),1891749.949999999953434,1793248.349999999860302,1794414.000000000000000,1537104.880000000121072,1629395.199999999953434,1798242.759999999776483,10444159.139999998733401
FS( 90 ),1919038.119999999878928,1838098.340000000083819,1825806.000000000000000,1561743.639999999897555,1679326.239999999757856,1846353.309999999823049,10670369.650000000372529
FS( 91 ),1930335.770000000018626,1827432.010000000009313,1846080.000000000232831,1579599.819999999832362,1690803.279999999795109,1854632.799999999813735,10728887.679999999701977
FS( 92 ),1927207.189999999944121,1864571.400000000139698,1988216.000000000000000,1591642.360000000102445,1678971.279999999795109,1862688.519999999785796,10913300.750000000000000
FS( 93 ),1873499.900000000139698,1897984.000000000000000,2037266.000000000000000,1585136.620000000111759,1729020.639999999664724,1832032.029999999795109,10954943.189999999478459
FS( 94 ),1884623.739999999990687,1908650.330000000074506,2027674.000000000000000,1581122.439999999944121,1732451.919999999692664,1832255.799999999813735,10966782.230000000447035
FS( 95 ),1837347.419999999692664,1927541.300000000279397,2052962.000000000000000,1631507.319999999832362,1801787.439999999711290,1753936.299999999813735,11005085.779999997466803
FS( 96 ),1861680.819999999832362,1903381.420000000158325,2058848.000000000000000,1637874.639999999897555,1801195.839999999618158,1758187.929999999701977,11021172.649999998509884
FS( 97 ),1911738.099999999860302,1881920.250000000000000,2035085.999999999767169,1650194.019999999785796,1792558.479999999748543,1791977.199999999720603,11063478.049999998882413
FS( 98 ),1911042.859999999869615,1867655.640000000130385,2022660.000000000000000,1653516.100000000093132,1783921.119999999878928,1814130.429999999701977,11052930.149999998509884
FS( 99 ),1912954.770000000018626,1880763.659999999916181,2013068.000000000000000,1661129.199999999953434,1768302.879999999655411,1808536.179999999701977,11044758.689999999478459
FS( 100 ),1941981.040000000037253,1889373.830000000074506,2025276.000000000232831,1654208.199999999953434,1779661.599999999627471,1828004.169999999692664,11118508.839999999850988
FS( 101 ),1943197.709999999962747,1921501.330000000074506,2040972.000000000000000,1656838.179999999934807,1801550.799999999580905,1788620.649999999906868,11152684.669999999925494
FS( 102 ),1933290.540000000037253,1924328.550000000279397,2096780.000000000232831,1663067.080000000074506,1816695.759999999543652,1780564.929999999701977,11214730.859999999403954
FS( 103 ),1943023.900000000139698,1928183.849999999860302,2088714.000000000000000,1670264.919999999925494,1808058.399999999674037,1793096.049999999813735,11231345.120000001043081
FS( 104 ),1939200.079999999841675,1924714.080000000074506,2068876.000000000232831,1686321.639999999897555,1799776.000000000000000,1769600.199999999720603,11188492.000000000000000
FS( 105 ),1937288.169999999692664,1948745.449999999953434,2050128.000000000232831,1670541.760000000009313,1864615.359999999869615,1771166.589999999850988,11242489.330000000074506
FS( 106 ),1920950.029999999795109,1934866.370000000111759,2083264.000000000000000,1651024.539999999804422,1873252.719999999739230,1730216.679999999701977,11193578.339999999850988
FS( 107 ),1903047.599999999860302,1958383.699999999953434,2098088.000000000000000,1639950.939999999944121,1904252.559999999823049,1687924.149999999906868,11191650.950000001117587
FS( 108 ),1910173.810000000055879,1956584.560000000055879,2074108.000000000000000,1636767.279999999795109,1901767.839999999618158,1694413.479999999748543,11173818.970000000670552
FS( 109 ),1896442.819999999832362,1955427.969999999972060,2059066.000000000000000,1651301.380000000121072,1865088.639999999664724,1729992.909999999916181,11157323.719999998807907
FS( 110 ),1911042.859999999869615,1956456.050000000279397,2075852.000000000000000,1650747.699999999953434,1861420.719999999739230,1725517.509999999776483,11181040.839999999850988
FS( 111 ),1929814.339999999850988,1980872.949999999953434,2121850.000000000000000,1660021.840000000083819,1886031.279999999795109,1774746.909999999916181,11353341.320000000298023
FS( 112 ),1948759.629999999888241,1996936.699999999953434,2098742.000000000000000,1667358.100000000093132,1885084.719999999739230,1774075.599999999860302,11370960.749999998137355
FS( 113 ),1980566.859999999869615,2011072.800000000279397,2082610.000000000000000,1678570.120000000111759,1894550.319999999832362,1770942.819999999832362,11418316.919999999925494
FS( 114 ),1969269.209999999962747,2019682.969999999972060,2072800.000000000000000,1685214.279999999795109,1887096.159999999916181,1756621.539999999804422,11390688.159999998286366
FS( 115 ),2002119.299999999813735,2013257.469999999972060,2093292.000000000000000,1698225.760000000009313,1899519.759999999543652,1772285.439999999944121,11478703.729999998584390
FS( 116 ),2002119.299999999813735,1985113.780000000027940,2043588.000000000000000,1700440.479999999981374,1891474.000000000000000,1770719.049999999813735,11393458.609999999403954
FS( 117 ),2013069.329999999841675,1976118.080000000074506,2060810.000000000000000,1693796.319999999832362,1900466.319999999832362,1778998.539999999804422,11423262.589999999850988
FS( 118 ),2015676.479999999981374,1985499.310000000055879,2018300.000000000000000,1705977.279999999795109,1939748.559999999823049,1753264.989999999757856,11418470.620000001043081
FS( 119 ),2027321.750000000000000,2007088.990000000223517,2021133.999999999767169,1702516.779999999795109,1911351.759999999543652,1747670.739999999757856,11417088.019999999552965
FS( 120 ),2032709.859999999869615,2009787.699999999953434,2056668.000000000000000,1707223.059999999823049,1911943.359999999869615,1753488.759999999776483,11471824.739999998360872
FS( 121 ),2034621.770000000018626,2023795.290000000037253,2045331.999999999767169,1705146.760000000009313,1908867.039999999804422,1748565.819999999832362,11466332.679999999701977
FS( 122 ),2021238.400000000139698,2023538.270000000251457,2051872.000000000000000,1712621.439999999944121,1911825.039999999804422,1743195.339999999850988,11464294.489999998360872
FS( 123 ),2025236.029999999795109,2028036.120000000111759,2056231.999999999767169,1704593.080000000074506,1928981.439999999711290,1748789.589999999850988,11491872.259999999776483
FS( 124 ),2038097.969999999972060,2023795.290000000037253,2061246.000000000000000,1703624.139999999897555,1924366.959999999497086,1753264.989999999757856,11504399.349999999627471
FS( 125 ),2029407.469999999972060,2006060.909999999916181,2030726.000000000232831,1698225.760000000009313,1910168.559999999823049,1752146.139999999664724,11426738.839999999850988
FS( 126 ),2028886.040000000037253,2000792.000000000000000,2033778.000000000232831,1699748.380000000121072,1905435.759999999543652,1752817.449999999720603,11421461.629999998956919
FS( 127 ),2013069.329999999841675,2000663.490000000223517,2021788.000000000000000,1684937.439999999944121,1893603.759999999543652,1745880.579999999608845,11359946.599999999627471
FS( 128 ),2018805.060000000055879,2017241.280000000027940,2049038.000000000000000,1655869.239999999990687,1910286.879999999655411,1778998.539999999804422,11430242.999999998137355
FS( 129 ),2016545.529999999795109,2038445.430000000167638,2039881.999999999767169,1653931.360000000102445,1915729.599999999627471,1793543.589999999850988,11458081.509999999776483
FS( 130 ),2026800.319999999832362,2039602.020000000251457,2027456.000000000000000,1656976.600000000093132,1918924.239999999757856,1814577.969999999972060,11484341.150000000372529
FS( 131 ),2049395.619999999878928,2044613.909999999916181,2028328.000000000232831,1671649.120000000111759,1921645.599999999627471,1839640.209999999729916,11555276.459999999031425
FS( 132 ),2068167.099999999860302,2034590.129999999888241,2013722.000000000000000,1667081.260000000009313,1916202.879999999655411,1829346.789999999804422,11529114.159999998286366
FS( 133 ),2070252.819999999832362,2044228.379999999888241,2045550.000000000000000,1664589.699999999953434,1911825.039999999804422,1819500.909999999916181,11555950.849999999627471
FS( 134 ),2081376.659999999916181,2048469.210000000195578,2063426.000000000232831,1673310.159999999916181,1915492.959999999497086,1830465.639999999664724,11612544.629999998956919
FS( 135 ),2072686.159999999916181,2034204.599999999860302,2049038.000000000000000,1690197.399999999906868,1921054.000000000000000,1820843.529999999795109,11588027.689999999478459
FS( 136 ),2069036.150000000139698,2041144.140000000130385,2059720.000000000000000,1681892.199999999953434,1914428.079999999841675,1816368.129999999888241,11582592.699999999254942
FS( 137 ),2085721.909999999916181,2026236.979999999981374,2039881.999999999767169,1699194.699999999953434,1900939.599999999627471,1818382.059999999823049,11570361.250000000000000
FS( 138 ),2085548.099999999860302,2034590.129999999888241,2034650.000000000000000,1698641.019999999785796,1866390.159999999916181,1825766.469999999972060,11545589.879999998956919
FS( 139 ),2081898.089999999850988,2043328.810000000055879,2035740.000000000000000,1691304.760000000009313,1877748.879999999655411,1828899.250000000000000,11558923.789999999105930
FS( 140 ),2085721.909999999916181,2050139.840000000083819,2061900.000000000000000,1692412.120000000111759,1877275.599999999627471,1831360.719999999972060,11598814.189999999478459
FS( 141 ),2087112.389999999897555,2028421.650000000139698,2059283.999999999767169,1680231.159999999916181,1882126.719999999739230,1838297.589999999850988,11575477.509999999776483
FS( 142 ),2085200.479999999981374,2063247.860000000102445,2098088.000000000000000,1675663.299999999813735,1898218.239999999757856,1862464.750000000000000,11682886.629999998956919
FS( 143 ),2118398.189999999478459,2150763.170000000391155,2139726.000000000000000,1685906.380000000121072,1907802.159999999916181,1877457.339999999850988,11880057.239999998360872
FS( 144 ),2119441.049999999813735,2173380.930000000167638,2119452.000000000000000,1687152.159999999916181,1925668.479999999748543,1862688.519999999785796,11887787.140000000596046
FS( 145 ),2119614.860000000335276,2155132.509999999776483,2158038.000000000000000,1700717.319999999832362,1928508.159999999916181,1874548.329999999608845,11936563.179999999701977
FS( 146 ),2114052.939999999478459,2127759.879999999888241,2110078.000000000000000,1702932.039999999804422,1917859.359999999869615,1872981.939999999944121,11845668.159999998286366
FS( 147 ),2109186.259999999776483,2100130.229999999981374,2085444.000000000000000,1696703.139999999897555,1917977.679999999701977,1850828.709999999729916,11760274.019999997690320
FS( 148 ),2237805.660000000149012,2107198.280000000260770,2073454.000000000000000,1694626.840000000083819,1925195.199999999953434,1844786.919999999692664,11883070.900000000372529
FS( 149 ),2233981.839999999850988,2085223.069999999832362,2044242.000000000000000,1705700.439999999944121,1902122.799999999580905,1841654.139999999664724,11812928.289999999105930
FS( 150 ),2243541.390000000596046,2087022.210000000195578,2033560.000000000000000,1719819.279999999795109,1915256.319999999832362,1926239.199999999720603,11925442.400000000372529
FS( 151 ),2264572.399999999441206,2107326.790000000037253,2024622.000000000000000,1722726.100000000093132,1899164.799999999580905,1920644.949999999720603,11939061.039999997243285
FS( 152 ),2286124.839999999850988,2139711.310000000055879,2034214.000000000000000,1724663.979999999981374,1899401.439999999711290,1919526.099999999860302,12003645.669999999925494
FS( 153 ),2294989.149999999441206,2105142.120000000111759,2025494.000000000000000,1725771.340000000083819,1896798.399999999674037,1904085.969999999972060,11952284.980000000447035
FS( 154 ),2301593.929999999701977,2111182.089999999850988,2048383.999999999767169,1723141.360000000102445,1898336.559999999823049,1915050.699999999720603,11997692.639999998733401
FS( 155 ),2296379.629999999888241,2136241.540000000037253,2099614.000000000000000,1741689.639999999897555,1902004.479999999748543,1922211.339999999850988,12098144.629999998956919
FS( 156 ),2316715.399999999441206,2159373.339999999850988,2147356.000000000000000,1737813.880000000121072,1916676.159999999916181,1934294.919999999692664,12212233.699999999254942
FS( 157 ),2346784.530000000260770,2165413.310000000055879,2138418.000000000000000,1741551.219999999972060,1930164.639999999664724,1943469.489999999757856,12265805.189999999478459
FS( 158 ),2355301.219999999739230,2175694.110000000335276,2158692.000000000000000,1750825.360000000102445,1943889.759999999543652,1958909.619999999878928,12343316.069999998435378
FS( 159 ),2352520.259999999776483,2195099.120000000111759,2142124.000000000000000,1753870.600000000093132,1936317.279999999795109,1956000.609999999636784,12335935.869999999180436
FS( 160 ),2358951.229999999515712,2219516.020000000018626,2154986.000000000000000,1769096.799999999813735,1864970.319999999832362,1957119.459999999729916,12324643.830000000074506
FS( 161 ),2375984.609999999403954,2256141.370000000111759,2138636.000000000000000,1772418.879999999888241,1899874.719999999739230,1967412.879999999888241,12410472.459999997168779
FS( 162 ),2383110.820000000298023,2253571.170000000391155,2140816.000000000000000,1769788.899999999906868,1899874.719999999739230,1964727.639999999664724,12411893.250000000000000
FS( 163 ),2373029.839999999850988,2272847.670000000391155,2083046.000000000000000,1775602.540000000037253,1923893.679999999701977,1973230.899999999906868,12401654.630000000819564
FS( 164 ),2375289.370000000111759,2280301.250000000000000,2081520.000000000000000,1780862.500000000000000,1929336.399999999674037,1978825.149999999906868,12426138.670000001788139
FS( 165 ),2379982.240000000223517,2305874.740000000223517,2124248.000000000000000,1757884.779999999795109,1956786.639999999664724,1969203.039999999804422,12493983.439999997615814
FS( 166 ),2381025.099999999627471,2316155.540000000037253,2107244.000000000000000,1767020.500000000000000,1956786.639999999664724,1967860.419999999692664,12496096.200000001117587
