代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14161289.510000001639128
真實報酬,4161289.510000001639128

夏普值報酬,0.407428951000000
夏普值風險,0.104002935063965
夏普值,3.917475509219240

二次趨勢線,34.365444954762012 x^2 + 8002.065112755959490 x + 10000000.000000000000000
二次平均預期報酬,16662.157241355984297
風險,101420.320220261739451
二次平均趨勢值,0.164288154535202
一次趨勢線,14484.221546986342219 x + 10000000.000000000000000
一次預期報酬,14484.221546986342219
一次風險,263559.254961156402715
一次趨勢值,0.054956224356914
找到最佳解世代,3661
找到最佳解實驗#,2
找到最佳解次數,38

stock[index](rank)
投資組合檔數,9
AXP[1](7),BA[2](3),CAT[3](1),KO[14](15),MCD[15](5),PFE[20](18),UNH[23](4),V[25](2),WMT[28](9),
FS( 7 ),1134113.199999999953434,1128310.540000000037253,1118912.860000000102445,1091175.250000000000000,1122813.879999999888241,1105387.099999999860302,1114139.080000000074506,1143255.800000000046566,1109007.340000000083819,10067116.050000000745058
FS( 8 ),1133670.849999999860302,1120453.959999999962747,1111111.000000000000000,1088517.150000000372529,1134145.239999999990687,1097643.000000000000000,1117373.620000000111759,1137246.120000000111759,1099945.420000000158325,10040107.360000001266599
FS( 9 ),1129837.150000000139698,1124276.080000000074506,1116903.290000000037253,1086656.480000000214204,1128572.439999999944121,1094949.400000000139698,1113519.700000000186265,1134450.919999999925494,1086352.540000000037253,10015519.000000000000000
FS( 10 ),1129542.250000000000000,1116065.600000000093132,1106146.179999999934807,1095694.020000000251457,1140182.439999999944121,1079461.200000000186265,1105674.219999999972060,1135708.760000000009313,1107227.320000000065193,10015702.990000000223517
FS( 11 ),1142665.299999999813735,1120666.300000000046566,1103309.139999999897555,1097554.690000000176951,1139810.919999999925494,1078451.100000000093132,1085578.780000000260770,1140320.840000000083819,1102210.900000000139698,10010568.970000000670552
FS( 12 ),1130869.300000000046566,1125479.340000000083819,1103900.189999999944121,1093567.540000000270084,1134888.280000000027940,1067340.000000000000000,1092185.500000000000000,1142277.479999999981374,1094281.720000000204891,9984790.350000001490116
FS( 13 ),1123644.250000000000000,1129230.680000000167638,1118085.389999999897555,1098352.120000000111759,1135631.320000000065193,1069696.899999999906868,1091910.219999999972060,1143814.840000000083819,1087161.640000000130385,9997528.360000001266599
FS( 14 ),1120252.899999999906868,1117268.860000000102445,1116666.869999999878928,1101276.030000000260770,1127457.879999999888241,1059259.199999999953434,1094731.840000000083819,1148147.400000000139698,1078585.180000000167638,9963647.160000000149012
FS( 15 ),1141780.600000000093132,1136450.240000000223517,1137708.250000000000000,1113769.100000000093132,1124392.839999999850988,1048821.500000000000000,1104091.360000000102445,1163241.479999999981374,1090721.680000000167638,10060978.050000000745058
FS( 16 ),1133818.300000000046566,1184651.420000000158325,1160286.360000000102445,1119616.920000000158325,1131265.959999999962747,1053535.300000000046566,1109665.780000000260770,1172605.400000000139698,1082468.860000000102445,10147915.299999998882413
FS( 17 ),1134408.100000000093132,1197108.700000000186265,1149292.829999999841675,1111376.810000000288710,1132101.879999999888241,1053198.600000000093132,1120057.600000000093132,1163381.239999999990687,1079879.740000000223517,10140806.500000000000000
FS( 18 ),1133228.500000000000000,1187057.939999999944121,1170216.000000000000000,1101807.650000000372529,1141204.119999999878928,1057912.400000000139698,1121709.280000000260770,1170788.520000000018626,1062565.000000000000000,10146490.410000000149012
FS( 19 ),1139568.850000000093132,1171981.800000000046566,1144209.800000000046566,1099946.980000000214204,1142690.199999999953434,1054208.699999999953434,1115515.480000000214204,1169810.199999999953434,1074863.320000000065193,10112796.330000001937151
FS( 20 ),1126298.349999999860302,1156764.100000000093132,1130852.069999999832362,1104997.370000000111759,1138510.599999999860302,1068350.100000000093132,1115584.300000000046566,1155973.959999999962747,1080041.560000000055879,10077373.410000000149012
FS( 21 ),1131901.450000000186265,1160657.000000000000000,1124350.520000000018626,1096757.260000000242144,1137117.399999999906868,1066329.900000000139698,1119782.320000000065193,1152200.439999999944121,1071788.740000000223517,10060886.030000001192093
FS( 22 ),1128215.200000000186265,1148553.620000000111759,1108510.379999999888241,1100478.600000000093132,1144547.800000000046566,1068350.100000000093132,1106362.419999999925494,1150243.800000000046566,1079394.280000000260770,10034657.200000002980232
FS( 23 ),1150775.050000000046566,1149544.540000000037253,1102718.090000000083819,1104199.940000000176951,1154021.559999999823049,1080471.300000000046566,1114001.440000000176951,1203073.080000000074506,1076157.880000000121072,10134963.880000000819564
FS( 24 ),1147531.149999999906868,1160727.780000000027940,1097871.479999999981374,1104731.560000000288710,1155972.040000000037253,1085185.099999999860302,1104641.919999999925494,1199579.080000000074506,1074539.680000000167638,10130780.789999999105930
FS( 25 ),1146056.649999999906868,1178564.340000000083819,1103072.719999999972060,1113769.100000000093132,1157272.359999999869615,1080134.599999999860302,1104779.560000000055879,1198880.280000000027940,1082468.860000000102445,10164999.469999998807907
FS( 26 ),1147236.250000000000000,1159524.520000000018626,1098344.319999999832362,1116958.820000000298023,1158015.399999999906868,1082154.800000000046566,1103265.520000000018626,1189236.840000000083819,1097356.300000000046566,10152093.770000001415610
FS( 27 ),1152839.350000000093132,1162851.180000000167638,1110756.369999999878928,1096491.450000000186265,1156250.679999999934807,1090235.600000000093132,1104160.180000000167638,1196085.080000000074506,1117907.440000000176951,10187578.330000000074506
FS( 28 ),1157262.850000000093132,1176653.280000000027940,1138535.719999999972060,1078682.180000000167638,1168696.599999999860302,1089225.500000000000000,1106293.600000000093132,1200557.400000000139698,1100754.520000000018626,10216662.649999998509884
FS( 29 ),1163603.199999999953434,1189393.680000000167638,1164423.709999999962747,1079745.420000000158325,1166095.959999999962747,1097979.699999999953434,1114827.280000000260770,1208104.439999999944121,1096709.020000000018626,10280883.410000000149012
FS( 30 ),1170975.699999999953434,1192720.340000000083819,1159577.100000000093132,1077353.130000000121072,1168603.719999999972060,1102693.500000000000000,1122672.760000000009313,1213834.599999999860302,1111111.000000000000000,10319542.849999999627471
FS( 31 ),1173777.250000000000000,1198382.740000000223517,1170570.629999999888241,1074960.840000000083819,1174826.679999999934807,1128282.699999999953434,1130655.880000000121072,1223478.040000000037253,1111596.460000000195578,10386532.220000000670552
FS( 32 ),1172450.200000000186265,1209070.520000000018626,1161586.669999999925494,1095162.400000000372529,1176870.040000000037253,1131986.399999999906868,1126251.400000000139698,1221661.159999999916181,1114509.220000000204891,10409549.010000001639128
FS( 33 ),1175399.199999999953434,1222518.720000000204891,1168561.059999999823049,1095959.830000000074506,1187086.839999999850988,1131986.399999999906868,1084752.940000000176951,1222359.959999999962747,1122600.220000000204891,10411226.169999999925494
FS( 34 ),1179232.899999999906868,1242691.020000000018626,1159695.309999999823049,1102073.460000000195578,1189315.959999999962747,1131986.399999999906868,1105054.840000000083819,1228788.919999999925494,1156258.780000000260770,10495098.589999999850988
FS( 35 ),1177610.949999999953434,1241275.420000000158325,1160877.409999999916181,1105794.800000000279397,1187551.239999999990687,1130976.300000000046566,1105054.840000000083819,1227111.800000000046566,1160466.100000000093132,10496719.859999999403954
FS( 36 ),1180412.500000000000000,1251892.420000000158325,1129551.760000000009313,1107389.660000000149012,1191452.199999999953434,1146801.200000000186265,1119025.300000000046566,1232422.680000000167638,1153993.300000000046566,10512942.020000001415610
FS( 37 ),1176136.450000000186265,1255997.660000000149012,1128724.290000000037253,1110579.380000000121072,1194981.639999999897555,1153535.199999999953434,1122191.020000000018626,1235916.680000000167638,1171469.860000000102445,10549533.179999999701977
FS( 38 ),1182181.900000000139698,1270082.880000000121072,1151893.449999999953434,1107655.470000000204891,1179563.559999999823049,1154208.600000000093132,1138157.260000000009313,1229907.000000000000000,1160951.560000000055879,10574602.680000001564622
FS( 39 ),1180559.949999999953434,1275745.280000000027940,1142673.069999999832362,1115363.960000000195578,1185693.639999999897555,1148821.399999999906868,1138157.260000000009313,1229068.439999999944121,1147844.140000000130385,10563928.139999998733401
FS( 40 ),1207985.650000000139698,1301792.320000000065193,1165369.389999999897555,1120680.160000000149012,1198696.840000000083819,1158922.400000000139698,1155775.180000000167638,1243743.239999999990687,1140076.780000000260770,10693042.960000000894070
FS( 41 ),1181149.750000000000000,1295280.560000000055879,1115484.770000000018626,1128920.270000000251457,1191080.679999999934807,1161952.699999999953434,1151439.520000000018626,1237314.280000000027940,1145093.200000000186265,10607716.730000000447035
FS( 42 ),1177905.849999999860302,1289547.380000000121072,1124468.729999999981374,1129186.080000000074506,1188015.639999999897555,1162289.400000000139698,1157564.500000000000000,1240948.040000000037253,1133280.340000000083819,10603206.960000000894070
FS( 43 ),1172302.750000000000000,1280699.880000000121072,1130852.069999999832362,1121211.780000000260770,1189223.079999999841675,1156565.500000000000000,1161005.500000000000000,1243044.439999999944121,1130853.040000000037253,10585759.039999999105930
FS( 44 ),1173482.349999999860302,1288414.900000000139698,1134043.739999999990687,1116161.390000000130385,1189594.599999999860302,1144444.300000000046566,1158252.700000000186265,1244721.560000000055879,1130691.220000000204891,10579807.760000001639128
FS( 45 ),1165520.050000000046566,1286433.060000000055879,1102127.040000000037253,1116161.390000000130385,1189780.359999999869615,1141750.699999999953434,1155568.719999999972060,1243323.959999999962747,1129558.479999999981374,10530224.760000001639128
FS( 46 ),1169353.750000000000000,1278151.800000000046566,1080376.399999999906868,1117224.630000000121072,1190244.759999999776483,1146464.500000000000000,1156256.919999999925494,1245420.360000000102445,1130529.400000000139698,10514023.519999999552965
FS( 47 ),1170533.349999999860302,1264915.939999999944121,1091251.719999999972060,1124135.690000000176951,1188758.679999999934807,1148484.699999999953434,1169814.459999999962747,1254085.479999999981374,1134413.080000000074506,10546394.099999999627471
FS( 48 ),1168026.699999999953434,1267393.240000000223517,1095152.649999999906868,1117224.630000000121072,1185322.119999999878928,1148484.699999999953434,1171397.320000000065193,1259396.360000000102445,1131985.780000000260770,10544384.500000000000000
FS( 49 ),1175104.300000000046566,1265128.280000000027940,1085932.270000000018626,1115629.770000000251457,1187086.839999999850988,1152188.399999999906868,1163483.020000000018626,1251569.800000000046566,1144445.920000000158325,10540569.599999999627471
FS( 50 ),1168321.600000000093132,1264986.720000000204891,1103663.770000000018626,1119616.920000000158325,1187829.879999999888241,1165993.100000000093132,1182202.060000000055879,1256740.919999999925494,1142180.440000000176951,10591536.410000000149012
FS( 51 ),1176283.899999999906868,1261306.160000000149012,1097635.059999999823049,1123072.450000000186265,1188758.679999999934807,1159259.100000000093132,1178898.700000000186265,1258418.040000000037253,1139914.960000000195578,10583548.050000000745058
FS( 52 ),1168616.500000000000000,1274825.140000000130385,1098344.319999999832362,1117224.630000000121072,1194888.759999999776483,1155555.399999999906868,1167887.500000000000000,1261213.239999999990687,1131014.860000000102445,10569571.349999999627471
FS( 53 ),1162718.500000000000000,1269799.760000000009313,1127778.610000000102445,1121211.780000000260770,1196189.079999999841675,1157575.600000000093132,1156188.100000000093132,1246398.680000000167638,1132471.240000000223517,10570332.349999999627471
FS( 54 ),1143255.100000000093132,1245522.220000000204891,1092670.239999999990687,1129717.700000000186265,1193774.199999999953434,1153198.500000000000000,1154123.500000000000000,1230745.560000000055879,1131176.680000000167638,10474184.700000001117587
FS( 55 ),1145319.400000000139698,1252741.780000000027940,1092670.239999999990687,1126527.980000000214204,1199161.239999999990687,1160605.899999999906868,1149512.560000000055879,1237174.520000000018626,1136840.380000000121072,10500555.000000001862645
FS( 56 ),1147826.050000000046566,1254723.620000000111759,1090306.040000000037253,1120945.970000000204891,1198232.439999999944121,1154545.300000000046566,1137537.880000000121072,1241926.360000000102445,1130529.400000000139698,10476574.059999998658895
FS( 57 ),1153134.250000000000000,1244531.300000000046566,1089360.360000000102445,1119616.920000000158325,1201390.359999999869615,1144781.000000000000000,1135542.100000000093132,1246538.439999999944121,1126483.900000000139698,10461379.629999998956919
FS( 58 ),1144287.250000000000000,1246513.140000000130385,1081794.919999999925494,1124933.120000000111759,1202783.560000000055879,1150841.600000000093132,1132789.300000000046566,1243184.199999999953434,1127293.000000000000000,10454421.089999999850988
FS( 59 ),1159622.050000000046566,1255431.420000000158325,1098817.159999999916181,1127857.030000000260770,1202412.039999999804422,1150168.199999999953434,1137950.800000000046566,1245560.120000000111759,1137973.120000000111759,10515792.940000001341105
FS( 60 ),1153871.500000000000000,1257342.479999999981374,1097753.270000000018626,1127591.220000000204891,1196746.359999999869615,1155892.099999999860302,1124806.180000000167638,1246398.680000000167638,1144769.560000000055879,10505172.349999999627471
FS( 61 ),1168026.699999999953434,1259819.780000000027940,1102008.829999999841675,1132375.800000000279397,1201204.599999999860302,1156565.500000000000000,1135473.280000000260770,1244022.760000000009313,1158524.260000000242144,10558022.509999999776483
FS( 62 ),1166552.199999999953434,1251892.420000000158325,1096571.169999999925494,1128122.840000000083819,1203898.120000000111759,1151851.699999999953434,1128728.919999999925494,1242066.120000000111759,1166453.440000000176951,10536137.929999999701977
FS( 63 ),1158884.800000000046566,1250406.040000000037253,1090778.879999999888241,1127325.410000000149012,1203898.120000000111759,1152861.800000000046566,1139602.480000000214204,1248914.360000000102445,1162407.940000000176951,10535080.830000000074506
FS( 64 ),1154018.950000000186265,1264915.939999999944121,1112765.939999999944121,1134502.280000000260770,1200925.959999999962747,1156228.800000000046566,1135335.640000000130385,1240808.280000000027940,1165320.700000000186265,10564823.489999998360872
FS( 65 ),1146646.450000000186265,1253449.580000000074506,1114066.250000000000000,1131578.370000000111759,1211328.520000000018626,1151178.299999999813735,1138088.440000000176951,1244302.280000000027940,1159495.180000000167638,10550134.369999999180436
FS( 66 ),1149005.650000000139698,1255502.200000000186265,1132743.429999999934807,1134236.470000000204891,1208913.639999999897555,1148484.699999999953434,1137881.980000000214204,1245140.840000000083819,1155935.140000000130385,10567845.050000000745058
FS( 67 ),1146793.899999999906868,1265977.640000000130385,1129197.129999999888241,1132641.610000000102445,1207148.919999999925494,1148148.000000000000000,1142561.740000000223517,1240249.239999999990687,1179722.680000000167638,10592441.859999999403954
FS( 68 ),1142665.299999999813735,1256847.020000000018626,1148347.149999999906868,1134768.090000000083819,1207334.679999999934807,1146127.800000000046566,1138845.459999999962747,1241926.360000000102445,1182311.800000000046566,10599174.660000000149012
FS( 69 ),1139273.950000000186265,1263995.800000000046566,1147874.309999999823049,1133970.660000000149012,1218666.039999999804422,1142424.100000000093132,1141254.160000000149012,1241786.599999999860302,1188299.140000000130385,10617545.759999999776483
FS( 70 ),1130721.850000000093132,1246159.240000000223517,1121395.270000000018626,1141413.340000000083819,1219223.319999999832362,1142087.400000000139698,1139396.020000000018626,1239410.680000000167638,1188460.960000000195578,10568269.080000000074506
FS( 71 ),1117746.250000000000000,1243115.700000000186265,1100590.309999999823049,1137426.190000000176951,1214579.319999999832362,1140740.600000000093132,1135266.820000000065193,1242066.120000000111759,1183768.180000000167638,10515300.489999998360872
FS( 72 ),1130574.400000000139698,1267180.900000000139698,1112884.149999999906868,1144868.870000000111759,1220059.239999999990687,1144781.000000000000000,1150544.860000000102445,1255203.560000000055879,1189270.060000000055879,10615368.040000000968575
FS( 73 ),1117598.800000000046566,1258899.640000000130385,1115839.399999999906868,1155767.080000000074506,1228882.840000000083819,1139393.800000000046566,1160248.480000000214204,1254085.479999999981374,1195742.860000000102445,10626459.379999998956919
FS( 74 ),1114060.000000000000000,1262792.540000000037253,1104964.079999999841675,1149121.830000000074506,1232040.759999999776483,1131649.699999999953434,1164790.600000000093132,1254365.000000000000000,1198655.620000000111759,10612441.129999998956919
FS( 75 ),1179970.149999999906868,1269162.740000000223517,1119031.069999999832362,1145400.490000000223517,1237892.199999999953434,1136026.800000000046566,1180550.380000000121072,1273931.400000000139698,1210468.479999999981374,10752434.710000000894070
FS( 76 ),1173629.800000000046566,1276806.979999999981374,1115011.929999999934807,1144868.870000000111759,1239192.520000000018626,1132659.800000000046566,1177935.219999999972060,1273931.400000000139698,1212733.960000000195578,10746771.480000000447035
FS( 77 ),1186310.500000000000000,1288698.020000000018626,1144446.219999999972060,1150450.880000000121072,1246808.679999999934807,1136026.800000000046566,1185987.160000000149012,1283714.599999999860302,1210144.840000000083819,10832588.699999999254942
FS( 78 ),1188964.599999999860302,1298961.120000000111759,1234404.030000000027940,1145932.110000000102445,1316190.039999999804422,1136700.199999999953434,1197755.380000000121072,1287348.360000000102445,1214513.979999999981374,11020770.820000000298023
FS( 79 ),1187342.649999999906868,1286220.720000000204891,1237241.069999999832362,1149387.640000000130385,1308202.359999999869615,1139730.500000000000000,1200095.260000000009313,1283295.319999999832362,1220663.140000000130385,11012179.660000000149012
FS( 80 ),1184541.099999999860302,1296908.500000000000000,1213835.489999999990687,1143274.010000000242144,1308481.000000000000000,1140067.199999999953434,1201815.760000000009313,1280220.599999999860302,1220824.960000000195578,10989969.620000001043081
FS( 81 ),1168616.500000000000000,1308304.080000000074506,1208870.669999999925494,1146995.350000000093132,1299750.280000000027940,1142087.400000000139698,1203536.260000000009313,1274909.719999999972060,1216617.640000000130385,10969688.900000002235174
FS( 82 ),1168321.600000000093132,1291033.760000000009313,1205797.209999999962747,1148856.020000000251457,1311081.639999999897555,1137373.600000000093132,1201540.480000000214204,1275468.760000000009313,1217426.740000000223517,10956900.810000000521541
FS( 83 ),1172892.550000000046566,1298465.660000000149012,1200004.919999999925494,1153374.790000000270084,1311824.679999999934807,1131649.699999999953434,1198443.580000000074506,1293358.040000000037253,1222119.520000000018626,10982134.439999997615814
FS( 84 ),1162423.599999999860302,1298111.760000000009313,1200359.550000000046566,1151514.120000000111759,1324735.000000000000000,1126935.899999999906868,1187432.380000000121072,1291960.439999999944121,1226003.200000000186265,10969476.949999999254942
FS( 85 ),1155051.099999999860302,1295846.800000000046566,1174944.399999999906868,1160551.660000000149012,1332444.039999999804422,1126262.500000000000000,1197617.740000000223517,1294476.120000000111759,1235388.760000000242144,10972584.119999999180436
FS( 86 ),1154903.649999999906868,1309578.120000000111759,1177899.649999999906868,1161349.090000000083819,1337180.919999999925494,1127272.599999999860302,1198305.940000000176951,1287068.840000000083819,1237977.880000000121072,10991537.689999999478459
FS( 87 ),1152544.449999999953434,1316726.900000000139698,1174707.979999999981374,1166665.290000000270084,1339781.560000000055879,1126262.500000000000000,1200508.180000000167638,1284692.919999999925494,1231828.720000000204891,10993719.500000000000000
FS( 88 ),1156673.050000000046566,1323026.320000000065193,1173762.300000000046566,1156564.510000000242144,1340896.120000000111759,1123905.600000000093132,1192249.780000000260770,1285811.000000000000000,1241537.920000000158325,10994427.599999999627471
FS( 89 ),1159769.500000000000000,1296625.380000000121072,1186410.770000000018626,1158159.370000000111759,1342382.199999999953434,1112121.100000000093132,1193282.080000000074506,1289305.000000000000000,1241214.280000000260770,10979270.679999999701977
FS( 90 ),1149005.650000000139698,1302004.660000000149012,1193858.000000000000000,1160817.470000000204891,1339502.919999999925494,1112457.800000000046566,1192800.340000000083819,1287208.599999999860302,1231990.540000000037253,10969646.980000000447035
FS( 91 ),1142665.299999999813735,1297120.840000000083819,1190548.119999999878928,1158690.990000000223517,1350184.120000000111759,1111447.699999999953434,1182408.520000000018626,1296013.479999999981374,1225194.100000000093132,10954274.169999999925494
FS( 92 ),1155051.099999999860302,1291033.760000000009313,1210762.030000000027940,1162412.330000000074506,1358729.079999999841675,1115151.399999999906868,1180481.560000000055879,1303001.479999999981374,1234579.660000000149012,11011203.400000000372529
FS( 93 ),1152102.099999999860302,1293227.939999999944121,1209816.350000000093132,1165602.050000000279397,1368109.959999999962747,1097643.000000000000000,1157013.940000000176951,1301883.400000000139698,1215484.900000000139698,10960884.640000000596046
FS( 94 ),1126150.900000000139698,1265482.180000000167638,1183810.149999999906868,1167728.530000000260770,1359936.520000000018626,1085185.099999999860302,1162106.620000000111759,1282456.760000000009313,1215646.720000000204891,10848504.480000000447035
FS( 95 ),1126298.349999999860302,1255714.540000000037253,1184755.829999999841675,1164273.000000000000000,1365509.319999999832362,1084848.399999999906868,1179931.000000000000000,1281757.959999999962747,1254807.160000000149012,10897896.559999998658895
FS( 96 ),1132491.250000000000000,1279496.620000000111759,1210880.239999999990687,1166931.100000000093132,1376097.639999999897555,1092929.199999999953434,1187776.480000000214204,1292519.479999999981374,1274711.020000000018626,11013834.030000001192093
FS( 97 ),1135145.350000000093132,1300093.600000000093132,1209225.300000000046566,1174373.780000000260770,1376469.159999999916181,1081481.399999999906868,1202297.500000000000000,1304119.560000000055879,1271150.979999999981374,11054357.630000000819564
FS( 98 ),1138389.250000000000000,1298819.560000000055879,1225065.439999999944121,1179955.790000000270084,1373032.599999999860302,1082154.800000000046566,1205876.140000000130385,1311806.360000000102445,1270180.060000000055879,11085281.000000000000000
FS( 99 ),1137209.650000000139698,1311276.840000000083819,1228848.159999999916181,1196967.630000000121072,1388636.439999999944121,1079124.500000000000000,1208422.480000000214204,1325083.560000000055879,1264678.180000000167638,11140248.440000001341105
FS( 100 ),1141928.050000000046566,1324158.800000000046566,1241496.629999999888241,1207068.410000000149012,1391237.079999999841675,1082828.199999999953434,1225352.200000000186265,1328298.040000000037253,1267267.300000000046566,11209635.710000000894070
FS( 101 ),1142222.949999999953434,1320761.360000000102445,1249062.069999999832362,1206536.790000000270084,1391980.120000000111759,1082154.800000000046566,1221567.100000000093132,1323126.919999999925494,1264354.540000000037253,11201767.649999998509884
FS( 102 ),1136767.300000000046566,1322813.979999999981374,1246816.079999999841675,1207600.030000000260770,1392630.280000000027940,1081818.100000000093132,1215304.480000000214204,1323825.719999999972060,1264678.180000000167638,11192255.150000002235174
FS( 103 ),1134555.550000000046566,1328122.479999999981374,1246343.239999999990687,1208663.270000000251457,1401546.759999999776483,1099326.500000000000000,1205600.860000000102445,1330953.479999999981374,1271960.080000000074506,11227073.220000000670552
FS( 104 ),1154313.850000000093132,1325928.300000000046566,1248943.860000000102445,1217169.190000000176951,1415478.759999999776483,1101346.699999999953434,1235881.660000000149012,1333329.400000000139698,1291540.300000000046566,11323933.020000001415610
FS( 105 ),1157410.299999999813735,1346525.280000000027940,1252490.159999999916181,1219827.290000000270084,1428017.560000000055879,1095622.800000000046566,1234574.080000000074506,1343811.400000000139698,1288465.720000000204891,11366745.589999999850988
FS( 106 ),1164487.899999999906868,1337465.439999999944121,1243624.409999999916181,1222485.390000000130385,1419193.959999999962747,1089225.500000000000000,1234436.440000000176951,1349401.800000000046566,1298822.200000000186265,11359144.040000002831221
FS( 107 ),1162718.500000000000000,1321893.840000000083819,1235940.760000000009313,1222219.580000000074506,1404704.679999999934807,1079797.899999999906868,1244415.340000000083819,1338780.040000000037253,1277300.140000000130385,11287771.780000001192093
FS( 108 ),1176873.699999999953434,1331449.140000000130385,1223646.919999999925494,1209726.510000000242144,1411299.159999999916181,1077441.000000000000000,1260863.320000000065193,1342972.840000000083819,1280860.180000000167638,11315133.769999999552965
FS( 109 ),1178938.000000000000000,1344401.880000000121072,1241378.419999999925494,1199625.730000000214204,1406562.280000000027940,1069023.500000000000000,1250402.680000000167638,1342972.840000000083819,1277300.140000000130385,11310606.470000000670552
FS( 110 ),1184246.199999999953434,1345109.680000000167638,1252135.530000000027940,1204676.120000000111759,1407026.679999999934807,1103366.900000000139698,1248819.820000000065193,1321589.560000000055879,1285229.320000000065193,11352200.810000000521541
FS( 111 ),1182181.900000000139698,1344897.340000000083819,1253908.679999999934807,1204941.930000000167638,1379069.800000000046566,1101010.000000000000000,1233610.600000000093132,1306775.000000000000000,1282316.560000000055879,11288712.810000000521541
FS( 112 ),1188374.800000000046566,1352612.360000000102445,1250125.959999999962747,1196967.630000000121072,1391608.599999999860302,1096969.599999999860302,1245998.200000000186265,1328857.080000000074506,1286847.520000000018626,11338362.749999998137355
FS( 113 ),1192061.050000000046566,1361742.979999999981374,1237832.119999999878928,1204144.500000000000000,1399596.280000000027940,1100673.299999999813735,1255013.620000000111759,1332211.319999999832362,1292996.680000000167638,11376272.850000001490116
FS( 114 ),1189996.750000000000000,1383472.439999999944121,1257809.610000000102445,1202815.450000000186265,1404147.399999999906868,1104713.700000000186265,1241387.260000000009313,1316138.919999999925494,1276976.500000000000000,11377459.030000001192093
FS( 115 ),1201055.500000000000000,1390479.660000000149012,1271994.809999999823049,1204410.310000000288710,1411763.560000000055879,1110100.899999999906868,1249989.760000000009313,1316138.919999999925494,1217588.560000000055879,11373522.980000000447035
FS( 116 ),1207395.849999999860302,1409165.580000000074506,1270694.500000000000000,1206270.980000000214204,1422444.759999999776483,1118518.399999999906868,1259555.740000000223517,1324804.040000000037253,1221795.880000000121072,11440646.730000002309680
FS( 117 ),1216685.200000000186265,1403857.080000000074506,1265375.050000000046566,1212384.610000000102445,1431082.599999999860302,1129966.200000000186265,1261276.240000000223517,1319073.879999999888241,1222443.160000000149012,11462145.019999999552965
FS( 118 ),1212261.699999999953434,1409802.600000000093132,1223174.079999999841675,1202018.020000000251457,1427924.679999999934807,1140740.600000000093132,1272631.540000000037253,1321310.040000000037253,1233770.560000000055879,11443634.819999998435378
FS( 119 ),1212851.500000000000000,1411713.660000000149012,1227547.850000000093132,1198030.870000000111759,1437862.840000000083819,1146801.200000000186265,1283505.100000000093132,1313064.199999999953434,1222119.520000000018626,11453497.740000000223517
