代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13670617.289999997243285
真實報酬,3670617.289999997243285

夏普值報酬,0.358361729000000
夏普值風險,0.100077794732529
夏普值,3.580831591640975

二次趨勢線,43.173028066336968 x^2 + 5141.903959827582185 x + 10000000.000000000000000
二次平均預期報酬,15935.160976411825686
風險,154463.411293066485086
二次平均趨勢值,0.103164631954021
一次趨勢線,13220.624392080542748 x + 10000000.000000000000000
一次預期報酬,13220.624392080542748
一次風險,338116.182221268827561
一次趨勢值,0.039100833048649
找到最佳解世代,2482
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
BA[2](2),PG[21](12),V[25](1),
FS( 50 ),3246334.409999999683350,3718471.250000000465661,3460727.849999999627471,10425534.509999999776483
FS( 51 ),3232214.219999999273568,3709755.249999999534339,3513370.349999999627471,10455340.819999998435378
FS( 52 ),3260454.599999999627471,3753880.000000000000000,3552325.800000000279397,10566661.400000000372529
FS( 53 ),3246789.899999999906868,3767498.750000000000000,3533374.500000000000000,10547664.150000000372529
FS( 54 ),3184843.259999999776483,3772401.500000000000000,3523898.849999999627471,10481144.609999999403954
FS( 55 ),3208984.229999999981374,3770767.250000000000000,3518634.600000000093132,10498387.080000000074506
FS( 56 ),3183932.279999999795109,3772946.250000000465661,3548114.400000000372529,10504993.929999999701977
FS( 57 ),3181654.829999999608845,3789288.750000000000000,3542850.149999999906868,10513794.730000000447035
FS( 58 ),3187120.709999999497086,3781662.250000000000000,3553378.649999999906868,10522162.609999999403954
FS( 59 ),3189853.649999999906868,3800183.750000000465661,3520740.299999999813735,10510778.699999999254942
FS( 60 ),3160246.799999999348074,3790923.000000000000000,3541797.299999999813735,10492968.099999997764826
FS( 61 ),3199874.429999999701977,3775125.250000000000000,3488101.950000000186265,10463102.629999998956919
FS( 62 ),3193042.079999999608845,3775125.250000000000000,3524951.699999999720603,10493120.029999999329448
FS( 63 ),3170267.579999999608845,3778393.750000000000000,3534427.350000000093132,10483089.679999999701977
FS( 64 ),3188942.669999999925494,3783296.500000000000000,3598651.199999999720603,10570891.369999999180436
FS( 65 ),3167079.149999999906868,3747343.000000000465661,3579699.899999999906868,10494123.050000000745058
FS( 66 ),3182110.319999999832362,3768043.500000000000000,3646029.450000000186265,10596184.269999999552965
FS( 67 ),3185754.239999999757856,3779483.249999999534339,3676562.100000000093132,10641800.589999999850988
FS( 68 ),3229025.789999999571592,3793101.999999999534339,3692354.850000000093132,10714483.639999998733401
FS( 69 ),3214450.109999999403954,3764230.249999999534339,3651293.699999999720603,10629975.059999998658895
FS( 70 ),3217638.539999999571592,3742440.250000000000000,3599704.049999999813735,10559783.839999999850988
FS( 71 ),3203973.839999999850988,3711934.250000000000000,3616549.649999999906868,10532458.740000000223517
FS( 72 ),3226292.849999999627471,3704307.750000000000000,3659716.499999999534339,10590318.099999999627471
FS( 73 ),3272752.829999999608845,3701039.250000000000000,3661822.200000000186265,10635615.280000001192093
FS( 74 ),3290972.429999999701977,3742984.999999999534339,3681826.349999999627471,10715784.779999999329448
FS( 75 ),3346997.699999999720603,3758782.750000000000000,3715517.549999999813735,10821299.000000000000000
FS( 76 ),3353830.049999999348074,3784386.000000000000000,3752367.299999999813735,10890584.349999997764826
FS( 77 ),3382525.919999999925494,3784386.000000000000000,3734468.849999999627471,10901381.769999999552965
FS( 78 ),3371138.669999999925494,3735358.499999999534339,3683932.050000000279397,10790430.220000000670552
FS( 79 ),3357018.479999999981374,3731545.250000000000000,3658663.649999999906868,10747228.380000000819564
FS( 80 ),3316935.359999999403954,3673801.750000000000000,3596545.499999999534339,10587283.609999999403954
FS( 81 ),3311924.969999999273568,3708665.750000000000000,3592334.099999999627471,10612925.819999998435378
FS( 82 ),3258632.640000000130385,3817070.999999999534339,3620761.049999999813735,10696465.689999999478459
FS( 83 ),3239046.569999999832362,3782751.750000000000000,3640765.199999999720603,10662564.519999999552965
FS( 84 ),3208528.739999999757856,3771856.749999999534339,3652346.549999999813735,10632733.039999999105930
FS( 85 ),3224470.890000000130385,3772401.500000000000000,3787111.349999999627471,10783984.740000000223517
FS( 86 ),3190764.629999999422580,3769133.000000000000000,3774477.149999999906868,10734375.779999999329448
FS( 87 ),3207162.269999999552965,3740806.000000000000000,3724993.200000000186265,10672962.469999998807907
FS( 88 ),3280496.159999999683350,3754969.500000000465661,3787111.349999999627471,10822578.009999999776483
FS( 89 ),3193497.569999999832362,3707576.250000000000000,3752367.299999999813735,10653442.120000001043081
FS( 90 ),3233125.199999999720603,3644930.000000000000000,3739733.100000000093132,10617789.299999998882413
FS( 91 ),3336521.429999999701977,3650377.500000000465661,3761842.949999999720603,10748742.879999998956919
FS( 92 ),3356562.989999999757856,3654190.750000000000000,3770265.750000000000000,10781020.490000000223517
FS( 93 ),3341531.819999999832362,3641661.499999999534339,3749208.750000000000000,10732403.070000000298023
FS( 94 ),3247245.390000000130385,3624229.500000000000000,3683932.050000000279397,10555407.940000001341105
FS( 95 ),3235858.140000000130385,3612789.749999999534339,3684984.899999999906868,10533633.789999999105930
FS( 96 ),3223559.909999999683350,3640027.249999999534339,3756578.699999999720603,10620166.859999999403954
FS( 97 ),3277763.219999999273568,3699949.750000000000000,3833436.749999999534339,10811150.719999998807907
FS( 98 ),3304181.640000000130385,3720650.250000000000000,3852388.050000000279397,10877220.940000001341105
FS( 99 ),3331966.529999999795109,3729911.000000000000000,3860810.850000000093132,10922689.379999998956919
FS( 100 ),3358840.439999999478459,3790923.000000000000000,3898713.450000000186265,11048477.890000000596046
FS( 101 ),3382981.409999999683350,3784930.750000000000000,3875550.750000000000000,11043463.910000000149012
FS( 102 ),3393002.189999999478459,3758237.999999999534339,3863969.400000000372529,11015210.589999999850988
FS( 103 ),3374782.589999999850988,3782751.750000000000000,3876603.600000000093132,11034138.939999999478459
FS( 104 ),3376149.060000000055879,3786020.250000000000000,3900819.149999999441206,11062989.460000000894070
FS( 105 ),3383436.899999999906868,3803997.000000000000000,3940827.449999999720603,11128262.349999999627471
FS( 106 ),3371594.159999999683350,3790378.250000000000000,3912400.499999999534339,11074373.910000000149012
FS( 107 ),3372960.629999999422580,3775670.000000000000000,3885026.399999999906868,11033658.029999999329448
FS( 108 ),3364761.810000000055879,3781117.500000000000000,3897660.600000000093132,11043540.910000000149012
FS( 109 ),3369772.199999999720603,3810534.000000000000000,3908189.099999999627471,11088496.299999998882413
FS( 110 ),3399834.539999999571592,3829055.500000000465661,3910294.799999999813735,11139185.839999999850988
FS( 111 ),3440373.149999999906868,3825242.250000000000000,3913453.350000000093132,11179069.750000000000000
FS( 112 ),3453582.359999999403954,3849211.250000000000000,3919770.449999999720603,11222565.059999998658895
FS( 113 ),3437640.209999999497086,3854658.750000000465661,3892396.349999999627471,11184696.309999998658895
FS( 114 ),3385258.859999999403954,3820339.499999999534339,3874497.899999999441206,11080097.259999997913837
FS( 115 ),3371594.159999999683350,3809444.500000000465661,3865022.250000000000000,11046061.910000000149012
FS( 116 ),3400290.029999999795109,3809444.500000000465661,3925034.700000000186265,11134770.230000000447035
FS( 117 ),3439917.659999999683350,3811623.500000000000000,3967148.699999999720603,11218690.859999999403954
FS( 118 ),3439462.169999999925494,3777304.250000000000000,3926087.549999999813735,11142854.969999998807907
FS( 119 ),3470890.979999999981374,3803452.249999999534339,4013474.099999999627471,11287818.329999998211861
FS( 120 ),3469524.509999999776483,3743529.750000000000000,3968201.549999999813735,11181256.809999998658895
FS( 121 ),3460414.709999999497086,3732634.750000000000000,3979782.899999999441206,11172833.359999999403954
FS( 122 ),3462692.159999999683350,3704307.750000000000000,3941880.299999999813735,11108881.210000000894070
FS( 123 ),3454037.849999999627471,3702673.500000000000000,3932404.649999999906868,11089117.000000000000000
FS( 124 ),3402111.989999999757856,3658004.000000000465661,3912400.499999999534339,10972517.490000000223517
FS( 125 ),3432629.819999999832362,3698315.500000000000000,3990311.399999999906868,11121257.720000000670552
FS( 126 ),3510518.609999999403954,3780028.000000000000000,4090332.149999999906868,11380879.759999999776483
FS( 127 ),3528738.209999999497086,3756059.000000000000000,4093490.700000000186265,11378288.910000000149012
FS( 128 ),3538758.989999999757856,3763685.500000000000000,4126129.049999999813735,11428574.539999999105930
FS( 129 ),3467702.549999999348074,3738082.250000000465661,4155608.849999999627471,11361394.649999998509884
FS( 130 ),3376604.549999999348074,3732090.000000000465661,4194564.300000000745058,11303259.850000001490116
FS( 131 ),3496398.419999999925494,3752245.749999999534339,4258788.150000000372529,11507433.320000000298023
FS( 132 ),3511429.589999999850988,3773491.000000000000000,4225096.949999999254942,11510018.539999999105930
FS( 133 ),3423520.019999999552965,3770767.250000000000000,4241942.550000000745058,11436230.820000000298023
FS( 134 ),3486833.129999999422580,3793101.999999999534339,4228255.500000000000000,11508191.629999998956919
FS( 135 ),3504597.239999999757856,3806720.749999999534339,4222991.250000000000000,11534310.239999998360872
FS( 136 ),3386169.839999999850988,3777304.250000000000000,4216674.150000000372529,11380149.240000000223517
FS( 137 ),3428074.919999999925494,3795281.000000000000000,4208251.349999999627471,11431608.269999999552965
FS( 138 ),3418054.140000000130385,3809989.250000000000000,4166137.350000000093132,11394181.740000000223517
FS( 139 ),3377971.019999999552965,3810534.000000000000000,4186141.499999999534339,11374647.519999999552965
FS( 140 ),3383892.390000000130385,3850845.500000000000000,4186141.499999999534339,11420880.390000000596046
FS( 141 ),3430807.859999999403954,3836137.250000000000000,4199828.550000000745058,11466774.660000000149012
FS( 142 ),3417598.649999999906868,3990301.500000000000000,4207198.500000000000000,11615099.650000000372529
FS( 143 ),3370683.179999999701977,4018628.500000000000000,4115600.550000000279397,11504913.230000000447035
FS( 144 ),3354741.029999999795109,4085632.750000000000000,4124023.350000000093132,11564398.129999998956919
FS( 145 ),3397557.089999999850988,4089990.750000000000000,4079803.649999999906868,11567352.490000000223517
FS( 146 ),3364761.810000000055879,4094348.750000000000000,4156661.699999999720603,11615773.259999999776483
FS( 147 ),3410310.810000000055879,4135749.750000000000000,4173507.299999999813735,11719568.859999999403954
FS( 148 ),3425797.469999999273568,4099251.500000000000000,4122970.499999999534339,11648020.469999998807907
FS( 149 ),3456770.789999999571592,4123765.250000000000000,4198775.699999999254942,11779312.739999998360872
FS( 150 ),3474990.390000000130385,4148279.000000000465661,4233519.750000000000000,11856790.140000000596046
FS( 151 ),3526916.250000000000000,4148279.000000000465661,4134551.850000000093132,11809748.099999999627471
FS( 152 ),3487288.619999999646097,4126489.000000000000000,4153503.150000000372529,11767281.769999999552965
FS( 153 ),3455859.810000000055879,4129757.500000000000000,4114547.699999999720603,11700166.009999999776483
FS( 154 ),3461325.689999999478459,4139018.250000000000000,4127181.900000000372529,11727526.839999999850988
FS( 155 ),3406211.399999999906868,4170613.750000000000000,4073486.549999999813735,11650312.699999999254942
FS( 156 ),3413043.750000000000000,4182598.250000000000000,4105072.050000000279397,11700715.050000000745058
FS( 157 ),3417598.649999999906868,4169524.250000000465661,4158767.399999999906868,11745891.300000000745058
FS( 158 ),3400290.029999999795109,4215283.250000000000000,4148238.899999999906868,11763813.179999999701977
FS( 159 ),3406211.399999999906868,4198940.750000000000000,4090332.149999999906868,11695485.300000000745058
FS( 160 ),3462236.669999999925494,4196761.750000000000000,4144027.500000000000000,11803026.919999999925494
FS( 161 ),3491843.519999999552965,4194037.999999999534339,4196670.000000000000000,11882552.519999999552965
FS( 162 ),3417598.649999999906868,4135749.750000000000000,4102966.349999999627471,11656315.750000000000000
FS( 163 ),3445839.029999999795109,4144465.750000000000000,4154556.000000000000000,11744861.779999999329448
FS( 164 ),3523727.819999999832362,4180964.000000000000000,4208251.349999999627471,11912944.169999999925494
FS( 165 ),3502775.279999999795109,4149913.250000000465661,4175612.999999999534339,11828302.529999999329448
FS( 166 ),3520083.899999999906868,4166800.499999999534339,4160873.100000000093132,11847758.500000000000000
FS( 167 ),3511429.589999999850988,4177150.750000000465661,4198775.699999999254942,11887357.039999999105930
FS( 168 ),3582941.519999999552965,4197306.500000000000000,4218779.849999999627471,11999028.869999999180436
FS( 169 ),3602072.099999999627471,4205477.750000000000000,4239836.849999999627471,12047387.699999999254942
FS( 170 ),3691803.629999999422580,4189135.250000000465661,4225096.949999999254942,12106036.829999998211861
FS( 171 ),3700002.449999999720603,4204388.250000000000000,4229308.349999999627471,12133700.049999998882413
FS( 172 ),3777891.239999999757856,4213649.000000000000000,4242995.400000000372529,12234536.640000000596046
FS( 173 ),3833461.019999999552965,4203843.500000000000000,4206145.650000000372529,12243451.169999999925494
FS( 174 ),3860334.929999999701977,4183687.750000000000000,4194564.300000000745058,12238587.980000000447035
FS( 175 ),3854413.560000000055879,4215828.000000000000000,4229308.349999999627471,12299550.910000000149012
FS( 176 ),3936857.250000000000000,4158629.250000000000000,4173507.299999999813735,12268994.800000000745058
FS( 177 ),3879921.000000000000000,4148823.750000000000000,4160873.100000000093132,12189618.849999999627471
FS( 178 ),3894952.169999999925494,4200575.000000000000000,4106124.899999999906868,12201653.070000000298023
FS( 179 ),3888575.310000000055879,4226178.250000000000000,4193511.449999999720603,12308266.009999999776483
FS( 180 ),3841204.349999999627471,4206022.500000000000000,4153503.150000000372529,12200731.000000000000000
FS( 181 ),3863523.359999999403954,4209291.000000000000000,4213515.599999999627471,12286330.959999999031425
FS( 182 ),3864889.829999999608845,4177150.750000000465661,4316694.900000000372529,12358736.480000000447035
FS( 183 ),3945511.560000000055879,4216372.750000000000000,4408292.849999999627471,12570178.160000000149012
FS( 184 ),3926380.979999999981374,4197851.250000000000000,4439878.349999999627471,12564111.580000000074506
FS( 185 ),3910438.829999999608845,4197851.250000000000000,4470411.000000000000000,12578702.080000000074506
FS( 186 ),3883109.429999999701977,4232715.250000000000000,4405134.300000000745058,12520959.980000000447035
FS( 187 ),3830272.589999999850988,4301353.750000000000000,4420927.050000000745058,12552554.390000000596046
FS( 188 ),3842570.819999999832362,4255594.750000000000000,4336699.049999998882413,12434865.619999999180436
FS( 189 ),3869444.729999999981374,4278474.250000000000000,4381971.599999999627471,12529891.580000000074506
FS( 190 ),3925014.509999999776483,4261587.000000000000000,4347227.550000000745058,12533830.060000000521541
FS( 191 ),3951432.929999999701977,4292093.000000000000000,4376707.349999999627471,12620234.279999999329448
FS( 192 ),3972385.469999999273568,4263221.250000000000000,4336699.049999998882413,12572306.769999997690320
FS( 193 ),4000170.359999999403954,4316606.750000000000000,4395658.650000000372529,12712436.759999999776483
FS( 194 ),4032510.149999999906868,4340031.000000000000000,4412504.250000000000000,12785046.400000000372529
FS( 195 ),4048907.789999999571592,4362365.750000000000000,4363020.299999998882413,12774294.839999997988343
FS( 196 ),3952343.909999999683350,4338941.500000000000000,4245101.099999999627471,12536387.509999999776483
FS( 197 ),3957809.789999999571592,4363455.250000000000000,4335646.199999999254942,12656912.239999998360872
FS( 198 ),3948699.989999999757856,4306801.250000000000000,4270369.500000000000000,12525871.740000000223517
FS( 199 ),3922737.060000000055879,4350926.000000000000000,4248259.650000000372529,12521923.710000000894070
FS( 200 ),4006547.219999999273568,4435907.000000000000000,4315642.050000000745058,12758097.269999999552965
FS( 201 ),3960087.239999999757856,4434272.750000000000000,4304060.699999999254942,12698421.689999999478459
FS( 202 ),4016568.000000000000000,4496374.250000000000000,4360914.599999999627471,12873857.849999999627471
FS( 203 ),4137272.849999999627471,4201119.750000000000000,4397764.349999999627471,12736157.949999999254942
FS( 204 ),4175534.009999999776483,4171703.250000000000000,4441984.049999998882413,12789222.309999998658895
FS( 205 ),4229281.829999999143183,4200030.250000000000000,4401975.750000000000000,12831288.829999998211861
FS( 206 ),4186010.279999999795109,4231625.750000000000000,4419874.199999999254942,12837511.229999998584390
FS( 207 ),4163691.269999999552965,4182053.500000000000000,4434614.099999999627471,12780359.869999999180436
FS( 208 ),4153215.000000000000000,4194037.999999999534339,4370390.250000000000000,12717644.250000000000000
FS( 209 ),4200130.469999999739230,4235983.750000000000000,4616757.150000000372529,13052872.369999999180436
FS( 210 ),4269820.439999999478459,4259408.000000000000000,4726253.550000000745058,13255482.990000000223517
FS( 211 ),4290317.489999999292195,4235439.000000000000000,4708355.099999999627471,13234112.589999997988343
FS( 212 ),4317646.889999999664724,4245789.250000000000000,4732570.650000000372529,13296007.790000000968575
FS( 213 ),4283485.139999999664724,4273026.750000000000000,4718883.599999999627471,13275396.490000000223517
FS( 214 ),4309448.069999999366701,4260497.500000000000000,4700985.150000000372529,13270931.720000000670552
FS( 215 ),4292594.939999999478459,4290458.750000000000000,4705196.549999998882413,13288251.239999998360872
FS( 216 ),4316280.419999999925494,4281198.000000000000000,4709407.949999999254942,13306887.369999999180436
FS( 217 ),4377771.569999999366701,4329136.000000000000000,4746257.699999999254942,13453166.269999999552965
FS( 218 ),4419221.159999999217689,4395050.750000000000000,4784160.299999998882413,13598433.209999999031425
FS( 219 ),4399179.599999999627471,4368902.750000000000000,4732570.650000000372529,13500654.000000000000000
FS( 220 ),4505764.259999999776483,4359097.250000000000000,4857859.800000000745058,13722722.310000000521541
FS( 221 ),4496654.459999999962747,4308435.500000000000000,4779948.900000000372529,13585039.860000001266599
FS( 222 ),4498020.929999999701977,4292637.750000000000000,4778896.050000000745058,13569555.730000000447035
FS( 223 ),4460670.750000000000000,4293727.250000000000000,4742046.300000000745058,13496445.300000000745058
FS( 224 ),4543569.929999999701977,4287190.250000000000000,4688350.949999999254942,13519112.129999998956919
FS( 225 ),4554957.179999999701977,4460420.750000000000000,4749416.250000000000000,13764795.179999999701977
FS( 226 ),4559967.569999999366701,4404856.250000000000000,4738887.750000000000000,13703712.570000000298023
FS( 227 ),4513507.589999999850988,4298085.250000000000000,4689403.800000000745058,13500997.640000000596046
FS( 228 ),4579553.639999999664724,4308435.500000000000000,4765209.000000000000000,13653199.140000000596046
FS( 229 ),4510319.159999999217689,4181508.750000000465661,4689403.800000000745058,13381232.710000000894070
FS( 230 ),4588663.439999999478459,4230536.250000000000000,4743099.150000000372529,13562299.839999999850988
FS( 231 ),4537193.069999999366701,4214738.500000000000000,4743099.150000000372529,13495031.720000000670552
FS( 232 ),4486178.189999999478459,4176061.250000000000000,4665188.250000000000000,13327428.689999999478459
FS( 233 ),4544025.419999999925494,4184777.249999999534339,4720989.300000000745058,13449792.970000000670552
FS( 234 ),4668374.189999999478459,4235439.000000000000000,4736782.050000000745058,13640596.240000000223517
FS( 235 ),4656986.939999999478459,4252871.000000000000000,4798900.199999999254942,13708759.139999998733401
FS( 236 ),4634667.929999999701977,4255594.750000000000000,4729412.099999999627471,13619675.779999999329448
FS( 237 ),4595040.299999999813735,4227267.750000000000000,4715725.050000000745058,13538034.100000001490116
FS( 238 ),4653343.019999999552965,4272482.000000000000000,4796794.500000000000000,13722620.519999999552965
FS( 239 ),4638311.849999999627471,4250692.000000000000000,4762050.449999999254942,13651055.299999998882413
FS( 240 ),4692970.649999999441206,4301353.750000000000000,4799953.050000000745058,13794278.449999999254942
FS( 241 ),4740797.099999999627471,4305711.750000000000000,4843119.900000000372529,13889629.750000000000000
FS( 242 ),4657442.429999999701977,4227812.500000000000000,4807323.000000000000000,13692578.929999999701977
FS( 243 ),4538559.540000000037253,4099251.500000000000000,4697826.599999999627471,13335638.639999998733401
FS( 244 ),4554046.200000000186265,4218007.000000000000000,4725200.699999999254942,13497254.899999998509884
FS( 245 ),4457026.829999999143183,4171703.250000000000000,4692562.349999999627471,13321293.429999997839332
FS( 246 ),4494377.009999999776483,4177695.500000000000000,4750469.099999999627471,13422542.609999999403954
FS( 247 ),4589118.929999999701977,4216372.750000000000000,4807323.000000000000000,13612815.679999999701977
FS( 248 ),4698436.530000000260770,4231081.000000000000000,4850489.849999999627471,13780008.380000000819564
FS( 249 ),4666096.739999999292195,4194037.999999999534339,4810481.549999998882413,13670617.289999997243285
