代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14081823.219999998807907
真實報酬,4081823.219999998807907

夏普值報酬,0.399482322000000
夏普值風險,0.113778268433426
夏普值,3.511059954597097

二次趨勢線,51.994326603967096 x^2 + 4455.715380699320121 x + 10000000.000000000000000
二次平均預期報酬,17506.291358295060490
風險,214601.170691572013311
二次平均趨勢值,0.081575935964745
一次趨勢線,14224.110573510508402 x + 10000000.000000000000000
一次預期報酬,14224.110573510508402
一次風險,423529.210740742797498
一次趨勢值,0.033584721461438
找到最佳解世代,1605
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
BA[2](1),DD[7](12),UNH[23](4),UTX[24](2),
FS( 47 ),2665332.669999999925494,2583832.000000000000000,2385317.390000000130385,2584237.120000000111759,10218719.179999999701977
FS( 48 ),2697113.679999999701977,2610179.200000000186265,2399486.669999999925494,2584875.280000000260770,10291654.830000000074506
FS( 49 ),2707469.289999999571592,2647903.600000000093132,2424725.700000000186265,2590618.720000000204891,10370717.310000000521541
FS( 50 ),2694971.139999999664724,2656286.799999999813735,2446422.410000000149012,2584556.200000000186265,10382236.550000000745058
FS( 51 ),2653905.789999999571592,2646107.199999999720603,2407899.680000000167638,2564454.160000000149012,10272366.830000000074506
FS( 52 ),2643193.089999999385327,2679041.200000000186265,2393287.609999999869615,2552010.040000000502914,10267531.939999999478459
FS( 53 ),2665689.759999999776483,2713172.800000000279397,2407014.100000000093132,2552329.120000000111759,10338205.780000001192093
FS( 54 ),2696756.589999999385327,2796406.000000000000000,2433138.710000000428408,2623803.040000000502914,10550104.340000001713634
FS( 55 ),2696399.500000000000000,2765268.399999999906868,2412770.370000000111759,2649329.440000000409782,10523767.710000000894070
FS( 56 ),2721038.709999999962747,2770657.600000000093132,2455721.000000000000000,2653796.560000000055879,10601213.870000001043081
FS( 57 ),2719967.439999999944121,2728142.800000000279397,2436681.030000000260770,2633694.520000000484288,10518485.790000000968575
FS( 58 ),2712825.639999999664724,2744310.399999999906868,2428710.810000000055879,2624122.120000000111759,10509968.969999998807907
FS( 59 ),2714611.089999999385327,2764669.600000000093132,2400815.040000000037253,2619974.080000000074506,10500069.809999998658895
FS( 60 ),2707826.379999999422580,2738921.200000000186265,2410556.419999999925494,2618697.759999999776483,10476001.759999999776483
FS( 61 ),2667118.119999999646097,2696406.399999999906868,2384874.600000000093132,2578493.680000000167638,10326892.799999998882413
FS( 62 ),2691043.149999999441206,2756885.199999999720603,2401700.620000000111759,2616783.280000000260770,10466412.250000000000000
FS( 63 ),2752105.539999999571592,2818561.600000000093132,2414984.320000000298023,2680280.200000000186265,10665931.660000000149012
FS( 64 ),2766389.139999999664724,2826944.800000000279397,2302072.870000000111759,2690171.680000000167638,10585578.490000000223517
FS( 65 ),2774245.119999999646097,2867663.200000000186265,2306500.770000000484288,2711550.040000000502914,10659959.130000000819564
FS( 66 ),2718539.079999999608845,2864669.200000000186265,2306500.770000000484288,2698467.759999999776483,10588176.809999998658895
FS( 67 ),2647121.079999999608845,2822753.200000000186265,2275948.260000000242144,2665921.600000000093132,10411744.139999998733401
FS( 68 ),2741035.750000000000000,2856884.800000000279397,2318898.890000000130385,2697829.600000000093132,10614649.040000000968575
FS( 69 ),2752819.719999999739230,2885627.199999999720603,2351665.350000000093132,2711230.959999999962747,10701343.230000000447035
FS( 70 ),2683901.349999999627471,2887423.600000000093132,2338824.439999999944121,2717931.640000000596046,10628081.029999999329448
FS( 71 ),2733536.859999999403954,2923351.600000000093132,2362735.100000000093132,2737714.600000000093132,10757338.159999998286366
FS( 72 ),2747463.369999999646097,2907184.000000000000000,2374247.640000000130385,2742819.879999999888241,10771714.890000000596046
FS( 73 ),2654619.969999999739230,2870058.399999999906868,2376018.799999999813735,2730375.759999999776483,10631072.929999999701977
FS( 74 ),2687472.250000000000000,2883232.000000000000000,2408785.260000000242144,2756859.400000000372529,10736348.910000000149012
FS( 75 ),2679616.270000000018626,2882034.400000000372529,2415869.900000000372529,2774408.800000000279397,10751929.370000001043081
FS( 76 ),2648192.349999999627471,2895208.000000000000000,2480517.240000000223517,2791000.959999999962747,10814918.550000000745058
FS( 77 ),2652834.520000000018626,2905986.399999999906868,2475646.549999999813735,2810145.759999999776483,10844613.230000000447035
FS( 78 ),2689614.789999999571592,2935926.399999999906868,2489373.040000000037253,2837267.560000000055879,10952181.789999999105930
FS( 79 ),2679259.179999999701977,2949100.000000000000000,2481402.820000000298023,2865027.520000000484288,10974789.519999999552965
FS( 80 ),2642478.909999999683350,2935327.600000000093132,2471218.650000000372529,2865346.600000000093132,10914371.759999999776483
FS( 81 ),2629980.759999999776483,2961674.800000000279397,2492029.780000000260770,2864070.280000000260770,10947755.620000001043081
FS( 82 ),2663547.219999999739230,2951495.199999999720603,2483173.979999999981374,2843011.000000000000000,10941227.400000000372529
FS( 83 ),2637836.739999999757856,2746106.799999999813735,2444651.250000000000000,2794191.759999999776483,10622786.549999998882413
FS( 84 ),2673545.739999999757856,2779040.799999999813735,2469447.490000000223517,2866622.920000000391155,10788656.949999999254942
FS( 85 ),2685686.799999999348074,2740118.799999999813735,2468561.910000000149012,2857050.520000000484288,10751418.030000001192093
FS( 86 ),2709968.919999999925494,2755088.799999999813735,2558005.490000000223517,2848116.280000000260770,10871179.490000000223517
FS( 87 ),2724252.520000000018626,2774250.399999999906868,2540736.680000000167638,2851626.160000000149012,10890865.759999999776483
FS( 88 ),2764960.779999999795109,2746106.799999999813735,2526124.609999999869615,2870132.800000000279397,10907324.990000000223517
FS( 89 ),2733893.949999999720603,2764669.600000000093132,2556677.120000000111759,2874599.920000000391155,10929840.589999999850988
FS( 90 ),2709254.739999999757856,2769460.000000000000000,2529224.140000000130385,2859284.080000000074506,10867222.960000000894070
FS( 91 ),2713539.819999999366701,2793412.000000000000000,2524353.450000000186265,2871090.040000000502914,10902395.310000000521541
FS( 92 ),2670331.929999999701977,2814370.000000000000000,2534094.830000000074506,2855774.200000000186265,10874570.960000000894070
FS( 93 ),2675688.279999999795109,2770657.600000000093132,2526124.609999999869615,2861836.720000000204891,10834307.210000000894070
FS( 94 ),2679259.179999999701977,2742514.000000000000000,2538079.939999999944121,2896616.440000000409782,10856469.559999998658895
FS( 95 ),2665689.759999999776483,2746106.799999999813735,2508855.799999999813735,2904274.359999999869615,10824926.719999998807907
FS( 96 ),2670331.929999999701977,2698202.800000000279397,2444651.250000000000000,2876833.479999999981374,10690019.460000000894070
FS( 97 ),2714254.000000000000000,2629939.600000000093132,2445979.620000000111759,2852902.479999999981374,10643075.699999999254942
FS( 98 ),2737464.849999999627471,2676047.199999999720603,2411884.790000000037253,2887363.120000000111759,10712759.959999999031425
FS( 99 ),2679259.179999999701977,2612574.400000000372529,2360078.359999999869615,2819718.160000000149012,10471630.099999999627471
FS( 100 ),2701398.759999999776483,2634131.200000000186265,2349008.609999999869615,2846201.800000000279397,10530740.370000001043081
FS( 101 ),2762461.149999999441206,2712574.000000000000000,2385317.390000000130385,2889915.759999999776483,10750268.299999998882413
FS( 102 ),2746035.009999999776483,2704789.600000000093132,2366720.210000000428408,2889277.600000000093132,10706822.419999999925494
FS( 103 ),2759604.429999999701977,2712574.000000000000000,2369819.740000000223517,2875876.240000000223517,10717874.410000000149012
FS( 104 ),2752819.719999999739230,2722154.800000000279397,2360963.939999999944121,2843968.240000000223517,10679906.699999999254942
FS( 105 ),2808882.849999999627471,2746106.799999999813735,2368934.160000000149012,2904274.359999999869615,10828198.169999999925494
FS( 106 ),2823880.629999999422580,2789220.399999999906868,2373804.850000000093132,2905869.759999999776483,10892775.639999998733401
FS( 107 ),2894227.359999999403954,2771256.399999999906868,2382217.859999999869615,2926290.879999999888241,10973992.500000000000000
FS( 108 ),2900654.979999999981374,2794609.600000000093132,2382660.650000000372529,2937777.759999999776483,11015702.990000000223517
FS( 109 ),2961717.369999999646097,2813172.399999999906868,2400372.250000000000000,2964580.479999999981374,11139842.500000000000000
FS( 110 ),3005282.349999999627471,2834729.200000000186265,2427825.229999999981374,2971919.320000000298023,11239756.099999999627471
FS( 111 ),3026350.659999999683350,2831735.199999999720603,2412327.580000000074506,2970004.840000000316650,11240418.279999999329448
FS( 112 ),3021708.489999999757856,2871256.000000000000000,2423397.330000000074506,2981810.800000000279397,11298172.620000001043081
FS( 113 ),3086341.779999999795109,2883232.000000000000000,2423397.330000000074506,2976386.440000000409782,11369357.550000000745058
FS( 114 ),3041705.529999999795109,2837124.400000000372529,2435352.660000000149012,2960113.359999999869615,11274295.949999999254942
FS( 115 ),3053489.500000000000000,2830537.600000000093132,2442880.090000000316650,2970962.080000000074506,11297869.269999999552965
FS( 116 ),3048490.239999999757856,2851495.599999999627471,2430039.180000000167638,2981810.800000000279397,11311835.820000000298023
FS( 117 ),3011352.879999999422580,2769460.000000000000000,2438009.400000000372529,2949264.640000000596046,11168086.919999999925494
FS( 118 ),3028850.289999999571592,2795208.399999999906868,2411442.000000000000000,2986277.920000000391155,11221778.609999999403954
FS( 119 ),3029921.559999999590218,2753292.399999999906868,2429153.600000000093132,2961070.600000000093132,11173438.159999998286366
FS( 120 ),3093126.489999999757856,2728741.600000000093132,2464134.010000000242144,2956284.400000000372529,11242286.500000000000000
FS( 121 ),3078128.709999999962747,2710178.799999999813735,2507084.640000000130385,2955008.080000000074506,11250400.230000000447035
FS( 122 ),3065630.559999999590218,2714969.200000000186265,2533209.250000000000000,2981172.640000000596046,11294981.650000000372529
FS( 123 ),3044205.159999999683350,2674849.600000000093132,2611140.290000000037253,2964899.560000000055879,11295094.609999999403954
FS( 124 ),3002782.719999999739230,2639520.399999999906868,2733793.120000000111759,2967133.120000000111759,11343229.359999999403954
FS( 125 ),3012424.149999999441206,2643712.000000000000000,2730693.590000000316650,2973833.800000000279397,11360663.540000000968575
FS( 126 ),3033492.459999999962747,2680238.799999999813735,2746634.030000000260770,2972557.479999999981374,11432922.769999999552965
FS( 127 ),3077057.439999999944121,2634730.000000000000000,2749733.560000000055879,2955965.320000000298023,11417486.320000000298023
FS( 128 ),3097768.659999999683350,2616167.199999999720603,2740434.970000000204891,2990106.879999999888241,11444477.710000000894070
FS( 129 ),3114194.799999999348074,2680837.600000000093132,2753275.880000000353903,3013718.800000000279397,11562027.080000000074506
FS( 130 ),3135977.289999999571592,2714370.399999999906868,2763460.049999999813735,3037011.640000000596046,11650819.379999998956919
FS( 131 ),3161330.679999999701977,2716765.599999999627471,2788699.080000000074506,3057432.759999999776483,11724228.119999999180436
FS( 132 ),3174185.919999999925494,2707184.800000000279397,2790913.030000000260770,3053284.720000000204891,11725568.470000000670552
FS( 133 ),3098482.839999999385327,2573652.399999999906868,2727151.270000000484288,2984044.359999999869615,11383330.869999999180436
FS( 134 ),3102767.919999999925494,2581436.799999999813735,2781171.650000000372529,3015633.280000000260770,11481009.650000002235174
FS( 135 ),3095626.119999999646097,2583832.000000000000000,2746634.030000000260770,2962666.000000000000000,11388758.149999998509884
FS( 136 ),3075271.989999999757856,2573652.399999999906868,2643021.169999999925494,2921185.600000000093132,11213131.160000000149012
FS( 137 ),3140976.549999999348074,2605388.799999999813735,2658518.820000000298023,2974471.959999999962747,11379356.129999998956919
FS( 138 ),3104553.369999999646097,2642514.400000000372529,2622210.040000000037253,2987554.240000000223517,11356832.050000000745058
FS( 139 ),3148832.529999999795109,2699999.200000000186265,2592100.320000000298023,2963942.320000000298023,11404874.370000001043081
FS( 140 ),3243461.379999999422580,2743112.800000000279397,2603170.070000000298023,2935544.200000000186265,11525288.449999999254942
FS( 141 ),3273456.939999999944121,2897004.400000000372529,2627523.520000000484288,2939054.080000000074506,11737038.939999999478459
FS( 142 ),3315593.559999999590218,2849699.200000000186265,2633722.580000000074506,2908422.400000000372529,11707437.740000000223517
FS( 143 ),3281670.009999999776483,2888022.399999999906868,2657190.450000000186265,2923419.160000000149012,11750302.019999999552965
FS( 144 ),3264172.599999999627471,2891615.199999999720603,2653648.130000000353903,2912889.520000000484288,11722325.449999999254942
FS( 145 ),3255959.529999999795109,2826944.800000000279397,2644349.540000000037253,2905231.600000000093132,11632485.470000000670552
FS( 146 ),3292739.799999999348074,2824549.600000000093132,2633722.580000000074506,2927567.200000000186265,11678579.179999999701977
FS( 147 ),3347374.569999999366701,2895806.799999999813735,2608926.340000000316650,2970962.080000000074506,11823069.789999999105930
FS( 148 ),3363443.619999999646097,2899998.399999999906868,2665603.460000000428408,2983087.120000000111759,11912132.600000001490116
FS( 149 ),3384869.020000000018626,2945507.199999999720603,2678887.160000000149012,2995212.160000000149012,12004475.539999999105930
FS( 150 ),3358087.270000000018626,2943112.000000000000000,2767887.950000000186265,3011485.240000000223517,12080572.459999999031425
FS( 151 ),3378441.399999999441206,2977842.399999999906868,2745748.450000000186265,3023610.280000000260770,12125642.530000001192093
FS( 152 ),3365229.069999999366701,2938321.600000000093132,2785599.549999999813735,3039245.200000000186265,12128395.419999998062849
FS( 153 ),3383797.750000000000000,2929339.600000000093132,2762574.470000000204891,3029672.800000000279397,12105384.620000001043081
FS( 154 ),3432004.899999999441206,2978441.200000000186265,2733350.330000000074506,3060942.640000000596046,12204739.070000000298023
FS( 155 ),3464500.089999999385327,3013770.399999999906868,2728036.850000000093132,3057113.680000000167638,12263421.019999999552965
FS( 156 ),3448788.129999999422580,2993411.200000000186265,2751504.720000000204891,3036692.560000000055879,12230396.610000001266599
FS( 157 ),3532347.189999999944121,3054488.799999999813735,2782500.020000000484288,3106252.000000000000000,12475588.010000001639128
FS( 158 ),3525205.389999999664724,3036524.800000000279397,2770101.900000000372529,3102423.040000000502914,12434255.130000000819564
FS( 159 ),3526276.659999999683350,3050896.000000000000000,2783828.390000000130385,3112633.600000000093132,12473634.650000000372529
FS( 160 ),3496995.279999999795109,2994608.799999999813735,2757703.780000000260770,3071153.200000000186265,12320461.059999998658895
FS( 161 ),3561985.659999999683350,2993411.200000000186265,2761246.100000000093132,3046903.120000000111759,12363546.079999998211861
FS( 162 ),3570912.909999999683350,2991614.800000000279397,2747962.400000000372529,3032544.520000000484288,12343034.629999998956919
FS( 163 ),3574840.899999999441206,2988022.000000000000000,2804639.520000000484288,3062218.959999999962747,12429721.379999998956919
FS( 164 ),3538417.719999999739230,2979638.799999999813735,2805082.310000000055879,3035097.160000000149012,12358235.990000000223517
FS( 165 ),3590195.770000000018626,2967662.800000000279397,2863087.799999999813735,3061899.879999999888241,12482846.250000000000000
FS( 166 ),3535918.089999999385327,2938321.600000000093132,2773201.430000000167638,3028077.400000000372529,12275518.519999999552965
FS( 167 ),3597337.569999999366701,2928142.000000000000000,2780728.859999999869615,3038607.040000000502914,12344815.470000000670552
FS( 168 ),3556986.399999999441206,2952094.000000000000000,2761246.100000000093132,3008294.440000000409782,12278620.940000001341105
FS( 169 ),3516992.319999999366701,2870058.399999999906868,2734235.910000000149012,2967771.280000000260770,12089057.910000000149012
FS( 170 ),3562342.750000000000000,2889818.799999999813735,2741763.340000000316650,2959475.200000000186265,12153400.089999999850988
FS( 171 ),3659828.319999999366701,2929339.600000000093132,2770544.689999999944121,3015314.200000000186265,12375026.809999998658895
FS( 172 ),3650901.069999999366701,2927543.200000000186265,2819694.380000000353903,3003827.320000000298023,12401965.970000000670552
FS( 173 ),3633403.659999999683350,2899399.600000000093132,2830764.130000000353903,2989149.640000000596046,12352717.030000001192093
FS( 174 ),3602336.829999999608845,2881435.599999999627471,2826336.229999999981374,2957241.640000000596046,12267350.300000000745058
FS( 175 ),3648044.349999999627471,2954489.200000000186265,2840505.510000000242144,3008613.520000000484288,12451652.580000001937151
FS( 176 ),3636260.379999999422580,2899998.399999999906868,2825007.859999999869615,2999998.359999999869615,12361264.999999998137355
FS( 177 ),3679111.179999999701977,2911375.599999999627471,2850246.890000000130385,3030630.040000000502914,12471363.710000000894070
FS( 178 ),3716605.629999999422580,2952094.000000000000000,2908252.380000000353903,3068600.560000000055879,12645552.570000000298023
FS( 179 ),3651258.159999999683350,2907782.800000000279397,2889655.200000000186265,3005103.640000000596046,12453799.800000000745058
FS( 180 ),3558057.669999999925494,2830537.600000000093132,2825007.859999999869615,2946712.000000000000000,12160315.129999998956919
FS( 181 ),3570198.729999999981374,2782633.600000000093132,2829435.760000000242144,2941287.640000000596046,12123555.730000000447035
FS( 182 ),3494138.559999999590218,2758681.600000000093132,2862645.010000000242144,2919271.120000000111759,12034736.289999999105930
FS( 183 ),3523419.939999999944121,2771256.399999999906868,2821908.330000000074506,2928524.440000000409782,12045109.109999999403954
FS( 184 ),3597694.659999999683350,2746106.799999999813735,2868401.280000000260770,2966814.040000000502914,12179016.779999999329448
FS( 185 ),3683396.259999999776483,2758681.600000000093132,2926406.770000000484288,2983725.280000000260770,12352209.910000000149012
FS( 186 ),3658042.869999999646097,2743112.800000000279397,2899396.580000000540167,2965537.720000000204891,12266089.970000000670552
FS( 187 ),3686610.069999999366701,2771256.399999999906868,2906038.430000000167638,3022972.120000000111759,12386877.019999999552965
FS( 188 ),3623405.139999999664724,2766466.000000000000000,2890097.989999999757856,2992978.600000000093132,12272947.729999998584390
FS( 189 ),3674111.919999999925494,2765268.399999999906868,2902053.320000000298023,3022653.040000000502914,12364086.680000001564622
FS( 190 ),3720890.709999999962747,2787424.000000000000000,2929949.090000000316650,3080087.440000000409782,12518351.240000002086163
FS( 191 ),3726961.239999999757856,2821555.599999999627471,2991496.900000000372529,3094446.040000000502914,12634459.780000001192093
FS( 192 ),3738031.029999999795109,2901196.000000000000000,3009651.290000000037253,3127630.359999999869615,12776508.679999999701977
FS( 193 ),3767312.409999999683350,2881435.599999999627471,2997253.169999999925494,3120291.520000000484288,12766292.699999999254942
FS( 194 ),3816590.829999999608845,2916166.000000000000000,3026920.100000000093132,3180916.720000000204891,12940593.650000000372529
FS( 195 ),3637688.739999999757856,2909579.200000000186265,3010979.660000000149012,3185383.840000000316650,12743631.439999999478459
FS( 196 ),3773025.849999999627471,2933531.200000000186265,2994153.640000000130385,3198466.120000000111759,12899176.809999998658895
FS( 197 ),3721961.979999999981374,2897004.400000000372529,2962715.549999999813735,3190489.120000000111759,12772171.050000000745058
FS( 198 ),3741959.020000000018626,2961674.800000000279397,2932605.830000000540167,3218249.080000000074506,12854488.730000000447035
FS( 199 ),3843372.579999999608845,2949100.000000000000000,3123891.109999999869615,3233564.920000000391155,13149928.609999999403954
FS( 200 ),3819447.549999999348074,2956285.599999999627471,3163742.210000000428408,3269940.040000000502914,13209415.400000000372529
FS( 201 ),3815876.649999999441206,2949698.799999999813735,3196065.880000000353903,3258134.080000000074506,13219775.410000000149012
FS( 202 ),3849086.020000000018626,2946106.000000000000000,3218648.169999999925494,3354177.160000000149012,13368017.349999999627471
FS( 203 ),3819090.459999999962747,2931136.000000000000000,3211563.530000000260770,3350029.120000000111759,13311819.109999999403954
FS( 204 ),3810163.209999999962747,2983830.399999999906868,3215548.640000000130385,3343647.520000000484288,13353189.769999999552965
FS( 205 ),3770883.309999999590218,2959279.600000000093132,3197394.250000000000000,3349390.959999999962747,13276948.120000001043081
FS( 206 ),3742673.199999999720603,2984429.200000000186265,3223076.070000000298023,3352581.759999999776483,13302760.230000000447035
FS( 207 ),3775525.479999999981374,2989818.399999999906868,3200050.989999999757856,3368535.759999999776483,13333930.629999998956919
FS( 208 ),3753028.809999999590218,2988022.000000000000000,3225732.810000000055879,3368535.759999999776483,13335319.379999998956919
FS( 209 ),3810163.209999999962747,3018560.799999999813735,3239459.299999999813735,3419907.640000000596046,13488090.949999999254942
FS( 210 ),3853014.009999999776483,3088620.399999999906868,3199608.200000000186265,3438733.359999999869615,13579975.969999998807907
FS( 211 ),3838730.409999999683350,3110776.000000000000000,3247429.520000000484288,3402677.320000000298023,13599613.250000000000000
FS( 212 ),3822304.270000000018626,3074848.000000000000000,3243001.620000000111759,3356729.800000000279397,13496883.690000001341105
FS( 213 ),3800164.689999999944121,3094608.399999999906868,3228832.340000000316650,3383213.440000000409782,13506818.870000001043081
FS( 214 ),3779453.469999999739230,3147302.800000000279397,3240344.880000000353903,3390552.280000000260770,13557653.429999999701977
FS( 215 ),3761241.879999999422580,3243709.600000000093132,3229275.130000000353903,3370131.160000000149012,13604357.769999999552965
FS( 216 ),3722319.069999999366701,3195805.599999999627471,3205364.470000000204891,3367578.520000000484288,13491067.660000000149012
FS( 217 ),3793379.979999999981374,3229937.199999999720603,3247872.310000000055879,3407782.600000000093132,13678972.089999999850988
FS( 218 ),3719462.349999999627471,3219158.799999999813735,3209792.370000000111759,3352262.680000000167638,13500676.199999999254942
FS( 219 ),3668398.479999999981374,3168260.799999999813735,3161528.260000000242144,3286213.120000000111759,13284400.660000000149012
FS( 220 ),3694823.139999999664724,3145506.399999999906868,3162856.630000000353903,3289084.840000000316650,13292271.009999999776483
FS( 221 ),3739459.389999999664724,3123350.799999999813735,3175254.750000000000000,3274726.240000000223517,13312791.179999999701977
FS( 222 ),3736245.579999999608845,3150895.599999999627471,3208464.000000000000000,3267387.400000000372529,13362992.580000000074506
FS( 223 ),3710535.099999999627471,3167063.200000000186265,3181453.810000000055879,3245051.800000000279397,13304103.910000000149012
FS( 224 ),3754457.169999999925494,3171254.800000000279397,3186767.290000000037253,3285255.879999999888241,13397735.140000000596046
FS( 225 ),3766598.229999999981374,3303589.600000000093132,3212006.320000000298023,3280150.600000000093132,13562344.750000000000000
