代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,15628984.029999997466803
真實報酬,5628984.029999997466803

夏普值報酬,0.554198403000000
夏普值風險,0.158593725472377
夏普值,3.494453524874951

二次趨勢線,68.327610059851722 x^2 + 9311.594439727316058 x + 10000000.000000000000000
二次平均預期報酬,26461.824564750102581
風險,333187.015910528192762
二次平均趨勢值,0.079420335430646
一次趨勢線,22148.593036301270331 x + 10000000.000000000000000
一次預期報酬,22148.593036301270331
一次風險,584171.829447087482549
一次趨勢值,0.037914517475560
找到最佳解世代,2225
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
BA[2](3),INTC[11](8),MSFT[18](2),
FS( 61 ),3766753.930000000167638,3152656.280000000726432,3549449.750000000000000,10468860.960000000894070
FS( 62 ),3725996.890000000130385,3091816.160000000149012,3482834.939999999944121,10300648.990000000223517
FS( 63 ),3731468.899999999906868,3110252.560000000521541,3505209.380000000353903,10346931.840000001713634
FS( 64 ),3747318.859999999869615,3084441.600000000558794,3466562.620000000111759,10298324.080000001937151
FS( 65 ),3808077.040000000037253,3165561.760000000707805,3512837.030000000260770,10486476.830000001937151
FS( 66 ),3801850.269999999552965,3100112.540000000502914,3486903.020000000018626,10388866.830000000074506
FS( 67 ),3818643.680000000167638,3123158.040000000502914,3532160.409999999683350,10473963.130000000819564
FS( 68 ),3848645.390000000130385,3101956.180000000167638,3558602.930000000167638,10509205.500000000000000
FS( 69 ),3892232.780000000260770,3126845.320000000298023,3559111.439999999944121,10578190.540000000968575
FS( 70 ),3895440.509999999776483,3157265.380000000353903,3618098.600000000558794,10670805.490000002086163
FS( 71 ),3891478.019999999552965,3156343.560000000521541,3649626.220000000204891,10697448.800000000745058
FS( 72 ),3934499.339999999850988,3196903.640000000130385,3700985.730000000447035,10832389.710000000894070
FS( 73 ),3943745.149999999906868,3177545.420000000391155,3729970.799999999813735,10851262.370000001043081
FS( 74 ),3929404.709999999962747,3183076.340000000316650,3727428.250000000000000,10839910.300000000745058
FS( 75 ),3979218.869999999646097,3185841.800000000745058,3755904.810000000055879,10920966.480000000447035
FS( 76 ),3967897.469999999739230,3203356.380000000353903,3774211.169999999925494,10945466.019999999552965
FS( 77 ),4002993.809999999590218,3201512.740000000223517,3752345.240000000689179,10956852.790000000968575
FS( 78 ),4003748.569999999832362,3180310.880000000353903,3742683.549999999813735,10926744.000000000000000
FS( 79 ),4009031.890000000130385,3195981.820000000298023,3772685.640000000130385,10977700.350000001490116
FS( 80 ),4405092.199999999254942,3203356.380000000353903,3765566.500000000000000,11374016.080000000074506
FS( 81 ),4547553.150000000372529,3223636.420000000391155,3720309.109999999869615,11491499.679999999701977
FS( 82 ),4552647.779999999329448,3254978.300000000745058,3714206.990000000689179,11521834.070000000298023
FS( 83 ),4575101.890000000596046,3269727.420000000391155,3696917.650000000372529,11541747.960000000894070
FS( 84 ),4518117.509999999776483,3350847.580000000540167,3690815.530000000260770,11559781.620000001043081
FS( 85 ),4490002.699999999254942,3377580.360000000335276,3674543.210000000428408,11542127.269999999552965
FS( 86 ),4495663.400000000372529,3363753.060000000521541,3668949.600000000558794,11528367.060000002384186
FS( 87 ),4485474.140000000596046,3346238.479999999981374,3695900.630000000353903,11527614.250000001862645
FS( 88 ),4533024.019999999552965,3358222.140000000130385,3681662.350000000558794,11572909.510000001639128
FS( 89 ),4519249.650000000372529,3356378.500000000000000,3701494.240000000689179,11577123.390000000596046
FS( 90 ),4421319.539999999105930,3372971.260000000707805,3685221.919999999925494,11479513.719999998807907
FS( 91 ),4394336.869999999180436,3331489.360000000335276,3631319.859999999869615,11357147.089999999850988
FS( 92 ),4432074.869999999180436,3306600.220000000204891,3686747.450000000186265,11425423.539999999105930
FS( 93 ),4474907.500000000000000,3349925.760000000707805,3742175.040000000502914,11567009.300000000745058
FS( 94 ),4513022.879999998956919,3318583.880000000353903,3723360.169999999925494,11554967.929999999701977
FS( 95 ),4483209.859999999403954,3301069.300000000745058,3745226.100000000558794,11529506.260000001639128
FS( 96 ),4445471.859999999403954,3242072.820000000298023,3681662.350000000558794,11369208.030000001192093
FS( 97 ),4448868.279999999329448,3227323.700000000186265,3686238.939999999944121,11362431.919999999925494
FS( 98 ),4447170.070000000298023,3219027.320000000298023,3668949.600000000558794,11335147.990000002086163
FS( 99 ),4523966.900000000372529,3194138.180000000167638,3720309.109999999869615,11438415.189999999478459
FS( 100 ),4492644.359999999403954,3195060.000000000000000,3697934.669999999925494,11385640.029999999329448
FS( 101 ),4504909.210000000894070,3199669.100000000558794,3696409.140000000130385,11400988.450000001117587
FS( 102 ),4451132.560000000521541,3195981.820000000298023,3703019.770000000018626,11350135.150000000372529
FS( 103 ),4475473.570000000298023,3194138.180000000167638,3703528.280000000260770,11373141.030000001192093
FS( 104 ),4537929.960000000894070,3201512.740000000223517,3714715.500000000000000,11454159.200000001117587
FS( 105 ),4537363.890000000596046,3216261.860000000335276,3763532.460000000428408,11517159.210000000894070
FS( 106 ),4522268.689999999478459,3232854.620000000577420,3802179.220000000204891,11557303.530000001192093
FS( 107 ),4534910.919999999925494,3234698.260000000707805,3759972.890000000130385,11529583.070000000298023
FS( 108 ),4472077.150000000372529,3228245.520000000484288,3743192.060000000055879,11443515.730000000447035
FS( 109 ),4427168.929999999701977,3296460.200000000186265,3732513.350000000558794,11456143.480000000447035
FS( 110 ),4459057.539999999105930,3276180.160000000149012,3780313.290000000502914,11515551.990000000223517
FS( 111 ),4505663.970000000670552,3243916.459999999962747,3762006.930000000167638,11511588.360000001266599
FS( 112 ),4539816.859999999403954,3297382.020000000484288,3801670.710000000428408,11638870.589999999850988
FS( 113 ),4539628.169999999925494,3326880.260000000707805,3797602.630000000353903,11664112.060000000521541
FS( 114 ),4565101.320000000298023,3349003.940000000409782,3824553.659999999683350,11738659.919999999925494
FS( 115 ),4627369.019999999552965,3362831.240000000223517,3802179.220000000204891,11792380.480000000447035
FS( 116 ),4698505.150000000372529,3410765.880000000353903,3829638.760000000242144,11938910.790000000968575
FS( 117 ),4775490.669999999925494,3410765.880000000353903,3822011.109999999869615,12008268.660000000149012
FS( 118 ),4763791.890000000596046,3431967.740000000223517,3836249.390000000130385,12032010.020000001415610
FS( 119 ),4820398.890000000596046,3417218.620000000577420,3810823.890000000130385,12048442.400000002235174
FS( 120 ),4831342.910000000149012,3429202.280000000726432,3773702.659999999683350,12034248.850000001490116
FS( 121 ),4839079.199999999254942,3427358.640000000130385,3783872.859999999869615,12050311.699999999254942
FS( 122 ),4798888.230000000447035,3425515.000000000000000,3725394.210000000428408,11949798.440000001341105
FS( 123 ),4787189.449999999254942,3454091.420000000391155,3725394.210000000428408,11966676.080000000074506
FS( 124 ),4817002.470000000670552,3460544.160000000149012,3755396.299999999813735,12032943.929999999701977
FS( 125 ),4797944.779999999329448,3487276.940000000409782,3756413.320000000298023,12041636.039999999105930
FS( 126 ),4796812.640000000596046,3510322.440000000409782,3787940.939999999944121,12095077.020000001415610
FS( 127 ),4830399.460000000894070,3598817.160000000149012,3794043.060000000055879,12223260.680000001564622
FS( 128 ),4820398.890000000596046,3630159.040000000502914,3776245.210000000428408,12226804.140000002458692
FS( 129 ),4826059.589999999850988,3626471.760000000707805,3798111.140000000130385,12250643.490000002086163
FS( 130 ),4885119.560000000521541,3643986.340000000316650,3863200.419999999925494,12392307.320000000298023
FS( 131 ),4879270.169999999925494,3653204.540000000502914,3864725.950000000186265,12397201.660000000149012
FS( 132 ),4875685.060000000521541,3674406.400000000372529,3879472.740000000689179,12429565.200000001117587
FS( 133 ),4923612.320000000298023,3655048.180000000167638,3879472.740000000689179,12458134.240000000223517
FS( 134 ),4933235.509999999776483,3622784.479999999981374,3886083.370000000111759,12442104.359999999403954
FS( 135 ),4942103.939999999478459,3612644.459999999962747,3921679.070000000298023,12476428.469999998807907
FS( 136 ),4920027.210000000894070,3656891.820000000298023,3940493.939999999944121,12517413.970000000670552
FS( 137 ),4901346.900000000372529,3665188.200000000186265,3948630.100000000558794,12515166.200000002980232
FS( 138 ),4880024.929999999701977,3667953.660000000149012,3945579.040000000502914,12493558.630000000819564
FS( 139 ),4906818.910000000149012,3710357.380000000353903,3946596.060000000055879,12563773.350000001490116
FS( 140 ),4887949.910000000149012,3695608.260000000707805,3961851.359999999869615,12545410.530000001192093
FS( 141 ),4995691.900000000372529,3726950.140000000130385,4007617.260000000242144,12730260.300000000745058
FS( 142 ),4949840.230000000447035,3763822.940000000409782,4008634.280000000260770,12722298.450000002980232
FS( 143 ),5019278.150000000372529,3774884.780000000726432,4010159.810000000055879,12804323.740000002086163
FS( 144 ),4876251.130000000819564,3759213.840000000316650,3998464.080000000074506,12633930.050000000745058
FS( 145 ),4892289.779999999329448,3811757.580000000540167,4005074.710000000428408,12709123.070000000298023
FS( 146 ),4839267.889999998733401,4092912.680000000167638,4261872.260000000707805,13194053.829999998211861
FS( 147 ),4891912.400000000372529,4090147.220000000204891,4265940.339999999850988,13248000.960000000894070
FS( 148 ),4867948.769999999552965,4193391.060000000521541,4229836.130000000819564,13291176.960000000894070
FS( 149 ),4877760.650000000372529,4305853.099999999627471,4229836.130000000819564,13413450.880000000819564
FS( 150 ),4955689.619999999180436,4341804.080000000074506,4274076.500000000000000,13571571.199999999254942
FS( 151 ),4939084.900000000372529,4271745.759999999776483,4278653.089999999850988,13489484.750000000000000
FS( 152 ),4982860.980000000447035,4304931.280000001192093,4295433.919999999925494,13583227.180000001564622
FS( 153 ),5021731.119999999180436,4312305.839999999850988,4285263.719999999739230,13619301.679999999701977
FS( 154 ),5011164.480000000447035,4304931.280000001192093,4300010.510000000707805,13616107.270000003278255
FS( 155 ),4957010.449999999254942,4268058.480000000447035,4276110.540000000037253,13501180.469999998807907
FS( 156 ),4922102.800000000745058,4201687.439999999478459,4264923.320000000298023,13388714.560000000521541
FS( 157 ),4951727.130000000819564,4217358.380000000819564,4267974.380000000819564,13437060.890000002458692
FS( 158 ),4939273.589999999850988,4227498.400000000372529,4274076.500000000000000,13440849.490000000223517
FS( 159 ),4960029.490000000223517,4190625.600000000558794,4219665.930000000633299,13370322.019999999552965
FS( 160 ),4975879.449999999254942,4208140.179999999701977,4230853.150000000372529,13414873.779999999329448
FS( 161 ),4948708.089999999850988,4114114.540000000502914,4190172.350000000558794,13252995.980000000447035
FS( 162 ),4993427.619999999180436,4113192.720000000204891,4196782.980000000447035,13303404.320000000298023
FS( 163 ),5037958.460000000894070,4142690.959999999962747,4257295.669999999925494,13437946.090000001713634
FS( 164 ),5003239.500000000000000,4115958.180000000167638,4226276.560000000521541,13345475.240000000223517
FS( 165 ),5017013.869999999180436,4125176.380000000353903,4233904.210000000894070,13376095.460000000894070
FS( 166 ),5011353.169999999925494,4101209.060000000521541,4264923.320000000298023,13377486.550000000745058
FS( 167 ),5056827.460000000894070,4123332.740000000223517,4316282.830000000074506,13496444.030000001192093
FS( 168 ),5081545.849999999627471,4051430.780000000726432,4237972.290000000037253,13370949.920000001788139
FS( 169 ),5223063.349999999627471,4133472.760000000707805,4280178.620000000111759,13636715.730000000447035
FS( 170 ),5120793.369999999180436,4118723.640000000130385,4284755.210000000894070,13524273.220000000670552
FS( 171 ),5245140.080000000074506,4101209.060000000521541,4123049.030000000260770,13469399.170000001788139
FS( 172 ),5199288.410000000149012,4004417.959999999962747,4148983.040000000502914,13352690.410000002011657
FS( 173 ),5250800.779999999329448,4005339.780000000726432,4209495.730000000447035,13465637.290000000968575
FS( 174 ),5320616.080000000074506,3971232.440000000409782,4194748.939999999478459,13486598.459999999031425
FS( 175 ),5394771.250000000000000,3996121.580000000540167,4279670.110000000335276,13670563.940000001341105
FS( 176 ),5343070.189999999478459,4024698.000000000000000,4334080.680000000633299,13701849.870000001043081
FS( 177 ),5471002.009999999776483,3994277.940000000409782,4351878.530000000260770,13817159.480000000447035
FS( 178 ),5506853.109999999403954,3995199.760000000707805,4340182.799999999813735,13842236.670000001788139
FS( 179 ),5545345.869999999180436,3987825.200000000186265,4306621.139999999664724,13839793.210000000894070
FS( 180 ),5546478.009999999776483,4107661.800000000745058,4416459.299999999813735,14070600.109999999403954
FS( 181 ),5587989.810000000521541,4264371.199999999254942,4392559.330000000074506,14244921.339999999850988
FS( 182 ),5608934.400000000372529,4336273.160000000149012,4364591.280000000260770,14309799.839999999850988
FS( 183 ),5621199.250000000000000,4384207.800000000745058,4348827.469999999739230,14354235.519999999552965
FS( 184 ),5567045.219999998807907,4310462.199999999254942,4347810.450000000186265,14225318.869999997317791
FS( 185 ),5568366.050000000745058,4304931.280000001192093,4348318.960000000894070,14221617.290000002831221
FS( 186 ),5573271.990000000223517,4247778.439999999478459,4342725.350000000558794,14163776.780000001192093
FS( 187 ),5578177.929999999701977,4250543.900000000372529,4358489.160000000149012,14187211.990000000223517
FS( 188 ),5591952.300000000745058,4260683.919999999925494,4358997.669999999925494,14211634.890000000596046
FS( 189 ),5564780.939999999478459,4255153.000000000000000,4349844.490000000223517,14169779.429999999701977
FS( 190 ),5601198.109999999403954,4318758.580000000074506,4370693.400000000372529,14290651.089999999850988
FS( 191 ),5619312.349999999627471,4172189.200000000186265,4391033.799999999813735,14182536.350000001490116
FS( 192 ),5597990.380000000819564,4095678.140000000130385,4429680.560000000521541,14123350.080000001937151
FS( 193 ),5827626.109999999403954,4124254.560000000521541,4484599.639999999664724,14436481.309999998658895
FS( 194 ),5852344.500000000000000,4124254.560000000521541,4489176.230000000447035,14465776.290000000968575
FS( 195 ),6008579.820000000298023,4021010.720000000204891,4486125.169999999925494,14515716.710000000894070
FS( 196 ),6043110.089999999850988,3917766.880000000353903,4465784.769999999552965,14426662.740000000223517
FS( 197 ),6191420.429999999701977,4001652.500000000000000,4479006.030000000260770,14672079.960000000894070
FS( 198 ),6344070.639999998733401,3985981.560000000521541,4556299.549999999813735,14886352.750000000000000
FS( 199 ),6324258.189999999478459,3976763.360000000335276,4492735.799999999813735,14793758.350000001490116
FS( 200 ),6623331.839999999850988,4091990.860000000335276,4583759.089999999850988,15299082.789999999105930
FS( 201 ),6418603.189999999478459,4100287.240000000223517,4581725.049999999813735,15100616.480000000447035
FS( 202 ),6372751.519999999552965,4131629.120000000577420,4576639.950000000186265,15081021.589999999850988
FS( 203 ),6377846.150000000372529,4217358.380000000819564,4658510.060000000521541,15253715.590000001713634
FS( 204 ),6332371.859999999403954,4245934.800000000745058,4673256.850000000558794,15251564.510000001639128
FS( 205 ),6315389.759999999776483,4195234.699999999254942,4669188.769999999552965,15179814.229999998584390
FS( 206 ),6474266.740000000223517,4175876.479999999981374,4695122.780000000260770,15345267.000000000000000
FS( 207 ),6476342.330000000074506,4616506.439999999478459,4783095.010000000707805,15875944.780000001192093
FS( 208 ),6431056.730000000447035,4607288.240000000223517,4775975.870000000111759,15814321.839999999850988
FS( 209 ),6372374.139999998733401,4497591.660000000149012,4715971.689999999478459,15585938.489999998360872
FS( 210 ),6686731.679999999701977,4437673.360000001266599,4831403.460000000894070,15955809.500000001862645
FS( 211 ),6735225.009999999776483,4392504.179999999701977,4793265.210000000894070,15920995.400000000372529
FS( 212 ),6583706.939999999478459,4254231.179999999701977,4667154.730000000447035,15505093.849999999627471
FS( 213 ),6205760.869999999180436,4103974.520000000484288,4474937.950000000186265,14784674.339999999850988
FS( 214 ),6432754.939999999478459,4139925.500000000000000,4644271.780000000260770,15216953.219999998807907
FS( 215 ),6568800.429999999701977,4166658.280000000726432,4556808.060000000521541,15292267.770000001415610
FS( 216 ),6220478.689999999478459,3940812.380000000353903,4322893.460000000894070,14484185.530000001192093
FS( 217 ),6280293.419999999925494,4051430.780000000726432,4484091.130000000819564,14815816.330000001937151
FS( 218 ),6487286.349999999627471,4132550.940000000409782,4532399.580000000074506,15152237.869999999180436
FS( 219 ),6475210.189999999478459,4098443.600000000558794,4567995.280000000260770,15141650.070000000298023
FS( 220 ),6507098.800000000745058,4183251.040000000502914,4617829.260000000707805,15308180.100000001490116
FS( 221 ),6726167.889999998733401,4233029.320000000298023,4711903.610000000335276,15671101.820000000298023
FS( 222 ),6699373.910000000149012,4199843.800000000745058,4678341.950000000186265,15577560.660000000149012
FS( 223 ),6667485.300000000745058,4269902.120000001043081,4714954.669999999925494,15652343.090000001713634
FS( 224 ),6648993.679999999701977,4234872.960000000894070,4652407.939999999478459,15536275.580000000074506
FS( 225 ),6715978.630000000819564,4221967.480000000447035,4664612.180000000633299,15602559.290000002831221
FS( 226 ),6729941.689999999478459,4399878.740000000223517,4783095.010000000707805,15912916.440000001341105
FS( 227 ),6858628.269999999552965,4527089.900000000372529,4852252.370000000111759,16237971.539999999105930
FS( 228 ),6880516.310000000521541,4600835.500000000000000,4790214.150000000372529,16271566.960000000894070
FS( 229 ),6834664.639999998733401,4543682.660000000149012,4768348.219999999739230,16146696.519999999552965
FS( 230 ),6598424.759999999776483,4410018.759999999776483,4721565.299999999813735,15730009.820000000298023
FS( 231 ),6503702.380000000819564,4515106.240000000223517,4731735.500000000000000,15750545.120000001043081
FS( 232 ),6656163.900000000372529,4586086.380000000819564,4761737.589999999850988,16003988.870000001043081
FS( 233 ),6583895.630000000819564,4674581.099999999627471,4745465.269999999552965,16003943.000000000000000
FS( 234 ),6548421.910000000149012,4730812.120000001043081,4772924.810000000521541,16052159.840000001713634
FS( 235 ),6580310.519999999552965,4677346.560000000521541,4801909.880000000819564,16059567.960000000894070
FS( 236 ),6689562.029999999329448,4811010.460000000894070,4909205.490000000223517,16409778.980000000447035
FS( 237 ),6494645.259999999776483,4749248.520000001415610,4920901.219999999739230,16164796.000000000000000
FS( 238 ),6390488.380000000819564,4773215.839999999850988,4800892.860000000335276,15964598.080000001937151
FS( 239 ),6231800.089999999850988,4780590.400000000372529,4772416.299999999813735,15784807.789999999105930
FS( 240 ),6226516.769999999552965,4690252.040000000968575,4789197.130000000819564,15705966.940000001341105
FS( 241 ),6235762.580000000074506,4716984.820000000298023,4810554.549999999813735,15763302.949999999254942
FS( 242 ),6260103.589999999850988,4685642.939999999478459,4723599.339999999850988,15669346.869999999180436
FS( 243 ),6370864.619999999180436,4752013.980000000447035,4735803.580000000074506,15858683.179999999701977
FS( 244 ),6360864.050000000745058,4752935.800000000745058,4702750.430000000633299,15816551.280000001192093
FS( 245 ),6030845.240000000223517,4685642.939999999478459,4565961.240000000223517,15282450.419999999925494
FS( 246 ),6057073.150000000372529,4550135.400000000372529,4433240.130000000819564,15040449.680000001564622
FS( 247 ),6207459.080000000074506,4837743.240000000223517,4768856.730000000447035,15814060.050000000745058
FS( 248 ),6059337.429999999701977,4718828.460000000894070,4549688.919999999925494,15327855.810000000521541
FS( 249 ),6038581.529999999329448,4572259.080000000074506,4545620.839999999850988,15156462.449999999254942
FS( 250 ),6186891.869999999180436,4800870.439999999478459,4641220.719999999739230,15628984.029999997466803
