代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12749531.560000000521541
真實報酬,2749531.560000000521541

夏普值報酬,0.266253156000000
夏普值風險,0.088318774759186
夏普值,3.014683533891606

二次趨勢線,58.492395067947022 x^2 + -2322.229831026262218 x + 10000000.000000000000000
二次平均預期報酬,12534.838516232281108
風險,150361.629190883832052
二次平均趨勢值,0.083364609599430
一次趨勢線,8798.593517661336591 x + 10000000.000000000000000
一次預期報酬,8798.593517661336591
一次風險,446725.988685132993851
一次趨勢值,0.019695727897001
找到最佳解世代,1946
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
AAPL[0](7),BA[2](1),JPM[13](2),PG[21](20),UNH[23](4),V[25](15),
FS( 10 ),1698636.719999999972060,1717730.030000000027940,1742385.360000000335276,1636338.959999999962747,1641779.680000000167638,1725521.199999999720603,10162395.949999999254942
FS( 11 ),1664544.719999999972060,1721405.590000000083819,1722342.000000000000000,1642125.039999999804422,1633441.480000000214204,1720151.199999999720603,10104014.030000001192093
FS( 12 ),1628634.479999999981374,1732432.270000000018626,1733477.200000000186265,1652699.599999999860302,1639598.920000000158325,1749578.799999999813735,10136425.269999999552965
FS( 13 ),1619997.839999999850988,1741752.440000000176951,1762707.100000000093132,1661678.000000000000000,1674106.240000000223517,1734542.799999999813735,10194788.420000001788139
FS( 14 ),1623331.280000000027940,1714054.469999999972060,1788318.060000000055879,1627161.039999999804422,1718106.280000000260770,1743134.800000000046566,10214109.930000001564622
FS( 15 ),1605754.959999999962747,1716286.060000000288710,1770501.740000000223517,1612197.039999999804422,1705663.120000000344589,1735402.000000000000000,10145808.920000001788139
FS( 16 ),1601360.880000000121072,1720355.430000000167638,1780801.800000000046566,1615189.840000000083819,1720671.880000000121072,1699315.599999999860302,10137699.429999999701977
FS( 17 ),1592269.679999999934807,1716417.330000000074506,1770501.740000000223517,1624367.759999999776483,1716182.080000000307336,1678479.999999999767169,10098222.589999999850988
FS( 18 ),1581208.719999999972060,1749103.560000000288710,1779688.280000000260770,1587257.039999999804422,1722082.960000000428408,1686857.199999999953434,10106201.759999999776483
FS( 19 ),1482266.159999999916181,1799511.240000000223517,1784699.120000000111759,1594040.719999999972060,1703610.640000000363216,1691797.599999999860302,10055929.480000000447035
FS( 20 ),1436961.679999999934807,1769581.680000000167638,1770501.740000000223517,1591446.959999999962747,1694246.200000000186265,1668599.199999999953434,9931341.460000000894070
FS( 21 ),1420446.000000000000000,1769581.680000000167638,1759366.540000000270084,1598629.679999999934807,1689243.280000000260770,1659147.999999999767169,9896419.179999999701977
FS( 22 ),1418930.800000000046566,1759211.349999999860302,1775790.960000000195578,1615588.879999999888241,1694631.040000000037253,1685353.599999999627471,9949510.629999998956919
FS( 23 ),1442264.880000000121072,1739258.310000000288710,1741550.220000000204891,1618182.639999999897555,1699249.120000000344589,1658073.999999999767169,9898583.169999999925494
FS( 24 ),1427264.399999999906868,1718255.109999999869615,1741550.220000000204891,1628158.639999999897555,1693733.080000000307336,1658073.999999999767169,9867039.449999999254942
FS( 25 ),1412870.000000000000000,1733876.240000000223517,1704804.060000000288710,1622173.039999999804422,1697324.920000000158325,1661725.599999999860302,9832777.860000001266599
FS( 26 ),1404990.959999999962747,1749366.099999999860302,1714825.740000000223517,1638733.199999999953434,1693861.360000000102445,1669458.399999999674037,9871239.759999999776483
FS( 27 ),1406051.600000000093132,1734138.780000000027940,1703968.920000000158325,1638533.679999999934807,1701943.000000000000000,1680198.399999999674037,9864838.379999998956919
FS( 28 ),1415597.360000000102445,1768531.520000000018626,1727074.460000000195578,1645716.400000000139698,1713488.200000000186265,1701248.799999999813735,9971660.740000000223517
FS( 29 ),1401809.040000000037253,1745953.080000000074506,1720671.720000000204891,1639132.239999999990687,1676543.560000000288710,1660436.799999999813735,9844550.440000001341105
FS( 30 ),1368929.200000000186265,1764593.419999999925494,1719558.200000000186265,1644319.759999999776483,1664356.960000000428408,1673109.999999999767169,9834871.540000000968575
FS( 31 ),1371656.560000000055879,1734401.320000000065193,1703690.540000000270084,1620776.400000000139698,1654864.240000000223517,1650341.199999999720603,9735734.259999999776483
FS( 32 ),1422567.280000000027940,1760917.859999999869615,1716496.020000000018626,1628757.199999999953434,1675902.160000000149012,1671176.799999999813735,9875821.320000000298023
FS( 33 ),1416658.000000000000000,1740177.200000000186265,1716496.020000000018626,1608605.679999999934807,1662047.920000000158325,1649482.000000000000000,9793470.820000000298023
FS( 34 ),1432870.640000000130385,1719567.810000000288710,1782750.460000000428408,1593242.639999999897555,1674234.520000000018626,1663229.199999999953434,9865899.269999999552965
FS( 35 ),1427415.920000000158325,1681368.240000000223517,1764655.760000000242144,1600026.319999999832362,1667692.240000000223517,1651415.199999999720603,9792577.679999999701977
FS( 36 ),1442870.959999999962747,1672310.610000000102445,1767996.320000000065193,1596634.479999999748543,1679750.560000000288710,1668384.399999999906868,9827951.330000000074506
FS( 37 ),1461204.880000000121072,1674804.739999999990687,1766604.420000000158325,1600225.840000000083819,1673080.000000000000000,1658503.599999999627471,9834427.480000000447035
FS( 38 ),1483478.320000000065193,1673754.580000000074506,1796669.460000000428408,1615588.879999999888241,1700916.760000000242144,1705115.199999999720603,9975527.200000001117587
FS( 39 ),1509539.760000000009313,1691607.300000000279397,1823950.699999999953434,1625764.400000000139698,1711564.000000000000000,1698241.599999999860302,10060671.760000001639128
FS( 40 ),1521509.839999999850988,1697514.450000000186265,1810310.080000000307336,1620576.879999999888241,1705919.680000000167638,1696952.799999999813735,10052787.730000000447035
FS( 41 ),1520600.719999999972060,1696333.020000000018626,1821445.280000000260770,1624766.800000000046566,1719004.240000000223517,1711129.599999999627471,10093283.660000000149012
FS( 42 ),1513176.239999999990687,1656033.130000000121072,1816991.199999999953434,1616985.520000000018626,1714771.000000000000000,1695663.999999999767169,10013625.089999999850988
FS( 43 ),1491963.439999999944121,1659446.150000000139698,1828683.160000000149012,1631949.520000000018626,1725803.080000000307336,1701678.399999999674037,10039527.750000000000000
FS( 44 ),1480750.959999999962747,1665222.030000000027940,1832023.720000000204891,1635141.840000000083819,1745173.360000000102445,1717358.799999999813735,10075674.710000000894070
FS( 45 ),1483781.360000000102445,1672179.340000000083819,1799453.260000000242144,1645516.879999999888241,1755435.760000000242144,1717143.999999999767169,10073514.600000001490116
FS( 46 ),1494539.280000000027940,1731513.380000000121072,1817269.580000000307336,1651502.479999999748543,1772240.440000000409782,1730032.000000000000000,10197101.160000000149012
FS( 47 ),1500600.080000000074506,1731907.190000000176951,1811145.220000000204891,1642524.079999999841675,1756718.560000000288710,1731320.799999999580905,10174219.929999999701977
FS( 48 ),1499236.399999999906868,1745953.080000000074506,1816434.440000000176951,1649108.239999999990687,1801103.440000000409782,1753874.800000000046566,10265714.400000002235174
FS( 49 ),1509994.320000000065193,1747265.780000000027940,1802515.440000000176951,1659483.280000000027940,1804695.280000000260770,1745497.599999999860302,10269455.700000001117587
FS( 50 ),1497569.679999999934807,1721536.859999999869615,1777182.860000000335276,1660081.840000000083819,1786222.960000000428408,1722299.199999999953434,10164897.400000000372529
FS( 51 ),1474993.200000000186265,1705521.919999999925494,1761315.200000000186265,1647512.079999999841675,1771470.760000000242144,1684064.800000000046566,10044881.960000000894070
FS( 52 ),1476811.439999999944121,1713135.580000000074506,1728187.980000000214204,1663074.639999999897555,1768648.600000000325963,1687716.399999999674037,10037578.640000000596046
FS( 53 ),1471962.800000000046566,1708672.400000000139698,1725125.800000000046566,1655093.840000000083819,1760823.520000000018626,1679124.399999999906868,10000806.759999999776483
FS( 54 ),1478175.119999999878928,1698302.070000000065193,1732085.300000000046566,1664271.759999999776483,1778782.720000000204891,1682990.799999999580905,10034611.769999999552965
FS( 55 ),1444537.679999999934807,1704209.219999999972060,1733755.580000000307336,1658685.199999999953434,1766339.560000000288710,1653777.999999999767169,9961309.240000000223517
FS( 56 ),1441052.719999999972060,1742671.330000000074506,1736261.000000000000000,1656889.520000000018626,1776986.800000000279397,1661296.000000000000000,10015161.370000001043081
FS( 57 ),1453325.839999999850988,1726525.120000000111759,1752407.040000000270084,1664271.759999999776483,1772753.560000000288710,1661081.199999999720603,10030368.519999999552965
FS( 58 ),1447871.119999999878928,1729806.870000000111759,1745725.920000000158325,1667464.079999999841675,1769033.440000000409782,1643897.199999999953434,10003802.630000000819564
FS( 59 ),1456204.719999999972060,1753172.930000000167638,1783028.840000000083819,1680233.359999999869615,1785581.560000000288710,1680413.199999999953434,10138638.609999999403954
FS( 60 ),1415294.320000000065193,1660890.120000000111759,1659149.740000000223517,1641326.959999999962747,1761208.360000000102445,1612106.799999999813735,9749980.300000000745058
FS( 61 ),1394687.600000000093132,1610744.980000000214204,1603752.120000000111759,1620776.400000000139698,1758899.320000000298023,1575376.000000000000000,9564240.420000001788139
FS( 62 ),1418173.200000000186265,1626366.110000000102445,1656922.700000000186265,1645317.359999999869615,1779424.120000000344589,1614469.599999999627471,9740677.089999999850988
FS( 63 ),1430446.320000000065193,1667059.810000000055879,1703690.540000000270084,1674247.759999999776483,1802642.800000000279397,1648407.999999999767169,9926499.230000000447035
FS( 64 ),1448628.719999999972060,1704865.570000000065193,1729858.260000000242144,1689411.280000000027940,1811365.840000000083819,1593204.399999999906868,9977338.070000000298023
FS( 65 ),1453022.800000000046566,1702502.709999999962747,1705360.820000000065193,1691606.000000000000000,1807004.320000000298023,1599863.199999999953434,9959363.849999999627471
FS( 66 ),1439386.000000000000000,1666797.270000000018626,1657757.840000000083819,1704774.319999999832362,1815983.920000000158325,1603944.399999999906868,9888647.750000000000000
FS( 67 ),1447568.080000000074506,1666666.000000000000000,1675574.160000000149012,1696594.000000000000000,1826502.880000000121072,1590841.599999999860302,9903750.720000000670552
FS( 68 ),1453780.399999999906868,1669422.670000000158325,1675574.160000000149012,1692603.599999999860302,1806234.640000000363216,1590841.599999999860302,9888461.070000000298023
FS( 69 ),1464992.880000000121072,1707753.510000000009313,1721228.480000000214204,1711358.479999999748543,1812263.800000000279397,1641534.399999999906868,10059135.550000000745058
FS( 70 ),1469538.479999999981374,1733351.159999999916181,1733477.200000000186265,1710959.439999999944121,1800077.200000000186265,1643682.399999999674037,10091089.880000000819564
FS( 71 ),1476205.360000000102445,1717204.950000000186265,1759366.540000000270084,1710959.439999999944121,1794176.320000000298023,1664303.199999999953434,10122219.810000000521541
FS( 72 ),1467871.760000000009313,1708016.050000000279397,1758253.020000000018626,1713752.719999999972060,1814957.680000000167638,1663873.599999999627471,10126728.830000000074506
FS( 73 ),1496963.600000000093132,1726918.930000000167638,1784977.500000000232831,1713353.679999999934807,1806747.760000000242144,1678479.999999999767169,10207445.470000000670552
FS( 74 ),1496812.080000000074506,1737945.609999999869615,1786647.780000000260770,1716146.959999999962747,1813033.480000000447035,1681916.799999999813735,10232506.710000000894070
FS( 75 ),1512721.679999999934807,1751597.690000000176951,1780523.420000000158325,1714550.800000000046566,1805593.240000000223517,1682131.599999999860302,10247122.429999999701977
FS( 76 ),1513327.760000000009313,1767743.900000000139698,1777739.620000000111759,1719339.280000000027940,1829196.760000000242144,1690938.399999999674037,10298289.720000000670552
FS( 77 ),1514691.439999999944121,1768531.520000000018626,1779688.280000000260770,1702380.079999999841675,1834712.800000000279397,1704685.599999999860302,10304693.720000000670552
FS( 78 ),1506660.880000000121072,1752910.390000000130385,1773007.160000000149012,1701182.959999999962747,1832788.600000000325963,1692442.000000000000000,10258995.990000000223517
FS( 79 ),1494993.839999999850988,1752122.770000000018626,1782750.460000000428408,1710360.879999999888241,1843307.560000000288710,1716499.599999999627471,10300039.109999999403954
FS( 80 ),1474993.200000000186265,1745165.459999999962747,1778018.000000000000000,1711957.039999999804422,1818164.680000000167638,1695663.999999999767169,10223966.380000000819564
FS( 81 ),1464841.360000000102445,1770238.030000000027940,1785255.880000000121072,1701382.479999999748543,1817779.840000000083819,1685997.999999999767169,10225499.589999999850988
FS( 82 ),1559995.920000000158325,1784809.000000000232831,1790823.480000000214204,1685221.359999999869615,1817523.280000000260770,1686857.199999999953434,10325234.239999998360872
FS( 83 ),1581057.200000000186265,1746084.349999999860302,1784420.739999999990687,1692204.560000000055879,1831377.520000000018626,1701033.999999999767169,10336182.369999999180436
FS( 84 ),1579087.439999999944121,1754616.900000000139698,1780801.800000000046566,1707767.120000000111759,1837021.840000000083819,1676546.799999999813735,10335845.899999998509884
FS( 85 ),1606967.119999999878928,1748709.750000000232831,1776069.340000000083819,1724127.759999999776483,1840998.520000000018626,1681057.599999999860302,10377934.089999999850988
FS( 86 ),1583178.479999999981374,1727575.280000000027940,1771893.640000000130385,1731110.959999999962747,1836637.000000000000000,1681487.199999999953434,10331886.559999998658895
FS( 87 ),1603027.600000000093132,1731119.570000000065193,1800010.020000000018626,1715348.879999999888241,1832916.880000000121072,1690723.599999999627471,10373150.549999998882413
FS( 88 ),1604239.760000000009313,1722455.750000000232831,1797226.220000000204891,1716945.039999999804422,1830736.120000000344589,1707263.199999999953434,10378870.089999999850988
FS( 89 ),1628634.479999999981374,1729281.790000000037253,1845664.340000000083819,1711558.000000000000000,1834327.960000000428408,1721439.999999999767169,10470910.570000000298023
FS( 90 ),1642119.760000000009313,1735320.209999999962747,1840096.739999999990687,1711158.959999999962747,1823295.880000000121072,1717358.799999999813735,10469354.350000001490116
FS( 91 ),1648786.640000000130385,1740964.820000000065193,1833694.000000000232831,1715747.919999999925494,1819319.200000000186265,1719721.599999999860302,10478238.179999999701977
FS( 92 ),1636513.520000000018626,1736501.640000000130385,1817269.580000000307336,1722132.560000000055879,1824065.560000000288710,1711559.199999999953434,10448046.060000000521541
FS( 93 ),1635452.880000000121072,1745953.080000000074506,1822280.419999999925494,1730512.400000000139698,1829709.880000000121072,1721010.399999999906868,10484923.060000000521541
FS( 94 ),1639240.880000000121072,1747265.780000000027940,1818383.100000000093132,1736697.520000000018626,1832916.880000000121072,1718862.399999999674037,10493370.560000000521541
FS( 95 ),1658938.479999999981374,1767743.900000000139698,1829518.300000000046566,1736298.479999999748543,1816753.600000000325963,1737979.599999999627471,10547236.359999999403954
FS( 96 ),1657423.280000000027940,1772207.080000000074506,1829239.919999999925494,1727519.599999999860302,1809826.480000000447035,1735831.599999999860302,10532051.959999999031425
FS( 97 ),1654998.959999999962747,1768531.520000000018626,1834250.760000000242144,1735101.359999999869615,1817908.120000000344589,1736476.000000000000000,10547270.720000000670552
FS( 98 ),1652877.679999999934807,1772207.080000000074506,1835921.040000000270084,1744678.319999999832362,1823809.000000000000000,1724232.399999999674037,10553729.519999999552965
FS( 99 ),1657120.239999999990687,1764855.959999999962747,1833415.620000000111759,1742084.560000000055879,1822141.360000000102445,1728528.399999999674037,10548150.140000000596046
FS( 100 ),1644241.040000000037253,1772075.810000000288710,1831745.340000000083819,1732906.639999999897555,1822782.760000000242144,1741201.599999999860302,10544957.189999999478459
FS( 101 ),1649392.719999999972060,1760917.859999999869615,1830910.199999999953434,1743880.239999999990687,1821756.520000000018626,1735616.799999999813735,10542478.339999999850988
FS( 102 ),1636968.080000000074506,1749759.909999999916181,1835921.040000000270084,1742084.560000000055879,1794304.600000000325963,1724662.000000000000000,10483704.189999999478459
FS( 103 ),1629998.159999999916181,1745690.540000000037253,1839261.600000000093132,1753856.239999999990687,1761336.640000000363216,1725306.399999999674037,10455453.580000001937151
FS( 104 ),1620452.399999999906868,1735845.290000000037253,1843437.300000000046566,1747471.599999999860302,1752613.600000000325963,1730676.399999999674037,10430500.589999999850988
FS( 105 ),1618634.159999999916181,1744640.380000000121072,1863759.040000000270084,1761837.039999999804422,1760951.800000000279397,1737120.399999999906868,10486946.820000000298023
FS( 106 ),1606209.520000000018626,1717204.950000000186265,1879069.940000000176951,1746673.520000000018626,1755820.600000000325963,1743564.399999999906868,10448546.929999999701977
FS( 107 ),1607724.719999999972060,1699352.229999999981374,1879069.940000000176951,1742084.560000000055879,1745301.640000000363216,1737764.800000000046566,10411301.890000002458692
FS( 108 ),1617270.479999999981374,1705259.380000000121072,1870996.919999999925494,1762036.560000000055879,1741324.960000000428408,1746356.799999999813735,10443249.100000001490116
FS( 109 ),1632422.479999999981374,1721799.400000000139698,1878791.560000000055879,1759841.840000000083819,1752485.320000000298023,1761392.799999999813735,10506737.399999998509884
FS( 110 ),1631967.920000000158325,1745821.810000000288710,1877399.660000000149012,1768620.719999999972060,1744275.400000000139698,1772777.199999999953434,10540866.709999999031425
FS( 111 ),1641968.239999999990687,1741227.359999999869615,1869605.020000000018626,1754853.840000000083819,1731703.960000000428408,1788027.999999999767169,10527390.419999999925494
FS( 112 ),1598936.560000000055879,1744640.380000000121072,1872110.440000000176951,1751462.000000000000000,1737476.560000000288710,1782228.399999999674037,10486858.340000001713634
FS( 113 ),1562723.280000000027940,1687275.390000000130385,1855407.640000000363216,1720735.919999999925494,1714129.600000000325963,1747001.199999999720603,10287277.029999999329448
FS( 114 ),1597724.399999999906868,1708147.320000000065193,1866821.220000000204891,1760839.439999999944121,1738631.080000000307336,1782228.399999999674037,10454395.859999999403954
FS( 115 ),1635755.920000000158325,1690294.599999999860302,1852067.080000000307336,1736897.039999999804422,1718362.840000000083819,1759029.999999999767169,10392411.480000000447035
FS( 116 ),1693636.560000000055879,1675986.170000000158325,1848448.140000000363216,1736098.959999999962747,1715027.560000000288710,1750437.999999999767169,10419639.390000000596046
FS( 117 ),1751214.159999999916181,1677298.870000000111759,1855129.260000000242144,1757048.560000000055879,1739657.320000000298023,1761607.599999999860302,10541959.770000001415610
FS( 118 ),1741365.360000000102445,1663252.980000000214204,1832302.100000000093132,1756849.039999999804422,1776345.400000000139698,1762896.399999999674037,10533015.280000001192093
FS( 119 ),1721061.679999999934807,1673492.040000000037253,1842602.160000000149012,1763233.679999999934807,1766211.280000000260770,1772347.599999999860302,10538952.439999999478459
FS( 120 ),1720910.159999999916181,1677561.410000000149012,1850118.419999999925494,1767423.599999999860302,1763517.400000000139698,1771703.199999999953434,10551238.189999999478459
FS( 121 ),1720607.119999999878928,1713923.200000000186265,1860696.860000000335276,1751861.039999999804422,1794817.720000000204891,1787598.399999999674037,10629508.340000001713634
FS( 122 ),1736819.760000000009313,1731119.570000000065193,1876007.760000000242144,1775603.919999999925494,1809313.360000000102445,1790605.599999999860302,10719473.969999998807907
FS( 123 ),1707879.439999999944121,1729938.140000000130385,1872110.440000000176951,1751062.959999999962747,1802514.520000000018626,1772992.000000000000000,10636501.500000000000000
FS( 124 ),1710455.280000000027940,1714054.469999999972060,1831188.580000000307336,1752858.639999999897555,1792380.400000000139698,1757311.599999999860302,10558252.969999998807907
FS( 125 ),1713637.200000000186265,1723899.719999999972060,1847334.620000000111759,1763034.159999999916181,1806106.360000000102445,1764829.599999999627471,10618845.660000000149012
FS( 126 ),1726667.920000000158325,1735845.290000000037253,1857077.919999999925494,1784981.359999999869615,1801231.720000000204891,1782228.399999999674037,10688036.610000001266599
FS( 127 ),1699848.880000000121072,1720092.890000000130385,1827569.640000000363216,1760440.400000000139698,1774421.200000000186265,1759674.399999999906868,10542051.410000002011657
FS( 128 ),1713031.119999999878928,1729413.060000000288710,1853737.360000000335276,1790767.439999999944121,1795972.240000000223517,1776428.799999999813735,10659354.019999999552965
FS( 129 ),1705000.560000000055879,1737814.340000000083819,1851510.320000000298023,1769019.759999999776483,1776601.960000000428408,1779865.599999999860302,10619816.540000000968575
FS( 130 ),1712273.520000000018626,1736107.830000000074506,1854015.739999999990687,1762834.639999999897555,1772368.720000000204891,1777073.199999999953434,10614677.649999998509884
FS( 131 ),1713031.119999999878928,1767743.900000000139698,1884359.160000000149012,1772810.639999999897555,1765185.040000000037253,1790390.799999999580905,10693524.659999998286366
FS( 132 ),1725758.800000000046566,1764593.419999999925494,1889370.000000000232831,1780192.879999999888241,1750689.400000000139698,1790605.599999999860302,10701214.099999999627471
FS( 133 ),1728334.640000000130385,1757111.030000000027940,1896051.120000000111759,1795755.439999999944121,1753126.720000000204891,1780295.199999999720603,10710678.150000000372529
FS( 134 ),1758487.119999999878928,1783233.760000000009313,1910805.260000000242144,1777000.560000000055879,1771342.480000000447035,1785450.399999999906868,10786323.580000001937151
FS( 135 ),1762275.119999999878928,1755667.060000000288710,1901618.720000000204891,1766625.520000000018626,1728625.240000000223517,1762252.000000000000000,10677067.660000000149012
FS( 136 ),1778033.200000000186265,1748053.400000000139698,1896607.880000000121072,1767224.079999999841675,1733115.040000000037253,1766762.799999999813735,10689800.400000002235174
FS( 137 ),1772578.479999999981374,1750941.340000000083819,1885751.060000000055879,1760639.919999999925494,1721441.560000000288710,1758600.399999999906868,10649956.760000001639128
FS( 138 ),1782427.280000000027940,1752516.580000000074506,1879626.699999999953434,1764430.800000000046566,1717978.000000000000000,1771058.799999999813735,10668042.160000000149012
FS( 139 ),1781215.119999999878928,1759080.080000000074506,1869883.400000000139698,1752459.599999999860302,1720671.880000000121072,1764614.800000000046566,10647928.880000000819564
FS( 140 ),1780002.959999999962747,1773519.780000000027940,1884637.540000000270084,1744877.840000000083819,1839459.160000000149012,1752371.199999999720603,10774872.480000000447035
FS( 141 ),1774699.760000000009313,1787696.940000000176951,1902732.239999999990687,1706769.520000000018626,1852030.600000000325963,1778791.599999999860302,10802724.660000000149012
FS( 142 ),1773790.640000000130385,1783233.760000000009313,1900226.820000000298023,1694598.800000000046566,1861010.200000000186265,1772132.799999999813735,10784997.019999999552965
FS( 143 ),1766820.719999999972060,1780477.090000000083819,1906629.560000000055879,1682627.599999999860302,1864858.600000000325963,1768910.799999999580905,10770328.369999999180436
FS( 144 ),1782730.320000000065193,1804368.229999999981374,1917208.000000000232831,1678038.639999999897555,1856135.560000000288710,1786524.399999999906868,10825009.150000000372529
FS( 145 ),1791821.520000000018626,1824977.620000000111759,1915259.340000000083819,1735300.879999999888241,1844462.080000000307336,1762037.199999999953434,10873862.640000000596046
FS( 146 ),1751517.200000000186265,1910565.659999999916181,1924445.880000000121072,1743880.239999999990687,1824578.680000000167638,1756022.799999999813735,10911014.460000000894070
FS( 147 ),1734698.479999999981374,1881292.450000000186265,1927229.680000000400469,1727519.599999999860302,1820858.560000000288710,1759674.399999999906868,10851277.169999999925494
FS( 148 ),1723182.959999999962747,1877354.349999999860302,1923889.120000000111759,1732707.120000000111759,1800462.040000000037253,1766118.399999999674037,10823717.990000000223517
FS( 149 ),1720455.600000000093132,1869740.690000000176951,1928064.820000000298023,1731909.039999999804422,1813033.480000000447035,1772347.599999999860302,10835555.230000000447035
FS( 150 ),1689394.000000000000000,1869478.150000000139698,1919991.800000000046566,1732906.639999999897555,1788660.280000000260770,1753230.399999999906868,10753665.270000001415610
FS( 151 ),1690909.200000000186265,1847687.330000000074506,1911918.780000000260770,1730711.919999999925494,1782887.680000000167638,1730891.199999999720603,10695010.109999999403954
FS( 152 ),1664241.679999999934807,1838104.620000000111759,1903567.380000000121072,1727918.639999999897555,1768135.480000000447035,1732394.800000000046566,10634366.600000001490116
FS( 153 ),1649241.200000000186265,1831803.659999999916181,1886307.820000000298023,1697591.599999999860302,1766596.120000000344589,1726165.599999999860302,10557710.000000000000000
FS( 154 ),1673029.839999999850988,1877616.890000000130385,1945324.380000000121072,1727120.560000000055879,1820730.280000000260770,1772347.599999999860302,10816173.549999998882413
FS( 155 ),1682878.640000000130385,1866721.479999999981374,1949500.080000000307336,1745077.359999999869615,1833173.440000000409782,1780295.199999999720603,10857650.199999999254942
FS( 156 ),1680151.280000000027940,1904658.510000000009313,2039138.440000000176951,1714550.800000000046566,1820345.440000000409782,1788027.999999999767169,10946876.470000000670552
FS( 157 ),1633331.600000000093132,1938788.709999999962747,2133787.640000000596046,1655293.359999999869615,1874607.880000000121072,1758600.399999999906868,10994413.590000001713634
FS( 158 ),1643028.880000000121072,1949684.120000000111759,2134901.160000000149012,1667663.599999999860302,1878328.000000000000000,1758815.199999999720603,11032424.959999999031425
FS( 159 ),1601815.439999999944121,1968980.810000000288710,2213404.320000000298023,1656091.439999999944121,1953500.080000000307336,1683635.199999999720603,11077431.289999999105930
FS( 160 ),1623028.239999999990687,1944302.050000000279397,2209228.620000000111759,1668461.679999999934807,1952858.680000000167638,1687716.399999999674037,11085599.669999999925494
FS( 161 ),1666666.000000000000000,1922379.959999999962747,2154666.140000000596046,1659882.319999999832362,1943494.240000000223517,1720151.199999999720603,11067243.859999999403954
FS( 162 ),1666059.920000000158325,1907808.990000000223517,2171925.700000000186265,1657488.079999999841675,1934129.800000000279397,1741416.399999999674037,11078832.890000000596046
FS( 163 ),1667726.640000000130385,1921198.530000000027940,2163295.919999999925494,1636139.439999999944121,1917196.840000000083819,1736046.399999999674037,11041607.769999999552965
FS( 164 ),1693030.479999999981374,1929993.620000000111759,2172760.839999999850988,1648908.719999999972060,1929511.720000000204891,1754733.999999999767169,11128943.379999998956919
FS( 165 ),1694091.119999999878928,1962811.120000000111759,2186123.080000000074506,1651302.959999999962747,1953243.520000000018626,1716929.199999999953434,11164505.000000000000000
FS( 166 ),1685454.479999999981374,1965699.060000000288710,2195309.620000000111759,1649706.800000000046566,1969663.360000000102445,1709196.399999999674037,11175033.720000000670552
