訓練日期,20150318 - 20150618
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11224190.830000000074506
真實報酬,1224190.830000000074506

夏普值報酬,0.113719083000000
夏普值風險,0.031512032691687
夏普值,3.608751111444439

預期報酬,17152.432967383752839
風險,73899.859610938467085
趨勢值,0.232103728717299
找到最佳解世代,1921
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
DD[7](2),GS[8](1),JPM[13](5),NKE[19](4),
20150407,2601262.359999999869615,2523874.760000000242144,2469161.479999999981374,2579759.679999999701977,10174058.279999999329448
20150408,2592980.679999999701977,2526104.820000000298023,2477276.879999999888241,2611352.799999999813735,10207715.179999999701977
20150409,2612932.000000000000000,2556669.760000000242144,2494319.219999999739230,2608245.279999999795109,10272166.259999999776483
20150410,2594110.000000000000000,2566508.260000000242144,2503651.929999999701977,2589082.239999999757856,10253352.429999999701977
20150413,2587710.519999999552965,2565721.180000000167638,2518665.419999999925494,2570955.039999999571592,10243052.159999998286366
20150414,2617825.720000000204891,2593793.700000000186265,2558025.109999999869615,2577688.000000000000000,10347332.529999999329448
20150415,2686337.799999999813735,2638132.540000000037253,2605500.199999999720603,2585456.799999999813735,10515427.339999999850988
20150416,2667139.359999999869615,2626457.520000000484288,2589269.399999999906868,2587010.560000000055879,10469876.840000001713634
20150417,2662245.640000000130385,2588940.040000000037253,2549909.709999999962747,2552309.919999999925494,10353405.309999998658895
20150420,2685208.479999999981374,2598778.540000000037253,2566140.509999999776483,2589600.159999999683350,10439727.689999999478459
20150421,2661869.199999999720603,2582249.860000000335276,2528403.899999999906868,2597368.959999999497086,10369891.919999999925494
20150422,2681444.080000000074506,2601664.500000000000000,2553967.409999999683350,2593743.519999999552965,10430819.509999999776483
20150423,2734145.679999999701977,2614651.320000000298023,2548286.629999999888241,2618603.679999999701977,10515687.309999998658895
20150424,2740545.159999999683350,2597335.560000000521541,2540171.229999999981374,2614460.319999999366701,10492512.269999999552965
20150427,2759367.159999999683350,2578052.100000000558794,2529621.209999999962747,2613942.399999999441206,10480982.869999999180436
20150428,2778189.159999999683350,2590776.560000000521541,2546663.549999999813735,2585974.719999999739230,10501603.990000000223517
20150429,2766895.959999999962747,2604812.820000000298023,2580748.229999999981374,2594261.439999999944121,10546718.449999999254942
20150430,2734145.679999999701977,2576740.300000000279397,2566952.049999999813735,2559560.799999999813735,10437398.830000000074506
20150501,2771036.799999999813735,2591301.280000000260770,2581154.000000000000000,2609799.039999999571592,10553291.119999999180436
20150504,2768778.159999999683350,2614520.140000000596046,2626194.469999999739230,2611352.799999999813735,10620845.570000000298023
20150505,2752967.679999999701977,2588152.959999999962747,2613209.830000000074506,2600476.479999999515712,10554806.949999999254942
20150506,2727746.199999999720603,2574510.240000000223517,2593732.869999999646097,2595297.279999999795109,10491286.589999997988343
20150507,2714947.240000000223517,2589464.760000000242144,2617267.529999999795109,2627408.319999999366701,10549087.849999997764826
20150508,2779694.919999999925494,2630261.740000000223517,2657438.759999999776483,2652786.399999999441206,10720181.820000000298023
20150511,2782330.000000000000000,2646396.879999999888241,2655815.679999999701977,2662108.959999999497086,10746651.519999999552965
20150512,2731510.600000000093132,2630655.280000000260770,2652163.750000000000000,2651232.639999999664724,10665562.269999999552965
20150513,2719464.519999999552965,2642461.480000000447035,2658656.069999999832362,2645535.519999999552965,10666117.589999999850988
20150514,2746944.640000000130385,2658071.900000000372529,2680161.879999999888241,2678682.399999999441206,10763860.820000000298023
20150515,2761249.359999999869615,2662663.200000000186265,2673263.789999999571592,2718562.239999999757856,10815738.589999999850988
20150518,2734145.679999999701977,2684832.620000000111759,2695175.369999999646097,2712865.119999999646097,10827018.789999999105930
20150519,2719464.519999999552965,2694539.940000000409782,2719115.799999999813735,2709757.599999999627471,10842877.859999999403954
20150520,2736404.319999999832362,2690342.180000000167638,2697609.989999999757856,2709239.679999999701977,10833596.169999999925494
20150521,2754473.439999999944121,2688636.839999999850988,2704508.080000000074506,2703542.560000000055879,10851160.919999999925494
20150522,2749579.720000000204891,2726023.140000000596046,2697204.219999999739230,2704578.399999999441206,10877385.480000000447035
20150526,2713817.919999999925494,2707395.580000000074506,2667177.239999999757856,2678164.479999999515712,10766555.219999998807907
20150527,2744686.000000000000000,2742551.820000000298023,2697204.219999999739230,2663144.799999999813735,10847586.839999999850988
20150528,2764637.319999999832362,2734943.379999999888241,2686248.429999999701977,2649160.959999999497086,10834990.089999997988343
20150529,2791364.560000000055879,2704903.160000000149012,2669206.089999999850988,2633105.439999999944121,10798579.250000000000000
20150601,2801528.439999999944121,2726154.320000000298023,2681379.189999999944121,2635177.119999999646097,10844239.069999998435378
20150602,2822609.080000000074506,2708051.480000000447035,2678944.569999999832362,2644499.679999999701977,10854104.810000000521541
20150603,2841807.519999999552965,2732450.959999999962747,2706536.929999999701977,2654858.079999999608845,10935653.489999998360872
20150604,2844066.159999999683350,2740059.400000000372529,2691523.439999999944121,2640356.319999999366701,10916005.320000000298023
20150605,2791364.560000000055879,2760785.839999999850988,2735752.369999999646097,2642428.000000000000000,10930330.769999999552965
20150608,2755602.760000000242144,2752127.959999999962747,2714246.559999999590218,2626890.399999999441206,10848867.679999999701977
20150609,2762002.240000000223517,2742027.100000000558794,2726013.890000000130385,2624818.719999999739230,10854861.949999999254942
20150610,2787223.720000000204891,2795942.080000000074506,2769837.049999999813735,2676092.799999999813735,11029095.650000000372529
20150611,2796258.279999999795109,2806567.660000000149012,2780387.069999999832362,2690076.639999999664724,11073289.649999998509884
20150612,2778942.039999999571592,2795023.820000000298023,2769431.279999999795109,2687487.039999999571592,11030884.179999997839332
20150615,2780071.359999999869615,2777970.419999999925494,2758881.259999999776483,2676610.719999999739230,10993533.759999997913837
20150616,2819221.120000000111759,2801582.820000000298023,2774300.520000000018626,2707685.919999999925494,11102790.380000000819564
20150617,2860253.080000000074506,2793318.480000000447035,2764967.809999999590218,2712865.119999999646097,11131404.490000000223517
20150618,2873052.039999999571592,2815225.540000000037253,2790937.089999999850988,2744976.159999999683350,11224190.830000000074506
