訓練日期,20180530 - 20180829
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11382493.149999998509884
真實報酬,1382493.149999998509884

夏普值報酬,0.129549315000000
夏普值風險,0.037584197448433
夏普值,3.446909174467466

預期報酬,21320.003905514327926
風險,74041.439065415892401
趨勢值,0.287946914249979
找到最佳解世代,2110
找到最佳解實驗#,1
找到最佳解次數,41

stock[index](rank)
投資組合檔數,5
DIS[6](6),MSFT[18](11),PG[21](1),VZ[26](3),WMT[28](9),
20180706,2102115.580000000074506,2064278.899999999906868,2142062.080000000074506,2136097.039999999571592,2051211.810000000055879,10495765.410000000149012
20180709,2126992.459999999962747,2078359.039999999804422,2102900.479999999981374,2105392.220000000204891,2085676.630000000121072,10499320.830000001937151
20180710,2127193.080000000074506,2083868.660000000149012,2155836.159999999683350,2130288.020000000018626,2116743.509999999776483,10613929.429999999701977
20180711,2167517.700000000186265,2081011.820000000065193,2138010.879999999888241,2130288.020000000018626,2100239.229999999515712,10617067.649999998509884
20180712,2171730.719999999739230,2126109.080000000074506,2130718.720000000204891,2126138.720000000204891,2099996.519999999552965,10654693.759999999776483
20180713,2206839.219999999739230,2151412.520000000018626,2142062.080000000074506,2133192.529999999795109,2128636.299999999813735,10762142.649999998509884
20180716,2210851.620000000111759,2140801.399999999906868,2148003.840000000316650,2140661.270000000018626,2127180.040000000037253,10767498.169999998062849
20180717,2212857.820000000298023,2162023.640000000130385,2161507.840000000316650,2134022.389999999664724,2140529.089999999850988,10810940.780000001192093
20180718,2220682.000000000000000,2145086.660000000149012,2153135.359999999869615,2121989.419999999925494,2137616.569999999366701,10778510.009999997913837
20180719,2249571.280000000260770,2130394.339999999850988,2126397.440000000409782,2105807.149999999906868,2129121.719999999739230,10741291.929999999701977
20180720,2236530.980000000447035,2168553.560000000055879,2125047.040000000502914,2100413.059999999590218,2137373.860000000335276,10767918.500000000000000
20180723,2228706.799999999813735,2203243.759999999776483,2120455.680000000167638,2105807.149999999906868,2126937.330000000074506,10785150.720000000670552
20180724,2220882.620000000111759,2196917.899999999906868,2133419.520000000018626,2137341.829999999608845,2134946.759999999776483,10823508.629999998956919
20180725,2230512.379999999888241,2261604.919999999925494,2146383.359999999869615,2112446.029999999795109,2133490.500000000000000,10884437.189999999478459
20180726,2277256.839999999850988,2236913.660000000149012,2163128.320000000298023,2123649.139999999664724,2141499.929999999701977,10942447.890000000596046
20180727,2259401.660000000149012,2197326.020000000018626,2176362.240000000223517,2158088.329999999608845,2139072.830000000074506,10930251.080000000074506
20180730,2259602.280000000260770,2150188.160000000149012,2166099.200000000186265,2178004.970000000204891,2157276.080000000074506,10911170.690000001341105
20180731,2278259.940000000409782,2164676.419999999925494,2184464.640000000130385,2142735.919999999925494,2165770.929999999701977,10935907.849999999627471
20180801,2266423.360000000335276,2168757.620000000111759,2178252.800000000279397,2146470.289999999571592,2141742.639999999664724,10901646.710000000894070
20180802,2262009.719999999739230,2195081.359999999869615,2214713.600000000093132,2156843.539999999571592,2154363.559999999590218,10983011.779999997466803
20180803,2288892.799999999813735,2204672.180000000167638,2223626.240000000223517,2168876.510000000242144,2174751.200000000186265,11060818.929999999701977
20180806,2326007.500000000000000,2206508.719999999739230,2228757.759999999776483,2177590.039999999571592,2176450.169999999925494,11115314.189999999478459
20180807,2338445.940000000409782,2221813.219999999739230,2231998.720000000204891,2176760.180000000167638,2178877.269999999552965,11147895.330000000074506
20180808,2286685.980000000447035,2234260.879999999888241,2224166.399999999906868,2186718.500000000000000,2185673.149999999441206,11117504.910000000149012
20180809,2290297.139999999664724,2237933.959999999962747,2198508.800000000279397,2199581.329999999608845,2160431.309999999590218,11086752.539999999105930
20180810,2260605.379999999888241,2224261.939999999944121,2199319.040000000502914,2177175.109999999869615,2188828.379999999888241,11050189.850000001490116
20180813,2249370.660000000149012,2208141.199999999720603,2201749.759999999776483,2166801.859999999869615,2175722.040000000037253,11001785.519999999552965
20180814,2262009.719999999739230,2235689.299999999813735,2196078.080000000074506,2193772.309999999590218,2205089.950000000186265,11092639.359999999403954
20180815,2264015.919999999925494,2196917.899999999906868,2222816.000000000000000,2209124.720000000204891,2189799.219999999739230,11082673.760000001639128
20180816,2256592.980000000447035,2196509.779999999795109,2260357.120000000111759,2251862.510000000242144,2394161.040000000037253,11359483.429999999701977
20180817,2256592.980000000447035,2195285.419999999925494,2260357.120000000111759,2273438.869999999646097,2374986.950000000186265,11360661.339999999850988
20180820,2246762.599999999627471,2180797.160000000149012,2259006.720000000204891,2267629.849999999627471,2330085.599999999627471,11284281.929999999701977
20180821,2254787.400000000372529,2162635.819999999832362,2266028.800000000279397,2278418.029999999795109,2332027.280000000260770,11293897.330000001937151
20180822,2245759.500000000000000,2184674.299999999813735,2252254.720000000204891,2246468.419999999925494,2322076.169999999925494,11251233.109999999403954
20180823,2246963.219999999739230,2194877.299999999813735,2248203.520000000018626,2252277.439999999944121,2310183.379999999888241,11252504.859999999403954
20180824,2245558.879999999888241,2212018.339999999850988,2251444.479999999981374,2273023.939999999944121,2304601.049999999813735,11286646.689999997615814
20180827,2253583.679999999701977,2236505.540000000037253,2253605.120000000111759,2275928.450000000186265,2294649.940000000409782,11314272.730000000447035
20180828,2258599.179999999701977,2249973.500000000000000,2254685.440000000409782,2267629.849999999627471,2331784.569999999366701,11362672.539999999105930
20180829,2255991.120000000111759,2285888.060000000055879,2254955.520000000018626,2264310.410000000149012,2321348.040000000037253,11382493.149999998509884
