訓練日期,20170720 - 20171019
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10927819.089999999850988
真實報酬,927819.089999999850988

夏普值報酬,0.084081909000000
夏普值風險,0.025695217968538
夏普值,3.272278487886481

預期報酬,14056.470255057924078
風險,54794.212994403780613
趨勢值,0.256532022031114
找到最佳解世代,2630
找到最佳解實驗#,2
找到最佳解次數,35

stock[index](rank)
投資組合檔數,9
AAPL[0](17),CAT[3](1),DD[7](21),HD[9](18),MCD[15](9),PFE[20](11),UNH[23](8),V[25](2),VZ[26](7),
20170831,1206604.859999999869615,1210422.280000000027940,1109124.719999999972060,1086253.790000000037253,1155008.600000000093132,1121025.700000000186265,1168128.120000000111759,1170709.429999999934807,1226696.439999999944121,10453974.939999999478459
20170901,1206972.709999999962747,1218560.860000000102445,1117887.719999999972060,1092848.559999999823049,1153853.400000000139698,1122347.660000000149012,1173119.320000000065193,1175006.850000000093132,1225417.839999999850988,10486015.919999999925494
20170905,1192479.419999999925494,1218766.899999999906868,1081316.800000000046566,1108429.609999999869615,1148727.200000000186265,1117059.820000000065193,1170535.640000000130385,1164941.840000000083819,1211097.519999999785796,10413355.750000000000000
20170906,1191228.729999999748543,1205168.260000000009313,1079447.359999999869615,1134736.219999999972060,1142373.600000000093132,1123339.130000000121072,1165074.679999999934807,1166864.370000000111759,1199590.119999999878928,10407823.469999998807907
20170907,1186446.679999999701977,1213306.840000000083819,1076292.679999999934807,1144664.609999999869615,1154503.200000000186265,1123339.130000000121072,1163841.560000000055879,1182470.790000000037253,1181434.000000000000000,10426300.489999998360872
20170908,1167097.769999999785796,1213821.939999999944121,1079096.839999999850988,1157201.919999999925494,1153131.400000000139698,1126974.520000000251457,1161375.320000000065193,1181000.620000000111759,1179132.519999999785796,10418833.850000001490116
20170911,1188212.359999999869615,1224639.040000000037253,1112396.239999999990687,1147853.290000000037253,1166271.800000000279397,1134245.300000000046566,1172121.080000000074506,1200452.100000000093132,1183991.199999999720603,10530183.410000000149012
20170912,1183503.879999999888241,1245964.179999999934807,1140204.159999999916181,1159013.669999999925494,1128727.800000000279397,1168946.750000000000000,1159731.160000000149012,1201130.639999999897555,1196521.479999999748543,10583744.720000000670552
20170913,1174601.909999999916181,1232468.560000000055879,1156444.919999999925494,1159810.840000000083819,1133565.200000000186265,1158701.560000000288710,1164781.080000000074506,1196833.219999999972060,1208284.599999999860302,10585492.890000000596046
20170914,1164522.819999999832362,1241225.260000000009313,1165091.079999999841675,1155172.759999999776483,1133565.200000000186265,1180844.389999999897555,1161257.880000000121072,1199660.469999999972060,1206494.559999999823049,10607835.419999999925494
20170915,1176294.019999999785796,1250394.040000000037253,1162520.599999999860302,1148070.699999999953434,1132987.600000000093132,1168616.260000000009313,1163900.280000000027940,1190839.449999999953434,1223883.519999999785796,10617507.469999998807907
20170918,1167392.049999999813735,1275736.959999999962747,1161001.679999999934807,1143794.969999999972060,1131254.800000000279397,1174895.570000000065193,1163959.000000000000000,1185524.219999999972060,1229765.079999999841675,10633325.330000000074506
20170919,1167833.469999999739230,1285111.780000000027940,1165675.280000000027940,1142707.919999999925494,1136669.800000000279397,1171590.670000000158325,1143172.120000000111759,1192083.439999999944121,1261730.079999999841675,10666575.560000000521541
20170920,1148263.849999999860302,1286245.000000000000000,1171634.119999999878928,1150099.859999999869615,1154358.800000000046566,1189437.130000000121072,1149631.320000000065193,1192083.439999999944121,1265310.159999999683350,10707064.679999999701977
20170921,1128547.089999999850988,1285626.880000000121072,1170115.199999999953434,1153795.829999999841675,1148221.800000000279397,1188776.150000000139698,1146460.440000000176951,1190952.540000000037253,1251501.279999999795109,10663998.210000000894070
20170922,1117511.589999999850988,1281918.160000000149012,1164156.359999999869615,1159448.489999999990687,1147355.400000000139698,1188445.660000000149012,1133659.479999999981374,1193779.790000000037253,1276050.399999999906868,10662326.330000000074506
20170925,1107653.209999999962747,1280784.939999999944121,1170465.719999999972060,1167637.599999999860302,1128222.400000000139698,1173573.610000000102445,1126143.320000000065193,1165054.929999999934807,1276050.399999999906868,10595587.130000000819564
20170926,1126707.839999999850988,1282742.320000000065193,1153991.280000000027940,1168797.119999999878928,1107212.200000000186265,1166633.320000000065193,1131721.719999999972060,1164150.209999999962747,1266077.319999999832362,10568034.330000001937151
20170927,1134726.969999999739230,1282845.340000000083819,1144877.760000000009313,1166333.139999999897555,1112266.200000000186265,1171590.670000000158325,1142232.600000000093132,1174893.760000000009313,1266077.319999999832362,10595844.759999999776483
20170928,1127737.819999999832362,1290159.760000000009313,1149200.839999999850988,1176768.820000000065193,1137103.000000000232831,1176548.020000000251457,1151686.520000000018626,1182696.969999999972060,1263520.119999999878928,10655422.870000001043081
20170929,1133917.699999999953434,1284802.719999999972060,1152005.000000000000000,1185465.219999999972060,1131254.800000000279397,1179852.920000000158325,1150218.520000000018626,1182696.969999999972060,1265565.879999999888241,10665780.730000000447035
20171002,1131637.029999999795109,1284905.739999999990687,1171750.959999999962747,1188798.840000000083819,1133276.400000000139698,1192081.050000000046566,1159555.000000000000000,1192422.709999999962747,1262241.519999999785796,10716670.250000000000000
20171003,1136566.219999999739230,1293044.320000000065193,1170816.239999999990687,1197132.889999999897555,1132554.400000000372529,1194394.480000000214204,1166542.679999999934807,1194119.060000000055879,1274771.799999999813735,10759943.089999999850988
20171004,1129209.219999999739230,1305715.780000000027940,1172335.159999999916181,1198002.529999999795109,1135081.400000000139698,1188445.660000000149012,1177405.880000000121072,1190952.540000000037253,1276050.399999999906868,10773199.570000000298023
20171005,1143261.089999999850988,1302213.100000000093132,1180981.319999999832362,1204017.540000000037253,1146561.200000000186265,1189767.620000000111759,1162256.120000000111759,1201469.909999999916181,1272726.040000000037253,10803254.940000001341105
20171006,1142598.959999999962747,1307673.160000000149012,1185070.719999999972060,1202060.849999999860302,1152337.200000000186265,1191420.070000000065193,1163195.640000000130385,1207011.320000000065193,1248176.919999999925494,10799545.839999999850988
20171009,1146571.739999999990687,1307158.060000000055879,1192782.159999999916181,1201046.270000000018626,1156091.600000000325963,1194394.480000000214204,1152860.920000000158325,1210177.840000000083819,1254314.199999999720603,10815398.270000001415610
20171010,1147013.159999999916181,1320653.679999999934807,1190912.719999999972060,1197060.419999999925494,1159412.800000000279397,1202987.219999999972060,1143348.280000000027940,1213570.540000000037253,1256615.679999999934807,10831575.500000000000000
20171011,1151795.209999999962747,1324877.500000000000000,1191730.599999999860302,1197712.649999999906868,1177968.200000000186265,1204639.670000000158325,1146754.040000000037253,1226349.709999999962747,1249455.519999999785796,10871284.099999997764826
20171012,1147748.859999999869615,1339197.280000000027940,1188108.560000000055879,1192929.629999999888241,1183455.400000000139698,1201334.770000000251457,1133013.560000000055879,1222617.739999999990687,1236413.799999999813735,10844820.600000001490116
20171013,1155032.290000000037253,1346614.720000000204891,1188575.919999999925494,1192059.989999999990687,1193996.600000000325963,1201004.280000000260770,1130664.760000000009313,1228837.689999999944121,1223883.519999999785796,10860670.769999999552965
20171016,1176294.019999999785796,1354444.239999999990687,1180280.280000000027940,1190248.239999999990687,1191397.400000000139698,1189106.639999999897555,1134657.719999999972060,1224766.449999999953434,1229765.079999999841675,10870961.070000000298023
20171017,1180634.649999999906868,1344863.379999999888241,1179462.399999999906868,1183943.349999999860302,1194213.200000000186265,1196377.420000000158325,1197429.399999999906868,1216171.610000000102445,1237692.399999999906868,10930788.809999998658895
20171018,1175411.179999999701977,1352589.879999999888241,1177826.639999999897555,1184668.049999999813735,1196884.600000000325963,1184149.290000000037253,1205297.880000000121072,1219111.949999999953434,1244085.399999999906868,10940025.869999999180436
20171019,1147601.719999999739230,1355268.400000000139698,1179579.239999999990687,1183146.179999999934807,1202155.200000000186265,1197699.380000000121072,1193671.320000000065193,1210290.929999999934807,1258405.719999999972060,10927819.089999999850988
