代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11380212.659999998286366
真實報酬,1380212.659999998286366

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,11757.920860930977142
風險,229040.012445862230379
起點值,0.051335662862445
找到最佳解世代,2420
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
CSCO[4](3),MCD[15](1),PG[21](5),
FS( 21 ),3314381.699999999720603,3503102.600000000093132,3423407.919999999925494,10240893.219999998807907
FS( 22 ),3291219.000000000000000,3502716.759999999776483,3445655.339999999850988,10239592.099999999627471
FS( 23 ),3299641.799999999813735,3488440.679999999701977,3455422.500000000000000,10243505.980000000447035
FS( 24 ),3331227.299999999813735,3475322.119999999646097,3432632.459999999962747,10239182.879999998956919
FS( 25 ),3244893.600000000093132,3437509.799999999813735,3394106.439999999478459,10076510.839999999850988
FS( 26 ),3217519.500000000000000,3427092.119999999646097,3384881.899999999906868,10029494.519999999552965
FS( 27 ),3343861.500000000000000,3445226.600000000093132,3403330.979999999981374,10192420.080000000074506
FS( 28 ),3430195.199999999720603,3418989.479999999515712,3413640.759999999776483,10262826.439999999478459
FS( 29 ),3331227.299999999813735,3280858.759999999776483,3355580.419999999925494,9967667.480000000447035
FS( 30 ),3388081.199999999720603,3325616.199999999720603,3355037.799999999813735,10068736.199999999254942
FS( 31 ),3442829.400000000372529,3322915.319999999832362,3361006.619999999646097,10126752.339999999850988
FS( 32 ),3438617.999999999534339,3347223.239999999757856,3382711.419999999925494,10168553.660000000149012
FS( 33 ),3510211.800000000279397,3398154.119999999646097,3406586.699999999720603,10314953.619999999180436
FS( 34 ),3499683.300000000279397,3406642.600000000093132,3490692.799999999813735,10397019.699999999254942
FS( 35 ),3476520.600000000093132,3426706.279999999795109,3462476.560000000055879,10365704.439999999478459
FS( 36 ),3480732.000000000000000,3445998.279999999795109,3477127.299999999813735,10403858.579999998211861
FS( 37 ),3335438.699999999720603,3376932.919999999459833,3419609.580000000074506,10131982.199999999254942
FS( 38 ),3228048.000000000000000,3317899.399999999441206,3319224.879999999888241,9865173.279999999329448
FS( 39 ),3287007.599999999627471,3371145.319999999832362,3323565.839999999850988,9981719.759999999776483
FS( 40 ),3367024.199999999720603,3447155.799999999813735,3393563.819999999832362,10207744.820000000298023
FS( 41 ),3383869.799999999813735,3462589.399999999441206,3432632.459999999962747,10279092.660000000149012
FS( 42 ),3335438.699999999720603,3396610.759999999776483,3403873.599999999627471,10135924.059999998658895
FS( 43 ),3337544.399999999906868,3425548.759999999776483,3456507.740000000223517,10219601.900000000372529
FS( 44 ),3263844.899999999906868,3388508.119999999646097,3428291.500000000000000,10080645.519999999552965
FS( 45 ),3198568.199999999720603,3319056.919999999459833,3409842.419999999925494,9927468.539999999105930
FS( 46 ),3280690.500000000000000,3336805.560000000055879,3438601.279999999795109,10056098.339999999850988
FS( 47 ),3402821.100000000093132,3311725.959999999497086,3436973.419999999925494,10151521.480000000447035
FS( 48 ),3527057.399999999906868,3361113.479999999515712,3451624.159999999683350,10339796.039999999105930
FS( 49 ),3508106.100000000093132,3364586.040000000037253,3467902.759999999776483,10340595.900000000372529
FS( 50 ),3598651.199999999720603,3415131.080000000074506,3516195.939999999478459,10529979.219999998807907
FS( 51 ),3577594.199999999720603,3447155.799999999813735,3503715.679999999701977,10528466.679999999701977
FS( 52 ),3632342.399999999906868,3409343.479999999515712,3521079.520000000018626,10562766.399999998509884
FS( 53 ),3668139.300000000279397,3445998.279999999795109,3508056.640000000130385,10622195.220000000670552
FS( 54 ),3695513.399999999906868,3470306.199999999720603,3521079.520000000018626,10686900.119999999180436
FS( 55 ),3615496.800000000279397,3420918.679999999701977,3486894.459999999962747,10523310.940000001341105
FS( 56 ),3687090.600000000093132,3458731.000000000000000,3522707.379999999888241,10668529.980000000447035
FS( 57 ),3613391.100000000093132,3457959.319999999832362,3513482.839999999850988,10584834.259999999776483
FS( 58 ),3619708.200000000186265,3434423.080000000074506,3531931.919999999925494,10586064.199999999254942
FS( 59 ),3659716.499999999534339,3562136.119999999646097,3595418.459999999962747,10817272.079999998211861
FS( 60 ),3693407.699999999720603,3550175.080000000074506,3547125.280000000260770,10790709.059999998658895
FS( 61 ),3710253.300000000279397,3540914.919999999459833,3500459.959999999962747,10751629.179999999701977
FS( 62 ),3708147.599999999627471,3541300.759999999776483,3524335.240000000223517,10773784.599999999627471
FS( 63 ),3882920.700000000186265,3608051.080000000074506,3533559.780000000260770,11024532.560000000521541
FS( 64 ),3908189.099999999627471,3599562.600000000093132,3512397.600000000093132,11020150.299999998882413
FS( 65 ),3901872.000000000000000,3582585.639999999664724,3472243.719999999739230,10956702.359999999403954
FS( 66 ),3703936.199999999720603,3546316.679999999701977,3402788.359999999869615,10653042.239999998360872
FS( 67 ),3758684.400000000372529,3570238.759999999776483,3410927.659999999683350,10739851.820000000298023
FS( 68 ),3828172.500000000000000,3588373.239999999757856,3429919.359999999869615,10846466.099999999627471
FS( 69 ),3796587.000000000000000,3619626.279999999795109,3420152.199999999720603,10836366.479999998584390
FS( 70 ),3792375.600000000093132,3650879.319999999832362,3443484.859999999869615,10886740.779999999329448
FS( 71 ),3855546.599999999627471,3650107.639999999664724,3484181.359999999403954,10989836.599999997764826
FS( 72 ),3708147.599999999627471,3574868.839999999850988,3403330.979999999981374,10686348.419999999925494
FS( 73 ),3918717.599999999627471,3598405.080000000074506,3431547.219999999739230,10948670.899999998509884
FS( 74 ),4005051.299999999813735,3656281.080000000074506,3466817.520000000018626,11128150.900000000372529
FS( 75 ),3988205.700000000186265,3629272.279999999795109,3421237.439999999478459,11038716.419999999925494
FS( 76 ),4026108.300000000279397,3645091.719999999739230,3448911.060000000055879,11120112.080000000074506
FS( 77 ),3958725.899999999906868,3594160.839999999850988,3433717.699999999720603,10986605.439999999478459
FS( 78 ),3891343.500000000000000,3560978.600000000093132,3415268.619999999646097,10867591.719999998807907
FS( 79 ),3878709.300000000279397,3578341.399999999441206,3431547.219999999739230,10888598.919999998062849
FS( 80 ),3790269.899999999906868,3560592.759999999776483,3345813.259999999776483,10696676.919999999925494
FS( 81 ),3773424.300000000279397,3574868.839999999850988,3347441.119999999646097,10695735.259999999776483
FS( 82 ),3666033.600000000093132,3544773.319999999832362,3313256.060000000055879,10524063.980000000447035
FS( 83 ),3684984.899999999906868,3553647.639999999664724,3310000.339999999850988,10548633.879999998956919
FS( 84 ),3792375.600000000093132,3617697.080000000074506,3377285.219999999739230,10787358.899999998509884
FS( 85 ),3722887.500000000000000,3606121.879999999422580,3393021.199999999720603,10722031.579999998211861
FS( 86 ),3925034.700000000186265,3685604.919999999459833,3503715.679999999701977,11114356.299999998882413
FS( 87 ),3912400.499999999534339,3684833.239999999757856,3477127.299999999813735,11074362.039999999105930
FS( 88 ),3906083.399999999906868,3692550.040000000037253,3508599.259999999776483,11107233.699999999254942
FS( 89 ),3956620.199999999720603,3679045.639999999664724,3518366.419999999925494,11154033.259999999776483
FS( 90 ),3943986.000000000000000,3704511.080000000074506,3518366.419999999925494,11166864.500000000000000
FS( 91 ),3998734.199999999720603,3721488.040000000037253,3539528.600000000093132,11259751.839999999850988
FS( 92 ),3910294.799999999813735,3739622.520000000018626,3498289.479999999981374,11148207.800000000745058
FS( 93 ),3975571.499999999534339,3782450.759999999776483,3525420.479999999981374,11283443.740000000223517
FS( 94 ),3901872.000000000000000,3799813.560000000055879,3489607.560000000055879,11191294.120000001043081
FS( 95 ),3889237.799999999813735,3781293.239999999757856,3512397.600000000093132,11182929.639999998733401
FS( 96 ),3786058.500000000000000,3766245.479999999515712,3497204.240000000223517,11049509.219999998807907
FS( 97 ),3798692.699999999720603,3786695.000000000000000,3526505.719999999739230,11111894.419999998062849
FS( 98 ),3777635.700000000186265,3761615.399999999441206,3534645.020000000018626,11073897.119999999180436
FS( 99 ),3724993.200000000186265,3751969.399999999441206,3524335.240000000223517,11001298.839999999850988
FS( 100 ),3876603.600000000093132,3812932.119999999646097,3569915.320000000298023,11259452.039999999105930
FS( 101 ),3773424.300000000279397,3827594.040000000037253,3581310.339999999850988,11182329.679999999701977
FS( 102 ),3817643.999999999534339,3804443.639999999664724,3591620.119999999646097,11213708.759999997913837
FS( 103 ),3889237.799999999813735,3864248.839999999850988,3617665.879999999888241,11371153.519999999552965
FS( 104 ),3912400.499999999534339,3879682.439999999478459,3624177.320000000298023,11416261.259999999776483
FS( 105 ),3823961.100000000093132,3842255.959999999497086,3610611.820000000298023,11276829.879999998956919
FS( 106 ),3842912.399999999906868,3889714.279999999795109,3633944.479999999981374,11366572.160000000149012
FS( 107 ),3807115.499999999534339,3871193.959999999497086,3619836.359999999403954,11298146.819999998435378
FS( 108 ),3922928.999999999534339,3813703.799999999813735,3626347.799999999813735,11362981.599999997764826
FS( 109 ),3998734.199999999720603,3834925.000000000000000,3624719.939999999478459,11458380.139999998733401
FS( 110 ),3983994.300000000279397,3851901.959999999497086,3609526.579999999608845,11445423.839999999850988
FS( 111 ),3969254.400000000372529,3881611.639999999664724,3600844.659999999683350,11451711.699999999254942
FS( 112 ),3994522.799999999813735,3844571.000000000000000,3616038.020000000018626,11455132.820000000298023
FS( 113 ),3965042.999999999534339,3846886.040000000037253,3599216.799999999813735,11411146.839999999850988
FS( 114 ),4015579.799999999813735,3855760.359999999869615,3563946.500000000000000,11435287.660000000149012
FS( 115 ),4032425.399999999441206,3880454.119999999646097,3571000.560000000055879,11483881.080000000074506
FS( 116 ),4013474.099999999627471,3871965.639999999664724,3571000.560000000055879,11456441.299999998882413
FS( 117 ),4066116.599999999627471,3879682.439999999478459,3595418.459999999962747,11541218.500000000000000
FS( 118 ),4114547.699999999720603,3918652.279999999795109,3582938.199999999720603,11616139.179999999701977
FS( 119 ),4167190.199999999720603,3907077.080000000074506,3585651.299999999813735,11659919.579999998211861
FS( 120 ),4194564.300000000745058,3925597.399999999441206,3593790.600000000093132,11713953.300000000745058
FS( 121 ),4175612.999999999534339,3895116.040000000037253,3527048.339999999850988,11597778.379999998956919
FS( 122 ),4173507.299999999813735,3810231.239999999757856,3499917.339999999850988,11483656.879999998956919
FS( 123 ),4175612.999999999534339,3828751.560000000055879,3525963.100000000093132,11530328.660000000149012
FS( 124 ),4175612.999999999534339,3826822.359999999869615,3516195.939999999478459,11518632.299999998882413
FS( 125 ),4118759.099999999627471,3807916.199999999720603,3489064.939999999478459,11415741.239999998360872
FS( 126 ),4118759.099999999627471,3807916.199999999720603,3429919.359999999869615,11356595.659999998286366
FS( 127 ),4137710.399999999441206,3821806.439999999478459,3420694.819999999832362,11380212.659999998286366
