代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12711879.339999999850988
真實報酬,2711879.339999999850988

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,19373.690009671070584
風險,141272.809161967539694
起點值,0.137136722378468
找到最佳解世代,1730
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
DIS[6](10),MRK[17](1),PFE[20](4),VZ[26](3),WBA[27](7),
FS( 26 ),2134052.479999999981374,2048216.500000000000000,2050206.519999999785796,2122567.759999999776483,2027679.919999999925494,10382723.179999999701977
FS( 27 ),2134253.759999999776483,2057463.500000000000000,2065102.959999999962747,2147666.959999999962747,2010817.440000000176951,10415304.619999999180436
FS( 28 ),2174711.040000000037253,2044253.500000000000000,2052965.120000000111759,2147666.959999999962747,2025452.799999999813735,10445049.420000001788139
FS( 29 ),2178937.919999999925494,2069352.500000000000000,2070068.440000000176951,2143483.759999999776483,2032452.320000000065193,10494294.940000001341105
FS( 30 ),2214161.919999999925494,2076948.250000000000000,2070620.160000000149012,2150595.199999999254942,2073494.959999999962747,10585820.489999998360872
FS( 31 ),2218187.520000000018626,2067040.750000000000000,2062344.360000000102445,2158124.959999999962747,2073176.799999999813735,10578874.390000000596046
FS( 32 ),2220200.319999999832362,2065059.250000000000000,2077240.799999999813735,2151431.839999999850988,2088130.319999999832362,10602062.530000001192093
FS( 33 ),2228050.239999999757856,2078599.500000000000000,2077792.519999999785796,2139300.559999999590218,2104992.799999999813735,10628735.620000001043081
FS( 34 ),2257034.560000000055879,2064398.750000000000000,2061240.919999999925494,2122986.080000000074506,2065859.120000000111759,10571519.429999999701977
FS( 35 ),2243951.359999999869615,2064729.000000000000000,2059585.760000000009313,2117547.919999999925494,2067449.920000000158325,10553263.959999999031425
FS( 36 ),2236101.439999999944121,2070343.250000000000000,2052965.120000000111759,2122986.080000000074506,2078903.680000000167638,10561299.570000000298023
FS( 37 ),2228251.520000000018626,2094451.500000000000000,2079999.400000000139698,2154778.399999999441206,2084312.400000000139698,10641793.220000000670552
FS( 38 ),2237912.959999999962747,2129788.250000000000000,2095999.280000000027940,2129679.199999999254942,2122173.440000000409782,10715553.129999998956919
FS( 39 ),2284811.200000000186265,2113936.250000000000000,2105378.520000000018626,2140973.839999999850988,2148898.879999999888241,10793998.690000001341105
FS( 40 ),2266897.279999999795109,2096763.250000000000000,2119171.520000000018626,2175694.399999999441206,2183896.480000000447035,10842422.929999999701977
FS( 41 ),2267098.560000000055879,2140356.250000000000000,2129102.479999999981374,2195773.759999999776483,2200440.799999999813735,10932771.850000001490116
FS( 42 ),2285817.600000000093132,2175362.750000000000000,2203032.959999999962747,2160216.559999999590218,2151444.160000000149012,10975874.029999999329448
FS( 43 ),2273942.080000000074506,2162813.250000000000000,2221791.439999999944121,2163981.439999999478459,2113901.280000000260770,10936429.489999998360872
FS( 44 ),2269513.919999999925494,2153896.500000000000000,2187584.799999999813735,2174439.439999999478459,2131081.919999999925494,10916516.580000000074506
FS( 45 ),2296485.439999999944121,2177344.250000000000000,2236687.879999999888241,2186570.719999999739230,2138717.759999999776483,11035806.049999998882413
FS( 46 ),2333722.239999999757856,2186921.500000000000000,2264273.879999999888241,2195355.439999999478459,2145080.959999999962747,11125354.019999999552965
FS( 47 ),2346201.600000000093132,2198810.500000000000000,2253239.479999999981374,2194518.799999999813735,2133309.040000000037253,11126079.419999998062849
FS( 48 ),2294271.359999999869615,2202443.250000000000000,2284687.520000000018626,2204558.479999999515712,2115492.080000000074506,11101452.689999999478459
FS( 49 ),2297894.399999999906868,2179656.000000000000000,2262067.000000000000000,2217526.399999999441206,2105310.959999999962747,11062454.760000001639128
FS( 50 ),2268104.959999999962747,2181967.750000000000000,2258204.959999999962747,2194937.120000000111759,2115492.080000000074506,11018706.869999999180436
FS( 51 ),2256833.279999999795109,2203434.000000000000000,2251584.320000000298023,2184479.120000000111759,2115173.919999999925494,11011504.639999998733401
FS( 52 ),2269513.919999999925494,2194847.500000000000000,2246067.120000000111759,2211669.919999999925494,2184532.799999999813735,11106631.260000001639128
FS( 53 ),2271526.719999999739230,2224900.250000000000000,2270894.520000000018626,2227147.759999999776483,2186759.919999999925494,11181229.169999999925494
FS( 54 ),2264079.359999999869615,2273777.250000000000000,2285239.240000000223517,2270234.719999999739230,2215076.160000000149012,11308406.730000000447035
FS( 55 ),2264079.359999999869615,2280712.500000000000000,2322204.479999999981374,2291987.359999999403954,2226848.080000000074506,11385831.779999999329448
FS( 56 ),2254216.639999999664724,2317370.250000000000000,2335445.759999999776483,2286130.879999999888241,2226848.080000000074506,11420011.609999999403954
FS( 57 ),2262267.839999999850988,2284345.250000000000000,2326066.520000000018626,2297007.199999999254942,2235120.240000000223517,11404807.049999998882413
FS( 58 ),2253210.239999999757856,2280052.000000000000000,2321101.040000000037253,2264796.559999999590218,2215712.480000000447035,11334872.320000000298023
FS( 59 ),2254417.919999999925494,2277740.250000000000000,2328273.400000000372529,2270653.040000000037253,2204258.719999999739230,11335343.329999998211861
FS( 60 ),2253008.959999999962747,2280052.000000000000000,2339307.799999999813735,2291569.040000000037253,2202031.599999999627471,11365969.400000000372529
FS( 61 ),2261060.159999999683350,2278400.750000000000000,2294066.759999999776483,2294497.280000000260770,2209349.280000000260770,11337374.230000000447035
FS( 62 ),2266092.159999999683350,2266511.750000000000000,2289653.000000000000000,2286130.879999999888241,2204258.719999999739230,11312646.509999997913837
FS( 63 ),2263475.520000000018626,2272456.250000000000000,2289653.000000000000000,2282784.320000000298023,2184532.799999999813735,11292901.890000000596046
FS( 64 ),2252807.680000000167638,2263539.500000000000000,2289653.000000000000000,2290314.080000000074506,2157171.040000000037253,11253485.300000000745058
FS( 65 ),2254820.479999999981374,2265190.750000000000000,2290756.439999999944121,2274417.919999999925494,2181351.200000000186265,11266536.789999999105930
FS( 66 ),2231270.719999999739230,2244054.750000000000000,2282480.639999999664724,2225056.160000000149012,2151444.160000000149012,11134306.429999999701977
FS( 67 ),2211545.279999999795109,2266181.500000000000000,2308963.200000000186265,2251410.320000000298023,2171170.080000000074506,11209270.380000000819564
FS( 68 ),2219395.200000000186265,2291280.500000000000000,2305101.160000000149012,2271071.359999999403954,2164488.719999999739230,11251336.939999997615814
FS( 69 ),2233686.080000000074506,2300857.750000000000000,2328273.400000000372529,2258940.080000000074506,2169579.280000000260770,11291336.589999999850988
FS( 70 ),2227848.959999999962747,2297225.000000000000000,2320549.320000000298023,2263959.919999999925494,2188987.040000000037253,11298570.239999998360872
FS( 71 ),2206110.719999999739230,2281373.000000000000000,2334342.320000000298023,2289059.120000000111759,2187078.080000000074506,11297963.240000000223517
FS( 72 ),2203292.799999999813735,2307132.500000000000000,2339859.520000000018626,2299517.120000000111759,2239256.320000000298023,11389058.260000001639128
FS( 73 ),2227647.680000000167638,2339166.750000000000000,2364135.200000000186265,2298262.160000000149012,2242437.919999999925494,11471649.709999999031425
FS( 74 ),2199267.200000000186265,2311095.500000000000000,2370204.120000000111759,2281947.679999999701977,2236074.719999999739230,11398589.219999998807907
FS( 75 ),2201280.000000000000000,2325626.500000000000000,2372962.719999999739230,2288222.479999999515712,2241483.440000000409782,11429575.140000000596046
FS( 76 ),2204701.759999999776483,2325626.500000000000000,2400548.719999999739230,2275254.559999999590218,2255164.320000000298023,11461295.859999999403954
FS( 77 ),2209935.040000000037253,2311095.500000000000000,2386755.719999999739230,2238024.080000000074506,2267890.719999999739230,11413701.059999998658895
FS( 78 ),2246769.279999999795109,2337515.500000000000000,2413790.000000000000000,2256848.479999999515712,2319114.480000000447035,11574037.739999998360872
FS( 79 ),2222213.120000000111759,2348083.500000000000000,2430893.320000000298023,2276509.519999999552965,2322614.240000000223517,11600313.700000001117587
FS( 80 ),2269916.479999999981374,2337515.500000000000000,2423720.959999999962747,2239697.359999999403954,2297161.440000000409782,11568011.740000002086163
FS( 81 ),2287226.560000000055879,2333222.250000000000000,2415996.879999999888241,2219199.679999999701977,2297479.599999999627471,11553124.970000000670552
FS( 82 ),2319028.799999999813735,2322654.250000000000000,2409927.959999999962747,2222964.559999999590218,2321341.599999999627471,11595917.169999999925494
FS( 83 ),2335735.040000000037253,2335534.000000000000000,2422065.799999999813735,2241788.959999999962747,2348385.200000000186265,11683509.000000000000000
FS( 84 ),2353850.239999999757856,2342799.500000000000000,2431445.040000000037253,2233422.559999999590218,2319432.640000000596046,11680949.980000000447035
FS( 85 ),2339760.639999999664724,2362284.250000000000000,2442479.439999999944121,2252246.959999999962747,2305433.599999999627471,11702204.889999998733401
FS( 86 ),2368342.399999999906868,2369549.750000000000000,2439720.839999999850988,2276509.519999999552965,2338204.080000000074506,11792326.589999999850988
FS( 87 ),2353246.399999999906868,2357000.250000000000000,2472272.320000000298023,2271071.359999999403954,2348067.040000000037253,11801657.370000001043081
FS( 88 ),2337546.560000000055879,2352046.500000000000000,2466203.400000000372529,2301608.719999999739230,2333431.679999999701977,11790836.859999999403954
FS( 89 ),2310373.759999999776483,2345771.750000000000000,2477789.520000000018626,2298262.160000000149012,2307024.400000000372529,11739221.589999999850988
FS( 90 ),2335332.479999999981374,2359972.500000000000000,2498203.160000000149012,2301608.719999999739230,2359202.640000000596046,11854319.500000000000000
FS( 91 ),2352843.839999999850988,2389034.500000000000000,2508685.839999999850988,2300353.759999999776483,2340431.200000000186265,11891349.140000000596046
FS( 92 ),2271728.000000000000000,2326617.250000000000000,2455720.719999999739230,2272744.639999999664724,2300661.200000000186265,11627471.809999998658895
FS( 93 ),2237309.120000000111759,2257925.250000000000000,2361928.320000000298023,2230912.639999999664724,2255800.640000000596046,11343875.970000000670552
FS( 94 ),2266696.000000000000000,2305481.250000000000000,2415445.160000000149012,2247645.439999999478459,2338522.240000000223517,11573790.089999999850988
FS( 95 ),2283402.239999999757856,2293922.500000000000000,2379031.639999999664724,2242207.280000000260770,2377337.759999999776483,11575901.419999999925494
FS( 96 ),2338754.239999999757856,2352046.500000000000000,2423720.959999999962747,2246390.479999999515712,2426970.719999999739230,11787882.899999998509884
FS( 97 ),2357674.560000000055879,2371861.500000000000000,2459031.040000000037253,2257266.799999999813735,2449241.919999999925494,11895075.820000000298023
FS( 98 ),2338552.959999999962747,2384741.250000000000000,2427583.000000000000000,2286130.879999999888241,2436515.519999999552965,11873523.609999999403954
FS( 99 ),2393301.120000000111759,2389364.750000000000000,2455169.000000000000000,2296588.879999999888241,2461013.839999999850988,11995437.589999999850988
FS( 100 ),2380620.479999999981374,2396630.250000000000000,2447996.639999999664724,2299935.439999999478459,2470558.640000000596046,11995741.449999999254942
FS( 101 ),2372166.719999999739230,2381108.500000000000000,2433100.200000000186265,2393220.799999999813735,2458150.400000000372529,12037746.619999999180436
FS( 102 ),2246568.000000000000000,2329589.500000000000000,2343721.560000000055879,2402005.519999999552965,2360793.440000000409782,11682678.019999999552965
FS( 103 ),2297894.399999999906868,2310435.000000000000000,2395031.520000000018626,2360591.839999999850988,2409790.080000000074506,11773742.839999999850988
FS( 104 ),2278370.239999999757856,2324966.000000000000000,2350342.200000000186265,2322106.399999999441206,2425379.919999999925494,11701164.759999999776483
FS( 105 ),2275351.040000000037253,2359642.250000000000000,2385100.560000000055879,2362683.439999999478459,2444151.359999999403954,11826928.649999998509884
FS( 106 ),2309971.200000000186265,2406537.750000000000000,2366342.080000000074506,2433797.839999999850988,2507147.040000000037253,12023795.910000000149012
FS( 107 ),2311380.159999999683350,2430976.250000000000000,2375721.320000000298023,2388200.959999999962747,2538008.559999999590218,12044287.250000000000000
FS( 108 ),2336942.719999999739230,2414794.000000000000000,2409376.240000000223517,2344695.679999999701977,2542144.640000000596046,12047953.280000001192093
FS( 109 ),2318424.959999999962747,2386722.750000000000000,2368548.959999999962747,2368958.240000000223517,2523055.040000000037253,11965709.949999999254942
FS( 110 ),2323859.520000000018626,2414794.000000000000000,2401100.439999999944121,2393220.799999999813735,2544371.759999999776483,12077346.519999997690320
FS( 111 ),2349220.799999999813735,2421068.750000000000000,2372962.719999999739230,2393220.799999999813735,2564415.839999999850988,12100888.910000000149012
FS( 112 ),2356064.319999999832362,2479523.000000000000000,2449651.799999999813735,2411626.879999999888241,2606094.799999999813735,12302960.800000000745058
FS( 113 ),2334929.919999999925494,2492733.000000000000000,2419307.200000000186265,2437562.719999999739230,2622957.280000000260770,12307490.120000001043081
FS( 114 ),2375185.919999999925494,2472257.500000000000000,2443031.160000000149012,2445510.799999999813735,2621366.480000000447035,12357351.859999999403954
FS( 115 ),2349019.520000000018626,2466643.250000000000000,2433651.919999999925494,2456387.120000000111759,2602913.200000000186265,12308615.009999997913837
FS( 116 ),2352038.719999999739230,2464001.250000000000000,2401100.439999999944121,2453877.199999999254942,2606412.959999999962747,12277430.570000000298023
FS( 117 ),2357473.279999999795109,2446828.250000000000000,2367445.520000000018626,2465590.160000000149012,2593686.559999999590218,12231023.769999999552965
FS( 118 ),2357272.000000000000000,2471597.000000000000000,2383997.120000000111759,2471446.639999999664724,2618184.879999999888241,12302497.640000000596046
FS( 119 ),2338754.239999999757856,2511887.500000000000000,2400548.719999999739230,2518716.799999999813735,2625502.559999999590218,12395409.820000000298023
FS( 120 ),2323255.680000000167638,2521464.750000000000000,2437513.959999999962747,2535867.919999999925494,2606412.959999999962747,12424515.269999999552965
FS( 121 ),2251801.279999999795109,2469615.500000000000000,2401652.160000000149012,2487342.799999999813735,2538644.879999999888241,12149056.619999997317791
FS( 122 ),2275149.759999999776483,2469945.750000000000000,2377928.200000000186265,2474793.199999999254942,2537690.400000000372529,12135507.310000000521541
FS( 123 ),2256028.159999999683350,2465982.750000000000000,2380135.080000000074506,2453040.559999999590218,2571097.200000000186265,12126283.750000000000000
FS( 124 ),2265488.319999999832362,2491412.000000000000000,2391169.479999999981374,2475211.519999999552965,2599413.440000000409782,12222694.760000001639128
FS( 125 ),2292661.120000000111759,2521134.500000000000000,2431445.040000000037253,2537122.879999999888241,2657318.559999999590218,12439682.099999997764826
FS( 126 ),2336942.719999999739230,2550526.750000000000000,2477237.799999999813735,2512442.000000000000000,2692952.480000000447035,12570101.750000000000000
FS( 127 ),2347208.000000000000000,2572983.750000000000000,2510892.719999999739230,2486924.479999999515712,2699633.839999999850988,12617642.789999999105930
FS( 128 ),2324664.639999999664724,2620209.500000000000000,2550616.560000000055879,2522481.679999999701977,2693906.959999999962747,12711879.339999999850988
