代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12339914.859999999403954
真實報酬,2339914.859999999403954

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,19957.175859912727901
風險,124514.571066798525862
起點值,0.160279842663605
找到最佳解世代,3186
找到最佳解實驗#,1
找到最佳解次數,44

stock[index](rank)
投資組合檔數,5
AAPL[0](13),BA[2](1),DIS[6](2),MSFT[18](4),UNH[23](7),
FS( 26 ),1962496.859999999869615,2160900.200000000186265,2041948.620000000344589,2104493.000000000000000,2049677.040000000037253,10319515.720000000670552
FS( 27 ),1974049.959999999962747,2148360.559999999590218,2040867.470000000204891,2106234.549999999813735,2063684.810000000055879,10333197.349999999627471
FS( 28 ),1970850.639999999897555,2192022.680000000167638,2046489.450000000186265,2095785.250000000000000,2049243.810000000055879,10354391.830000000074506
FS( 29 ),1915928.980000000214204,2231303.479999999981374,2053408.810000000055879,2044583.680000000167638,2110329.240000000223517,10355554.189999999478459
FS( 30 ),1927304.340000000083819,2243843.120000000111759,2112223.370000000111759,2055729.600000000093132,2114517.129999999888241,10453617.559999998658895
FS( 31 ),1878959.059999999823049,2266051.879999999888241,2117412.890000000596046,2024381.699999999953434,2199141.389999999664724,10485946.919999999925494
FS( 32 ),1903842.659999999916181,2237648.840000000316650,2112655.830000000074506,2050504.949999999953434,2198419.339999999850988,10503071.620000001043081
FS( 33 ),1955031.780000000027940,2212418.479999999981374,2143360.490000000223517,2077673.129999999888241,2187877.410000000149012,10576361.289999999105930
FS( 34 ),1954320.820000000065193,2195648.600000000093132,2148766.240000000223517,2112155.819999999832362,2177335.480000000447035,10588226.960000000894070
FS( 35 ),1956275.959999999962747,2211058.759999999776483,2124332.250000000000000,2102054.830000000074506,2158273.359999999403954,10551995.160000000149012
FS( 36 ),1985958.540000000037253,2221181.120000000111759,2111142.219999999739230,2119818.640000000130385,2172136.719999999739230,10610237.239999998360872
FS( 37 ),1987202.719999999972060,2258951.120000000111759,2112872.060000000521541,2128874.699999999720603,2198852.569999999366701,10686753.169999998062849
FS( 38 ),1977071.540000000037253,2262274.879999999888241,2124764.709999999962747,2103796.379999999888241,2217337.049999999813735,10685244.559999998658895
FS( 39 ),1987024.980000000214204,2266807.279999999795109,2136873.589999999850988,2108324.410000000149012,2206795.120000000111759,10705825.379999998956919
FS( 40 ),1983114.699999999953434,2262728.120000000111759,2140117.040000000037253,2111110.890000000130385,2196686.419999999925494,10693757.169999999925494
FS( 41 ),1981159.559999999823049,2290980.079999999608845,2155253.140000000596046,2127829.770000000018626,2275823.099999999627471,10831045.650000000372529
FS( 42 ),1964452.000000000000000,2274663.439999999944121,2143360.490000000223517,2098920.040000000037253,2286365.030000000260770,10767761.000000000000000
FS( 43 ),1946144.780000000027940,2302311.079999999608845,2139468.350000000558794,2061999.180000000167638,2324200.450000000186265,10774123.839999999850988
FS( 44 ),1953432.120000000111759,2300195.959999999962747,2129954.230000000447035,2063740.729999999981374,2321167.839999999850988,10768490.880000000819564
FS( 45 ),1939390.659999999916181,2298836.239999999757856,2161523.810000000521541,2097526.799999999813735,2276400.740000000223517,10773678.250000000000000
FS( 46 ),1954320.820000000065193,2300044.879999999888241,2176659.910000000149012,2088122.430000000167638,2271924.030000000260770,10791072.070000000298023
FS( 47 ),1973516.739999999990687,2328750.079999999608845,2205418.500000000000000,2137582.449999999720603,2301961.309999999590218,10947229.079999998211861
FS( 48 ),1992890.400000000139698,2347635.079999999608845,2235474.469999999739230,2125043.290000000037253,2300806.030000000260770,11001849.269999999552965
FS( 49 ),2025416.820000000065193,2364253.879999999888241,2267476.509999999776483,2158481.049999999813735,2312358.830000000074506,11127987.089999999850988
FS( 50 ),2013863.719999999972060,2374376.239999999757856,2250178.110000000335276,2165447.250000000000000,2303261.000000000000000,11107126.320000000298023
FS( 51 ),2047456.580000000074506,2366822.239999999757856,2245637.280000000260770,2193660.359999999869615,2318424.049999999813735,11172000.510000001639128
FS( 52 ),2047456.580000000074506,2333735.719999999739230,2249961.879999999888241,2183211.060000000055879,2308604.169999999925494,11122969.410000000149012
FS( 53 ),2058654.199999999953434,2323160.120000000111759,2257313.700000000186265,2179727.959999999962747,2319579.330000000074506,11138435.310000000521541
FS( 54 ),2061320.300000000046566,2334188.959999999962747,2246934.660000000149012,2169975.279999999795109,2367523.450000000186265,11179942.649999998509884
FS( 55 ),2073228.880000000121072,2359570.399999999906868,2276990.629999999888241,2215952.199999999720603,2332865.049999999813735,11258607.160000000149012
FS( 56 ),2078738.820000000065193,2362743.079999999608845,2280450.310000000521541,2213165.719999999739230,2333587.099999999627471,11268685.029999999329448
FS( 57 ),2080693.959999999962747,2379210.799999999813735,2282612.610000000335276,2213165.719999999739230,2329832.440000000409782,11285515.530000001192093
FS( 58 ),2067007.980000000214204,2378908.640000000130385,2279585.390000000596046,2213514.029999999795109,2333442.690000000409782,11272458.730000000447035
FS( 59 ),2071096.000000000000000,2384196.439999999944121,2273747.180000000633299,2202716.419999999925494,2354382.139999999664724,11286138.179999999701977
FS( 60 ),2084248.760000000009313,2379210.799999999813735,2274179.640000000596046,2204109.660000000149012,2348750.149999999441206,11290499.009999997913837
FS( 61 ),2075361.760000000009313,2358361.759999999776483,2255367.629999999888241,2194008.669999999925494,2331420.950000000186265,11214520.769999999552965
FS( 62 ),2074828.540000000037253,2352167.479999999981374,2260989.610000000335276,2190873.879999999888241,2325644.549999999813735,11204504.059999998658895
FS( 63 ),2058654.199999999953434,2352016.399999999906868,2253637.790000000037253,2164402.319999999832362,2311203.549999999813735,11139914.259999997913837
FS( 64 ),2064519.620000000111759,2371505.719999999739230,2293856.570000000298023,2179727.959999999962747,2331565.359999999403954,11241175.230000000447035
FS( 65 ),2062209.000000000000000,2396433.919999999925494,2323263.850000000558794,2169975.279999999795109,2338208.219999999739230,11290090.269999999552965
FS( 66 ),2072695.659999999916181,2397793.640000000130385,2321966.469999999739230,2169975.279999999795109,2342107.290000000037253,11304538.339999999850988
FS( 67 ),2095801.859999999869615,2403685.759999999776483,2356563.270000000484288,2188784.020000000018626,2345428.719999999739230,11390263.629999998956919
FS( 68 ),2114997.779999999795109,2391901.520000000018626,2343157.009999999776483,2181817.819999999832362,2338785.859999999403954,11370659.989999998360872
FS( 69 ),2117130.660000000149012,2403232.520000000018626,2343589.469999999739230,2181121.199999999720603,2333442.690000000409782,11378516.539999999105930
FS( 70 ),2128506.020000000018626,2408218.160000000149012,2366509.850000000558794,2200974.870000000111759,2337919.399999999441206,11442128.300000000745058
FS( 71 ),2119619.020000000018626,2391448.279999999795109,2325209.919999999925494,2180772.890000000130385,2344706.669999999925494,11361756.779999999329448
FS( 72 ),2115886.479999999981374,2399606.600000000093132,2336670.110000000335276,2183907.680000000167638,2336619.709999999962747,11372690.580000001937151
FS( 73 ),2132949.520000000018626,2382081.319999999832362,2334724.040000000037253,2177986.410000000149012,2320156.969999999739230,11347898.259999997913837
FS( 74 ),2132771.779999999795109,2391901.520000000018626,2338832.410000000149012,2176941.479999999981374,2277989.250000000000000,11318436.439999999478459
FS( 75 ),2129039.240000000223517,2402174.959999999962747,2319804.169999999925494,2169975.279999999795109,2291852.609999999403954,11312846.259999999776483
FS( 76 ),2132949.520000000018626,2410182.200000000186265,2328020.910000000149012,2185300.919999999925494,2291274.969999999739230,11347728.519999999552965
FS( 77 ),2134371.439999999944121,2384649.680000000167638,2316344.490000000223517,2192963.740000000223517,2297195.780000000260770,11325525.130000002682209
FS( 78 ),2132416.299999999813735,2425592.360000000335276,2333210.430000000633299,2212469.100000000093132,2316835.540000000037253,11420523.730000000447035
FS( 79 ),2166364.640000000130385,2528477.840000000316650,2336237.650000000372529,2218042.060000000055879,2328532.750000000000000,11577654.940000001341105
FS( 80 ),2167431.080000000074506,2555067.919999999925494,2336670.110000000335276,2238592.349999999627471,2350338.660000000149012,11648100.120000001043081
FS( 81 ),2167608.820000000298023,2533614.559999999590218,2363482.629999999888241,2291187.160000000149012,2353804.500000000000000,11709697.669999999925494
FS( 82 ),2161921.140000000130385,2501434.520000000018626,2398944.350000000558794,2268547.009999999776483,2340807.599999999627471,11671654.619999999180436
FS( 83 ),2156944.419999999925494,2468952.319999999832362,2392673.680000000633299,2251828.130000000353903,2340952.009999999776483,11611350.560000000521541
FS( 84 ),2288472.020000000018626,2477261.719999999739230,2406728.629999999888241,2214558.959999999962747,2349761.020000000484288,11736782.350000001490116
FS( 85 ),2284561.740000000223517,2451427.040000000037253,2391808.759999999776483,2200278.250000000000000,2321601.069999999366701,11649676.859999999403954
FS( 86 ),2294337.440000000409782,2453542.160000000149012,2385105.629999999888241,2218042.060000000055879,2337630.580000000074506,11688657.870000001043081
FS( 87 ),2315843.979999999981374,2477412.799999999813735,2369320.839999999850988,2216648.819999999832362,2317990.819999999366701,11697217.259999997913837
FS( 88 ),2337883.740000000223517,2515484.959999999962747,2356995.730000000447035,2209334.310000000055879,2318279.639999999664724,11737978.379999998956919
FS( 89 ),2346948.479999999981374,2474844.439999999944121,2356995.730000000447035,2206199.520000000018626,2315102.620000000111759,11700090.789999999105930
FS( 90 ),2353702.599999999627471,2481945.200000000186265,2367591.000000000000000,2231277.839999999850988,2316979.950000000186265,11751496.589999999850988
FS( 91 ),2348370.399999999906868,2511405.799999999813735,2362617.709999999962747,2229187.979999999981374,2321456.660000000149012,11773038.549999998882413
FS( 92 ),2369165.979999999981374,2538600.200000000186265,2371050.680000000633299,2254266.299999999813735,2339363.500000000000000,11872446.660000000149012
FS( 93 ),2399915.000000000000000,2545700.959999999962747,2385754.320000000298023,2249041.649999999906868,2355826.240000000223517,11936238.169999999925494
FS( 94 ),2408624.259999999776483,2557787.360000000335276,2382510.870000000111759,2247648.410000000149012,2372577.799999999813735,11969148.699999999254942
FS( 95 ),2405780.419999999925494,2580600.439999999944121,2393971.060000000521541,2247300.099999999627471,2363335.559999999590218,11990987.579999998211861
FS( 96 ),2412356.799999999813735,2609305.640000000130385,2379916.110000000335276,2250783.200000000186265,2276256.330000000074506,11928618.080000000074506
FS( 97 ),2429775.319999999832362,2652363.439999999944121,2378834.959999999962747,2246255.169999999925494,2318857.280000000260770,12026086.170000001788139
FS( 98 ),2437062.660000000149012,2649341.840000000316650,2381213.490000000223517,2241727.140000000130385,2318857.280000000260770,12028202.410000000149012
FS( 99 ),2426753.740000000223517,2672003.840000000316650,2372780.520000000484288,2250783.200000000186265,2348172.509999999776483,12070493.810000000521541
FS( 100 ),2429064.359999999869615,2680766.479999999981374,2385538.089999999850988,2250783.200000000186265,2354815.370000000111759,12100967.500000000000000
FS( 101 ),2433863.340000000316650,2710831.399999999906868,2383592.020000000484288,2237199.110000000335276,2388318.490000000223517,12153804.360000001266599
FS( 102 ),2434929.780000000260770,2722917.799999999813735,2380564.800000000745058,2228491.359999999869615,2388318.490000000223517,12155222.230000000447035
FS( 103 ),2484696.979999999981374,2778515.239999999757856,2401106.650000000372529,2261929.120000000111759,2425287.450000000186265,12351535.440000001341105
FS( 104 ),2469944.560000000055879,2764615.879999999888241,2391376.300000000745058,2229536.290000000037253,2416189.620000000111759,12271662.650000002235174
FS( 105 ),2484519.240000000223517,2752378.399999999906868,2405431.250000000000000,2237895.729999999981374,2429042.109999999403954,12309266.730000000447035
FS( 106 ),2476698.680000000167638,2733493.399999999906868,2393106.140000000596046,2238592.349999999627471,2436262.609999999403954,12278153.179999999701977
FS( 107 ),2479898.000000000000000,2749961.120000000111759,2397214.509999999776483,2243120.380000000353903,2430486.209999999962747,12300680.219999998807907
FS( 108 ),2470655.520000000018626,2745730.879999999888241,2396782.050000000745058,2263670.669999999925494,2424854.219999999739230,12301693.339999999850988
FS( 109 ),2464967.840000000316650,2728054.520000000018626,2400890.419999999925494,2254614.610000000335276,2426298.319999999366701,12274825.710000000894070
FS( 110 ),2473143.879999999888241,2699802.559999999590218,2398511.890000000596046,2261580.810000000055879,2454747.089999999850988,12287786.230000000447035
FS( 111 ),2474210.319999999832362,2705090.360000000335276,2411485.690000000409782,2253917.989999999757856,2458068.520000000484288,12302772.879999998956919
FS( 112 ),2470477.780000000260770,2700255.799999999813735,2428567.860000000335276,2243468.689999999944121,2441461.370000000111759,12284231.500000000000000
FS( 113 ),2496605.560000000055879,2699953.640000000130385,2419053.740000000223517,2255311.229999999981374,2480740.889999999664724,12351665.059999998658895
FS( 114 ),2500693.580000000074506,2692097.479999999981374,2415594.060000000521541,2251479.819999999832362,2473809.209999999962747,12333674.150000002235174
FS( 115 ),2488251.780000000260770,2720953.759999999776483,2416675.209999999962747,2259490.950000000186265,2450703.609999999403954,12336075.309999998658895
FS( 116 ),2514379.560000000055879,2710227.079999999608845,2437217.060000000521541,2261580.810000000055879,2426153.910000000149012,12349558.419999999925494
FS( 117 ),2485585.680000000167638,2658406.640000000130385,2416458.980000000447035,2236502.489999999757856,2421821.609999999403954,12218775.400000000372529
FS( 118 ),2513668.599999999627471,2673816.799999999813735,2423594.570000000298023,2265063.910000000149012,2412146.139999999664724,12288290.019999999552965
FS( 119 ),2504781.599999999627471,2678047.040000000037253,2427054.250000000000000,2259490.950000000186265,2387018.799999999813735,12256392.640000000596046
FS( 120 ),2499804.879999999888241,2656291.520000000018626,2424891.950000000186265,2263322.360000000335276,2382830.910000000149012,12227141.620000001043081
FS( 121 ),2504070.640000000130385,2660521.759999999776483,2430081.469999999739230,2267502.079999999608845,2377054.509999999776483,12239230.459999999031425
FS( 122 ),2555970.720000000204891,2679557.840000000316650,2444568.879999999888241,2274119.970000000204891,2387885.259999999776483,12342102.669999999925494
FS( 123 ),2561658.399999999906868,2683637.000000000000000,2433324.919999999925494,2280389.549999999813735,2360302.950000000186265,12319312.820000000298023
FS( 124 ),2558281.340000000316650,2688924.799999999813735,2447379.870000000111759,2288748.989999999757856,2382686.500000000000000,12366021.500000000000000
FS( 125 ),2553482.359999999869615,2672003.840000000316650,2451920.700000000186265,2293973.640000000130385,2368534.319999999366701,12339914.859999999403954
