代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12423151.570000000298023
真實報酬,2423151.570000000298023

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,16070.222837375069503
風險,160259.283748693589587
起點值,0.100276392490155
找到最佳解世代,2412
找到最佳解實驗#,3
找到最佳解次數,18

stock[index](rank)
投資組合檔數,3
AAPL[0](1),MSFT[18](4),NKE[19](5),
FS( 27 ),3696245.399999999906868,3439165.910000000149012,3505210.120000000111759,10640622.429999999701977
FS( 28 ),3717941.250000000000000,3425832.629999999888241,3488753.799999999813735,10632528.679999999701977
FS( 29 ),3702556.919999999925494,3404999.379999999888241,3434813.640000000130385,10542370.939999999478459
FS( 30 ),3640625.130000000353903,3381666.139999999664724,3418357.319999999832362,10440649.589999999850988
FS( 31 ),3600783.660000000149012,3435832.589999999850988,3411043.400000000372529,10447660.650000000372529
FS( 32 ),3637074.899999999906868,3458332.500000000000000,3408300.680000000167638,10503709.080000000074506
FS( 33 ),3632341.259999999776483,3473332.439999999944121,3432985.159999999683350,10538659.859999999403954
FS( 34 ),3636285.960000000428408,3470832.449999999720603,3483268.359999999869615,10590387.769999999552965
FS( 35 ),3623662.919999999925494,3459165.829999999608845,3457669.640000000130385,10540499.390000000596046
FS( 36 ),3586188.270000000018626,3473332.439999999944121,3432985.159999999683350,10492506.869999999180436
FS( 37 ),3583032.509999999776483,3499165.670000000391155,3449441.479999999515712,10531640.660000000149012
FS( 38 ),3561336.660000000149012,3479165.750000000000000,3427499.720000000204891,10468003.130000000819564
FS( 39 ),3564492.419999999925494,3502498.990000000223517,3496067.720000000204891,10563060.130000000819564
FS( 40 ),3585793.800000000279397,3476665.759999999776483,3513438.279999999795109,10575898.839999999850988
FS( 41 ),3628396.560000000055879,3520832.250000000000000,3550922.120000000111759,10700151.929999999701977
FS( 42 ),3665871.210000000428408,3474999.100000000093132,3545436.680000000167638,10686307.990000000223517
FS( 43 ),3689144.939999999944121,3489165.709999999962747,3565549.959999999962747,10743861.609999999403954
FS( 44 ),3687567.060000000055879,3491665.699999999720603,3556407.560000000055879,10735641.320000000298023
FS( 45 ),3709262.910000000149012,3483332.399999999906868,3586577.479999999515712,10779173.789999999105930
FS( 46 ),3785790.089999999850988,3499165.670000000391155,3595719.879999999888241,10880676.640000000596046
FS( 47 ),3761332.949999999720603,3481665.740000000223517,3550922.120000000111759,10793921.809999998658895
FS( 48 ),3762910.830000000074506,3472499.110000000335276,3597548.359999999869615,10832959.300000000745058
FS( 49 ),3749104.380000000353903,3474165.770000000018626,3542693.959999999962747,10765965.109999999403954
FS( 50 ),3756204.839999999850988,3507498.970000000204891,3533551.560000000055879,10797256.370000001043081
FS( 51 ),3804724.649999999906868,3511665.620000000111759,3563721.479999999515712,10880112.750000000000000
FS( 52 ),3760149.539999999571592,3537498.850000000093132,3567378.440000000409782,10865027.830000000074506
FS( 53 ),3738848.160000000149012,3673331.639999999664724,3516181.000000000000000,10928361.800000000745058
FS( 54 ),3672182.729999999981374,3710831.490000000223517,3498810.440000000409782,10881825.660000000149012
FS( 55 ),3725041.710000000428408,3724164.770000000018626,3543608.199999999720603,10992815.679999999701977
FS( 56 ),3705712.679999999701977,3736664.720000000204891,3511609.799999999813735,10953988.199999999254942
FS( 57 ),3736481.339999999850988,3735831.389999999664724,3521666.440000000409782,10993980.169999999925494
FS( 58 ),3833915.429999999701977,3739164.709999999962747,3537208.519999999552965,11110289.660000000149012
FS( 59 ),3827603.910000000149012,3699998.199999999720603,3592977.159999999683350,11120580.269999999552965
FS( 60 ),3852849.990000000223517,3708331.500000000000000,3552750.600000000093132,11113933.089999999850988
FS( 61 ),3906103.439999999944121,3664165.009999999776483,3583834.760000000242144,11154104.209999999031425
FS( 62 ),3880857.359999999869615,3657498.370000000111759,3570121.159999999683350,11108477.890000000596046
FS( 63 ),3871784.550000000279397,3631665.139999999664724,3639603.400000000372529,11143054.089999999850988
FS( 64 ),3771194.699999999720603,3596665.279999999795109,3526237.640000000130385,10894098.619999999180436
FS( 65 ),3792101.609999999869615,3571665.379999999888241,3509781.319999999832362,10873549.310000000521541
FS( 66 ),3770800.229999999981374,3614165.209999999962747,3527151.879999999888241,10912118.320000000298023
FS( 67 ),3752260.140000000130385,3589998.639999999664724,3516181.000000000000000,10858440.779999999329448
FS( 68 ),3745948.619999999646097,3561665.420000000391155,3526237.640000000130385,10833852.679999999701977
FS( 69 ),3727014.060000000055879,3602498.589999999850988,3489668.040000000037253,10819181.690000001341105
FS( 70 ),3737270.279999999795109,3599998.600000000093132,3522580.680000000167638,10859850.560000000521541
FS( 71 ),3786579.029999999795109,3599998.600000000093132,3522580.680000000167638,10909159.310000000521541
FS( 72 ),3785790.089999999850988,3626665.160000000149012,3507952.839999999850988,10920409.089999999850988
FS( 73 ),3835887.779999999795109,3673331.639999999664724,3531723.080000000074506,11040943.500000000000000
FS( 74 ),3846144.000000000000000,3689164.910000000149012,3533551.560000000055879,11068861.470000000670552
FS( 75 ),3865078.560000000055879,3732498.069999999832362,3526237.640000000130385,11123815.269999999552965
FS( 76 ),3911626.020000000018626,3759164.629999999888241,3591148.680000000167638,11261940.330000000074506
FS( 77 ),3965668.410000000149012,3777497.889999999664724,3589320.199999999720603,11332487.500000000000000
FS( 78 ),3967246.289999999571592,3745831.350000000093132,3607605.000000000000000,11320683.640000000596046
FS( 79 ),3967640.759999999776483,3768331.259999999776483,3608519.239999999757856,11344492.259999999776483
FS( 80 ),3996831.539999999571592,3762497.949999999720603,3624975.560000000055879,11384306.049999998882413
FS( 81 ),4005509.880000000353903,3764164.610000000335276,3657888.199999999720603,11427563.689999999478459
FS( 82 ),3979869.330000000074506,3750831.329999999608845,3633203.720000000204891,11363905.380000000819564
FS( 83 ),4028783.609999999869615,3739164.709999999962747,3644174.600000000093132,11412123.919999999925494
FS( 84 ),4033517.250000000000000,3739998.040000000037253,3603033.799999999813735,11376550.089999999850988
FS( 85 ),4043379.000000000000000,3785831.189999999944121,3591148.680000000167638,11420359.869999999180436
FS( 86 ),4074936.600000000093132,3757497.970000000204891,3624061.319999999832362,11456496.890000000596046
FS( 87 ),3902947.679999999701977,3746664.680000000167638,3603033.799999999813735,11252647.160000000149012
FS( 88 ),3870601.140000000130385,3771664.579999999608845,3653317.000000000000000,11295583.719999998807907
FS( 89 ),3904131.089999999850988,3825831.029999999795109,3750226.440000000409782,11480189.559999998658895
FS( 90 ),3880068.419999999925494,3872497.509999999776483,3766682.760000000242144,11519249.689999999478459
FS( 91 ),3865473.029999999795109,3896664.079999999608845,3741084.040000000037253,11503222.149999998509884
FS( 92 ),3984208.500000000000000,3903330.720000000204891,3770339.720000000204891,11657879.940000001341105
FS( 93 ),4001170.710000000428408,3916664.000000000000000,3740169.799999999813735,11658005.510000001639128
FS( 94 ),4010243.520000000018626,3891664.100000000093132,3741084.040000000037253,11642992.660000000149012
FS( 95 ),4009060.109999999869615,3853330.920000000391155,3731027.400000000372529,11593419.429999999701977
FS( 96 ),3978685.919999999925494,3896664.079999999608845,3711828.359999999869615,11587179.359999999403954
FS( 97 ),4007087.759999999776483,3876664.160000000149012,3726456.199999999720603,11610209.119999999180436
FS( 98 ),4015371.630000000353903,3889997.439999999944121,3747483.720000000204891,11652853.790000000968575
FS( 99 ),3982630.619999999646097,3959997.160000000149012,3740169.799999999813735,11682798.579999998211861
FS( 100 ),3986575.320000000298023,3921663.979999999981374,3688972.359999999869615,11597212.660000000149012
FS( 101 ),4048901.580000000074506,3879997.479999999981374,3662459.400000000372529,11591359.460000000894070
FS( 102 ),4013793.750000000000000,3923330.639999999664724,3695372.040000000037253,11632497.429999999701977
FS( 103 ),3860739.390000000130385,3836664.319999999832362,3646003.080000000074506,11343407.789999999105930
FS( 104 ),3974346.750000000000000,3867497.529999999795109,4091237.959999999962747,11933083.239999998360872
FS( 105 ),3949100.669999999925494,3869997.520000000018626,4073867.400000000372529,11892966.589999999850988
FS( 106 ),3974346.750000000000000,3863330.879999999888241,4077524.359999999869615,11915202.990000000223517
FS( 107 ),3912414.960000000428408,3824997.699999999720603,4008956.359999999869615,11746370.019999999552965
FS( 108 ),3940816.800000000279397,3813331.079999999608845,4082095.560000000055879,11836244.439999999478459
FS( 109 ),3929771.640000000130385,3840830.970000000204891,4127807.560000000055879,11898411.169999999925494
FS( 110 ),3929771.640000000130385,3840830.970000000204891,4078438.600000000093132,11849042.210000000894070
FS( 111 ),3895452.750000000000000,3794164.490000000223517,4026326.919999999925494,11715945.160000000149012
FS( 112 ),3976319.100000000093132,3898330.740000000223517,4061068.040000000037253,11935718.879999998956919
FS( 113 ),3984997.439999999944121,3820831.050000000279397,3987928.839999999850988,11793758.330000000074506
FS( 114 ),3973557.810000000055879,3669164.990000000223517,3986100.359999999869615,11628824.160000000149012
FS( 115 ),3937266.570000000298023,3637498.449999999720603,3903818.760000000242144,11478584.779999999329448
FS( 116 ),3895452.750000000000000,3644165.089999999850988,3890105.159999999683350,11429724.000000000000000
FS( 117 ),3847721.880000000353903,3601665.259999999776483,3893762.120000000111759,11343150.260000001639128
FS( 118 ),3797229.720000000204891,3561665.420000000391155,3978786.440000000409782,11337682.580000001937151
FS( 119 ),3852849.990000000223517,3635831.790000000037253,3985186.120000000111759,11473868.900000000372529
FS( 120 ),3935294.220000000204891,3673331.639999999664724,4063810.760000000242144,11672437.619999999180436
FS( 121 ),4042195.589999999850988,3739998.040000000037253,4143349.640000000130385,11925544.269999999552965
FS( 122 ),4062708.029999999795109,3698331.540000000037253,4107694.279999999795109,11868734.849999999627471
FS( 123 ),4135290.509999999776483,3751664.660000000149012,4131464.519999999552965,12018420.689999999478459
FS( 124 ),4150674.839999999850988,3844164.290000000037253,4155234.760000000242144,12150074.890000000596046
FS( 125 ),4146335.669999999925494,3825831.029999999795109,4189061.640000000130385,12161229.339999999850988
FS( 126 ),4210634.280000000260770,3874164.170000000391155,4226545.479999999515712,12311344.929999999701977
FS( 127 ),4234302.480000000447035,3884997.459999999962747,4203689.479999999515712,12322990.419999999925494
FS( 128 ),4220101.560000000521541,3837497.649999999906868,4251229.959999999962747,12308830.170000001788139
FS( 129 ),4260337.500000000000000,3912497.350000000093132,4250315.719999999739230,12423151.570000000298023
