代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11738978.269999999552965
真實報酬,1738978.269999999552965

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,17032.871442956817191
風險,140119.450341739866417
起點值,0.121559650722402
找到最佳解世代,2467
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
AAPL[0](4),BA[2](1),DD[7](3),MRK[17](16),MSFT[18](5),V[25](2),
FS( 39 ),1757354.300000000279397,1851138.200000000186265,1876609.699999999953434,1635446.629999999888241,1710871.839999999850988,1782017.000000000000000,10613441.669999999925494
FS( 40 ),1774470.120000000111759,1864727.599999999860302,1882891.480000000214204,1635789.699999999953434,1724554.600000000093132,1800622.000000000000000,10683059.500000000000000
FS( 41 ),1761697.120000000111759,1854730.799999999813735,1837265.920000000158325,1639563.469999999972060,1750867.600000000093132,1795784.699999999953434,10639913.609999999403954
FS( 42 ),1739983.020000000251457,1835362.000000000000000,1808171.360000000102445,1633388.209999999962747,1751393.859999999869615,1777923.900000000139698,10546226.350000001490116
FS( 43 ),1780856.620000000111759,1839267.000000000000000,1803873.300000000046566,1672155.120000000111759,1767181.659999999683350,1797645.200000000186265,10660982.899999998509884
FS( 44 ),1786732.200000000186265,1840672.800000000046566,1822057.400000000139698,1659461.529999999795109,1785074.500000000000000,1784621.700000000186265,10678624.129999998956919
FS( 45 ),1764251.720000000204891,1800060.799999999813735,1825363.600000000093132,1659118.459999999962747,1781916.939999999711290,1754853.699999999953434,10585569.219999998807907
FS( 46 ),1762718.960000000195578,1830676.000000000000000,1882891.480000000214204,1654658.549999999813735,1782969.459999999962747,1771970.300000000046566,10685888.750000000000000
FS( 47 ),1780090.240000000456348,1822709.800000000046566,1852805.060000000055879,1642994.169999999925494,1752446.379999999655411,1733271.900000000139698,10584321.550000000745058
FS( 48 ),1755310.620000000111759,1803184.800000000046566,1813791.900000000139698,1638191.189999999944121,1737184.839999999850988,1697922.400000000139698,10445589.750000000000000
FS( 49 ),1775747.420000000391155,1788033.399999999906868,1832637.239999999990687,1621723.830000000074506,1740342.399999999906868,1710201.700000000186265,10468689.990000002086163
FS( 50 ),1786987.660000000381842,1857230.000000000000000,1902067.440000000176951,1629271.370000000111759,1776654.339999999850988,1758574.699999999953434,10710789.509999999776483
FS( 51 ),1798483.360000000335276,1842859.600000000093132,1933806.960000000195578,1622409.969999999972060,1796125.959999999962747,1787970.600000000093132,10781660.450000001117587
FS( 52 ),1810234.520000000251457,1865977.199999999953434,1921904.640000000130385,1603884.189999999944121,1812966.280000000027940,1799505.700000000186265,10814476.530000001192093
FS( 53 ),1819942.000000000000000,1845983.600000000093132,1903720.540000000037253,1597708.929999999934807,1815071.319999999832362,1780156.500000000232831,10762586.890000000596046
FS( 54 ),1828883.100000000325963,1879722.800000000046566,1936451.920000000158325,1618293.129999999888241,1822965.219999999972060,1819971.199999999953434,10906291.369999999180436
FS( 55 ),1841145.179999999934807,1910181.800000000046566,1948684.860000000102445,1616234.709999999962747,1837700.500000000000000,1844529.800000000046566,10998480.850000001490116
FS( 56 ),1857239.160000000381842,1913774.399999999906868,1945048.040000000037253,1599081.209999999962747,1839805.539999999804422,1864623.200000000186265,11019575.550000000745058
FS( 57 ),1902711.040000000270084,1897373.399999999906868,1947362.380000000121072,1595650.509999999776483,1841384.319999999832362,1860902.199999999953434,11045387.849999999627471
FS( 58 ),1897346.380000000121072,1913149.600000000093132,1956289.120000000111759,1594278.229999999981374,1819807.659999999683350,1860530.100000000093132,11041405.089999999850988
FS( 59 ),1915739.500000000000000,2015304.400000000139698,1932153.860000000102445,1597365.860000000102445,1776654.339999999850988,1850111.300000000046566,11087333.260000001639128
FS( 60 ),1941285.500000000000000,2014679.599999999860302,1912647.280000000027940,1585701.479999999981374,1774549.299999999813735,1887693.399999999906868,11116560.560000000521541
FS( 61 ),1919571.400000000139698,2049199.800000000046566,1860739.940000000176951,1596679.719999999972060,1880327.559999999590218,1889181.800000000279397,11195704.220000000670552
FS( 62 ),1933877.160000000381842,2028737.599999999860302,1841563.980000000214204,1555854.389999999897555,1871907.399999999906868,1889181.800000000279397,11121126.330000000074506
FS( 63 ),1885595.220000000204891,2025301.199999999953434,1857764.360000000102445,1563745.000000000000000,1869276.100000000093132,1899972.700000000186265,11101658.580000001937151
FS( 64 ),1915739.500000000000000,2025613.600000000093132,1848507.000000000000000,1552080.620000000111759,1870328.619999999878928,1896251.700000000186265,11108525.039999999105930
FS( 65 ),1907564.780000000260770,2038422.000000000000000,1858425.600000000093132,1546934.570000000065193,1863487.239999999757856,1829645.800000000046566,11044483.990000002086163
FS( 66 ),1897857.300000000279397,2077940.600000000093132,1833959.719999999972060,1551737.549999999813735,1869802.359999999869615,1852716.000000000000000,11084017.529999999329448
FS( 67 ),1922381.460000000195578,2074191.799999999813735,1808171.360000000102445,1568547.979999999981374,1891379.019999999785796,1827413.200000000186265,11092088.820000000298023
FS( 68 ),1917527.720000000204891,2086375.399999999906868,1823049.260000000009313,1556197.459999999962747,1928217.219999999972060,1835971.500000000232831,11147342.560000000521541
FS( 69 ),1901178.280000000260770,2078877.800000000046566,1848507.000000000000000,1576781.659999999916181,2009261.259999999776483,1851599.699999999953434,11266209.699999999254942
FS( 70 ),1870267.620000000111759,2054198.199999999953434,1820734.920000000158325,1571978.679999999934807,1973475.579999999841675,1824436.400000000139698,11115095.400000000372529
FS( 71 ),1899900.980000000214204,2085125.800000000046566,1867682.960000000195578,1605599.539999999804422,1988210.859999999869615,1844529.800000000046566,11291053.940000001341105
FS( 72 ),1894280.860000000335276,2070130.600000000093132,1867352.340000000083819,1612460.939999999944121,1978211.919999999925494,1853832.300000000046566,11276272.960000000894070
FS( 73 ),1897857.300000000279397,2067006.600000000093132,1852143.820000000065193,1632702.070000000065193,1966107.939999999711290,1844529.800000000046566,11260351.530000001192093
FS( 74 ),1900156.440000000176951,2080127.399999999906868,1864376.760000000009313,1624125.320000000065193,2008208.739999999757856,1858669.600000000093132,11335668.259999999776483
FS( 75 ),1927490.660000000381842,2110117.800000000279397,1888181.400000000139698,1640592.679999999934807,2000841.100000000093132,1862018.500000000000000,11429246.140000000596046
FS( 76 ),1915994.960000000195578,2125581.600000000093132,1894132.560000000055879,1649169.429999999934807,1991368.419999999925494,1879135.100000000093132,11455386.070000000298023
FS( 77 ),1892748.100000000325963,2161195.200000000186265,1877270.940000000176951,1647111.009999999776483,1957687.780000000027940,1859785.899999999906868,11395802.930000001564622
FS( 78 ),1896069.080000000074506,2139639.599999999627471,1869336.060000000055879,1649169.429999999934807,1933479.819999999832362,1836343.600000000093132,11324041.589999999850988
FS( 79 ),1879464.179999999934807,2068880.999999999767169,1848507.000000000000000,1651227.850000000093132,1951372.659999999683350,1843041.400000000139698,11242498.089999999850988
FS( 80 ),1901944.660000000381842,2076378.600000000093132,1866029.860000000102445,1668038.279999999795109,1968212.979999999748543,1875414.100000000093132,11356022.480000000447035
FS( 81 ),1897090.920000000391155,2123863.399999999906868,1867352.340000000083819,1679016.519999999785796,1977159.399999999906868,1880251.400000000139698,11424737.980000000447035
FS( 82 ),1911396.679999999934807,2077472.000000000000000,1836604.679999999934807,1703717.559999999823049,1980843.219999999972060,1878390.899999999906868,11388429.039999999105930
FS( 83 ),1946650.160000000381842,2105275.600000000093132,1826355.460000000195578,1700973.000000000000000,1965581.679999999934807,1893274.900000000139698,11438114.800000000745058
FS( 84 ),1992377.500000000000000,2104338.399999999906868,1840902.739999999990687,1709549.750000000000000,1978738.179999999934807,1897740.100000000093132,11523650.669999999925494
FS( 85 ),2029419.200000000186265,2096997.000000000000000,1839249.640000000130385,1709549.750000000000000,2006629.959999999962747,1892902.800000000046566,11574752.350000001490116
FS( 86 ),2011792.460000000195578,2095591.199999999953434,1882560.860000000102445,1721557.199999999953434,2023470.280000000027940,1908158.900000000139698,11643134.900000000372529
FS( 87 ),2066716.360000000335276,2061852.000000000000000,1823049.260000000009313,1707148.259999999776483,2016102.639999999897555,1876902.500000000000000,11551775.019999999552965
FS( 88 ),2061862.620000000111759,2054042.000000000000000,1830984.140000000130385,1691710.110000000102445,2049257.019999999785796,1886205.000000000000000,11574064.890000000596046
FS( 89 ),2072591.940000000176951,2073254.599999999860302,1817759.340000000083819,1674556.610000000102445,1999788.579999999841675,1876530.400000000139698,11514485.470000000670552
FS( 90 ),2043724.960000000195578,2111523.600000000093132,1848837.620000000111759,1694454.669999999925494,2018733.939999999711290,1878018.800000000046566,11595297.590000001713634
FS( 91 ),2067227.280000000260770,2103713.600000000093132,1920912.780000000027940,1700286.860000000102445,2037153.039999999804422,1875414.100000000093132,11704711.660000000149012
FS( 92 ),2063906.300000000279397,2088405.999999999767169,1967199.580000000074506,1695826.949999999953434,2005577.439999999711290,1855320.700000000186265,11676240.969999998807907
FS( 93 ),2048578.700000000186265,2070599.199999999953434,1932815.100000000093132,1679359.590000000083819,1979264.439999999711290,1913368.300000000046566,11623989.330000000074506
FS( 94 ),2045768.640000000130385,2076847.200000000186265,1919259.679999999934807,1657746.179999999934807,1958740.299999999813735,1892530.700000000186265,11550896.699999999254942
FS( 95 ),2023288.160000000381842,2090436.600000000093132,1954966.640000000130385,1659804.600000000093132,1930848.519999999785796,1928996.500000000232831,11588345.019999999552965
FS( 96 ),2034528.400000000139698,2104338.399999999906868,1958603.460000000195578,1649855.570000000065193,1940847.459999999962747,1932717.500000000000000,11620894.789999999105930
FS( 97 ),2025331.840000000316650,2122457.600000000093132,1987036.780000000027940,1643337.239999999990687,1921902.100000000093132,1983695.200000000186265,11683764.760000001639128
FS( 98 ),2010004.240000000456348,2116365.800000000279397,2048532.100000000093132,1677644.239999999990687,1925059.659999999683350,2003416.500000000232831,11781026.540000000968575
FS( 99 ),1987012.840000000316650,2111367.399999999906868,2067046.820000000065193,1673870.469999999972060,1907693.079999999841675,2010114.300000000279397,11757108.910000000149012
FS( 100 ),2003617.740000000456348,2134797.399999999906868,2061426.280000000027940,1692053.179999999934807,1936637.379999999655411,2008998.000000000232831,11837533.980000000447035
FS( 101 ),2080511.200000000186265,2130580.000000000000000,2066054.960000000195578,1693425.459999999962747,1927164.699999999720603,2028347.199999999953434,11926087.519999999552965
FS( 102 ),2071825.560000000055879,2137296.600000000093132,2091512.699999999953434,1695140.809999999823049,1951372.659999999683350,2034672.900000000139698,11981825.230000000447035
FS( 103 ),2058030.720000000204891,2159789.400000000372529,2112011.140000000130385,1705775.979999999981374,1970318.019999999785796,2048440.600000000093132,12054369.860000001266599
FS( 104 ),2043980.420000000391155,2138390.000000000000000,2099778.200000000186265,1708177.469999999972060,1962424.119999999878928,2043603.300000000046566,11996357.510000001639128
FS( 105 ),2023799.080000000074506,2123082.399999999906868,2099778.200000000186265,1713323.519999999785796,1962424.119999999878928,2055138.399999999906868,11977549.719999998807907
FS( 106 ),2047556.860000000335276,2131985.800000000279397,2090520.840000000083819,1717097.289999999804422,1968739.239999999757856,2071510.800000000046566,12027414.830000001937151
FS( 107 ),2018689.880000000121072,2134797.399999999906868,2065393.719999999972060,1697885.370000000111759,1955582.739999999757856,2055882.600000000093132,11928235.709999999031425
FS( 108 ),1974239.840000000316650,2149636.399999999906868,2056136.360000000102445,1706119.049999999813735,1942426.239999999757856,2057371.000000000000000,11885932.890000000596046
FS( 109 ),1984969.160000000381842,2161976.199999999720603,2052499.540000000037253,1706462.120000000111759,1901377.959999999962747,2045091.700000000186265,11852380.679999999701977
FS( 110 ),1970918.860000000335276,2194778.199999999720603,2029686.760000000009313,1719155.709999999962747,1916113.239999999757856,2060719.900000000139698,11891376.669999999925494
FS( 111 ),1983436.400000000139698,2199620.399999999906868,2032001.100000000093132,1708177.469999999972060,1881906.339999999850988,2067417.700000000186265,11872563.410000000149012
FS( 112 ),1958145.860000000335276,2220082.600000000093132,2005882.120000000111759,1698914.580000000074506,1869802.359999999869615,2064440.899999999906868,11817272.419999999925494
FS( 113 ),1944861.940000000176951,2216490.000000000000000,2010841.420000000158325,1711265.100000000093132,1896641.619999999878928,2056998.900000000139698,11837102.980000000447035
FS( 114 ),1955080.340000000316650,2197746.000000000000000,1972489.500000000000000,1822419.779999999795109,1840858.059999999590218,2036533.399999999906868,11825131.080000000074506
FS( 115 ),1994165.720000000204891,2186968.199999999720603,2008196.460000000195578,1818302.939999999944121,1882958.859999999869615,2071138.699999999953434,11961734.879999998956919
FS( 116 ),2034017.480000000214204,2196496.399999999906868,2027041.800000000046566,1801835.580000000074506,1934532.339999999850988,2081557.500000000000000,12075485.099999999627471
FS( 117 ),2022777.240000000456348,2190092.200000000186265,2028694.900000000139698,1801149.439999999944121,1941373.719999999972060,2062952.500000000000000,12047044.000000001862645
FS( 118 ),1973218.000000000000000,2193997.200000000186265,2028033.660000000149012,1782280.590000000083819,1914534.459999999962747,2160070.600000000093132,12052138.509999999776483
FS( 119 ),2003873.200000000186265,2212897.399999999906868,2162596.000000000000000,1778163.750000000000000,1903483.000000000000000,2157465.899999999906868,12218483.250000000000000
FS( 120 ),2012814.300000000279397,2255071.399999999906868,2150693.680000000167638,1761696.389999999897555,1890852.759999999776483,2167512.600000000093132,12238645.130000000819564
FS( 121 ),2029674.660000000381842,2207274.200000000186265,2105729.359999999869615,1770273.139999999897555,1897694.139999999897555,2123232.700000000186265,12133882.199999999254942
FS( 122 ),1992888.420000000391155,2134485.000000000000000,2043903.420000000158325,1783309.799999999813735,1937163.639999999897555,2058115.200000000186265,11949869.480000000447035
FS( 123 ),2008982.400000000139698,2145575.200000000186265,2029356.140000000130385,1802178.649999999906868,1896115.359999999869615,2011602.700000000186265,11893814.449999999254942
FS( 124 ),1848553.520000000251457,2141357.800000000279397,2027372.420000000158325,1813843.029999999795109,1908745.600000000093132,2055510.500000000232831,11795386.869999999180436
FS( 125 ),1827605.800000000279397,2027175.600000000093132,2106059.979999999981374,1791200.409999999916181,1929269.739999999757856,2019788.900000000139698,11701104.430000001564622
FS( 126 ),1824029.360000000335276,1976410.600000000093132,2133501.439999999944121,1835799.509999999776483,1939794.939999999711290,2054766.300000000046566,11764306.150000000372529
FS( 127 ),1826839.420000000391155,1956573.200000000186265,2142758.800000000279397,1817273.729999999981374,1991368.419999999925494,2004160.700000000186265,11738978.269999999552965
