代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12232532.289999999105930
真實報酬,2232532.289999999105930

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,20478.305632988529396
風險,163839.400911988806911
起點值,0.124990115436207
找到最佳解世代,2233
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
KO[14](2),MCD[15](1),VZ[26](3),
FS( 108 ),4010393.340000000316650,3911994.119999999646097,4245280.919999999925494,12167669.379999998956919
FS( 109 ),4019490.120000000111759,3938114.240000000223517,4297691.719999998807907,12255297.079999998211861
FS( 110 ),4025987.820000000298023,3943137.339999999850988,4322586.849999999627471,12291713.009999999776483
FS( 111 ),4058476.320000000298023,3977294.420000000391155,4392031.160000000149012,12427802.900000000372529
FS( 112 ),4066273.560000000055879,3983322.139999999664724,4380238.730000000447035,12429835.429999999701977
FS( 113 ),4058476.320000000298023,3983824.450000000186265,4346171.709999999031425,12388473.480000000447035
FS( 114 ),4070172.180000000633299,3973275.939999999478459,4325207.389999998733401,12368656.509999997913837
FS( 115 ),4064974.020000000484288,3993368.339999999850988,4304243.070000000298023,12362586.429999999701977
FS( 116 ),4080568.500000000000000,4003414.540000000037253,4275417.130000000819564,12359401.170000001788139
FS( 117 ),4088365.740000000689179,3960718.189999999478459,4266245.240000000223517,12315330.169999999925494
FS( 118 ),4090964.820000000298023,3971769.009999999310821,4293760.910000000149012,12356495.740000000223517
FS( 119 ),4033785.060000000055879,3888887.859999999869615,4217765.250000000000000,12140439.169999999925494
FS( 120 ),4062374.940000000409782,3936607.310000000055879,4237419.300000000745058,12236402.550000000745058
FS( 121 ),4148144.580000000540167,3969257.459999999497086,4278037.669999999925494,12395440.710000000894070
FS( 122 ),4179333.540000000037253,4000400.679999999701977,4270176.050000000745058,12449911.269999999552965
FS( 123 ),4176734.460000000428408,3994372.959999999497086,4258383.619999999180436,12429492.039999999105930
FS( 124 ),4133849.640000000130385,3968755.149999999906868,4243970.650000000372529,12346576.440000001341105
FS( 125 ),4198826.640000000596046,3992363.720000000204891,4238729.570000000298023,12429920.930000001564622
FS( 126 ),4166338.140000000596046,3945146.580000000074506,4220385.789999999105930,12331871.509999999776483
FS( 127 ),4119554.700000000186265,3931081.899999999906868,4179767.419999999459833,12230405.019999999552965
FS( 128 ),4105259.760000000242144,3933091.139999999664724,4194180.389999999199063,12232532.289999999105930
