代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11917666.939999999478459
真實報酬,1917666.939999999478459

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,15395.658239180414967
風險,103019.031289269900299
起點值,0.149444797204029
找到最佳解世代,2679
找到最佳解實驗#,1
找到最佳解次數,40

stock[index](rank)
投資組合檔數,5
CVX[5](3),MCD[15](27),PFE[20](1),PG[21](19),UNH[23](5),
FS( 14 ),2147516.299999999813735,1940221.489999999990687,2056287.200000000186265,2090747.599999999860302,1867800.919999999925494,10102573.509999999776483
FS( 15 ),2157914.990000000223517,1938708.109999999869615,2081436.799999999813735,2087529.600000000093132,1875764.719999999739230,10141354.219999998807907
FS( 16 ),2174601.259999999776483,1942491.560000000055879,2102993.599999999627471,2090104.000000000000000,1902841.640000000130385,10213032.060000000521541
FS( 17 ),2192980.339999999850988,1941230.409999999683350,2108981.600000000093132,2099436.199999999720603,1899125.199999999953434,10241753.749999998137355
FS( 18 ),2179437.859999999869615,1927862.219999999972060,2094610.399999999906868,2081093.600000000093132,1886914.039999999804422,10169918.119999999180436
FS( 19 ),2205313.669999999925494,1927862.219999999972060,2106586.399999999906868,2083989.800000000279397,1896470.599999999860302,10220222.689999999478459
FS( 20 ),2209666.609999999869615,1941987.099999999627471,2107784.000000000000000,2072405.000000000232831,1906558.079999999608845,10238400.789999999105930
FS( 21 ),2215228.699999999720603,1936185.810000000055879,2094610.399999999906868,2068543.400000000139698,1908150.839999999850988,10222719.150000000372529
FS( 22 ),2206764.649999999906868,1936185.810000000055879,2097005.600000000093132,2070152.399999999906868,1917176.479999999748543,10227284.940000001341105
FS( 23 ),2223450.919999999925494,1932150.129999999655411,2117364.799999999813735,2084311.599999999860302,1971330.320000000065193,10328607.769999999552965
FS( 24 ),2215228.699999999720603,1874389.459999999962747,2154490.399999999906868,2090104.000000000000000,1989381.599999999860302,10323594.160000000149012
FS( 25 ),2211359.419999999925494,1883217.509999999776483,2168861.600000000093132,2085277.000000000000000,1995752.640000000130385,10344468.169999999925494
FS( 26 ),2193222.169999999925494,1871867.159999999683350,2177244.799999999813735,2081737.199999999953434,2037164.399999999674037,10361235.729999998584390
FS( 27 ),2205313.669999999925494,1875902.839999999850988,2196406.399999999906868,2075623.000000000000000,2041411.760000000009313,10394657.669999999925494
FS( 28 ),2186450.929999999701977,1855472.209999999962747,2186825.600000000093132,2071117.800000000046566,2041411.760000000009313,10341278.300000000745058
FS( 29 ),2220790.790000000037253,1864048.030000000027940,2182035.199999999720603,2060820.200000000186265,2074859.719999999739230,10402553.939999999478459
FS( 30 ),2235784.250000000000000,1856481.129999999655411,2199999.200000000186265,2090747.599999999860302,2063179.479999999748543,10446191.660000000149012
FS( 31 ),2229254.839999999850988,1833023.739999999990687,2182035.199999999720603,2107159.399999999906868,2102467.560000000055879,10453940.740000000223517
FS( 32 ),2244973.790000000037253,1868083.709999999962747,2196406.399999999906868,2108768.399999999906868,2164585.200000000186265,10582817.500000000000000
FS( 33 ),2257548.949999999720603,1883721.969999999972060,2201196.799999999813735,2107803.000000000000000,2170425.319999999832362,10620696.039999999105930
FS( 34 ),2248359.409999999683350,1900621.379999999655411,2194011.200000000186265,2102976.000000000000000,2153435.879999999888241,10599403.869999997317791
FS( 35 ),2242071.829999999608845,1895829.009999999776483,2184430.399999999906868,2117457.000000000000000,2140162.879999999888241,10579951.119999997317791
FS( 36 ),2267947.640000000130385,1892045.560000000055879,2198801.600000000093132,2120996.799999999813735,2145472.079999999608845,10625263.680000001564622
FS( 37 ),2275686.199999999720603,1901378.069999999832362,2209580.000000000000000,2142557.399999999906868,2113616.879999999888241,10642818.550000000745058
FS( 38 ),2275202.540000000037253,1903900.369999999878928,2211975.199999999720603,2146419.000000000000000,2156621.399999999906868,10694118.509999999776483
FS( 39 ),2288745.020000000018626,1896081.239999999990687,2198801.600000000093132,2127432.799999999813735,2136977.359999999869615,10648038.019999999552965
FS( 40 ),2291405.149999999906868,1875398.379999999655411,2213172.800000000279397,2065325.400000000139698,2245285.040000000037253,10690586.769999999552965
FS( 41 ),2258032.609999999869615,1848409.769999999785796,2173652.000000000000000,2065969.000000000000000,2173079.919999999925494,10519143.300000000745058
FS( 42 ),2295758.089999999850988,1858246.739999999990687,2182035.199999999720603,2031536.400000000139698,2179450.959999999497086,10547027.389999998733401
FS( 43 ),2326954.159999999683350,1853202.139999999897555,2301795.199999999720603,2024778.600000000093132,2233604.799999999813735,10740334.899999998509884
FS( 44 ),2333241.740000000223517,1857490.049999999813735,2270657.600000000093132,2020595.199999999953434,2227233.760000000242144,10709218.349999999627471
FS( 45 ),2353313.629999999888241,1862282.419999999692664,2295807.200000000186265,2024135.000000000000000,2285104.040000000037253,10820642.289999999105930
FS( 46 ),2348477.029999999795109,1867831.479999999748543,2311376.000000000000000,2046982.800000000046566,2255903.439999999944121,10830570.750000000000000
FS( 47 ),2361777.679999999701977,1852697.679999999934807,2280238.399999999906868,2077232.000000000000000,2219800.879999999888241,10791746.640000000596046
FS( 48 ),2363712.319999999832362,1900873.609999999869615,2294609.600000000093132,2080128.199999999953434,2228295.599999999627471,10867619.329999998211861
FS( 49 ),2327437.819999999832362,1915250.719999999972060,2281436.000000000000000,2072083.199999999953434,2233604.799999999813735,10829812.539999999105930
FS( 50 ),2338562.000000000000000,1910962.810000000055879,2279040.800000000279397,2078197.399999999906868,2252717.919999999925494,10859480.930000001564622
FS( 51 ),2332516.250000000000000,1920547.549999999813735,2255088.799999999813735,2083024.400000000139698,2250063.319999999832362,10841240.320000000298023
FS( 52 ),2344607.750000000000000,1923069.849999999627471,2281436.000000000000000,2076910.200000000186265,2254310.679999999701977,10880334.480000000447035
FS( 53 ),2329856.120000000111759,1920799.780000000027940,2281436.000000000000000,2056958.600000000093132,2231481.120000000111759,10820531.620000001043081
FS( 54 ),2337594.679999999701977,1917520.789999999804422,2308980.800000000279397,2051809.800000000046566,2256434.359999999869615,10872340.429999999701977
FS( 55 ),2349928.009999999776483,1916511.869999999878928,2319759.200000000186265,2059533.000000000000000,2261212.640000000130385,10906944.720000000670552
FS( 56 ),2387411.659999999683350,1920295.319999999832362,2298202.400000000372529,2069187.000000000000000,2274485.640000000130385,10949582.019999999552965
FS( 57 ),2426104.459999999962747,1909449.429999999934807,2262274.399999999906868,2061785.599999999860302,2280856.679999999701977,10940470.569999998435378
FS( 58 ),2473261.309999999590218,1896585.699999999720603,2246705.600000000093132,2064360.000000000232831,2278202.079999999608845,10959114.689999999478459
FS( 59 ),2467457.390000000130385,1897090.159999999683350,2263472.000000000000000,2028962.000000000000000,2269707.359999999869615,10926688.910000000149012
FS( 60 ),2469150.199999999720603,1877668.449999999720603,2258681.600000000093132,2022204.200000000186265,2257496.200000000186265,10885200.649999998509884
FS( 61 ),2509052.149999999906868,1908944.969999999972060,2304190.399999999906868,2028962.000000000000000,2260681.719999999739230,11011831.239999998360872
FS( 62 ),2488496.600000000093132,1889018.799999999813735,2292214.399999999906868,2018986.199999999953434,2253779.760000000242144,10942495.759999999776483
FS( 63 ),2502280.909999999683350,1883974.199999999720603,2298202.400000000372529,2008366.799999999813735,2312711.879999999888241,11005536.189999997615814
FS( 64 ),2519692.669999999925494,1923069.849999999627471,2367663.199999999720603,2012872.000000000000000,2378015.040000000037253,11201312.759999997913837
FS( 65 ),2509052.149999999906868,1917773.019999999785796,2354489.600000000093132,1996138.400000000139698,2359963.760000000242144,11137416.929999999701977
FS( 66 ),2491156.729999999981374,1924331.000000000000000,2348501.600000000093132,1985840.800000000046566,2312711.879999999888241,11062542.010000001639128
FS( 67 ),2509535.809999999590218,1905413.750000000000000,2356884.799999999813735,1996782.000000000000000,2327046.719999999739230,11095663.079999998211861
FS( 68 ),2470117.520000000018626,1911467.269999999785796,2354489.600000000093132,1995173.000000000000000,2362087.439999999944121,11093334.830000000074506
FS( 69 ),2396117.540000000037253,1934167.969999999972060,2318561.600000000093132,1978761.199999999953434,2324923.040000000037253,10952531.349999997764826
FS( 70 ),2416673.089999999850988,1935429.119999999878928,2331735.199999999720603,1978761.199999999953434,2314304.640000000130385,10976903.250000000000000
FS( 71 ),2437712.299999999813735,1908692.739999999990687,2372453.599999999627471,1974256.000000000000000,2291475.079999999608845,10984589.720000000670552
FS( 72 ),2448110.990000000223517,1894820.089999999850988,2366465.600000000093132,1952051.799999999813735,2271831.040000000037253,10933279.519999999552965
FS( 73 ),2406516.229999999981374,1850932.069999999832362,2311376.000000000000000,1922124.399999999906868,2222455.479999999981374,10713404.179999999701977
FS( 74 ),2472535.819999999832362,1851436.530000000027940,2380836.799999999813735,1944650.399999999906868,2244223.200000000186265,10893682.750000000000000
FS( 75 ),2486078.299999999813735,1841095.099999999627471,2416764.799999999813735,1950121.000000000000000,2261743.560000000055879,10955802.759999999776483
FS( 76 ),2543875.669999999925494,1860516.810000000055879,2392812.800000000279397,1972647.000000000000000,2293067.839999999850988,11062920.120000001043081
FS( 77 ),2544842.990000000223517,1863291.339999999850988,2388022.400000000372529,1960740.399999999906868,2269176.439999999944121,11026073.570000000298023
FS( 78 ),2550888.740000000223517,1879938.519999999785796,2385627.200000000186265,1960096.799999999813735,2269707.359999999869615,11046258.619999999180436
FS( 79 ),2548470.439999999944121,1890027.719999999972060,2431136.000000000000000,1967498.199999999953434,2325453.959999999497086,11162586.319999998435378
FS( 80 ),2582326.640000000130385,1898099.079999999841675,2437124.000000000000000,1959131.400000000139698,2322799.359999999869615,11199480.479999998584390
FS( 81 ),2564431.220000000204891,1891793.329999999841675,2427543.199999999720603,1952051.799999999813735,2329170.399999999906868,11164989.950000001117587
FS( 82 ),2596594.609999999869615,1901125.839999999850988,2440716.799999999813735,1972003.400000000139698,2361556.519999999552965,11271997.169999998062849
FS( 83 ),2612071.729999999981374,1912223.959999999962747,2435926.399999999906868,1994207.599999999860302,2410401.159999999683350,11364830.849999999627471
FS( 84 ),2599496.569999999832362,1919286.399999999906868,2432333.599999999627471,1982301.000000000000000,2399782.760000000242144,11333200.330000000074506
FS( 85 ),2619568.459999999962747,1916764.099999999627471,2440716.799999999813735,1997747.399999999906868,2421550.479999999981374,11396347.240000000223517
FS( 86 ),2617391.990000000223517,1926853.299999999813735,2459878.399999999906868,2003539.800000000046566,2421019.560000000055879,11428683.050000000745058
FS( 87 ),2643993.290000000037253,1932150.129999999655411,2449100.000000000000000,1984553.600000000093132,2393942.640000000130385,11403739.660000000149012
FS( 88 ),2627790.679999999701977,1935176.889999999897555,2429938.399999999906868,1987449.800000000046566,2387040.679999999701977,11367396.449999999254942
FS( 89 ),2634561.919999999925494,1917268.560000000055879,2434728.799999999813735,1999356.400000000139698,2358901.919999999925494,11344817.599999999627471
FS( 90 ),2651973.679999999701977,1918025.250000000000000,2450297.600000000093132,1991955.000000000000000,2356247.319999999832362,11368498.849999999627471
FS( 91 ),2606509.640000000130385,1923322.079999999841675,2475447.200000000186265,2001287.199999999953434,2353061.799999999813735,11359627.919999998062849
FS( 92 ),2519450.839999999850988,1933663.509999999776483,2450297.600000000093132,2023813.199999999953434,2379076.879999999888241,11306302.029999997466803
FS( 93 ),2510503.129999999888241,1939464.799999999813735,2450297.600000000093132,2027031.199999999953434,2353592.719999999739230,11280889.449999999254942
FS( 94 ),2536378.939999999944121,1944004.939999999711290,2453890.399999999906868,2037007.000000000000000,2379607.799999999813735,11350889.079999998211861
FS( 95 ),2569267.819999999832362,1951824.069999999832362,2458680.800000000279397,2065325.400000000139698,2388102.519999999552965,11433200.609999999403954
FS( 96 ),2527189.399999999906868,1942239.329999999841675,2443112.000000000000000,2059533.000000000000000,2312180.959999999497086,11284254.689999999478459
FS( 97 ),2548954.100000000093132,1932150.129999999655411,2458680.800000000279397,2055027.800000000046566,2333948.679999999701977,11328761.509999999776483
FS( 98 ),2607235.129999999888241,1977551.530000000027940,2441914.399999999906868,2050522.599999999860302,2348814.439999999944121,11426038.099999999627471
FS( 99 ),2614973.689999999944121,1939969.259999999776483,2370058.399999999906868,2036041.600000000093132,2538352.879999999888241,11499395.829999998211861
FS( 100 ),2597803.759999999776483,1945518.319999999832362,2411974.399999999906868,2039259.599999999860302,2533043.679999999701977,11527599.759999999776483
FS( 101 ),2629967.149999999906868,1940725.949999999720603,2417962.400000000372529,2054062.399999999906868,2513930.560000000055879,11556648.460000000894070
FS( 102 ),2635287.409999999683350,1964183.339999999850988,2470656.799999999813735,2060176.599999999860302,2559589.679999999701977,11689893.830000000074506
FS( 103 ),2631418.129999999888241,1968219.019999999785796,2494608.799999999813735,2075623.000000000000000,2606841.560000000055879,11776710.509999999776483
FS( 104 ),2646653.419999999925494,1975281.459999999962747,2511375.199999999720603,2088495.000000000232831,2613743.519999999552965,11835548.599999999627471
FS( 105 ),2616182.839999999850988,1983605.049999999813735,2517363.199999999720603,2097505.400000000372529,2648253.319999999832362,11862909.810000000521541
FS( 106 ),2567575.009999999776483,1991171.949999999720603,2447902.400000000372529,2114560.799999999813735,2637634.919999999925494,11758845.080000000074506
FS( 107 ),2531542.339999999850988,1994450.939999999711290,2471854.399999999906868,2139017.600000000093132,2631263.879999999888241,11768129.160000000149012
FS( 108 ),2481725.359999999869615,1982596.129999999655411,2441914.399999999906868,2120031.399999999906868,2632325.719999999739230,11658593.009999997913837
FS( 109 ),2488012.939999999944121,1985118.429999999934807,2461076.000000000000000,2100401.600000000093132,2660995.399999999906868,11695604.370000001043081
FS( 110 ),2517274.370000000111759,2000504.459999999962747,2467064.000000000000000,2096218.199999999953434,2679577.599999999627471,11760638.629999998956919
FS( 111 ),2523803.779999999795109,2010593.659999999683350,2498201.600000000093132,2115204.399999999906868,2681701.279999999795109,11829504.719999998807907
FS( 112 ),2473019.479999999981374,2005549.060000000055879,2468261.600000000093132,2121318.600000000093132,2655686.200000000186265,11723834.940000001341105
FS( 113 ),2485110.979999999981374,2034555.509999999776483,2501794.399999999906868,2150924.200000000186265,2658871.719999999739230,11831256.809999998658895
FS( 114 ),2476163.270000000018626,2036573.349999999627471,2505387.200000000186265,2151567.799999999813735,2651969.760000000242144,11821661.379999998956919
FS( 115 ),2458267.850000000093132,2046662.549999999813735,2512572.800000000279397,2154142.199999999720603,2663650.000000000000000,11835295.400000000372529
FS( 116 ),2428280.929999999701977,2041365.719999999972060,2531734.399999999906868,2169588.600000000093132,2654093.439999999944121,11825063.089999997988343
FS( 117 ),2487529.279999999795109,2055742.829999999841675,2536524.799999999813735,2168301.399999999906868,2687010.479999999981374,11935108.789999999105930
FS( 118 ),2511954.109999999869615,2081218.060000000055879,2518560.800000000279397,2170875.799999999813735,2683824.959999999497086,11966433.729999998584390
FS( 119 ),2480516.209999999962747,2076677.919999999692664,2477842.400000000372529,2167657.799999999813735,2640820.439999999944121,11843514.769999999552965
FS( 120 ),2451496.609999999869615,2080965.829999999841675,2465866.399999999906868,2157682.000000000000000,2610027.079999999608845,11766037.919999999925494
FS( 121 ),2473261.309999999590218,2084497.049999999813735,2457483.199999999720603,2156394.800000000279397,2546316.679999999701977,11717953.039999999105930
FS( 122 ),2496960.649999999906868,2086514.889999999897555,2488620.800000000279397,2136121.399999999906868,2541538.399999999906868,11749756.140000000596046
FS( 123 ),2499620.779999999795109,2079200.219999999972060,2502992.000000000000000,2130007.199999999720603,2532512.760000000242144,11744332.959999999031425
FS( 124 ),2495993.329999999608845,2058769.589999999850988,2506584.799999999813735,2130329.000000000000000,2564367.959999999497086,11756044.679999997839332
FS( 125 ),2537104.429999999701977,2056751.750000000000000,2568860.000000000000000,2156073.000000000000000,2598877.760000000242144,11917666.939999999478459
