代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12232283.380000000819564
真實報酬,2232283.380000000819564

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,17085.627845160321158
風險,117034.055332263189484
起點值,0.145988514169262
找到最佳解世代,2487
找到最佳解實驗#,1
找到最佳解次數,47

stock[index](rank)
投資組合檔數,6
AAPL[0](11),BA[2](10),KO[14](4),MCD[15](1),MMM[16](3),UNH[23](7),
FS( 39 ),1861473.200000000186265,1802761.959999999962747,1713926.979999999981374,1762372.419999999692664,1817177.480000000214204,1693707.520000000018626,10651423.560000000521541
FS( 40 ),1865615.280000000027940,1805506.239999999990687,1713523.040000000037253,1754067.879999999888241,1814228.140000000130385,1674143.389999999897555,10627087.970000000670552
FS( 41 ),1863155.920000000158325,1809063.639999999897555,1720793.960000000195578,1760602.599999999860302,1819936.540000000037253,1690020.040000000037253,10663576.699999999254942
FS( 42 ),1859661.040000000037253,1797679.959999999962747,1714330.919999999925494,1764550.660000000149012,1820412.240000000223517,1679981.899999999906868,10636620.720000000670552
FS( 43 ),1860178.799999999813735,1795545.520000000018626,1713119.099999999860302,1764550.660000000149012,1814608.700000000186265,1696165.840000000083819,10644172.620000001043081
FS( 44 ),1874028.880000000121072,1816381.719999999739230,1724025.479999999981374,1760194.179999999701977,1809566.280000000027940,1689815.179999999934807,10674015.719999998807907
FS( 45 ),1864320.880000000121072,1799916.040000000037253,1719582.140000000130385,1775441.859999999869615,1810041.980000000214204,1693912.380000000121072,10663219.280000001192093
FS( 46 ),1859661.040000000037253,1802863.599999999860302,1723621.540000000037253,1771902.219999999972060,1806712.080000000074506,1693605.090000000083819,10658369.570000000298023
FS( 47 ),1855518.959999999962747,1817906.319999999832362,1721197.900000000139698,1769315.560000000055879,1807663.480000000214204,1700570.330000000074506,10672176.550000000745058
FS( 48 ),1853318.479999999748543,1804794.760000000009313,1724429.419999999925494,1769587.839999999850988,1804999.560000000288710,1695039.109999999869615,10652173.169999999925494
FS( 49 ),1833384.719999999972060,1815060.399999999906868,1723217.599999999860302,1786196.919999999692664,1808424.600000000093132,1698624.160000000149012,10664912.400000000372529
FS( 50 ),1835585.200000000186265,1789447.120000000111759,1734527.919999999925494,1787013.759999999776483,1804904.419999999925494,1695858.550000000046566,10647340.970000000670552
FS( 51 ),1825877.200000000186265,1785076.599999999860302,1728468.820000000065193,1780206.759999999776483,1794914.720000000204891,1689712.750000000000000,10604260.849999999627471
FS( 52 ),1835973.520000000251457,1819634.199999999953434,1739779.140000000130385,1788239.019999999785796,1811183.660000000149012,1712452.209999999962747,10707265.750000000000000
FS( 53 ),1827818.799999999813735,1807742.319999999832362,1756340.679999999934807,1801172.320000000065193,1809851.700000000186265,1726894.840000000083819,10729824.660000000149012
FS( 54 ),1821087.920000000158325,1813332.520000000018626,1746242.179999999934807,1805801.079999999608845,1806141.240000000223517,1733655.219999999972060,10726264.160000000149012
FS( 55 ),1843869.359999999869615,1822480.120000000111759,1740587.020000000251457,1814377.899999999906868,1818794.860000000102445,1757111.689999999944121,10797224.949999999254942
FS( 56 ),1841668.880000000121072,1833457.239999999990687,1739779.140000000130385,1816283.859999999869615,1822029.620000000111759,1753219.349999999860302,10806442.089999997988343
FS( 57 ),1859402.159999999916181,1850532.760000000009313,1748261.880000000121072,1827447.339999999850988,1848002.840000000083819,1765203.660000000149012,10898854.640000000596046
FS( 58 ),1870922.320000000065193,1865270.559999999823049,1741394.900000000139698,1929143.919999999692664,1856565.440000000176951,1782719.189999999944121,11046020.330000000074506
FS( 59 ),1859919.920000000158325,1846975.360000000102445,1746646.120000000111759,1917435.879999999888241,1855328.620000000111759,1786201.809999999823049,11012511.710000000894070
FS( 60 ),1861343.760000000009313,1862323.000000000000000,1737355.500000000000000,1917844.300000000046566,1865889.160000000149012,1788762.559999999823049,11033522.279999999329448
FS( 61 ),1859531.600000000093132,1878687.040000000037253,1743010.659999999916181,1905047.139999999897555,1863225.240000000223517,1791323.309999999823049,11040828.990000000223517
FS( 62 ),1897457.520000000251457,1853886.879999999888241,1745838.239999999990687,1921656.219999999972060,1853520.960000000195578,1788352.840000000083819,11060716.660000000149012
FS( 63 ),1909495.439999999944121,1864559.079999999841675,1752705.219999999972060,1922745.339999999850988,1869885.040000000037253,1783743.489999999757856,11103137.609999999403954
FS( 64 ),1903670.640000000130385,1864050.879999999888241,1749877.640000000130385,1941668.800000000046566,1880350.440000000176951,1767354.689999999944121,11106977.089999999850988
FS( 65 ),1896810.320000000065193,1860798.399999999906868,1763611.599999999860302,1952968.419999999692664,1898236.760000000009313,1782514.330000000074506,11154943.830000000074506
FS( 66 ),1928264.239999999990687,1880516.559999999823049,1764823.419999999925494,1959911.560000000055879,1897190.220000000204891,1783538.630000000121072,11214248.630000000819564
FS( 67 ),1980687.439999999944121,1890782.199999999953434,1772902.219999999972060,1963723.479999999981374,1890054.720000000204891,1786816.389999999897555,11284970.450000001117587
FS( 68 ),1993372.560000000055879,1899828.159999999916181,1757552.500000000000000,1965357.160000000149012,1883490.060000000288710,1774524.790000000037253,11274129.230000000447035
FS( 69 ),1983923.439999999944121,1861916.439999999944121,1759976.140000000130385,1967535.399999999906868,1870931.580000000074506,1776061.239999999757856,11220348.240000000223517
FS( 70 ),1992854.799999999813735,1869641.079999999841675,1764015.540000000037253,1963315.060000000055879,1871978.120000000111759,1775344.229999999981374,11237152.830000001937151
FS( 71 ),2020684.399999999906868,1862627.919999999925494,1760784.020000000251457,1978971.160000000149012,1870265.600000000093132,1759877.300000000046566,11253214.400000000372529
FS( 72 ),2015506.799999999813735,1853886.879999999888241,1766439.179999999934807,1991496.039999999804422,1880350.440000000176951,1757009.260000000009313,11264692.599999999627471
FS( 73 ),2012529.679999999934807,1857037.719999999739230,1771286.460000000195578,2005246.179999999701977,1883014.360000000102445,1722080.630000000121072,11251199.029999999329448
FS( 74 ),1944962.000000000000000,1817194.839999999850988,1774517.979999999981374,1993265.859999999869615,1853806.380000000121072,1729660.450000000186265,11113411.510000001639128
FS( 75 ),1974603.760000000009313,1803168.520000000018626,1769266.760000000009313,2001434.259999999776483,1857611.980000000214204,1756189.819999999832362,11162279.099999999627471
FS( 76 ),1981334.640000000130385,1837319.559999999823049,1773306.159999999916181,2016954.219999999972060,1862939.820000000298023,1767866.840000000083819,11239725.240000000223517
FS( 77 ),1993372.560000000055879,1866896.799999999813735,1784616.479999999981374,2017498.779999999795109,1888722.760000000009313,1789479.569999999832362,11340590.949999999254942
FS( 78 ),1990913.200000000186265,1865067.280000000027940,1793099.219999999972060,2012461.599999999860302,1881301.840000000083819,1794805.929999999934807,11337653.070000000298023
FS( 79 ),1984958.959999999962747,1882955.919999999925494,1818951.380000000121072,2035333.119999999878928,1879018.480000000214204,1798595.840000000083819,11399817.699999999254942
FS( 80 ),1991819.280000000027940,1901454.399999999906868,1834301.099999999860302,2039145.039999999804422,1898522.179999999934807,1823793.620000000111759,11489039.620000001043081
FS( 81 ),1988453.840000000083819,1896575.679999999934807,1833493.219999999972060,2040234.160000000149012,1909273.000000000000000,1818159.969999999972060,11486193.870000001043081
FS( 82 ),1989230.479999999748543,1899523.239999999990687,1835108.979999999981374,2041187.139999999897555,1926112.780000000027940,1808838.840000000083819,11500005.459999999031425
FS( 83 ),1977451.439999999944121,1907146.239999999990687,1836724.739999999990687,2054256.579999999608845,1945426.200000000186265,1794396.209999999962747,11515405.410000000149012
FS( 84 ),1982887.920000000158325,1903995.399999999906868,1849650.820000000065193,2074677.579999999608845,1944284.520000000018626,1839465.410000000149012,11594965.650000000372529
FS( 85 ),2012270.799999999813735,1933572.639999999897555,1853690.219999999972060,2093056.479999999981374,1966642.419999999925494,1837519.239999999757856,11696755.799999998882413
FS( 86 ),1992595.920000000158325,1920562.719999999739230,1857729.620000000111759,2080123.179999999701977,1962075.700000000186265,1837314.380000000121072,11650405.520000001415610
FS( 87 ),1999326.799999999813735,1898201.919999999925494,1857325.679999999934807,2058885.339999999850988,1954369.360000000102445,1852166.729999999981374,11620279.830000000074506
FS( 88 ),2011235.280000000027940,1911923.319999999832362,1838340.500000000000000,2068551.279999999795109,1950563.760000000009313,1876647.500000000000000,11657265.639999998733401
FS( 89 ),2006316.560000000055879,1930523.439999999944121,1822990.780000000260770,2061608.139999999897555,1959411.780000000027940,1861078.139999999897555,11641932.839999999850988
FS( 90 ),1928523.119999999878928,1931539.839999999850988,1830665.640000000130385,2062288.839999999850988,1968830.640000000130385,1858722.250000000000000,11580574.330000000074506
FS( 91 ),1882442.479999999748543,1931234.919999999925494,1831069.580000000074506,2021310.699999999953434,1973207.080000000074506,1836085.219999999972060,11475353.980000000447035
FS( 92 ),1897586.959999999962747,1942313.679999999934807,1818951.380000000121072,2039689.599999999860302,1989571.160000000149012,1854522.620000000111759,11542639.399999998509884
FS( 93 ),1879077.040000000037253,1955425.239999999990687,1829857.760000000009313,2051397.639999999897555,1998133.760000000009313,1867940.950000000186265,11581836.390000000596046
FS( 94 ),1867815.760000000009313,1986628.719999999739230,1827838.060000000055879,2058068.499999999767169,2010311.679999999934807,1847659.809999999823049,11598326.529999999329448
FS( 95 ),1841668.880000000121072,1996691.079999999841675,1830261.700000000186265,2069231.979999999981374,2028863.980000000214204,1860463.559999999823049,11627185.180000001564622
FS( 96 ),1894350.959999999962747,2023524.040000000037253,1833089.280000000260770,2084888.079999999608845,2030005.660000000149012,1874701.330000000074506,11740563.349999999627471
FS( 97 ),1877135.439999999944121,2015901.040000000037253,1842379.900000000139698,2097549.099999999627471,2030005.660000000149012,1877262.080000000074506,11740237.220000000670552
FS( 98 ),1888267.280000000027940,2024438.799999999813735,1826626.239999999990687,2092920.339999999850988,2025248.660000000149012,1894163.029999999795109,11751668.349999999627471
FS( 99 ),1885160.719999999972060,2027183.079999999841675,1820567.140000000130385,2107487.320000000298023,2019159.700000000186265,1910346.969999999972060,11769908.930000001564622
FS( 100 ),1893574.320000000065193,2055540.639999999897555,1827838.060000000055879,2105309.080000000074506,2025629.220000000204891,1897543.219999999972060,11805438.540000000968575
FS( 101 ),1887620.079999999841675,2032671.639999999897555,1835108.979999999981374,2096051.560000000055879,2022870.160000000149012,1896211.630000000121072,11770538.050000000745058
FS( 102 ),1860567.119999999878928,2021592.879999999888241,1819759.260000000009313,2092784.199999999953434,1995945.540000000037253,1890885.270000000018626,11681538.269999999552965
FS( 103 ),1887749.520000000251457,2029012.599999999860302,1830665.640000000130385,2100680.320000000298023,2003937.300000000046566,1902152.569999999832362,11754201.950000001117587
FS( 104 ),1859919.920000000158325,2007058.360000000102445,1810872.580000000074506,2084751.939999999711290,1977583.520000000018626,1897748.080000000074506,11637938.400000000372529
FS( 105 ),1864320.880000000121072,2010005.919999999925494,1811680.460000000195578,2085160.359999999869615,1980818.280000000027940,1899284.529999999795109,11651274.429999997839332
FS( 106 ),1857590.000000000000000,2018543.679999999934807,1808045.000000000000000,2076175.119999999878928,1996421.240000000223517,1911883.419999999925494,11668662.459999999031425
FS( 107 ),1865226.959999999962747,2051271.760000000009313,1810468.640000000130385,2083935.099999999860302,1995755.260000000009313,1928272.219999999972060,11734933.939999999478459
FS( 108 ),1847623.119999999878928,2047917.639999999897555,1793503.159999999916181,2084207.379999999888241,1979200.900000000139698,1914853.889999999897555,11667310.089999999850988
FS( 109 ),1866391.920000000158325,2056963.599999999860302,1793099.219999999972060,2127499.900000000372529,1994137.880000000121072,1925301.750000000000000,11763398.270000001415610
FS( 110 ),1877782.640000000130385,2073124.360000000102445,1792695.280000000260770,2117289.400000000372529,2002700.480000000214204,1914956.319999999832362,11778552.480000000447035
FS( 111 ),1883866.320000000065193,2096603.199999999953434,1790675.580000000074506,2108984.859999999403954,1994803.860000000102445,1904713.319999999832362,11779651.139999998733401
FS( 112 ),1886584.560000000055879,2098331.080000000074506,1797946.500000000000000,2131720.240000000223517,2010406.820000000298023,1912293.139999999897555,11837286.340000001713634
FS( 113 ),1912860.880000000121072,2096196.639999999897555,1794714.979999999981374,2110754.679999999701977,2008408.880000000121072,1899899.109999999869615,11822839.169999999925494
FS( 114 ),1929299.760000000009313,2119370.560000000055879,1804813.479999999981374,2114022.040000000037253,2014878.400000000139698,1914444.169999999925494,11896832.410000000149012
FS( 115 ),1936030.640000000130385,2124350.919999999925494,1806833.179999999934807,2113749.759999999776483,2014022.140000000130385,1908810.520000000018626,11903801.160000000149012
FS( 116 ),1942761.520000000251457,2116626.279999999795109,1804409.540000000037253,2096051.560000000055879,2010501.960000000195578,1913932.020000000018626,11884286.880000000819564
FS( 117 ),1954928.880000000121072,2143459.239999999757856,1810872.580000000074506,2095098.579999999608845,2018018.020000000018626,1937900.639999999897555,11960281.939999999478459
FS( 118 ),1946126.959999999962747,2137360.839999999850988,1810468.640000000130385,2099455.059999999590218,2021347.919999999925494,1961561.969999999972060,11976325.389999998733401
FS( 119 ),1945220.880000000121072,2156265.879999999888241,1818951.380000000121072,2095506.999999999767169,2009074.860000000102445,1964430.010000000009313,11989454.009999999776483
FS( 120 ),1968778.959999999962747,2156672.439999999944121,1811276.520000000251457,2067326.019999999785796,1998038.620000000111759,1955313.739999999757856,11957410.299999998882413
FS( 121 ),1977192.560000000055879,2159518.359999999869615,1827434.120000000111759,2165619.099999999627471,1897095.080000000074506,1950294.669999999925494,11977157.889999998733401
FS( 122 ),1986512.239999999990687,2372860.719999999739230,1847631.120000000111759,2130767.259999999776483,1893670.040000000037253,1953879.719999999972060,12185325.099999999627471
FS( 123 ),1948974.640000000130385,2449598.919999999925494,1862980.839999999850988,2136757.419999999925494,1903374.320000000298023,1935237.459999999962747,12236927.600000001490116
FS( 124 ),1935254.000000000000000,2452343.200000000186265,1858537.500000000000000,2121782.019999999552965,1900234.700000000186265,1957976.919999999925494,12226132.339999999850988
FS( 125 ),1925287.119999999878928,2464438.359999999869615,1851670.520000000251457,2112116.080000000074506,1914030.000000000000000,1964737.300000000046566,12232283.380000000819564
