代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12356018.669999999925494
真實報酬,2356018.669999999925494

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,16757.079588343247451
風險,83085.476621857800637
起點值,0.201684822301842
找到最佳解世代,2372
找到最佳解實驗#,3
找到最佳解次數,9

stock[index](rank)
投資組合檔數,6
AXP[1](2),BA[2](1),MCD[15](8),PFE[20](11),UNH[23](4),V[25](3),
FS( 24 ),1807399.510000000009313,1795583.530000000027940,1674102.480000000214204,1714051.359999999869615,1747123.599999999860302,1642382.700000000186265,10380647.179999999701977
FS( 25 ),1782914.859999999869615,1792647.519999999785796,1674321.200000000186265,1692651.519999999785796,1734966.799999999813735,1629105.500000000000000,10306611.399999998509884
FS( 26 ),1795476.550000000046566,1800565.850000000093132,1709097.680000000400469,1699275.280000000027940,1744432.399999999906868,1640810.400000000139698,10389662.160000002011657
FS( 27 ),1794837.820000000065193,1814712.080000000074506,1700895.680000000400469,1702332.399999999674037,1735059.599999999860302,1661250.300000000046566,10409091.880000000819564
FS( 28 ),1791857.079999999841675,1835264.150000000139698,1694224.720000000204891,1690103.919999999925494,1725779.599999999860302,1666840.699999999953434,10404074.169999999925494
FS( 29 ),1805909.139999999897555,1836776.639999999897555,1712487.840000000316650,1692651.519999999785796,1732646.799999999813735,1680292.600000000093132,10460768.539999999105930
FS( 30 ),1817619.190000000176951,1834908.269999999785796,1695646.400000000139698,1695708.639999999897555,1721417.999999999767169,1676099.800000000046566,10441404.300000000745058
FS( 31 ),1815703.000000000000000,1855193.429999999934807,1698271.040000000270084,1703351.439999999711290,1734595.599999999860302,1693395.100000000093132,10500513.609999999403954
FS( 32 ),1814425.540000000037253,1859552.959999999962747,1698052.320000000065193,1694180.079999999841675,1729491.599999999860302,1691648.099999999860302,10487354.599999999627471
FS( 33 ),1820812.839999999850988,1852791.239999999990687,1683835.520000000251457,1699784.799999999813735,1734131.599999999860302,1704750.599999999860302,10496110.599999999627471
FS( 34 ),1829542.150000000139698,1876279.319999999832362,1683070.000000000000000,1713032.319999999599531,1755846.799999999813735,1716455.500000000000000,10574230.089999999850988
FS( 35 ),1817193.369999999878928,1870941.119999999878928,1686569.520000000251457,1708956.159999999683350,1777283.599999999860302,1714009.699999999953434,10574957.469999998807907
FS( 36 ),1822303.210000000195578,1887489.539999999804422,1683398.080000000074506,1705899.039999999571592,1779881.999999999767169,1740040.000000000000000,10619015.869999999180436
FS( 37 ),1809741.520000000018626,1887845.419999999925494,1660760.560000000055879,1697746.719999999972060,1771622.799999999813735,1753491.900000000139698,10581212.919999999925494
FS( 38 ),1818470.829999999841675,1890336.580000000074506,1739718.480000000214204,1686537.280000000027940,1767075.599999999860302,1746853.299999999813735,10648996.070000000298023
FS( 39 ),1816128.820000000065193,2077084.609999999869615,1711722.320000000065193,1675837.359999999869615,1770323.599999999860302,1761877.500000000000000,10812978.209999999031425
FS( 40 ),1785256.869999999878928,2144256.959999999962747,1716534.160000000149012,1681442.079999999841675,1753434.000000000000000,1739515.899999999906868,10820443.970000000670552
FS( 41 ),1805483.320000000065193,2146659.149999999906868,1704504.560000000055879,1689084.879999999655411,1774035.599999999860302,1732178.500000000000000,10851950.009999999776483
FS( 42 ),1814638.450000000186265,2157246.580000000074506,1696740.000000000000000,1689594.399999999674037,1780160.399999999906868,1739341.199999999953434,10877725.029999999329448
FS( 43 ),1814851.359999999869615,2130377.640000000130385,1684710.400000000139698,1685518.239999999757856,1784057.999999999767169,1762226.900000000139698,10861746.540000000968575
FS( 44 ),1816128.820000000065193,2117121.109999999869615,1712597.200000000186265,1677365.919999999925494,1791203.599999999860302,1769389.600000000093132,10883810.250000000000000
FS( 45 ),1821238.660000000149012,2119790.209999999962747,1692146.880000000121072,1703351.439999999711290,1807629.199999999953434,1757335.300000000046566,10901495.689999999478459
FS( 46 ),1830393.790000000037253,2114985.830000000074506,1682304.480000000214204,1714051.359999999869615,1808649.999999999767169,1762576.300000000046566,10912965.760000001639128
FS( 47 ),1827838.869999999878928,2137406.270000000018626,1694880.880000000121072,1697237.199999999953434,1807721.999999999767169,1773058.299999999813735,10938147.519999999552965
FS( 48 ),1829755.060000000055879,2130911.459999999962747,1694334.080000000074506,1695708.639999999897555,1808835.599999999860302,1769389.600000000093132,10928938.439999999478459
FS( 49 ),1824432.310000000055879,2084736.030000000027940,1694334.080000000074506,1704370.479999999981374,1808186.000000000000000,1763973.899999999906868,10880036.800000000745058
FS( 50 ),1800373.479999999981374,2072013.319999999832362,1712925.280000000260770,1702841.919999999925494,1787213.199999999720603,1738118.299999999813735,10813489.500000000000000
FS( 51 ),1794624.910000000149012,2089807.319999999832362,1720361.760000000242144,1694180.079999999841675,1791389.199999999953434,1748600.300000000046566,10838967.570000000298023
FS( 52 ),1819748.290000000037253,2110003.510000000242144,1719924.320000000065193,1697237.199999999953434,1797792.399999999906868,1779696.900000000139698,10924406.620000001043081
FS( 53 ),1847852.410000000149012,2127975.449999999720603,1723861.280000000260770,1700803.840000000083819,1805123.599999999860302,1792974.099999999860302,10998594.679999999701977
FS( 54 ),1860627.010000000009313,2113918.189999999944121,1737859.360000000335276,1699784.799999999813735,1798349.199999999953434,1805028.399999999906868,11015570.960000000894070
FS( 55 ),1832948.710000000195578,2096124.189999999944121,1726814.000000000000000,1678894.479999999981374,1788419.599999999860302,1784763.199999999953434,10907968.179999999701977
FS( 56 ),1817832.099999999860302,2097725.649999999906868,1725392.320000000065193,1664627.919999999925494,1770973.199999999720603,1790877.700000000186265,10867432.890000000596046
FS( 57 ),1816128.820000000065193,2096924.919999999925494,1731953.920000000391155,1669213.599999999627471,1782201.999999999767169,1803281.399999999906868,10899708.660000000149012
FS( 58 ),1816128.820000000065193,2133135.709999999962747,1745952.000000000000000,1689084.879999999655411,1807814.799999999813735,1818130.899999999906868,11010251.110000001266599
FS( 59 ),1815703.000000000000000,2118366.689999999944121,1736875.120000000111759,1693670.560000000055879,1802710.800000000046566,1802582.600000000093132,10969912.770000001415610
FS( 60 ),1817406.280000000027940,2124149.740000000223517,1732500.720000000204891,1693161.039999999571592,1807443.599999999860302,1803281.399999999906868,10977946.779999999329448
FS( 61 ),1819748.290000000037253,2098793.290000000037253,1736984.480000000214204,1701313.359999999869615,1803824.399999999906868,1805552.500000000000000,10966220.320000000298023
FS( 62 ),1818470.829999999841675,2110270.419999999925494,1746280.080000000074506,1705389.519999999785796,1810598.799999999813735,1813064.600000000093132,11004078.249999998137355
FS( 63 ),1818683.739999999990687,2139719.490000000223517,1743108.640000000130385,1706918.079999999841675,1825817.999999999767169,1812889.899999999906868,11047141.850000001490116
FS( 64 ),1824432.310000000055879,2139452.580000000074506,1744749.040000000270084,1704370.479999999981374,1817929.999999999767169,1812191.100000000093132,11043129.509999999776483
FS( 65 ),1833161.619999999878928,2132334.979999999981374,1749560.880000000121072,1728317.919999999925494,1845955.599999999860302,1808522.399999999906868,11097857.400000000372529
FS( 66 ),1834013.260000000009313,2138295.970000000204891,1747811.120000000111759,1730356.000000000000000,1853843.599999999860302,1815161.000000000000000,11119484.950000001117587
FS( 67 ),1816341.729999999981374,2108668.959999999962747,1740046.560000000055879,1722203.679999999701977,1849760.399999999906868,1799612.700000000186265,11036638.030000001192093
FS( 68 ),1814638.450000000186265,2087494.100000000093132,1730422.880000000121072,1731884.560000000055879,1841129.999999999767169,1802582.600000000093132,11008156.589999999850988
FS( 69 ),1797179.829999999841675,2102530.029999999795109,1748795.360000000335276,1731884.560000000055879,1839181.199999999720603,1826691.199999999953434,11046266.179999997839332
FS( 70 ),1793773.270000000018626,2124505.620000000111759,1746717.520000000251457,1737489.280000000027940,1835283.599999999860302,1824420.100000000093132,11062193.390000000596046
FS( 71 ),1824432.310000000055879,2140609.189999999944121,1766621.040000000270084,1748698.719999999972060,1852266.000000000000000,1854468.500000000000000,11187099.759999999776483
FS( 72 ),1842742.570000000065193,2140520.220000000204891,1709753.840000000316650,1802198.319999999599531,1832685.199999999953434,1855516.699999999953434,11183420.849999999627471
FS( 73 ),1844658.760000000009313,2152531.169999999925494,1717080.960000000195578,1786403.199999999953434,1840666.000000000000000,1848878.099999999860302,11190222.189999999478459
FS( 74 ),1835077.810000000055879,2181891.270000000018626,1717080.960000000195578,1820541.039999999571592,1835097.999999999767169,1853245.599999999860302,11242938.679999999701977
FS( 75 ),1852110.609999999869615,2215432.959999999962747,1716206.080000000074506,1801688.799999999813735,1839274.000000000000000,1839619.000000000000000,11264335.449999999254942
FS( 76 ),1870846.690000000176951,2251732.720000000204891,1713581.440000000176951,1811369.679999999701977,1839366.799999999813735,1831408.099999999860302,11318309.429999999701977
FS( 77 ),1894905.520000000018626,2246216.580000000074506,1721783.440000000176951,1806274.479999999981374,1806515.599999999860302,1841540.699999999953434,11317240.319999998435378
FS( 78 ),1882769.650000000139698,2272907.580000000074506,1748576.640000000130385,1833788.560000000055879,1816723.599999999860302,1841540.699999999953434,11396310.730000000447035
FS( 79 ),1882556.739999999990687,2278067.840000000316650,1739281.040000000270084,1832769.519999999785796,1811712.399999999906868,1839793.699999999953434,11384185.239999998360872
FS( 80 ),1882130.920000000158325,2281715.609999999869615,1737968.720000000204891,1832260.000000000000000,1791481.999999999767169,1844161.199999999953434,11369722.449999999254942
FS( 81 ),1878085.629999999888241,2262765.000000000000000,1708988.320000000065193,1809331.599999999627471,1779603.599999999860302,1799787.399999999906868,11238565.550000000745058
FS( 82 ),1888305.310000000055879,2257248.859999999869615,1677164.560000000055879,1798631.679999999701977,1788419.599999999860302,1798389.800000000046566,11208163.810000000521541
FS( 83 ),1905338.109999999869615,2271306.120000000111759,1684819.760000000242144,1806274.479999999981374,1805030.800000000046566,1814986.300000000046566,11287759.570000002160668
FS( 84 ),1919177.260000000009313,2262320.149999999906868,1722439.600000000325963,1813917.280000000027940,1819971.599999999860302,1827040.599999999860302,11364870.490000000223517
FS( 85 ),1925990.379999999888241,2261786.330000000074506,1713581.440000000176951,1819012.479999999981374,1817651.599999999860302,1827040.599999999860302,11365066.830000000074506
FS( 86 ),1927693.660000000149012,2277622.990000000223517,1716643.520000000251457,1837864.719999999972060,1832406.799999999813735,1842064.800000000046566,11434300.490000002086163
FS( 87 ),1946642.650000000139698,2272907.580000000074506,1715549.920000000391155,1841431.359999999869615,1843449.999999999767169,1844685.300000000046566,11464670.810000000521541
FS( 88 ),1937700.430000000167638,2275576.679999999701977,1719377.520000000251457,1832260.000000000000000,1860617.999999999767169,1839793.699999999953434,11465330.329999998211861
FS( 89 ),1940894.079999999841675,2303424.290000000037253,1736765.760000000242144,1834298.079999999841675,1836675.599999999860302,1856040.799999999813735,11508102.609999999403954
FS( 90 ),1949197.570000000065193,2300666.219999999739230,1745514.560000000055879,1836845.679999999701977,1838160.399999999906868,1864601.100000000093132,11534989.529999999329448
FS( 91 ),1952178.310000000055879,2298975.790000000037253,1751201.280000000260770,1841431.359999999869615,1821827.599999999860302,1869492.700000000186265,11535111.039999999105930
FS( 92 ),1956436.510000000009313,2321574.169999999925494,1756231.840000000316650,1854678.879999999655411,1806794.000000000000000,1874733.699999999953434,11570453.099999997764826
FS( 93 ),1957926.879999999888241,2326111.640000000130385,1784337.360000000335276,1857226.479999999981374,1812176.399999999674037,1894474.800000000046566,11632257.560000000521541
FS( 94 ),1950475.030000000027940,2330293.229999999981374,1792648.720000000204891,1852131.280000000027940,1790461.199999999720603,1888709.699999999953434,11604723.160000000149012
FS( 95 ),1977088.780000000027940,2319883.740000000223517,1808615.280000000260770,1851621.760000000009313,1786749.199999999953434,1898318.199999999953434,11642280.959999999031425
FS( 96 ),1957926.879999999888241,2311075.709999999962747,1804678.320000000065193,1833279.039999999571592,1793059.599999999860302,1892029.000000000000000,11592052.549999998882413
FS( 97 ),1952178.310000000055879,2301022.100000000093132,1808943.360000000335276,1844488.479999999981374,1892262.799999999813735,1878751.800000000046566,11677650.850000001490116
FS( 98 ),1960481.800000000046566,2313655.840000000316650,1812989.680000000400469,1825636.239999999757856,1904697.999999999767169,1883294.000000000000000,11700759.560000000521541
FS( 99 ),1956649.420000000158325,2304758.840000000316650,1820972.960000000195578,1846526.560000000055879,1886323.599999999860302,1869667.399999999906868,11684902.780000001192093
FS( 100 ),1960694.710000000195578,2355560.709999999962747,1818785.760000000242144,1855697.919999999925494,1925670.800000000046566,1878926.500000000000000,11795340.400000000372529
FS( 101 ),1966869.099999999860302,2333941.000000000000000,1786415.200000000186265,1854678.879999999655411,1921216.399999999674037,1878577.100000000093132,11741701.679999999701977
FS( 102 ),1998379.780000000027940,2366681.959999999962747,1792320.640000000130385,1848055.120000000111759,1931795.599999999860302,1893950.699999999953434,11831187.800000000745058
FS( 103 ),1991353.750000000000000,2299242.700000000186265,1789039.840000000316650,1842450.399999999674037,1926320.399999999906868,1912818.299999999813735,11761229.390000000596046
FS( 104 ),2037342.310000000055879,2306805.149999999906868,1793742.320000000065193,1821050.560000000055879,1941075.599999999860302,1918234.000000000000000,11818253.939999999478459
FS( 105 ),2039471.410000000149012,2281804.579999999608845,1808834.000000000000000,1813917.280000000027940,1973091.599999999860302,1916661.699999999953434,11833784.570000000298023
FS( 106 ),2024141.889999999897555,2306627.209999999962747,1818020.239999999990687,1790988.879999999655411,1943302.799999999813735,1922426.800000000046566,11805511.820000000298023
FS( 107 ),2033722.839999999850988,2295328.020000000018626,1825456.720000000204891,1786403.199999999953434,1951005.199999999953434,1921378.600000000093132,11813298.580000000074506
FS( 108 ),2039471.410000000149012,2299954.459999999962747,1819551.280000000260770,1796593.599999999627471,1944601.999999999767169,1940420.899999999906868,11840597.650000000372529
FS( 109 ),2043516.700000000186265,2336699.069999999832362,1838470.560000000055879,1806784.000000000000000,1959171.599999999860302,1938848.600000000093132,11923494.529999999329448
FS( 110 ),2053097.650000000139698,2328869.709999999962747,1844485.360000000335276,1811369.679999999701977,1975597.199999999953434,1945487.199999999953434,11958910.799999998882413
FS( 111 ),2050116.910000000149012,2349510.750000000000000,1860014.480000000214204,1799650.719999999972060,1968637.199999999953434,1955270.400000000139698,11983204.460000000894070
FS( 112 ),2030529.190000000176951,2367838.569999999832362,1867669.680000000400469,1801688.799999999813735,1974019.599999999860302,1958240.300000000046566,11999990.140000000596046
FS( 113 ),2025419.349999999860302,2362856.250000000000000,1860342.560000000055879,1800669.760000000009313,1956109.199999999953434,1964878.899999999906868,11970280.019999999552965
FS( 114 ),1996037.770000000018626,2337321.859999999869615,1826440.960000000195578,1793536.479999999981374,1963440.399999999906868,1959113.800000000046566,11875895.270000001415610
FS( 115 ),1991140.839999999850988,2320862.410000000149012,1811021.200000000186265,1792517.439999999711290,1958893.199999999720603,1954571.599999999860302,11829010.689999999478459
FS( 116 ),1999231.420000000158325,2334830.700000000186265,1830487.280000000260770,1798631.679999999701977,1973648.399999999906868,1946186.000000000000000,11883019.480000000447035
FS( 117 ),1996250.680000000167638,2328958.679999999701977,1838579.920000000391155,1802707.840000000083819,1964832.399999999906868,1956318.600000000093132,11887652.119999999180436
FS( 118 ),1985605.180000000167638,2338745.379999999888241,1829940.480000000214204,1801688.799999999813735,1947664.399999999906868,1926095.500000000000000,11829743.740000000223517
FS( 119 ),1991992.479999999981374,2346218.859999999869615,1838361.200000000186265,1811879.199999999953434,1959449.999999999767169,1939547.399999999906868,11887453.140000000596046
FS( 120 ),1994760.310000000055879,2333407.179999999701977,1823378.880000000121072,1802198.319999999599531,1948035.599999999860302,1918583.399999999906868,11820367.689999999478459
FS( 121 ),2000295.969999999972060,2354493.069999999832362,1825675.440000000176951,1801179.280000000027940,1951283.599999999860302,1920854.500000000000000,11853785.860000001266599
FS( 122 ),2010089.829999999841675,2375489.990000000223517,1840657.760000000242144,1810860.159999999683350,1973091.599999999860302,1947059.500000000000000,11957252.839999999850988
FS( 123 ),1997528.139999999897555,2359119.509999999776483,1848859.760000000242144,1805255.439999999711290,1960285.199999999953434,1936053.399999999906868,11907105.449999999254942
FS( 124 ),1990289.200000000186265,2365614.319999999832362,1849515.920000000391155,1808312.560000000055879,1972256.399999999674037,1956143.899999999906868,11942136.300000000745058
FS( 125 ),1990076.290000000037253,2362945.219999999739230,1847875.520000000251457,1808312.560000000055879,1971235.599999999860302,1963306.599999999860302,11943755.789999999105930
FS( 126 ),2028613.000000000000000,2384386.990000000223517,1873903.200000000186265,1826655.280000000027940,2005942.799999999813735,1980427.199999999953434,12099932.469999998807907
FS( 127 ),2056717.119999999878928,2396042.060000000055879,1863951.440000000176951,1844998.000000000000000,2068489.999999999767169,1919282.199999999953434,12149484.819999998435378
FS( 128 ),2080350.129999999888241,2462769.560000000055879,1880792.880000000121072,1847545.599999999627471,2117581.200000000186265,1966975.300000000046566,12356018.669999999925494
