代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11625148.330000000074506
真實報酬,1625148.330000000074506

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,13116.332828409802460
風險,69464.384794547557249
起點值,0.188820974477835
找到最佳解世代,2868
找到最佳解實驗#,1
找到最佳解次數,47

stock[index](rank)
投資組合檔數,8
AXP[1](6),BA[2](2),HD[9](20),JNJ[12](7),MCD[15](4),MRK[17](22),UNH[23](3),V[25](1),
FS( 39 ),1297170.239999999990687,1385963.520000000018626,1226495.500000000000000,1382654.060000000055879,1369453.949999999953434,1325743.639999999897555,1326314.939999999944121,1309171.040000000037253,10622966.890000000596046
FS( 40 ),1308844.479999999981374,1370544.270000000018626,1227387.049999999813735,1381742.000000000000000,1363432.550000000046566,1320934.520000000018626,1325384.270000000018626,1304240.120000000111759,10602509.259999997913837
FS( 41 ),1310737.600000000093132,1363074.500000000000000,1234033.150000000139698,1368263.779999999795109,1361307.350000000093132,1313320.080000000074506,1321661.589999999850988,1299857.080000000074506,10572255.129999998956919
FS( 42 ),1324778.239999999990687,1368077.190000000176951,1242057.099999999860302,1356204.319999999832362,1366443.250000000000000,1305705.639999999897555,1329536.489999999757856,1318074.090000000083819,10610876.319999998435378
FS( 43 ),1319414.399999999906868,1353274.710000000195578,1233384.750000000000000,1344246.199999999720603,1356082.899999999906868,1289274.480000000214204,1326458.120000000111759,1293282.520000000018626,10515418.080000001937151
FS( 44 ),1329037.760000000009313,1355262.080000000074506,1243434.949999999953434,1340699.299999999813735,1356348.550000000046566,1284264.980000000214204,1327531.969999999739230,1284516.439999999944121,10521096.029999999329448
FS( 45 ),1342605.119999999878928,1361018.600000000093132,1248378.999999999767169,1346881.040000000037253,1350504.250000000000000,1287871.820000000065193,1336337.540000000037253,1278626.729999999981374,10552224.100000001490116
FS( 46 ),1339292.159999999916181,1383085.260000000009313,1237680.399999999906868,1354380.199999999720603,1355551.599999999860302,1285667.639999999897555,1347791.939999999944121,1287666.750000000000000,10591115.949999999254942
FS( 47 ),1321149.760000000009313,1380823.770000000018626,1232493.199999999953434,1343030.120000000111759,1355728.699999999953434,1264427.360000000102445,1338413.649999999906868,1277257.030000000027940,10513323.589999999850988
FS( 48 ),1330457.600000000093132,1386922.940000000176951,1233952.099999999860302,1343232.799999999813735,1383887.600000000093132,1265629.639999999897555,1345715.830000000074506,1286434.020000000018626,10576232.529999997466803
FS( 49 ),1329984.320000000065193,1397819.210000000195578,1225441.850000000093132,1333200.140000000130385,1377246.350000000093132,1259017.100000000093132,1338485.239999999757856,1302459.510000000009313,10563653.720000000670552
FS( 50 ),1327775.679999999934807,1413649.640000000130385,1220740.949999999953434,1329957.259999999776483,1371844.800000000046566,1249198.480000000214204,1331326.239999999757856,1306842.550000000046566,10551335.600000001490116
FS( 51 ),1338187.839999999850988,1414814.650000000139698,1236869.899999999906868,1340091.259999999776483,1386632.650000000139698,1258015.200000000186265,1336623.899999999906868,1317389.240000000223517,10628624.640000000596046
FS( 52 ),1346864.640000000130385,1413375.520000000018626,1242543.399999999906868,1336341.680000000167638,1372995.949999999953434,1260219.380000000121072,1327961.509999999776483,1314101.959999999962747,10614404.039999999105930
FS( 53 ),1345444.800000000046566,1429000.360000000102445,1239220.349999999860302,1343840.839999999850988,1375121.149999999906868,1263625.840000000083819,1338127.290000000037253,1327661.990000000223517,10662042.619999999180436
FS( 54 ),1344498.239999999990687,1432358.330000000074506,1247406.399999999906868,1339280.540000000037253,1374944.049999999813735,1254608.739999999990687,1334189.839999999850988,1326292.290000000037253,10653578.429999999701977
FS( 55 ),1349231.040000000037253,1427150.050000000046566,1233465.799999999813735,1362690.080000000074506,1363432.550000000046566,1250601.139999999897555,1337769.339999999850988,1336565.040000000037253,10660905.039999999105930
FS( 56 ),1355699.200000000186265,1445241.969999999972060,1242624.449999999953434,1370290.580000000074506,1362812.699999999953434,1254809.120000000111759,1354521.399999999906868,1345742.030000000027940,10731741.449999999254942
FS( 57 ),1346549.119999999878928,1441130.170000000158325,1191806.099999999860302,1384072.819999999832362,1365646.300000000046566,1261221.280000000027940,1371058.689999999944121,1343824.449999999953434,10705308.929999997839332
FS( 58 ),1350335.360000000102445,1453876.750000000000000,1188726.199999999953434,1371303.979999999981374,1363078.349999999860302,1255009.500000000000000,1373063.209999999962747,1364232.979999999981374,10719626.330000001937151
FS( 59 ),1341027.520000000018626,1454150.870000000111759,1171948.850000000093132,1347995.779999999795109,1344748.500000000000000,1253807.219999999972060,1366691.699999999953434,1374779.670000000158325,10655150.109999999403954
FS( 60 ),1347495.679999999934807,1456069.710000000195578,1191319.800000000046566,1336544.359999999869615,1408681.599999999860302,1249599.239999999990687,1363183.790000000037253,1369574.810000000055879,10722468.990000000223517
FS( 61 ),1345760.320000000065193,1599914.179999999934807,1189050.399999999906868,1327119.739999999757856,1386012.799999999813735,1238377.959999999962747,1365689.439999999944121,1381354.229999999981374,10833279.070000000298023
FS( 62 ),1322885.119999999878928,1651654.330000000074506,1197479.599999999860302,1325903.660000000149012,1389909.000000000000000,1276249.780000000027940,1352660.060000000055879,1363822.069999999832362,10880563.620000001043081
FS( 63 ),1337872.320000000065193,1653504.640000000130385,1200316.350000000093132,1336240.339999999850988,1380168.500000000000000,1284665.739999999990687,1368553.040000000037253,1358069.330000000074506,10919390.259999999776483
FS( 64 ),1344656.000000000000000,1661659.710000000195578,1212635.949999999953434,1345056.919999999925494,1373881.449999999953434,1280057.000000000000000,1373277.979999999981374,1363685.100000000093132,10954910.109999999403954
FS( 65 ),1344813.760000000009313,1640963.650000000139698,1214662.199999999953434,1342928.779999999795109,1364140.949999999953434,1280858.520000000018626,1376284.759999999776483,1381628.170000000158325,10946280.790000000968575
FS( 66 ),1345760.320000000065193,1630752.679999999934807,1219930.449999999953434,1339381.879999999888241,1386721.199999999953434,1271240.280000000027940,1381797.189999999944121,1387243.939999999944121,10962827.939999999478459
FS( 67 ),1349546.560000000055879,1632808.580000000074506,1222280.899999999906868,1351441.339999999850988,1370162.350000000093132,1272843.320000000065193,1394468.620000000111759,1377793.010000000009313,10971344.680000001564622
FS( 68 ),1356330.239999999990687,1629107.960000000195578,1238166.699999999953434,1349718.560000000055879,1362192.849999999860302,1264427.360000000102445,1395256.109999999869615,1381902.110000000102445,10977101.890000000596046
FS( 69 ),1354437.119999999878928,1646377.520000000018626,1243029.699999999953434,1346475.680000000167638,1372376.100000000093132,1259217.480000000214204,1394540.209999999962747,1390120.310000000055879,11006574.119999999180436
FS( 70 ),1355856.959999999962747,1641374.830000000074506,1243029.699999999953434,1340496.620000000111759,1371933.349999999860302,1248797.719999999972060,1395399.290000000037253,1387243.939999999944121,10984132.409999998286366
FS( 71 ),1351912.959999999962747,1605807.760000000009313,1258510.249999999767169,1350225.259999999776483,1371933.349999999860302,1252204.180000000167638,1394898.160000000149012,1382997.870000000111759,10968489.789999999105930
FS( 72 ),1334086.080000000074506,1596007.969999999972060,1247325.349999999860302,1348806.500000000000000,1386986.850000000093132,1245992.400000000139698,1378718.819999999832362,1362726.310000000055879,10900650.280000001192093
FS( 73 ),1329826.560000000055879,1609713.969999999972060,1255430.349999999860302,1348907.839999999850988,1393008.250000000000000,1250000.000000000000000,1381940.370000000111759,1370944.510000000009313,10939771.849999999627471
FS( 74 ),1348442.239999999990687,1625270.280000000027940,1250405.249999999767169,1352758.759999999776483,1392654.049999999813735,1255811.020000000018626,1386880.080000000074506,1395325.170000000158325,11007546.849999999627471
FS( 75 ),1369266.560000000055879,1639113.340000000083819,1217255.799999999813735,1351745.359999999869615,1395841.850000000093132,1252404.560000000055879,1392535.689999999944121,1405734.889999999897555,11023898.050000000745058
FS( 76 ),1378732.159999999916181,1628285.600000000093132,1234114.199999999953434,1359751.219999999739230,1407176.250000000000000,1256412.160000000149012,1387309.620000000111759,1415185.819999999832362,11066967.030000001192093
FS( 77 ),1358223.360000000102445,1614579.600000000093132,1213203.299999999813735,1348299.799999999813735,1398232.699999999953434,1239179.480000000214204,1379649.489999999757856,1399297.300000000046566,10950665.030000001192093
FS( 78 ),1347022.399999999906868,1615813.140000000130385,1195534.400000000139698,1344144.859999999869615,1397081.549999999813735,1232166.180000000167638,1366190.569999999832362,1404091.250000000000000,10902044.350000001490116
FS( 79 ),1345760.320000000065193,1615196.370000000111759,1209393.949999999953434,1352454.739999999757856,1402394.550000000046566,1241784.419999999925494,1374852.959999999962747,1413816.120000000111759,10955653.429999999701977
FS( 80 ),1345760.320000000065193,1643088.080000000074506,1215148.500000000000000,1365122.239999999757856,1413728.949999999953434,1250801.520000000018626,1394611.799999999813735,1425458.569999999832362,11053719.980000000447035
FS( 81 ),1345444.800000000046566,1631712.100000000093132,1208583.449999999953434,1345867.640000000130385,1406379.300000000046566,1245391.260000000009313,1390674.350000000093132,1413268.240000000223517,10987321.140000000596046
FS( 82 ),1346706.880000000121072,1636166.550000000046566,1201694.199999999953434,1346779.699999999720603,1402837.300000000046566,1256612.540000000037253,1394325.439999999944121,1413816.120000000111759,10998938.730000000447035
FS( 83 ),1348442.239999999990687,1616635.500000000000000,1213041.199999999953434,1334517.560000000055879,1406467.849999999860302,1261221.280000000027940,1391533.429999999934807,1415596.729999999981374,10987455.790000000968575
FS( 84 ),1347495.679999999934807,1625475.870000000111759,1227143.899999999906868,1335125.600000000093132,1413994.599999999860302,1268835.719999999972060,1396759.500000000000000,1421486.439999999944121,11036317.309999996796250
FS( 85 ),1347653.439999999944121,1648159.300000000046566,1214581.149999999906868,1339888.580000000074506,1411426.649999999906868,1264828.120000000111759,1408500.259999999776483,1421349.469999999972060,11056386.970000000670552
FS( 86 ),1351912.959999999962747,1647953.710000000195578,1215877.949999999953434,1328335.819999999832362,1412754.899999999906868,1264828.120000000111759,1402415.109999999869615,1420801.590000000083819,11044880.160000000149012
FS( 87 ),1358381.119999999878928,1642471.310000000055879,1214824.300000000046566,1341510.020000000018626,1416651.100000000093132,1279656.239999999990687,1424035.290000000037253,1417925.219999999972060,11095454.599999999627471
FS( 88 ),1359012.159999999916181,1647062.820000000065193,1222199.849999999860302,1327930.459999999962747,1415234.300000000046566,1279055.100000000093132,1430120.439999999944121,1423130.080000000074506,11103745.209999999031425
FS( 89 ),1345918.080000000074506,1624242.330000000074506,1239625.600000000093132,1316479.040000000037253,1408947.250000000000000,1274847.120000000111759,1426970.479999999981374,1410939.750000000000000,11047969.650000000372529
FS( 90 ),1344656.000000000000000,1607932.190000000176951,1269046.750000000000000,1324282.219999999739230,1401154.850000000093132,1282461.560000000055879,1420312.609999999869615,1413268.240000000223517,11063114.419999999925494
FS( 91 ),1331719.679999999934807,1619513.760000000009313,1280150.600000000093132,1339685.899999999906868,1416031.250000000000000,1288873.719999999972060,1418809.219999999739230,1432170.100000000093132,11126954.229999998584390
FS( 92 ),1329195.520000000018626,1636440.670000000158325,1294172.250000000000000,1327423.759999999776483,1414348.800000000046566,1287871.820000000065193,1415802.439999999944121,1430389.490000000223517,11135644.750000000000000
FS( 93 ),1351912.959999999962747,1648844.600000000093132,1283716.800000000046566,1350022.580000000074506,1430464.899999999906868,1305104.500000000000000,1428903.410000000149012,1453948.330000000074506,11252918.080000000074506
FS( 94 ),1365480.320000000065193,1648776.070000000065193,1296198.500000000000000,1344144.859999999869615,1384418.900000000139698,1311717.040000000037253,1413797.919999999925494,1454770.149999999906868,11219303.759999999776483
FS( 95 ),1366900.159999999916181,1658027.620000000111759,1297090.050000000046566,1342320.739999999757856,1390351.750000000000000,1311516.660000000149012,1419954.660000000149012,1449565.290000000037253,11235726.929999999701977
FS( 96 ),1359800.959999999962747,1680642.520000000018626,1291902.849999999860302,1359852.560000000055879,1390351.750000000000000,1324942.120000000111759,1415659.259999999776483,1452989.540000000037253,11276141.560000002384186
FS( 97 ),1372421.760000000009313,1706478.330000000074506,1283959.949999999953434,1362588.739999999757856,1389643.349999999860302,1325743.639999999897555,1418880.810000000055879,1442305.879999999888241,11302022.460000000894070
FS( 98 ),1386304.640000000130385,1734438.570000000065193,1279178.000000000000000,1372013.359999999869615,1387518.150000000139698,1322337.179999999934807,1418952.399999999906868,1435868.290000000037253,11336610.589999999850988
FS( 99 ),1404131.520000000018626,1730189.710000000195578,1277962.250000000000000,1370391.919999999925494,1394159.400000000139698,1321535.660000000149012,1393609.540000000037253,1443812.550000000046566,11335792.550000000745058
FS( 100 ),1395139.200000000186265,1750748.710000000195578,1286229.350000000093132,1350123.919999999925494,1415854.149999999906868,1318329.580000000074506,1401484.439999999944121,1443812.550000000046566,11361721.900000000372529
FS( 101 ),1394981.439999999944121,1754723.450000000186265,1290362.899999999906868,1335226.939999999944121,1408327.399999999906868,1314522.359999999869615,1397618.580000000074506,1442442.850000000093132,11338205.919999999925494
FS( 102 ),1394665.920000000158325,1757533.179999999934807,1296684.800000000046566,1331578.699999999720603,1407264.800000000046566,1305104.500000000000000,1382011.959999999962747,1445867.100000000093132,11320710.959999999031425
FS( 103 ),1391668.479999999981374,1742936.290000000037253,1305843.449999999953434,1329349.219999999739230,1383799.049999999813735,1306106.400000000139698,1372848.439999999944121,1411076.719999999972060,11243628.049999998882413
FS( 104 ),1399240.959999999962747,1738687.429999999934807,1307140.249999999767169,1327018.399999999906868,1358031.000000000000000,1297690.440000000176951,1379649.489999999757856,1409980.959999999962747,11217438.929999999701977
FS( 105 ),1411861.760000000009313,1749515.170000000158325,1304384.549999999813735,1314958.939999999944121,1364229.500000000000000,1293883.219999999972060,1392464.100000000093132,1422993.110000000102445,11254290.349999999627471
FS( 106 ),1422116.159999999916181,1742593.640000000130385,1316055.750000000000000,1312121.419999999925494,1394690.700000000186265,1288272.580000000074506,1403990.089999999850988,1432444.040000000037253,11312284.379999998956919
FS( 107 ),1427164.479999999981374,1742182.460000000195578,1325781.750000000000000,1317593.779999999795109,1387518.150000000139698,1283062.700000000186265,1402200.339999999850988,1432444.040000000037253,11317947.699999999254942
FS( 108 ),1428426.560000000055879,1754380.800000000046566,1329510.050000000046566,1329855.919999999925494,1389997.550000000046566,1293482.459999999962747,1413583.149999999906868,1444223.459999999962747,11383459.949999999254942
FS( 109 ),1442467.200000000186265,1750748.710000000195578,1338830.799999999813735,1338773.839999999850988,1389112.050000000046566,1289875.620000000111759,1422102.359999999869615,1446278.010000000009313,11418188.589999997988343
FS( 110 ),1435841.280000000027940,1752804.610000000102445,1339803.399999999906868,1346779.699999999720603,1392211.300000000046566,1294484.359999999869615,1435346.509999999776483,1442442.850000000093132,11439714.009999999776483
FS( 111 ),1438207.679999999934807,1774254.500000000000000,1346530.550000000046566,1349819.899999999906868,1406290.750000000000000,1294484.359999999869615,1416876.290000000037253,1455181.060000000055879,11481645.089999997988343
FS( 112 ),1444360.320000000065193,1772130.070000000065193,1344342.199999999953434,1350123.919999999925494,1413374.750000000000000,1293482.459999999962747,1418021.729999999981374,1461892.590000000083819,11497728.039999999105930
FS( 113 ),1446568.959999999962747,1770828.000000000000000,1343207.500000000000000,1352454.739999999757856,1417979.350000000093132,1289074.100000000093132,1405421.890000000130385,1465727.750000000000000,11491262.289999999105930
FS( 114 ),1449724.159999999916181,1788234.620000000111759,1338749.750000000000000,1357015.040000000037253,1422052.650000000139698,1291679.040000000037253,1393824.310000000055879,1469836.850000000093132,11511116.420000001788139
FS( 115 ),1450828.479999999981374,1791729.650000000139698,1339479.199999999953434,1384883.540000000037253,1444810.000000000000000,1278053.200000000186265,1397976.529999999795109,1485314.459999999962747,11573075.059999998658895
FS( 116 ),1445306.880000000121072,1794950.560000000288710,1334129.899999999906868,1386707.660000000149012,1451539.800000000046566,1279055.100000000093132,1381224.469999999739230,1480794.449999999953434,11553708.820000000298023
FS( 117 ),1465026.880000000121072,1786932.550000000046566,1333157.300000000046566,1382654.060000000055879,1464468.100000000093132,1270238.380000000121072,1378360.870000000111759,1488327.800000000046566,11569165.940000001341105
FS( 118 ),1450828.479999999981374,1780148.080000000074506,1331131.050000000046566,1379512.520000000018626,1461280.299999999813735,1269236.480000000214204,1383228.989999999757856,1483396.879999999888241,11538762.780000001192093
FS( 119 ),1446568.959999999962747,1772404.190000000176951,1324079.699999999953434,1426838.299999999813735,1464733.750000000000000,1266831.919999999925494,1459758.699999999953434,1472987.160000000149012,11634202.679999999701977
FS( 120 ),1452721.600000000093132,1782135.450000000186265,1324890.199999999953434,1425723.560000000055879,1468010.100000000093132,1272642.939999999944121,1469351.759999999776483,1476548.379999999888241,11672023.989999998360872
FS( 121 ),1449881.920000000158325,1775282.450000000186265,1323188.150000000139698,1439505.799999999813735,1474474.250000000000000,1277452.060000000055879,1455176.939999999944121,1465864.719999999972060,11660826.290000000968575
FS( 122 ),1452879.360000000102445,1814413.080000000074506,1324728.100000000093132,1443154.040000000037253,1472703.250000000000000,1280057.000000000000000,1485531.100000000093132,1473124.129999999888241,11746590.060000002384186
FS( 123 ),1457454.399999999906868,1797760.290000000037253,1335345.650000000139698,1455517.520000000018626,1446492.449999999953434,1270438.760000000009313,1482094.779999999795109,1472850.189999999944121,11717954.039999999105930
FS( 124 ),1480802.880000000121072,1822979.330000000074506,1345801.099999999860302,1435452.199999999720603,1451274.149999999906868,1264627.739999999990687,1490256.040000000037253,1484903.550000000046566,11776096.990000002086163
FS( 125 ),1475596.800000000046566,1771033.590000000083819,1346125.299999999813735,1442748.680000000167638,1448617.650000000139698,1251402.660000000149012,1486032.229999999981374,1499696.310000000055879,11721253.220000000670552
FS( 126 ),1509672.959999999962747,1776858.639999999897555,1358931.199999999953434,1437174.979999999981374,1452425.299999999813735,1242185.180000000167638,1497415.040000000037253,1503942.379999999888241,11778605.679999999701977
FS( 127 ),1511250.560000000055879,1757601.709999999962747,1356418.649999999906868,1436870.959999999962747,1464645.199999999953434,1167042.680000000167638,1522113.589999999850988,1502709.649999999906868,11718653.000000000000000
FS( 128 ),1499891.839999999850988,1776721.580000000074506,1339965.500000000000000,1418832.439999999944121,1472083.399999999906868,1096308.540000000037253,1499133.199999999953434,1507229.660000000149012,11610166.160000000149012
FS( 129 ),1506991.040000000037253,1768018.270000000251457,1343774.849999999860302,1412853.379999999888241,1478104.800000000046566,1103922.980000000214204,1505075.169999999925494,1506407.840000000083819,11625148.330000000074506
