代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12425857.109999999403954
真實報酬,2425857.109999999403954

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,23197.744881296956009
風險,191309.648696549353190
起點值,0.121257579214380
找到最佳解世代,1863
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
HD[9](1),NKE[19](4),UNH[23](3),WMT[28](6),
FS( 35 ),2894658.729999999981374,2664104.919999999925494,2693578.180000000167638,2612183.500000000000000,10864525.330000000074506
FS( 36 ),2880552.580000000074506,2627637.160000000149012,2692657.840000000316650,2594166.149999999906868,10795013.730000000447035
FS( 37 ),2868013.779999999795109,2608752.070000000298023,2656457.800000000279397,2570029.699999999720603,10703253.349999999627471
FS( 38 ),2915974.689999999944121,2632195.630000000353903,2706156.160000000149012,2620342.299999999813735,10874668.780000001192093
FS( 39 ),2880866.050000000279397,2597030.290000000037253,2643879.820000000298023,2587707.100000000093132,10709483.259999999776483
FS( 40 ),2910332.229999999981374,2914169.560000000055879,2656764.580000000074506,2600285.249999999534339,11081551.620000001043081
FS( 41 ),2911586.109999999869615,2901796.570000000298023,2654003.560000000521541,2586347.299999999813735,11053733.539999999105930
FS( 42 ),2875850.529999999795109,2904401.410000000149012,2646027.280000000260770,2599605.349999999627471,11025884.569999998435378
FS( 43 ),2853280.689999999944121,2855560.660000000149012,2603998.419999999925494,2587707.100000000093132,10900546.869999999180436
FS( 44 ),2891524.029999999795109,2907657.459999999962747,2604611.980000000447035,2591446.549999999813735,10995240.019999999552965
FS( 45 ),2932275.130000000353903,2940217.959999999962747,2638971.340000000316650,2628501.099999999627471,11139965.529999999329448
FS( 46 ),2923497.970000000204891,2905052.620000000111759,2610440.800000000279397,2629520.949999999720603,11068512.339999999850988
FS( 47 ),2898733.839999999850988,2867933.649999999906868,2582830.600000000093132,2627821.199999999720603,10977319.289999999105930
FS( 48 ),2949515.979999999981374,2892679.630000000353903,2657378.140000000596046,2659776.499999999534339,11159350.250000000000000
FS( 49 ),2917542.039999999571592,2840582.830000000074506,2605839.100000000093132,2646858.399999999906868,11010822.369999999180436
FS( 50 ),2901241.600000000093132,2839280.410000000149012,2619644.200000000186265,2661476.250000000000000,11021642.460000000894070
FS( 51 ),2840114.949999999720603,2780671.510000000242144,2575467.880000000353903,2636659.899999999906868,10832914.240000000223517
FS( 52 ),2824441.449999999720603,2770903.359999999869615,2540801.740000000223517,2650937.799999999813735,10787084.349999999627471
FS( 53 ),2753910.699999999720603,2773508.200000000186265,2520554.260000000242144,2556431.699999999720603,10604404.859999999403954
FS( 54 ),2786198.109999999869615,2834070.730000000447035,2619644.200000000186265,2509518.599999999627471,10749431.640000000596046
FS( 55 ),2828830.029999999795109,2838629.200000000186265,2705235.820000000298023,2519037.199999999720603,10891732.250000000000000
FS( 56 ),2879298.699999999720603,2894633.260000000242144,2716279.900000000372529,2554391.999999999534339,11044603.859999999403954
FS( 57 ),2952964.149999999906868,2951288.530000000260770,2790213.880000000353903,2584307.599999999627471,11278774.160000000149012
FS( 58 ),2926005.729999999981374,2925891.339999999850988,2754013.840000000316650,2584647.549999999813735,11190558.460000000894070
FS( 59 ),2971772.350000000093132,2942822.799999999813735,2781317.260000000242144,2592126.449999999720603,11288038.859999999403954
FS( 60 ),2977728.279999999795109,2959754.260000000242144,2811381.700000000186265,2596545.799999999348074,11345410.039999999105930
FS( 61 ),2992774.839999999850988,2983849.030000000260770,2826413.919999999925494,2603684.750000000000000,11406722.539999999105930
FS( 62 ),3027883.479999999981374,3010548.639999999664724,2842059.700000000186265,2595525.949999999720603,11476017.769999999552965
FS( 63 ),3022554.490000000223517,2994268.389999999664724,2851876.660000000149012,2596885.749999999534339,11465585.289999999105930
FS( 64 ),3057036.189999999944121,3028131.310000000055879,2880100.419999999925494,2598925.449999999720603,11564193.369999999180436
FS( 65 ),3057036.189999999944121,3027480.100000000093132,2914766.560000000521541,2592806.349999999627471,11592089.200000001117587
FS( 66 ),3012209.979999999981374,3043109.139999999664724,2910164.860000000335276,2593146.299999999813735,11558630.280000001192093
FS( 67 ),3008134.869999999646097,3059389.389999999664724,2913846.220000000204891,2626461.399999999906868,11607831.880000000819564
FS( 68 ),3002492.410000000149012,3082832.950000000186265,2939002.180000000167638,2641419.199999999720603,11665746.740000000223517
FS( 69 ),3049826.380000000353903,3080228.109999999869615,2951580.160000000149012,2645158.649999999906868,11726793.300000000745058
FS( 70 ),3061111.300000000279397,3053528.500000000000000,2871817.360000000335276,2677793.849999999627471,11664251.009999999776483
FS( 71 ),3077098.270000000018626,3091949.889999999664724,2906790.280000000260770,2700570.499999999534339,11776408.940000001341105
FS( 72 ),3076471.330000000074506,3089345.049999999813735,2935627.600000000093132,2685952.649999999906868,11787396.630000000819564
FS( 73 ),3087442.779999999795109,3119951.919999999925494,2935320.820000000298023,2692411.699999999720603,11835127.219999998807907
FS( 74 ),3103429.750000000000000,3129720.070000000298023,2942069.980000000447035,2819552.999999999534339,11994772.800000000745058
FS( 75 ),3079606.029999999795109,3109532.560000000055879,2917834.360000000335276,2820232.899999999441206,11927205.849999997764826
FS( 76 ),3073023.160000000149012,3127766.439999999944121,2959556.440000000409782,2840969.849999999627471,12001315.889999998733401
FS( 77 ),3008761.810000000055879,3141441.850000000093132,3012322.600000000093132,2848448.750000000000000,12010975.009999999776483
FS( 78 ),3031331.649999999906868,3157070.889999999664724,2971520.860000000335276,2889242.749999999534339,12049166.149999998509884
FS( 79 ),3058603.539999999571592,3168141.459999999962747,2971214.080000000074506,2875304.799999999813735,12073263.879999998956919
FS( 80 ),3080859.910000000149012,3172048.720000000204891,2966919.160000000149012,2877684.449999999720603,12097512.240000000223517
FS( 81 ),3084621.550000000279397,3189631.389999999664724,2972747.980000000447035,2903180.699999999720603,12150181.619999999180436
FS( 82 ),3041049.220000000204891,3168141.459999999962747,3003425.980000000447035,2887882.949999999720603,12100499.609999999403954
FS( 83 ),3062678.649999999906868,3184421.709999999962747,3009868.360000000335276,2888902.799999999813735,12145871.519999999552965
FS( 84 ),3115968.550000000279397,3233262.459999999962747,3025820.919999999925494,2975930.000000000000000,12350981.929999999701977
FS( 85 ),3099668.109999999869615,3181165.660000000149012,3039012.460000000428408,2931056.599999999627471,12250902.830000000074506
FS( 86 ),3077098.270000000018626,3192236.230000000447035,3062634.520000000018626,2937175.699999999720603,12269144.719999998807907
FS( 87 ),3090577.479999999981374,3207214.060000000055879,3092392.180000000167638,2887542.999999999534339,12277726.720000000670552
FS( 88 ),3101862.399999999906868,3225447.939999999944121,3057726.040000000502914,2881423.899999999906868,12266460.280000001192093
FS( 89 ),3123491.830000000074506,3234564.880000000353903,3077973.520000000018626,2859667.100000000093132,12295697.330000000074506
FS( 90 ),3148255.960000000428408,3181816.870000000111759,3065395.540000000502914,2863406.549999999813735,12258874.920000001788139
FS( 91 ),3123491.830000000074506,3159675.730000000447035,3099141.340000000316650,2840629.899999999906868,12222938.800000000745058
FS( 92 ),3101548.929999999701977,3179863.239999999757856,3039932.800000000279397,2820912.799999999813735,12142257.769999999552965
FS( 93 ),3143240.439999999944121,3156419.680000000167638,3059566.720000000204891,2849808.549999999813735,12209035.390000000596046
FS( 94 ),3127880.410000000149012,3131673.700000000186265,3029809.060000000521541,2849128.649999999906868,12138491.820000002160668
FS( 95 ),3136344.100000000093132,3107578.930000000167638,3014776.840000000316650,2853547.999999999534339,12112247.870000001043081
FS( 96 ),3042616.570000000298023,3035294.620000000111759,2940536.080000000074506,2820232.899999999441206,11838680.169999998062849
FS( 97 ),3101548.929999999701977,3076972.060000000055879,3041466.700000000186265,2863406.549999999813735,12083394.240000002086163
FS( 98 ),3155779.240000000223517,3160978.149999999906868,3136568.500000000000000,2921537.999999999534339,12374863.890000000596046
FS( 99 ),3195276.460000000428408,3088042.630000000353903,3144238.000000000000000,2895021.899999999441206,12322578.989999998360872
FS( 100 ),3244491.250000000000000,3123859.180000000167638,3161110.900000000372529,2936495.799999999348074,12465957.129999998956919
FS( 101 ),3252641.470000000204891,3125161.600000000093132,3155282.080000000074506,2946014.399999999441206,12479099.550000000745058
FS( 102 ),3246372.070000000298023,3135580.959999999962747,3150066.820000000298023,2938195.549999999813735,12470215.400000002235174
FS( 103 ),3252328.000000000000000,3153163.630000000353903,3146078.680000000167638,2954513.149999999441206,12506083.460000000894070
FS( 104 ),3276778.660000000149012,3168141.459999999962747,3139329.520000000018626,2945334.499999999534339,12529584.140000000596046
FS( 105 ),3268628.439999999944121,3154466.049999999813735,3155282.080000000074506,2950433.750000000000000,12528810.320000000298023
FS( 106 ),3290571.339999999850988,3131022.489999999757856,3101288.800000000279397,2919498.299999999348074,12442380.929999999701977
FS( 107 ),3242296.960000000428408,3094554.730000000447035,3091778.620000000111759,2920178.199999999720603,12348808.510000001639128
FS( 108 ),3174273.970000000204891,3044411.560000000055879,3040853.140000000596046,2911679.449999999720603,12171218.120000001043081
FS( 109 ),3164556.399999999906868,3026828.889999999664724,3034717.540000000502914,2934116.149999999906868,12160218.980000000447035
FS( 110 ),3273017.020000000018626,3089345.049999999813735,3065702.320000000298023,3011964.699999999720603,12440029.089999999850988
FS( 111 ),3345428.589999999850988,3160326.939999999944121,3212036.380000000353903,3075535.349999999627471,12793327.259999999776483
FS( 112 ),3288063.580000000074506,3125812.810000000055879,3181971.940000000409782,3037460.949999999720603,12633309.280000001192093
FS( 113 ),3273330.490000000223517,3121254.339999999850988,3146078.680000000167638,3060237.599999999627471,12600901.109999999403954
FS( 114 ),3251701.060000000055879,3093903.520000000018626,3162031.240000000223517,3036101.149999999906868,12543736.970000000670552
FS( 115 ),3217532.830000000074506,3051574.870000000111759,3170007.520000000018626,2944314.649999999906868,12383429.870000001043081
FS( 116 ),3166437.220000000204891,3022270.419999999925494,3204673.660000000149012,2970490.799999999348074,12363872.099999999627471
FS( 117 ),3263926.390000000130385,3028131.310000000055879,3244861.840000000316650,2949753.849999999627471,12486673.390000000596046
FS( 118 ),3236654.500000000000000,3048318.820000000298023,3240260.140000000596046,2947034.249999999534339,12472267.710000000894070
FS( 119 ),3245431.660000000149012,3045062.770000000018626,3353768.740000000223517,2945334.499999999534339,12589597.669999999925494
FS( 120 ),3325053.039999999571592,3121254.339999999850988,3492740.080000000074506,3001766.199999999720603,12940813.659999998286366
FS( 121 ),3303110.140000000130385,3131022.489999999757856,3435985.780000000260770,3008905.149999999906868,12879023.560000000521541
FS( 122 ),3334143.669999999925494,3137534.589999999850988,3424021.360000000335276,3012984.549999999348074,12908684.169999999925494
FS( 123 ),3296527.270000000018626,3076972.060000000055879,3374936.560000000521541,2975590.049999999813735,12724025.940000001341105
FS( 124 ),3283361.529999999795109,3038550.669999999925494,3327385.660000000149012,2951453.599999999627471,12600751.459999999031425
FS( 125 ),3373640.890000000130385,3089345.049999999813735,3355916.200000000186265,2982049.099999999627471,12800951.240000000223517
FS( 126 ),3273330.490000000223517,3004036.540000000037253,3259587.280000000260770,2888902.799999999813735,12425857.109999999403954
