代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13799828.230000000447035
真實報酬,3799828.230000000447035

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,30386.352442876028363
風險,125741.834537200207706
起點值,0.241656665458355
找到最佳解世代,2630
找到最佳解實驗#,1
找到最佳解次數,47

stock[index](rank)
投資組合檔數,5
CAT[3](1),DIS[6](11),KO[14](16),WBA[27](4),XOM[29](5),
FS( 18 ),2333911.959999999962747,1986869.740000000223517,2044661.120000000111759,2192126.480000000447035,2026268.000000000232831,10583837.300000000745058
FS( 19 ),2337726.419999999925494,1982691.930000000167638,2062106.870000000111759,2442035.360000000335276,2037760.250000000232831,10862320.830000000074506
FS( 20 ),2347115.860000000335276,1970158.500000000000000,2050243.760000000009313,2429034.320000000298023,2022327.800000000279397,10818880.240000002086163
FS( 21 ),2308677.839999999850988,1975529.970000000204891,2041869.800000000046566,2419644.679999999701977,2028894.800000000046566,10774617.089999999850988
FS( 22 ),2295180.519999999552965,1989853.890000000363216,2062804.699999999953434,2432645.719999999739230,2053521.050000000046566,10834005.880000000819564
FS( 23 ),2267305.620000000111759,1977917.290000000270084,2054430.739999999990687,2391475.759999999776483,2042028.800000000046566,10733158.210000000894070
FS( 24 ),2329804.080000000074506,2019098.560000000055879,2081646.109999999869615,2454314.120000000111759,2077162.250000000000000,10962025.120000001043081
FS( 25 ),2313959.400000000372529,2002387.320000000065193,2085135.260000000009313,2457925.519999999552965,2092266.350000000093132,10951673.849999999627471
FS( 26 ),2310438.360000000335276,2023873.199999999953434,2073969.979999999981374,2446369.040000000037253,2096534.900000000139698,10951185.480000002309680
FS( 27 ),2358265.820000000298023,2059683.000000000000000,2073272.150000000139698,2454314.120000000111759,2113937.450000000186265,11059472.539999999105930
FS( 28 ),2346822.440000000409782,2063263.980000000214204,2078156.959999999962747,2437701.679999999701977,2119519.400000000372529,11045464.460000000894070
FS( 29 ),2328043.560000000521541,2057892.510000000009313,2079552.620000000111759,2458647.799999999813735,2124444.650000000372529,11048581.140000000596046
FS( 30 ),2355918.459999999962747,2083556.199999999953434,2091415.729999999981374,2513541.080000000074506,2135608.550000000745058,11180040.020000001415610
FS( 31 ),2344768.500000000000000,2079975.220000000204891,2090717.900000000139698,2491150.400000000372529,2144145.650000000372529,11150757.670000001788139
FS( 32 ),2340073.780000000260770,2081765.710000000195578,2091415.729999999981374,2497650.919999999925494,2140533.799999999813735,11151439.940000001341105
FS( 33 ),2354451.360000000335276,2074006.920000000158325,2093509.219999999972060,2485372.160000000149012,2176323.950000000186265,11183663.609999999403954
FS( 34 ),2304863.379999999888241,2043568.590000000316650,2105372.330000000074506,2429034.320000000298023,2138235.350000000558794,11021073.970000002533197
FS( 35 ),2356798.719999999739230,2066248.130000000121072,2133983.359999999403954,2457925.519999999552965,2167458.500000000000000,11182414.229999998584390
FS( 36 ),2314839.660000000149012,2069829.110000000102445,2145148.639999999664724,2462981.480000000447035,2177637.349999999627471,11170436.240000000223517
FS( 37 ),2298408.139999999664724,2087137.180000000167638,2150033.450000000186265,2460814.639999999664724,2178294.049999999813735,11174687.460000000894070
FS( 38 ),2319534.379999999888241,2116381.850000000558794,2129098.549999999813735,2487539.000000000000000,2173697.150000000372529,11226250.930000001564622
FS( 39 ),2307797.580000000074506,2146223.350000000558794,2136774.679999999701977,2465870.599999999627471,2184532.700000000186265,11241198.910000000149012
FS( 40 ),2295180.519999999552965,2143836.030000000260770,2135379.020000000484288,2452147.280000000260770,2156294.600000000558794,11182837.450000002980232
FS( 41 ),2281096.360000000335276,2179049.000000000000000,2136076.849999999627471,2465870.599999999627471,2174353.850000000558794,11236446.660000000149012
FS( 42 ),2306330.479999999515712,2156369.459999999962747,2139566.000000000000000,2447091.320000000298023,2183219.299999999813735,11232576.559999998658895
FS( 43 ),2325989.620000000111759,2150401.160000000149012,2153522.599999999627471,2459370.080000000074506,2198323.400000000372529,11287606.860000001266599
FS( 44 ),2340073.780000000260770,2155175.799999999813735,2158407.410000000149012,2491150.400000000372529,2227546.549999999813735,11372353.940000001341105
FS( 45 ),2343888.240000000223517,2165918.740000000223517,2161896.559999999590218,2540987.719999999739230,2231815.100000000558794,11444506.359999999403954
FS( 46 ),2440716.839999999850988,2210084.160000000149012,2179342.309999999590218,2596603.280000000260770,2278112.450000000186265,11704859.039999999105930
FS( 47 ),2451279.959999999962747,2220230.270000000484288,2183529.290000000037253,2538098.599999999627471,2298470.150000000372529,11691608.270000001415610
FS( 48 ),2438956.320000000298023,2211874.650000000372529,2179342.309999999590218,2534487.200000000186265,2308977.349999999627471,11673637.830000000074506
FS( 49 ),2403452.500000000000000,2199938.049999999813735,2185622.780000000260770,2545321.400000000372529,2319156.200000000186265,11653490.929999999701977
FS( 50 ),2419590.599999999627471,2207696.839999999850988,2182831.459999999962747,2535931.759999999776483,2335573.700000000186265,11681624.359999999403954
FS( 51 ),2419003.759999999776483,2144432.860000000335276,2191205.419999999925494,2543154.559999999590218,2358558.200000000186265,11656354.800000000745058
FS( 52 ),2377924.959999999962747,2253055.919999999925494,2195392.400000000372529,2515707.919999999925494,2330976.799999999813735,11673058.000000000000000
FS( 53 ),2400811.719999999739230,2223214.419999999925494,2196788.059999999590218,2492594.959999999962747,2314230.950000000186265,11627640.109999999403954
FS( 54 ),2358265.820000000298023,2203519.030000000260770,2166083.540000000037253,2456480.959999999962747,2263665.049999999813735,11448014.400000002235174
FS( 55 ),2381739.419999999925494,2221423.929999999701977,2181435.799999999813735,2456480.959999999962747,2265963.500000000000000,11507043.609999999403954
FS( 56 ),2438662.900000000372529,2242909.810000000521541,2227492.580000000074506,2486094.440000000409782,2308649.000000000000000,11703808.730000000447035
FS( 57 ),2463897.019999999552965,2208890.500000000000000,2244240.500000000000000,2510651.959999999962747,2316201.050000000745058,11743881.030000001192093
FS( 58 ),2464777.280000000260770,2205309.520000000484288,2242844.839999999850988,2520041.599999999627471,2304708.799999999813735,11737682.039999999105930
FS( 59 ),2424578.740000000223517,2155772.629999999888241,2219816.450000000186265,2454314.120000000111759,2264978.450000000186265,11519460.390000000596046
FS( 60 ),2485023.259999999776483,2200534.879999999888241,2254707.950000000186265,2478149.360000000335276,2294529.950000000186265,11712945.399999998509884
FS( 61 ),2468591.740000000223517,2190388.770000000484288,2237262.200000000186265,2432645.719999999739230,2273187.200000000186265,11602075.629999998956919
FS( 62 ),2455094.419999999925494,2173677.530000000260770,2212140.320000000298023,2513541.080000000074506,2280410.900000000372529,11634864.250000001862645
FS( 63 ),2482382.479999999515712,2179049.000000000000000,2204464.190000000409782,2517152.480000000447035,2284022.750000000000000,11667070.900000000372529
FS( 64 ),2566007.179999999701977,2215455.629999999888241,2257499.270000000484288,2576379.440000000409782,2342140.700000000186265,11957482.219999998807907
FS( 65 ),2600337.320000000298023,2228585.890000000596046,2264477.570000000298023,2608159.759999999776483,2347065.950000000186265,12048626.490000002086163
FS( 66 ),2622637.240000000223517,2243506.640000000596046,2250520.969999999739230,2662330.759999999776483,2337543.799999999813735,12116539.410000000149012
FS( 67 ),2617355.679999999701977,2241716.150000000372529,2233075.219999999739230,2625494.480000000447035,2341484.000000000000000,12059125.530000001192093
FS( 68 ),2651098.979999999515712,2227989.060000000521541,2237960.030000000260770,2616104.839999999850988,2346409.250000000000000,12079562.160000000149012
FS( 69 ),2629679.320000000298023,2206503.179999999701977,2247031.820000000298023,2634161.839999999850988,2359214.900000000372529,12076591.060000000521541
FS( 70 ),2631146.419999999925494,2192776.089999999850988,2262384.080000000074506,2626939.040000000037253,2364140.150000000372529,12077385.779999999329448
FS( 71 ),2639068.759999999776483,2188001.450000000186265,2256103.609999999403954,2631272.719999999739230,2370050.450000000186265,12084496.989999998360872
FS( 72 ),2688656.740000000223517,2216052.459999999962747,2262384.080000000074506,2631995.000000000000000,2375960.750000000000000,12175049.030000001192093
FS( 73 ),2702154.060000000521541,2222617.589999999850988,2229586.070000000298023,2654385.679999999701977,2370050.450000000186265,12178793.850000001490116
FS( 74 ),2732376.320000000298023,2205309.520000000484288,2258894.929999999701977,2681832.320000000298023,2359214.900000000372529,12237627.990000000223517
FS( 75 ),2734723.679999999701977,2208890.500000000000000,2279829.830000000074506,2724446.839999999850988,2371363.850000000558794,12319254.699999999254942
FS( 76 ),2716825.060000000521541,2211277.820000000298023,2292390.770000000484288,2714334.919999999925494,2369722.100000000558794,12304550.670000001788139
FS( 77 ),2737657.879999999888241,2211874.650000000372529,2279132.000000000000000,2692666.519999999552965,2371363.850000000558794,12292694.900000002235174
FS( 78 ),2776682.740000000223517,2227989.060000000521541,2284714.639999999664724,2660163.919999999925494,2387781.350000000558794,12337331.710000000894070
FS( 79 ),2774922.219999999739230,2264992.520000000484288,2288901.620000000111759,2806064.480000000447035,2390408.150000000372529,12525288.990000000223517
FS( 80 ),2771401.179999999701977,2250071.770000000484288,2288203.790000000037253,2830622.000000000000000,2403542.150000000372529,12543840.890000000596046
FS( 81 ),2760251.219999999739230,2236941.509999999776483,2270060.209999999962747,2814009.559999999590218,2397303.500000000000000,12478566.000000000000000
FS( 82 ),2749101.259999999776483,2229779.549999999813735,2280527.660000000149012,2850845.839999999850988,2410765.850000000558794,12521020.160000000149012
FS( 83 ),2751742.040000000037253,2244103.470000000670552,2284016.809999999590218,2851568.120000000111759,2409124.100000000558794,12540554.540000002831221
FS( 84 ),2754382.820000000298023,2236941.509999999776483,2285412.469999999739230,2834233.400000000372529,2408795.750000000000000,12519765.949999999254942
FS( 85 ),2748221.000000000000000,2238732.000000000000000,2295182.089999999850988,2814009.559999999590218,2400915.350000000558794,12497060.000000000000000
FS( 86 ),2762598.580000000074506,2257233.730000000447035,2275642.849999999627471,2840011.639999999664724,2447869.400000000372529,12583356.200000001117587
FS( 87 ),2749688.099999999627471,2327062.839999999850988,2228888.240000000223517,2863846.879999999888241,2459361.650000000372529,12628847.709999999031425
FS( 88 ),2773455.120000000111759,2384955.350000000558794,2215629.469999999739230,2903572.280000000260770,2452794.650000000372529,12730406.870000001043081
FS( 89 ),2744699.959999999962747,2366453.620000000111759,2199579.379999999888241,2912239.639999999664724,2468555.450000000186265,12691528.050000000745058
FS( 90 ),2750274.940000000409782,2354517.020000000484288,2195392.400000000372529,2894904.919999999925494,2482017.799999999813735,12677107.080000001937151
FS( 91 ),2740298.660000000149012,2357501.169999999925494,2200277.209999999962747,2957743.280000000260770,2466913.700000000186265,12722734.019999999552965
FS( 92 ),2756730.179999999701977,2351532.870000000111759,2187716.270000000484288,2949075.919999999925494,2485301.299999999813735,12730356.539999999105930
FS( 93 ),2743232.860000000335276,2337805.780000000260770,2199579.379999999888241,2975800.280000000260770,2514524.450000000186265,12770942.750000000000000
FS( 94 ),2762305.160000000149012,2343177.250000000000000,2212140.320000000298023,3007580.599999999627471,2518793.000000000000000,12843996.330000000074506
FS( 95 ),2758490.700000000186265,2344967.740000000223517,2203068.530000000260770,2993135.000000000000000,2555896.549999999813735,12855558.519999999552965
FS( 96 ),2823629.940000000409782,2350936.040000000037253,2214931.639999999664724,3031415.839999999850988,2584463.000000000000000,13005376.460000000894070
FS( 97 ),2803383.959999999962747,2333031.140000000596046,2212838.150000000372529,2981578.519999999552965,2569030.549999999813735,12899862.320000000298023
FS( 98 ),2746753.900000000372529,2337805.780000000260770,2196090.229999999515712,3005413.759999999776483,2552941.400000000372529,12839005.070000000298023
FS( 99 ),2721519.780000000260770,2371825.089999999850988,2190507.589999999850988,3011192.000000000000000,2593328.450000000186265,12888372.910000000149012
FS( 100 ),2774922.219999999739230,2383761.690000000409782,2207255.509999999776483,2996746.400000000372529,2580522.799999999813735,12943208.620000001043081
FS( 101 ),2769640.660000000149012,2378987.049999999813735,2196788.059999999590218,2978689.400000000372529,2583477.950000000186265,12907583.120000001043081
FS( 102 ),2809545.780000000260770,2353920.190000000409782,2196788.059999999590218,2982300.799999999813735,2615656.250000000000000,12958211.080000000074506
FS( 103 ),2835366.740000000223517,2355113.850000000558794,2187716.270000000484288,2966410.639999999664724,2622879.950000000186265,12967487.449999999254942
FS( 104 ),2807491.839999999850988,2318707.220000000670552,2170968.349999999627471,2915128.759999999776483,2593656.799999999813735,12805952.969999998807907
FS( 105 ),2846516.700000000186265,2319900.879999999888241,2193298.910000000149012,2920907.000000000000000,2649147.950000000186265,12929771.440000001341105
FS( 106 ),2875858.700000000186265,2380180.709999999962747,2200277.209999999962747,3050195.120000000111759,2755205.000000000000000,13261716.740000000223517
FS( 107 ),2907548.060000000521541,2416587.339999999850988,2193298.910000000149012,3031415.839999999850988,2738787.500000000000000,13287637.650000000372529
FS( 108 ),2902853.339999999850988,2417184.169999999925494,2183529.290000000037253,3055973.360000000335276,2739772.549999999813735,13299312.710000000894070
FS( 109 ),2922219.060000000521541,2429717.600000000558794,2182831.459999999962747,3060307.040000000037253,2734518.950000000186265,13329594.109999999403954
FS( 110 ),2948040.019999999552965,2443444.690000000409782,2181435.799999999813735,3055973.360000000335276,2755861.700000000186265,13384755.570000000298023
FS( 111 ),2952147.900000000372529,2457768.610000000335276,2193996.740000000223517,3089920.519999999552965,2724668.450000000186265,13418502.219999998807907
FS( 112 ),2928087.459999999962747,2587877.549999999813735,2203766.359999999403954,3081253.160000000149012,2710549.400000000372529,13511533.929999999701977
FS( 113 ),2951854.479999999515712,2584893.400000000372529,2217025.129999999888241,3075474.919999999925494,2731892.150000000372529,13561140.080000000074506
FS( 114 ),3038119.959999999962747,2590861.700000000186265,2218420.790000000037253,3075474.919999999925494,2719414.849999999627471,13642292.220000000670552
FS( 115 ),3029904.200000000186265,2580715.589999999850988,2203068.530000000260770,3045861.440000000409782,2788040.000000000000000,13647589.760000001639128
FS( 116 ),3022275.280000000260770,2571763.140000000596046,2205162.020000000484288,3058140.200000000186265,2724340.100000000558794,13581680.740000002086163
FS( 117 ),3038413.379999999888241,2608169.770000000484288,2212140.320000000298023,3047306.000000000000000,2747981.299999999813735,13654010.769999999552965
FS( 118 ),3032838.400000000372529,2608169.770000000484288,2252614.459999999962747,3077641.759999999776483,2754219.950000000186265,13725484.339999999850988
FS( 119 ),3106193.400000000372529,2599814.150000000372529,2252614.459999999962747,3087031.400000000372529,2774577.650000000372529,13820231.060000000521541
FS( 120 ),2993226.700000000186265,2545502.620000000111759,2224701.259999999776483,3046583.719999999739230,2805442.549999999813735,13615456.850000001490116
FS( 121 ),2934836.120000000111759,2514467.459999999962747,2230283.900000000372529,2977967.120000000111759,2858963.599999999627471,13516518.200000001117587
FS( 122 ),2950974.219999999739230,2531775.530000000260770,2228888.240000000223517,2984467.639999999664724,2822845.100000000558794,13518950.730000000447035
FS( 123 ),2992933.280000000260770,2563407.520000000484288,2244240.500000000000000,3031415.839999999850988,2802159.049999999813735,13634156.190000001341105
FS( 124 ),3020221.339999999850988,2610557.089999999850988,2230283.900000000372529,3130368.200000000186265,2808397.700000000186265,13799828.230000000447035
