代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12110736.689999999478459
真實報酬,2110736.689999999478459

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,16677.085540272055368
風險,95523.981482662726194
起點值,0.174585326966285
找到最佳解世代,2102
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
AAPL[0](1),DIS[6](12),KO[14](7),MCD[15](8),V[25](3),WMT[28](23),
FS( 8 ),1724661.819999999832362,1752912.399999999906868,1738443.699999999953434,1712668.359999999869615,1734497.649999999906868,1690249.000000000000000,10353436.929999999701977
FS( 9 ),1753431.399999999906868,1749374.949999999953434,1732635.099999999860302,1725892.280000000027940,1749964.149999999906868,1693314.789999999804422,10404616.669999998062849
FS( 10 ),1753431.399999999906868,1752743.949999999953434,1709815.600000000093132,1728143.160000000149012,1748417.499999999767169,1682466.609999999869615,10375022.219999998807907
FS( 11 ),1763021.259999999776483,1758471.250000000000000,1723922.199999999720603,1721390.520000000018626,1756592.649999999906868,1676335.029999999795109,10399736.909999998286366
FS( 12 ),1765304.560000000055879,1750385.649999999906868,1731805.300000000046566,1733770.359999999869615,1731183.399999999674037,1673976.729999999981374,10386430.000000000000000
FS( 13 ),1775503.300000000046566,1773800.199999999953434,1728901.000000000000000,1730253.359999999869615,1725659.649999999674037,1688126.529999999795109,10422248.039999999105930
FS( 14 ),1780222.120000000111759,1776495.399999999906868,1728486.099999999860302,1735036.479999999981374,1731404.349999999860302,1693786.449999999720603,10445434.899999998509884
FS( 15 ),1781896.540000000037253,1778179.899999999906868,1724752.000000000000000,1732926.280000000027940,1726543.449999999953434,1680108.309999999823049,10424410.480000000447035
FS( 16 ),1770175.600000000093132,1775821.600000000093132,1723922.199999999720603,1740523.000000000000000,1721240.650000000139698,1641196.359999999869615,10372883.410000000149012
FS( 17 ),1773676.659999999916181,1771273.449999999953434,1725996.699999999953434,1732363.560000000055879,1726764.400000000139698,1640017.209999999962747,10370095.980000000447035
FS( 18 ),1784940.939999999944121,1771610.350000000093132,1726411.599999999860302,1731378.800000000046566,1731183.399999999674037,1643790.489999999990687,10389319.580000000074506
FS( 19 ),1777329.939999999944121,1756955.199999999953434,1717283.800000000046566,1725892.280000000027940,1730078.649999999906868,1634593.119999999878928,10342136.989999998360872
FS( 20 ),1776873.280000000027940,1761334.899999999906868,1725996.699999999953434,1727439.760000000009313,1730741.499999999767169,1633413.969999999972060,10355804.109999999403954
FS( 21 ),1763021.259999999776483,1755607.599999999860302,1720188.100000000093132,1712387.000000000000000,1723892.049999999813735,1630112.350000000093132,10305212.359999997541308
FS( 22 ),1768044.520000000018626,1786939.299999999813735,1734294.699999999720603,1682844.200000000186265,1756592.649999999906868,1619264.169999999925494,10347983.539999999105930
FS( 23 ),1766065.659999999916181,1809848.500000000000000,1728071.199999999953434,1680874.680000000167638,1770954.400000000139698,1628697.369999999878928,10384515.810000000521541
FS( 24 ),1775046.639999999897555,1808837.799999999813735,1732220.199999999953434,1683969.640000000130385,1791723.699999999953434,1632234.819999999832362,10424036.799999998882413
FS( 25 ),1794835.239999999990687,1835789.800000000046566,1731805.300000000046566,1698881.720000000204891,1816470.099999999860302,1609830.969999999972060,10487617.130000000819564
FS( 26 ),1811275.000000000000000,1825345.899999999906868,1714379.500000000000000,1694239.280000000027940,1806306.399999999906868,1620443.319999999832362,10471993.400000000372529
FS( 27 ),1813101.639999999897555,1825682.799999999813735,1702762.299999999813735,1691707.040000000037253,1796584.599999999860302,1609123.479999999981374,10438965.859999999403954
FS( 28 ),1822843.719999999972060,1843538.500000000000000,1703177.199999999720603,1700569.879999999888241,1807411.149999999906868,1616198.379999999888241,10493742.829999998211861
FS( 29 ),1815232.719999999972060,1811364.550000000046566,1699028.200000000186265,1717732.839999999850988,1797910.300000000046566,1602991.899999999906868,10444264.510000001639128
FS( 30 ),1812036.100000000093132,1820292.399999999906868,1696123.900000000139698,1709292.040000000037253,1793491.300000000046566,1583182.179999999701977,10414421.919999999925494
FS( 31 ),1826649.219999999972060,1818776.349999999860302,1710230.500000000000000,1726877.040000000037253,1795479.850000000093132,1613604.250000000000000,10491621.210000000894070
FS( 32 ),1826497.000000000000000,1821976.899999999906868,1713134.799999999813735,1726314.320000000065193,1802771.199999999953434,1606293.519999999785796,10496991.739999998360872
FS( 33 ),1823300.379999999888241,1807153.300000000046566,1706911.300000000046566,1718858.280000000027940,1805864.500000000000000,1594737.850000000093132,10456829.609999999403954
FS( 34 ),1826649.219999999972060,1813554.399999999906868,1714379.500000000000000,1719983.720000000204891,1808294.949999999953434,1584361.330000000074506,10467227.119999999180436
FS( 35 ),1827866.979999999981374,1804458.100000000093132,1718943.399999999906868,1707603.879999999888241,1815144.400000000139698,1571862.340000000083819,10445883.099999999627471
FS( 36 ),1826192.560000000055879,1817597.199999999953434,1738443.699999999953434,1702961.439999999944121,1839007.000000000000000,1589549.590000000083819,10513755.490000000223517
FS( 37 ),1855266.579999999841675,1819955.500000000000000,1747571.499999999767169,1713371.760000000009313,1853810.650000000139698,1577522.260000000009313,10567502.250000000000000
FS( 38 ),1856179.899999999906868,1820292.399999999906868,1734709.600000000093132,1714637.879999999888241,1839227.949999999720603,1573748.979999999981374,10538800.710000000894070
FS( 39 ),1856332.120000000111759,1841180.199999999953434,1719773.200000000186265,1728424.520000000018626,1850938.299999999813735,1548515.169999999925494,10545167.509999999776483
FS( 40 ),1851461.079999999841675,1868806.000000000000000,1716868.900000000139698,1730675.399999999906868,1849391.649999999906868,1566438.250000000000000,10583645.280000001192093
FS( 41 ),1847198.919999999925494,1863920.949999999953434,1724752.000000000000000,1724344.800000000046566,1827517.599999999860302,1573984.809999999823049,10561723.080000000074506
FS( 42 ),1959841.719999999972060,1874870.199999999953434,1711890.099999999860302,1722234.600000000093132,1821551.949999999953434,1561957.479999999981374,10652350.049999998882413
FS( 43 ),1956492.879999999888241,1863247.149999999906868,1717698.699999999953434,1733489.000000000000000,1818458.649999999906868,1573041.489999999990687,10662431.869999999180436
FS( 44 ),1964864.980000000214204,1858025.199999999953434,1723507.299999999813735,1747838.359999999869615,1901977.749999999767169,1568324.889999999897555,10764542.480000000447035
FS( 45 ),1983283.599999999860302,1845728.349999999860302,1724337.100000000093132,1750792.640000000130385,1896453.999999999767169,1565966.590000000083819,10766566.279999999329448
FS( 46 ),2002158.879999999888241,1836126.699999999953434,1738443.699999999953434,1752762.160000000149012,1895349.250000000000000,1577522.260000000009313,10802366.950000001117587
FS( 47 ),2009922.099999999860302,1836126.699999999953434,1743422.500000000000000,1753887.600000000093132,1880103.699999999953434,1599218.619999999878928,10822685.219999998807907
FS( 48 ),2015706.459999999729916,1844380.749999999767169,1711475.199999999953434,1751214.680000000167638,1890930.249999999767169,1629169.029999999795109,10842880.369999999180436
FS( 49 ),2011139.860000000102445,1840506.400000000139698,1683676.899999999906868,1770065.800000000046566,1898000.650000000139698,1604171.049999999813735,10807564.660000000149012
FS( 50 ),2028949.599999999860302,1847075.949999999953434,1685336.499999999767169,1766126.760000000009313,1909931.949999999953434,1598275.299999999813735,10835700.059999998658895
FS( 51 ),2055283.660000000149012,1858530.549999999813735,1681602.399999999906868,1769925.120000000111759,1918990.899999999674037,1619264.169999999925494,10903600.799999998882413
FS( 52 ),2062742.439999999944121,1856003.800000000046566,1677868.299999999813735,1779350.680000000167638,1934236.449999999953434,1619971.659999999916181,10930177.330000000074506
FS( 53 ),2060306.919999999925494,1864931.649999999906868,1709400.700000000186265,1782445.640000000130385,1931364.099999999860302,1624216.600000000093132,10972669.609999999403954
FS( 54 ),2065939.060000000055879,1853982.399999999906868,1710645.399999999906868,1797920.439999999944121,1932468.849999999860302,1636008.100000000093132,10996968.249999998137355
FS( 55 ),2080856.619999999878928,1853140.150000000139698,1720188.100000000093132,1801296.760000000009313,1942632.550000000046566,1685060.739999999990687,11083178.919999999925494
FS( 56 ),2087097.640000000130385,1854993.100000000093132,1725996.699999999953434,1798623.839999999850988,1939981.149999999906868,1691192.319999999832362,11097888.750000000000000
FS( 57 ),2078268.879999999888241,1848423.550000000046566,1728486.099999999860302,1804532.400000000139698,1948377.250000000000000,1681759.119999999878928,11089851.299999998882413
FS( 58 ),2080247.739999999990687,1858362.099999999860302,1733464.899999999906868,1809878.240000000223517,1953901.000000000000000,1707228.760000000009313,11143086.740000000223517
FS( 59 ),2084357.680000000167638,1856846.050000000046566,1728901.000000000000000,1786525.359999999869615,1944400.149999999906868,1691899.809999999823049,11092934.050000000745058
FS( 60 ),2085271.000000000000000,1854487.750000000000000,1740933.100000000093132,1795810.240000000223517,1943074.449999999953434,1672797.580000000074506,11092378.119999999180436
FS( 61 ),2127892.599999999627471,1870490.500000000000000,1749231.099999999860302,1815505.440000000176951,1966274.199999999720603,1661477.739999999990687,11190875.580000000074506
FS( 62 ),2115258.339999999850988,1862910.250000000000000,1762093.000000000000000,1803969.679999999934807,1956110.500000000000000,1668788.469999999972060,11169134.240000000223517
FS( 63 ),2127740.379999999888241,1873859.499999999767169,1762507.899999999906868,1799327.240000000223517,1961855.199999999953434,1651572.879999999888241,11176867.099999997764826
FS( 64 ),2121042.700000000186265,1864257.850000000093132,1750060.899999999906868,1801156.080000000074506,1965169.449999999953434,1648035.429999999701977,11149726.410000000149012
FS( 65 ),2123782.660000000149012,1867458.399999999906868,1742177.800000000046566,1801718.800000000046566,1967820.849999999860302,1647799.600000000093132,11150762.109999999403954
FS( 66 ),2115867.219999999739230,1867121.500000000000000,1742177.800000000046566,1802000.160000000149012,1965611.349999999860302,1646148.789999999804422,11138930.819999998435378
FS( 67 ),2110996.179999999701977,1870322.050000000046566,1743837.399999999906868,1802703.559999999823049,1968925.599999999860302,1647563.769999999785796,11144352.559999998658895
FS( 68 ),2117998.299999999813735,1868469.100000000093132,1754624.799999999813735,1800452.680000000167638,1982624.500000000000000,1653223.689999999711290,11177397.069999998435378
FS( 69 ),2118911.620000000111759,1878576.099999999860302,1743837.399999999906868,1795247.520000000018626,1991020.599999999860302,1649686.239999999990687,11177283.479999998584390
FS( 70 ),2115715.000000000000000,1891883.649999999906868,1741348.000000000000000,1797920.439999999944121,1978647.399999999906868,1667845.149999999906868,11193363.640000000596046
FS( 71 ),2138091.339999999850988,1884471.850000000093132,1747571.499999999767169,1799045.879999999888241,1986822.550000000046566,1664543.529999999795109,11220550.649999998509884
FS( 72 ),2141592.400000000372529,1881776.649999999906868,1752965.199999999953434,1800452.680000000167638,1989473.949999999953434,1661241.909999999916181,11227506.789999999105930
FS( 73 ),2130937.000000000000000,1882618.900000000139698,1743837.399999999906868,1809737.559999999823049,1993892.949999999720603,1648271.260000000009313,11209299.070000000298023
FS( 74 ),2153313.339999999850988,1898621.649999999906868,1750060.899999999906868,1811707.080000000074506,1970472.250000000000000,1650393.729999999981374,11234572.949999999254942
FS( 75 ),2128653.700000000186265,1882450.449999999953434,1763337.699999999953434,1808049.400000000139698,1945725.849999999860302,1648507.090000000083819,11176728.190000001341105
FS( 76 ),2152704.459999999962747,1888009.299999999813735,1758358.900000000139698,1816208.839999999850988,1955889.549999999813735,1656761.139999999897555,11227936.190000001341105
FS( 77 ),2145093.459999999962747,1890704.499999999767169,1749646.000000000000000,1814802.040000000037253,1963401.849999999860302,1647563.769999999785796,11211215.619999999180436
FS( 78 ),2140831.299999999813735,1889020.000000000000000,1747571.499999999767169,1819585.160000000149012,1970693.199999999953434,1641668.019999999785796,11209373.179999999701977
FS( 79 ),2144484.580000000074506,1893062.799999999813735,1755869.500000000000000,1821695.360000000102445,1965390.399999999906868,1642847.169999999925494,11223353.810000000521541
FS( 80 ),2188932.820000000298023,1904348.949999999953434,1760433.399999999906868,1821132.639999999897555,1969146.550000000046566,1658411.949999999720603,11302410.309999998658895
FS( 81 ),2193803.860000000335276,1895589.550000000046566,1760018.500000000000000,1812551.160000000149012,1970472.250000000000000,1668316.809999999823049,11300756.130000000819564
FS( 82 ),2190911.679999999701977,1906538.800000000046566,1767486.699999999953434,1819303.800000000046566,1966716.100000000093132,1688362.359999999869615,11339323.439999999478459
FS( 83 ),2186801.740000000223517,1910076.250000000000000,1760848.299999999813735,1823383.520000000251457,1963622.800000000046566,1699918.029999999795109,11344654.640000000596046
FS( 84 ),2187410.620000000111759,1906875.699999999953434,1759603.599999999860302,1823383.520000000251457,1974449.349999999860302,1694022.279999999795109,11345749.070000000298023
FS( 85 ),2203698.160000000149012,1904180.500000000000000,1770805.899999999906868,1818881.760000000009313,1961634.250000000000000,1698267.219999999972060,11357471.790000000968575
FS( 86 ),2192281.660000000149012,1903506.699999999953434,1766242.000000000000000,1834637.919999999925494,1967158.000000000000000,1689777.340000000083819,11353607.620000001043081
FS( 87 ),2186801.740000000223517,1904348.949999999953434,1770391.000000000000000,1830980.240000000223517,1968483.699999999953434,1684589.080000000074506,11345598.710000000894070
FS( 88 ),2181930.700000000186265,1896431.799999999813735,1767901.599999999860302,1828307.320000000065193,1960750.449999999720603,1719256.090000000083819,11354581.959999999031425
FS( 89 ),2179342.959999999962747,1893905.050000000046566,1771220.799999999813735,1828588.679999999934807,1963401.849999999860302,1723029.369999999878928,11359492.709999999031425
FS( 90 ),2155901.080000000074506,1904685.849999999860302,1769976.099999999860302,1845751.639999999897555,1963180.899999999674037,1731755.080000000074506,11371254.649999998509884
FS( 91 ),2158488.820000000298023,1904180.500000000000000,1781593.299999999813735,1846595.719999999972060,1959424.750000000000000,1731990.909999999916181,11382278.000000000000000
FS( 92 ),2147072.320000000298023,1906875.699999999953434,1775369.799999999813735,1839561.719999999972060,1963622.800000000046566,1725151.840000000083819,11357658.179999999701977
FS( 93 ),2158945.480000000447035,1916645.800000000046566,1786987.000000000000000,1847861.839999999850988,1984392.099999999860302,1733170.059999999823049,11428006.280000001192093
FS( 94 ),2149355.620000000111759,1923552.250000000000000,1803997.899999999906868,1861226.440000000176951,1982624.500000000000000,1742603.260000000009313,11463363.970000000670552
FS( 95 ),2141440.179999999701977,1915803.550000000046566,1793625.399999999906868,1866009.559999999823049,1983066.399999999906868,1746848.199999999720603,11446797.289999997243285
FS( 96 ),2168230.900000000372529,1933659.250000000000000,1787816.800000000046566,1874872.400000000139698,2013999.400000000139698,1764063.789999999804422,11542646.539999999105930
FS( 97 ),2165643.160000000149012,1927763.500000000000000,1786987.000000000000000,1876841.919999999925494,2013999.400000000139698,1767365.409999999916181,11538604.390000000596046
FS( 98 ),2186497.299999999813735,1915298.199999999953434,1795699.899999999906868,1888377.679999999934807,2029465.899999999674037,1763592.129999999888241,11578935.109999999403954
FS( 99 ),2200044.879999999888241,1940228.800000000046566,1788646.599999999860302,1993465.639999999897555,2035210.599999999860302,1769959.539999999804422,11727560.059999998658895
FS( 100 ),2187106.179999999701977,1946966.799999999813735,1794040.300000000046566,1981367.160000000149012,2028803.049999999813735,1778921.080000000074506,11717208.569999998435378
FS( 101 ),2188780.599999999627471,1951346.500000000000000,1784497.599999999860302,1981789.200000000186265,2023942.149999999674037,1779156.909999999916181,11709516.959999999031425
FS( 102 ),2186649.520000000484288,1947303.699999999953434,1790306.199999999953434,1968565.280000000027940,2015546.049999999813735,1773025.330000000074506,11681400.080000000074506
FS( 103 ),2231249.980000000447035,1932648.550000000046566,1793210.500000000000000,1985728.240000000223517,2016429.850000000093132,1774204.479999999981374,11733475.600000001490116
FS( 104 ),2245406.439999999478459,1926584.350000000093132,1800263.800000000046566,1986853.679999999934807,2044711.449999999953434,1781043.549999999813735,11784867.269999999552965
FS( 105 ),2238556.540000000037253,1880260.600000000093132,1797359.500000000000000,2006408.200000000186265,2042501.949999999953434,1786703.469999999972060,11751794.260000001639128
FS( 106 ),2230488.879999999888241,1872680.350000000093132,1811466.099999999860302,2018084.639999999897555,2046479.050000000046566,1800381.609999999869615,11779584.629999998956919
FS( 107 ),2267478.339999999850988,1886493.249999999767169,1812710.799999999813735,2025259.320000000065193,2034768.699999999953434,1804154.889999999897555,11830869.300000000745058
FS( 108 ),2329127.439999999478459,1876891.600000000093132,1821008.800000000046566,2029198.360000000102445,2031012.550000000046566,1795193.350000000093132,11882436.099999999627471
FS( 109 ),2344045.000000000000000,1887840.849999999860302,1805242.599999999860302,2030886.520000000251457,2032780.149999999906868,1809343.149999999906868,11910142.269999999552965
FS( 110 ),2332932.939999999478459,1847244.399999999906868,1807732.000000000000000,2033137.400000000139698,2038303.899999999906868,1808871.489999999990687,11868226.130000000819564
FS( 111 ),2343436.120000000111759,1845896.799999999813735,1811881.000000000000000,2028776.320000000065193,2034989.649999999674037,1795429.179999999701977,11860413.070000000298023
FS( 112 ),2376163.419999999925494,1847749.750000000000000,1808561.800000000046566,2044954.520000000251457,2048909.500000000000000,1785524.319999999832362,11911867.310000000521541
FS( 113 ),2370074.620000000111759,1838316.549999999813735,1814370.399999999906868,2057897.080000000074506,2059957.000000000000000,1799202.459999999962747,11939822.109999999403954
FS( 114 ),2366573.559999999590218,1818944.800000000046566,1819349.199999999953434,2072105.760000000009313,2058189.400000000139698,1771374.519999999785796,11906541.239999998360872
FS( 115 ),2287114.719999999739230,1790813.649999999906868,1822668.399999999906868,2059725.919999999925494,2027477.350000000093132,1771610.350000000093132,11759414.389999998733401
FS( 116 ),2321973.099999999627471,1797046.300000000046566,1817274.699999999720603,2068166.719999999972060,2026372.599999999860302,1828681.209999999962747,11859518.629999998956919
FS( 117 ),2329888.540000000037253,1811196.099999999860302,1821423.699999999953434,2084204.240000000223517,2043385.750000000000000,1857688.299999999813735,11947790.629999998956919
FS( 118 ),2344045.000000000000000,1813049.049999999813735,1833040.899999999906868,2084766.959999999962747,2061724.599999999860302,1852500.039999999804422,11989130.549999998882413
FS( 119 ),2341152.820000000298023,1802773.599999999860302,1841753.800000000046566,2079561.800000000046566,2073876.849999999860302,1851085.059999999823049,11990207.929999999701977
FS( 120 ),2334150.700000000186265,1814396.649999999906868,1868307.399999999906868,2103196.040000000037253,2094867.099999999860302,1843066.840000000083819,12057988.730000000447035
FS( 121 ),2342218.360000000335276,1806984.849999999860302,1884073.599999999860302,2107135.080000000074506,2099948.950000000186265,1846840.119999999878928,12087204.959999999031425
FS( 122 ),2338260.640000000596046,1826188.149999999906868,1883243.800000000046566,2108260.520000000018626,2091773.800000000046566,1842595.179999999701977,12090326.090000001713634
FS( 123 ),2339173.959999999962747,1825009.000000000000000,1884903.399999999906868,2109245.280000000260770,2092878.549999999813735,1843066.840000000083819,12094281.029999999329448
FS( 124 ),2325321.939999999478459,1818271.000000000000000,1886563.000000000000000,2122750.560000000055879,2104147.000000000000000,1853679.189999999711290,12110736.689999999478459
