代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11447655.679999999701977
真實報酬,1447655.679999999701977

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,13709.926745252434557
風險,111489.252653206363902
起點值,0.122970837268933
找到最佳解世代,2001
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
DIS[6](1),PG[21](8),TRV[22](11),WMT[28](2),
FS( 13 ),2530828.599999999627471,2515337.140000000130385,2426471.900000000372529,2610460.419999999925494,10083098.060000000521541
FS( 14 ),2501141.799999999813735,2498033.700000000186265,2406348.419999999925494,2642201.919999999925494,10047725.839999999850988
FS( 15 ),2534254.000000000000000,2492921.320000000298023,2426471.900000000372529,2668018.339999999850988,10121665.560000000521541
FS( 16 ),2534254.000000000000000,2483483.080000000074506,2431115.780000000260770,2697220.520000000018626,10146073.380000000819564
FS( 17 ),2534254.000000000000000,2453595.320000000298023,2431115.780000000260770,2697220.520000000018626,10116185.620000001043081
FS( 18 ),2537108.500000000000000,2460674.000000000000000,2445434.410000000149012,2753931.999999999534339,10197148.910000000149012
FS( 19 ),2540533.899999999906868,2457527.920000000391155,2422602.000000000000000,2764089.280000000260770,10184753.100000001490116
FS( 20 ),2596482.099999999627471,2475617.880000000353903,2433437.720000000204891,2779748.420000000391155,10285286.120000001043081
FS( 21 ),2580496.899999999906868,2450842.500000000000000,2395125.709999999962747,2769591.139999999664724,10196056.250000000000000
FS( 22 ),2609612.799999999813735,2449662.720000000204891,2418345.110000000335276,2785673.499999999534339,10263294.129999998956919
FS( 23 ),2534824.899999999906868,2420561.479999999981374,2344430.020000000018626,2774246.560000000055879,10074062.960000000894070
FS( 24 ),2535395.799999999813735,2414662.580000000074506,2336690.220000000204891,2792868.239999999757856,10079616.839999999850988
FS( 25 ),2559944.500000000000000,2405617.600000000093132,2352943.799999999813735,2772130.459999999962747,10090636.359999999403954
FS( 26 ),2599336.600000000093132,2430392.979999999981374,2385450.959999999962747,2790328.920000000391155,10205509.460000000894070
FS( 27 ),2605045.600000000093132,2468145.939999999944121,2395899.689999999944121,2787789.600000000093132,10256880.830000000074506
FS( 28 ),2639870.500000000000000,2467752.680000000167638,2404800.459999999962747,2887246.299999999813735,10399669.939999999478459
FS( 29 ),2614750.899999999906868,2459494.220000000204891,2382355.040000000037253,2858044.120000000111759,10314644.280000001192093
FS( 30 ),2647863.100000000093132,2468145.939999999944121,2397060.660000000149012,2866085.299999999813735,10379155.000000000000000
FS( 31 ),2639299.599999999627471,2460674.000000000000000,2385837.950000000186265,2838575.999999999534339,10324387.549999998882413
FS( 32 ),2693535.100000000093132,2484662.860000000335276,2442725.479999999981374,2862276.319999999832362,10483199.760000001639128
FS( 33 ),2688397.000000000000000,2472865.060000000055879,2453948.189999999944121,2867354.959999999962747,10482565.210000000894070
FS( 34 ),2688967.899999999906868,2449662.720000000204891,2440790.530000000260770,2883014.100000000093132,10462435.250000000000000
FS( 35 ),2712374.799999999813735,2446516.640000000130385,2455496.150000000372529,2869894.280000000260770,10484281.870000001043081
FS( 36 ),2724934.599999999627471,2374943.320000000298023,2470975.750000000000000,2899942.899999999906868,10470796.570000000298023
FS( 37 ),2706094.899999999906868,2349774.680000000167638,2421828.020000000018626,2865238.859999999869615,10342936.459999999031425
FS( 38 ),2710091.199999999720603,2352920.760000000242144,2451626.250000000000000,2848310.060000000055879,10362948.269999999552965
FS( 39 ),2666131.899999999906868,2332471.240000000223517,2405187.450000000186265,2885553.420000000391155,10289344.010000001639128
FS( 40 ),2700385.899999999906868,2330898.200000000186265,2405187.450000000186265,2902482.219999999739230,10338953.769999999552965
FS( 41 ),2732927.199999999720603,2358819.660000000149012,2431502.770000000018626,2902905.439999999944121,10426155.069999998435378
FS( 42 ),2730072.699999999720603,2371010.720000000204891,2432276.750000000000000,2890632.060000000055879,10423992.230000000447035
FS( 43 ),2768893.899999999906868,2408763.680000000167638,2470588.760000000242144,2950729.299999999813735,10598975.640000000596046
FS( 44 ),2781453.699999999720603,2406404.120000000111759,2473684.680000000167638,2935070.159999999683350,10596612.660000000149012
FS( 45 ),2774032.000000000000000,2413089.540000000037253,2481811.469999999739230,2994320.959999999962747,10663253.969999998807907
FS( 46 ),2746628.799999999813735,2412696.280000000260770,2475232.640000000130385,3008287.219999999739230,10642844.940000001341105
FS( 47 ),2742632.500000000000000,2409943.460000000428408,2448143.339999999850988,3020137.379999999888241,10620856.679999999701977
FS( 48 ),2740348.899999999906868,2420561.479999999981374,2440790.530000000260770,3037066.180000000167638,10638767.089999999850988
FS( 49 ),2703811.299999999813735,2427640.160000000149012,2446208.390000000130385,3051878.879999999888241,10629538.730000000447035
FS( 50 ),2698673.200000000186265,2414662.580000000074506,2419893.070000000298023,3058227.180000000167638,10591456.030000001192093
FS( 51 ),2706665.799999999813735,2505112.380000000353903,2408670.360000000335276,3060343.280000000260770,10680791.820000000298023
FS( 52 ),2751196.000000000000000,2559775.520000000484288,2443112.470000000204891,3097163.420000000391155,10851247.410000000149012
FS( 53 ),2732356.299999999813735,2548764.240000000223517,2420667.049999999813735,3088699.020000000018626,10790486.609999999403954
FS( 54 ),2817420.399999999906868,2570000.279999999795109,2450078.290000000037253,3093777.659999999683350,10931276.629999998956919
FS( 55 ),2817420.399999999906868,2549157.500000000000000,2476780.600000000093132,3083197.159999999683350,10926555.660000000149012
FS( 56 ),2796868.000000000000000,2553090.100000000093132,2464783.910000000149012,3027332.120000000111759,10842074.129999998956919
FS( 57 ),2774032.000000000000000,2545618.160000000149012,2426858.890000000130385,3057803.959999999962747,10804313.010000001639128
FS( 58 ),2739207.099999999627471,2532247.320000000298023,2389320.860000000335276,3040875.159999999683350,10701650.439999999478459
FS( 59 ),2749483.299999999813735,2517696.700000000186265,2356426.709999999962747,3053148.540000000037253,10676755.250000000000000
FS( 60 ),2757475.899999999906868,2517696.700000000186265,2359909.620000000111759,3050609.219999999739230,10685691.439999999478459
FS( 61 ),2837972.799999999813735,2538932.740000000223517,2384289.990000000223517,3117901.200000000186265,10879096.730000000447035
FS( 62 ),2851103.500000000000000,2559775.520000000484288,2427245.879999999888241,3153874.899999999906868,10991999.800000000745058
FS( 63 ),2843110.899999999906868,2560168.779999999795109,2446208.390000000130385,3173343.020000000018626,11022831.089999999850988
FS( 64 ),2805431.500000000000000,2538146.220000000204891,2424536.950000000186265,3150065.920000000391155,10918180.590000001713634
FS( 65 ),2805431.500000000000000,2517303.440000000409782,2451626.250000000000000,3115785.100000000093132,10890146.290000000968575
FS( 66 ),2796297.099999999627471,2497640.439999999944121,2433050.729999999981374,3133983.560000000055879,10860971.830000000074506
FS( 67 ),2841398.200000000186265,2575899.180000000167638,2465557.890000000130385,3155144.560000000055879,11037999.830000001937151
FS( 68 ),2834547.399999999906868,2588090.240000000223517,2458205.080000000074506,3143717.620000000111759,11024560.339999999850988
FS( 69 ),2843681.799999999813735,2604213.899999999906868,2452400.229999999981374,3131444.239999999757856,11031740.169999999925494
FS( 70 ),2882503.000000000000000,2623876.899999999906868,2469427.790000000037253,3144987.280000000260770,11120794.970000000670552
FS( 71 ),2852245.299999999813735,2624270.160000000149012,2472523.709999999962747,3125519.159999999683350,11074558.330000000074506
FS( 72 ),2834547.399999999906868,2625843.200000000186265,2476006.620000000111759,3118324.420000000391155,11054721.640000000596046
FS( 73 ),2846536.299999999813735,2614438.660000000149012,2466331.870000000111759,3106474.260000000242144,11033781.089999999850988
FS( 74 ),2836831.000000000000000,2624270.160000000149012,2458979.060000000055879,3132290.680000000167638,11052370.900000000372529
FS( 75 ),2848249.000000000000000,2620730.820000000298023,2467105.850000000093132,3150912.359999999869615,11086998.029999999329448
FS( 76 ),2868801.399999999906868,2634888.180000000167638,2477941.570000000298023,3053571.760000000242144,11035202.910000000149012
FS( 77 ),2880790.299999999813735,2634888.180000000167638,2520510.469999999739230,3046800.239999999757856,11082989.189999999478459
FS( 78 ),2880219.399999999906868,2625056.680000000167638,2540246.959999999962747,3059920.060000000055879,11105443.099999999627471
FS( 79 ),2833976.500000000000000,2625843.200000000186265,2524380.370000000111759,3023099.920000000391155,11007299.990000000223517
FS( 80 ),2835118.299999999813735,2628989.279999999795109,2532894.150000000372529,3037489.399999999906868,11034491.130000000819564
FS( 81 ),2807144.200000000186265,2622303.860000000335276,2507739.799999999813735,3028601.780000000260770,10965789.640000000596046
FS( 82 ),2829409.299999999813735,2635674.700000000186265,2530959.200000000186265,3051878.879999999888241,11047922.080000000074506
FS( 83 ),2833405.600000000093132,2639214.040000000037253,2522445.420000000391155,3068384.459999999962747,11063449.519999999552965
FS( 84 ),2833405.600000000093132,2634494.919999999925494,2509287.760000000242144,3064575.479999999981374,11041763.759999999776483
FS( 85 ),2856812.500000000000000,2629775.800000000279397,2507739.799999999813735,3079811.399999999906868,11074139.500000000000000
FS( 86 ),2821416.700000000186265,2630169.060000000055879,2495743.109999999869615,3057803.959999999962747,11005132.829999998211861
FS( 87 ),2824271.199999999720603,2642360.120000000111759,2505417.859999999869615,3072616.659999999683350,11044665.839999999850988
FS( 88 ),2835118.299999999813735,2650618.580000000540167,2501547.959999999962747,3111129.680000000167638,11098414.520000001415610
FS( 89 ),2899630.000000000000000,2646292.720000000204891,2497291.070000000298023,3112822.560000000055879,11156036.350000001490116
FS( 90 ),2960716.299999999813735,2683652.419999999925494,2528637.260000000242144,3166148.280000000260770,11339154.260000001639128
FS( 91 ),2953865.500000000000000,2694663.700000000186265,2523606.389999999664724,3124249.499999999534339,11296385.089999999850988
FS( 92 ),2941305.700000000186265,2694270.440000000409782,2527476.290000000037253,3111129.680000000167638,11274182.110000001266599
FS( 93 ),2943589.299999999813735,2684438.940000000409782,2590942.650000000372529,3134406.780000000260770,11353377.670000001788139
FS( 94 ),2951581.899999999906868,2678146.779999999795109,2613775.060000000521541,3134829.999999999534339,11378333.740000000223517
FS( 95 ),3002962.899999999906868,2710000.839999999850988,2648991.150000000372529,3180114.540000000037253,11542069.429999999701977
FS( 96 ),2988690.399999999906868,2719832.339999999850988,2654022.020000000018626,3153028.459999999962747,11515573.219999998807907
FS( 97 ),2977272.399999999906868,2723371.680000000167638,2650152.120000000111759,3131444.239999999757856,11482240.439999999478459
FS( 98 ),2962999.899999999906868,2722191.899999999906868,2649378.139999999664724,3129751.359999999869615,11464321.299999998882413
FS( 99 ),3008671.899999999906868,2723764.940000000409782,2640477.370000000111759,3147526.600000000093132,11520440.810000000521541
FS( 100 ),3006388.299999999813735,2735562.740000000223517,2648991.150000000372529,3163608.959999999962747,11554551.150000002235174
FS( 101 ),3010955.500000000000000,2730057.100000000093132,2655182.990000000223517,3150912.359999999869615,11547107.949999999254942
FS( 102 ),3021231.700000000186265,2743427.940000000409782,2647830.180000000167638,3163185.739999999757856,11575675.560000000521541
FS( 103 ),2999537.500000000000000,2736742.520000000484288,2650152.120000000111759,3142871.180000000167638,11529303.320000000298023
FS( 104 ),2965283.500000000000000,2725337.979999999981374,2623062.820000000298023,3139908.639999999664724,11453592.940000001341105
FS( 105 ),3001821.099999999627471,2725337.979999999981374,2647443.189999999944121,3131021.020000000018626,11505623.289999999105930
FS( 106 ),2984694.100000000093132,2727697.540000000037253,2641638.340000000316650,3123403.060000000055879,11477433.040000000968575
FS( 107 ),2972705.199999999720603,2731236.880000000353903,2672984.529999999795109,3133983.560000000055879,11510910.169999999925494
FS( 108 ),2948156.500000000000000,2705281.720000000204891,2658665.900000000372529,3121286.959999999962747,11433391.080000001937151
FS( 109 ),2995541.199999999720603,2720225.600000000093132,2670662.590000000316650,3140331.859999999869615,11526761.250000000000000
FS( 110 ),3004675.600000000093132,2728484.060000000055879,2681111.320000000298023,3162339.299999999813735,11576610.280000001192093
FS( 111 ),3024086.199999999720603,2738315.560000000055879,2691947.040000000037253,3179691.319999999832362,11634040.120000001043081
FS( 112 ),2987548.599999999627471,2717472.779999999795109,2691173.060000000521541,3184769.959999999962747,11580964.399999998509884
FS( 113 ),2940734.799999999813735,2701742.380000000353903,2682659.279999999795109,3137792.540000000037253,11462929.000000000000000
FS( 114 ),2923607.799999999813735,2679719.820000000298023,2685755.200000000186265,3191964.700000000186265,11481047.519999999552965
FS( 115 ),2873939.500000000000000,2674214.180000000167638,2676467.439999999944121,3174612.680000000167638,11399233.799999998882413
FS( 116 ),2888212.000000000000000,2671854.620000000111759,2659439.879999999888241,3208470.280000000260770,11427976.780000001192093
FS( 117 ),2899630.000000000000000,2702135.640000000130385,2700847.810000000521541,3265181.760000000242144,11567795.210000000894070
FS( 118 ),2925320.500000000000000,2713540.180000000167638,2727937.109999999869615,3255024.479999999981374,11621822.269999999552965
FS( 119 ),2985265.000000000000000,2732023.399999999906868,2762379.219999999739230,3260103.120000000111759,11739770.740000002086163
FS( 120 ),2992686.700000000186265,2732023.399999999906868,2861448.660000000149012,3240211.780000000260770,11826370.539999999105930
FS( 121 ),2962999.899999999906868,2696630.000000000000000,2844808.090000000316650,3200429.100000000093132,11704867.089999999850988
FS( 122 ),2956720.000000000000000,2693877.180000000167638,2863383.609999999869615,3201698.760000000242144,11715679.549999998882413
FS( 123 ),2897917.299999999813735,2652191.620000000111759,2839777.219999999739230,3164032.180000000167638,11553918.320000000298023
FS( 124 ),2891637.399999999906868,2677360.260000000242144,2832037.420000000391155,3166571.499999999534339,11567606.580000000074506
FS( 125 ),2869372.299999999813735,2755619.000000000000000,2791016.480000000447035,3187732.499999999534339,11603740.280000001192093
FS( 126 ),2859096.099999999627471,2730843.620000000111759,2769345.040000000037253,3178844.879999999888241,11538129.640000000596046
FS( 127 ),2804289.699999999720603,2722978.419999999925494,2745351.660000000149012,3175035.899999999906868,11447655.679999999701977
